GCCSA_CODE_2016,POL_Greek_SEO,POL_Greek_SOLSE_VWorW,POL_Greek_SOLSE_NWorNAA,POL_Greek_SOLSE_Tot,POL_Greek_NS,POL_Greek_Tot,POL_IAL_Bengali_SEO,POL_IAL_Bengali_SOLSE_VWorW,POL_IAL_Bengali_SOLSE_NWorNAA,POL_IAL_Bengali_SOLSE_Tot,POL_IAL_Bengali_NS,POL_IAL_Bengali_Tot,POL_IAL_Hindi_SEO,POL_IAL_Hindi_SOLSE_VWorW,POL_IAL_Hindi_SOLSE_NWorNAA,POL_IAL_Hindi_SOLSE_Tot,POL_IAL_Hindi_NS,POL_IAL_Hindi_Tot,POL_IAL_Punjabi_SEO,POL_IAL_Punjabi_SOLSE_VWorW,POL_IAL_Punjabi_SOLSE_NWorNAA,POL_IAL_Punjabi_SOLSE_Tot,POL_IAL_Punjabi_NS,POL_IAL_Punjabi_Tot,POL_IAL_Sinhalese_SEO,POL_IAL_Sinhalese_SOLSE_VWorW,POL_IAL_Sinhale_SOLSE_NWorNAA,POL_IAL_Sinhalese_SOLSE_Tot,POL_IAL_Sinhalese_NS,POL_IAL_Sinhalese_Tot,POL_IAL_Urdu_SEO,POL_IAL_Urdu_SOLSE_VWorW,POL_IAL_Urdu_SOLSE_NWorNAA,POL_IAL_Urdu_SOLSE_Tot,POL_IAL_Urdu_NS,POL_IAL_Urdu_Tot,POL_IAL_Oth_SEO,POL_IAL_Oth_SOLSE_VWorW,POL_IAL_Oth_SOLSE_NWorNAA,POL_IAL_Oth_SOLSE_Tot,POL_IAL_Oth_NS,POL_IAL_Oth_Tot,POL_IAL_Tot_SEO,POL_IAL_Tot_SOLSE_VWorW,POL_IAL_Tot_SOLSE_NWorNAA,POL_IAL_Tot_SOLSE_Tot,POL_IAL_Tot_NS,POL_IAL_Tot_Tot,POL_Italian_SEO,POL_Italian_SOLSE_VWorW,POL_Italian_SOLSE_NWorNAA,POL_Italian_SOLSE_Tot,POL_Italian_NS,POL_Italian_Tot,POL_Japanese_SEO,POL_Japanese_SOLSE_VWorW,POL_Japanese_SOLSE_NWorNAA,POL_Japanese_SOLSE_Tot,POL_Japanese_NS,POL_Japanese_Tot,POL_Korean_SEO,POL_Korean_SOLSE_VWorW,POL_Korean_SOLSE_NWorNAA,POL_Korean_SOLSE_Tot,POL_Korean_NS,POL_Korean_Tot,POL_Macedonian_SEO,POL_Macedonian_SOLSE_VWorW,POL_Macedonian_SOLSE_NWorNAA,POL_Macedonian_SOLSE_Tot,POL_Macedonian_NS,POL_Macedonian_Tot,POL_Maltese_SEO,POL_Maltese_SOLSE_VWorW,POL_Maltese_SOLSE_NWorNAA,POL_Maltese_SOLSE_Tot,POL_Maltese_NS,POL_Maltese_Tot,POL_Persian_ED_SEO,POL_Persian_ED_SOLSE_VWorW,POL_Persian_ED_SOLSE_NWorNAA,POL_Persian_ED_SOLSE_Tot,POL_Persian_ED_NS,POL_Persian_ED_Tot,POL_Polish_SEO,POL_Polish_SOLSE_VWorW,POL_Polish_SOLSE_NWorNAA,POL_Polish_SOLSE_Tot,POL_Polish_NS,POL_Polish_Tot,POL_Russian_SEO,POL_Russian_SOLSE_VWorW,POL_Russian_SOLSE_NWorNAA,POL_Russian_SOLSE_Tot,POL_Russian_NS,POL_Russian_Tot,POL_Samoan_SEO,POL_Samoan_SOLSE_VWorW,POL_Samoan_SOLSE_NWorNAA,POL_Samoan_SOLSE_Tot,POL_Samoan_NS,POL_Samoan_Tot,POL_Serbian_SEO,POL_Serbian_SOLSE_VWorW,POL_Serbian_SOLSE_NWorNAA,POL_Serbian_SOLSE_Tot,POL_Serbian_NS,POL_Serbian_Tot,POL_SAL_Filipino_SEO,POL_SAL_Filipino_SOLSE_VWorW,POL_SAL_Filipin_SOLSE_NWorNAA,POL_SAL_Filipino_SOLSE_Tot,POL_SAL_Filipino_NS,POL_SAL_Filipino_Tot,POL_SAL_Indonesian_SEO,POL_SAL_Indonesia_SOLSE_VWorW,POL_SAL_Indones_SOLSE_NWorNAA,POL_SAL_Indonesian_SOLSE_Tot,POL_SAL_Indonesian_NS,POL_SAL_Indonesian_Tot,POL_SAL_Tagalog_SEO,POL_SAL_Tagalog_SOLSE_VWorW,POL_SAL_Tagalog_SOLSE_NWorNAA,POL_SAL_Tagalog_SOLSE_Tot,POL_SAL_Tagalog_NS,POL_SAL_Tagalog_Tot,POL_SAL_Oth_SEO,POL_SAL_Oth_SOLSE_VWorW,POL_SAL_Oth_SOLSE_NWorNAA,POL_SAL_Oth_SOLSE_Tot,POL_SAL_Oth_NS,POL_SAL_Oth_Tot,POL_SAL_Tot_SEO,POL_SAL_Tot_SOLSE_VWorW,POL_SAL_Tot_SOLSE_NWorNAA,POL_SAL_Tot_SOLSE_Tot,POL_SAL_Tot_NS,POL_SAL_Tot_Tot,POL_Spanish_SEO,POL_Spanish_SOLSE_VWorW,POL_Spanish_SOLSE_NWorNAA,POL_Spanish_SOLSE_Tot,POL_Spanish_NS,POL_Spanish_Tot,POL_Tamil_SEO,POL_Tamil_SOLSE_VWorW,POL_Tamil_SOLSE_NWorNAA,POL_Tamil_SOLSE_Tot,POL_Tamil_NS,POL_Tamil_Tot,POL_Thai_SEO,POL_Thai_SOLSE_VWorW,POL_Thai_SOLSE_NWorNAA,POL_Thai_SOLSE_Tot,POL_Thai_NS,POL_Thai_Tot,POL_Turkish_SEO,POL_Turkish_SOLSE_VWorW,POL_Turkish_SOLSE_NWorNAA,POL_Turkish_SOLSE_Tot,POL_Turkish_NS,POL_Turkish_Tot,POL_Vietnamese_SEO,POL_Vietnamese_SOLSE_VWorW,POL_Vietnamese_SOLSE_NWorNAA,POL_Vietnamese_SOLSE_Tot,POL_Vietnamese_NS,POL_Vietnamese_Tot,POL_Oth_SEO,POL_Oth_SOLSE_VWorW,POL_Oth_SOLSE_NWorNAA,POL_Oth_SOLSE_Tot,POL_Oth_NS,POL_Oth_Tot,POL_Tot_SEO,POL_Tot_SOLSE_VWorW,POL_Tot_SOLSE_NWorNAA,POL_Tot_SOLSE_Tot,POL_Tot_NS,POL_Tot_Tot,P_LSatH_NS_SEO,P_LSatH_NS_SOLSE_VWorW,P_LSatH_NS_SOLSE_NWorNAA,P_LSatH_NS_SOLSE_Tot,P_LSatH_NS_NS,P_LSatH_NS_Tot,P_Tot_SEO,P_Tot_SOLSE_VWorW,P_Tot_SOLSE_NWorNAA,P_Tot_SOLSE_Tot,P_Tot_NS,P_Tot_Tot
3GBRI,..,6736,758,7495,63,7557,..,2303,251,2556,13,2565,..,13787,645,14430,134,14560,..,11543,1307,12848,132,12982,..,4180,223,4406,27,4424,..,3446,387,3835,36,3866,..,9146,705,9845,56,9904,..,44397,3516,47915,387,48305,..,8911,950,9861,153,10015,..,5729,998,6727,55,6784,..,8875,4252,13130,83,13213,..,749,94,844,9,852,..,423,24,445,11,457,..,4358,844,5196,31,5230,..,3028,273,3301,40,3338,..,3224,422,3650,19,3672,..,12436,1141,13578,241,13820,..,2809,462,3274,18,3296,..,5707,175,5888,43,5930,..,3338,294,3634,31,3663,..,8937,262,9203,89,9293,..,2365,114,2473,25,2496,..,20340,854,21193,194,21390,..,12977,1721,14702,110,14807,..,3697,366,4068,31,4095,..,3408,730,4140,30,4173,..,1025,164,1191,5,1199,..,15555,6890,22442,137,22573,..,53916,12182,66104,1510,67617,..,304418,57094,361512,3843,365356,..,5399,775,6172,128170,134343,1771105,309822,57867,367689,132016,2270800
3RQLD,..,2657,265,2924,37,2965,..,1020,89,1111,4,1118,..,3406,160,3560,24,3584,..,4363,565,4923,70,4996,..,1377,83,1455,14,1471,..,1012,66,1073,10,1086,..,3789,722,4513,36,4550,..,14959,1681,16640,155,16799,..,8770,981,9751,167,9917,..,8117,1888,10005,59,10069,..,4241,2077,6316,49,6366,..,364,41,406,6,410,..,830,41,877,21,895,..,1309,153,1463,7,1474,..,1693,145,1840,26,1867,..,2038,261,2297,24,2316,..,1068,53,1119,15,1140,..,1264,184,1446,14,1463,..,5167,197,5366,61,5425,..,1704,128,1841,25,1863,..,7341,275,7618,77,7691,..,1330,65,1396,16,1411,..,15540,671,16211,185,16398,..,5540,517,6056,81,6135,..,1256,160,1410,7,1421,..,3269,639,3909,34,3943,..,745,105,856,4,854,..,2325,953,3278,34,3311,..,32308,5714,38022,888,38908,..,163229,24941,188168,2846,191020,..,6396,620,7014,180974,187986,2040720,169630,25557,195183,183818,2419724
49499,..,13,0,13,0,13,..,0,0,0,0,0,..,4,0,4,0,4,..,15,0,15,0,15,..,3,0,3,0,3,..,3,4,8,0,8,..,5,0,5,0,5,..,30,4,39,0,39,..,19,0,19,0,19,..,3,3,3,0,3,..,3,4,9,0,11,..,0,0,0,0,0,..,0,0,0,0,0,..,3,3,8,3,12,..,0,3,3,0,3,..,3,0,3,0,3,..,4,0,4,0,4,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,12,0,12,0,12,..,3,0,3,0,3,..,17,0,20,0,20,..,4,0,7,0,7,..,4,0,4,0,4,..,0,0,6,0,6,..,0,0,0,0,0,..,14,3,18,0,18,..,50,12,57,3,61,..,256,76,329,14,347,..,37,0,34,547,582,1933,291,76,367,561,2863
49799,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,4,0,4,..,0,0,0,0,0,0,4,0,4,0,3
4GADE,..,18149,3084,21232,228,21464,..,2083,178,2258,16,2273,..,6563,440,6999,52,7054,..,7483,933,8417,84,8498,..,2324,148,2478,17,2491,..,2475,301,2774,32,2805,..,7881,1955,9833,71,9907,..,28799,3960,32754,267,33019,..,23354,3869,27226,376,27595,..,1783,237,2018,16,2027,..,2590,880,3461,25,3487,..,548,59,610,3,614,..,745,43,789,14,805,..,3561,1022,4583,30,4611,..,4759,691,5452,38,5493,..,2683,491,3175,18,3195,..,115,6,118,3,121,..,3219,825,4047,29,4080,..,2992,79,3074,33,3105,..,1510,190,1703,5,1712,..,4381,144,4532,45,4570,..,1540,79,1617,8,1632,..,10431,493,10926,92,11014,..,4815,536,5349,55,5402,..,2287,228,2520,19,2536,..,1383,317,1699,13,1717,..,506,59,563,3,564,..,12640,5812,18448,111,18563,..,33855,10498,44357,962,45318,..,207868,44496,252357,2777,255134,..,3388,620,4008,59447,63455,977128,211247,45115,256366,62227,1295714
4RSAU,..,1273,223,1495,30,1522,..,119,11,130,0,133,..,235,13,250,3,252,..,657,125,781,12,793,..,139,6,150,5,154,..,121,7,133,0,134,..,99,7,108,0,111,..,1378,170,1551,23,1568,..,1331,142,1472,17,1489,..,143,19,162,9,173,..,67,33,98,0,102,..,24,3,21,0,21,..,36,3,43,0,40,..,84,40,125,3,128,..,172,14,187,0,187,..,84,7,94,0,98,..,25,4,27,9,29,..,85,6,96,0,99,..,711,31,743,7,750,..,92,13,103,0,108,..,853,41,897,6,905,..,126,10,141,0,139,..,1789,93,1885,22,1908,..,221,22,248,8,251,..,138,21,156,0,156,..,183,50,229,3,233,..,91,31,128,3,126,..,276,156,431,7,440,..,2249,816,3068,74,3141,..,15334,2982,18317,315,18630,..,1061,90,1152,25819,26970,332472,16399,3067,19467,26137,378074
59499,..,4,0,4,0,4,..,0,0,0,0,0,..,12,3,10,0,10,..,3,0,3,0,3,..,0,0,0,0,0,..,4,0,4,0,4,..,9,0,9,0,9,..,30,3,32,0,32,..,25,3,29,3,34,..,9,3,12,0,12,..,11,0,11,0,11,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,6,0,6,0,6,..,5,0,5,0,5,..,0,0,5,0,5,..,0,0,0,0,0,..,4,0,9,0,9,..,14,4,18,0,18,..,11,0,8,0,8,..,10,0,8,0,8,..,33,4,36,0,36,..,20,4,22,0,22,..,0,0,0,0,0,..,7,0,7,0,7,..,0,0,0,0,0,..,5,6,7,0,7,..,101,12,111,4,116,..,484,89,574,12,585,..,23,0,22,1527,1553,3819,503,92,597,1538,5950
59799,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,8,0,8,0,8,..,5,0,5,0,5,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,10,3,13,0,13,..,3,0,3,0,3,..,0,0,0,0,0,..,12,3,13,0,13,..,0,0,0,0,0,..,0,0,0,0,0,..,5,0,5,0,5,..,0,0,0,0,0,..,3,0,3,0,3,..,8,0,8,0,8,..,56,3,53,0,53,..,0,0,0,72,68,309,55,3,60,72,434
5GPER,..,4070,421,4495,40,4536,..,2807,245,3050,21,3071,..,9463,633,10098,68,10166,..,10487,1206,11689,97,11782,..,4351,247,4600,22,4621,..,4581,463,5045,49,5099,..,10585,936,11514,75,11589,..,42268,3733,45996,334,46330,..,23439,2949,26385,370,26759,..,4523,835,5359,38,5403,..,4487,2097,6586,43,6630,..,4904,670,5577,59,5632,..,334,14,350,7,351,..,5458,1006,6464,29,6494,..,4951,494,5450,54,5501,..,2645,308,2957,20,2973,..,751,45,799,15,811,..,4096,747,4841,56,4890,..,7687,290,7972,80,8051,..,9237,819,10052,68,10119,..,11768,447,12213,120,12336,..,5799,395,6193,55,6250,..,34490,1940,36429,320,36752,..,8680,892,9579,83,9661,..,5874,643,6514,55,6571,..,4508,783,5290,59,5353,..,1339,312,1651,15,1668,..,13373,5890,19259,133,19396,..,61073,12539,73607,1446,75058,..,331183,55707,386888,4078,390963,..,5025,737,5769,118304,124074,1428823,336213,56445,392657,122378,1943858
5RWAU,..,223,25,244,5,250,..,176,15,193,0,195,..,524,42,560,11,570,..,374,47,418,17,434,..,296,14,313,3,320,..,245,27,266,3,272,..,478,46,520,6,532,..,2087,191,2276,38,2314,..,2316,233,2547,48,2601,..,387,60,443,10,448,..,305,158,465,0,467,..,197,16,216,4,217,..,33,0,33,0,33,..,175,20,201,3,202,..,447,20,467,3,473,..,204,30,235,3,231,..,119,3,125,0,128,..,135,9,141,0,141,..,2162,80,2238,19,2259,..,710,69,783,5,786,..,2777,109,2883,33,2923,..,1165,180,1349,13,1359,..,6820,433,7250,77,7326,..,681,40,721,10,733,..,297,22,314,3,316,..,900,130,1030,16,1043,..,52,10,59,0,58,..,545,284,830,13,837,..,5498,1018,6516,191,6709,..,38177,4598,42774,959,43732,..,1608,172,1787,50558,52344,428090,39790,4773,44560,51514,524167
69499,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,4,0,4,..,4,0,5,0,5,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,3,0,3,..,7,0,7,0,7,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,10,0,7,0,7,..,54,11,61,0,67,..,3,0,3,171,170,680,59,11,69,169,912
69799,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,4,0,4,..,9,4,10,0,10,..,0,0,0,4,4,60,9,4,10,4,68
6GHOB,..,892,108,1006,16,1020,..,96,3,96,0,96,..,408,30,438,0,438,..,354,35,390,4,386,..,98,4,99,0,99,..,186,18,209,0,208,..,634,338,968,9,977,..,1768,430,2195,14,2209,..,664,51,714,10,724,..,327,45,372,6,381,..,211,97,315,3,315,..,5,0,5,0,7,..,5,0,5,0,5,..,202,113,313,0,311,..,428,40,474,7,481,..,134,6,142,0,142,..,29,0,29,0,29,..,75,11,92,0,91,..,148,0,148,0,148,..,125,10,137,0,137,..,282,9,290,9,296,..,143,3,141,0,141,..,695,16,714,9,720,..,536,48,587,11,596,..,179,9,192,0,194,..,246,42,286,5,292,..,42,8,52,0,52,..,207,66,276,8,283,..,2059,629,2691,76,2759,..,14256,2519,16783,209,16993,..,578,42,624,12360,12985,192382,14839,2565,17405,12572,222356
6RTAS,..,163,6,171,3,171,..,51,4,52,0,52,..,178,14,190,3,197,..,91,8,98,0,98,..,113,3,118,0,117,..,73,9,81,3,81,..,462,383,851,9,852,..,971,417,1388,11,1408,..,347,20,365,4,375,..,186,27,217,4,215,..,138,48,183,3,190,..,5,0,10,0,10,..,15,4,18,0,18,..,112,170,280,3,283,..,191,16,210,0,210,..,154,25,176,0,177,..,17,0,17,0,17,..,35,0,35,0,35,..,172,3,172,3,179,..,101,13,110,3,116,..,302,13,316,4,322,..,124,4,126,0,127,..,697,37,730,14,741,..,294,32,330,4,335,..,104,7,111,0,113,..,164,28,195,4,198,..,31,0,31,0,31,..,119,36,154,5,155,..,1426,443,1870,39,1915,..,8361,1712,10076,149,10224,..,751,51,799,18303,19103,257298,9114,1762,10876,18455,286627
79499,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,9,0,9,0,9,..,9,0,9,0,9,..,0,0,0,0,0,..,0,3,3,0,3,..,0,0,0,0,0,..,4,0,4,0,4,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,6,0,6,0,6,..,0,0,0,0,0,..,3,0,3,0,3,..,3,0,3,0,3,..,9,0,9,0,9,..,6,0,6,0,6,..,0,0,0,0,0,..,4,0,4,0,4,..,0,0,0,0,0,..,0,0,0,0,0,..,38,0,41,0,41,..,373,60,437,18,455,..,77,26,102,568,666,1364,451,85,536,584,2489
79799,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,4,9,8,0,8,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,22,4,22,0,22,..,3,0,3,0,3,..,0,0,0,0,0,..,23,3,26,0,30,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,25,10,42,0,37,..,0,0,0,6,10,27,27,10,37,6,70
7GDAR,..,2611,516,3131,41,3174,..,387,19,408,0,413,..,611,33,637,6,647,..,439,32,472,4,478,..,395,17,412,0,411,..,344,28,377,0,377,..,1295,109,1398,7,1405,..,3464,240,3707,20,3728,..,544,49,590,3,593,..,278,122,400,0,398,..,200,85,278,3,285,..,13,0,13,0,13,..,4,0,4,0,4,..,112,11,120,0,122,..,86,8,91,0,94,..,107,6,113,0,113,..,33,0,35,0,35,..,49,0,54,0,54,..,1624,53,1675,21,1699,..,965,112,1083,9,1089,..,2451,94,2545,32,2577,..,583,55,635,7,645,..,5627,319,5940,69,6008,..,339,27,368,3,371,..,428,47,482,0,484,..,586,140,722,3,731,..,38,11,48,0,48,..,728,283,1012,8,1017,..,3679,665,4346,114,4464,..,23839,3522,27358,356,27712,..,358,64,421,15755,16177,92942,24195,3585,27777,16108,136828
7RNTE,..,65,6,69,0,69,..,22,0,22,0,22,..,197,12,205,7,204,..,178,15,193,0,194,..,104,10,110,3,118,..,52,11,66,0,66,..,200,8,206,6,214,..,744,65,808,15,821,..,148,20,164,0,169,..,84,10,96,0,95,..,52,26,77,0,76,..,12,0,12,0,12,..,4,0,4,0,4,..,26,3,26,0,26,..,22,0,22,0,18,..,25,0,25,0,25,..,73,7,82,0,84,..,3,0,3,0,3,..,324,10,333,11,344,..,70,6,79,0,79,..,386,15,397,10,414,..,65,0,65,7,66,..,841,36,873,22,897,..,103,7,113,0,113,..,32,0,34,0,34,..,104,24,127,0,127,..,6,0,6,0,6,..,131,64,200,0,200,..,1678,212,1890,79,1961,..,33332,5001,38334,1019,39350,..,422,171,587,11201,11791,38304,33751,5168,38921,12223,89443
89499,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,4,0,4,..,0,0,0,0,0,..,5,0,11,0,11,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,3,0,3,..,0,0,0,0,0,..,5,0,5,0,5,..,0,0,0,0,0,..,8,0,6,0,6,..,0,0,0,3,6,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,5,0,6,0,6,..,64,13,83,4,82,..,3,0,3,100,107,355,72,13,85,107,538
89799,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0
8ACTE,..,2187,234,2416,20,2436,..,1818,110,1928,12,1941,..,3477,147,3623,22,3642,..,1968,228,2196,20,2215,..,1640,65,1705,16,1718,..,2162,179,2345,24,2370,..,2020,150,2167,15,2186,..,13084,876,13964,111,14071,..,2929,292,3220,25,3247,..,989,115,1107,7,1116,..,1675,674,2349,18,2367,..,532,57,589,4,593,..,148,0,152,0,153,..,820,102,927,7,933,..,989,84,1077,11,1091,..,806,86,885,4,889,..,426,45,476,8,486,..,939,147,1085,11,1095,..,1271,18,1291,11,1304,..,1212,106,1318,9,1325,..,1631,37,1666,12,1683,..,487,26,516,4,520,..,4598,196,4799,34,4832,..,2934,311,3245,20,3272,..,1745,123,1870,17,1883,..,886,179,1065,8,1075,..,246,33,276,6,285,..,3305,881,4186,23,4215,..,12337,2100,14440,301,14741,..,75351,10413,85765,821,86585,..,833,133,971,20669,21631,288639,76179,10552,86732,21486,396857
99499,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,4,0,4,..,7,0,14,0,10,..,0,0,0,6,6,40,7,0,14,8,55
99799,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,4,0,0,0,0,6
9OTER,..,0,0,0,0,0,..,0,0,0,0,0,..,4,3,5,0,5,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,6,3,9,0,9,..,7,0,12,0,12,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,6,0,6,0,6,..,3,0,3,0,3,..,0,0,0,0,0,..,14,0,14,0,14,..,0,0,4,0,4,..,30,3,35,0,35,..,455,220,675,17,690,..,502,232,733,17,749,..,7,0,6,0,6,..,5,0,4,0,4,..,10,6,13,0,13,..,0,0,0,0,0,..,4,3,4,0,10,..,750,10,762,18,779,..,1650,429,2076,34,2118,..,31,5,39,684,719,1688,1681,432,2117,718,4523
