SED_NAME16	IndigenousStatus	persons
Newtown	Both Aboriginal & Torres Strait Islander	45
Newtown	Non-indigenous	82922
Newtown	Torres Strait Islander	30
North Shore	Aboriginal	179
North Shore	Both Aboriginal & Torres Strait Islander	5
North Shore	Non-indigenous	77069
North Shore	Torres Strait Islander	19
Northern Tablelands	Aboriginal	7443
Northern Tablelands	Both Aboriginal & Torres Strait Islander	144
Northern Tablelands	Non-indigenous	71555
Northern Tablelands	Torres Strait Islander	98
Oatley	Aboriginal	470
Oatley	Both Aboriginal & Torres Strait Islander	3
Oatley	Non-indigenous	75828
Oatley	Torres Strait Islander	17
Orange	Aboriginal	5405
Orange	Both Aboriginal & Torres Strait Islander	94
Orange	Non-indigenous	72318
Orange	Torres Strait Islander	81
Oxley	Aboriginal	5808
Oxley	Both Aboriginal & Torres Strait Islander	135
Oxley	Non-indigenous	66831
Oxley	Torres Strait Islander	68
Parramatta	Aboriginal	630
Parramatta	Both Aboriginal & Torres Strait Islander	21
Parramatta	Non-indigenous	101796
Parramatta	Torres Strait Islander	19
Penrith	Aboriginal	3088
Penrith	Both Aboriginal & Torres Strait Islander	31
Penrith	Non-indigenous	75607
Penrith	Torres Strait Islander	60
Pittwater	Aboriginal	444
Pittwater	Both Aboriginal & Torres Strait Islander	12
Pittwater	Non-indigenous	71621
Pittwater	Torres Strait Islander	11
Port Macquarie	Aboriginal	2630
Port Macquarie	Both Aboriginal & Torres Strait Islander	32
Port Macquarie	Non-indigenous	70435
Port Macquarie	Torres Strait Islander	34
Port Stephens	Aboriginal	3294
Port Stephens	Both Aboriginal & Torres Strait Islander	64
Port Stephens	Non-indigenous	67928
Port Stephens	Torres Strait Islander	95
Prospect	Aboriginal	709
Prospect	Both Aboriginal & Torres Strait Islander	8
Prospect	Non-indigenous	80953
Prospect	Torres Strait Islander	47
Riverstone	Aboriginal	1259
Riverstone	Both Aboriginal & Torres Strait Islander	38
Riverstone	Non-indigenous	88544
Riverstone	Torres Strait Islander	22
Rockdale	Aboriginal	595
Rockdale	Both Aboriginal & Torres Strait Islander	16
Rockdale	Non-indigenous	85554
Rockdale	Torres Strait Islander	30
Ryde	Aboriginal	310
Ryde	Both Aboriginal & Torres Strait Islander	9
Ryde	Non-indigenous	92629
Ryde	Torres Strait Islander	16
Seven Hills	Aboriginal	1001
Seven Hills	Both Aboriginal & Torres Strait Islander	25
Seven Hills	Non-indigenous	83382
Seven Hills	Torres Strait Islander	34
Shellharbour	Aboriginal	2960
Shellharbour	Both Aboriginal & Torres Strait Islander	59
Shellharbour	Non-indigenous	78126
Shellharbour	Torres Strait Islander	70
South Coast	Aboriginal	3792
South Coast	Both Aboriginal & Torres Strait Islander	36
South Coast	Non-indigenous	65627
South Coast	Torres Strait Islander	76
Strathfield	Aboriginal	341
Strathfield	Non-indigenous	93600
Strathfield	Torres Strait Islander	21
Summer Hill	Aboriginal	888
Summer Hill	Both Aboriginal & Torres Strait Islander	29
Summer Hill	Non-indigenous	80107
Summer Hill	Torres Strait Islander	26
Swansea	Aboriginal	2964
Swansea	Both Aboriginal & Torres Strait Islander	58
Swansea	Non-indigenous	68203
Swansea	Torres Strait Islander	64
Sydney	Aboriginal	537
Sydney	Both Aboriginal & Torres Strait Islander	29
Sydney	Non-indigenous	97922
Sydney	Torres Strait Islander	50
Tamworth	Aboriginal	7791
Tamworth	Both Aboriginal & Torres Strait Islander	144
Tamworth	Non-indigenous	68933
Tamworth	Torres Strait Islander	161
Terrigal	Aboriginal	1536
Terrigal	Both Aboriginal & Torres Strait Islander	27
Terrigal	Non-indigenous	71519
Terrigal	Torres Strait Islander	58
The Entrance	Aboriginal	2539
The Entrance	Both Aboriginal & Torres Strait Islander	44
The Entrance	Non-indigenous	70401
The Entrance	Torres Strait Islander	52
Tweed	Aboriginal	2641
Tweed	Both Aboriginal & Torres Strait Islander	280
Tweed	Non-indigenous	72996
Tweed	Torres Strait Islander	239
Upper Hunter	Aboriginal	4850
Upper Hunter	Both Aboriginal & Torres Strait Islander	71
Upper Hunter	Non-indigenous	70489
Upper Hunter	Torres Strait Islander	117
Vaucluse	Aboriginal	228
Vaucluse	Both Aboriginal & Torres Strait Islander	6
Vaucluse	Non-indigenous	79547
Vaucluse	Torres Strait Islander	14
Wagga Wagga	Aboriginal	3957
Wagga Wagga	Both Aboriginal & Torres Strait Islander	59
Wagga Wagga	Non-indigenous	72437
Wagga Wagga	Torres Strait Islander	83
Wakehurst	Aboriginal	469
Wakehurst	Both Aboriginal & Torres Strait Islander	12
Wakehurst	Non-indigenous	78610
Wakehurst	Torres Strait Islander	16
Wallsend	Aboriginal	3161
Wallsend	Both Aboriginal & Torres Strait Islander	60
Wallsend	Non-indigenous	77508
Wallsend	Torres Strait Islander	58
Willoughby	Aboriginal	160
Willoughby	Both Aboriginal & Torres Strait Islander	4
Willoughby	Non-indigenous	84632
Willoughby	Torres Strait Islander	13
Wollondilly	Aboriginal	2010
Wollondilly	Both Aboriginal & Torres Strait Islander	27
Wollondilly	Non-indigenous	72502
Wollondilly	Torres Strait Islander	29
Wollongong	Aboriginal	2108
Wollongong	Both Aboriginal & Torres Strait Islander	27
Wollongong	Non-indigenous	80791
Wollongong	Torres Strait Islander	45
Wyong	Aboriginal	3856
Wyong	Both Aboriginal & Torres Strait Islander	73
Wyong	Non-indigenous	73125
Wyong	Torres Strait Islander	91
No usual address (NSW)	Aboriginal	789
No usual address (NSW)	Both Aboriginal & Torres Strait Islander	25
No usual address (NSW)	Non-indigenous	11448
No usual address (NSW)	Torres Strait Islander	26
Migratory - Offshore - Shipping (NSW)	Aboriginal	10
Migratory - Offshore - Shipping (NSW)	Non-indigenous	402
Albert Park (Southern Metropolitan)	Aboriginal	237
Albert Park (Southern Metropolitan)	Both Aboriginal & Torres Strait Islander	14
Albert Park (Southern Metropolitan)	Non-indigenous	75687
Albert Park (Southern Metropolitan)	Torres Strait Islander	13
Altona (Western Metropolitan)	Aboriginal	515
Altona (Western Metropolitan)	Both Aboriginal & Torres Strait Islander	7
Altona (Western Metropolitan)	Non-indigenous	91156
Altona (Western Metropolitan)	Torres Strait Islander	17
Bass (Eastern Victoria)	Aboriginal	578
Bass (Eastern Victoria)	Both Aboriginal & Torres Strait Islander	31
Bass (Eastern Victoria)	Non-indigenous	72063
Bass (Eastern Victoria)	Torres Strait Islander	29
Bayswater (Eastern Metropolitan)	Aboriginal	381
Bayswater (Eastern Metropolitan)	Both Aboriginal & Torres Strait Islander	4
Bayswater (Eastern Metropolitan)	Non-indigenous	61779
Bayswater (Eastern Metropolitan)	Torres Strait Islander	20
Bellarine (Western Victoria)	Aboriginal	468
Bellarine (Western Victoria)	Both Aboriginal & Torres Strait Islander	8
Bellarine (Western Victoria)	Non-indigenous	58733
Bellarine (Western Victoria)	Torres Strait Islander	13
Benambra (Northern Victoria)	Aboriginal	1205
Benambra (Northern Victoria)	Both Aboriginal & Torres Strait Islander	34
Benambra (Northern Victoria)	Non-indigenous	62925
Benambra (Northern Victoria)	Torres Strait Islander	58
Bendigo East (Northern Victoria)	Aboriginal	969
Bendigo East (Northern Victoria)	Both Aboriginal & Torres Strait Islander	21
Bendigo East (Northern Victoria)	Non-indigenous	63221
Bendigo East (Northern Victoria)	Torres Strait Islander	35
Bendigo West (Northern Victoria)	Aboriginal	928
Bendigo West (Northern Victoria)	Both Aboriginal & Torres Strait Islander	24
Bendigo West (Northern Victoria)	Non-indigenous	59137
Bendigo West (Northern Victoria)	Torres Strait Islander	33
Bentleigh (Southern Metropolitan)	Aboriginal	127
Bentleigh (Southern Metropolitan)	Both Aboriginal & Torres Strait Islander	3
Bentleigh (Southern Metropolitan)	Non-indigenous	60890
Bentleigh (Southern Metropolitan)	Torres Strait Islander	13
Box Hill (Eastern Metropolitan)	Aboriginal	119
Box Hill (Eastern Metropolitan)	Both Aboriginal & Torres Strait Islander	3
Box Hill (Eastern Metropolitan)	Non-indigenous	69215
Box Hill (Eastern Metropolitan)	Torres Strait Islander	12
Brighton (Southern Metropolitan)	Aboriginal	124
Brighton (Southern Metropolitan)	Non-indigenous	62367
Brighton (Southern Metropolitan)	Torres Strait Islander	7
Broadmeadows (Northern Metropolitan)	Aboriginal	433
Broadmeadows (Northern Metropolitan)	Both Aboriginal & Torres Strait Islander	18
Broadmeadows (Northern Metropolitan)	Non-indigenous	71862
Broadmeadows (Northern Metropolitan)	Torres Strait Islander	37
Brunswick (Northern Metropolitan)	Aboriginal	351
Brunswick (Northern Metropolitan)	Both Aboriginal & Torres Strait Islander	12
Brunswick (Northern Metropolitan)	Non-indigenous	70664
Brunswick (Northern Metropolitan)	Torres Strait Islander	20
Bulleen (Eastern Metropolitan)	Aboriginal	101
Bulleen (Eastern Metropolitan)	Both Aboriginal & Torres Strait Islander	8
Bulleen (Eastern Metropolitan)	Non-indigenous	61539
Bulleen (Eastern Metropolitan)	Torres Strait Islander	9
Bundoora (Northern Metropolitan)	Aboriginal	372
Bundoora (Northern Metropolitan)	Both Aboriginal & Torres Strait Islander	12
Bundoora (Northern Metropolitan)	Non-indigenous	61364
Bundoora (Northern Metropolitan)	Torres Strait Islander	16
Buninyong (Western Victoria)	Aboriginal	728
Buninyong (Western Victoria)	Both Aboriginal & Torres Strait Islander	20
Buninyong (Western Victoria)	Non-indigenous	58443
Buninyong (Western Victoria)	Torres Strait Islander	32
Burwood (Southern Metropolitan)	Aboriginal	174
Burwood (Southern Metropolitan)	Both Aboriginal & Torres Strait Islander	8
Burwood (Southern Metropolitan)	Non-indigenous	66494
Burwood (Southern Metropolitan)	Torres Strait Islander	10
Carrum (South-Eastern Metropolitan)	Aboriginal	567
Carrum (South-Eastern Metropolitan)	Both Aboriginal & Torres Strait Islander	9
Carrum (South-Eastern Metropolitan)	Non-indigenous	67107
Carrum (South-Eastern Metropolitan)	Torres Strait Islander	35
Caulfield (Southern Metropolitan)	Aboriginal	104
Caulfield (Southern Metropolitan)	Both Aboriginal & Torres Strait Islander	3
Caulfield (Southern Metropolitan)	Non-indigenous	65436
Caulfield (Southern Metropolitan)	Torres Strait Islander	9
Clarinda (South-Eastern Metropolitan)	Aboriginal	132
Clarinda (South-Eastern Metropolitan)	Both Aboriginal & Torres Strait Islander	10
Clarinda (South-Eastern Metropolitan)	Non-indigenous	73809
Clarinda (South-Eastern Metropolitan)	Torres Strait Islander	10
Cranbourne (South-Eastern Metropolitan)	Aboriginal	569
Cranbourne (South-Eastern Metropolitan)	Both Aboriginal & Torres Strait Islander	9
Cranbourne (South-Eastern Metropolitan)	Non-indigenous	96437
Cranbourne (South-Eastern Metropolitan)	Torres Strait Islander	25
Croydon (Eastern Metropolitan)	Aboriginal	300
Croydon (Eastern Metropolitan)	Both Aboriginal & Torres Strait Islander	3
Croydon (Eastern Metropolitan)	Non-indigenous	58728
Croydon (Eastern Metropolitan)	Torres Strait Islander	18
Dandenong (South-Eastern Metropolitan)	Aboriginal	411
Dandenong (South-Eastern Metropolitan)	Both Aboriginal & Torres Strait Islander	26
Dandenong (South-Eastern Metropolitan)	Non-indigenous	74445
Dandenong (South-Eastern Metropolitan)	Torres Strait Islander	24
Eildon (Northern Victoria)	Aboriginal	768
Eildon (Northern Victoria)	Both Aboriginal & Torres Strait Islander	20
Eildon (Northern Victoria)	Non-indigenous	57294
Eildon (Northern Victoria)	Torres Strait Islander	37
Eltham (Eastern Metropolitan)	Aboriginal	245
Eltham (Eastern Metropolitan)	Non-indigenous	58789
Eltham (Eastern Metropolitan)	Torres Strait Islander	8
Essendon (Western Metropolitan)	Aboriginal	258
Essendon (Western Metropolitan)	Both Aboriginal & Torres Strait Islander	15
Essendon (Western Metropolitan)	Non-indigenous	66718
Essendon (Western Metropolitan)	Torres Strait Islander	17
Euroa (Northern Victoria)	Aboriginal	976
Euroa (Northern Victoria)	Both Aboriginal & Torres Strait Islander	15
Euroa (Northern Victoria)	Non-indigenous	63185
Euroa (Northern Victoria)	Torres Strait Islander	25
Evelyn (Eastern Victoria)	Aboriginal	424
Evelyn (Eastern Victoria)	Both Aboriginal & Torres Strait Islander	13
Evelyn (Eastern Victoria)	Non-indigenous	56807
Evelyn (Eastern Victoria)	Torres Strait Islander	17
Ferntree Gully (Eastern Metropolitan)	Aboriginal	242
Ferntree Gully (Eastern Metropolitan)	Both Aboriginal & Torres Strait Islander	5
Ferntree Gully (Eastern Metropolitan)	Non-indigenous	57190
Ferntree Gully (Eastern Metropolitan)	Torres Strait Islander	10
Footscray (Western Metropolitan)	Aboriginal	363
Footscray (Western Metropolitan)	Both Aboriginal & Torres Strait Islander	10
Footscray (Western Metropolitan)	Non-indigenous	81025
Footscray (Western Metropolitan)	Torres Strait Islander	23
Forest Hill (Eastern Metropolitan)	Aboriginal	92
Forest Hill (Eastern Metropolitan)	Non-indigenous	59507
Forest Hill (Eastern Metropolitan)	Torres Strait Islander	11
Frankston (South-Eastern Metropolitan)	Aboriginal	583
Frankston (South-Eastern Metropolitan)	Both Aboriginal & Torres Strait Islander	24
Frankston (South-Eastern Metropolitan)	Non-indigenous	60545
Frankston (South-Eastern Metropolitan)	Torres Strait Islander	29
Geelong (Western Victoria)	Aboriginal	532
Geelong (Western Victoria)	Both Aboriginal & Torres Strait Islander	17
Geelong (Western Victoria)	Non-indigenous	62315
Geelong (Western Victoria)	Torres Strait Islander	22
Gembrook (Eastern Victoria)	Aboriginal	407
Gembrook (Eastern Victoria)	Both Aboriginal & Torres Strait Islander	4
Gembrook (Eastern Victoria)	Non-indigenous	67915
Gembrook (Eastern Victoria)	Torres Strait Islander	19
Gippsland East (Eastern Victoria)	Aboriginal	1443
Gippsland East (Eastern Victoria)	Both Aboriginal & Torres Strait Islander	8
Gippsland East (Eastern Victoria)	Non-indigenous	57732
Gippsland East (Eastern Victoria)	Torres Strait Islander	29
Gippsland South (Eastern Victoria)	Aboriginal	660
Gippsland South (Eastern Victoria)	Both Aboriginal & Torres Strait Islander	31
Gippsland South (Eastern Victoria)	Non-indigenous	56226
Gippsland South (Eastern Victoria)	Torres Strait Islander	26
Hastings (Eastern Victoria)	Aboriginal	743
Hastings (Eastern Victoria)	Both Aboriginal & Torres Strait Islander	11
Hastings (Eastern Victoria)	Non-indigenous	67479
Hastings (Eastern Victoria)	Torres Strait Islander	49
Hawthorn (Southern Metropolitan)	Aboriginal	113
Hawthorn (Southern Metropolitan)	Both Aboriginal & Torres Strait Islander	5
Hawthorn (Southern Metropolitan)	Non-indigenous	65205
Hawthorn (Southern Metropolitan)	Torres Strait Islander	8
Ivanhoe (Eastern Metropolitan)	Aboriginal	359
Ivanhoe (Eastern Metropolitan)	Both Aboriginal & Torres Strait Islander	9
Ivanhoe (Eastern Metropolitan)	Non-indigenous	63763
Ivanhoe (Eastern Metropolitan)	Torres Strait Islander	17
Kew (Southern Metropolitan)	Aboriginal	99
Kew (Southern Metropolitan)	Both Aboriginal & Torres Strait Islander	3
Kew (Southern Metropolitan)	Non-indigenous	63034
Kew (Southern Metropolitan)	Torres Strait Islander	10
Keysborough (South-Eastern Metropolitan)	Aboriginal	146
Keysborough (South-Eastern Metropolitan)	Both Aboriginal & Torres Strait Islander	3
Keysborough (South-Eastern Metropolitan)	Non-indigenous	69927
Keysborough (South-Eastern Metropolitan)	Torres Strait Islander	22
Kororoit (Western Metropolitan)	Aboriginal	430
Kororoit (Western Metropolitan)	Both Aboriginal & Torres Strait Islander	5
Kororoit (Western Metropolitan)	Non-indigenous	83278
Kororoit (Western Metropolitan)	Torres Strait Islander	19
Lara (Western Victoria)	Aboriginal	903
Lara (Western Victoria)	Both Aboriginal & Torres Strait Islander	21
Lara (Western Victoria)	Non-indigenous	64380
Lara (Western Victoria)	Torres Strait Islander	54
Lowan (Western Victoria)	Aboriginal	712
Lowan (Western Victoria)	Both Aboriginal & Torres Strait Islander	22
Lowan (Western Victoria)	Non-indigenous	55744
Lowan (Western Victoria)	Torres Strait Islander	34
Macedon (Northern Victoria)	Aboriginal	357
Macedon (Northern Victoria)	Both Aboriginal & Torres Strait Islander	12
Macedon (Northern Victoria)	Non-indigenous	57281
Macedon (Northern Victoria)	Torres Strait Islander	22
Malvern (Southern Metropolitan)	Aboriginal	138
Malvern (Southern Metropolitan)	Non-indigenous	58657
Malvern (Southern Metropolitan)	Torres Strait Islander	7
Melbourne (Northern Metropolitan)	Aboriginal	369
Melbourne (Northern Metropolitan)	Both Aboriginal & Torres Strait Islander	22
Melbourne (Northern Metropolitan)	Non-indigenous	114740
Melbourne (Northern Metropolitan)	Torres Strait Islander	19
Melton (Western Victoria)	Aboriginal	1127
Melton (Western Victoria)	Both Aboriginal & Torres Strait Islander	17
Melton (Western Victoria)	Non-indigenous	77449
Melton (Western Victoria)	Torres Strait Islander	29
Mildura (Northern Victoria)	Aboriginal	2284
Mildura (Northern Victoria)	Both Aboriginal & Torres Strait Islander	54
Mildura (Northern Victoria)	Non-indigenous	60880
Mildura (Northern Victoria)	Torres Strait Islander	78
Mill Park (Northern Metropolitan)	Aboriginal	534
Mill Park (Northern Metropolitan)	Both Aboriginal & Torres Strait Islander	8
Mill Park (Northern Metropolitan)	Non-indigenous	68027
Mill Park (Northern Metropolitan)	Torres Strait Islander	14
Monbulk (Eastern Victoria)	Aboriginal	280
Monbulk (Eastern Victoria)	Both Aboriginal & Torres Strait Islander	9
Monbulk (Eastern Victoria)	Non-indigenous	56759
Monbulk (Eastern Victoria)	Torres Strait Islander	15
Mordialloc (South-Eastern Metropolitan)	Aboriginal	252
Mordialloc (South-Eastern Metropolitan)	Both Aboriginal & Torres Strait Islander	12
Mordialloc (South-Eastern Metropolitan)	Non-indigenous	62679
Mordialloc (South-Eastern Metropolitan)	Torres Strait Islander	17
Mornington (Eastern Victoria)	Aboriginal	272
Mornington (Eastern Victoria)	Both Aboriginal & Torres Strait Islander	4
Mornington (Eastern Victoria)	Non-indigenous	61238
Mornington (Eastern Victoria)	Torres Strait Islander	15
Morwell (Eastern Victoria)	Aboriginal	933
Morwell (Eastern Victoria)	Both Aboriginal & Torres Strait Islander	28
Morwell (Eastern Victoria)	Non-indigenous	63417
Morwell (Eastern Victoria)	Torres Strait Islander	36
Mount Waverley (Eastern Metropolitan)	Aboriginal	122
Mount Waverley (Eastern Metropolitan)	Both Aboriginal & Torres Strait Islander	6
Mount Waverley (Eastern Metropolitan)	Non-indigenous	61960
Mount Waverley (Eastern Metropolitan)	Torres Strait Islander	8
Mulgrave (South-Eastern Metropolitan)	Aboriginal	122
Mulgrave (South-Eastern Metropolitan)	Both Aboriginal & Torres Strait Islander	9
Mulgrave (South-Eastern Metropolitan)	Non-indigenous	62228
Mulgrave (South-Eastern Metropolitan)	Torres Strait Islander	14
Murray Plains (Northern Victoria)	Aboriginal	1483
