SSC_CODE_2016,P_85y_ov_DNUDW,P_85y_ov_UDW_NS,P_85y_ov_Total,P_Tot_DUDW_LT_5_h,P_Tot_DUDW_5_14_h,P_Tot_DUDW_15_29_h,P_Tot_DUDW_30_h_mo,P_Tot_DNUDW,P_Tot_UDW_NS,P_Tot_Total
SSC11223,0,0,0,15,16,7,18,21,8,82
SSC11224,73,3,82,513,554,212,224,846,150,2504
SSC11225,0,0,0,3,11,7,3,4,4,25
SSC11226,0,0,0,0,0,0,0,0,3,7
SSC11227,127,50,320,5099,4842,1621,992,4058,1455,18057
SSC11228,0,0,0,3,0,4,0,0,0,5
SSC11229,0,0,4,12,19,11,24,3,6,80
SSC11230,0,0,0,7,9,5,3,3,0,22
SSC11231,0,0,9,69,102,49,42,77,58,396
SSC11232,0,0,0,14,24,19,22,21,13,116
SSC11233,4,8,17,59,65,57,34,48,43,309
SSC11234,3,0,6,75,105,69,75,93,76,500
SSC11235,9,11,40,429,421,146,134,348,229,1701
SSC11236,52,10,69,85,130,53,51,173,68,563
SSC11237,155,59,278,1186,1635,775,621,1443,833,6500
SSC11238,29,9,84,751,813,464,313,642,131,3106
SSC11239,12,4,52,406,458,237,175,399,79,1758
SSC11240,9,0,16,173,197,99,76,150,21,717
SSC11241,16,16,52,278,382,167,157,277,153,1413
SSC11242,0,0,3,3,9,6,3,0,0,19
SSC11243,0,0,0,3,10,5,3,3,3,30
SSC11244,0,0,0,0,0,0,0,0,0,0
SSC11245,0,0,0,7,15,17,12,9,7,66
SSC11246,0,0,0,0,7,0,3,0,3,16
SSC11247,0,0,0,0,0,0,0,6,3,13
SSC11248,5,3,13,381,400,224,213,734,180,2134
SSC11249,3,0,4,6,9,4,10,3,0,27
SSC11250,0,0,0,3,3,3,6,3,0,22
SSC11251,3,5,16,128,201,134,98,111,61,730
SSC11252,0,0,0,0,0,0,0,0,3,3
SSC11253,0,0,0,0,15,6,4,7,12,39
SSC11254,0,0,0,3,10,0,0,3,0,18
SSC11255,0,0,0,14,19,14,9,9,16,76
SSC11256,0,0,0,5,7,7,5,10,4,42
SSC11257,0,0,0,0,4,6,3,0,0,16
SSC11258,0,0,0,0,0,0,0,0,0,0
SSC11259,0,0,0,6,5,7,10,15,10,52
SSC11260,0,0,0,10,14,7,9,12,12,67
SSC11261,0,0,0,10,17,7,5,14,12,65
SSC11262,3,0,5,11,22,23,17,17,13,104
SSC11263,0,0,0,6,13,8,6,0,10,50
SSC11264,0,0,0,12,6,6,4,7,0,31
SSC11265,0,0,0,0,0,0,0,0,4,5
SSC11266,7,3,16,140,142,66,56,79,14,500
SSC11267,23,9,50,381,361,116,79,374,90,1406
SSC11268,0,0,0,15,17,11,5,11,8,58
SSC11269,3,0,12,20,44,21,20,31,32,177
SSC11270,0,0,0,32,30,18,13,14,3,113
SSC11271,0,0,0,9,9,4,3,4,0,22
SSC11272,4,4,12,102,147,99,82,98,45,576
SSC11273,3,0,7,12,13,19,11,13,17,84
SSC11274,3,3,12,33,42,35,27,46,31,223
SSC11275,69,22,139,2155,2295,951,959,3494,869,10713
SSC11276,0,0,0,59,86,49,30,54,29,313
SSC11277,13,9,44,254,407,205,152,275,113,1410
SSC11278,28,13,59,159,289,165,134,182,101,1028
SSC11279,0,0,3,13,25,14,8,21,12,90
SSC11280,0,0,0,26,38,16,7,9,23,121
SSC11281,58,35,171,1349,1023,307,210,759,465,4117
SSC11282,0,0,0,17,22,15,24,19,10,112
SSC11283,4,0,14,229,286,146,133,195,99,1092
SSC11284,36,16,96,838,801,335,222,613,186,2995
SSC11285,0,0,0,20,39,14,16,17,6,99
SSC11286,3,0,3,48,58,32,24,75,11,252
SSC11287,17,9,49,44,81,42,44,111,49,374
SSC11288,0,0,0,3,10,7,7,11,7,37
SSC11289,0,0,0,0,0,0,0,0,0,0
SSC11290,3,0,4,36,61,41,48,62,59,301
SSC11291,0,0,0,3,0,0,3,4,7,17
SSC11292,0,0,0,17,8,4,17,7,5,63
SSC11293,217,48,388,2817,2796,1009,659,1838,922,10046
SSC11294,0,0,0,5,11,0,11,4,3,33
SSC11295,0,0,0,5,16,3,4,8,3,37
SSC11296,394,146,837,6325,8319,3747,2907,6454,2936,30692
SSC11297,0,0,0,5,10,4,11,10,3,48
SSC11298,0,0,4,19,25,9,12,19,6,92
SSC11299,0,0,0,6,14,4,3,3,12,44
SSC11300,8,3,43,426,600,291,226,252,112,1898
SSC11301,3,0,7,91,85,58,49,93,11,388
SSC11302,0,0,3,29,25,19,24,16,3,107
SSC11303,85,35,196,3383,3256,1132,637,2131,1018,11558
SSC11304,0,0,0,16,26,14,19,19,22,115
SSC11305,0,0,0,9,25,12,6,3,7,59
SSC11306,0,0,0,12,23,9,9,4,4,56
SSC11307,0,0,0,3,8,4,3,3,3,25
SSC11308,0,0,0,0,0,0,0,0,0,0
SSC11309,0,3,13,50,79,49,35,48,46,305
SSC11310,12,8,31,157,259,136,100,191,82,923
SSC11311,0,0,0,7,15,3,4,9,10,42
SSC11312,27,10,65,804,919,422,336,1084,265,3833
SSC11313,36,18,74,991,1068,448,370,1183,306,4358
SSC11314,0,0,3,27,29,28,17,17,20,134
SSC11315,0,0,0,19,16,8,8,17,8,83
SSC11316,30,12,52,140,194,113,126,207,203,994
SSC11317,0,0,0,11,12,3,6,12,7,46
SSC11318,0,0,3,36,63,34,16,17,9,172
SSC11319,0,0,0,0,3,0,0,0,0,3
SSC11320,34,32,99,275,437,219,218,339,216,1699
SSC11321,3,0,5,56,82,51,41,45,32,302
SSC11322,0,0,0,10,12,12,3,6,3,36
SSC11323,3,0,4,33,49,29,19,37,9,171
SSC11324,0,0,3,10,15,13,9,17,4,72
SSC11325,4,0,4,122,180,90,49,67,59,565
SSC11326,0,0,6,76,152,70,54,54,20,429
SSC11327,0,0,0,5,5,0,0,0,0,8
SSC11328,153,28,239,1483,1606,840,618,1284,366,6189
SSC11329,0,0,0,0,0,0,0,0,0,0
SSC11330,0,0,0,42,48,31,25,6,16,174
SSC11331,0,0,6,30,51,37,15,35,32,205
SSC11332,3,0,10,76,95,73,47,91,44,427
SSC11333,0,0,0,11,9,9,8,12,4,60
SSC11334,0,0,0,17,17,15,13,9,9,79
SSC11335,0,0,0,0,8,3,4,0,4,25
SSC11336,0,0,3,7,20,15,10,13,0,55
SSC11337,0,0,0,0,0,0,0,0,0,0
SSC11338,0,0,8,62,69,47,38,42,36,288
SSC11339,0,0,0,9,21,10,17,14,10,79
SSC11340,0,0,0,12,24,11,5,5,6,65
SSC11341,17,0,24,1068,1117,462,424,1299,229,4601
SSC11342,0,0,3,25,49,34,34,21,8,166
SSC11343,235,56,503,3358,3564,1661,1219,3618,1082,14496
SSC11344,97,28,202,1202,1470,630,388,931,388,5016
SSC11345,60,28,156,1046,1442,670,399,815,285,4653
SSC11346,3,3,8,297,375,163,181,196,115,1317
SSC11347,0,0,3,34,53,24,17,35,13,176
SSC11348,28,23,79,668,802,317,247,571,169,2783
SSC11349,80,35,191,782,974,404,340,715,322,3540
SSC11350,0,0,3,39,60,23,36,67,15,240
SSC11351,29,8,70,612,632,305,218,726,168,2658
SSC11352,5,3,14,152,181,64,38,74,39,552
SSC11353,0,0,0,29,10,14,7,14,8,81
SSC11354,17,13,42,170,252,137,123,235,141,1058
SSC11355,22,4,64,613,607,336,256,513,114,2439
SSC11356,7,0,21,323,498,254,192,262,174,1709
SSC11357,47,12,131,778,806,453,285,457,100,2885
SSC11358,115,37,215,839,1100,445,377,841,500,4105
SSC11359,0,0,0,18,22,10,8,6,3,75
SSC11360,171,82,365,2100,2551,1271,912,2049,802,9681
SSC11361,23,0,70,497,599,292,173,323,47,1932
SSC11362,0,0,0,57,91,39,24,34,21,270
SSC11363,76,25,159,1009,1219,595,432,748,376,4379
SSC11364,0,0,3,28,44,25,21,39,28,188
SSC11365,3,0,4,39,81,27,30,44,31,247
SSC11366,0,4,10,115,176,63,60,156,44,616
SSC11367,11,5,32,169,159,69,76,191,55,719
SSC11368,53,24,131,1164,1261,514,417,1856,460,5670
SSC11369,146,28,356,3538,3571,1773,1295,4224,748,15154
SSC11370,0,0,0,27,43,24,29,46,11,173
SSC11371,4,4,11,173,221,97,83,146,65,785
SSC11372,0,0,0,25,44,18,28,11,21,146
SSC11373,0,0,0,10,13,0,9,0,3,35
SSC11374,0,0,0,0,0,0,0,0,0,0
SSC11375,71,39,133,428,636,329,297,624,333,2647
SSC11376,0,0,0,17,39,26,8,20,20,144
SSC11377,73,4,101,1650,1496,700,681,3084,395,8008
SSC11378,0,0,0,6,14,12,13,10,8,62
SSC11379,49,22,122,711,586,168,95,414,330,2303
SSC11380,0,0,0,17,18,9,15,18,8,83
SSC11381,124,26,216,1022,1265,600,539,1262,340,5020
SSC11382,0,0,3,14,10,9,13,16,10,84
SSC11383,8,0,14,347,427,180,176,407,125,1657
SSC11384,0,0,0,0,0,0,0,0,0,0
SSC11385,0,0,0,4,6,0,0,0,0,11
SSC11386,7,4,26,388,522,233,194,248,143,1720
SSC11387,0,0,0,0,0,0,0,3,0,3
SSC11388,0,0,0,14,38,25,34,15,42,171
SSC11389,24,6,72,845,976,493,351,503,145,3325
SSC11390,0,0,0,11,6,0,3,0,0,24
SSC11391,20,8,43,1088,1316,562,428,870,274,4544
SSC11392,0,0,5,25,30,18,7,16,11,104
SSC11393,67,13,129,1005,1421,748,512,751,221,4653
SSC11394,104,20,177,927,1288,610,461,962,243,4501
SSC11395,45,141,239,1755,1192,277,108,880,791,5005
SSC11396,0,4,9,22,67,22,22,28,21,179
SSC11397,3,0,3,387,392,160,146,577,113,1782
SSC11398,6,0,10,169,219,140,99,156,81,869
SSC11399,0,0,5,44,71,49,31,59,35,290
SSC11400,0,0,0,37,58,27,29,60,51,267
SSC11401,0,0,0,28,29,22,22,19,28,160
SSC11402,0,0,3,3,9,5,9,4,4,29
SSC11403,0,0,0,10,21,7,18,11,3,65
SSC11404,0,0,0,14,20,10,5,9,28,92
SSC11405,0,0,9,151,196,110,91,104,27,676
SSC11406,0,0,3,17,21,10,19,23,9,99
SSC11407,0,0,0,14,32,16,14,18,11,101
SSC11408,0,9,15,57,86,12,18,25,81,287
SSC11409,0,0,4,55,85,45,38,33,23,279
SSC11410,0,0,0,23,27,6,0,3,14,82
SSC11411,16,8,29,383,550,290,189,266,92,1761
SSC11412,0,0,0,19,23,8,23,18,19,109
SSC11413,9,3,16,305,305,114,157,599,205,1677
SSC11414,3,3,12,65,103,55,60,102,59,447
SSC11415,13,0,28,402,549,252,232,348,121,1901
SSC11416,3,0,3,33,22,21,20,28,22,153
SSC11417,11,3,24,657,785,318,264,469,101,2598
SSC11418,125,23,204,1471,1754,844,696,1453,597,6817
SSC11419,0,0,0,32,38,21,13,11,14,135
SSC11420,0,0,0,0,0,0,0,0,0,0
SSC11421,29,10,65,611,576,221,192,661,129,2394
SSC11422,157,25,288,3064,3972,1949,1344,2459,513,13301
SSC11423,0,0,3,67,73,29,31,85,28,317
SSC11424,0,0,0,3,11,13,4,9,6,51
SSC11425,18,6,43,1171,990,253,131,513,382,3431
SSC11426,0,0,0,19,27,8,5,29,17,110
SSC11427,0,0,0,0,0,0,0,0,0,0
SSC11428,227,50,501,4827,5004,2384,1748,4960,739,19661
SSC11429,0,0,0,23,55,36,25,21,15,181
SSC11430,0,0,0,4,3,0,3,3,0,17
SSC11431,0,0,3,4,12,3,4,10,3,32
SSC11432,0,0,3,12,10,11,3,10,3,38
SSC11433,367,100,637,744,995,512,352,1224,365,4192
SSC11434,0,0,4,67,96,60,35,47,23,320
SSC11435,143,25,247,1892,2112,919,780,2285,574,8559
SSC11436,3,0,8,116,132,65,71,110,37,529
SSC11437,0,0,0,0,19,6,7,3,0,30
SSC11438,15,5,30,1332,1372,570,451,1219,241,5195
SSC11439,8,7,30,2621,2217,479,213,922,670,7127
SSC11440,0,0,0,19,26,9,8,11,13,85
SSC11441,6,3,13,490,543,227,215,487,89,2048
SSC11442,0,0,0,0,0,0,0,0,0,0
SSC11443,3,0,5,10,22,12,14,20,11,79
SSC11444,61,13,93,498,516,209,135,366,110,1831
SSC11445,95,36,235,790,1021,521,397,1013,412,4158
SSC11446,0,0,0,3,12,10,3,7,5,35
SSC11447,0,0,0,0,0,0,0,0,0,0
SSC11448,0,0,0,23,17,18,18,20,9,102
SSC11449,0,0,0,23,36,17,13,34,12,137
SSC11450,0,0,0,3,10,6,6,11,8,43
SSC11451,0,0,3,21,30,13,20,15,19,114
SSC11452,0,0,0,19,36,19,18,33,32,149
SSC11453,0,0,0,4,7,0,0,0,0,12
SSC11454,17,4,23,126,154,79,84,149,66,660
SSC11455,0,0,0,5,17,13,6,9,9,58
SSC11456,0,0,0,41,66,37,42,37,42,264
SSC11457,0,0,0,28,47,19,12,17,14,137
SSC11458,0,0,0,63,92,45,44,56,31,334
SSC11459,3,0,6,29,34,26,26,41,22,183
SSC11460,0,0,7,46,75,41,29,35,37,261
SSC11461,0,3,6,52,89,52,28,27,26,269
SSC11462,0,0,3,7,6,3,6,0,3,28
SSC11463,0,0,0,9,17,15,7,17,12,74
SSC11464,0,0,4,57,65,56,39,42,28,280
SSC11465,0,0,0,13,16,9,8,5,7,57
SSC11466,0,0,0,15,27,13,8,12,3,75
SSC11467,0,0,0,28,39,24,13,20,13,129
SSC11468,3,0,9,110,128,67,57,133,132,626
SSC11469,43,20,109,456,646,315,241,491,269,2422
SSC11470,0,0,3,31,33,25,10,15,9,127
SSC11471,0,0,0,157,127,42,22,119,86,553
SSC11472,0,0,6,40,37,12,19,34,22,160
SSC11473,0,0,0,3,21,16,11,9,3,65
SSC11474,0,0,6,144,195,90,51,65,121,677
SSC11475,8,8,23,130,246,158,116,92,60,801
SSC11476,3,0,12,63,117,73,81,91,38,454
SSC11477,166,43,309,2396,2403,990,1079,6663,1100,14638
SSC11478,77,15,117,730,679,293,308,1738,412,4164
SSC11479,72,11,137,926,941,456,466,2693,470,5937
SSC11480,71,13,141,1759,1708,799,790,3564,639,9268
SSC11481,0,0,0,3,5,5,3,0,0,15
SSC11482,37,24,120,1434,1452,578,318,715,319,4813
SSC11483,3,4,12,51,90,41,40,58,30,313
SSC11484,93,27,194,1447,1591,681,501,1593,439,6251
SSC11485,0,0,0,3,9,0,4,3,4,24
SSC11486,0,0,0,4,8,5,4,3,0,36
SSC11487,0,3,7,151,208,132,82,141,86,796
SSC11488,0,0,4,39,41,42,15,31,28,194
SSC11489,0,0,0,3,6,4,3,0,0,13
SSC11490,0,0,7,44,56,20,20,22,16,178
SSC11491,53,31,95,770,945,507,337,599,225,3378
SSC11492,0,0,0,3,3,4,5,7,0,28
SSC11493,0,0,0,13,37,17,12,12,9,98
SSC11494,0,0,0,0,4,0,3,0,0,12
SSC11495,5,3,7,121,130,79,61,97,38,521
SSC11496,20,9,50,763,1003,519,327,441,140,3192
SSC11497,0,0,3,14,26,12,9,7,5,67
SSC11498,0,0,5,21,29,13,15,22,23,126
SSC11499,3,0,8,104,161,84,61,58,94,568
SSC11500,4,4,32,295,325,202,177,294,82,1375
SSC11501,22,20,63,453,588,346,271,461,232,2339
SSC11502,0,0,0,7,9,14,4,11,21,60
SSC11503,0,0,0,0,0,0,3,0,8,13
SSC11504,0,0,0,9,8,7,4,0,3,33
SSC11505,0,0,8,18,43,13,8,23,3,110
SSC11506,0,0,3,23,33,21,8,15,4,109
SSC11507,15,9,31,170,208,92,76,246,84,871
SSC11508,0,0,5,44,86,33,27,26,34,243
SSC11509,0,0,6,58,84,54,27,41,26,303
SSC11510,0,0,0,13,10,4,6,3,3,38
SSC11511,0,0,0,42,68,32,23,33,21,210
SSC11512,0,0,3,16,18,15,8,10,9,74
SSC11513,3,0,3,53,59,27,24,28,13,191
SSC11514,0,0,3,17,15,10,17,22,15,101
SSC11515,189,40,333,2021,2549,1267,974,1947,524,9277
SSC11516,0,0,0,3,5,3,3,3,0,23
SSC11517,0,0,3,7,7,3,3,3,0,22
SSC11518,37,51,123,213,328,202,163,279,266,1439
SSC11519,3,0,10,93,106,64,50,96,74,482
SSC11520,60,17,105,379,474,263,212,456,298,2087
SSC11521,0,0,6,36,57,43,28,45,20,235
SSC11522,0,0,0,14,12,6,10,4,5,57
SSC11523,0,0,6,54,109,56,46,61,72,394
SSC11524,0,0,4,23,28,17,17,35,15,138
SSC11525,0,0,0,5,9,3,5,4,0,31
SSC11526,7,0,22,151,261,166,110,163,44,900
SSC11527,0,0,0,8,8,6,7,0,7,41
SSC11528,0,0,0,3,0,4,0,0,0,6
SSC11529,0,0,4,32,54,22,16,20,24,174
SSC11530,132,36,270,1962,2026,812,629,1592,588,7608
SSC11531,0,3,3,0,3,3,3,6,5,24
SSC11532,0,0,0,3,9,8,0,0,3,26
SSC11533,3,0,7,896,1114,490,355,638,153,3654
SSC11534,24,12,61,1168,1458,652,513,982,323,5088
SSC11535,4,5,13,347,437,202,146,240,56,1425
SSC11536,130,45,242,1206,1606,829,725,1537,841,6742
SSC11537,0,0,0,12,12,8,8,14,3,50
SSC11538,0,0,0,4,0,0,0,3,0,13
SSC11539,0,0,0,29,38,26,19,26,8,135
SSC11540,0,0,0,9,6,5,6,6,13,40
SSC11541,0,0,0,4,22,19,8,7,10,68
SSC11542,0,0,0,18,21,7,7,6,0,54
SSC11543,0,0,0,23,21,25,13,5,9,90
SSC11544,7,0,11,381,469,167,184,425,124,1750
SSC11545,0,0,0,0,0,0,0,0,0,0
SSC11546,8,8,24,1446,1082,274,123,831,354,4104
SSC11547,3,0,3,78,118,45,49,52,32,368
SSC11548,107,57,297,1562,1874,908,587,1168,335,6428
SSC11549,19,9,59,498,718,344,262,359,138,2319
SSC11550,285,219,777,1937,2913,1676,1259,2689,1327,11802
SSC11551,0,0,0,3,6,4,0,4,5,27
SSC11552,0,0,0,25,14,9,8,12,6,73
SSC11553,0,0,0,21,27,15,11,13,13,101
SSC11554,0,0,3,136,152,92,74,91,34,579
SSC11555,0,0,0,0,0,0,0,0,0,0
SSC11556,0,0,0,0,0,0,0,5,0,6
SSC11557,0,0,0,6,3,0,0,8,9,31
SSC11558,0,0,6,15,32,33,20,14,21,132
SSC11559,0,0,0,0,0,0,0,0,0,0
SSC11560,0,0,0,23,51,20,23,22,4,152
SSC11561,76,7,89,179,265,116,125,334,108,1128
SSC11562,0,0,0,0,0,0,0,0,0,0
SSC11563,0,0,0,0,0,0,0,0,0,0
SSC11564,3,6,22,351,409,191,174,341,100,1568
SSC11565,0,0,0,16,21,11,4,20,13,91
SSC11566,0,0,0,0,14,0,0,0,3,15
SSC11567,0,0,0,4,0,0,4,4,0,16
SSC11568,66,29,197,2624,3006,1522,918,1808,426,10306
SSC11569,48,20,127,2108,2122,672,470,1132,520,7029
SSC11570,0,0,0,28,28,12,17,24,13,124
SSC11571,0,0,4,32,24,17,21,17,11,123
SSC11572,0,0,0,19,18,13,12,13,12,88
SSC11573,0,0,0,0,3,0,0,0,0,4
SSC11574,0,0,0,6,13,5,7,10,0,38
SSC11575,4,4,12,60,138,94,68,96,64,516
SSC11576,0,0,0,8,10,0,0,4,5,28
SSC11577,0,0,0,5,10,3,0,3,3,30
SSC11578,0,0,0,0,0,0,0,3,0,3
SSC11579,0,0,0,10,8,3,11,6,8,45
SSC11580,0,0,3,28,40,28,32,26,20,170
SSC11581,0,0,0,13,12,4,15,18,4,72
SSC11582,89,19,164,537,725,372,313,470,119,2540
SSC11583,0,0,3,12,20,8,16,16,7,84
SSC11584,0,0,0,0,3,0,4,3,3,16
SSC11585,6,3,16,89,150,112,76,104,77,609
SSC11586,0,0,5,44,59,19,20,64,49,246
SSC11587,47,21,80,362,440,238,136,302,105,1576
SSC11588,0,0,3,18,29,3,11,8,7,79
SSC11589,0,0,0,13,12,8,7,6,3,49
SSC11590,0,0,0,3,0,0,3,0,3,11
SSC11591,0,0,4,17,23,12,7,13,15,80
SSC11592,3,3,8,12,24,9,14,10,6,75
SSC11593,0,0,0,27,34,16,13,24,14,128
SSC11594,31,6,61,416,579,280,284,694,217,2465
SSC11595,0,0,0,0,0,0,0,4,0,3
SSC11596,0,0,0,0,0,0,0,0,0,0
SSC11597,0,0,0,17,37,14,7,18,5,104
SSC11598,0,0,0,0,4,4,3,3,0,13
SSC11599,10,6,23,99,136,92,87,105,73,600
SSC11600,0,0,0,5,3,0,3,3,0,18
SSC11601,244,18,327,1407,1514,709,712,2219,483,7042
SSC11602,0,3,8,36,48,22,19,25,51,201
SSC11603,9,8,42,406,480,191,135,296,108,1611
SSC11604,0,0,0,34,68,35,13,24,30,196
SSC11605,3,0,6,84,119,56,72,64,41,434
SSC11606,99,45,185,676,939,441,325,517,326,3224
SSC11607,8,3,17,126,153,78,55,99,74,587
SSC11608,3,0,6,101,156,91,67,95,78,588
SSC11609,0,0,0,5,7,9,6,11,4,36
SSC11610,0,0,0,4,15,3,4,14,8,47
SSC11611,0,0,0,7,12,4,13,8,5,45
SSC11612,0,0,0,5,22,16,10,8,11,72
SSC11613,0,0,0,0,7,0,3,3,11,20
SSC11614,0,0,0,0,0,0,0,0,0,0
SSC11615,0,0,0,6,14,3,7,3,7,48
SSC11616,0,0,0,13,11,9,6,8,10,61
SSC11617,0,68,73,37,79,39,25,55,166,410
SSC11618,3,3,5,85,138,73,66,143,84,589
SSC11619,64,22,120,398,555,310,287,678,317,2542
SSC11620,0,0,0,8,13,7,3,3,4,30
SSC11621,0,0,0,0,0,0,0,0,0,0
SSC11622,0,3,5,20,23,9,6,26,36,123
SSC11623,0,0,3,7,4,3,3,4,4,26
SSC11624,8,11,31,559,687,273,265,404,155,2334
SSC11625,0,0,0,4,8,3,0,0,0,20
SSC11626,0,0,4,19,39,19,24,27,8,134
SSC11627,0,0,0,19,11,20,10,7,14,73
SSC11628,0,0,3,11,10,11,4,0,4,49
SSC11629,0,0,0,0,3,0,3,0,0,12
SSC11630,0,0,0,15,14,9,9,8,12,74
SSC11631,11,4,27,252,329,156,87,183,92,1109
SSC11632,0,0,4,12,14,10,9,19,15,80
SSC11633,0,0,0,0,0,0,0,0,0,0
SSC11634,0,0,0,14,9,8,4,10,3,46
SSC11635,0,0,0,4,7,11,13,0,3,44
SSC11636,39,12,85,802,991,483,431,1198,290,4201
SSC11637,0,0,0,22,37,18,21,27,12,138
SSC11638,185,28,339,2576,2674,1154,723,1915,615,9657
SSC11639,4,5,15,56,68,43,39,71,38,313
SSC11640,0,0,0,34,47,13,8,18,11,135
SSC11641,55,55,168,3208,2612,817,445,2071,1314,10469
SSC11642,0,0,0,3,7,5,4,4,0,23
SSC11643,0,0,0,3,9,3,3,4,19,46
SSC11644,0,0,0,3,3,0,0,0,0,10
SSC11645,18,0,34,976,1043,479,332,776,154,3764
SSC11646,0,0,0,8,23,9,18,8,23,91
SSC11647,0,0,0,6,6,4,4,3,178,207
SSC11648,0,0,0,0,3,0,0,0,0,6
SSC11649,101,67,243,813,1170,635,620,1093,679,5019
SSC11650,0,0,0,24,34,19,25,15,13,128
SSC11651,0,0,0,0,0,0,0,0,0,0
SSC11652,0,0,0,74,80,25,28,42,36,286
SSC11653,0,0,0,0,0,0,0,0,0,6
SSC11654,0,0,0,21,26,17,16,11,4,98
SSC11655,0,0,0,13,16,8,13,4,8,56
SSC11656,25,13,78,948,1316,622,411,569,197,4061
SSC11657,0,0,0,13,32,19,30,27,25,158
SSC11658,30,11,66,512,659,344,285,544,157,2508
SSC11659,7,0,15,855,904,388,354,1098,176,3775
SSC11660,0,0,0,12,25,20,14,10,7,95
SSC11661,0,0,0,28,48,41,27,31,25,200
SSC11662,0,0,0,10,7,3,0,4,0,24
SSC11663,0,0,0,32,33,25,12,5,5,103
SSC11664,46,185,251,1530,1899,797,695,1847,773,7540
SSC11665,57,23,121,915,1125,471,382,872,295,4061
SSC11666,0,0,0,16,31,20,7,18,38,131
SSC11667,92,21,213,1305,1438,762,582,999,221,5309
SSC11668,0,0,3,55,95,46,53,43,28,317
SSC11669,0,0,0,23,33,9,9,9,9,93
SSC11670,54,15,101,4367,5077,2071,1589,3429,839,17374
SSC11671,0,0,0,9,3,3,9,9,0,36
SSC11672,8,3,28,371,458,240,176,282,79,1609
SSC11673,16,6,50,621,711,364,352,502,250,2809
SSC11674,0,0,0,39,51,28,15,28,12,173
SSC11675,0,3,16,133,170,95,113,110,82,699
SSC11676,0,0,3,46,46,32,17,50,29,216
SSC11677,0,0,0,9,12,5,0,8,0,30
SSC11678,71,3,93,616,751,361,216,626,155,2720
SSC11679,0,0,0,10,15,9,9,9,3,56
SSC11680,0,0,6,32,30,31,30,43,33,207
SSC11681,0,0,0,28,48,18,24,36,26,174
SSC11682,43,4,65,3157,3336,1492,1146,2886,369,12380
SSC11683,0,0,0,0,0,3,0,0,3,7
SSC11684,0,3,12,527,621,255,234,365,145,2143
SSC11685,66,29,139,379,603,355,333,569,219,2458
SSC11686,0,0,0,0,0,0,0,0,0,0
SSC11687,0,0,0,0,0,0,0,0,0,0
SSC11688,0,0,0,4,9,7,8,7,9,41
SSC11689,0,0,0,101,121,37,32,50,23,368
SSC11690,0,0,0,19,29,20,11,20,19,117
SSC11691,0,0,0,15,12,8,16,4,3,62
SSC11692,0,0,0,13,27,10,8,14,0,71
SSC11693,4,0,18,267,298,166,127,193,96,1149
SSC11694,3,0,4,13,17,10,10,15,27,96
SSC11695,0,0,0,3,16,11,4,8,9,50
SSC11696,0,0,0,7,8,8,3,4,4,35
SSC11697,0,0,0,10,9,3,3,5,3,38
SSC11698,0,0,0,8,13,13,9,7,6,56
SSC11699,0,0,3,7,11,0,3,3,0,29
SSC11700,0,0,3,22,34,22,11,18,16,127
SSC11701,0,0,3,14,24,17,10,13,11,85
SSC11702,0,0,0,25,40,10,11,87,11,184
SSC11703,0,0,0,8,20,3,7,12,11,63
SSC11704,0,0,0,498,646,281,159,247,180,2010
SSC11705,3,0,3,62,96,33,32,67,27,315
SSC11706,0,0,0,18,23,6,10,13,7,69
SSC11707,0,0,3,19,26,13,8,14,10,91
SSC11708,0,0,0,30,58,13,19,20,11,145
SSC11709,0,0,4,51,77,48,43,70,23,316
SSC11710,0,0,0,9,11,4,3,4,0,38
SSC11711,237,90,486,2221,2815,1364,1088,2024,957,10467
SSC11712,0,0,3,56,87,53,31,45,33,305
SSC11713,0,0,0,5,0,0,0,0,3,10
SSC11714,0,0,0,15,14,10,3,3,6,53
SSC11715,0,0,0,19,33,9,8,13,3,82
SSC11716,0,0,0,4,15,6,9,10,8,52
SSC11717,0,0,0,4,3,3,0,8,0,24
SSC11718,148,18,261,1630,1715,798,593,1252,291,6281
SSC11719,0,0,0,4,0,0,0,0,3,11
SSC11720,37,39,85,116,135,64,52,159,141,658
SSC11721,100,57,208,1311,1636,808,716,1600,791,6854
SSC11722,15,5,43,846,833,241,163,651,368,3112
SSC11723,0,0,0,8,8,5,18,17,9,65
SSC11724,0,0,0,3,7,3,0,3,0,22
SSC11725,202,238,667,3530,4590,2137,1679,3954,2470,18355
SSC11726,0,0,0,0,4,0,0,3,0,7
SSC11727,0,0,0,7,6,3,6,7,3,29
SSC11728,0,0,0,4,3,3,0,0,0,18
SSC11729,0,0,0,57,69,47,38,32,3,250
SSC11730,0,0,0,18,17,9,12,5,5,69
SSC11731,4,0,5,39,56,27,23,28,47,214
SSC11732,0,0,0,8,11,3,7,8,7,40
SSC11733,267,66,471,1491,2115,1048,902,1898,1071,8520
SSC11734,0,0,0,0,0,0,0,0,0,3
SSC11735,0,0,0,12,10,11,7,10,3,52
SSC11736,0,0,0,16,23,0,11,16,20,81
SSC11737,0,0,0,0,0,0,0,0,0,0
SSC11738,63,3,99,2506,2383,1019,949,4414,1185,12460
SSC11739,168,98,323,299,369,169,132,529,219,1716
SSC11740,0,0,0,5,14,12,7,8,14,75
SSC11741,0,0,0,60,61,44,36,37,23,264
