SSC_CODE_2016,CF_no_children_F,CF_no_children_P,CF_ChU15_a_DSs_a_NdCh_F,CF_ChU15_a_DSs_a_NdCh_P,CF_ChU15_a_DSs_a_no_NdCh_F,CF_ChU15_a_DSs_a_no_NdCh_P,CF_ChU15_a_no_DSs_a_NdCh_F,CF_ChU15_a_no_DSs_a_NdCh_P,CF_ChU15_a_no_DSs_a_no_NdCh_F,CF_ChU15_a_no_DSs_a_no_NdCh_P,CF_ChU15_a_Total_F,CF_ChU15_a_Total_P,CF_no_ChU15_a_DSs_a_NdCh_F,CF_no_ChU15_a_DSs_a_NdCh_P,CF_no_ChU15_a_DSs_a_no_NdCh_F,CF_no_ChU15_a_DSs_a_no_NdCh_P,CF_no_ChU15_a_no_DSs_a_NdCh_F,CF_no_ChU15_a_no_DSs_a_NdCh_P,CF_no_ChU15_a_Total_F,CF_no_ChU15_a_Total_P,CF_Total_F,CF_Total_P,OPF_ChU15_a_DSs_a_NdCh_F,OPF_ChU15_a_DSs_a_NdCh_P,OPF_ChU15_a_DSs_a_no_NdCh_F,OPF_ChU15_a_DSs_a_no_NdCh_P,OPF_ChU15_a_no_DSs_a_NdCh_F,OPF_ChU15_a_no_DSs_a_NdCh_P,OPF_ChU15_a_no_DSs_no_NdCh_F,OPF_ChU15_a_no_DSs_no_NdCh_P,OPF_ChU15_a_Total_F,OPF_ChU15_a_Total_P,OPF_no_ChU15_a_DSs_a_NdCh_F,OPF_no_ChU15_a_DSs_a_NdCh_P,OPF_no_ChU15_a_DSs_no_NdCh_F,OPF_no_ChU15_a_DSs_no_NdCh_P,OPF_no_ChU15_no_DSs_a_NdCh_F,OPF_no_ChU15_no_DSs_a_NdCh_P,OPF_no_ChU15_a_Total_F,OPF_no_ChU15_a_Total_P,OPF_Total_F,OPF_Total_P,Other_family_F,Other_family_P,Total_F,Total_P
SSC12515,13,25,0,0,0,0,0,0,0,6,0,6,0,0,0,0,3,10,3,10,4,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,42
SSC12516,6,13,0,5,0,3,0,0,5,24,10,28,0,0,0,0,3,14,3,14,9,45,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,24,66
SSC12517,23,41,0,7,3,19,0,0,12,46,19,69,0,0,0,0,5,20,5,20,25,87,0,0,0,0,0,0,3,3,3,3,0,6,0,0,0,0,0,6,3,13,0,4,49,147
SSC12518,172,335,0,0,10,32,3,7,86,332,100,372,3,16,7,14,14,54,31,82,127,450,0,0,3,7,0,8,30,82,38,102,0,0,17,27,36,70,50,100,83,203,4,12,390,1000
SSC12519,1583,3192,20,98,101,468,30,118,916,3339,1066,4031,76,320,127,424,279,929,478,1676,1543,5702,3,23,18,65,12,28,115,295,152,413,24,73,61,140,227,504,306,715,460,1127,123,267,3704,10288
SSC12520,95,190,6,18,26,105,3,9,71,290,95,422,10,32,20,66,33,107,66,207,162,624,0,3,0,0,0,3,5,6,4,19,0,0,4,4,7,15,14,24,18,35,0,0,269,852
SSC12521,4,11,0,0,0,0,0,0,5,23,5,23,0,0,0,0,0,0,0,0,6,27,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,0,17,40
SSC12522,145,286,4,18,3,21,8,28,52,201,60,261,0,3,5,22,17,44,25,71,86,332,0,0,3,7,0,0,18,33,17,42,0,0,5,11,9,26,18,36,33,82,7,13,268,719
SSC12523,21,43,0,0,3,9,0,0,3,18,10,29,3,5,0,0,3,7,8,14,14,49,0,0,0,8,0,0,0,0,0,8,0,0,0,0,4,8,4,8,4,14,0,3,38,105
SSC12524,729,1455,10,59,124,538,30,119,613,2358,773,3075,97,394,132,475,316,1033,542,1894,1316,4969,3,30,29,94,14,51,148,390,195,567,21,71,46,111,220,479,285,655,481,1221,48,106,2576,7748
SSC12525,9,21,0,6,3,7,0,0,3,22,12,40,0,0,0,0,0,3,0,3,12,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,63
SSC12526,18,31,0,0,4,15,0,0,12,32,14,50,0,0,0,3,0,0,0,3,15,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,11,6,8,6,8,0,0,32,93
SSC12527,9,26,0,0,3,13,0,0,9,31,12,43,0,3,0,3,0,0,3,5,14,55,0,0,0,0,0,0,0,5,0,5,0,0,0,0,3,7,3,7,0,9,0,0,26,82
SSC12528,6,11,0,0,0,0,0,0,4,18,4,18,0,0,0,0,0,0,0,0,4,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,28
SSC12529,6,14,0,0,0,0,0,0,3,13,3,13,0,3,0,0,0,3,0,4,5,23,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,4,0,0,13,46
SSC12530,874,1732,4,30,70,320,17,91,510,1871,605,2309,23,114,40,126,128,393,193,628,793,2936,3,20,32,109,17,46,210,549,268,728,15,51,47,109,204,433,266,597,533,1325,72,149,2280,6141
SSC12531,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,0,0,7
SSC12532,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,3,6,3,6,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,0,7,20
SSC12533,0,3,0,3,0,4,0,0,5,16,8,25,0,0,0,0,0,3,0,3,5,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,4,0,0,9,30
SSC12534,180,344,3,10,12,62,5,19,90,330,110,412,3,10,8,20,29,81,32,104,142,520,3,11,0,5,3,8,35,87,38,106,0,6,10,19,41,103,53,127,93,231,13,23,431,1127
SSC12535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC12536,179,362,3,13,14,54,6,23,116,448,132,538,9,30,14,33,29,91,45,154,179,694,0,4,13,30,5,8,35,94,47,139,7,24,4,8,39,89,48,124,98,256,10,20,466,1334
SSC12537,20,40,0,0,0,6,0,8,13,48,11,59,0,0,0,3,4,8,4,9,15,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,38,115
SSC12538,43,91,0,7,16,62,3,10,56,240,73,320,7,28,7,27,13,55,25,103,104,430,3,10,0,0,0,0,9,27,10,32,3,10,4,4,13,22,20,38,26,77,6,17,181,612
SSC12539,3,4,0,0,0,0,0,0,0,4,0,4,0,0,0,3,0,0,0,3,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,12
SSC12540,26,53,3,13,6,18,5,6,23,76,30,114,3,13,4,8,8,24,11,36,44,159,0,0,0,0,0,0,3,9,3,10,0,0,0,0,0,3,0,3,3,15,0,0,71,224
SSC12541,19,45,0,0,0,14,0,0,9,21,12,39,0,0,3,7,3,13,3,19,13,56,0,0,0,0,0,0,3,7,3,7,0,0,0,0,0,0,0,0,3,8,0,0,40,111
SSC12542,209,419,6,23,35,164,19,70,196,778,251,1037,27,104,26,77,73,252,128,435,377,1469,0,5,12,42,7,18,49,127,66,185,9,21,8,14,43,89,53,128,122,317,6,18,716,2225
SSC12543,30,60,3,20,6,28,3,9,24,98,31,162,4,10,3,16,6,27,19,57,53,213,0,0,0,4,3,11,0,14,4,23,0,0,0,0,0,6,0,6,5,30,0,3,86,303
SSC12544,26,50,0,0,3,16,0,0,19,52,19,72,3,9,0,5,0,5,3,16,28,87,0,0,0,3,0,0,3,8,3,6,0,4,0,3,5,17,10,20,15,29,0,3,62,168
SSC12545,72,143,0,3,9,45,0,3,30,133,42,184,4,10,5,27,14,41,29,77,71,261,0,4,0,0,0,0,7,9,5,8,0,4,0,3,7,11,11,22,13,27,0,0,160,438
SSC12546,15,25,0,0,0,0,0,0,11,35,11,35,3,9,0,0,3,6,4,14,13,51,0,0,0,0,0,0,3,7,3,7,0,0,0,0,0,0,0,0,3,7,0,0,26,79
SSC12547,390,741,0,0,17,68,0,0,81,278,92,347,10,33,24,78,29,84,63,199,152,544,0,0,0,4,0,0,15,38,18,44,3,11,10,21,14,22,26,51,44,100,6,20,597,1402
SSC12548,6,10,0,0,0,0,0,0,0,19,0,19,0,3,0,3,0,6,3,15,4,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,37
SSC12549,42,86,0,0,10,41,0,5,22,95,30,144,0,0,4,12,10,18,9,31,44,172,0,0,0,0,0,0,0,3,0,3,0,0,0,3,0,3,3,7,4,9,0,0,88,264
SSC12550,700,1392,3,13,11,43,0,0,332,1115,347,1175,12,47,32,97,32,90,69,238,414,1411,0,0,4,12,0,4,40,95,41,110,9,20,10,33,41,97,59,141,103,252,42,91,1262,3151
SSC12551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC12552,8,23,0,0,0,0,0,0,3,9,3,9,0,4,0,3,0,0,3,10,3,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,34
SSC12553,79,164,0,15,4,19,8,24,20,75,37,136,6,13,7,23,13,35,24,73,58,214,0,0,0,0,0,0,9,25,9,25,0,0,3,6,11,22,16,29,21,50,0,3,167,430
SSC12554,927,1842,28,141,132,603,44,200,762,2977,966,3921,72,320,83,285,217,691,378,1292,1338,5212,7,13,24,91,13,46,153,419,198,577,22,64,24,51,110,234,156,359,358,929,20,39,2643,8029
SSC12555,19,39,0,0,0,10,0,0,7,29,12,39,0,5,0,0,4,10,6,12,12,49,0,0,0,0,0,0,4,6,4,6,0,0,0,0,3,6,3,6,8,11,0,0,38,95
SSC12556,47,93,0,0,7,20,0,10,22,89,29,120,7,23,3,16,7,27,16,62,47,187,0,0,0,0,0,0,7,11,8,17,0,4,3,6,8,14,6,20,14,35,0,3,110,316
SSC12557,14,31,0,0,3,10,0,0,8,31,11,43,0,0,3,10,7,13,10,24,20,63,0,0,0,0,0,0,7,12,7,12,0,0,0,0,0,3,0,3,4,15,0,0,36,108
SSC12558,25,49,0,0,0,12,0,0,6,20,4,25,0,0,0,3,7,14,3,19,9,43,0,0,0,8,0,0,3,7,3,14,0,0,0,0,0,4,0,4,5,17,0,0,40,106
SSC12559,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4
SSC12560,17,43,0,0,0,8,0,6,7,21,6,25,0,3,0,3,4,8,5,13,11,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,3,7,3,7,0,0,36,95
SSC12561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC12562,4,14,0,0,0,5,0,0,0,9,3,12,0,0,0,0,0,0,0,0,7,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,32
SSC12563,114,235,0,4,29,123,4,16,144,558,174,707,14,58,25,90,49,166,90,310,258,1011,0,0,6,12,0,0,8,23,13,42,0,3,8,22,25,53,36,80,48,120,6,18,431,1379
SSC12564,12,26,0,0,0,5,0,0,7,18,8,22,0,7,0,0,3,6,3,12,5,25,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,4,0,0,24,56
SSC12565,12,23,0,0,0,0,0,3,13,41,13,47,0,0,0,0,0,3,3,4,15,56,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,8,3,8,0,0,27,80
SSC12566,20,36,0,0,3,10,0,4,13,49,14,61,0,3,0,0,0,3,3,6,14,66,0,0,0,0,0,5,0,0,3,5,0,0,0,3,0,3,3,4,3,8,0,0,40,116
SSC12567,770,1539,31,166,152,676,35,148,745,2933,956,3928,146,617,175,639,382,1236,708,2487,1666,6416,11,34,38,133,23,68,125,323,188,551,40,116,52,140,182,405,277,662,461,1217,27,58,2929,9239
SSC12568,140,274,3,10,14,59,9,39,64,231,82,337,15,76,15,48,35,117,70,244,148,579,0,7,0,3,0,0,3,8,5,16,0,0,0,3,4,17,6,19,13,33,0,3,304,887
SSC12569,26,53,0,0,3,25,3,10,16,55,22,90,0,0,0,3,11,24,7,26,31,117,0,0,0,0,0,0,6,18,6,18,0,0,0,0,10,21,10,21,12,37,5,6,71,209
SSC12570,67,136,0,0,11,31,0,5,32,120,40,155,0,3,0,0,6,25,12,31,49,188,0,0,3,5,3,11,12,35,14,51,0,6,3,4,7,15,13,20,27,73,3,7,151,404
SSC12571,49,102,0,0,3,18,0,8,24,93,28,120,0,0,0,3,6,22,10,23,34,142,0,0,5,17,4,11,10,27,15,56,3,4,4,5,15,34,19,46,33,99,0,3,121,347
SSC12572,14,31,0,7,0,0,0,0,17,64,13,66,0,11,0,3,5,10,4,22,25,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,4,0,0,41,132
SSC12573,1094,2130,17,78,141,626,36,157,679,2670,865,3531,76,296,164,518,192,591,429,1404,1291,4928,5,19,30,94,7,13,88,229,126,361,20,54,50,99,121,265,194,417,324,777,45,86,2749,7922
SSC12574,140,274,3,9,21,101,0,3,130,504,154,622,5,18,19,55,29,89,54,164,207,786,0,0,11,31,0,0,10,19,14,50,0,3,6,17,13,27,25,51,38,97,3,7,390,1168
SSC12575,512,1017,3,10,17,89,3,11,117,430,137,546,8,22,25,67,52,151,83,245,218,790,3,15,6,32,5,11,66,164,84,225,6,18,14,35,53,107,78,161,161,384,8,15,900,2207
SSC12576,20,37,0,0,0,6,0,3,5,29,6,38,0,0,0,4,0,0,0,4,12,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,4,3,4,0,0,33,85
SSC12577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC12578,3,6,0,0,0,3,0,0,0,5,3,12,0,0,0,0,0,8,0,8,6,17,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,0,12,28
SSC12579,60,112,0,0,6,25,3,11,38,134,47,165,7,15,0,5,14,52,22,76,63,241,0,0,3,11,0,0,7,11,5,24,0,0,3,0,6,13,5,15,17,35,0,0,140,390
SSC12580,3,5,0,0,0,0,0,0,0,3,0,3,0,0,0,0,3,5,3,5,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,14
SSC12581,0,3,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SSC12582,0,3,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,4,0,4,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7
SSC12583,4,7,0,0,0,0,0,0,3,12,3,12,0,0,0,0,0,0,0,0,3,12,0,0,0,3,0,0,0,3,3,11,0,0,0,0,0,0,0,0,0,12,0,0,8,29
SSC12584,3,6,0,0,0,0,0,0,3,15,3,15,0,0,0,0,0,3,0,3,6,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,27
SSC12585,191,374,0,6,23,108,11,37,96,366,126,516,7,28,15,40,25,83,47,151,171,664,0,7,4,21,0,9,40,108,51,150,0,4,6,13,13,35,21,49,77,202,9,15,445,1254
SSC12586,12,23,0,0,3,6,0,0,9,32,13,40,0,0,0,3,5,7,3,13,17,51,0,0,0,0,0,0,0,3,0,3,0,0,0,0,3,3,3,3,4,5,0,0,26,76
SSC12587,16,29,0,0,0,9,0,0,3,9,9,20,3,3,0,3,0,6,7,15,11,37,0,0,0,8,0,3,0,0,3,7,0,0,0,0,4,5,4,5,4,14,0,0,31,83
SSC12588,1820,3718,134,812,364,1868,109,544,2059,8292,2656,11509,263,1234,218,811,711,2436,1195,4476,3854,15984,29,128,81,319,41,155,454,1320,606,1928,73,281,106,248,612,1418,797,1953,1398,3872,203,457,7279,24032
SSC12589,440,889,22,145,89,454,24,133,366,1479,502,2206,45,191,63,236,177,600,293,1029,793,3230,6,28,25,94,14,49,108,323,157,496,15,57,35,80,133,293,186,434,337,931,32,73,1609,5129
SSC12590,36,63,0,0,7,20,0,5,14,60,19,84,0,0,0,3,7,13,6,12,26,92,0,0,0,0,0,0,3,10,3,10,0,3,0,0,4,13,5,15,10,28,0,3,66,193
SSC12591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,3
SSC12592,430,844,11,54,43,221,20,105,308,1220,382,1597,25,111,27,85,103,321,161,512,541,2105,7,42,16,69,12,58,148,427,184,597,14,44,31,66,87,179,132,290,319,891,21,35,1305,3880
SSC12593,3,5,0,3,3,7,0,0,3,14,5,26,0,5,0,0,0,0,3,6,9,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,44
SSC12594,11,22,0,3,3,9,0,0,7,27,12,41,0,3,0,4,3,12,7,21,17,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,0,30,85
SSC12595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC12596,0,0,0,0,0,0,0,0,3,6,3,6,0,0,0,0,0,4,3,3,4,11,0,0,0,0,0,0,0,3,0,3,0,0,0,0,3,6,3,6,4,4,0,0,8,17
SSC12597,4,10,0,0,0,0,0,0,3,9,3,9,0,0,0,0,3,12,3,14,9,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,31
SSC12598,50,101,0,8,9,35,3,10,46,181,51,230,0,7,4,27,18,63,30,99,81,330,0,0,0,0,0,6,0,8,3,9,0,0,0,0,3,8,3,8,4,15,0,0,139,451
SSC12599,42,85,0,5,4,19,0,7,21,79,27,112,3,13,4,13,14,50,26,77,46,185,0,6,0,0,0,5,0,3,3,11,0,0,0,3,5,16,12,18,15,26,3,9,111,308
SSC12600,29,51,0,5,3,16,3,9,13,60,26,94,0,3,0,0,4,22,7,21,29,118,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,3,0,3,5,4,0,0,62,180
SSC12601,4,10,0,0,0,6,0,0,3,11,3,12,0,0,0,3,0,6,4,7,9,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,4,3,4,0,0,17,38
SSC12602,109,202,0,0,29,124,4,13,114,447,144,591,13,66,36,140,27,72,80,279,226,864,0,3,0,5,0,4,11,22,12,33,0,4,7,16,18,36,25,53,35,88,3,8,372,1163
SSC12603,111,217,0,14,13,60,3,11,64,272,78,351,11,57,16,55,34,124,62,237,145,589,0,0,0,7,0,0,7,12,8,20,3,13,3,3,11,31,16,43,23,66,3,3,279,880
SSC12604,14,21,0,0,0,4,0,0,13,42,11,46,0,6,0,0,3,12,5,13,15,59,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,3,0,3,3,5,0,0,32,89
SSC12605,9,13,0,0,3,10,0,0,0,3,3,14,0,0,0,3,0,8,3,9,7,25,0,0,0,0,0,0,0,7,0,7,0,0,0,0,0,0,0,0,0,7,0,0,13,44
SSC12606,12,21,0,0,0,0,0,0,13,42,13,42,0,3,0,6,3,8,7,21,19,64,0,0,0,3,0,0,0,12,4,12,0,0,0,0,5,5,5,5,9,18,0,0,34,103
SSC12607,296,602,9,49,80,377,26,131,593,2321,709,2873,29,143,30,109,89,316,150,562,862,3436,3,11,17,68,12,39,72,207,105,321,11,39,11,34,67,152,94,224,196,547,15,29,1365,4624
SSC12608,0,3,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9
SSC12609,9,18,0,0,3,9,0,0,3,7,3,12,0,0,0,3,3,8,4,9,9,22,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,4,0,4,4,9,0,0,17,50
SSC12610,8,11,0,0,0,3,0,0,0,4,3,11,0,0,0,0,0,0,0,0,6,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,26
SSC12611,9,13,0,0,0,9,0,0,5,12,3,21,0,0,0,0,0,0,0,0,5,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,36
SSC12612,17,28,0,0,0,0,0,0,9,47,9,47,0,0,0,4,0,3,3,4,15,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,85
SSC12613,20,36,0,0,0,0,0,0,6,22,6,22,0,6,0,4,0,0,0,5,8,27,0,0,0,0,0,0,3,4,3,4,0,0,0,0,0,0,0,0,3,4,0,3,27,70
SSC12614,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
SSC12615,0,0,0,0,0,0,0,0,0,6,0,6,0,0,3,10,0,0,3,10,5,16,0,0,0,0,0,0,3,4,3,4,0,0,0,0,0,0,0,0,3,4,0,0,6,22
SSC12616,17,30,0,0,3,13,0,0,0,3,3,21,0,0,0,0,5,6,5,6,4,24,0,0,0,0,0,3,0,4,0,12,0,0,0,3,4,5,4,12,8,16,3,7,33,86
SSC12617,148,302,21,106,35,189,13,61,115,506,186,855,12,56,23,73,85,286,115,417,299,1268,10,39,19,96,16,53,89,272,132,465,14,39,16,30,91,217,114,286,248,748,22,48,715,2367
SSC12618,50,102,0,5,6,23,0,0,11,54,17,80,3,14,3,9,16,44,24,67,44,150,0,6,0,0,0,3,4,3,4,18,0,0,0,4,5,15,7,18,10,31,0,0,107,287
SSC12619,281,548,0,0,4,20,0,7,36,115,40,138,3,7,7,31,19,68,33,104,74,244,0,0,3,6,0,4,11,19,13,29,0,0,8,13,7,20,14,30,24,57,5,9,390,861
SSC12620,89,177,8,38,4,31,0,3,63,246,78,312,3,23,3,12,21,63,28,105,109,414,0,0,0,13,3,20,19,50,28,86,3,10,6,5,12,34,22,50,46,134,0,0,244,728
SSC12621,0,3,0,0,3,4,0,0,0,0,3,4,0,0,0,0,0,6,0,6,3,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,15
SSC12622,96,186,0,0,8,25,0,0,21,68,21,95,0,3,0,3,3,7,3,15,29,107,0,0,0,0,0,0,3,8,3,8,0,0,0,0,6,6,6,6,8,16,0,0,128,306
SSC12623,128,249,3,23,21,86,0,12,95,397,123,523,4,17,13,48,15,45,33,114,157,635,0,0,4,26,0,0,17,48,26,73,0,0,8,11,16,25,17,36,44,111,3,11,334,1004
SSC12624,3,3,0,0,0,0,0,0,9,30,9,30,0,0,0,3,0,4,3,6,6,33,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,0,9,45
SSC12625,367,737,8,62,52,224,17,66,289,1137,360,1499,35,135,38,138,145,490,219,768,578,2263,0,3,19,58,3,9,47,122,66,194,5,15,10,32,62,146,83,192,144,383,5,18,1101,3400
SSC12626,14,27,0,0,0,3,0,0,3,18,5,14,0,0,0,0,0,3,3,3,4,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,0,0,22,55
SSC12627,8,17,0,0,0,6,0,0,3,15,7,22,0,0,0,3,0,4,0,6,4,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,0,14,45
SSC12628,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8
SSC12629,391,756,0,0,10,37,3,10,90,296,101,343,3,25,22,72,23,75,58,173,153,512,0,0,0,3,0,3,17,41,22,51,3,14,10,13,24,44,33,75,53,119,10,21,609,1411
SSC12630,204,402,3,14,9,56,9,26,73,316,98,404,4,17,9,30,31,115,48,157,145,562,0,0,6,6,0,7,24,58,26,78,3,3,3,6,17,30,23,44,45,121,5,4,399,1095
SSC12631,11,24,0,0,0,0,0,0,4,18,4,18,0,3,0,0,0,12,0,9,6,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,0,21,58
SSC12632,10,18,0,0,0,5,0,0,9,38,6,39,0,0,0,0,3,13,6,18,14,53,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,3,7,3,7,0,0,27,79
SSC12633,338,686,29,175,77,363,35,194,402,1585,543,2321,73,324,72,254,234,802,382,1383,921,3707,5,16,15,73,13,31,84,245,115,366,15,48,18,35,100,243,132,328,249,689,21,55,1529,5141
SSC12634,14,29,0,3,3,7,0,6,4,8,9,30,0,6,0,0,3,4,0,7,12,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,68
SSC12635,0,6,0,0,0,0,0,0,0,4,0,4,0,0,0,3,0,0,0,3,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,15
SSC12636,27,53,0,8,4,25,0,3,13,39,18,73,0,3,0,9,3,7,3,18,24,94,0,0,0,0,0,0,3,11,3,11,0,0,0,0,3,6,3,6,6,17,0,3,54,164
SSC12637,9,15,0,0,0,0,0,0,5,23,5,23,0,0,0,0,0,0,0,0,5,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,32
SSC12638,62,119,3,21,11,37,3,22,53,193,66,276,9,28,13,34,25,83,44,147,105,424,0,3,3,16,0,3,17,57,28,81,0,3,4,3,11,28,19,33,39,114,0,0,211,665
SSC12639,118,231,3,9,5,26,4,15,45,179,58,230,3,12,4,16,23,61,28,86,87,314,0,0,7,15,0,0,6,20,10,36,3,4,3,0,6,18,15,28,23,62,0,3,226,611
SSC12640,42,82,0,3,0,0,0,0,11,38,11,48,0,3,0,6,3,11,6,17,14,64,0,0,0,0,0,0,9,15,9,15,0,0,3,5,0,0,0,8,10,20,0,6,68,167
SSC12641,15,36,0,0,0,7,4,15,5,26,10,40,0,4,0,0,8,27,9,31,17,67,0,0,0,0,0,0,3,6,3,6,0,0,0,4,5,10,3,12,7,14,0,0,43,129
SSC12642,751,1520,46,287,199,936,49,245,959,3744,1254,5220,101,472,143,505,322,1071,575,2046,1828,7266,20,99,41,163,28,127,218,645,309,1033,27,83,42,102,257,577,331,763,639,1797,53,117,3277,10706
SSC12643,45,90,0,9,4,23,3,23,15,60,26,118,0,18,3,7,19,63,26,87,45,204,0,0,0,0,0,0,7,11,7,11,0,4,3,7,8,14,7,21,13,33,0,0,104,326
SSC12644,65,132,0,4,4,19,0,0,28,93,34,124,3,11,3,11,5,18,11,41,46,160,0,0,0,0,0,0,3,11,3,11,0,0,0,3,9,12,9,17,12,31,0,0,125,324
SSC12645,1362,2707,11,73,144,674,44,219,1092,4124,1297,5090,100,418,140,486,352,1130,590,2032,1890,7120,7,21,42,137,28,94,212,546,281,806,38,114,86,193,325,701,446,998,729,1810,60,125,4041,11759
