POA_CODE_2016,P_85y_ov_DNUDW,P_85y_ov_UDW_NS,P_85y_ov_Total,P_Tot_DUDW_LT_5_h,P_Tot_DUDW_5_14_h,P_Tot_DUDW_15_29_h,P_Tot_DUDW_30_h_mo,P_Tot_DNUDW,P_Tot_UDW_NS,P_Tot_Total
POA2076,468,96,885,4922,5382,2730,1826,3848,1037,19746
POA2077,312,112,735,7286,8473,3711,2724,6579,1603,30384
POA2079,44,13,99,1418,1714,821,501,968,204,5628
POA2080,15,4,32,328,423,183,123,225,65,1344
POA2081,14,6,51,1098,1290,619,418,627,149,4201
POA2082,22,10,61,975,1386,603,443,559,191,4155
POA2083,7,3,17,294,425,166,119,196,105,1298
POA2084,80,5,109,715,810,382,259,553,177,2912
POA2085,275,90,525,2215,2697,1279,777,1860,517,9341
POA2086,66,29,195,2615,2990,1519,913,1805,428,10264
POA2087,150,68,408,2447,2842,1419,925,1772,441,9843
POA2088,365,174,910,6590,6574,2632,1716,4003,1944,23465
POA2089,118,76,295,3466,2995,824,469,1669,994,10414
POA2090,68,28,212,3797,3527,1086,654,1733,926,11719
POA2092,39,13,138,1383,1548,747,548,851,253,5332
POA2093,186,112,524,4741,5140,2155,1496,2867,1182,17584
POA2094,37,24,120,1434,1452,578,318,715,319,4813
POA2095,92,136,367,4446,3609,1150,654,2475,1477,13809
POA2096,75,28,213,3621,3453,1140,740,1888,950,11783
POA2097,132,127,422,3344,3516,1472,991,2171,923,12405
POA2099,391,125,902,8638,8788,3407,2204,7112,2402,32547
POA2100,220,116,531,4247,4740,2070,1334,3208,918,16523
POA2101,544,169,992,4110,4477,1811,1234,2993,1205,15830
POA2102,47,105,203,1457,1717,752,470,910,485,5792
POA2103,144,120,406,2215,2552,1114,687,1542,666,8777
POA2104,111,96,317,650,810,423,290,655,303,3136
POA2105,9,0,26,358,466,237,129,198,166,1554
POA2106,62,19,150,2027,2258,1050,611,1245,368,7554
POA2107,157,32,356,2947,3650,1725,1068,1732,618,11743
POA2108,13,7,41,314,414,218,130,259,148,1479
POA2109,60,34,125,787,532,130,65,1100,288,2907
POA2110,455,60,645,2027,2103,959,615,2091,532,8328
POA2111,201,31,398,3181,3266,1437,901,2281,762,11833
POA2112,364,143,858,6618,6904,2923,2156,6802,1719,27122
POA2113,199,52,460,3851,4105,1764,1136,3563,797,15222
POA2114,158,36,356,5022,5367,2302,1657,4817,933,20086
POA2115,143,25,247,1892,2112,919,780,2285,574,8559
POA2116,50,18,114,1273,1360,592,452,1362,312,5345
POA2117,135,42,317,3964,4169,1877,1545,4604,1130,17276
POA2118,208,108,523,4587,4884,2479,2082,4792,946,19769
POA2119,187,35,363,2355,2699,1437,933,1672,324,9424
POA2120,165,48,383,4098,4774,2343,1548,2762,679,16200
POA2121,249,80,598,5753,6087,2932,2098,5526,894,23288
POA2122,458,146,941,6206,6317,2908,2091,7719,1369,26610
POA2123,0,0,0,0,0,0,0,0,0,0
POA2125,129,22,269,3410,3725,1851,1384,2559,426,13348
POA2126,238,52,451,3837,4254,2120,1453,3202,474,15336
POA2127,21,8,44,3237,3151,1019,736,2605,1323,12073
POA2128,8,0,10,465,413,153,159,505,1977,3670
POA2129,0,0,0,0,0,0,0,0,0,0
POA2130,93,14,138,1794,1844,563,343,1183,467,6180
POA2131,436,102,705,5040,4977,1792,1188,6221,1682,20899
POA2132,171,32,319,2229,2248,909,669,2288,508,8864
POA2133,98,18,215,2213,2242,923,746,2366,503,9004
POA2134,197,44,371,3226,2631,1125,794,5660,1030,14465
POA2135,380,68,685,5203,4486,1964,1492,7304,1610,22064
POA2136,82,33,165,1511,1460,612,505,1646,393,6117
POA2137,351,52,635,5541,5714,2454,1684,5195,1443,22033
POA2138,108,16,181,4098,3874,1418,1067,5601,1046,17097
POA2139,0,3,5,12,7,0,0,21,13,57
POA2140,51,8,102,3067,2861,1125,892,4333,1446,13714
POA2141,213,45,377,5372,4639,1934,1906,8658,1685,24194
POA2142,114,21,206,4182,3967,1655,1644,7386,2190,21026
POA2143,40,32,138,1553,1452,706,623,2303,516,7156
POA2144,291,77,484,5416,4980,2142,2256,12754,2571,30121
POA2145,736,279,1424,12576,14486,6814,5952,17642,4764,62237
POA2146,83,30,199,3014,3414,1624,1367,3588,896,13903
POA2147,294,87,572,6523,7432,3252,2738,7285,1992,29222
POA2148,618,198,1140,10413,11377,5021,4624,15169,3575,50186
POA2150,175,64,306,5479,5713,2149,1858,8472,2615,26283
POA2151,297,59,500,4025,4318,1771,1516,4259,1444,17339
POA2152,190,47,378,2086,2579,1066,821,2063,487,9093
POA2153,449,156,953,10861,12418,5944,4547,9134,1703,44611
POA2154,387,473,1299,7882,8639,4184,2955,6426,1810,31881
POA2155,125,16,242,10641,11553,5152,3857,8233,1721,41150
POA2156,126,28,301,2587,2858,1487,1210,1931,447,10524
POA2157,23,6,51,663,763,398,373,528,272,2998
POA2158,161,26,266,1656,1815,964,716,1441,422,7010
POA2159,89,20,187,879,1138,603,507,702,197,4029
POA2160,350,93,641,5463,5324,2298,2442,10659,2291,28474
POA2161,335,95,605,4406,4153,1877,2097,9168,2299,24009
POA2162,262,42,485,2766,2771,1339,1315,5144,1181,14508
POA2163,166,26,240,1208,1132,532,629,2993,1245,7729
POA2164,187,46,327,3064,3047,1429,1405,5704,1130,15768
POA2165,385,75,702,5818,5730,2538,2643,14660,2625,34006
POA2166,714,104,1097,8095,7292,3426,3209,17746,3132,42904
POA2167,46,185,251,1530,1899,797,695,1847,773,7540
POA2168,204,54,383,6397,6055,2584,2848,12550,3267,33705
POA2170,907,247,1595,16012,16655,7280,7142,26810,8263,82161
POA2171,79,9,114,6044,5764,2444,2185,8039,1533,26007
POA2172,3,0,6,547,620,272,189,444,86,2160
POA2173,28,4,57,2842,2998,1265,985,2391,588,11066
POA2174,8,0,14,347,427,180,172,407,125,1654
POA2175,7,6,30,310,306,182,186,402,139,1522
POA2176,510,59,736,8039,7540,3459,3385,14707,2140,39281
POA2177,157,17,212,2672,2436,1124,1098,4857,696,12883
POA2178,30,29,87,736,685,376,365,900,418,3484
POA2179,130,27,198,1052,1087,473,493,1557,627,5291
POA2190,337,58,557,3617,3413,1580,1897,7237,1672,19411
POA2191,72,9,136,1168,1126,514,433,1521,292,5049
POA2192,150,21,252,2167,2138,955,866,3504,845,10461
POA2193,118,21,243,3007,3408,1356,925,3163,884,12746
POA2194,233,44,391,4468,3957,1669,1525,7604,1578,20795
POA2195,171,94,359,3648,3636,1685,2090,7446,1902,20403
POA2196,255,58,513,4776,4643,2116,2285,8893,2000,24716
POA2197,120,25,197,1390,1356,623,641,2482,514,7000
POA2198,244,18,327,1407,1514,709,712,2219,483,7042
POA2199,270,66,484,2750,2617,1176,1281,5087,1125,14032
POA2200,387,110,715,6302,6148,2794,2959,12431,3279,33916
POA2203,84,35,199,3374,3259,1132,637,2133,1018,11550
POA2204,339,46,538,6461,6030,1963,1267,5072,1939,22731
POA2205,176,35,272,4138,3584,1116,894,5701,1406,16837
POA2206,314,60,607,3635,3834,1809,1313,4086,1158,15837
POA2207,437,450,1117,4939,5354,2354,1900,6663,2117,23324
POA2208,167,28,359,2395,2325,1074,897,2864,648,10202
POA2209,154,55,405,2940,2936,1368,1104,3849,847,13049
POA2210,562,193,1088,5552,5788,2785,2274,7173,1748,25321
POA2211,298,86,614,3214,3282,1570,1171,3831,906,13979
POA2212,238,101,488,2795,2984,1324,1111,3739,866,12823
POA2213,193,51,483,3973,4326,2106,1658,4254,1057,17378
POA2214,13,4,30,717,882,409,316,696,135,3152
POA2216,268,79,540,5396,5141,1939,1535,7876,2138,24021
POA2217,291,89,600,5150,5312,2160,1679,6404,1618,22322
POA2218,133,46,273,3102,3184,1370,1034,4244,827,13764
POA2219,201,80,465,2523,2787,1180,850,2765,885,10987
POA2220,302,46,532,6123,5716,2506,1887,10096,1547,27865
POA2221,289,50,527,3216,3139,1508,1216,3629,715,13424
POA2222,127,47,268,2538,2632,1097,845,2888,680,10679
POA2223,285,56,604,4253,4705,2108,1415,3709,926,17116
POA2224,343,81,608,2600,2854,1371,1069,2995,746,11636
POA2225,33,12,95,1060,1251,602,454,613,142,4117
POA2226,171,25,314,2445,2928,1274,929,1738,467,9780
POA2227,154,33,343,3078,3327,1482,1040,2193,587,11708
POA2228,428,100,818,3590,3880,1733,1231,3581,1000,15014
POA2229,440,147,1047,5777,6364,2877,2084,4778,1353,23225
POA2230,298,90,711,6805,6936,2660,1708,4459,1922,24488
POA2231,0,0,12,415,439,216,205,304,123,1698
POA2232,524,102,921,6667,7786,3353,2230,5161,1450,26647
POA2233,351,56,586,5461,6838,3348,2320,4292,826,23082
POA2234,310,34,480,6435,6882,3268,2115,5277,950,24935
POA2250,1162,463,2393,12324,15071,6868,5164,11169,4334,54940
POA2251,395,253,1104,5901,7509,3725,2651,5025,1786,26589
POA2256,322,140,678,2621,3363,1684,1348,2935,1315,13266
POA2257,396,308,1099,4849,6385,3045,2531,5152,2227,24185
POA2258,22,6,57,970,1171,573,437,778,220,4149
POA2259,670,335,1345,9539,12090,5895,5137,10903,3984,47547
POA2260,151,57,394,4588,5447,2643,1870,3177,1123,18847
POA2261,751,502,1874,9040,11141,5302,4337,9431,3858,43105
POA2262,171,101,442,3221,4095,2067,1856,4021,1356,16608
POA2263,412,314,987,3740,4663,2406,2002,4994,2415,20218
POA2264,252,72,514,2298,3097,1673,1261,2700,865,11885
POA2265,162,44,296,991,1262,671,534,986,378,4820
POA2267,27,12,70,420,674,386,251,451,171,2360
POA2278,4,4,22,427,538,285,243,467,96,2056
POA2280,215,218,727,4676,6095,3068,2240,4341,1444,21866
POA2281,201,101,480,2402,3101,1712,1272,2649,901,12039
POA2282,155,46,375,2649,3610,1786,1234,2107,685,12073
POA2283,308,219,773,3804,5082,2718,2216,4223,1437,19483
POA2284,137,108,351,1826,2334,1152,869,1911,657,8757
POA2285,298,169,683,5219,6824,3187,2460,4999,1436,24133
POA2286,16,6,43,594,814,397,386,692,218,3113
POA2287,361,220,832,6369,8029,3702,2768,6566,1813,29248
POA2289,206,80,509,3652,4566,2127,1491,2773,731,15339
POA2290,453,174,992,5811,7597,3673,2708,5559,1766,27119
POA2291,92,83,328,3113,3308,1391,840,1720,696,11066
POA2292,14,7,47,568,633,214,127,374,112,2026
POA2293,18,3,37,642,698,237,137,337,146,2193
POA2294,13,0,22,455,521,158,98,281,143,1653
POA2295,64,101,223,1119,1462,793,531,1115,900,5924
POA2296,4,3,15,477,499,159,99,249,121,1604
POA2297,18,3,33,326,397,170,90,258,126,1368
POA2298,74,341,519,1955,2132,855,597,1591,970,8102
POA2299,136,49,309,2219,2417,1023,701,2288,539,9191
POA2300,52,22,154,2917,2822,871,432,1582,928,9545
POA2302,5,3,8,168,133,27,16,111,85,547
POA2303,75,88,283,1919,2175,973,537,1473,685,7773
POA2304,182,241,526,3053,3619,1293,947,2745,1233,12888
POA2305,107,67,349,2403,3032,1357,935,1708,561,10005
POA2306,17,19,49,417,506,230,315,822,327,2623
POA2307,34,13,83,761,787,358,302,852,194,3263
POA2308,0,0,0,565,223,26,7,447,65,1326
POA2311,3,3,16,121,181,79,91,144,86,702
POA2312,10,6,23,224,302,171,143,237,88,1175
POA2314,0,0,0,39,17,0,0,55,85,205
POA2315,320,142,636,2232,3297,1714,1292,2735,1223,12496
POA2316,32,33,97,918,1227,665,511,1009,558,4885
POA2317,120,51,269,968,1376,748,590,1058,532,5273
POA2318,39,30,107,1878,2616,1404,1100,1632,910,9536
POA2319,68,35,155,887,1371,809,725,1167,538,5497
POA2320,296,138,631,5581,7234,3623,2884,5450,2110,26878
POA2321,53,25,166,2372,3165,1617,1390,2025,781,11351
POA2322,67,45,201,3019,3886,1836,1697,3176,960,14585
POA2323,220,98,497,4382,5487,2779,2128,4228,1524,20518
POA2324,260,87,560,3422,4946,2709,2268,4196,1893,19433
POA2325,350,113,628,3866,5367,2725,2616,5229,3040,22843
POA2326,45,15,87,975,1412,716,722,1438,579,5829
POA2327,89,72,229,1144,1480,709,686,1560,656,6240
POA2328,16,16,55,385,520,232,222,352,224,1944
POA2329,25,19,65,281,420,218,204,327,241,1688
POA2330,167,49,328,3151,4295,2100,1960,2965,1483,15955
POA2331,0,0,0,53,37,3,8,203,18,319
POA2333,68,30,157,2008,2580,1264,1272,2128,1249,10499
POA2334,9,3,20,404,550,265,270,485,151,2121
POA2335,22,14,60,989,1287,636,625,751,415,4705
POA2336,15,10,38,394,537,278,236,370,238,2057
POA2337,88,49,198,1245,1652,742,646,1223,728,6235
POA2338,16,15,45,199,314,156,134,234,155,1191
POA2339,3,0,11,98,107,65,65,106,104,546
POA2340,509,222,1122,7736,10183,5075,3906,7834,4111,38851
POA2341,19,15,41,165,290,143,161,334,207,1308
POA2342,4,0,10,69,101,47,45,62,48,374
POA2343,65,18,125,698,970,522,471,881,482,4029
POA2344,3,0,11,117,134,93,68,117,74,606
POA2345,0,0,5,112,148,70,72,127,56,593
POA2346,55,25,102,384,564,315,314,624,389,2590
POA2347,38,12,74,205,355,198,218,392,253,1620
POA2350,230,97,541,4469,5932,2559,1754,4005,1865,20581
POA2351,0,0,0,313,131,12,4,326,187,974
POA2352,12,6,31,395,623,310,266,361,173,2134
POA2353,42,32,85,140,221,128,107,191,137,930
POA2354,27,40,102,489,751,373,348,534,451,2943
POA2355,7,3,9,100,137,68,55,107,89,566
POA2356,0,0,0,26,23,14,17,32,12,133
POA2357,77,32,162,545,783,489,400,730,482,3417
POA2358,37,13,86,562,882,436,356,553,307,3099
POA2359,11,4,20,99,132,66,91,122,91,601
POA2360,167,74,371,2070,2811,1519,1319,2521,1358,11594
POA2361,12,0,23,99,180,84,95,193,91,747
POA2365,42,17,98,565,719,381,363,615,334,2972
POA2369,8,4,21,100,147,80,101,210,105,750
POA2370,103,74,260,1029,1469,814,756,1240,1000,6316
POA2371,3,7,21,172,227,125,130,203,153,1018
POA2372,38,64,145,638,936,555,566,711,584,3990
POA2379,3,0,12,53,56,38,33,44,30,257
POA2380,155,46,294,1592,2046,1053,940,1631,922,8192
POA2381,8,7,19,180,196,114,137,227,118,970
POA2382,16,9,30,183,250,136,119,244,140,1069
POA2386,0,0,3,51,60,26,38,56,46,275
POA2387,0,0,0,30,30,13,18,37,25,161
POA2388,11,24,51,322,455,232,241,452,352,2054
POA2390,56,57,176,1260,1760,857,776,1371,921,6935
POA2395,11,3,20,88,111,61,85,149,98,594
POA2396,15,3,31,113,151,76,108,205,65,711
POA2397,0,0,5,62,55,30,35,59,49,289
POA2398,4,0,4,38,43,22,18,47,17,192
POA2399,0,3,3,72,101,43,47,115,90,469
POA2400,76,33,160,1397,1833,860,703,1839,1285,7925
POA2401,0,0,3,43,56,39,34,45,36,253
POA2402,24,17,58,250,290,177,183,361,202,1464
POA2403,3,3,8,92,124,70,81,104,87,551
POA2404,32,23,84,193,353,200,212,376,243,1579
POA2405,0,0,5,68,106,38,32,101,67,405
POA2406,7,3,13,108,141,67,64,152,74,610
POA2408,0,0,0,53,71,24,46,62,40,292
POA2409,3,0,3,124,111,109,76,253,90,765
POA2410,0,0,0,42,56,28,27,35,27,223
POA2411,0,0,0,11,21,8,18,15,16,92
POA2415,0,0,0,47,69,53,42,65,39,315
POA2420,38,37,120,561,854,450,453,577,444,3342
POA2421,3,3,24,304,398,230,190,220,107,1449
POA2422,91,34,174,662,1125,659,629,931,477,4484
POA2423,39,21,77,400,601,387,336,537,299,2568
POA2424,0,0,0,49,68,49,60,62,55,346
POA2425,31,7,43,229,374,200,206,312,124,1443
POA2426,3,0,7,83,143,85,77,124,81,594
POA2427,43,18,101,387,698,464,381,630,262,2814
POA2428,562,317,1286,3343,5092,2883,2303,4786,2353,20760
POA2429,105,75,277,1300,1962,1190,1132,1593,931,8111
POA2430,467,329,1178,4645,6953,4027,3526,6127,2819,28094
POA2431,115,30,207,729,1112,634,521,1019,438,4451
POA2439,24,12,49,378,615,382,336,404,314,2441
POA2440,264,194,615,2674,3891,2288,2076,3993,2923,17832
POA2441,37,14,76,628,878,498,477,656,463,3600
POA2443,182,154,492,1146,1837,1174,980,1769,991,7888
POA2444,985,328,1980,7458,10611,5143,3778,8164,3442,38593
POA2445,34,19,113,997,1520,820,647,984,384,5350
POA2446,179,47,339,1903,2750,1573,1340,2044,1115,10716
POA2447,99,68,244,971,1471,882,770,1152,661,5901
POA2448,144,133,412,1272,1819,1103,901,1646,946,7694
POA2449,12,5,39,256,402,258,289,365,201,1771
POA2450,433,451,1266,7091,9585,4738,3662,6883,3929,35888
POA2452,203,117,488,2376,3437,1625,1255,2618,989,12295
POA2453,36,14,84,382,643,368,338,372,249,2350
POA2454,110,18,192,1103,1750,1003,786,878,544,6066
POA2455,32,34,100,394,719,381,296,516,303,2609
POA2456,133,48,332,2251,3205,1649,1312,2453,1166,12043
POA2460,424,147,847,4004,5805,3182,3082,5129,2777,23976
POA2462,33,14,60,326,523,287,282,438,213,2073
POA2463,161,49,273,961,1591,983,929,1242,678,6380
POA2464,135,53,315,1016,1542,848,655,1162,649,5878
POA2465,0,0,4,38,76,44,29,41,24,251
POA2466,28,9,71,178,378,213,237,339,193,1542
POA2469,24,17,76,542,808,475,518,652,480,3470
POA2470,198,82,446,2029,2936,1531,1450,2843,1370,12155
POA2471,39,9,58,328,489,258,255,442,244,2016
POA2472,8,6,24,248,393,198,190,294,190,1518
POA2473,44,20,115,492,688,356,270,540,306,2646
POA2474,76,60,186,821,1238,794,703,1052,689,5298
POA2475,0,8,13,43,63,40,51,51,78,319
POA2476,5,7,21,83,166,121,97,110,79,652
POA2477,211,63,463,1880,2815,1507,1197,1751,832,9979
POA2478,453,392,1273,4729,6601,3168,2216,4583,2508,23805
POA2479,37,32,105,849,1101,553,430,495,429,3862
POA2480,551,220,1164,7244,10220,5071,3848,6336,3879,36605
POA2481,114,59,234,2357,2591,1143,681,1514,1743,10036
POA2482,79,27,158,921,1377,741,549,739,809,5132
POA2483,72,49,217,1852,2571,1178,830,1329,1048,8804
POA2484,186,189,550,2904,3969,2191,1790,2655,1944,15454
POA2485,448,228,932,2390,2936,1406,1048,3289,1602,12670
POA2486,751,273,1451,5055,6678,3384,2567,6503,2397,26582
POA2487,145,114,375,2266,2903,1507,958,2169,1170,10976
POA2488,18,8,52,588,733,348,231,470,230,2601
POA2489,39,101,196,1042,1587,815,691,1061,511,5705
POA2490,3,3,5,105,163,83,50,95,48,544
POA2500,424,169,992,9128,9076,3291,2251,8408,3074,35226
POA2502,172,47,343,1865,2174,1062,1049,2946,948,10032
POA2505,92,31,178,808,957,534,397,1108,375,4181
POA2506,87,27,171,1085,1396,661,623,1866,533,6160
POA2508,83,13,132,1719,2053,984,654,1235,393,7029
POA2515,86,24,203,2078,2736,1286,883,1321,534,8840
POA2516,37,21,103,1125,1408,692,469,742,288,4722
POA2517,242,52,413,2468,3058,1465,1061,2233,690,10973
POA2518,350,98,693,3423,4128,2001,1435,3680,1086,15751
POA2519,195,53,448,3083,3793,1723,1275,3245,896,14027
POA2522,0,0,0,140,52,9,3,90,7,303
POA2525,189,40,333,2021,2549,1267,974,1947,524,9277
POA2526,204,151,484,2784,3405,1708,1259,2540,997,12696
POA2527,217,154,505,3579,4422,2201,1756,3759,1209,16928
POA2528,217,147,571,3637,4472,2396,2062,5091,2005,19664
POA2529,187,59,394,4504,5587,2789,2159,4288,1319,20650
POA2530,366,101,683,5369,6726,3368,2742,5867,1478,25550
POA2533,142,118,478,2796,3791,1984,1407,2088,970,13039
POA2534,110,56,226,1007,1306,681,467,731,503,4708
POA2535,161,58,355,1111,1733,986,708,1131,652,6327
POA2536,256,192,652,2396,3833,2269,1683,3041,1810,15025
POA2537,168,69,388,1702,2784,1602,1176,1859,1044,10173
POA2538,27,96,146,304,497,332,234,289,351,2015
POA2539,204,131,542,2570,4011,2300,1882,3035,1469,15262
POA2540,554,280,1262,6685,9648,5254,4327,7564,4390,37871
POA2541,334,232,829,3747,5174,2580,2238,4748,2339,20825
POA2545,3,0,12,145,231,149,128,171,84,906
POA2546,178,103,417,1186,2060,1277,1021,1449,973,7966
POA2548,117,87,329,1169,1849,1049,709,1254,733,6767
POA2549,65,18,119,543,887,485,366,539,309,3126
POA2550,133,58,327,2304,3589,1997,1699,2040,1419,13049
POA2551,70,41,138,475,724,379,340,679,360,2961
POA2555,4,0,4,35,17,18,23,68,9,170
POA2556,9,3,28,436,484,242,222,506,157,2044
POA2557,24,11,57,1573,1676,695,682,1580,693,6888
POA2558,34,5,59,2098,2272,936,809,2322,413,8842
POA2559,3,0,8,312,279,125,193,692,486,2093
POA2560,344,187,815,12877,14704,6529,5740,15551,4876,60277
POA2563,3,0,10,45,66,31,22,53,21,240
POA2564,56,27,120,2057,2249,1049,1051,3316,1035,10756
POA2565,88,43,231,3534,3810,1716,1511,4063,1234,15867
POA2566,140,32,217,4355,5010,2133,2018,5787,1306,20617
POA2567,87,30,204,7337,8059,3576,2644,5896,1361,28876
POA2568,66,3,81,204,237,106,110,282,61,999
POA2569,4,0,14,229,286,146,133,195,99,1092
POA2570,375,215,804,7203,8676,3951,3080,5878,2180,30978
POA2571,44,16,90,2137,2572,1251,983,1511,649,9110
POA2572,38,96,157,735,902,464,414,623,453,3583
POA2573,28,17,71,846,995,492,459,762,421,3973
POA2574,29,19,86,903,1229,603,528,899,358,4524
POA2575,79,125,310,2695,3434,1661,1369,2150,1204,12520
POA2576,314,82,658,2240,3097,1742,1275,2038,922,11317
POA2577,171,27,331,2504,3480,1783,1363,2206,1284,12627
POA2578,29,53,112,377,635,412,305,351,238,2314
POA2579,27,17,58,565,901,506,441,552,301,3268
POA2580,234,240,742,4581,6172,2958,2328,4867,3080,23979
POA2581,11,7,28,341,505,242,185,259,136,1658
POA2582,66,112,263,2046,2971,1411,1033,1355,1009,9827
POA2583,57,16,138,632,937,514,473,689,426,3674
POA2584,4,3,13,81,116,63,60,76,41,429
POA2585,0,0,3,28,40,28,32,26,20,170
POA2586,27,23,67,401,552,280,283,443,249,2202
POA2587,35,38,100,421,545,310,313,523,284,2403
POA2588,0,0,5,57,55,24,27,43,13,218
POA2590,137,46,277,1033,1429,794,680,1346,612,5887
POA2594,166,54,331,1685,2181,1169,1140,2022,1006,9201
POA2619,15,6,46,1956,2480,981,553,967,294,7227
POA2620,269,70,533,7350,9272,3717,2423,5914,3430,32111
POA2621,10,4,37,1086,1580,674,432,499,437,4705
POA2622,36,21,82,563,867,498,389,475,485,3279
POA2623,0,5,3,99,138,60,48,78,56,478
POA2625,0,0,3,99,67,26,7,49,102,347
POA2626,3,0,5,77,122,62,46,40,56,408
POA2627,14,5,38,1086,1077,383,253,561,432,3788
POA2628,14,9,24,282,445,223,168,289,133,1545
POA2629,5,3,14,71,109,65,73,82,69,467
POA2630,81,88,270,1412,1998,858,725,1250,1045,7287
POA2631,0,0,7,90,104,73,71,85,51,476
POA2632,45,12,71,249,380,214,193,299,168,1504
POA2633,4,8,17,64,69,62,39,59,48,332
POA2640,484,219,1005,6559,8247,3650,2499,5738,2708,29402
POA2641,160,64,336,2409,3030,1477,1119,3025,1298,12358
POA2642,31,21,66,737,964,533,479,620,369,3702
POA2643,40,20,89,368,533,323,255,488,302,2274
POA2644,31,35,92,345,505,263,237,365,239,1946
POA2645,0,8,14,52,61,37,46,59,82,337
POA2646,81,72,236,1027,1402,689,631,1194,660,5599
POA2647,17,19,66,303,439,255,181,407,237,1830
POA2648,52,12,83,293,502,264,221,451,312,2043
POA2649,0,0,0,9,4,0,7,3,3,24
POA2650,651,212,1325,10074,12636,5576,4231,9134,3643,45298
POA2651,7,0,11,381,469,167,184,425,124,1750
POA2652,24,21,70,696,932,463,447,682,434,3651
POA2653,32,16,72,356,483,236,245,416,387,2121
POA2655,26,4,40,184,269,146,127,210,127,1063
POA2656,18,12,55,193,239,146,140,195,116,1029
POA2658,32,10,54,179,252,147,165,263,110,1115
