POA_CODE_2016,Median_age_persons,Median_mortgage_repay_monthly,Median_tot_prsnl_inc_weekly,Median_rent_weekly,Median_tot_fam_inc_weekly,Average_num_psns_per_bedroom,Median_tot_hhd_inc_weekly,Average_household_size
POA2073,40,3023,993,671,3337,0.9,3010,3.1
POA2074,44,3000,920,600,3034,0.8,2531,2.8
POA2075,42,3000,932,700,2872,0.8,2542,3
POA2076,41,2895,871,562,2897,0.8,2469,2.9
POA2077,37,2167,776,470,2042,1,1807,2.7
POA2079,39,2400,828,545,2397,0.9,2268,3.1
POA2080,40,2355,758,480,2264,0.9,2022,3
POA2081,39,2367,831,550,2462,0.8,2304,3.1
POA2082,40,2383,818,550,2321,0.8,2120,3
POA2083,49,2000,771,350,2027,0.8,1574,2.4
POA2084,44,2955,827,650,2539,0.8,2467,3.2
POA2085,45,3000,785,830,2559,0.8,2228,2.9
POA2086,40,3000,862,760,2635,0.9,2511,3.2
POA2087,42,3000,788,660,2642,0.9,2287,3
POA2088,42,3000,1295,560,3671,0.9,2522,2.4
POA2089,37,2500,1381,550,3167,1,2349,2
POA2090,39,2600,1347,590,3301,1,2367,2.1
POA2092,40,3700,1062,780,3672,0.9,3384,3.2
POA2093,39,3000,1029,550,2905,1,2382,2.8
POA2094,38,3000,1250,648,3229,0.9,2620,2.4
POA2095,36,2882,1280,650,3277,1,2449,2.2
POA2096,36,2600,1135,560,2845,1,2328,2.5
POA2097,39,2700,908,560,2508,0.9,2274,2.9
POA2099,38,2400,817,500,2139,1.1,1805,2.6
POA2100,39,2800,824,560,2471,1,2214,3
POA2101,42,2600,888,533,2331,1,1926,2.6
POA2102,39,2711,876,680,2366,0.9,2160,2.9
POA2103,44,2600,870,575,2343,0.9,2001,2.7
POA2104,56,3000,775,500,2457,0.8,1476,2.3
POA2105,50,2600,1013,510,2622,0.8,2202,2.6
POA2106,43,2700,901,530,2440,0.9,2066,2.7
POA2107,45,3000,880,650,2525,0.8,2250,2.8
POA2108,57,3000,1035,695,2476,0.7,2058,2.3
POA2109,25,2100,355,520,1950,1.4,1453,2
POA2110,42,3500,967,500,3562,0.9,2739,2.8
POA2111,40,2500,950,430,2589,0.9,1999,2.5
POA2112,36,2300,766,480,2116,1,1809,2.7
POA2113,37,2383,784,460,2252,1,1917,2.7
POA2114,35,2167,790,421,2041,1.1,1783,2.6
POA2115,37,2461,647,277,1880,0.9,1620,2.9
POA2116,37,2167,645,400,1808,1,1553,2.8
POA2117,37,2167,628,390,1830,0.9,1574,2.8
POA2118,39,2167,648,510,1926,1,1834,3.1
POA2119,43,3000,910,600,2933,0.8,2693,3.1
POA2120,40,2500,836,520,2555,0.9,2291,3
POA2121,37,2383,734,530,2228,1,2048,3
POA2122,36,2167,602,465,1919,1,1645,2.8
POA2123,0,0,0,0,0,0,0,0
POA2125,41,2750,875,590,2830,0.8,2675,3.2
POA2126,42,2500,768,650,2599,0.8,2443,3.2
POA2127,33,2167,1036,525,2210,1.2,2005,2.4
POA2128,33,2000,712,450,1609,1.2,1536,2.8
POA2129,0,0,0,0,0,0,0,0
POA2130,36,2167,993,445,2447,1.1,1940,2.3
POA2131,34,2058,681,440,1802,1.1,1632,2.5
POA2132,40,2400,673,450,2073,1,1846,2.9
POA2133,39,2167,680,400,1906,1,1597,2.8
POA2134,30,2167,478,520,1498,1.2,1398,2.8
POA2135,32,2350,658,500,1986,1.1,1883,3
POA2136,37,2200,667,480,1958,1,1724,2.9
POA2137,39,2500,855,540,2349,1,2110,2.7
POA2138,31,2200,762,610,2065,1.2,1835,2.6
POA2139,54,0,476,0,0,0,0,0
POA2140,30,2000,705,460,1738,1.3,1723,2.8
POA2141,33,2000,501,430,1432,1.1,1480,3.2
POA2142,31,1900,512,390,1388,1.2,1326,3
POA2143,34,1950,492,390,1407,1.1,1323,3.1
POA2144,30,1733,434,400,1151,1.3,1240,3.5
POA2145,34,2167,680,420,1864,1,1712,3
POA2146,35,2050,684,400,1869,1,1724,3
POA2147,37,2058,677,370,1835,0.9,1617,2.9
POA2148,34,1950,633,385,1624,1,1498,3
POA2150,31,1800,730,420,1747,1.3,1696,2.6
POA2151,37,2167,737,410,1984,0.9,1709,2.7
POA2152,37,2167,787,440,1975,0.9,1639,2.5
POA2153,38,2400,795,520,2313,0.9,2158,3
POA2154,40,2500,787,555,2410,0.8,2219,3
POA2155,34,2600,908,620,2590,0.9,2569,3.5
POA2156,43,2728,794,560,2537,0.8,2408,3.2
POA2157,41,2392,726,418,2039,0.8,1985,3.2
POA2158,43,2600,747,540,2424,0.8,2198,3.1
POA2159,44,2600,745,450,2238,0.8,1977,3
POA2160,32,2000,485,385,1355,1.1,1237,3.1
POA2161,31,2000,451,370,1242,1.1,1155,3.2
POA2162,34,2000,458,350,1323,1.1,1168,3.2
POA2163,36,1690,412,231,1032,1.1,844,2.8
POA2164,37,2000,473,390,1410,1,1296,3.1
POA2165,36,1736,407,360,1141,1.1,1077,3.2
POA2166,36,1552,408,320,1093,1.1,1080,3.3
POA2167,35,2000,712,390,1861,0.9,1757,3
POA2168,33,1863,464,300,1348,1,1255,3.3
POA2170,34,2000,545,360,1511,1,1378,3.1
POA2171,32,2258,711,500,2057,0.9,2093,3.7
POA2172,36,2600,981,305,2694,0.8,2685,3.3
POA2173,31,2167,874,470,2218,0.9,2157,3.3
POA2174,31,2643,820,560,2197,0.9,2280,3.7
POA2175,42,2600,627,350,1908,0.9,1720,3.2
POA2176,38,2000,483,430,1541,1,1567,3.4
POA2177,36,1950,456,330,1381,1,1411,3.5
POA2178,39,2167,669,400,1892,0.9,1935,3.5
POA2179,38,2400,608,420,1744,0.9,1481,3
POA2190,33,2100,437,369,1337,1.1,1190,3.4
POA2191,39,2378,548,430,1675,1,1440,2.9
POA2192,37,2000,504,360,1339,1.1,1192,2.8
POA2193,38,2200,706,440,1887,1,1681,2.7
POA2194,34,1742,486,395,1274,1.3,1239,2.9
POA2195,31,1625,433,350,1074,1.4,1036,3.2
POA2196,33,2000,460,370,1327,1.1,1220,3.2
POA2197,34,2080,469,380,1396,1,1225,3.2
POA2198,37,2167,570,470,1612,0.9,1464,3.2
POA2199,34,2000,467,380,1343,1.1,1203,3.2
POA2200,32,1828,461,400,1241,1.2,1178,3.1
POA2203,37,2167,915,450,2221,1,1811,2.3
POA2204,36,2383,792,450,2095,1.1,1812,2.5
POA2205,30,2167,697,550,1838,1.2,1763,2.7
POA2206,42,2500,663,500,2029,0.9,1793,2.9
POA2207,39,2167,623,450,1807,1,1602,2.9
POA2208,40,2350,588,480,1774,0.9,1564,2.9
POA2209,39,2167,567,400,1654,1,1458,2.9
POA2210,41,2167,574,300,1708,0.9,1395,2.8
POA2211,40,2167,629,420,1842,0.9,1536,2.8
POA2212,38,2167,629,411,1807,0.9,1580,2.9
POA2213,39,2300,692,420,2025,0.9,1733,2.9
POA2214,39,2253,697,500,1985,0.8,1851,3
POA2216,34,2167,663,455,1636,1.1,1540,2.7
POA2217,35,2167,693,450,1786,1.1,1612,2.7
POA2218,35,2000,623,440,1636,1.1,1560,2.8
POA2219,44,2300,744,450,1959,0.9,1532,2.4
POA2220,32,2000,493,480,1420,1.2,1422,3
POA2221,40,2500,705,490,2163,0.9,1946,3
POA2222,36,2000,667,400,1743,1,1591,2.8
POA2223,39,2275,808,420,2204,0.9,1919,2.7
POA2224,43,2600,738,450,2068,0.8,1768,2.7
POA2225,39,2817,927,590,2805,0.9,2615,3.1
POA2226,40,2500,859,410,2470,0.9,2165,2.8
POA2227,40,2574,839,480,2378,0.9,2051,2.7
POA2228,40,2307,754,440,2067,0.9,1653,2.6
POA2229,41,2600,822,450,2319,0.9,1856,2.6
POA2230,40,2383,969,450,2404,0.9,1906,2.4
POA2231,37,2600,757,504,2041,0.9,1898,3
POA2232,39,2300,835,430,2215,0.9,1853,2.6
POA2233,39,2383,803,440,2251,0.9,2044,2.9
POA2234,40,2383,846,550,2497,0.8,2400,3.2
POA2250,41,1767,641,350,1710,0.8,1366,2.5
POA2251,44,2000,641,380,1784,0.8,1397,2.6
POA2256,48,1733,543,345,1430,0.8,1067,2.2
POA2257,46,1800,569,350,1416,0.8,1122,2.3
POA2258,39,1800,711,340,1919,0.8,1640,2.8
POA2259,40,1733,566,350,1500,0.8,1285,2.7
POA2260,41,2167,755,450,2053,0.8,1801,2.7
POA2261,42,1759,595,340,1508,0.8,1208,2.5
POA2262,39,1565,530,340,1302,0.8,1107,2.6
POA2263,45,1538,517,310,1282,0.8,980,2.3
POA2264,46,1700,543,350,1355,0.8,1120,2.4
POA2265,44,1733,552,310,1480,0.8,1248,2.6
POA2267,53,1733,579,300,1398,0.8,1174,2.3
POA2278,37,1712,647,340,1622,0.8,1476,2.9
POA2280,44,1842,617,320,1692,0.8,1327,2.5
POA2281,48,1836,539,310,1462,0.8,1146,2.4
POA2282,44,1950,694,360,1903,0.8,1493,2.6
POA2283,46,1733,575,300,1467,0.8,1225,2.5
POA2284,43,1603,571,310,1497,0.8,1197,2.5
POA2285,36,1769,664,350,1736,0.8,1478,2.7
POA2286,38,1625,596,335,1440,0.8,1323,2.7
POA2287,36,1733,615,350,1666,0.8,1383,2.6
POA2289,39,1950,727,350,1994,0.8,1605,2.6
POA2290,40,1800,647,340,1738,0.8,1376,2.5
POA2291,39,2167,890,360,2448,0.8,1833,2.4
POA2292,35,1783,710,350,1643,0.8,1333,2.2
POA2293,36,1842,814,395,1966,0.8,1488,2.1
POA2294,35,1733,743,360,1870,0.8,1402,2.1
POA2295,50,2000,601,330,1552,0.8,1177,2.3
POA2296,34,1733,763,350,1621,0.9,1354,2.1
POA2297,37,1733,666,330,1736,0.9,1372,2.3
POA2298,36,1733,585,320,1516,0.9,1174,2.3
POA2299,33,1733,533,320,1495,0.9,1158,2.5
POA2300,37,2015,929,375,2377,0.9,1653,2
POA2302,35,1740,784,405,2038,0.8,1339,1.7
POA2303,41,2026,669,285,1946,0.8,1288,2.3
POA2304,37,1700,617,320,1587,0.9,1231,2.3
POA2305,40,1950,749,345,2071,0.8,1581,2.5
POA2306,38,1481,405,166,820,0.9,689,2.3
POA2307,33,1517,497,330,1330,0.8,1038,2.4
POA2308,20,0,169,0,0,0,0,0
POA2311,47,1593,535,175,1350,0.8,1074,2.5
POA2312,47,1300,474,280,1113,0.8,988,2.7
POA2314,26,0,1254,0,0,0,0,0
POA2315,51,1733,573,330,1383,0.7,1124,2.3
POA2316,46,1810,535,350,1402,0.8,1155,2.5
POA2317,52,1692,548,340,1304,0.7,1043,2.2
POA2318,39,1831,666,350,1774,0.8,1598,2.8
POA2319,49,1517,483,320,1174,0.7,974,2.4
POA2320,36,1800,647,320,1707,0.8,1451,2.7
POA2321,36,1950,687,380,1804,0.8,1633,2.8
POA2322,37,1625,620,300,1543,0.8,1351,2.7
POA2323,38,1700,622,300,1596,0.8,1287,2.5
POA2324,45,1517,538,270,1300,0.8,1082,2.4
POA2325,39,1517,514,280,1330,0.8,1105,2.5
POA2326,39,1394,494,250,1343,0.9,1111,2.6
POA2327,41,1352,496,275,1261,0.8,998,2.4
POA2328,41,1733,625,250,1618,0.8,1237,2.5
POA2329,44,1170,524,160,1260,0.7,1052,2.4
POA2330,36,1900,669,280,1949,0.8,1639,2.6
POA2331,21,0,817,0,0,0,0,0
POA2333,34,1714,632,250,1660,0.7,1352,2.5
POA2334,33,1647,598,320,1612,0.8,1412,2.7
POA2335,35,1890,716,320,2006,0.8,1758,2.8
POA2336,39,1700,658,220,1746,0.8,1400,2.5
POA2337,39,1802,686,250,1738,0.7,1351,2.4
POA2338,48,1291,490,170,1197,0.7,885,2.2
POA2339,44,1300,571,138,1294,0.8,1146,2.5
POA2340,38,1517,660,270,1495,0.8,1224,2.5
POA2341,49,919,453,190,1104,0.7,786,2.1
POA2342,46,1537,634,110,1524,0.8,1130,2.4
POA2343,44,1174,569,180,1347,0.7,1087,2.4
POA2344,45,1625,711,205,1571,0.8,1443,2.6
POA2345,43,1300,638,250,1437,0.7,1262,2.5
POA2346,47,1120,464,210,1136,0.7,877,2.3
POA2347,53,650,450,145,989,0.7,746,2.1
POA2350,37,1500,606,255,1549,0.8,1229,2.4
POA2351,20,0,185,0,0,0,0,2
POA2352,41,1387,628,285,1440,0.7,1244,2.5
POA2353,52,1517,532,200,1278,0.8,1064,2.4
POA2354,47,1083,579,140,1336,0.7,1049,2.3
POA2355,50,1083,486,123,1158,0.7,804,2.1
POA2356,46,400,417,50,790,0.7,739,2.3
POA2357,49,1000,490,175,1147,0.7,914,2.3
POA2358,47,1300,530,200,1280,0.8,973,2.3
POA2359,46,800,423,150,913,0.8,774,2.4
POA2360,41,1264,529,220,1207,0.8,973,2.4
POA2361,50,650,425,140,966,0.8,795,2.3
POA2365,44,1180,549,200,1273,0.8,1028,2.4
POA2369,45,867,409,155,957,0.8,829,2.6
POA2370,46,1083,484,200,1140,0.7,857,2.2
POA2371,55,867,430,145,907,0.7,725,2.1
POA2372,53,1083,473,190,1065,0.7,795,2.1
POA2379,44,498,618,25,1361,0.7,1180,2.7
POA2380,39,1517,628,250,1644,0.8,1284,2.4
POA2381,44,925,514,170,1260,0.8,1059,2.4
POA2382,42,1255,572,220,1370,0.7,1180,2.4
POA2386,43,557,556,20,1354,0.8,1085,2.5
POA2387,41,0,565,35,1224,0.8,982,2.7
POA2388,39,1040,588,150,1424,0.8,1075,2.5
POA2390,40,1517,655,215,1596,0.8,1320,2.5
POA2395,55,704,393,130,779,0.7,715,2
POA2396,49,758,460,140,1074,0.7,789,2.2
POA2397,37,869,713,50,1575,0.8,1226,2.6
POA2398,43,700,710,100,1768,0.7,1275,2.4
POA2399,42,1185,657,120,1437,0.7,1194,2.4
POA2400,38,1300,698,185,1546,0.8,1284,2.4
POA2401,43,1000,578,0,1437,0.7,1053,2.5
POA2402,47,1000,474,150,1165,0.8,903,2.3
POA2403,43,780,460,168,1108,0.8,805,2.5
POA2404,54,1049,463,150,1066,0.7,795,2.1
POA2405,42,650,741,0,1625,0.8,1281,2.3
POA2406,36,817,671,100,1522,0.7,1203,2.3
POA2408,37,309,815,0,1602,0.7,1392,2.5
POA2409,31,748,386,115,887,0.9,923,2.9
POA2410,45,650,452,50,924,0.7,762,2.3
POA2411,35,823,691,0,1625,0.8,1291,2.2
POA2415,46,1517,476,200,1458,0.9,1187,2.7
POA2420,48,1400,524,240,1271,0.8,1001,2.3
POA2421,41,1950,653,263,1809,0.8,1638,2.7
POA2422,52,1300,478,220,1114,0.7,887,2.2
POA2423,53,1248,454,220,1006,0.8,826,2.2
POA2424,48,1092,437,200,981,0.8,742,2.2
POA2425,46,1560,516,250,1372,0.8,1219,2.5
POA2426,50,1083,455,210,1012,0.7,812,2.3
POA2427,61,1472,439,280,961,0.7,786,2.1
POA2428,56,1400,477,270,1064,0.7,832,2.1
POA2429,50,1300,475,230,1139,0.8,925,2.4
POA2430,48,1309,482,250,1147,0.8,913,2.3
POA2431,56,1500,480,275,1071,0.7,871,2.1
POA2439,50,1517,496,300,1219,0.8,1066,2.5
POA2440,45,1274,474,230,1119,0.8,905,2.4
POA2441,47,1300,474,240,1177,0.8,950,2.5
POA2443,59,1343,458,270,1007,0.7,781,2
POA2444,47,1733,572,325,1361,0.8,1076,2.3
POA2445,49,1733,531,350,1313,0.8,1131,2.5
POA2446,44,1600,529,290,1309,0.8,1117,2.6
POA2447,49,1300,488,250,1179,0.8,946,2.4
POA2448,54,1326,463,250,1038,0.8,783,2.1
POA2449,47,1018,431,200,963,0.8,774,2.3
POA2450,44,1636,578,300,1388,0.8,1140,2.5
POA2452,44,1517,552,310,1260,0.8,1016,2.4
POA2453,52,1105,476,199,1132,0.7,840,2.2
POA2454,45,1434,528,300,1266,0.8,1056,2.5
POA2455,54,1517,501,273,1145,0.7,931,2.1
POA2456,44,1586,544,320,1316,0.8,1111,2.5
POA2460,45,1300,486,250,1177,0.8,948,2.4
POA2462,52,1105,457,220,1019,0.8,806,2.2
POA2463,52,1387,465,270,1132,0.8,932,2.4
POA2464,55,1517,494,305,1128,0.7,900,2.1
POA2465,49,1327,443,280,1015,0.8,825,2.3
POA2466,62,1205,428,240,855,0.7,723,1.9
POA2469,53,867,430,150,986,0.8,768,2.2
POA2470,43,1300,495,240,1188,0.8,960,2.4
POA2471,43,1300,480,250,1191,0.8,1033,2.6
POA2472,46,1300,510,255,1235,0.9,1025,2.4
POA2473,53,1517,498,260,1205,0.8,889,2.1
POA2474,50,1242,463,220,1092,0.8,839,2.2
POA2475,50,988,397,185,762,0.7,695,2.1
POA2476,50,999,457,140,1049,0.8,802,2.2
POA2477,47,1625,594,310,1417,0.8,1166,2.4
POA2478,48,1733,602,350,1424,0.8,1140,2.3
POA2479,45,1842,659,420,1608,0.8,1373,2.6
POA2480,43,1430,551,265,1352,0.8,1069,2.4
POA2481,43,2000,644,470,1569,0.8,1319,2.4
POA2482,46,1532,511,350,1207,0.9,969,2.4
POA2483,45,1724,560,363,1273,0.8,1040,2.3
POA2484,46,1600,505,285,1266,0.8,1037,2.5
POA2485,53,1517,513,315,1180,0.8,894,2
POA2486,48,1733,530,350,1320,0.8,1069,2.4
POA2487,45,2100,616,360,1589,0.8,1224,2.4
POA2488,42,1700,605,360,1532,0.8,1269,2.5
POA2489,42,1950,556,390,1391,0.8,1180,2.6
POA2490,44,1733,591,300,1585,0.8,1385,2.5
POA2500,33,1900,555,340,1689,0.9,1239,2.3
POA2502,40,1602,446,250,1132,0.9,918,2.6
POA2505,43,1733,479,270,1319,0.8,1016,2.4
POA2506,39,1603,479,230,1339,0.9,1059,2.6
POA2508,38,2300,835,470,2328,0.9,2162,3
POA2515,42,2362,826,452,2297,0.9,2006,2.7
POA2516,38,2288,765,318,2266,0.9,1896,2.8
POA2517,41,2167,668,320,1946,0.8,1502,2.6
POA2518,41,1987,569,280,1577,0.8,1153,2.4
POA2519,40,2007,575,340,1752,0.8,1348,2.5
POA2522,19,0,175,0,0,0,0,0
POA2525,40,2058,645,350,1906,0.8,1581,2.8
POA2526,40,1885,611,300,1860,0.8,1522,2.8
POA2527,37,1842,613,360,1665,0.8,1500,2.9
POA2528,44,1690,489,296,1240,0.8,972,2.4
POA2529,39,2000,641,390,1791,0.8,1582,2.8
POA2530,39,1750,577,340,1581,0.8,1360,2.7
POA2533,47,2000,681,390,1813,0.8,1510,2.5
POA2534,46,2158,695,400,1847,0.8,1514,2.6
POA2535,56,1800,597,305,1465,0.7,1114,2.2
POA2536,52,1456,514,270,1177,0.7,963,2.2
POA2537,54,1408,525,250,1220,0.7,948,2.2
POA2538,54,1647,546,265,1302,0.8,1156,2.4
POA2539,53,1430,487,290,1117,0.7,900,2.2
POA2540,48,1517,510,290,1233,0.7,1024,2.4
POA2541,42,1500,506,254,1232,0.7,971,2.3
POA2545,52,1300,490,173,1255,0.8,975,2.3
POA2546,58,1300,491,228,1123,0.7,848,2.1
POA2548,55,1477,568,270,1272,0.7,1009,2.1
POA2549,49,1517,561,270,1298,0.8,1082,2.3
POA2550,48,1300,542,250,1275,0.8,1018,2.3
POA2551,52,1335,481,230,1118,0.7,839,2.2
POA2555,37,1654,571,290,1361,0.9,1278,3
POA2556,39,2167,610,400,1738,0.9,1700,3.4
POA2557,31,2600,784,500,2107,0.8,2121,3.3
POA2558,34,1800,698,380,1757,0.9,1693,3.1
POA2559,24,1983,403,200,869,1,785,3.3
POA2560,34,1803,633,350,1589,0.9,1429,2.9
POA2563,36,1500,592,400,1550,0.8,1468,2.9
POA2564,35,1733,521,310,1343,0.9,1216,2.9
POA2565,34,2000,669,370,1678,0.9,1518,2.9
POA2566,34,1926,643,352,1656,0.9,1571,3.1
POA2567,33,2167,809,450,2170,0.8,2091,3.2
POA2568,50,2375,616,300,1850,0.8,1521,2.8
POA2569,42,1976,732,350,2005,0.8,1943,3
POA2570,35,2253,825,460,2173,0.8,2009,3
POA2571,36,2167,814,360,2195,0.8,2059,3
POA2572,41,2058,659,360,1837,0.8,1591,2.9
POA2573,37,1842,640,370,1569,0.8,1403,2.8
POA2574,39,2068,650,370,1747,0.8,1578,2.9
POA2575,42,1820,641,350,1667,0.8,1381,2.6
POA2576,53,2000,668,400,1701,0.7,1371,2.3
POA2577,45,1790,645,320,1637,0.7,1312,2.4
POA2578,56,1592,580,328,1378,0.6,1100,2.2
POA2579,47,1733,584,270,1403,0.7,1200,2.5
POA2580,42,1517,632,255,1527,0.8,1205,2.4
POA2581,43,1733,774,200,1972,0.8,1603,2.6
POA2582,42,1980,842,300,2140,0.8,1778,2.6
POA2583,51,1300,561,200,1341,0.7,1011,2.3
POA2584,44,1257,641,198,1286,0.7,1104,2.3
POA2585,45,986,496,115,1160,0.8,814,2.2
POA2586,48,1192,548,170,1380,0.7,995,2.2
POA2587,49,975,516,173,1220,0.7,954,2.3
POA2588,52,867,690,100,1463,0.7,1224,2.5
POA2590,49,1127,521,190,1232,0.7,910,2.2
POA2594,41,1300,542,220,1253,0.7,983,2.4
POA2619,36,2383,1221,415,3044,0.8,2820,3.1
POA2620,37,2000,903,290,2185,0.8,1731,2.5
POA2621,39,2383,1074,420,2681,0.8,2457,2.9
POA2622,49,1690,606,250,1445,0.8,1100,2.3
POA2623,38,1417,827,285,1932,0.8,1388,2.2
POA2625,38,275,959,245,2091,1,1420,1.7
POA2626,43,1733,743,250,2053,0.9,1720,2.7
POA2627,37,1667,795,300,1855,0.8,1524,2.5
POA2628,45,1200,625,195,1508,0.8,1162,2.3
POA2629,57,1042,529,140,1212,0.6,852,1.9
POA2630,45,1263,623,220,1460,0.7,1078,2.2
POA2631,50,895,524,150,1210,0.7,931,2.2
POA2632,47,1040,597,160,1425,0.7,1092,2.3
POA2633,56,732,496,77,1222,0.7,808,2
POA2640,39,1517,692,250,1706,0.8,1313,2.4
POA2641,40,1300,544,215,1264,0.8,950,2.2
POA2642,42,1300,657,185,1591,0.8,1358,2.7
POA2643,47,1300,534,235,1322,0.7,1024,2.3
POA2644,48,1092,594,160,1387,0.7,1093,2.3
POA2645,51,563,532,80,1145,0.7,854,2.2
POA2646,48,1200,573,190,1320,0.7,1027,2.2
POA2647,52,1343,557,220,1280,0.7,1028,2.2
POA2648,52,910,496,160,1134,0.8,880,2.1
POA2649,48,1603,450,0,1624,0.5,1312,1.3
POA2650,36,1521,696,270,1690,0.8,1349,2.5
POA2651,28,1330,781,280,1581,0.8,1420,2.7
POA2652,42,1200,638,155,1479,0.8,1303,2.5
POA2653,46,1192,588,175,1382,0.7,1161,2.3
POA2655,45,1189,609,200,1471,0.7,1222,2.6
POA2656,48,867,571,150,1393,0.7,1018,2.3
POA2658,46,914,504,149,1190,0.7,841,2.4
POA2659,42,1000,517,150,1340,0.7,1122,2.4
POA2660,42,979,551,180,1294,0.8,1080,2.5
POA2661,22,0,779,250,2204,0.9,2173,3.2
POA2663,38,1200,584,210,1384,0.8,1101,2.5
POA2665,46,650,540,84,1294,0.8,1027,2.5
POA2666,46,1200,550,180,1338,0.8,1045,2.4
POA2668,42,650,430,120,972,0.8,808,2.5
POA2669,45,600,599,25,1354,0.7,1009,2.4
POA2671,42,1062,593,170,1426,0.7,1151,2.3
POA2672,37,897,497,145,1194,0.8,1026,2.5
POA2675,39,910,656,130,1547,0.8,1239,2.4
POA2678,20,0,198,0,0,0,0,0
POA2680,37,1500,676,225,1557,0.8,1334,2.7
POA2681,41,1300,660,185,1549,0.8,1309,2.7
POA2700,44,1083,568,180,1323,0.7,994,2.3
POA2701,42,1300,664,220,1567,0.8,1311,2.7
POA2702,47,750,495,140,1254,0.8,935,2.5
POA2703,18,1168,352,133,1228,0.8,1018,2.3
POA2705,41,1300,632,200,1467,0.8,1202,2.5
POA2706,41,1083,628,170,1408,0.8,1131,2.5
POA2707,39,888,701,140,1608,0.7,1315,2.5
POA2710,46,1083,580,180,1369,0.7,1050,2.3
POA2711,45,952,606,140,1353,0.7,1110,2.3
POA2712,51,943,501,130,1315,0.7,908,2.2
POA2713,47,867,549,140,1271,0.7,993,2.3
POA2714,55,1200,484,200,1174,0.7,895,2.2
POA2715,44,858,581,140,1371,0.8,1054,2.4
POA2716,47,789,608,125,1351,0.7,1129,2.3
POA2717,44,867,436,130,1010,0.9,864,2.6
POA2720,44,1486,588,200,1463,0.8,1146,2.4
POA2721,48,249,507,54,1187,0.7,936,2.6
POA2722,44,1127,561,170,1355,0.7,1061,2.4
POA2725,50,780,453,80,963,0.8,772,2.2
POA2726,48,1083,643,100,1600,0.7,1268,2.1
