POA_CODE_2016,P_85ov_DNPCC,P_85ov_UCC_NS,P_85ov_Total,P_Tot_CF_Own_CCO,P_Tot_CF_Oth_CCO,P_Tot_CF_Own_CC_Oth_CC,P_Tot_CF_Total,P_Tot_DNPCC,P_Tot_UCC_NS,P_Tot_Total
POA2065,362,65,444,4744,1360,100,6205,17603,1918,25728
POA2066,690,54,758,6045,1500,186,7734,16479,1326,25541
POA2067,454,100,559,4687,1015,86,5788,14890,1396,22075
POA2068,353,34,394,3628,747,97,4475,7758,673,12902
POA2069,286,73,372,2821,801,92,3716,6895,573,11184
POA2070,355,34,395,2723,743,62,3527,6702,456,10687
POA2071,397,63,467,2615,753,56,3428,7064,498,10992
POA2072,237,16,261,1433,397,26,1851,4128,300,6281
POA2073,307,26,350,3444,905,95,4442,7772,503,12718
POA2074,896,320,1231,4141,1410,119,5676,11193,1080,17950
POA2075,514,80,604,4211,1377,107,5689,9821,663,16173
POA2076,786,85,885,4649,1508,132,6286,12429,1037,19746
POA2077,628,94,735,7739,1845,149,9729,19096,1557,30384
POA2079,90,11,99,1412,366,40,1816,3618,194,5628
POA2080,29,3,32,322,111,11,449,827,63,1344
POA2081,43,8,51,1107,326,53,1495,2549,159,4201
POA2082,48,10,61,1170,392,51,1623,2359,176,4155
POA2083,18,0,17,210,101,18,334,865,98,1298
POA2084,104,4,109,645,256,29,935,1788,190,2912
POA2085,425,91,525,2161,814,72,3036,5808,494,9341
POA2086,163,23,195,2863,831,103,3804,6050,416,10264
POA2087,337,66,408,2603,758,100,3461,5950,432,9843
POA2088,731,173,910,4870,1633,122,6624,14904,1938,23465
POA2089,222,71,295,1655,585,33,2276,7138,999,10414
POA2090,188,23,212,2143,770,54,2968,7839,917,11719
POA2092,125,6,138,1565,349,60,1970,3116,249,5332
POA2093,395,111,524,5022,1142,171,6327,10128,1126,17584
POA2094,102,18,120,1105,360,33,1496,3005,308,4813
POA2095,236,132,367,2178,852,56,3091,9270,1447,13809
POA2096,176,29,213,2747,704,99,3542,7302,937,11783
POA2097,300,117,422,3000,971,94,4067,7452,889,12405
POA2099,792,102,902,7322,2231,216,9769,20483,2292,32547
POA2100,422,106,531,4160,1176,150,5489,10135,896,16523
POA2101,830,156,992,3479,1175,110,4766,9916,1146,15830
POA2102,92,111,203,1563,439,61,2061,3241,483,5792
POA2103,291,114,406,1770,753,75,2598,5528,648,8777
POA2104,236,76,317,457,298,20,775,2088,275,3136
POA2105,25,0,26,297,142,11,445,942,171,1554
POA2106,135,14,150,1670,648,47,2370,4825,360,7554
POA2107,305,36,356,2783,1143,93,4021,7128,594,11743
POA2108,40,0,41,202,186,5,390,952,139,1479
POA2109,85,32,125,198,89,0,287,2336,283,2907
POA2110,597,41,645,1753,651,45,2445,5386,502,8328
POA2111,360,29,398,2482,762,63,3310,7780,744,11833
POA2112,726,126,858,5634,1534,130,7305,18148,1675,27122
POA2113,405,42,460,3294,823,74,4189,10266,766,15222
POA2114,322,20,356,4256,1088,93,5438,13744,907,20086
POA2115,207,33,247,1993,487,62,2546,5473,538,8559
POA2116,97,21,114,1191,309,30,1533,3512,302,5345
POA2117,279,38,317,3742,999,93,4839,11328,1113,17276
POA2118,412,99,523,4720,1439,93,6257,12588,926,19769
POA2119,330,28,363,2159,865,68,3087,6010,322,9424
POA2120,343,38,383,3885,1340,102,5330,10228,648,16200
POA2121,527,71,598,5089,1475,127,6696,15711,885,23288
POA2122,781,144,941,4952,1422,105,6481,18776,1351,26610
POA2123,0,0,0,0,0,0,0,0,0,0
POA2125,240,27,269,2938,1177,88,4200,8721,428,13348
POA2126,395,48,451,3346,1208,85,4643,10215,480,15336
POA2127,36,8,44,2642,487,51,3182,7578,1307,12073
POA2128,7,0,10,440,72,5,517,1177,1979,3670
POA2129,0,0,0,0,0,0,0,0,0,0
POA2130,118,18,138,1210,310,42,1561,4167,454,6180
POA2131,607,88,705,3290,831,74,4192,15054,1652,20899
POA2132,286,27,319,1690,530,67,2293,6077,489,8864
POA2133,190,18,215,1872,539,52,2459,6078,463,9004
POA2134,312,55,371,1799,505,30,2331,11142,991,14465
POA2135,613,60,685,3191,1081,63,4338,16152,1577,22064
POA2136,134,31,165,1191,318,21,1534,4189,395,6117
POA2137,583,44,635,4401,1580,86,6063,14639,1323,22033
POA2138,166,11,181,3085,640,31,3760,12320,1021,17097
POA2139,0,3,5,0,0,0,0,40,15,57
POA2140,93,11,102,2572,364,27,2963,9304,1448,13714
POA2141,340,37,377,4045,1112,84,5235,17322,1632,24194
POA2142,183,18,206,4132,912,51,5099,13858,2072,21026
POA2143,116,20,138,1427,377,30,1835,4807,513,7156
POA2144,407,74,484,5354,1115,111,6586,21074,2458,30121
POA2145,1154,250,1424,15250,3503,308,19061,38635,4539,62237
POA2146,170,28,199,3221,954,77,4259,8783,860,13903
POA2147,488,70,572,6304,2187,190,8684,18638,1898,29222
POA2148,941,184,1140,11067,3080,306,14451,32291,3445,50186
POA2150,236,62,306,5661,695,49,6409,17298,2582,26283
POA2151,439,57,500,3747,1048,87,4882,11083,1378,17339
POA2152,335,42,378,2005,547,62,2606,6029,465,9093
POA2153,790,144,953,11265,3638,295,15204,27754,1657,44611
POA2154,822,460,1299,7205,2527,177,9903,20208,1768,31881
POA2155,221,11,242,12480,2829,361,15669,23798,1683,41150
POA2156,272,27,301,2109,991,70,3174,6925,429,10524
POA2157,42,3,51,634,244,24,897,1857,242,2998
POA2158,244,15,266,1417,557,56,2033,4589,392,7010
POA2159,168,18,187,853,393,31,1277,2579,184,4029
POA2160,559,85,641,5491,1369,105,6962,19378,2130,28474
POA2161,510,89,605,4720,1241,103,6063,15797,2146,24009
POA2162,440,37,485,2746,727,70,3542,9862,1102,14508
POA2163,214,27,240,1162,342,27,1533,5021,1170,7729
POA2164,283,42,327,2715,1069,78,3863,10899,1004,15768
POA2165,622,67,702,5510,1564,117,7194,24404,2409,34006
POA2166,983,92,1097,7618,1946,140,9699,30398,2805,42904
POA2167,75,178,251,1809,460,27,2303,4487,755,7540
POA2168,321,50,383,6125,1903,162,8191,22484,3036,33705
POA2170,1348,227,1595,17346,4638,370,22351,52009,7802,82161
POA2171,108,9,114,6894,1509,151,8559,15988,1469,26007
POA2172,9,0,6,557,157,21,733,1349,79,2160
POA2173,48,3,57,3080,556,89,3724,6761,578,11066
POA2174,11,0,14,499,89,11,598,921,134,1654
POA2175,26,4,30,247,144,4,395,995,132,1522
POA2176,668,52,736,6439,2679,124,9245,28009,2024,39281
POA2177,199,13,212,2233,815,71,3120,9118,643,12883
POA2178,53,29,87,541,246,9,795,2289,396,3484
POA2179,172,27,198,936,348,27,1304,3380,601,5291
POA2190,501,49,557,3839,1037,105,4983,12891,1539,19411
POA2191,122,8,136,1067,323,32,1415,3375,258,5049
POA2192,233,14,252,1860,518,45,2424,7239,795,10461
POA2193,214,21,243,2429,745,72,3242,8628,875,12746
POA2194,352,34,391,3821,791,53,4668,14633,1494,20795
POA2195,258,94,359,5152,770,70,5992,12565,1847,20403
POA2196,454,50,513,5061,1297,102,6456,16339,1919,24716
POA2197,173,16,197,1353,403,35,1785,4737,477,7000
POA2198,307,17,327,1447,506,34,1988,4590,462,7042
POA2199,418,56,484,2660,721,78,3462,9495,1082,14032
POA2200,608,98,715,6980,1670,108,8759,22043,3118,33916
POA2203,156,29,199,2207,612,96,2917,7657,978,11550
POA2204,485,38,538,3727,1190,148,5061,15765,1907,22731
POA2205,245,31,272,2461,663,53,3180,12300,1365,16837
POA2206,537,56,607,3171,1127,86,4385,10356,1087,15837
POA2207,677,431,1117,4709,1345,100,6158,15098,2071,23324
POA2208,321,33,359,1961,622,57,2636,6964,604,10202
POA2209,345,49,405,2554,831,47,3427,8847,774,13049
POA2210,906,167,1088,4768,1796,142,6703,16928,1693,25321
POA2211,532,68,614,2641,947,72,3661,9486,832,13979
POA2212,383,96,488,2561,765,63,3393,8590,836,12823
POA2213,430,45,483,3820,1216,133,5168,11200,1009,17378
POA2214,29,0,30,695,329,17,1041,1985,130,3152
POA2216,438,86,540,4040,1142,66,5248,16712,2066,24021
POA2217,511,83,600,4559,1230,81,5863,14916,1536,22322
POA2218,214,51,273,2735,712,53,3492,9488,783,13764
POA2219,397,69,465,2135,778,54,2961,7214,808,10987
POA2220,465,53,532,5004,1292,82,6370,19997,1498,27865
POA2221,470,54,527,2800,965,52,3817,8943,663,13424
POA2222,222,36,268,2212,608,50,2870,7178,637,10679
POA2223,542,50,604,3719,1229,117,5060,11161,893,17116
POA2224,537,64,608,2370,1009,46,3423,7527,685,11636
POA2225,85,8,95,1206,362,31,1600,2372,143,4117
POA2226,284,26,314,2481,849,102,3438,5896,451,9780
POA2227,306,32,343,2757,1034,89,3877,7285,544,11708
POA2228,725,81,818,3177,1095,89,4362,9708,943,15014
POA2229,911,131,1047,5140,2024,174,7337,14635,1252,23225
POA2230,608,94,711,4334,2226,157,6721,15909,1863,24488
POA2231,15,0,12,449,135,21,610,979,110,1698
POA2232,821,88,921,5993,2257,213,8459,16801,1389,26647
POA2233,539,45,586,5796,2456,232,8490,13801,800,23082
POA2234,441,31,480,5251,2374,156,7784,16235,911,24935
POA2250,1956,420,2393,10920,4283,539,15740,35060,4135,54940
POA2251,864,233,1104,5473,2425,263,8161,16714,1720,26589
POA2256,550,128,678,2077,1073,90,3240,8858,1172,13266
POA2257,796,292,1099,4275,2038,206,6515,15610,2061,24185
POA2258,50,6,57,888,386,48,1318,2621,208,4149
POA2259,1017,316,1345,9933,3921,448,14302,29516,3728,47547
POA2260,336,55,394,4050,1840,220,6104,11657,1080,18847
POA2261,1386,466,1874,8286,3691,422,12402,27050,3655,43105
POA2262,347,92,442,3460,1438,164,5063,10297,1250,16608
POA2263,681,296,987,3268,1640,149,5058,12899,2265,20218
POA2264,449,64,514,2019,1083,87,3192,7890,807,11885
POA2265,258,39,296,871,420,42,1325,3128,365,4820
POA2267,53,11,70,373,249,12,630,1571,159,2360
POA2278,15,3,22,457,228,27,716,1254,88,2056
POA2280,510,202,727,4373,2445,181,6999,13520,1344,21866
POA2281,383,93,480,2103,1214,106,3425,7810,807,12039
POA2282,327,41,375,2441,1438,114,3997,7463,625,12073
POA2283,558,215,773,3364,2002,157,5516,12566,1393,19483
POA2284,242,100,351,1591,876,73,2540,5595,616,8757
POA2285,516,160,683,5959,2282,253,8487,14301,1342,24133
POA2286,33,6,43,691,346,39,1081,1834,196,3113
POA2287,624,193,832,6289,2655,258,9204,18443,1603,29248
POA2289,434,65,509,3606,1337,158,5099,9558,686,15339
POA2290,822,158,992,5594,2577,283,8453,17038,1634,27119
POA2291,238,87,328,2208,977,81,3263,7116,679,11066
POA2292,45,3,47,419,162,22,598,1326,100,2026
POA2293,34,3,37,334,169,15,516,1532,148,2193
POA2294,17,4,22,281,124,13,415,1114,130,1653
POA2295,126,102,223,876,534,53,1464,3562,895,5924
POA2296,9,4,15,278,122,19,423,1059,115,1604
POA2297,30,3,33,285,85,18,387,852,122,1368
POA2298,180,339,519,1351,542,54,1947,5209,946,8102
POA2299,263,43,309,1684,704,81,2474,6207,514,9191
POA2300,120,32,154,1111,734,44,1891,6755,905,9545
POA2302,8,3,8,29,30,3,60,401,82,547
POA2303,194,81,283,1254,628,75,1956,5169,649,7773
POA2304,288,242,526,2244,923,94,3251,8428,1206,12888
POA2305,273,62,349,2309,872,92,3274,6200,525,10005
POA2306,30,21,49,452,200,14,661,1644,315,2623
POA2307,71,12,83,564,268,29,861,2217,182,3263
POA2308,0,0,0,0,39,0,40,1221,71,1326
POA2311,9,7,16,130,55,3,192,438,78,702
POA2312,19,6,23,231,92,6,327,756,84,1175
POA2314,0,0,0,10,3,0,7,106,90,205
POA2315,506,123,636,1837,986,87,2915,8417,1162,12496
POA2316,64,32,97,862,405,45,1314,3042,530,4885
POA2317,231,39,269,811,418,41,1267,3528,477,5273
POA2318,84,23,107,2156,874,95,3122,5574,838,9536
POA2319,124,30,155,894,417,49,1360,3620,511,5497
POA2320,499,123,631,6417,2343,315,9075,15795,2005,26878
POA2321,144,19,166,2816,1092,129,4043,6584,727,11351
POA2322,159,32,201,3271,1452,165,4890,8818,883,14585
POA2323,403,96,497,4406,1957,227,6591,12469,1461,20518
POA2324,479,79,560,3297,1731,162,5188,12446,1799,19433
POA2325,528,97,628,4316,2074,205,6589,13370,2880,22843
POA2326,75,13,87,1179,617,67,1856,3446,524,5829
POA2327,161,69,229,1125,599,49,1773,3855,609,6240
POA2328,46,7,55,412,122,23,559,1195,194,1944
POA2329,48,12,65,331,120,8,462,1010,218,1688
POA2330,277,45,328,3687,1331,150,5165,9360,1433,15955
POA2331,0,0,0,3,4,0,5,306,11,319
POA2333,128,27,157,2452,771,80,3307,6053,1140,10499
POA2334,16,0,20,570,173,14,760,1207,148,2121
POA2335,44,14,60,1213,454,48,1707,2628,370,4705
POA2336,33,9,38,441,177,9,628,1211,213,2057
POA2337,152,41,198,1307,421,40,1769,3793,676,6235
POA2338,32,17,45,178,73,12,262,780,147,1191
POA2339,11,0,11,103,32,0,136,324,94,546
POA2340,905,204,1122,7731,3155,375,11259,23728,3863,38851
POA2341,32,12,41,186,92,9,288,825,191,1308
POA2342,5,0,10,77,30,3,109,223,38,374
POA2343,110,11,125,735,239,28,999,2604,421,4029
POA2344,10,0,11,108,41,3,152,386,68,606
POA2345,3,0,5,103,49,4,156,392,45,593
POA2346,79,22,102,390,157,24,573,1635,378,2590
POA2347,54,16,74,223,92,6,326,1063,224,1620
POA2350,441,89,541,3690,1344,148,5176,13612,1797,20581
POA2351,0,0,0,7,14,0,20,768,189,974
POA2352,29,3,31,469,156,14,636,1334,159,2134
POA2353,54,32,85,145,72,6,222,571,135,930
POA2354,64,38,102,514,190,20,731,1809,404,2943
POA2355,9,3,9,70,32,4,108,366,87,566
POA2356,0,0,0,19,9,3,32,89,12,133
POA2357,130,32,162,493,250,26,765,2198,456,3417
POA2358,79,9,86,561,237,19,812,1998,284,3099
POA2359,19,4,20,114,33,4,152,369,87,601
POA2360,301,63,371,2120,870,95,3084,7280,1229,11594
POA2361,18,3,23,106,44,3,160,495,91,747
POA2365,87,11,98,552,173,10,744,1918,311,2972
POA2369,17,4,21,93,58,0,158,483,109,750
POA2370,180,74,260,986,428,53,1462,3906,945,6316
POA2371,10,7,21,103,35,11,145,729,145,1018
POA2372,83,62,145,549,245,15,817,2646,532,3990
POA2379,6,0,12,59,10,0,63,169,22,257
POA2380,243,45,294,1686,609,82,2377,4962,855,8192
POA2381,13,6,19,178,75,7,252,622,101,970
POA2382,21,8,30,191,77,4,275,659,133,1069
POA2386,3,0,3,53,8,0,62,173,41,275
POA2387,3,0,0,24,8,0,38,100,30,161
POA2388,27,21,51,409,143,14,565,1140,351,2054
POA2390,112,57,176,1291,551,58,1902,4170,868,6935
POA2395,16,5,20,62,25,0,84,423,88,594
POA2396,24,5,31,102,50,3,154,497,63,711
POA2397,4,0,5,64,15,8,87,160,42,289
POA2398,4,0,4,36,20,0,55,117,22,192
POA2399,3,0,3,76,49,4,125,263,81,469
POA2400,129,22,160,1472,559,67,2105,4637,1179,7925
POA2401,3,0,3,58,26,0,78,142,30,253
POA2402,44,15,58,219,90,11,320,957,183,1464
POA2403,5,3,8,130,44,4,173,302,74,551
POA2404,62,21,84,199,76,3,279,1091,211,1579
POA2405,3,0,5,68,19,0,91,258,58,405
POA2406,13,0,13,141,38,3,181,353,73,610
POA2408,0,0,0,64,19,0,83,171,36,292
POA2409,3,0,3,107,46,3,152,517,90,765
POA2410,0,0,0,35,22,3,57,134,28,223
POA2411,0,0,0,19,0,5,27,56,13,92
POA2415,0,0,0,64,26,0,94,188,37,315
POA2420,79,34,120,521,285,27,835,2098,408,3342
POA2421,20,3,24,315,156,18,484,875,94,1449
POA2422,142,31,174,636,341,34,1009,3040,431,4484
POA2423,63,14,77,340,167,8,513,1782,266,2568
POA2424,0,0,0,65,15,0,81,215,46,346
POA2425,40,5,43,289,135,7,431,911,103,1443
POA2426,7,0,7,104,51,3,156,364,72,594
POA2427,82,17,101,246,172,17,433,2145,240,2814
POA2428,985,301,1286,2577,1317,104,3995,14587,2171,20760
POA2429,194,70,277,1231,625,55,1904,5380,824,8111
POA2430,877,291,1178,4425,2084,199,6715,18809,2577,28094
POA2431,181,24,207,545,233,26,802,3254,392,4451
POA2439,30,17,49,387,196,27,611,1528,302,2441
POA2440,432,179,615,2705,1294,122,4124,10948,2754,17832
POA2441,64,15,76,570,236,31,833,2339,430,3600
POA2443,340,156,492,861,487,30,1381,5588,921,7888
POA2444,1682,285,1980,6722,2583,303,9601,25793,3199,38593
POA2445,95,18,113,956,401,28,1394,3613,342,5350
POA2446,299,44,339,1920,843,93,2852,6864,1004,10716
POA2447,179,65,244,968,388,29,1383,3894,620,5901
POA2448,286,119,412,999,497,45,1542,5281,869,7694
POA2449,28,5,39,278,130,20,427,1167,183,1771
POA2450,812,441,1266,6493,2543,313,9346,22783,3765,35888
POA2452,376,104,488,2313,950,102,3359,8030,897,12295
POA2453,70,17,84,364,156,10,533,1585,235,2350
POA2454,171,21,192,1264,499,92,1851,3698,515,6066
POA2455,72,26,100,332,190,25,539,1787,281,2609
POA2456,277,53,332,2209,854,103,3168,7743,1128,12043
POA2460,717,131,847,3936,1934,232,6102,15312,2561,23976
POA2462,55,8,60,296,142,17,451,1421,193,2073
POA2463,222,47,273,918,444,50,1423,4326,635,6380
POA2464,265,49,315,720,348,36,1097,4169,607,5878
POA2465,4,0,4,45,25,0,67,162,21,251
POA2466,59,11,71,152,69,7,220,1148,174,1542
POA2469,55,14,76,406,190,16,610,2416,446,3470
POA2470,371,65,446,2092,953,105,3156,7801,1199,12155
POA2471,47,9,58,350,136,15,500,1266,244,2016
POA2472,16,6,24,267,88,13,368,959,189,1518
POA2473,98,23,115,365,201,14,582,1785,275,2646
POA2474,134,51,186,782,386,42,1209,3457,633,5298
POA2475,4,9,13,53,15,0,70,173,73,319
POA2476,20,6,21,80,45,8,133,453,68,652
POA2477,398,60,463,1832,766,93,2692,6508,781,9979
POA2478,884,378,1273,4113,1699,162,5974,15405,2432,23805
POA2479,73,32,105,837,249,35,1124,2329,406,3862
POA2480,942,210,1164,6532,2754,406,9691,23256,3660,36605
POA2481,177,60,234,1622,591,50,2261,6079,1693,10036
POA2482,127,18,158,1009,393,63,1466,2868,797,5132
POA2483,169,45,217,1618,641,90,2354,5455,995,8804
POA2484,361,174,550,2762,1217,118,4093,9554,1808,15454
POA2485,723,205,932,1587,831,60,2475,8677,1518,12670
POA2486,1199,242,1451,4410,1879,187,6481,17929,2173,26582
POA2487,270,106,375,2199,807,103,3111,6761,1105,10976
POA2488,40,3,52,559,203,24,781,1616,208,2601
POA2489,95,105,196,1382,474,59,1911,3299,488,5705
POA2490,7,0,5,103,46,3,154,346,45,544
POA2500,825,152,992,5017,2489,194,7703,24590,2937,35226
POA2502,302,37,343,1753,714,70,2540,6657,831,10032
POA2505,152,27,178,661,354,28,1045,2788,342,4181
POA2506,142,30,171,1073,552,51,1669,3983,511,6160
POA2508,112,16,132,1852,605,108,2567,4089,372,7029
POA2515,174,24,203,2129,856,92,3081,5246,513,8840
POA2516,80,21,103,1217,454,67,1738,2710,267,4722
POA2517,367,41,413,2464,1007,137,3608,6732,637,10973
POA2518,594,94,693,2960,1352,142,4452,10285,1014,15751
POA2519,380,53,448,2648,1205,105,3957,9229,839,14027
POA2522,0,0,0,0,15,0,10,280,7,303
POA2525,286,39,333,2074,931,78,3087,5691,492,9277
POA2526,338,141,484,2566,1237,108,3910,7849,936,12696
POA2527,343,153,505,3927,1723,180,5838,9941,1153,16928
POA2528,420,138,571,3293,1826,160,5284,12520,1855,19664
POA2529,341,43,394,4797,1993,224,7012,12411,1230,20650
POA2530,580,93,683,5607,2605,288,8500,15679,1369,25550
POA2533,369,106,478,2353,1332,124,3814,8312,911,13039
POA2534,173,47,226,815,460,46,1323,2904,479,4708
POA2535,302,56,355,878,547,52,1484,4239,607,6327
POA2536,464,182,652,2035,987,95,3117,10238,1672,15025
POA2537,323,57,388,1370,653,54,2072,7163,934,10173
POA2538,52,98,146,323,153,15,493,1169,355,2015
POA2539,420,116,542,2259,1112,83,3455,10409,1397,15262
POA2540,1002,255,1262,5960,2921,296,9178,24597,4096,37871
POA2541,601,217,829,3622,1638,198,5454,13139,2235,20825
POA2545,12,0,12,96,59,9,163,651,88,906
POA2546,319,88,417,889,475,40,1411,5661,894,7966
POA2548,247,88,329,866,440,33,1336,4764,668,6767
POA2549,107,14,119,563,241,16,821,2027,279,3126
POA2550,274,53,327,2272,972,112,3356,8391,1312,13049
POA2551,99,42,138,400,204,28,629,2003,327,2961
POA2555,4,0,4,31,12,0,37,121,4,170
POA2556,21,3,28,379,178,9,562,1342,145,2044
POA2557,53,9,57,1681,473,44,2198,4056,641,6888
POA2558,49,11,59,1908,708,78,2697,5743,404,8842
POA2559,5,0,8,382,125,15,524,1112,453,2093
POA2560,625,187,815,12489,5022,494,18005,37693,4582,60277
POA2563,6,0,10,42,20,3,69,152,19,240
POA2564,98,23,120,2261,696,63,3020,6737,998,10756
POA2565,191,32,231,3441,1172,82,4699,9963,1207,15867
POA2566,184,34,217,4611,1582,129,6314,13091,1204,20617
POA2567,174,29,204,8277,2348,309,10931,16685,1260,28876
POA2568,76,3,81,148,67,6,226,717,60,999
POA2569,14,0,14,226,112,12,355,648,90,1092
POA2570,600,189,804,7863,2739,303,10903,18005,2068,30978
POA2571,77,8,90,2367,824,85,3269,5259,574,9110
POA2572,64,89,157,736,290,31,1050,2116,417,3583
POA2573,57,12,71,842,299,39,1183,2413,381,3973
POA2574,66,18,86,986,384,38,1408,2771,345,4524
POA2575,182,120,310,2510,976,110,3593,7769,1160,12520
POA2576,578,66,658,1797,862,84,2742,7711,860,11317
POA2577,305,21,331,2318,1047,105,3469,7965,1189,12627
POA2578,55,53,112,328,180,19,528,1571,212,2314
POA2579,41,20,58,607,270,29,899,2094,276,3268
POA2580,506,233,742,4296,1855,205,6358,14740,2883,23979
POA2581,24,3,28,351,145,14,516,1010,130,1658
POA2582,156,110,263,2140,815,94,3052,5844,930,9827
POA2583,117,18,138,577,293,15,883,2394,399,3674
POA2584,9,3,13,99,28,3,132,267,38,429
POA2585,0,0,3,37,22,0,58,92,23,170
POA2586,53,19,67,320,148,12,481,1489,237,2202
POA2587,64,33,100,383,162,14,559,1598,250,2403
POA2588,3,0,5,39,17,0,52,154,15,218
POA2590,238,42,277,865,440,58,1360,3973,552,5887
POA2594,278,51,331,1751,678,77,2508,5791,903,9201
POA2619,33,6,46,2010,508,56,2572,4370,288,7227
POA2620,461,62,533,6181,2331,228,8736,20062,3307,32111
POA2621,37,3,37,1107,346,62,1508,2789,412,4705
POA2622,58,25,82,527,258,18,801,2018,455,3279
POA2623,4,3,3,97,31,4,137,294,55,478
POA2625,3,0,3,46,10,0,56,187,102,347
POA2626,8,0,5,83,30,3,112,243,55,408
POA2627,29,11,38,793,197,25,1018,2371,394,3788
POA2628,25,3,24,331,106,8,449,964,133,1545
POA2629,10,3,14,54,21,0,78,332,63,467
POA2630,184,84,270,1179,455,41,1673,4649,964,7287
POA2631,3,0,7,77,31,3,108,319,51,476
POA2632,63,6,71,267,94,8,366,990,152,1504
POA2633,8,8,17,38,23,3,56,227,47,332
POA2640,795,202,1005,5872,2156,274,8301,18466,2633,29402
POA2641,271,59,336,2163,1022,100,3292,7854,1208,12358
POA2642,52,16,66,814,317,21,1159,2194,353,3702
POA2643,72,14,89,375,149,19,543,1436,290,2274
POA2644,62,27,92,358,132,16,504,1223,219,1946
POA2645,4,8,14,44,18,0,65,196,72,337
POA2646,159,78,236,924,441,32,1400,3579,617,5599
POA2647,51,13,66,262,153,15,428,1192,210,1830
POA2648,77,6,83,266,143,13,422,1317,302,2043
POA2649,0,0,0,5,0,0,3,17,0,24
POA2650,1116,198,1325,9228,3638,367,13228,28640,3429,45298
POA2651,11,0,11,444,95,15,557,1059,126,1750
POA2652,48,14,70,693,297,28,1027,2221,406,3651
POA2653,52,19,72,316,157,11,482,1265,373,2121
POA2655,36,4,40,211,88,10,313,645,106,1063
POA2656,39,12,55,188,84,19,284,635,109,1029
POA2658,42,9,54,205,103,6,320,691,108,1115
POA2659,11,9,16,138,56,3,197,440,59,699
POA2660,37,6,39,259,110,15,393,752,113,1253
POA2661,0,0,0,51,11,3,63,392,116,569
POA2663,84,18,101,607,264,30,903,2124,1273,4293
POA2665,48,14,58,336,141,6,489,1051,234,1768
POA2666,180,16,201,790,335,34,1160,3049,384,4594
POA2668,0,0,3,62,13,0,84,230,43,354
POA2669,24,8,34,231,121,9,358,797,157,1308
