LGA_NAME16	Age	MaritalStatus	Sex	responses
Balranald (A)	85+	Married	F	3
Balranald (A)	85+	Married	M	9
Balranald (A)	85+	Widowed	F	20
Balranald (A)	85+	Widowed	M	5
Bathurst Regional (A)	15-19	Divorced	F	4
Bathurst Regional (A)	15-19	Married	M	3
Bathurst Regional (A)	20-24	Divorced	F	6
Bathurst Regional (A)	20-24	Divorced	M	3
Bathurst Regional (A)	20-24	Married	F	77
Bathurst Regional (A)	20-24	Married	M	56
Bathurst Regional (A)	20-24	Separated	F	8
Bathurst Regional (A)	20-24	Separated	M	4
Bathurst Regional (A)	20-24	Widowed	F	4
Bathurst Regional (A)	25-34	Divorced	F	50
Bathurst Regional (A)	25-34	Divorced	M	36
Bathurst Regional (A)	25-34	Married	F	1012
Bathurst Regional (A)	25-34	Married	M	893
Bathurst Regional (A)	25-34	Separated	F	66
Bathurst Regional (A)	25-34	Separated	M	45
Bathurst Regional (A)	25-34	Widowed	F	5
Bathurst Regional (A)	25-34	Widowed	M	3
Bathurst Regional (A)	35-44	Divorced	F	274
Bathurst Regional (A)	35-44	Divorced	M	165
Bathurst Regional (A)	35-44	Married	F	1423
Bathurst Regional (A)	35-44	Married	M	1359
Bathurst Regional (A)	35-44	Separated	F	153
Bathurst Regional (A)	35-44	Separated	M	110
Bathurst Regional (A)	35-44	Widowed	F	9
Bathurst Regional (A)	35-44	Widowed	M	5
Bathurst Regional (A)	45-54	Divorced	F	390
Bathurst Regional (A)	45-54	Divorced	M	310
Bathurst Regional (A)	45-54	Married	F	1603
Bathurst Regional (A)	45-54	Married	M	1534
Bathurst Regional (A)	45-54	Separated	F	169
Bathurst Regional (A)	45-54	Separated	M	138
Bathurst Regional (A)	45-54	Widowed	F	61
Bathurst Regional (A)	45-54	Widowed	M	12
Bathurst Regional (A)	55-64	Divorced	F	471
Bathurst Regional (A)	55-64	Divorced	M	345
Bathurst Regional (A)	55-64	Married	F	1590
Bathurst Regional (A)	55-64	Married	M	1635
Bathurst Regional (A)	55-64	Separated	F	127
Bathurst Regional (A)	55-64	Separated	M	123
Bathurst Regional (A)	55-64	Widowed	F	136
Bathurst Regional (A)	55-64	Widowed	M	34
Bathurst Regional (A)	65-74	Divorced	F	309
Bathurst Regional (A)	65-74	Divorced	M	295
Bathurst Regional (A)	65-74	Married	F	1144
Bathurst Regional (A)	65-74	Married	M	1306
Bathurst Regional (A)	65-74	Separated	F	77
Bathurst Regional (A)	65-74	Separated	M	72
Bathurst Regional (A)	65-74	Widowed	F	315
Bathurst Regional (A)	65-74	Widowed	M	104
Bathurst Regional (A)	75-84	Divorced	F	106
Bathurst Regional (A)	75-84	Divorced	M	73
Bathurst Regional (A)	75-84	Married	F	446
Bathurst Regional (A)	75-84	Married	M	604
Bathurst Regional (A)	75-84	Separated	F	23
Bathurst Regional (A)	75-84	Separated	M	18
Bathurst Regional (A)	75-84	Widowed	F	488
Bathurst Regional (A)	75-84	Widowed	M	126
Bathurst Regional (A)	85+	Divorced	F	37
Bathurst Regional (A)	85+	Divorced	M	24
Bathurst Regional (A)	85+	Married	F	76
Bathurst Regional (A)	85+	Married	M	159
Bathurst Regional (A)	85+	Separated	F	4
Bathurst Regional (A)	85+	Separated	M	3
Bathurst Regional (A)	85+	Widowed	F	449
Bathurst Regional (A)	85+	Widowed	M	98
Bega Valley (A)	20-24	Married	F	38
Bega Valley (A)	20-24	Married	M	20
Bega Valley (A)	20-24	Separated	F	3
Bega Valley (A)	25-34	Divorced	F	40
Bega Valley (A)	25-34	Divorced	M	27
Bega Valley (A)	25-34	Married	F	491
Bega Valley (A)	25-34	Married	M	338
Bega Valley (A)	25-34	Separated	F	49
Bega Valley (A)	25-34	Separated	M	22
Bega Valley (A)	25-34	Widowed	M	5
Bega Valley (A)	35-44	Divorced	F	154
Bega Valley (A)	35-44	Divorced	M	90
Bega Valley (A)	35-44	Married	F	862
Bega Valley (A)	35-44	Married	M	731
Bega Valley (A)	35-44	Separated	F	95
Bega Valley (A)	35-44	Separated	M	76
Bega Valley (A)	35-44	Widowed	F	20
Bega Valley (A)	35-44	Widowed	M	3
Bega Valley (A)	45-54	Divorced	F	390
Bega Valley (A)	45-54	Divorced	M	318
Bega Valley (A)	45-54	Married	F	1361
Bega Valley (A)	45-54	Married	M	1169
Bega Valley (A)	45-54	Separated	F	152
Bega Valley (A)	45-54	Separated	M	122
Bega Valley (A)	45-54	Widowed	F	63
Bega Valley (A)	45-54	Widowed	M	11
Bega Valley (A)	55-64	Divorced	F	579
Bega Valley (A)	55-64	Divorced	M	524
Bega Valley (A)	55-64	Married	F	1917
Bega Valley (A)	55-64	Married	M	1804
Bega Valley (A)	55-64	Separated	F	140
Bega Valley (A)	55-64	Separated	M	139
Bega Valley (A)	55-64	Widowed	F	169
Bega Valley (A)	55-64	Widowed	M	56
Bega Valley (A)	65-74	Divorced	F	431
Bega Valley (A)	65-74	Divorced	M	426
Bega Valley (A)	65-74	Married	F	1529
Bega Valley (A)	65-74	Married	M	1742
Bega Valley (A)	65-74	Separated	F	77
Bega Valley (A)	65-74	Separated	M	120
Bega Valley (A)	65-74	Widowed	F	349
Bega Valley (A)	65-74	Widowed	M	120
Bega Valley (A)	75-84	Divorced	F	117
Bega Valley (A)	75-84	Divorced	M	147
Bega Valley (A)	75-84	Married	F	612
Bega Valley (A)	75-84	Married	M	871
Bega Valley (A)	75-84	Separated	F	26
Bega Valley (A)	75-84	Separated	M	26
Bega Valley (A)	75-84	Widowed	F	508
Bega Valley (A)	75-84	Widowed	M	141
Bega Valley (A)	85+	Divorced	F	36
Bega Valley (A)	85+	Divorced	M	14
Bega Valley (A)	85+	Married	F	121
Bega Valley (A)	85+	Married	M	206
Bega Valley (A)	85+	Separated	M	7
Bega Valley (A)	85+	Widowed	F	453
Bega Valley (A)	85+	Widowed	M	126
Bellingen (A)	20-24	Married	F	14
Bellingen (A)	20-24	Married	M	3
Bellingen (A)	25-34	Divorced	F	11
Bellingen (A)	25-34	Divorced	M	4
Bellingen (A)	25-34	Married	F	186
Bellingen (A)	25-34	Married	M	143
Bellingen (A)	25-34	Separated	F	15
Bellingen (A)	25-34	Separated	M	9
Bellingen (A)	35-44	Divorced	F	63
Bellingen (A)	35-44	Divorced	M	55
Bellingen (A)	35-44	Married	F	331
Bellingen (A)	35-44	Married	M	270
Bellingen (A)	35-44	Separated	F	35
Bellingen (A)	35-44	Separated	M	25
Bellingen (A)	35-44	Widowed	F	5
Bellingen (A)	45-54	Divorced	F	183
Bellingen (A)	45-54	Divorced	M	102
Bellingen (A)	45-54	Married	F	504
Bellingen (A)	45-54	Married	M	453
Bellingen (A)	45-54	Separated	F	80
Bellingen (A)	45-54	Separated	M	46
Bellingen (A)	45-54	Widowed	F	16
Bellingen (A)	45-54	Widowed	M	8
Bellingen (A)	55-64	Divorced	F	282
Bellingen (A)	55-64	Divorced	M	219
Bellingen (A)	55-64	Married	F	599
Bellingen (A)	55-64	Married	M	576
Bellingen (A)	55-64	Separated	F	51
Bellingen (A)	55-64	Separated	M	46
Bellingen (A)	55-64	Widowed	F	50
Bellingen (A)	55-64	Widowed	M	15
Bellingen (A)	65-74	Divorced	F	168
Bellingen (A)	65-74	Divorced	M	158
Bellingen (A)	65-74	Married	F	479
Bellingen (A)	65-74	Married	M	540
Bellingen (A)	65-74	Separated	F	21
Bellingen (A)	65-74	Separated	M	37
Bellingen (A)	65-74	Widowed	F	112
Bellingen (A)	65-74	Widowed	M	39
Bellingen (A)	75-84	Divorced	F	67
Bellingen (A)	75-84	Divorced	M	63
Bellingen (A)	75-84	Married	F	205
Bellingen (A)	75-84	Married	M	289
Bellingen (A)	75-84	Separated	F	10
Bellingen (A)	75-84	Separated	M	15
Bellingen (A)	75-84	Widowed	F	187
Bellingen (A)	75-84	Widowed	M	61
Bellingen (A)	85+	Divorced	F	14
Bellingen (A)	85+	Divorced	M	12
Bellingen (A)	85+	Married	F	30
Bellingen (A)	85+	Married	M	61
Bellingen (A)	85+	Separated	M	4
Bellingen (A)	85+	Widowed	F	183
Bellingen (A)	85+	Widowed	M	54
Berrigan (A)	20-24	Married	F	10
Berrigan (A)	20-24	Married	M	5
Berrigan (A)	20-24	Separated	F	3
Berrigan (A)	25-34	Divorced	F	10
Berrigan (A)	25-34	Divorced	M	5
Berrigan (A)	25-34	Married	F	169
Berrigan (A)	25-34	Married	M	136
Berrigan (A)	25-34	Separated	F	12
Berrigan (A)	25-34	Separated	M	4
Berrigan (A)	35-44	Divorced	F	40
Berrigan (A)	35-44	Divorced	M	30
Berrigan (A)	35-44	Married	F	267
Berrigan (A)	35-44	Married	M	246
Berrigan (A)	35-44	Separated	F	23
Berrigan (A)	35-44	Separated	M	26
Berrigan (A)	45-54	Divorced	F	83
Berrigan (A)	45-54	Divorced	M	49
Berrigan (A)	45-54	Married	F	308
Berrigan (A)	45-54	Married	M	256
Berrigan (A)	45-54	Separated	F	29
Berrigan (A)	45-54	Separated	M	22
Berrigan (A)	45-54	Widowed	F	9
Berrigan (A)	55-64	Divorced	F	108
Berrigan (A)	55-64	Divorced	M	114
Berrigan (A)	55-64	Married	F	438
Berrigan (A)	55-64	Married	M	377
Berrigan (A)	55-64	Separated	F	37
Berrigan (A)	55-64	Separated	M	35
Berrigan (A)	55-64	Widowed	F	43
Berrigan (A)	55-64	Widowed	M	22
Berrigan (A)	65-74	Divorced	F	82
Berrigan (A)	65-74	Divorced	M	97
Berrigan (A)	65-74	Married	F	433
Berrigan (A)	65-74	Married	M	490
Berrigan (A)	65-74	Separated	F	14
Berrigan (A)	65-74	Separated	M	32
Berrigan (A)	65-74	Widowed	F	111
Berrigan (A)	65-74	Widowed	M	41
Berrigan (A)	75-84	Divorced	F	16
Berrigan (A)	75-84	Divorced	M	38
Berrigan (A)	75-84	Married	F	196
Berrigan (A)	75-84	Married	M	250
Berrigan (A)	75-84	Separated	F	3
Berrigan (A)	75-84	Separated	M	8
Berrigan (A)	75-84	Widowed	F	143
Berrigan (A)	75-84	Widowed	M	61
Berrigan (A)	85+	Divorced	M	3
Berrigan (A)	85+	Married	F	29
Berrigan (A)	85+	Married	M	70
Berrigan (A)	85+	Separated	M	3
Berrigan (A)	85+	Widowed	F	146
Berrigan (A)	85+	Widowed	M	44
Blacktown (C)	15-19	Divorced	F	3
Blacktown (C)	15-19	Divorced	M	10
Blacktown (C)	15-19	Married	F	62
Blacktown (C)	15-19	Married	M	32
Blacktown (C)	15-19	Separated	F	9
Blacktown (C)	15-19	Separated	M	5
Blacktown (C)	15-19	Widowed	M	7
Blacktown (C)	20-24	Divorced	F	31
Blacktown (C)	20-24	Divorced	M	11
Blacktown (C)	20-24	Married	F	1122
Blacktown (C)	20-24	Married	M	491
Blacktown (C)	20-24	Separated	F	70
Blacktown (C)	20-24	Separated	M	23
Blacktown (C)	20-24	Widowed	F	8
Blacktown (C)	20-24	Widowed	M	6
Blacktown (C)	25-34	Divorced	F	560
Blacktown (C)	25-34	Divorced	M	404
Blacktown (C)	25-34	Married	F	15497
Blacktown (C)	25-34	Married	M	11674
Blacktown (C)	25-34	Separated	F	700
Blacktown (C)	25-34	Separated	M	452
Blacktown (C)	25-34	Widowed	F	56
Blacktown (C)	25-34	Widowed	M	24
Blacktown (C)	35-44	Divorced	F	1757
Blacktown (C)	35-44	Divorced	M	1146
Blacktown (C)	35-44	Married	F	18039
Blacktown (C)	35-44	Married	M	18608
Blacktown (C)	35-44	Separated	F	1241
Blacktown (C)	35-44	Separated	M	836
Blacktown (C)	35-44	Widowed	F	172
Blacktown (C)	35-44	Widowed	M	36
Blacktown (C)	45-54	Divorced	F	2851
Blacktown (C)	45-54	Divorced	M	1861
Blacktown (C)	45-54	Married	F	13863
Blacktown (C)	45-54	Married	M	14391
Blacktown (C)	45-54	Separated	F	1216
Blacktown (C)	45-54	Separated	M	996
Blacktown (C)	45-54	Widowed	F	524
Blacktown (C)	45-54	Widowed	M	141
Blacktown (C)	55-64	Divorced	F	2729
Blacktown (C)	55-64	Divorced	M	1973
Blacktown (C)	55-64	Married	F	10851
Blacktown (C)	55-64	Married	M	11709
Blacktown (C)	55-64	Separated	F	974
Blacktown (C)	55-64	Separated	M	797
Blacktown (C)	55-64	Widowed	F	1482
Blacktown (C)	55-64	Widowed	M	299
Blacktown (C)	65-74	Divorced	F	1690
Blacktown (C)	65-74	Divorced	M	1156
Blacktown (C)	65-74	Married	F	6154
Blacktown (C)	65-74	Married	M	7686
Blacktown (C)	65-74	Separated	F	481
Blacktown (C)	65-74	Separated	M	479
Blacktown (C)	65-74	Widowed	F	2438
Blacktown (C)	65-74	Widowed	M	575
Blacktown (C)	75-84	Divorced	F	531
Blacktown (C)	75-84	Divorced	M	347
Blacktown (C)	75-84	Married	F	1899
Blacktown (C)	75-84	Married	M	3010
Blacktown (C)	75-84	Separated	F	95
Blacktown (C)	75-84	Separated	M	160
Blacktown (C)	75-84	Widowed	F	2701
Blacktown (C)	75-84	Widowed	M	674
Blacktown (C)	85+	Divorced	F	136
Blacktown (C)	85+	Divorced	M	68
Blacktown (C)	85+	Married	F	311
Blacktown (C)	85+	Married	M	646
Blacktown (C)	85+	Separated	F	19
Blacktown (C)	85+	Separated	M	22
Blacktown (C)	85+	Widowed	F	1766
Blacktown (C)	85+	Widowed	M	453
Bland (A)	20-24	Married	F	14
Bland (A)	20-24	Married	M	7
Bland (A)	25-34	Divorced	F	8
Bland (A)	25-34	Divorced	M	3
Bland (A)	25-34	Married	F	146
Bland (A)	25-34	Married	M	107
Bland (A)	25-34	Separated	F	9
Bland (A)	25-34	Separated	M	8
Bland (A)	35-44	Divorced	F	23
Bland (A)	35-44	Divorced	M	15
Bland (A)	35-44	Married	F	231
Bland (A)	35-44	Married	M	219
Bland (A)	35-44	Separated	F	17
Bland (A)	35-44	Separated	M	16
Bland (A)	35-44	Widowed	F	3
Bland (A)	45-54	Divorced	F	35
Bland (A)	45-54	Divorced	M	43
Bland (A)	45-54	Married	F	263
Bland (A)	45-54	Married	M	221
Bland (A)	45-54	Separated	F	13
Bland (A)	45-54	Separated	M	16
Bland (A)	45-54	Widowed	F	6
Bland (A)	45-54	Widowed	M	7
Bland (A)	55-64	Divorced	F	56
Bland (A)	55-64	Divorced	M	58
Bland (A)	55-64	Married	F	289
Bland (A)	55-64	Married	M	299
Bland (A)	55-64	Separated	F	18
Bland (A)	55-64	Separated	M	24
Bland (A)	55-64	Widowed	F	25
Bland (A)	55-64	Widowed	M	6
Bland (A)	65-74	Divorced	F	23
Bland (A)	65-74	Divorced	M	32
Bland (A)	65-74	Married	F	194
Bland (A)	65-74	Married	M	243
Bland (A)	65-74	Separated	F	13
Bland (A)	65-74	Separated	M	14
Bland (A)	65-74	Widowed	F	61
Bland (A)	65-74	Widowed	M	19
Bland (A)	75-84	Divorced	F	5
Bland (A)	75-84	Divorced	M	13
Bland (A)	75-84	Married	F	122
Bland (A)	75-84	Married	M	133
Bland (A)	75-84	Separated	F	3
Bland (A)	75-84	Separated	M	3
Bland (A)	75-84	Widowed	F	110
Bland (A)	75-84	Widowed	M	42
Bland (A)	85+	Divorced	F	4
Bland (A)	85+	Married	F	23
Bland (A)	85+	Married	M	45
Bland (A)	85+	Widowed	F	102
Bland (A)	85+	Widowed	M	26
Blayney (A)	20-24	Married	F	15
Blayney (A)	20-24	Married	M	3
Blayney (A)	25-34	Divorced	F	9
Blayney (A)	25-34	Divorced	M	9
Blayney (A)	25-34	Married	F	171
Blayney (A)	25-34	Married	M	130
Blayney (A)	25-34	Separated	F	11
Blayney (A)	25-34	Separated	M	8
Blayney (A)	35-44	Divorced	F	39
Blayney (A)	35-44	Divorced	M	30
Blayney (A)	35-44	Married	F	297
Blayney (A)	35-44	Married	M	247
Blayney (A)	35-44	Separated	F	28
Blayney (A)	35-44	Separated	M	13
Blayney (A)	35-44	Widowed	F	4
Blayney (A)	35-44	Widowed	M	3
Blayney (A)	45-54	Divorced	F	72
Blayney (A)	45-54	Divorced	M	68
Blayney (A)	45-54	Married	F	315
Blayney (A)	45-54	Married	M	302
Blayney (A)	45-54	Separated	F	36
Blayney (A)	45-54	Separated	M	31
Blayney (A)	45-54	Widowed	F	8
Blayney (A)	45-54	Widowed	M	10
Blayney (A)	55-64	Divorced	F	82
Blayney (A)	55-64	Divorced	M	85
Blayney (A)	55-64	Married	F	318
Blayney (A)	55-64	Married	M	323
Blayney (A)	55-64	Separated	F	25
Blayney (A)	55-64	Separated	M	26
Blayney (A)	55-64	Widowed	F	22
Blayney (A)	55-64	Widowed	M	14
Blayney (A)	65-74	Divorced	F	51
Blayney (A)	65-74	Divorced	M	68
Blayney (A)	65-74	Married	F	230
Blayney (A)	65-74	Married	M	261
Blayney (A)	65-74	Separated	F	10
Blayney (A)	65-74	Separated	M	17
Blayney (A)	65-74	Widowed	F	60
Blayney (A)	65-74	Widowed	M	19
Blayney (A)	75-84	Divorced	F	17
Blayney (A)	75-84	Divorced	M	23
Blayney (A)	75-84	Married	F	103
Blayney (A)	75-84	Married	M	133
Blayney (A)	75-84	Separated	M	6
Blayney (A)	75-84	Widowed	F	96
Blayney (A)	75-84	Widowed	M	40
Blayney (A)	85+	Divorced	F	7
Blayney (A)	85+	Divorced	M	3
Blayney (A)	85+	Married	F	18
Blayney (A)	85+	Married	M	38
Blayney (A)	85+	Widowed	F	71
Blayney (A)	85+	Widowed	M	21
Blue Mountains (C)	15-19	Married	F	7
Blue Mountains (C)	15-19	Married	M	4
Blue Mountains (C)	20-24	Divorced	F	4
Blue Mountains (C)	20-24	Married	F	92
Blue Mountains (C)	20-24	Married	M	49
Blue Mountains (C)	20-24	Separated	F	3
Blue Mountains (C)	20-24	Widowed	F	3
Blue Mountains (C)	25-34	Divorced	F	87
Blue Mountains (C)	25-34	Divorced	M	65
Blue Mountains (C)	25-34	Married	F	1623
Blue Mountains (C)	25-34	Married	M	1245
Blue Mountains (C)	25-34	Separated	F	73
Blue Mountains (C)	25-34	Separated	M	33
Blue Mountains (C)	25-34	Widowed	F	5
Blue Mountains (C)	25-34	Widowed	M	5
Blue Mountains (C)	35-44	Divorced	F	438
Blue Mountains (C)	35-44	Divorced	M	279
Blue Mountains (C)	35-44	Married	F	3063
Blue Mountains (C)	35-44	Married	M	2738
Blue Mountains (C)	35-44	Separated	F	225
Blue Mountains (C)	35-44	Separated	M	156
Blue Mountains (C)	35-44	Widowed	F	21
Blue Mountains (C)	35-44	Widowed	M	9
Blue Mountains (C)	45-54	Divorced	F	867
Blue Mountains (C)	45-54	Divorced	M	549
Blue Mountains (C)	45-54	Married	F	3410
Blue Mountains (C)	45-54	Married	M	3225
Blue Mountains (C)	45-54	Separated	F	302
Blue Mountains (C)	45-54	Separated	M	224
Blue Mountains (C)	45-54	Widowed	F	86
Blue Mountains (C)	45-54	Widowed	M	34
