LGA_NAME16	Ancestry	responses
Botany Bay (C)	Italian	1809
Botany Bay (C)	Korean	257
Botany Bay (C)	Lebanese	505
Botany Bay (C)	Macedonian	141
Botany Bay (C)	Maltese	668
Botany Bay (C)	Maori	348
Botany Bay (C)	NZ	433
Botany Bay (C)	(Other)	10749
Botany Bay (C)	Polish	345
Botany Bay (C)	Russian	454
Botany Bay (C)	Scottish	2105
Botany Bay (C)	Serbian	290
Botany Bay (C)	South African	231
Botany Bay (C)	Spanish	745
Botany Bay (C)	Sri Lankan	100
Botany Bay (C)	Turkish	819
Botany Bay (C)	Vietnamese	350
Botany Bay (C)	Welsh	177
Bourke (A)		521
Bourke (A)	Australian	1286
Bourke (A)	Australian Aboriginal	152
Bourke (A)	Chinese	13
Bourke (A)	Dutch	15
Bourke (A)	English	722
Bourke (A)	Filipino	4
Bourke (A)	French	3
Bourke (A)	German	58
Bourke (A)	Greek	5
Bourke (A)	Indian	3
Bourke (A)	Irish	233
Bourke (A)	Italian	11
Bourke (A)	Lebanese	5
Bourke (A)	Maltese	9
Bourke (A)	NZ	3
Bourke (A)	(Other)	79
Bourke (A)	Polish	3
Bourke (A)	Scottish	138
Bourke (A)	Welsh	8
Brewarrina (A)		172
Brewarrina (A)	Australian	591
Brewarrina (A)	Australian Aboriginal	536
Brewarrina (A)	Chinese	7
Brewarrina (A)	Dutch	3
Brewarrina (A)	English	351
Brewarrina (A)	German	46
Brewarrina (A)	Indian	6
Brewarrina (A)	Irish	135
Brewarrina (A)	Maltese	6
Brewarrina (A)	NZ	3
Brewarrina (A)	(Other)	38
Brewarrina (A)	Scottish	90
Broken Hill (C)		1638
Broken Hill (C)	Australian	8424
Broken Hill (C)	Australian Aboriginal	168
Broken Hill (C)	Chinese	47
Broken Hill (C)	Croatian	65
Broken Hill (C)	Dutch	81
Broken Hill (C)	English	6782
Broken Hill (C)	Filipino	149
Broken Hill (C)	French	58
Broken Hill (C)	German	849
Broken Hill (C)	Greek	74
Broken Hill (C)	Hungarian	7
Broken Hill (C)	Indian	77
Broken Hill (C)	Irish	1667
Broken Hill (C)	Italian	557
Broken Hill (C)	Korean	5
Broken Hill (C)	Lebanese	29
Broken Hill (C)	Macedonian	3
Broken Hill (C)	Maltese	236
Broken Hill (C)	Maori	27
Broken Hill (C)	NZ	40
Broken Hill (C)	(Other)	444
Broken Hill (C)	Polish	49
Broken Hill (C)	Russian	14
Broken Hill (C)	Scottish	1476
Broken Hill (C)	Serbian	12
Broken Hill (C)	South African	17
Broken Hill (C)	Spanish	27
Broken Hill (C)	Sri Lankan	17
Broken Hill (C)	Turkish	3
Broken Hill (C)	Vietnamese	9
Broken Hill (C)	Welsh	67
Burwood (A)		1990
Burwood (A)	Australian	3781
Burwood (A)	Australian Aboriginal	49
Burwood (A)	Chinese	12117
Burwood (A)	Croatian	380
Burwood (A)	Dutch	105
Burwood (A)	English	3954
Burwood (A)	Filipino	560
Burwood (A)	French	146
Burwood (A)	German	420
Burwood (A)	Greek	1278
Burwood (A)	Hungarian	100
Burwood (A)	Indian	1834
Burwood (A)	Irish	1888
Burwood (A)	Italian	2929
Burwood (A)	Korean	1558
Burwood (A)	Lebanese	1630
Burwood (A)	Macedonian	69
Burwood (A)	Maltese	167
Burwood (A)	Maori	60
Burwood (A)	NZ	140
Burwood (A)	(Other)	4965
Burwood (A)	Polish	251
Burwood (A)	Russian	217
Burwood (A)	Scottish	1015
Burwood (A)	Serbian	92
Burwood (A)	South African	32
Burwood (A)	Spanish	241
Burwood (A)	Sri Lankan	176
Burwood (A)	Turkish	108
Burwood (A)	Vietnamese	747
Burwood (A)	Welsh	52
Byron (A)		3985
Byron (A)	Australian	10712
Byron (A)	Australian Aboriginal	90
Byron (A)	Chinese	196
Byron (A)	Croatian	66
Byron (A)	Dutch	578
Byron (A)	English	12373
Byron (A)	Filipino	101
Byron (A)	French	429
Byron (A)	German	1701
Byron (A)	Greek	213
Byron (A)	Hungarian	106
Byron (A)	Indian	152
Byron (A)	Irish	4663
Byron (A)	Italian	895
Byron (A)	Korean	29
Byron (A)	Lebanese	68
Byron (A)	Macedonian	18
Byron (A)	Maltese	89
Byron (A)	Maori	98
Byron (A)	NZ	317
Byron (A)	(Other)	2640
Byron (A)	Polish	278
Byron (A)	Russian	156
Byron (A)	Scottish	3527
Byron (A)	Serbian	18
Byron (A)	South African	146
Byron (A)	Spanish	200
Byron (A)	Sri Lankan	40
Byron (A)	Turkish	30
Byron (A)	Vietnamese	34
Byron (A)	Welsh	268
Cabonne (A)		985
Cabonne (A)	Australian	6418
Cabonne (A)	Australian Aboriginal	35
Cabonne (A)	Chinese	44
Cabonne (A)	Croatian	21
Cabonne (A)	Dutch	152
Cabonne (A)	English	5674
Cabonne (A)	Filipino	44
Cabonne (A)	French	58
Cabonne (A)	German	455
Cabonne (A)	Greek	11
Cabonne (A)	Hungarian	14
Cabonne (A)	Indian	23
Cabonne (A)	Irish	1697
Cabonne (A)	Italian	209
Cabonne (A)	Korean	3
Cabonne (A)	Lebanese	16
Cabonne (A)	Maltese	61
Cabonne (A)	Maori	52
Cabonne (A)	NZ	83
Cabonne (A)	(Other)	298
Cabonne (A)	Polish	54
Cabonne (A)	Russian	27
Cabonne (A)	Scottish	1362
Cabonne (A)	Serbian	4
Cabonne (A)	South African	38
Cabonne (A)	Spanish	14
Cabonne (A)	Sri Lankan	3
Cabonne (A)	Vietnamese	4
Cabonne (A)	Welsh	66
Camden (A)		3973
Camden (A)	Australian	29094
Camden (A)	Australian Aboriginal	253
Camden (A)	Chinese	1606
Camden (A)	Croatian	921
Camden (A)	Dutch	905
Camden (A)	English	27110
Camden (A)	Filipino	902
Camden (A)	French	413
Camden (A)	German	2564
Camden (A)	Greek	1018
Camden (A)	Hungarian	309
Camden (A)	Indian	1620
Camden (A)	Irish	7948
Camden (A)	Italian	5374
Camden (A)	Korean	75
Camden (A)	Lebanese	1094
Camden (A)	Macedonian	318
Camden (A)	Maltese	2169
Camden (A)	Maori	337
Camden (A)	NZ	643
Camden (A)	(Other)	8591
Camden (A)	Polish	760
Camden (A)	Russian	272
Camden (A)	Scottish	6434
Camden (A)	Serbian	605
Camden (A)	South African	389
Camden (A)	Spanish	590
Camden (A)	Sri Lankan	160
Camden (A)	Turkish	186
Camden (A)	Vietnamese	347
Camden (A)	Welsh	415
Campbelltown (C) (NSW)		10087
Campbelltown (C) (NSW)	Australian	44739
Campbelltown (C) (NSW)	Australian Aboriginal	972
Campbelltown (C) (NSW)	Chinese	4891
Campbelltown (C) (NSW)	Croatian	1093
Campbelltown (C) (NSW)	Dutch	1268
Campbelltown (C) (NSW)	English	42004
Campbelltown (C) (NSW)	Filipino	5692
Campbelltown (C) (NSW)	French	825
Campbelltown (C) (NSW)	German	4397
Campbelltown (C) (NSW)	Greek	1716
Campbelltown (C) (NSW)	Hungarian	519
Campbelltown (C) (NSW)	Indian	8588
Campbelltown (C) (NSW)	Irish	12077
Campbelltown (C) (NSW)	Italian	4241
Campbelltown (C) (NSW)	Korean	254
Campbelltown (C) (NSW)	Lebanese	3454
Campbelltown (C) (NSW)	Macedonian	526
Campbelltown (C) (NSW)	Maltese	1662
Campbelltown (C) (NSW)	Maori	1724
Campbelltown (C) (NSW)	NZ	1380
Campbelltown (C) (NSW)	(Other)	34877
Campbelltown (C) (NSW)	Polish	1346
Campbelltown (C) (NSW)	Russian	571
Campbelltown (C) (NSW)	Scottish	9792
Campbelltown (C) (NSW)	Serbian	612
Campbelltown (C) (NSW)	South African	956
Campbelltown (C) (NSW)	Spanish	1810
Campbelltown (C) (NSW)	Sri Lankan	565
Campbelltown (C) (NSW)	Turkish	371
Campbelltown (C) (NSW)	Vietnamese	1412
Campbelltown (C) (NSW)	Welsh	640
Canada Bay (A)		5240
Canada Bay (A)	Australian	15446
Canada Bay (A)	Australian Aboriginal	89
Canada Bay (A)	Chinese	14911
Canada Bay (A)	Croatian	752
Canada Bay (A)	Dutch	542
Canada Bay (A)	English	17340
Canada Bay (A)	Filipino	1007
Canada Bay (A)	French	495
Canada Bay (A)	German	1765
Canada Bay (A)	Greek	3277
Canada Bay (A)	Hungarian	328
Canada Bay (A)	Indian	3087
Canada Bay (A)	Irish	7988
Canada Bay (A)	Italian	13028
Canada Bay (A)	Korean	3771
Canada Bay (A)	Lebanese	1875
Canada Bay (A)	Macedonian	216
Canada Bay (A)	Maltese	743
Canada Bay (A)	Maori	209
Canada Bay (A)	NZ	585
Canada Bay (A)	(Other)	9436
Canada Bay (A)	Polish	669
Canada Bay (A)	Russian	479
Canada Bay (A)	Scottish	4915
Canada Bay (A)	Serbian	363
Canada Bay (A)	South African	341
Canada Bay (A)	Spanish	822
Canada Bay (A)	Sri Lankan	440
Canada Bay (A)	Turkish	477
Canada Bay (A)	Vietnamese	863
Canada Bay (A)	Welsh	402
Canterbury-Bankstown (A)		22568
Canterbury-Bankstown (A)	Australian	49187
Canterbury-Bankstown (A)	Australian Aboriginal	571
Canterbury-Bankstown (A)	Chinese	39284
Canterbury-Bankstown (A)	Croatian	1710
Canterbury-Bankstown (A)	Dutch	965
Canterbury-Bankstown (A)	English	42442
Canterbury-Bankstown (A)	Filipino	5482
Canterbury-Bankstown (A)	French	1074
Canterbury-Bankstown (A)	German	4136
Canterbury-Bankstown (A)	Greek	22740
Canterbury-Bankstown (A)	Hungarian	791
Canterbury-Bankstown (A)	Indian	8623
Canterbury-Bankstown (A)	Irish	13873
Canterbury-Bankstown (A)	Italian	14167
Canterbury-Bankstown (A)	Korean	4338
Canterbury-Bankstown (A)	Lebanese	52357
Canterbury-Bankstown (A)	Macedonian	4410
Canterbury-Bankstown (A)	Maltese	1928
Canterbury-Bankstown (A)	Maori	1735
Canterbury-Bankstown (A)	NZ	1386
Canterbury-Bankstown (A)	(Other)	76645
Canterbury-Bankstown (A)	Polish	1729
Canterbury-Bankstown (A)	Russian	807
Canterbury-Bankstown (A)	Scottish	9271
Canterbury-Bankstown (A)	Serbian	865
Canterbury-Bankstown (A)	South African	519
Canterbury-Bankstown (A)	Spanish	2096
Canterbury-Bankstown (A)	Sri Lankan	647
Canterbury-Bankstown (A)	Turkish	1886
Canterbury-Bankstown (A)	Vietnamese	25195
Canterbury-Bankstown (A)	Welsh	621
Carrathool (A)		252
Carrathool (A)	Australian	1239
Carrathool (A)	Australian Aboriginal	24
Carrathool (A)	Chinese	26
Carrathool (A)	Croatian	3
Carrathool (A)	Dutch	23
Carrathool (A)	English	994
Carrathool (A)	Filipino	11
Carrathool (A)	French	7
Carrathool (A)	German	86
Carrathool (A)	Greek	3
Carrathool (A)	Indian	31
Carrathool (A)	Irish	324
Carrathool (A)	Italian	58
Carrathool (A)	Korean	22
Carrathool (A)	Lebanese	10
Carrathool (A)	Maltese	7
Carrathool (A)	Maori	11
Carrathool (A)	NZ	13
Carrathool (A)	(Other)	100
Carrathool (A)	Polish	5
Carrathool (A)	Russian	3
Carrathool (A)	Scottish	305
Carrathool (A)	South African	20
Carrathool (A)	Spanish	3
Carrathool (A)	Turkish	3
Carrathool (A)	Welsh	3
Central Coast (C) (NSW)		19680
Central Coast (C) (NSW)	Australian	137137
Central Coast (C) (NSW)	Australian Aboriginal	1433
Central Coast (C) (NSW)	Chinese	4166
Central Coast (C) (NSW)	Croatian	1039
Central Coast (C) (NSW)	Dutch	4491
Central Coast (C) (NSW)	English	142375
Central Coast (C) (NSW)	Filipino	2460
Central Coast (C) (NSW)	French	2011
Central Coast (C) (NSW)	German	11162
Central Coast (C) (NSW)	Greek	2357
Central Coast (C) (NSW)	Hungarian	854
Central Coast (C) (NSW)	Indian	2257
Central Coast (C) (NSW)	Irish	42252
Central Coast (C) (NSW)	Italian	8240
Central Coast (C) (NSW)	Korean	762
Central Coast (C) (NSW)	Lebanese	911
Central Coast (C) (NSW)	Macedonian	151
Central Coast (C) (NSW)	Maltese	3279
Central Coast (C) (NSW)	Maori	1896
Central Coast (C) (NSW)	NZ	3270
Central Coast (C) (NSW)	(Other)	18158
Central Coast (C) (NSW)	Polish	1764
Central Coast (C) (NSW)	Russian	1100
Central Coast (C) (NSW)	Scottish	33906
Central Coast (C) (NSW)	Serbian	397
Central Coast (C) (NSW)	South African	1441
Central Coast (C) (NSW)	Spanish	1628
Central Coast (C) (NSW)	Sri Lankan	318
Central Coast (C) (NSW)	Turkish	263
Central Coast (C) (NSW)	Vietnamese	410
Central Coast (C) (NSW)	Welsh	2495
Central Darling (A)		320
Central Darling (A)	Australian	609
Central Darling (A)	Australian Aboriginal	453
Central Darling (A)	Chinese	5
Central Darling (A)	Dutch	3
Central Darling (A)	English	430
Central Darling (A)	Filipino	3
Central Darling (A)	German	46
Central Darling (A)	Greek	3
Central Darling (A)	Indian	4
Central Darling (A)	Irish	104
Central Darling (A)	Italian	15
Central Darling (A)	Maltese	10
Central Darling (A)	NZ	7
Central Darling (A)	(Other)	60
Central Darling (A)	Polish	3
Central Darling (A)	Scottish	118
Central Darling (A)	Welsh	6
Cessnock (C)		5062
Cessnock (C)	Australian	26224
Cessnock (C)	Australian Aboriginal	310
Cessnock (C)	Chinese	222
Cessnock (C)	Croatian	60
Cessnock (C)	Dutch	457
Cessnock (C)	English	23795
Cessnock (C)	Filipino	274
Cessnock (C)	French	173
Cessnock (C)	German	2212
Cessnock (C)	Greek	151
Cessnock (C)	Hungarian	80
Cessnock (C)	Indian	154
Cessnock (C)	Irish	5387
Cessnock (C)	Italian	661
Cessnock (C)	Korean	19
Cessnock (C)	Lebanese	65
Cessnock (C)	Macedonian	31
Cessnock (C)	Maltese	161
Cessnock (C)	Maori	202
Cessnock (C)	NZ	343
Cessnock (C)	(Other)	1534
Cessnock (C)	Polish	365
Cessnock (C)	Russian	72
Cessnock (C)	Scottish	6287
Cessnock (C)	Serbian	15
Cessnock (C)	South African	113
Cessnock (C)	Spanish	132
Cessnock (C)	Sri Lankan	9
Cessnock (C)	Turkish	13
Cessnock (C)	Vietnamese	20
Cessnock (C)	Welsh	451
Clarence Valley (A)		4184
Clarence Valley (A)	Australian	22776
Clarence Valley (A)	Australian Aboriginal	557
Clarence Valley (A)	Chinese	264
Clarence Valley (A)	Croatian	32
Clarence Valley (A)	Dutch	613
Clarence Valley (A)	English	21499
Clarence Valley (A)	Filipino	198
Clarence Valley (A)	French	215
Clarence Valley (A)	German	2300
Clarence Valley (A)	Greek	123
Clarence Valley (A)	Hungarian	50
Clarence Valley (A)	Indian	167
Clarence Valley (A)	Irish	6247
Clarence Valley (A)	Italian	633
Clarence Valley (A)	Korean	14
Clarence Valley (A)	Lebanese	21
Clarence Valley (A)	Macedonian	8
Clarence Valley (A)	Maltese	138
Clarence Valley (A)	Maori	110
Clarence Valley (A)	NZ	263
Clarence Valley (A)	(Other)	1527
Clarence Valley (A)	Polish	145
Clarence Valley (A)	Russian	61
Clarence Valley (A)	Scottish	5861
Clarence Valley (A)	Serbian	11
