LGA_NAME16	CountryOfBirth	persons
Bellingen (A)	VNM	3
Bellingen (A)	ZAF	44
Bellingen (A)	ZWE	7
Berrigan (A)		1006
Berrigan (A)	AUS	6866
Berrigan (A)	CAN	11
Berrigan (A)	CHN	10
Berrigan (A)	DEU	39
Berrigan (A)	EGY	6
Berrigan (A)	GBR	218
Berrigan (A)	IND	22
Berrigan (A)	IRL	7
Berrigan (A)	IRQ	6
Berrigan (A)	ITA	9
Berrigan (A)	KOR	3
Berrigan (A)	LKA	15
Berrigan (A)	MLT	3
Berrigan (A)	MYS	21
Berrigan (A)	NLD	42
Berrigan (A)	NPL	3
Berrigan (A)	NZL	93
Berrigan (A)	PHL	44
Berrigan (A)	POL	3
Berrigan (A)	THA	3
Berrigan (A)	USA	10
Berrigan (A)	ZAF	17
Berrigan (A)	ZWE	4
Blacktown (C)		34663
Blacktown (C)	AFG	2342
Blacktown (C)	AUS	182150
Blacktown (C)	BGD	2427
Blacktown (C)	BIH	506
Blacktown (C)	CAN	294
Blacktown (C)	CHL	668
Blacktown (C)	CHN	4658
Blacktown (C)	DEU	952
Blacktown (C)	EGY	1955
Blacktown (C)	FJI	7080
Blacktown (C)	FRA	167
Blacktown (C)	GBR	6516
Blacktown (C)	GRC	692
Blacktown (C)	HKG	944
Blacktown (C)	HRV	1025
Blacktown (C)	IDN	1483
Blacktown (C)	IND	25761
Blacktown (C)	IRL	613
Blacktown (C)	IRN	1550
Blacktown (C)	IRQ	1684
Blacktown (C)	ITA	1291
Blacktown (C)	JPN	145
Blacktown (C)	KHM	141
Blacktown (C)	KOR	1478
Blacktown (C)	LBN	1845
Blacktown (C)	LKA	4895
Blacktown (C)	MKD	192
Blacktown (C)	MLT	2269
Blacktown (C)	MMR	820
Blacktown (C)	MUS	679
Blacktown (C)	MYS	1341
Blacktown (C)	NLD	492
Blacktown (C)	NPL	1388
Blacktown (C)	NZL	8040
Blacktown (C)	PAK	4111
Blacktown (C)	PHL	21917
Blacktown (C)	PNG	143
Blacktown (C)	POL	932
Blacktown (C)	SGP	541
Blacktown (C)	THA	621
Blacktown (C)	TUR	1335
Blacktown (C)	TWN	287
Blacktown (C)	USA	816
Blacktown (C)	VNM	990
Blacktown (C)	ZAF	1787
Blacktown (C)	ZWE	324
Bland (A)		798
Bland (A)	AUS	4890
Bland (A)	CAN	10
Bland (A)	CHN	10
Bland (A)	DEU	6
Bland (A)	GBR	76
Bland (A)	HKG	3
Bland (A)	IDN	3
Bland (A)	IND	13
Bland (A)	IRL	4
Bland (A)	ITA	3
Bland (A)	LKA	7
Bland (A)	MLT	3
Bland (A)	NLD	8
Bland (A)	NZL	32
Bland (A)	PHL	20
Bland (A)	PNG	25
Bland (A)	THA	3
Bland (A)	TWN	3
Bland (A)	USA	5
Bland (A)	VNM	4
Bland (A)	ZAF	20
Bland (A)	ZWE	3
Blayney (A)		644
Blayney (A)	AUS	6206
Blayney (A)	CAN	3
Blayney (A)	CHN	11
Blayney (A)	DEU	23
Blayney (A)	FRA	4
Blayney (A)	GBR	188
Blayney (A)	IDN	7
Blayney (A)	IND	3
Blayney (A)	IRL	7
Blayney (A)	LBN	3
Blayney (A)	LKA	4
Blayney (A)	MLT	4
Blayney (A)	NLD	19
Blayney (A)	NZL	75
Blayney (A)	PHL	13
Blayney (A)	POL	8
Blayney (A)	THA	4
Blayney (A)	USA	5
Blayney (A)	VNM	4
Blayney (A)	ZAF	10
Blue Mountains (C)		5388
Blue Mountains (C)	AFG	7
Blue Mountains (C)	AUS	60029
Blue Mountains (C)	BGD	6
Blue Mountains (C)	BIH	17
Blue Mountains (C)	CAN	197
Blue Mountains (C)	CHL	101
Blue Mountains (C)	CHN	214
Blue Mountains (C)	DEU	557
Blue Mountains (C)	EGY	52
Blue Mountains (C)	FJI	81
Blue Mountains (C)	FRA	102
Blue Mountains (C)	GBR	5180
Blue Mountains (C)	GRC	69
Blue Mountains (C)	HKG	97
Blue Mountains (C)	HRV	74
Blue Mountains (C)	IDN	129
Blue Mountains (C)	IND	261
Blue Mountains (C)	IRL	283
Blue Mountains (C)	IRN	32
Blue Mountains (C)	IRQ	21
Blue Mountains (C)	ITA	174
Blue Mountains (C)	JPN	106
Blue Mountains (C)	KHM	37
Blue Mountains (C)	KOR	93
Blue Mountains (C)	LBN	51
Blue Mountains (C)	LKA	59
Blue Mountains (C)	MKD	6
Blue Mountains (C)	MLT	87
Blue Mountains (C)	MMR	18
Blue Mountains (C)	MUS	47
Blue Mountains (C)	MYS	158
Blue Mountains (C)	NLD	359
Blue Mountains (C)	NPL	16
Blue Mountains (C)	NZL	1121
Blue Mountains (C)	PAK	26
Blue Mountains (C)	PHL	258
Blue Mountains (C)	PNG	74
Blue Mountains (C)	POL	179
Blue Mountains (C)	SGP	67
Blue Mountains (C)	THA	126
Blue Mountains (C)	TUR	16
Blue Mountains (C)	TWN	28
Blue Mountains (C)	USA	445
Blue Mountains (C)	VNM	129
Blue Mountains (C)	ZAF	288
Blue Mountains (C)	ZWE	33
Bogan (A)		343
Bogan (A)	AUS	2233
Bogan (A)	CHN	3
Bogan (A)	DEU	4
Bogan (A)	FJI	7
Bogan (A)	GBR	23
Bogan (A)	HKG	3
Bogan (A)	IND	14
Bogan (A)	IRL	3
Bogan (A)	NZL	18
Bogan (A)	PAK	7
Bogan (A)	PHL	7
Bogan (A)	PNG	5
Bogan (A)	USA	3
Bogan (A)	VNM	3
Bogan (A)	ZAF	3
Bogan (A)	ZWE	4
Botany Bay (C)		6552
Botany Bay (C)	AFG	25
Botany Bay (C)	AUS	22686
Botany Bay (C)	BGD	1182
Botany Bay (C)	BIH	63
Botany Bay (C)	CAN	66
Botany Bay (C)	CHL	319
Botany Bay (C)	CHN	2689
Botany Bay (C)	DEU	124
Botany Bay (C)	EGY	370
Botany Bay (C)	FJI	259
Botany Bay (C)	FRA	95
Botany Bay (C)	GBR	1313
Botany Bay (C)	GRC	761
Botany Bay (C)	HKG	382
Botany Bay (C)	HRV	168
Botany Bay (C)	IDN	1841
Botany Bay (C)	IND	766
Botany Bay (C)	IRL	463
Botany Bay (C)	IRN	137
Botany Bay (C)	IRQ	409
Botany Bay (C)	ITA	352
Botany Bay (C)	JPN	147
Botany Bay (C)	KHM	59
Botany Bay (C)	KOR	200
Botany Bay (C)	LBN	174
Botany Bay (C)	LKA	114
Botany Bay (C)	MKD	62
Botany Bay (C)	MLT	191
Botany Bay (C)	MMR	31
Botany Bay (C)	MUS	54
Botany Bay (C)	MYS	454
Botany Bay (C)	NLD	54
Botany Bay (C)	NPL	72
Botany Bay (C)	NZL	878
Botany Bay (C)	PAK	150
Botany Bay (C)	PHL	1080
Botany Bay (C)	PNG	28
Botany Bay (C)	POL	143
Botany Bay (C)	SGP	133
Botany Bay (C)	THA	440
Botany Bay (C)	TUR	365
Botany Bay (C)	TWN	140
Botany Bay (C)	USA	114
Botany Bay (C)	VNM	271
Botany Bay (C)	ZAF	249
Botany Bay (C)	ZWE	27
Bourke (A)		576
Bourke (A)	AUS	1969
Bourke (A)	DEU	3
Bourke (A)	GBR	18
Bourke (A)	IND	4
Bourke (A)	IRL	3
Bourke (A)	NLD	3
Bourke (A)	NPL	13
Bourke (A)	NZL	12
Bourke (A)	PAK	4
Bourke (A)	PHL	3
Bourke (A)	PNG	5
Bourke (A)	USA	4
Bourke (A)	ZAF	3
Brewarrina (A)		175
Brewarrina (A)	AUS	1448
Brewarrina (A)	GBR	8
Brewarrina (A)	IND	9
Brewarrina (A)	NZL	3
Broken Hill (C)		1613
Broken Hill (C)	AUS	15364
Broken Hill (C)	BGD	3
Broken Hill (C)	BIH	3
Broken Hill (C)	CAN	7
Broken Hill (C)	CHN	9
Broken Hill (C)	DEU	33
Broken Hill (C)	FJI	6
Broken Hill (C)	FRA	7
Broken Hill (C)	GBR	193
Broken Hill (C)	GRC	13
Broken Hill (C)	HKG	3
Broken Hill (C)	HRV	7
Broken Hill (C)	IND	50
Broken Hill (C)	IRL	12
Broken Hill (C)	ITA	30
Broken Hill (C)	JPN	7
Broken Hill (C)	KOR	3
Broken Hill (C)	LKA	8
Broken Hill (C)	MLT	19
Broken Hill (C)	MMR	7
Broken Hill (C)	MYS	3
Broken Hill (C)	NLD	19
Broken Hill (C)	NPL	3
Broken Hill (C)	NZL	72
Broken Hill (C)	PAK	3
Broken Hill (C)	PHL	124
Broken Hill (C)	THA	7
Broken Hill (C)	USA	21
Broken Hill (C)	VNM	3
Broken Hill (C)	ZAF	21
Burwood (A)		3130
Burwood (A)	AFG	3
Burwood (A)	AUS	13758
Burwood (A)	BGD	93
Burwood (A)	BIH	28
Burwood (A)	CAN	32
Burwood (A)	CHL	55
Burwood (A)	CHN	7576
Burwood (A)	DEU	84
Burwood (A)	EGY	96
Burwood (A)	FJI	135
Burwood (A)	FRA	47
Burwood (A)	GBR	450
Burwood (A)	GRC	385
Burwood (A)	HKG	757
Burwood (A)	HRV	172
Burwood (A)	IDN	277
Burwood (A)	IND	1566
Burwood (A)	IRL	168
Burwood (A)	IRN	54
Burwood (A)	IRQ	27
Burwood (A)	ITA	1023
Burwood (A)	JPN	102
Burwood (A)	KHM	58
Burwood (A)	KOR	1238
Burwood (A)	LBN	589
Burwood (A)	LKA	210
Burwood (A)	MKD	15
Burwood (A)	MLT	43
Burwood (A)	MMR	118
Burwood (A)	MUS	31
Burwood (A)	MYS	312
Burwood (A)	NLD	15
Burwood (A)	NPL	1296
Burwood (A)	NZL	358
Burwood (A)	PAK	87
Burwood (A)	PHL	438
Burwood (A)	PNG	55
Burwood (A)	POL	113
Burwood (A)	SGP	115
Burwood (A)	THA	252
Burwood (A)	TUR	84
Burwood (A)	TWN	403
Burwood (A)	USA	88
Burwood (A)	VNM	799
Burwood (A)	ZAF	59
Burwood (A)	ZWE	7
Byron (A)		5176
Byron (A)	AUS	21560
Byron (A)	CAN	160
Byron (A)	CHL	38
Byron (A)	CHN	20
Byron (A)	DEU	341
Byron (A)	EGY	17
Byron (A)	FJI	19
Byron (A)	FRA	131
Byron (A)	GBR	1779
Byron (A)	GRC	28
Byron (A)	HKG	20
Byron (A)	HRV	9
Byron (A)	IDN	27
Byron (A)	IND	67
Byron (A)	IRL	76
Byron (A)	IRN	4
Byron (A)	ITA	135
Byron (A)	JPN	142
Byron (A)	KHM	3
Byron (A)	KOR	15
Byron (A)	LBN	5
Byron (A)	LKA	20
Byron (A)	MKD	9
Byron (A)	MLT	17
Byron (A)	MUS	11
Byron (A)	MYS	27
Byron (A)	NLD	150
Byron (A)	NPL	7
Byron (A)	NZL	752
Byron (A)	PAK	3
Byron (A)	PHL	57
Byron (A)	PNG	47
Byron (A)	POL	31
Byron (A)	SGP	15
Byron (A)	THA	65
Byron (A)	TUR	8
Byron (A)	TWN	14
Byron (A)	USA	332
Byron (A)	VNM	19
Byron (A)	ZAF	176
Byron (A)	ZWE	24
Cabonne (A)		1147
Cabonne (A)	AUS	11515
Cabonne (A)	BIH	3
Cabonne (A)	CAN	10
Cabonne (A)	CHN	8
Cabonne (A)	DEU	36
Cabonne (A)	FRA	5
Cabonne (A)	GBR	296
Cabonne (A)	HKG	7
Cabonne (A)	HRV	10
Cabonne (A)	IDN	3
Cabonne (A)	IND	19
Cabonne (A)	IRL	13
Cabonne (A)	ITA	14
Cabonne (A)	JPN	3
Cabonne (A)	KOR	3
Cabonne (A)	LBN	3
Cabonne (A)	MLT	5
Cabonne (A)	MYS	6
Cabonne (A)	NLD	16
Cabonne (A)	NZL	116
Cabonne (A)	PAK	3
Cabonne (A)	PHL	36
Cabonne (A)	PNG	5
Cabonne (A)	POL	3
Cabonne (A)	THA	6
Cabonne (A)	USA	12
Cabonne (A)	ZAF	51
Cabonne (A)	ZWE	9
Camden (A)		5697
Camden (A)	AFG	93
Camden (A)	AUS	60543
Camden (A)	BGD	68
Camden (A)	BIH	98
Camden (A)	CAN	98
Camden (A)	CHL	249
Camden (A)	CHN	493
Camden (A)	DEU	257
Camden (A)	EGY	158
Camden (A)	FJI	541
Camden (A)	FRA	43
Camden (A)	GBR	3103
Camden (A)	GRC	91
Camden (A)	HKG	78
Camden (A)	HRV	192
Camden (A)	IDN	89
Camden (A)	IND	675
Camden (A)	IRL	260
Camden (A)	IRN	84
Camden (A)	IRQ	296
Camden (A)	ITA	523
Camden (A)	JPN	21
Camden (A)	KHM	81
Camden (A)	KOR	50
Camden (A)	LBN	267
Camden (A)	LKA	132
Camden (A)	MKD	76
Camden (A)	MLT	315
Camden (A)	MMR	13
Camden (A)	MUS	122
Camden (A)	MYS	119
Camden (A)	NLD	154
Camden (A)	NPL	44
Camden (A)	NZL	1069
Camden (A)	PAK	153
Camden (A)	PHL	543
Camden (A)	PNG	43
Camden (A)	POL	146
Camden (A)	SGP	63
Camden (A)	THA	140
Camden (A)	TUR	34
Camden (A)	TWN	51
Camden (A)	USA	179
Camden (A)	VNM	161
Camden (A)	ZAF	371
Camden (A)	ZWE	151
Campbelltown (C) (NSW)		18125
Campbelltown (C) (NSW)	AFG	266
Campbelltown (C) (NSW)	AUS	97314
Campbelltown (C) (NSW)	BGD	3354
Campbelltown (C) (NSW)	BIH	215
Campbelltown (C) (NSW)	CAN	132
Campbelltown (C) (NSW)	CHL	809
Campbelltown (C) (NSW)	CHN	1568
Campbelltown (C) (NSW)	DEU	483
Campbelltown (C) (NSW)	EGY	798
Campbelltown (C) (NSW)	FJI	2678
Campbelltown (C) (NSW)	FRA	81
Campbelltown (C) (NSW)	GBR	4972
Campbelltown (C) (NSW)	GRC	315
Campbelltown (C) (NSW)	HKG	269
Campbelltown (C) (NSW)	HRV	393
Campbelltown (C) (NSW)	IDN	597
Campbelltown (C) (NSW)	IND	4625
Campbelltown (C) (NSW)	IRL	328
Campbelltown (C) (NSW)	IRN	203
Campbelltown (C) (NSW)	IRQ	704
Campbelltown (C) (NSW)	ITA	481
Campbelltown (C) (NSW)	JPN	84
Campbelltown (C) (NSW)	KHM	407
Campbelltown (C) (NSW)	KOR	153
Campbelltown (C) (NSW)	LBN	1135
Campbelltown (C) (NSW)	LKA	638
Campbelltown (C) (NSW)	MKD	186
Campbelltown (C) (NSW)	MLT	271
Campbelltown (C) (NSW)	MMR	80
Campbelltown (C) (NSW)	MUS	474
Campbelltown (C) (NSW)	MYS	429
Campbelltown (C) (NSW)	NLD	252
Campbelltown (C) (NSW)	NPL	1096
Campbelltown (C) (NSW)	NZL	4247
Campbelltown (C) (NSW)	PAK	1099
Campbelltown (C) (NSW)	PHL	4111
Campbelltown (C) (NSW)	PNG	86
Campbelltown (C) (NSW)	POL	477
Campbelltown (C) (NSW)	SGP	123
Campbelltown (C) (NSW)	THA	555
Campbelltown (C) (NSW)	TUR	77
Campbelltown (C) (NSW)	TWN	84
Campbelltown (C) (NSW)	USA	303
Campbelltown (C) (NSW)	VNM	843
Campbelltown (C) (NSW)	ZAF	905
Campbelltown (C) (NSW)	ZWE	195
Canada Bay (A)		8556
Canada Bay (A)	AFG	14
Canada Bay (A)	AUS	46864
Canada Bay (A)	BGD	74
Canada Bay (A)	BIH	59
Canada Bay (A)	CAN	150
Canada Bay (A)	CHL	159
Canada Bay (A)	CHN	8647
Canada Bay (A)	DEU	272
Canada Bay (A)	EGY	367
Canada Bay (A)	FJI	188
Canada Bay (A)	FRA	137
Canada Bay (A)	GBR	2656
Canada Bay (A)	GRC	657
Canada Bay (A)	HKG	1194
Canada Bay (A)	HRV	162
Canada Bay (A)	IDN	388
Canada Bay (A)	IND	2113
Canada Bay (A)	IRL	530
Canada Bay (A)	IRN	327
Canada Bay (A)	IRQ	56
Canada Bay (A)	ITA	3668
Canada Bay (A)	JPN	216
Canada Bay (A)	KHM	62
Canada Bay (A)	KOR	3125
Canada Bay (A)	LBN	436
Canada Bay (A)	LKA	365
Canada Bay (A)	MKD	56
Canada Bay (A)	MLT	130
Canada Bay (A)	MMR	83
Canada Bay (A)	MUS	78
Canada Bay (A)	MYS	724
Canada Bay (A)	NLD	109
Canada Bay (A)	NPL	381
Canada Bay (A)	NZL	1251
Canada Bay (A)	PAK	156
Canada Bay (A)	PHL	712
Canada Bay (A)	PNG	65
Canada Bay (A)	POL	182
Canada Bay (A)	SGP	245
Canada Bay (A)	THA	358
Canada Bay (A)	TUR	249
Canada Bay (A)	TWN	276
Canada Bay (A)	USA	372
Canada Bay (A)	VNM	655
Canada Bay (A)	ZAF	430
Canada Bay (A)	ZWE	53
Canterbury-Bankstown (A)		40905
Canterbury-Bankstown (A)	AFG	469
Canterbury-Bankstown (A)	AUS	171649
Canterbury-Bankstown (A)	BGD	7081
Canterbury-Bankstown (A)	BIH	350
Canterbury-Bankstown (A)	CAN	204
Canterbury-Bankstown (A)	CHL	547
Canterbury-Bankstown (A)	CHN	18846
Canterbury-Bankstown (A)	DEU	748
Canterbury-Bankstown (A)	EGY	2847
Canterbury-Bankstown (A)	FJI	2241
Canterbury-Bankstown (A)	FRA	223
Canterbury-Bankstown (A)	GBR	3405
Canterbury-Bankstown (A)	GRC	7042
Canterbury-Bankstown (A)	HKG	2247
Canterbury-Bankstown (A)	HRV	616
Canterbury-Bankstown (A)	IDN	3628
Canterbury-Bankstown (A)	IND	5073
Canterbury-Bankstown (A)	IRL	552
Canterbury-Bankstown (A)	IRN	630
Canterbury-Bankstown (A)	IRQ	1862
Canterbury-Bankstown (A)	ITA	3785
Canterbury-Bankstown (A)	JPN	358
Canterbury-Bankstown (A)	KHM	502
Canterbury-Bankstown (A)	KOR	3211
Canterbury-Bankstown (A)	LBN	19818
Canterbury-Bankstown (A)	LKA	646
Canterbury-Bankstown (A)	MKD	1971
Canterbury-Bankstown (A)	MLT	539
Canterbury-Bankstown (A)	MMR	1443
Canterbury-Bankstown (A)	MUS	640
Canterbury-Bankstown (A)	MYS	1860
Canterbury-Bankstown (A)	NLD	200
Canterbury-Bankstown (A)	NPL	2902
Canterbury-Bankstown (A)	NZL	4455
Canterbury-Bankstown (A)	PAK	4853
Canterbury-Bankstown (A)	PHL	4114
Canterbury-Bankstown (A)	PNG	143
Canterbury-Bankstown (A)	POL	628
Canterbury-Bankstown (A)	SGP	423
Canterbury-Bankstown (A)	THA	1193
Canterbury-Bankstown (A)	TUR	697
Canterbury-Bankstown (A)	TWN	459
Canterbury-Bankstown (A)	USA	530
Canterbury-Bankstown (A)	VNM	19068
Canterbury-Bankstown (A)	ZAF	550
Canterbury-Bankstown (A)	ZWE	160
Carrathool (A)		309
Carrathool (A)	AUS	2180
Carrathool (A)	CHN	4
Carrathool (A)	DEU	4
Carrathool (A)	FJI	4
Carrathool (A)	FRA	5
Carrathool (A)	GBR	45
Carrathool (A)	HKG	7
Carrathool (A)	IDN	3
Carrathool (A)	IND	38
Carrathool (A)	IRL	7
Carrathool (A)	ITA	9
Carrathool (A)	JPN	3
Carrathool (A)	KOR	19
Carrathool (A)	MLT	4
Carrathool (A)	NLD	3
Carrathool (A)	NZL	29
Carrathool (A)	PHL	14
Carrathool (A)	TUR	3
Carrathool (A)	TWN	9
Carrathool (A)	USA	5
Carrathool (A)	ZAF	22
Carrathool (A)	ZWE	9
Central Coast (C) (NSW)		26048
Central Coast (C) (NSW)	AFG	24
Central Coast (C) (NSW)	AUS	258376
Central Coast (C) (NSW)	BGD	70
Central Coast (C) (NSW)	BIH	68
Central Coast (C) (NSW)	CAN	562
Central Coast (C) (NSW)	CHL	307
Central Coast (C) (NSW)	CHN	1498
Central Coast (C) (NSW)	DEU	1171
Central Coast (C) (NSW)	EGY	348
Central Coast (C) (NSW)	FJI	379
Central Coast (C) (NSW)	FRA	280
Central Coast (C) (NSW)	GBR	17842
