LGA_NAME16	IndigenousStatus	persons
Gilgandra (A)	Both Aboriginal & Torres Strait Islander	9
Gilgandra (A)	Non-indigenous	3641
Gilgandra (A)	Torres Strait Islander	4
Glen Innes Severn (A)	Aboriginal	502
Glen Innes Severn (A)	Both Aboriginal & Torres Strait Islander	21
Glen Innes Severn (A)	Non-indigenous	8306
Glen Innes Severn (A)	Torres Strait Islander	7
Goulburn Mulwaree (A)	Aboriginal	1132
Goulburn Mulwaree (A)	Both Aboriginal & Torres Strait Islander	26
Goulburn Mulwaree (A)	Non-indigenous	28419
Goulburn Mulwaree (A)	Torres Strait Islander	32
Greater Hume Shire (A)	Aboriginal	319
Greater Hume Shire (A)	Both Aboriginal & Torres Strait Islander	9
Greater Hume Shire (A)	Non-indigenous	10017
Greater Hume Shire (A)	Torres Strait Islander	6
Griffith (C)	Aboriginal	1194
Griffith (C)	Both Aboriginal & Torres Strait Islander	10
Griffith (C)	Non-indigenous	24414
Griffith (C)	Torres Strait Islander	23
Gundagai (A)	Aboriginal	493
Gundagai (A)	Both Aboriginal & Torres Strait Islander	5
Gundagai (A)	Non-indigenous	10628
Gundagai (A)	Torres Strait Islander	15
Gunnedah (A)	Aboriginal	1520
Gunnedah (A)	Both Aboriginal & Torres Strait Islander	22
Gunnedah (A)	Non-indigenous	10648
Gunnedah (A)	Torres Strait Islander	25
Gwydir (A)	Aboriginal	281
Gwydir (A)	Both Aboriginal & Torres Strait Islander	6
Gwydir (A)	Non-indigenous	4955
Gwydir (A)	Torres Strait Islander	16
Hawkesbury (C)	Aboriginal	2336
Hawkesbury (C)	Both Aboriginal & Torres Strait Islander	20
Hawkesbury (C)	Non-indigenous	62202
Hawkesbury (C)	Torres Strait Islander	34
Hay (A)	Aboriginal	173
Hay (A)	Both Aboriginal & Torres Strait Islander	3
Hay (A)	Non-indigenous	2770
Hilltops (A)	Aboriginal	792
Hilltops (A)	Both Aboriginal & Torres Strait Islander	10
Hilltops (A)	Non-indigenous	17676
Hilltops (A)	Torres Strait Islander	20
Hornsby (A)	Aboriginal	631
Hornsby (A)	Both Aboriginal & Torres Strait Islander	7
Hornsby (A)	Non-indigenous	142011
Hornsby (A)	Torres Strait Islander	18
Hunters Hill (A)	Aboriginal	74
Hunters Hill (A)	Both Aboriginal & Torres Strait Islander	3
Hunters Hill (A)	Non-indigenous	13919
Hunters Hill (A)	Torres Strait Islander	3
Inner West (A)	Aboriginal	1910
Inner West (A)	Both Aboriginal & Torres Strait Islander	60
Inner West (A)	Non-indigenous	180010
Inner West (A)	Torres Strait Islander	63
Inverell (A)	Aboriginal	1359
Inverell (A)	Both Aboriginal & Torres Strait Islander	36
Inverell (A)	Non-indigenous	15074
Inverell (A)	Torres Strait Islander	14
Junee (A)	Aboriginal	470
Junee (A)	Both Aboriginal & Torres Strait Islander	14
Junee (A)	Non-indigenous	5804
Junee (A)	Torres Strait Islander	7
Kempsey (A)	Aboriginal	3234
Kempsey (A)	Both Aboriginal & Torres Strait Islander	87
Kempsey (A)	Non-indigenous	25540
Kempsey (A)	Torres Strait Islander	24
Kiama (A)	Aboriginal	374
Kiama (A)	Both Aboriginal & Torres Strait Islander	9
Kiama (A)	Non-indigenous	21068
Kiama (A)	Torres Strait Islander	13
Ku-ring-gai (A)	Aboriginal	192
Ku-ring-gai (A)	Both Aboriginal & Torres Strait Islander	8
Ku-ring-gai (A)	Non-indigenous	117836
Ku-ring-gai (A)	Torres Strait Islander	17
Kyogle (A)	Aboriginal	362
Kyogle (A)	Both Aboriginal & Torres Strait Islander	6
Kyogle (A)	Non-indigenous	8567
Kyogle (A)	Torres Strait Islander	5
Lachlan (A)	Aboriginal	1080
Lachlan (A)	Both Aboriginal & Torres Strait Islander	4
Lachlan (A)	Non-indigenous	5101
Lachlan (A)	Torres Strait Islander	9
Lake Macquarie (C)	Aboriginal	7721
Lake Macquarie (C)	Both Aboriginal & Torres Strait Islander	151
Lake Macquarie (C)	Non-indigenous	189342
Lake Macquarie (C)	Torres Strait Islander	157
Lane Cove (A)	Aboriginal	113
Lane Cove (A)	Both Aboriginal & Torres Strait Islander	3
Lane Cove (A)	Non-indigenous	35935
Leeton (A)	Aboriginal	617
Leeton (A)	Both Aboriginal & Torres Strait Islander	4
Leeton (A)	Non-indigenous	10535
Leeton (A)	Torres Strait Islander	12
Lismore (C)	Aboriginal	2051
Lismore (C)	Both Aboriginal & Torres Strait Islander	58
Lismore (C)	Non-indigenous	40972
Lismore (C)	Torres Strait Islander	54
Lithgow (C)	Aboriginal	1158
Lithgow (C)	Both Aboriginal & Torres Strait Islander	17
Lithgow (C)	Non-indigenous	19880
Lithgow (C)	Torres Strait Islander	35
Liverpool (C)	Aboriginal	2907
Liverpool (C)	Both Aboriginal & Torres Strait Islander	27
Liverpool (C)	Non-indigenous	201320
Liverpool (C)	Torres Strait Islander	72
Liverpool Plains (A)	Aboriginal	925
Liverpool Plains (A)	Both Aboriginal & Torres Strait Islander	11
Liverpool Plains (A)	Non-indigenous	6729
Liverpool Plains (A)	Torres Strait Islander	22
Lockhart (A)	Aboriginal	101
Lockhart (A)	Both Aboriginal & Torres Strait Islander	4
Lockhart (A)	Non-indigenous	3011
Lockhart (A)	Torres Strait Islander	3
Maitland (C)	Aboriginal	3867
Maitland (C)	Both Aboriginal & Torres Strait Islander	114
Maitland (C)	Non-indigenous	73215
Maitland (C)	Torres Strait Islander	109
Mid-Coast (A)	Aboriginal	5371
Mid-Coast (A)	Both Aboriginal & Torres Strait Islander	95
Mid-Coast (A)	Non-indigenous	84730
Mid-Coast (A)	Torres Strait Islander	107
Mid-Western Regional (A)	Aboriginal	1283
Mid-Western Regional (A)	Both Aboriginal & Torres Strait Islander	8
Mid-Western Regional (A)	Non-indigenous	22766
Mid-Western Regional (A)	Torres Strait Islander	19
Moree Plains (A)	Aboriginal	2779
Moree Plains (A)	Both Aboriginal & Torres Strait Islander	48
Moree Plains (A)	Non-indigenous	10311
Moree Plains (A)	Torres Strait Islander	21
Mosman (A)	Aboriginal	57
Mosman (A)	Non-indigenous	28418
Murray River (A)	Aboriginal	365
Murray River (A)	Non-indigenous	11309
Murray River (A)	Torres Strait Islander	6
Murrumbidgee (A)	Aboriginal	280
Murrumbidgee (A)	Both Aboriginal & Torres Strait Islander	4
Murrumbidgee (A)	Non-indigenous	3549
Murrumbidgee (A)	Torres Strait Islander	3
Muswellbrook (A)	Aboriginal	1309
Muswellbrook (A)	Both Aboriginal & Torres Strait Islander	19
Muswellbrook (A)	Non-indigenous	14743
Muswellbrook (A)	Torres Strait Islander	15
Nambucca (A)	Aboriginal	1399
Nambucca (A)	Both Aboriginal & Torres Strait Islander	39
Nambucca (A)	Non-indigenous	17754
Nambucca (A)	Torres Strait Islander	20
Narrabri (A)	Aboriginal	1518
Narrabri (A)	Both Aboriginal & Torres Strait Islander	47
Narrabri (A)	Non-indigenous	11491
Narrabri (A)	Torres Strait Islander	28
Narrandera (A)	Aboriginal	561
Narrandera (A)	Both Aboriginal & Torres Strait Islander	3
Narrandera (A)	Non-indigenous	5286
Narrandera (A)	Torres Strait Islander	3
Narromine (A)	Aboriginal	1229
Narromine (A)	Both Aboriginal & Torres Strait Islander	35
Narromine (A)	Non-indigenous	5156
Narromine (A)	Torres Strait Islander	24
Newcastle (C)	Aboriginal	5261
Newcastle (C)	Both Aboriginal & Torres Strait Islander	111
Newcastle (C)	Non-indigenous	149931
Newcastle (C)	Torres Strait Islander	108
North Sydney (A)	Aboriginal	173
North Sydney (A)	Both Aboriginal & Torres Strait Islander	9
North Sydney (A)	Non-indigenous	67457
North Sydney (A)	Torres Strait Islander	19
Northern Beaches (A)	Aboriginal	1313
Northern Beaches (A)	Both Aboriginal & Torres Strait Islander	23
Northern Beaches (A)	Non-indigenous	251486
Northern Beaches (A)	Torres Strait Islander	56
Oberon (A)	Aboriginal	161
Oberon (A)	Both Aboriginal & Torres Strait Islander	3
Oberon (A)	Non-indigenous	5127
Oberon (A)	Torres Strait Islander	10
Orange (C)	Aboriginal	2459
Orange (C)	Both Aboriginal & Torres Strait Islander	47
Orange (C)	Non-indigenous	37790
Orange (C)	Torres Strait Islander	48
Parkes (A)	Aboriginal	1452
Parkes (A)	Both Aboriginal & Torres Strait Islander	12
Parkes (A)	Non-indigenous	13138
Parkes (A)	Torres Strait Islander	6
Parramatta (C)	Aboriginal	1614
Parramatta (C)	Both Aboriginal & Torres Strait Islander	33
Parramatta (C)	Non-indigenous	224451
Parramatta (C)	Torres Strait Islander	51
Penrith (C)	Aboriginal	7510
Penrith (C)	Both Aboriginal & Torres Strait Islander	91
Penrith (C)	Non-indigenous	188318
Penrith (C)	Torres Strait Islander	147
Port Macquarie-Hastings (A)	Aboriginal	3104
Port Macquarie-Hastings (A)	Both Aboriginal & Torres Strait Islander	31
Port Macquarie-Hastings (A)	Non-indigenous	75370
Port Macquarie-Hastings (A)	Torres Strait Islander	34
Port Stephens (A)	Aboriginal	3166
Port Stephens (A)	Both Aboriginal & Torres Strait Islander	71
Port Stephens (A)	Non-indigenous	66224
Port Stephens (A)	Torres Strait Islander	95
Queanbeyan-Palerang Regional (A)	Aboriginal	1661
Queanbeyan-Palerang Regional (A)	Both Aboriginal & Torres Strait Islander	28
Queanbeyan-Palerang Regional (A)	Non-indigenous	54309
Queanbeyan-Palerang Regional (A)	Torres Strait Islander	29
Randwick (C)	Aboriginal	2049
Randwick (C)	Both Aboriginal & Torres Strait Islander	38
Randwick (C)	Non-indigenous	138513
Randwick (C)	Torres Strait Islander	60
Richmond Valley (A)	Aboriginal	1576
Richmond Valley (A)	Both Aboriginal & Torres Strait Islander	29
Richmond Valley (A)	Non-indigenous	21170
Richmond Valley (A)	Torres Strait Islander	32
Rockdale (C)	Aboriginal	688
Rockdale (C)	Both Aboriginal & Torres Strait Islander	18
Rockdale (C)	Non-indigenous	108662
Rockdale (C)	Torres Strait Islander	36
Ryde (C)	Aboriginal	393
Ryde (C)	Both Aboriginal & Torres Strait Islander	11
Ryde (C)	Non-indigenous	115872
Ryde (C)	Torres Strait Islander	26
Shellharbour (C)	Aboriginal	2507
Shellharbour (C)	Both Aboriginal & Torres Strait Islander	46
Shellharbour (C)	Non-indigenous	65837
Shellharbour (C)	Torres Strait Islander	70
Shoalhaven (C)	Aboriginal	5309
Shoalhaven (C)	Both Aboriginal & Torres Strait Islander	70
Shoalhaven (C)	Non-indigenous	94147
Shoalhaven (C)	Torres Strait Islander	124
Singleton (A)	Aboriginal	1232
Singleton (A)	Both Aboriginal & Torres Strait Islander	23
Singleton (A)	Non-indigenous	21685
Singleton (A)	Torres Strait Islander	47
Snowy Monaro Regional (A)	Aboriginal	421
Snowy Monaro Regional (A)	Both Aboriginal & Torres Strait Islander	5
Snowy Monaro Regional (A)	Non-indigenous	19770
Snowy Monaro Regional (A)	Torres Strait Islander	22
Snowy Valleys (A)	Aboriginal	609
Snowy Valleys (A)	Both Aboriginal & Torres Strait Islander	11
Snowy Valleys (A)	Non-indigenous	13760
Snowy Valleys (A)	Torres Strait Islander	15
Strathfield (A)	Aboriginal	107
Strathfield (A)	Non-indigenous	40194
Strathfield (A)	Torres Strait Islander	11
Sutherland Shire (A)	Aboriginal	2297
Sutherland Shire (A)	Both Aboriginal & Torres Strait Islander	54
Sutherland Shire (A)	Non-indigenous	216036
Sutherland Shire (A)	Torres Strait Islander	77
Sydney (C)	Aboriginal	2222
Sydney (C)	Both Aboriginal & Torres Strait Islander	91
Sydney (C)	Non-indigenous	205962
Sydney (C)	Torres Strait Islander	99
Tamworth Regional (A)	Aboriginal	5800
Tamworth Regional (A)	Both Aboriginal & Torres Strait Islander	116
Tamworth Regional (A)	Non-indigenous	53627
Tamworth Regional (A)	Torres Strait Islander	120
Temora (A)	Aboriginal	140
Temora (A)	Non-indigenous	5965
Temora (A)	Torres Strait Islander	5
Tenterfield (A)	Aboriginal	369
Tenterfield (A)	Both Aboriginal & Torres Strait Islander	15
Tenterfield (A)	Non-indigenous	6230
Tenterfield (A)	Torres Strait Islander	14
The Hills Shire (A)	Aboriginal	775
The Hills Shire (A)	Both Aboriginal & Torres Strait Islander	12
The Hills Shire (A)	Non-indigenous	156433
The Hills Shire (A)	Torres Strait Islander	23
Tweed (A)	Aboriginal	3055
Tweed (A)	Both Aboriginal & Torres Strait Islander	304
Tweed (A)	Non-indigenous	87754
Tweed (A)	Torres Strait Islander	258
Upper Hunter Shire (A)	Aboriginal	691
Upper Hunter Shire (A)	Both Aboriginal & Torres Strait Islander	13
Upper Hunter Shire (A)	Non-indigenous	13394
Upper Hunter Shire (A)	Torres Strait Islander	14
Upper Lachlan Shire (A)	Aboriginal	171
Upper Lachlan Shire (A)	Both Aboriginal & Torres Strait Islander	3
Upper Lachlan Shire (A)	Non-indigenous	7521
Uralla (A)	Aboriginal	405
Uralla (A)	Both Aboriginal & Torres Strait Islander	5
Uralla (A)	Non-indigenous	5630
Uralla (A)	Torres Strait Islander	8
Wagga Wagga (C)	Aboriginal	3396
Wagga Wagga (C)	Both Aboriginal & Torres Strait Islander	51
Wagga Wagga (C)	Non-indigenous	58870
Wagga Wagga (C)	Torres Strait Islander	68
Walcha (A)	Aboriginal	171
Walcha (A)	Both Aboriginal & Torres Strait Islander	4
Walcha (A)	Non-indigenous	2909
Walcha (A)	Torres Strait Islander	8
Walgett (A)	Aboriginal	1774
Walgett (A)	Both Aboriginal & Torres Strait Islander	11
Walgett (A)	Non-indigenous	4313
Walgett (A)	Torres Strait Islander	9
Warren (A)	Aboriginal	388
Warren (A)	Both Aboriginal & Torres Strait Islander	10
Warren (A)	Non-indigenous	2331
Warren (A)	Torres Strait Islander	3
Warrumbungle Shire (A)	Aboriginal	886
Warrumbungle Shire (A)	Both Aboriginal & Torres Strait Islander	15
Warrumbungle Shire (A)	Non-indigenous	8463
Warrumbungle Shire (A)	Torres Strait Islander	20
Waverley (A)	Aboriginal	247
Waverley (A)	Both Aboriginal & Torres Strait Islander	12
Waverley (A)	Non-indigenous	66534
Waverley (A)	Torres Strait Islander	19
Weddin (A)	Aboriginal	107
Weddin (A)	Non-indigenous	3557
Wentworth (A)	Aboriginal	632
Wentworth (A)	Both Aboriginal & Torres Strait Islander	18
Wentworth (A)	Non-indigenous	6141
Wentworth (A)	Torres Strait Islander	3
Western Plains Regional (A)	Aboriginal	7550
Western Plains Regional (A)	Both Aboriginal & Torres Strait Islander	116
Western Plains Regional (A)	Non-indigenous	42333
Western Plains Regional (A)	Torres Strait Islander	78
Willoughby (C)	Aboriginal	122
Willoughby (C)	Non-indigenous	74174
Willoughby (C)	Torres Strait Islander	6
Wingecarribee (A)	Aboriginal	918
Wingecarribee (A)	Both Aboriginal & Torres Strait Islander	20
Wingecarribee (A)	Non-indigenous	46920
Wingecarribee (A)	Torres Strait Islander	24
Wollondilly (A)	Aboriginal	1510
Wollondilly (A)	Both Aboriginal & Torres Strait Islander	12
Wollondilly (A)	Non-indigenous	46969
Wollondilly (A)	Torres Strait Islander	28
Wollongong (C)	Aboriginal	5136
Wollongong (C)	Both Aboriginal & Torres Strait Islander	101
Wollongong (C)	Non-indigenous	198284
Wollongong (C)	Torres Strait Islander	109
Woollahra (A)	Aboriginal	139
Woollahra (A)	Both Aboriginal & Torres Strait Islander	7
Woollahra (A)	Non-indigenous	54088
Woollahra (A)	Torres Strait Islander	6
Yass Valley (A)	Aboriginal	385
Yass Valley (A)	Both Aboriginal & Torres Strait Islander	4
Yass Valley (A)	Non-indigenous	15749
Yass Valley (A)	Torres Strait Islander	4
Unincorporated NSW	Aboriginal	36
Unincorporated NSW	Non-indigenous	1020
No usual address (NSW)	Aboriginal	789
No usual address (NSW)	Both Aboriginal & Torres Strait Islander	25
No usual address (NSW)	Non-indigenous	11448
No usual address (NSW)	Torres Strait Islander	26
Migratory - Offshore - Shipping (NSW)	Aboriginal	10
Migratory - Offshore - Shipping (NSW)	Non-indigenous	402
Alpine (S)	Aboriginal	104
Alpine (S)	Non-indigenous	12233
Ararat (RC)	Aboriginal	166
Ararat (RC)	Non-indigenous	11421
Ararat (RC)	Torres Strait Islander	13
Ballarat (C)	Aboriginal	1372
Ballarat (C)	Both Aboriginal & Torres Strait Islander	35
Ballarat (C)	Non-indigenous	100211
Ballarat (C)	Torres Strait Islander	68
Banyule (C)	Aboriginal	669
Banyule (C)	Both Aboriginal & Torres Strait Islander	13
Banyule (C)	Non-indigenous	121158
Banyule (C)	Torres Strait Islander	25
Bass Coast (S)	Aboriginal	271
Bass Coast (S)	Both Aboriginal & Torres Strait Islander	11
Bass Coast (S)	Non-indigenous	32505
Bass Coast (S)	Torres Strait Islander	17
Baw Baw (S)	Aboriginal	444
Baw Baw (S)	Both Aboriginal & Torres Strait Islander	14
Baw Baw (S)	Non-indigenous	48003
Baw Baw (S)	Torres Strait Islander	18
Bayside (C)	Aboriginal	178
Bayside (C)	Non-indigenous	96895
Bayside (C)	Torres Strait Islander	14
Benalla (RC)	Aboriginal	217
Benalla (RC)	Both Aboriginal & Torres Strait Islander	3
Benalla (RC)	Non-indigenous	13638
Benalla (RC)	Torres Strait Islander	3
Boroondara (C)	Aboriginal	291
Boroondara (C)	Both Aboriginal & Torres Strait Islander	8
Boroondara (C)	Non-indigenous	166914
Boroondara (C)	Torres Strait Islander	18
Brimbank (C)	Aboriginal	742
Brimbank (C)	Both Aboriginal & Torres Strait Islander	15
Brimbank (C)	Non-indigenous	193501
Brimbank (C)	Torres Strait Islander	61
Buloke (S)	Aboriginal	53
Buloke (S)	Non-indigenous	6135
Buloke (S)	Torres Strait Islander	13
Campaspe (S)	Aboriginal	825
Campaspe (S)	Both Aboriginal & Torres Strait Islander	22
Campaspe (S)	Non-indigenous	36178
Campaspe (S)	Torres Strait Islander	36
Cardinia (S)	Aboriginal	731
Cardinia (S)	Both Aboriginal & Torres Strait Islander	17
Cardinia (S)	Non-indigenous	93350
Cardinia (S)	Torres Strait Islander	30
Casey (C)	Aboriginal	1489
Casey (C)	Both Aboriginal & Torres Strait Islander	43
Casey (C)	Non-indigenous	297682
Casey (C)	Torres Strait Islander	87
Central Goldfields (S)	Aboriginal	174
Central Goldfields (S)	Both Aboriginal & Torres Strait Islander	8
Central Goldfields (S)	Non-indigenous	12800
Central Goldfields (S)	Torres Strait Islander	13
Colac-Otway (S)	Aboriginal	239
Colac-Otway (S)	Both Aboriginal & Torres Strait Islander	3
Colac-Otway (S)	Non-indigenous	20721
Colac-Otway (S)	Torres Strait Islander	9
Corangamite (S)	Aboriginal	147
Corangamite (S)	Non-indigenous	15893
Corangamite (S)	Torres Strait Islander	11
Darebin (C)	Aboriginal	1102
Darebin (C)	Both Aboriginal & Torres Strait Islander	28
Darebin (C)	Non-indigenous	145552
Darebin (C)	Torres Strait Islander	37
East Gippsland (S)	Aboriginal	1265
East Gippsland (S)	Both Aboriginal & Torres Strait Islander	9
East Gippsland (S)	Non-indigenous	43753
East Gippsland (S)	Torres Strait Islander	13
Frankston (C)	Aboriginal	1236
Frankston (C)	Both Aboriginal & Torres Strait Islander	36
Frankston (C)	Non-indigenous	132811
Frankston (C)	Torres Strait Islander	60
Gannawarra (S)	Aboriginal	197
Gannawarra (S)	Non-indigenous	10348
Gannawarra (S)	Torres Strait Islander	4
Glen Eira (C)	Aboriginal	233
Glen Eira (C)	Both Aboriginal & Torres Strait Islander	9
Glen Eira (C)	Non-indigenous	140618
Glen Eira (C)	Torres Strait Islander	15
Glenelg (S)	Aboriginal	443
Glenelg (S)	Both Aboriginal & Torres Strait Islander	23
Glenelg (S)	Non-indigenous	19080
Glenelg (S)	Torres Strait Islander	11
Golden Plains (S)	Aboriginal	197
Golden Plains (S)	Both Aboriginal & Torres Strait Islander	7
Golden Plains (S)	Non-indigenous	21480
Golden Plains (S)	Torres Strait Islander	4
Greater Bendigo (C)	Aboriginal	1746
Greater Bendigo (C)	Both Aboriginal & Torres Strait Islander	40
Greater Bendigo (C)	Non-indigenous	108631
Greater Bendigo (C)	Torres Strait Islander	60
Greater Dandenong (C)	Aboriginal	447
Greater Dandenong (C)	Both Aboriginal & Torres Strait Islander	18
Greater Dandenong (C)	Non-indigenous	151536
Greater Dandenong (C)	Torres Strait Islander	49
Greater Geelong (C)	Aboriginal	2260
Greater Geelong (C)	Both Aboriginal & Torres Strait Islander	48
Greater Geelong (C)	Non-indigenous	231028
Greater Geelong (C)	Torres Strait Islander	93
Greater Shepparton (C)	Aboriginal	2061
