LGA_NAME16	Landlord	Rent.min	occupied_private_dwellings_being_rented
Bega Valley (A)		7875	4
Bega Valley (A)		10500	3
Bega Valley (A)		11812	7
Bega Valley (A)		18375	4
Bega Valley (A)	(Other)	0	34
Bega Valley (A)	(Other)	3937	8
Bega Valley (A)	(Other)	5250	17
Bega Valley (A)	(Other)	7875	18
Bega Valley (A)	(Other)	10500	15
Bega Valley (A)	(Other)	11812	12
Bega Valley (A)	(Other)	14437	16
Bega Valley (A)	(Other)	18375	8
Bega Valley (A)	Co-op/church group etc	3937	6
Bega Valley (A)	Co-op/church group etc	5250	35
Bega Valley (A)	Co-op/church group etc	7875	9
Bega Valley (A)	Co-op/church group etc	10500	13
Bega Valley (A)	Co-op/church group etc	11812	10
Bega Valley (A)	Co-op/church group etc	14437	3
Bega Valley (A)	Person not in same household	0	85
Bega Valley (A)	Person not in same household	3937	5
Bega Valley (A)	Person not in same household	5250	90
Bega Valley (A)	Person not in same household	7875	115
Bega Valley (A)	Person not in same household	10500	123
Bega Valley (A)	Person not in same household	11812	137
Bega Valley (A)	Person not in same household	14437	166
Bega Valley (A)	Person not in same household	18375	71
Bega Valley (A)	Person not in same household	23625	12
Bega Valley (A)	Person not in same household	28875	4
Bega Valley (A)	Person not in same household	49875	3
Bega Valley (A)	Real estate agent	0	6
Bega Valley (A)	Real estate agent	5250	19
Bega Valley (A)	Real estate agent	7875	136
Bega Valley (A)	Real estate agent	10500	158
Bega Valley (A)	Real estate agent	11812	331
Bega Valley (A)	Real estate agent	14437	473
Bega Valley (A)	Real estate agent	18375	337
Bega Valley (A)	Real estate agent	23625	28
Bega Valley (A)	Real estate agent	28875	8
Bega Valley (A)	Real estate agent	34125	3
Bega Valley (A)	Real estate agent	49875	4
Bega Valley (A)	State or territory housing authority	0	8
Bega Valley (A)	State or territory housing authority	3937	19
Bega Valley (A)	State or territory housing authority	5250	107
Bega Valley (A)	State or territory housing authority	7875	63
Bega Valley (A)	State or territory housing authority	10500	28
Bega Valley (A)	State or territory housing authority	11812	29
Bega Valley (A)	State or territory housing authority	14437	34
Bega Valley (A)	State or territory housing authority	18375	7
Bellingen (A)		0	33
Bellingen (A)		7875	3
Bellingen (A)		14437	6
Bellingen (A)	(Other)	0	9
Bellingen (A)	(Other)	3937	3
Bellingen (A)	(Other)	5250	17
Bellingen (A)	(Other)	7875	9
Bellingen (A)	(Other)	10500	3
Bellingen (A)	(Other)	11812	7
Bellingen (A)	(Other)	14437	10
Bellingen (A)	(Other)	18375	5
Bellingen (A)	Co-op/church group etc	0	3
Bellingen (A)	Co-op/church group etc	5250	4
Bellingen (A)	Co-op/church group etc	7875	4
Bellingen (A)	Co-op/church group etc	10500	4
Bellingen (A)	Co-op/church group etc	11812	3
Bellingen (A)	Co-op/church group etc	14437	3
Bellingen (A)	Person not in same household	0	43
Bellingen (A)	Person not in same household	3937	4
Bellingen (A)	Person not in same household	5250	25
Bellingen (A)	Person not in same household	7875	51
Bellingen (A)	Person not in same household	10500	44
Bellingen (A)	Person not in same household	11812	79
Bellingen (A)	Person not in same household	14437	101
Bellingen (A)	Person not in same household	18375	81
Bellingen (A)	Person not in same household	23625	14
Bellingen (A)	Person not in same household	28875	4
Bellingen (A)	Real estate agent	5250	6
Bellingen (A)	Real estate agent	7875	33
Bellingen (A)	Real estate agent	10500	23
Bellingen (A)	Real estate agent	11812	88
Bellingen (A)	Real estate agent	14437	169
Bellingen (A)	Real estate agent	18375	163
Bellingen (A)	Real estate agent	23625	32
Bellingen (A)	Real estate agent	28875	8
Bellingen (A)	Real estate agent	49875	3
Bellingen (A)	State or territory housing authority	0	3
Bellingen (A)	State or territory housing authority	3937	4
Bellingen (A)	State or territory housing authority	5250	48
Bellingen (A)	State or territory housing authority	7875	12
Bellingen (A)	State or territory housing authority	10500	3
Bellingen (A)	State or territory housing authority	11812	5
Bellingen (A)	State or territory housing authority	14437	7
Bellingen (A)	State or territory housing authority	18375	3
Berrigan (A)		0	26
Berrigan (A)		5250	4
Berrigan (A)	(Other)	0	33
Berrigan (A)	(Other)	3937	14
Berrigan (A)	(Other)	5250	19
Berrigan (A)	(Other)	7875	12
Berrigan (A)	(Other)	10500	5
Berrigan (A)	(Other)	11812	4
Berrigan (A)	(Other)	18375	3
Berrigan (A)	Co-op/church group etc	0	3
Berrigan (A)	Co-op/church group etc	3937	7
Berrigan (A)	Co-op/church group etc	5250	9
Berrigan (A)	Co-op/church group etc	10500	3
Berrigan (A)	Person not in same household	0	30
Berrigan (A)	Person not in same household	3937	9
Berrigan (A)	Person not in same household	5250	58
Berrigan (A)	Person not in same household	7875	76
Berrigan (A)	Person not in same household	10500	39
Berrigan (A)	Person not in same household	11812	28
Berrigan (A)	Person not in same household	14437	10
Berrigan (A)	Person not in same household	18375	3
Berrigan (A)	Person not in same household	49875	4
Berrigan (A)	Real estate agent	3937	14
Berrigan (A)	Real estate agent	5250	35
Berrigan (A)	Real estate agent	7875	102
Berrigan (A)	Real estate agent	10500	55
Berrigan (A)	Real estate agent	11812	72
Berrigan (A)	Real estate agent	14437	42
Berrigan (A)	Real estate agent	18375	12
Berrigan (A)	State or territory housing authority	3937	3
Berrigan (A)	State or territory housing authority	5250	9
Berrigan (A)	State or territory housing authority	7875	5
Berrigan (A)	State or territory housing authority	10500	3
Blacktown (C)		0	181
Blacktown (C)		3937	7
Blacktown (C)		5250	9
Blacktown (C)		7875	16
Blacktown (C)		10500	14
Blacktown (C)		11812	9
Blacktown (C)		14437	27
Blacktown (C)		18375	46
Blacktown (C)		23625	18
Blacktown (C)		28875	4
Blacktown (C)		34125	5
Blacktown (C)	(Other)	0	27
Blacktown (C)	(Other)	5250	32
Blacktown (C)	(Other)	7875	35
Blacktown (C)	(Other)	10500	15
Blacktown (C)	(Other)	11812	84
Blacktown (C)	(Other)	14437	87
Blacktown (C)	(Other)	18375	197
Blacktown (C)	(Other)	23625	67
Blacktown (C)	(Other)	28875	9
Blacktown (C)	(Other)	34125	3
Blacktown (C)	(Other)	39375	3
Blacktown (C)	Co-op/church group etc	0	28
Blacktown (C)	Co-op/church group etc	3937	26
Blacktown (C)	Co-op/church group etc	5250	55
Blacktown (C)	Co-op/church group etc	7875	69
Blacktown (C)	Co-op/church group etc	10500	47
Blacktown (C)	Co-op/church group etc	11812	47
Blacktown (C)	Co-op/church group etc	14437	56
Blacktown (C)	Co-op/church group etc	18375	59
Blacktown (C)	Co-op/church group etc	23625	14
Blacktown (C)	Co-op/church group etc	34125	3
Blacktown (C)	Co-op/church group etc	39375	6
Blacktown (C)	Co-op/church group etc	44625	3
Blacktown (C)	Person not in same household	0	267
Blacktown (C)	Person not in same household	3937	6
Blacktown (C)	Person not in same household	5250	75
Blacktown (C)	Person not in same household	7875	133
Blacktown (C)	Person not in same household	10500	154
Blacktown (C)	Person not in same household	11812	281
Blacktown (C)	Person not in same household	14437	749
Blacktown (C)	Person not in same household	18375	1482
Blacktown (C)	Person not in same household	23625	590
Blacktown (C)	Person not in same household	28875	196
Blacktown (C)	Person not in same household	34125	65
Blacktown (C)	Person not in same household	39375	8
Blacktown (C)	Person not in same household	44625	3
Blacktown (C)	Person not in same household	49875	10
Blacktown (C)	Real estate agent	0	31
Blacktown (C)	Real estate agent	3937	3
Blacktown (C)	Real estate agent	5250	25
Blacktown (C)	Real estate agent	7875	77
Blacktown (C)	Real estate agent	10500	139
Blacktown (C)	Real estate agent	11812	361
Blacktown (C)	Real estate agent	14437	2573
Blacktown (C)	Real estate agent	18375	8678
Blacktown (C)	Real estate agent	23625	4199
Blacktown (C)	Real estate agent	28875	1922
Blacktown (C)	Real estate agent	34125	724
Blacktown (C)	Real estate agent	39375	103
Blacktown (C)	Real estate agent	44625	24
Blacktown (C)	Real estate agent	49875	33
Blacktown (C)	State or territory housing authority	0	360
Blacktown (C)	State or territory housing authority	3937	293
Blacktown (C)	State or territory housing authority	5250	2160
Blacktown (C)	State or territory housing authority	7875	1449
Blacktown (C)	State or territory housing authority	10500	636
Blacktown (C)	State or territory housing authority	11812	683
Blacktown (C)	State or territory housing authority	14437	1013
Blacktown (C)	State or territory housing authority	18375	516
Blacktown (C)	State or territory housing authority	23625	64
Blacktown (C)	State or territory housing authority	28875	4
Blacktown (C)	State or territory housing authority	34125	8
Blacktown (C)	State or territory housing authority	39375	6
Blacktown (C)	State or territory housing authority	44625	3
Blacktown (C)	State or territory housing authority	49875	3
Bland (A)		0	39
Bland (A)	(Other)	0	31
Bland (A)	(Other)	3937	8
Bland (A)	(Other)	5250	11
Bland (A)	(Other)	7875	7
Bland (A)	(Other)	10500	5
Bland (A)	(Other)	11812	16
Bland (A)	(Other)	14437	9
Bland (A)	(Other)	18375	7
Bland (A)	Co-op/church group etc	0	8
Bland (A)	Person not in same household	0	55
Bland (A)	Person not in same household	3937	7
Bland (A)	Person not in same household	5250	31
Bland (A)	Person not in same household	7875	39
Bland (A)	Person not in same household	10500	23
Bland (A)	Person not in same household	11812	20
Bland (A)	Person not in same household	14437	7
Bland (A)	Real estate agent	5250	10
Bland (A)	Real estate agent	7875	35
Bland (A)	Real estate agent	10500	15
Bland (A)	Real estate agent	11812	42
Bland (A)	Real estate agent	14437	15
Bland (A)	Real estate agent	18375	5
Bland (A)	State or territory housing authority	5250	7
Bland (A)	State or territory housing authority	7875	10
Bland (A)	State or territory housing authority	11812	3
Blayney (A)		0	29
Blayney (A)	(Other)	0	15
Blayney (A)	(Other)	5250	4
Blayney (A)	(Other)	7875	8
Blayney (A)	(Other)	11812	3
Blayney (A)	Person not in same household	0	30
Blayney (A)	Person not in same household	5250	9
Blayney (A)	Person not in same household	7875	23
Blayney (A)	Person not in same household	10500	34
Blayney (A)	Person not in same household	11812	33
Blayney (A)	Person not in same household	14437	19
Blayney (A)	Person not in same household	18375	12
Blayney (A)	Person not in same household	28875	3
Blayney (A)	Real estate agent	0	3
Blayney (A)	Real estate agent	5250	20
Blayney (A)	Real estate agent	7875	41
Blayney (A)	Real estate agent	10500	55
Blayney (A)	Real estate agent	11812	87
Blayney (A)	Real estate agent	14437	72
Blayney (A)	Real estate agent	18375	29
Blayney (A)	Real estate agent	23625	3
Blayney (A)	State or territory housing authority	3937	3
Blayney (A)	State or territory housing authority	5250	20
Blayney (A)	State or territory housing authority	7875	7
Blayney (A)	State or territory housing authority	10500	4
Blayney (A)	State or territory housing authority	11812	8
Blue Mountains (C)		0	76
Blue Mountains (C)		11812	6
Blue Mountains (C)		14437	4
Blue Mountains (C)		18375	3
Blue Mountains (C)	(Other)	0	14
Blue Mountains (C)	(Other)	5250	7
Blue Mountains (C)	(Other)	7875	11
Blue Mountains (C)	(Other)	10500	6
Blue Mountains (C)	(Other)	11812	14
Blue Mountains (C)	(Other)	14437	20
Blue Mountains (C)	(Other)	18375	10
Blue Mountains (C)	(Other)	23625	3
Blue Mountains (C)	(Other)	49875	4
Blue Mountains (C)	Co-op/church group etc	0	7
Blue Mountains (C)	Co-op/church group etc	3937	7
Blue Mountains (C)	Co-op/church group etc	5250	16
Blue Mountains (C)	Co-op/church group etc	7875	55
Blue Mountains (C)	Co-op/church group etc	10500	20
Blue Mountains (C)	Co-op/church group etc	11812	41
Blue Mountains (C)	Co-op/church group etc	14437	15
Blue Mountains (C)	Co-op/church group etc	18375	18
Blue Mountains (C)	Co-op/church group etc	23625	3
Blue Mountains (C)	Co-op/church group etc	34125	3
Blue Mountains (C)	Person not in same household	0	94
Blue Mountains (C)	Person not in same household	3937	10
Blue Mountains (C)	Person not in same household	5250	51
Blue Mountains (C)	Person not in same household	7875	79
Blue Mountains (C)	Person not in same household	10500	73
Blue Mountains (C)	Person not in same household	11812	158
Blue Mountains (C)	Person not in same household	14437	251
Blue Mountains (C)	Person not in same household	18375	323
Blue Mountains (C)	Person not in same household	23625	95
Blue Mountains (C)	Person not in same household	28875	27
Blue Mountains (C)	Person not in same household	34125	8
Blue Mountains (C)	Person not in same household	39375	4
Blue Mountains (C)	Person not in same household	49875	7
Blue Mountains (C)	Real estate agent	0	7
Blue Mountains (C)	Real estate agent	3937	3
Blue Mountains (C)	Real estate agent	5250	13
Blue Mountains (C)	Real estate agent	7875	66
Blue Mountains (C)	Real estate agent	10500	76
Blue Mountains (C)	Real estate agent	11812	221
Blue Mountains (C)	Real estate agent	14437	647
Blue Mountains (C)	Real estate agent	18375	1374
Blue Mountains (C)	Real estate agent	23625	581
Blue Mountains (C)	Real estate agent	28875	167
Blue Mountains (C)	Real estate agent	34125	34
Blue Mountains (C)	Real estate agent	39375	8
Blue Mountains (C)	Real estate agent	44625	3
Blue Mountains (C)	State or territory housing authority	0	16
Blue Mountains (C)	State or territory housing authority	3937	10
Blue Mountains (C)	State or territory housing authority	5250	44
Blue Mountains (C)	State or territory housing authority	7875	141
Blue Mountains (C)	State or territory housing authority	10500	37
Blue Mountains (C)	State or territory housing authority	11812	48
Blue Mountains (C)	State or territory housing authority	14437	35
Blue Mountains (C)	State or territory housing authority	18375	36
Blue Mountains (C)	State or territory housing authority	23625	4
Bogan (A)		0	18
Bogan (A)	(Other)	0	25
Bogan (A)	(Other)	3937	9
Bogan (A)	(Other)	5250	15
Bogan (A)	(Other)	7875	7
Bogan (A)	(Other)	10500	4
Bogan (A)	(Other)	11812	7
Bogan (A)	(Other)	14437	3
Bogan (A)	Co-op/church group etc	7875	5
Bogan (A)	Person not in same household	0	10
Bogan (A)	Person not in same household	5250	8
Bogan (A)	Person not in same household	7875	15
Bogan (A)	Person not in same household	10500	27
Bogan (A)	Person not in same household	11812	16
Bogan (A)	Person not in same household	14437	11
Bogan (A)	Real estate agent	5250	9
Bogan (A)	Real estate agent	7875	21
Bogan (A)	Real estate agent	10500	9
Bogan (A)	Real estate agent	11812	10
Bogan (A)	Real estate agent	14437	3
Bogan (A)	State or territory housing authority	0	4
Bogan (A)	State or territory housing authority	3937	3
Bogan (A)	State or territory housing authority	5250	19
Bogan (A)	State or territory housing authority	7875	10
Bogan (A)	State or territory housing authority	10500	7
Bogan (A)	State or territory housing authority	11812	3
Bogan (A)	State or territory housing authority	14437	3
Botany Bay (C)		0	31
Botany Bay (C)		5250	7
Botany Bay (C)		10500	3
Botany Bay (C)		18375	6
Botany Bay (C)		23625	4
Botany Bay (C)		28875	3
Botany Bay (C)	(Other)	0	10
Botany Bay (C)	(Other)	10500	3
Botany Bay (C)	(Other)	11812	37
Botany Bay (C)	(Other)	14437	25
Botany Bay (C)	(Other)	18375	17
Botany Bay (C)	(Other)	23625	5
Botany Bay (C)	(Other)	28875	21
Botany Bay (C)	(Other)	34125	8
Botany Bay (C)	(Other)	39375	8
Botany Bay (C)	(Other)	44625	3
Botany Bay (C)	(Other)	49875	4
Botany Bay (C)	Co-op/church group etc	0	11
Botany Bay (C)	Co-op/church group etc	3937	4
Botany Bay (C)	Co-op/church group etc	5250	10
Botany Bay (C)	Co-op/church group etc	7875	21
Botany Bay (C)	Co-op/church group etc	10500	14
Botany Bay (C)	Co-op/church group etc	11812	3
Botany Bay (C)	Co-op/church group etc	14437	4
Botany Bay (C)	Co-op/church group etc	18375	3
Botany Bay (C)	Co-op/church group etc	23625	3
Botany Bay (C)	Co-op/church group etc	28875	3
Botany Bay (C)	Person not in same household	0	72
Botany Bay (C)	Person not in same household	5250	16
Botany Bay (C)	Person not in same household	7875	18
Botany Bay (C)	Person not in same household	10500	22
Botany Bay (C)	Person not in same household	11812	28
Botany Bay (C)	Person not in same household	14437	60
Botany Bay (C)	Person not in same household	18375	156
Botany Bay (C)	Person not in same household	23625	127
Botany Bay (C)	Person not in same household	28875	98
Botany Bay (C)	Person not in same household	34125	85
Botany Bay (C)	Person not in same household	39375	41
Botany Bay (C)	Person not in same household	44625	16
Botany Bay (C)	Person not in same household	49875	27
Botany Bay (C)	Real estate agent	0	14
Botany Bay (C)	Real estate agent	3937	3
Botany Bay (C)	Real estate agent	5250	9
Botany Bay (C)	Real estate agent	7875	7
Botany Bay (C)	Real estate agent	10500	21
Botany Bay (C)	Real estate agent	11812	26
Botany Bay (C)	Real estate agent	14437	179
Botany Bay (C)	Real estate agent	18375	1094
Botany Bay (C)	Real estate agent	23625	901
Botany Bay (C)	Real estate agent	28875	866
Botany Bay (C)	Real estate agent	34125	942
Botany Bay (C)	Real estate agent	39375	276
Botany Bay (C)	Real estate agent	44625	136
Botany Bay (C)	Real estate agent	49875	120
Botany Bay (C)	State or territory housing authority	0	82
Botany Bay (C)	State or territory housing authority	3937	61
Botany Bay (C)	State or territory housing authority	5250	624
Botany Bay (C)	State or territory housing authority	7875	216
Botany Bay (C)	State or territory housing authority	10500	79
Botany Bay (C)	State or territory housing authority	11812	58
Botany Bay (C)	State or territory housing authority	14437	44
Botany Bay (C)	State or territory housing authority	18375	58
Botany Bay (C)	State or territory housing authority	23625	23
Botany Bay (C)	State or territory housing authority	28875	14
Botany Bay (C)	State or territory housing authority	34125	10
Bourke (A)		0	8
Bourke (A)		5250	6
Bourke (A)	(Other)	0	65
Bourke (A)	(Other)	3937	5
Bourke (A)	(Other)	5250	9
Bourke (A)	(Other)	7875	4
Bourke (A)	(Other)	11812	4
Bourke (A)	(Other)	14437	3
Bourke (A)	Co-op/church group etc	5250	11
Bourke (A)	Co-op/church group etc	7875	12
Bourke (A)	Co-op/church group etc	11812	3
Bourke (A)	Co-op/church group etc	14437	3
Bourke (A)	Person not in same household	0	7
Bourke (A)	Person not in same household	3937	3
Bourke (A)	Person not in same household	5250	8
Bourke (A)	Person not in same household	7875	14
Bourke (A)	Person not in same household	10500	14
Bourke (A)	Person not in same household	11812	10
Bourke (A)	Person not in same household	14437	11
Bourke (A)	Real estate agent	7875	17
Bourke (A)	Real estate agent	10500	10
