LGA_NAME16	Religion	Denomination	Sex	persons
Bathurst Regional (A)	(Other)	Other spiritual beliefs	M	22
Bathurst Regional (A)	(Other)	Secular beliefs	F	44
Bathurst Regional (A)	(Other)	Secular beliefs	M	54
Bathurst Regional (A)	(Other)	Sikhism	F	28
Bathurst Regional (A)	(Other)	Sikhism	M	36
Bathurst Regional (A)	Buddhism		F	177
Bathurst Regional (A)	Buddhism		M	128
Bathurst Regional (A)	Christianity		F	334
Bathurst Regional (A)	Christianity		M	294
Bathurst Regional (A)	Christianity	(Other)	F	10
Bathurst Regional (A)	Christianity	(Other)	M	14
Bathurst Regional (A)	Christianity	Anglican	F	4263
Bathurst Regional (A)	Christianity	Anglican	M	3626
Bathurst Regional (A)	Christianity	Baptist	F	279
Bathurst Regional (A)	Christianity	Baptist	M	252
Bathurst Regional (A)	Christianity	Brethren	F	81
Bathurst Regional (A)	Christianity	Brethren	M	92
Bathurst Regional (A)	Christianity	Catholic	F	6723
Bathurst Regional (A)	Christianity	Catholic	M	6116
Bathurst Regional (A)	Christianity	Churches Of Christ	F	26
Bathurst Regional (A)	Christianity	Churches Of Christ	M	16
Bathurst Regional (A)	Christianity	Eastern Orthodox	F	66
Bathurst Regional (A)	Christianity	Eastern Orthodox	M	75
Bathurst Regional (A)	Christianity	Jehovah's Witnesses	F	62
Bathurst Regional (A)	Christianity	Jehovah's Witnesses	M	66
Bathurst Regional (A)	Christianity	Latter Day Saints	F	29
Bathurst Regional (A)	Christianity	Latter Day Saints	M	30
Bathurst Regional (A)	Christianity	Lutheran	F	45
Bathurst Regional (A)	Christianity	Lutheran	M	40
Bathurst Regional (A)	Christianity	Oriental Orthodox	F	7
Bathurst Regional (A)	Christianity	Oriental Orthodox	M	8
Bathurst Regional (A)	Christianity	Pentecostal	F	143
Bathurst Regional (A)	Christianity	Pentecostal	M	123
Bathurst Regional (A)	Christianity	Presbyterian Reformed	F	894
Bathurst Regional (A)	Christianity	Presbyterian Reformed	M	827
Bathurst Regional (A)	Christianity	Protestant (Other)	F	75
Bathurst Regional (A)	Christianity	Protestant (Other)	M	76
Bathurst Regional (A)	Christianity	Salvation Army	F	58
Bathurst Regional (A)	Christianity	Salvation Army	M	53
Bathurst Regional (A)	Christianity	Seventh Day Adventist	F	46
Bathurst Regional (A)	Christianity	Seventh Day Adventist	M	29
Bathurst Regional (A)	Christianity	Uniting Church	F	829
Bathurst Regional (A)	Christianity	Uniting Church	M	688
Bathurst Regional (A)	Hinduism		F	93
Bathurst Regional (A)	Hinduism		M	103
Bathurst Regional (A)	Islam		F	77
Bathurst Regional (A)	Islam		M	104
Bathurst Regional (A)	Judaism		F	9
Bathurst Regional (A)	Judaism		M	6
Bathurst Regional (A)	No religion		F	4250
Bathurst Regional (A)	No religion		M	4994
Bega Valley (A)	(Other)		F	1702
Bega Valley (A)	(Other)		M	1752
Bega Valley (A)	(Other)	(Other)	F	79
Bega Valley (A)	(Other)	(Other)	M	48
Bega Valley (A)	(Other)	Australian Aboriginal Traditional	F	9
Bega Valley (A)	(Other)	Australian Aboriginal Traditional	M	4
Bega Valley (A)	(Other)	Other spiritual beliefs	F	60
Bega Valley (A)	(Other)	Other spiritual beliefs	M	28
Bega Valley (A)	(Other)	Secular beliefs	F	53
Bega Valley (A)	(Other)	Secular beliefs	M	67
Bega Valley (A)	Buddhism		F	226
Bega Valley (A)	Buddhism		M	119
Bega Valley (A)	Christianity		F	357
Bega Valley (A)	Christianity		M	287
Bega Valley (A)	Christianity	(Other)	F	18
Bega Valley (A)	Christianity	(Other)	M	14
Bega Valley (A)	Christianity	Anglican	F	3878
Bega Valley (A)	Christianity	Anglican	M	3398
Bega Valley (A)	Christianity	Baptist	F	185
Bega Valley (A)	Christianity	Baptist	M	174
Bega Valley (A)	Christianity	Brethren	F	3
Bega Valley (A)	Christianity	Catholic	F	3060
Bega Valley (A)	Christianity	Catholic	M	2893
Bega Valley (A)	Christianity	Churches Of Christ	F	15
Bega Valley (A)	Christianity	Churches Of Christ	M	4
Bega Valley (A)	Christianity	Eastern Orthodox	F	55
Bega Valley (A)	Christianity	Eastern Orthodox	M	51
Bega Valley (A)	Christianity	Jehovah's Witnesses	F	140
Bega Valley (A)	Christianity	Jehovah's Witnesses	M	76
Bega Valley (A)	Christianity	Latter Day Saints	F	24
Bega Valley (A)	Christianity	Latter Day Saints	M	33
Bega Valley (A)	Christianity	Lutheran	F	66
Bega Valley (A)	Christianity	Lutheran	M	43
Bega Valley (A)	Christianity	Oriental Orthodox	M	3
Bega Valley (A)	Christianity	Pentecostal	F	44
Bega Valley (A)	Christianity	Pentecostal	M	38
Bega Valley (A)	Christianity	Presbyterian Reformed	F	507
Bega Valley (A)	Christianity	Presbyterian Reformed	M	445
Bega Valley (A)	Christianity	Protestant (Other)	F	37
Bega Valley (A)	Christianity	Protestant (Other)	M	38
Bega Valley (A)	Christianity	Salvation Army	F	43
Bega Valley (A)	Christianity	Salvation Army	M	31
Bega Valley (A)	Christianity	Seventh Day Adventist	F	61
Bega Valley (A)	Christianity	Seventh Day Adventist	M	46
Bega Valley (A)	Christianity	Uniting Church	F	717
Bega Valley (A)	Christianity	Uniting Church	M	535
Bega Valley (A)	Hinduism		F	23
Bega Valley (A)	Hinduism		M	30
Bega Valley (A)	Islam		F	15
Bega Valley (A)	Islam		M	14
Bega Valley (A)	Judaism		F	17
Bega Valley (A)	Judaism		M	9
Bega Valley (A)	No religion		F	5608
Bega Valley (A)	No religion		M	6064
Bellingen (A)	(Other)		F	624
Bellingen (A)	(Other)		M	659
Bellingen (A)	(Other)	(Other)	F	52
Bellingen (A)	(Other)	(Other)	M	27
Bellingen (A)	(Other)	Australian Aboriginal Traditional	F	5
Bellingen (A)	(Other)	Australian Aboriginal Traditional	M	7
Bellingen (A)	(Other)	Other spiritual beliefs	F	32
Bellingen (A)	(Other)	Other spiritual beliefs	M	21
Bellingen (A)	(Other)	Secular beliefs	F	28
Bellingen (A)	(Other)	Secular beliefs	M	29
Bellingen (A)	(Other)	Sikhism	F	4
Bellingen (A)	(Other)	Sikhism	M	3
Bellingen (A)	Buddhism		F	129
Bellingen (A)	Buddhism		M	86
Bellingen (A)	Christianity		F	159
Bellingen (A)	Christianity		M	109
Bellingen (A)	Christianity	(Other)	F	21
Bellingen (A)	Christianity	(Other)	M	9
Bellingen (A)	Christianity	Anglican	F	1273
Bellingen (A)	Christianity	Anglican	M	1114
Bellingen (A)	Christianity	Baptist	F	32
Bellingen (A)	Christianity	Baptist	M	32
Bellingen (A)	Christianity	Catholic	F	1002
Bellingen (A)	Christianity	Catholic	M	860
Bellingen (A)	Christianity	Churches Of Christ	M	5
Bellingen (A)	Christianity	Eastern Orthodox	F	7
Bellingen (A)	Christianity	Eastern Orthodox	M	5
Bellingen (A)	Christianity	Jehovah's Witnesses	F	14
Bellingen (A)	Christianity	Jehovah's Witnesses	M	13
Bellingen (A)	Christianity	Lutheran	F	13
Bellingen (A)	Christianity	Lutheran	M	9
Bellingen (A)	Christianity	Pentecostal	F	87
Bellingen (A)	Christianity	Pentecostal	M	60
Bellingen (A)	Christianity	Presbyterian Reformed	F	177
Bellingen (A)	Christianity	Presbyterian Reformed	M	167
Bellingen (A)	Christianity	Protestant (Other)	F	16
Bellingen (A)	Christianity	Protestant (Other)	M	16
Bellingen (A)	Christianity	Salvation Army	F	6
Bellingen (A)	Christianity	Salvation Army	M	12
Bellingen (A)	Christianity	Seventh Day Adventist	F	20
Bellingen (A)	Christianity	Seventh Day Adventist	M	13
Bellingen (A)	Christianity	Uniting Church	F	344
Bellingen (A)	Christianity	Uniting Church	M	289
Bellingen (A)	Hinduism		F	8
Bellingen (A)	Hinduism		M	18
Bellingen (A)	Islam		F	4
Bellingen (A)	Islam		M	8
Bellingen (A)	Judaism		F	15
Bellingen (A)	Judaism		M	14
Bellingen (A)	No religion		F	2449
Bellingen (A)	No religion		M	2541
Berrigan (A)	(Other)		F	473
Berrigan (A)	(Other)		M	472
Berrigan (A)	(Other)	(Other)	F	13
Berrigan (A)	(Other)	(Other)	M	8
Berrigan (A)	(Other)	Australian Aboriginal Traditional	M	3
Berrigan (A)	(Other)	Other spiritual beliefs	F	11
Berrigan (A)	(Other)	Other spiritual beliefs	M	6
Berrigan (A)	(Other)	Secular beliefs	F	8
Berrigan (A)	(Other)	Secular beliefs	M	13
Berrigan (A)	(Other)	Sikhism	F	4
Berrigan (A)	(Other)	Sikhism	M	3
Berrigan (A)	Buddhism		F	11
Berrigan (A)	Buddhism		M	12
Berrigan (A)	Christianity		F	57
Berrigan (A)	Christianity		M	71
Berrigan (A)	Christianity	(Other)	F	3
Berrigan (A)	Christianity	(Other)	M	5
Berrigan (A)	Christianity	Anglican	F	861
Berrigan (A)	Christianity	Anglican	M	768
Berrigan (A)	Christianity	Baptist	F	11
Berrigan (A)	Christianity	Baptist	M	15
Berrigan (A)	Christianity	Catholic	F	1138
Berrigan (A)	Christianity	Catholic	M	1095
Berrigan (A)	Christianity	Eastern Orthodox	F	9
Berrigan (A)	Christianity	Eastern Orthodox	M	10
Berrigan (A)	Christianity	Jehovah's Witnesses	F	12
Berrigan (A)	Christianity	Jehovah's Witnesses	M	11
Berrigan (A)	Christianity	Latter Day Saints	F	60
Berrigan (A)	Christianity	Latter Day Saints	M	44
Berrigan (A)	Christianity	Lutheran	F	24
Berrigan (A)	Christianity	Lutheran	M	7
Berrigan (A)	Christianity	Pentecostal	F	28
Berrigan (A)	Christianity	Pentecostal	M	24
Berrigan (A)	Christianity	Presbyterian Reformed	F	275
Berrigan (A)	Christianity	Presbyterian Reformed	M	277
Berrigan (A)	Christianity	Protestant (Other)	F	7
Berrigan (A)	Christianity	Protestant (Other)	M	9
Berrigan (A)	Christianity	Salvation Army	F	7
Berrigan (A)	Christianity	Salvation Army	M	4
Berrigan (A)	Christianity	Uniting Church	F	344
Berrigan (A)	Christianity	Uniting Church	M	288
Berrigan (A)	Hinduism		F	6
Berrigan (A)	Hinduism		M	15
Berrigan (A)	Islam		F	6
Berrigan (A)	Islam		M	10
Berrigan (A)	No religion		F	871
Berrigan (A)	No religion		M	1051
Blacktown (C)	(Other)		F	12212
Blacktown (C)	(Other)		M	13490
Blacktown (C)	(Other)	(Other)	F	732
Blacktown (C)	(Other)	(Other)	M	624
Blacktown (C)	(Other)	Australian Aboriginal Traditional	F	16
Blacktown (C)	(Other)	Australian Aboriginal Traditional	M	11
Blacktown (C)	(Other)	Other spiritual beliefs	F	144
Blacktown (C)	(Other)	Other spiritual beliefs	M	113
Blacktown (C)	(Other)	Secular beliefs	F	211
Blacktown (C)	(Other)	Secular beliefs	M	298
Blacktown (C)	(Other)	Sikhism	F	5234
Blacktown (C)	(Other)	Sikhism	M	6144
Blacktown (C)	Buddhism		F	3101
Blacktown (C)	Buddhism		M	2628
Blacktown (C)	Christianity		F	5565
Blacktown (C)	Christianity		M	5117
Blacktown (C)	Christianity	(Other)	F	194
Blacktown (C)	Christianity	(Other)	M	186
Blacktown (C)	Christianity	Anglican	F	19018
Blacktown (C)	Christianity	Anglican	M	16843
Blacktown (C)	Christianity	Assyrian Apostolic	F	84
Blacktown (C)	Christianity	Assyrian Apostolic	M	90
Blacktown (C)	Christianity	Baptist	F	2306
Blacktown (C)	Christianity	Baptist	M	2188
Blacktown (C)	Christianity	Brethren	F	62
Blacktown (C)	Christianity	Brethren	M	44
Blacktown (C)	Christianity	Catholic	F	51121
Blacktown (C)	Christianity	Catholic	M	47152
Blacktown (C)	Christianity	Churches Of Christ	F	487
Blacktown (C)	Christianity	Churches Of Christ	M	454
Blacktown (C)	Christianity	Eastern Orthodox	F	3071
Blacktown (C)	Christianity	Eastern Orthodox	M	2951
Blacktown (C)	Christianity	Jehovah's Witnesses	F	652
Blacktown (C)	Christianity	Jehovah's Witnesses	M	541
Blacktown (C)	Christianity	Latter Day Saints	F	1219
Blacktown (C)	Christianity	Latter Day Saints	M	1130
Blacktown (C)	Christianity	Lutheran	F	246
Blacktown (C)	Christianity	Lutheran	M	215
Blacktown (C)	Christianity	Oriental Orthodox	F	1822
Blacktown (C)	Christianity	Oriental Orthodox	M	1831
Blacktown (C)	Christianity	Pentecostal	F	4030
Blacktown (C)	Christianity	Pentecostal	M	3535
Blacktown (C)	Christianity	Presbyterian Reformed	F	3216
Blacktown (C)	Christianity	Presbyterian Reformed	M	2772
Blacktown (C)	Christianity	Protestant (Other)	F	1564
Blacktown (C)	Christianity	Protestant (Other)	M	1558
Blacktown (C)	Christianity	Salvation Army	F	279
Blacktown (C)	Christianity	Salvation Army	M	222
Blacktown (C)	Christianity	Seventh Day Adventist	F	975
Blacktown (C)	Christianity	Seventh Day Adventist	M	852
Blacktown (C)	Christianity	Uniting Church	F	3292
Blacktown (C)	Christianity	Uniting Church	M	2979
Blacktown (C)	Hinduism		F	14043
Blacktown (C)	Hinduism		M	14739
Blacktown (C)	Islam		F	11121
Blacktown (C)	Islam		M	11519
Blacktown (C)	Judaism		F	71
Blacktown (C)	Judaism		M	79
Blacktown (C)	No religion		F	23313
Blacktown (C)	No religion		M	27253
Bland (A)	(Other)		F	391
Bland (A)	(Other)		M	379
Bland (A)	(Other)	(Other)	F	7
Bland (A)	(Other)	Other spiritual beliefs	F	4
Bland (A)	(Other)	Other spiritual beliefs	M	3
Bland (A)	(Other)	Secular beliefs	M	3
Bland (A)	Buddhism		F	11
Bland (A)	Buddhism		M	12
Bland (A)	Christianity		F	115
Bland (A)	Christianity		M	97
Bland (A)	Christianity	Anglican	F	768
Bland (A)	Christianity	Anglican	M	713
Bland (A)	Christianity	Baptist	F	19
Bland (A)	Christianity	Baptist	M	15
Bland (A)	Christianity	Catholic	F	797
Bland (A)	Christianity	Catholic	M	748
Bland (A)	Christianity	Churches Of Christ	F	4
Bland (A)	Christianity	Eastern Orthodox	F	9
Bland (A)	Christianity	Eastern Orthodox	M	3
Bland (A)	Christianity	Jehovah's Witnesses	F	17
Bland (A)	Christianity	Jehovah's Witnesses	M	16
Bland (A)	Christianity	Latter Day Saints	F	3
Bland (A)	Christianity	Latter Day Saints	M	3
Bland (A)	Christianity	Lutheran	F	49
Bland (A)	Christianity	Lutheran	M	39
Bland (A)	Christianity	Pentecostal	F	12
Bland (A)	Christianity	Pentecostal	M	7
Bland (A)	Christianity	Presbyterian Reformed	F	191
Bland (A)	Christianity	Presbyterian Reformed	M	209
Bland (A)	Christianity	Protestant (Other)	F	19
Bland (A)	Christianity	Protestant (Other)	M	16
Bland (A)	Christianity	Salvation Army	F	11
Bland (A)	Christianity	Salvation Army	M	13
Bland (A)	Christianity	Uniting Church	F	192
Bland (A)	Christianity	Uniting Church	M	198
Bland (A)	Hinduism		F	3
Bland (A)	Hinduism		M	9
Bland (A)	Islam		M	3
Bland (A)	No religion		F	344
Bland (A)	No religion		M	479
Blayney (A)	(Other)		F	289
Blayney (A)	(Other)		M	332
Blayney (A)	(Other)	(Other)	F	13
Blayney (A)	(Other)	(Other)	M	3
Blayney (A)	(Other)	Other spiritual beliefs	F	8
Blayney (A)	(Other)	Other spiritual beliefs	M	3
Blayney (A)	(Other)	Secular beliefs	F	4
Blayney (A)	(Other)	Secular beliefs	M	6
Blayney (A)	Buddhism		F	20
Blayney (A)	Buddhism		M	7
Blayney (A)	Christianity		F	77
Blayney (A)	Christianity		M	69
Blayney (A)	Christianity	Anglican	F	902
Blayney (A)	Christianity	Anglican	M	843
Blayney (A)	Christianity	Baptist	F	50
Blayney (A)	Christianity	Baptist	M	57
Blayney (A)	Christianity	Catholic	F	1074
Blayney (A)	Christianity	Catholic	M	997
Blayney (A)	Christianity	Churches Of Christ	M	3
Blayney (A)	Christianity	Eastern Orthodox	F	3
Blayney (A)	Christianity	Eastern Orthodox	M	7
Blayney (A)	Christianity	Jehovah's Witnesses	F	3
Blayney (A)	Christianity	Jehovah's Witnesses	M	3
Blayney (A)	Christianity	Lutheran	F	9
Blayney (A)	Christianity	Lutheran	M	7
Blayney (A)	Christianity	Pentecostal	F	39
Blayney (A)	Christianity	Pentecostal	M	32
Blayney (A)	Christianity	Presbyterian Reformed	F	158
Blayney (A)	Christianity	Presbyterian Reformed	M	158
Blayney (A)	Christianity	Protestant (Other)	F	22
Blayney (A)	Christianity	Protestant (Other)	M	19
Blayney (A)	Christianity	Salvation Army	F	7
Blayney (A)	Christianity	Salvation Army	M	5
Blayney (A)	Christianity	Seventh Day Adventist	F	12
Blayney (A)	Christianity	Seventh Day Adventist	M	10
Blayney (A)	Christianity	Uniting Church	F	267
Blayney (A)	Christianity	Uniting Church	M	230
Blayney (A)	Hinduism		F	4
Blayney (A)	Hinduism		M	8
Blayney (A)	Islam		F	9
Blayney (A)	Islam		M	3
Blayney (A)	No religion		F	685
Blayney (A)	No religion		M	817
Blue Mountains (C)	(Other)		F	3283
Blue Mountains (C)	(Other)		M	3190
Blue Mountains (C)	(Other)	(Other)	F	256
Blue Mountains (C)	(Other)	(Other)	M	190
Blue Mountains (C)	(Other)	Australian Aboriginal Traditional	F	14
Blue Mountains (C)	(Other)	Australian Aboriginal Traditional	M	6
Blue Mountains (C)	(Other)	Other spiritual beliefs	F	191
Blue Mountains (C)	(Other)	Other spiritual beliefs	M	90
Blue Mountains (C)	(Other)	Secular beliefs	F	216
Blue Mountains (C)	(Other)	Secular beliefs	M	245
Blue Mountains (C)	(Other)	Sikhism	F	7
Blue Mountains (C)	(Other)	Sikhism	M	19
Blue Mountains (C)	Buddhism		F	613
Blue Mountains (C)	Buddhism		M	409
Blue Mountains (C)	Christianity		F	1214
Blue Mountains (C)	Christianity		M	1052
Blue Mountains (C)	Christianity	(Other)	F	79
Blue Mountains (C)	Christianity	(Other)	M	37
Blue Mountains (C)	Christianity	Anglican	F	7042
Blue Mountains (C)	Christianity	Anglican	M	6054
Blue Mountains (C)	Christianity	Assyrian Apostolic	F	6
Blue Mountains (C)	Christianity	Baptist	F	1094
Blue Mountains (C)	Christianity	Baptist	M	961
Blue Mountains (C)	Christianity	Brethren	F	126
