LGA_NAME16	CountryOfBirth	Sex	persons
Albury (C)	NZL	M	275
Albury (C)	PAK	F	10
Albury (C)	PAK	M	22
Albury (C)	PHL	F	182
Albury (C)	PHL	M	100
Albury (C)	PNG	F	9
Albury (C)	PNG	M	8
Albury (C)	POL	F	16
Albury (C)	POL	M	16
Albury (C)	SGP	F	11
Albury (C)	SGP	M	12
Albury (C)	THA	F	50
Albury (C)	THA	M	11
Albury (C)	TWN	F	6
Albury (C)	USA	F	52
Albury (C)	USA	M	45
Albury (C)	VNM	F	22
Albury (C)	VNM	M	11
Albury (C)	ZAF	F	66
Albury (C)	ZAF	M	65
Albury (C)	ZWE	F	17
Albury (C)	ZWE	M	10
Armidale Regional (A)		F	1547
Armidale Regional (A)		M	1469
Armidale Regional (A)	AUS	F	12102
Armidale Regional (A)	AUS	M	11302
Armidale Regional (A)	BGD	F	30
Armidale Regional (A)	BGD	M	25
Armidale Regional (A)	CAN	F	31
Armidale Regional (A)	CAN	M	26
Armidale Regional (A)	CHL	F	7
Armidale Regional (A)	CHL	M	3
Armidale Regional (A)	CHN	F	142
Armidale Regional (A)	CHN	M	144
Armidale Regional (A)	DEU	F	55
Armidale Regional (A)	DEU	M	41
Armidale Regional (A)	FJI	F	13
Armidale Regional (A)	FJI	M	17
Armidale Regional (A)	FRA	F	17
Armidale Regional (A)	FRA	M	10
Armidale Regional (A)	GBR	F	335
Armidale Regional (A)	GBR	M	360
Armidale Regional (A)	GRC	F	3
Armidale Regional (A)	GRC	M	7
Armidale Regional (A)	HKG	F	15
Armidale Regional (A)	HKG	M	9
Armidale Regional (A)	HRV	F	3
Armidale Regional (A)	IDN	F	17
Armidale Regional (A)	IDN	M	13
Armidale Regional (A)	IND	F	78
Armidale Regional (A)	IND	M	87
Armidale Regional (A)	IRL	F	12
Armidale Regional (A)	IRL	M	16
Armidale Regional (A)	IRN	F	19
Armidale Regional (A)	IRN	M	21
Armidale Regional (A)	IRQ	F	42
Armidale Regional (A)	IRQ	M	50
Armidale Regional (A)	ITA	F	13
Armidale Regional (A)	ITA	M	9
Armidale Regional (A)	JPN	F	19
Armidale Regional (A)	JPN	M	7
Armidale Regional (A)	KOR	F	11
Armidale Regional (A)	KOR	M	3
Armidale Regional (A)	LBN	F	3
Armidale Regional (A)	LBN	M	4
Armidale Regional (A)	LKA	F	37
Armidale Regional (A)	LKA	M	30
Armidale Regional (A)	MMR	F	7
Armidale Regional (A)	MMR	M	5
Armidale Regional (A)	MYS	F	22
Armidale Regional (A)	MYS	M	21
Armidale Regional (A)	NLD	F	33
Armidale Regional (A)	NLD	M	25
Armidale Regional (A)	NPL	F	89
Armidale Regional (A)	NPL	M	62
Armidale Regional (A)	NZL	F	143
Armidale Regional (A)	NZL	M	170
Armidale Regional (A)	PAK	F	9
Armidale Regional (A)	PAK	M	27
Armidale Regional (A)	PHL	F	101
Armidale Regional (A)	PHL	M	48
Armidale Regional (A)	PNG	F	22
Armidale Regional (A)	PNG	M	23
Armidale Regional (A)	POL	F	3
Armidale Regional (A)	POL	M	9
Armidale Regional (A)	SGP	F	17
Armidale Regional (A)	SGP	M	8
Armidale Regional (A)	THA	F	18
Armidale Regional (A)	THA	M	12
Armidale Regional (A)	TUR	F	3
Armidale Regional (A)	TUR	M	3
Armidale Regional (A)	TWN	F	33
Armidale Regional (A)	TWN	M	16
Armidale Regional (A)	USA	F	74
Armidale Regional (A)	USA	M	73
Armidale Regional (A)	VNM	F	30
Armidale Regional (A)	VNM	M	24
Armidale Regional (A)	ZAF	F	44
Armidale Regional (A)	ZAF	M	43
Armidale Regional (A)	ZWE	F	16
Armidale Regional (A)	ZWE	M	8
Ballina (A)		F	1870
Ballina (A)		M	1724
Ballina (A)	AUS	F	17552
Ballina (A)	AUS	M	16436
Ballina (A)	CAN	F	41
Ballina (A)	CAN	M	50
Ballina (A)	CHL	F	11
Ballina (A)	CHL	M	12
Ballina (A)	CHN	F	44
Ballina (A)	CHN	M	19
Ballina (A)	DEU	F	74
Ballina (A)	DEU	M	64
Ballina (A)	EGY	F	3
Ballina (A)	EGY	M	5
Ballina (A)	FJI	F	29
Ballina (A)	FJI	M	20
Ballina (A)	FRA	F	30
Ballina (A)	FRA	M	16
Ballina (A)	GBR	F	842
Ballina (A)	GBR	M	807
Ballina (A)	GRC	F	7
Ballina (A)	GRC	M	3
Ballina (A)	HKG	F	12
Ballina (A)	HKG	M	9
Ballina (A)	HRV	F	12
Ballina (A)	HRV	M	6
Ballina (A)	IDN	F	17
Ballina (A)	IDN	M	12
Ballina (A)	IND	F	41
Ballina (A)	IND	M	62
Ballina (A)	IRL	F	36
Ballina (A)	IRL	M	36
Ballina (A)	IRN	F	10
Ballina (A)	IRN	M	11
Ballina (A)	ITA	F	36
Ballina (A)	ITA	M	61
Ballina (A)	JPN	F	44
Ballina (A)	JPN	M	19
Ballina (A)	KHM	F	5
Ballina (A)	KOR	F	17
Ballina (A)	KOR	M	6
Ballina (A)	LBN	M	5
Ballina (A)	LKA	F	8
Ballina (A)	LKA	M	11
Ballina (A)	MLT	F	13
Ballina (A)	MLT	M	12
Ballina (A)	MMR	M	3
Ballina (A)	MUS	F	3
Ballina (A)	MUS	M	3
Ballina (A)	MYS	F	27
Ballina (A)	MYS	M	19
Ballina (A)	NLD	F	86
Ballina (A)	NLD	M	66
Ballina (A)	NPL	F	3
Ballina (A)	NPL	M	3
Ballina (A)	NZL	F	337
Ballina (A)	NZL	M	314
Ballina (A)	PHL	F	86
Ballina (A)	PHL	M	21
Ballina (A)	PNG	F	39
Ballina (A)	PNG	M	28
Ballina (A)	POL	F	11
Ballina (A)	POL	M	10
Ballina (A)	SGP	F	21
Ballina (A)	SGP	M	10
Ballina (A)	THA	F	50
Ballina (A)	THA	M	21
Ballina (A)	TUR	F	3
Ballina (A)	TUR	M	3
Ballina (A)	TWN	F	3
Ballina (A)	TWN	M	4
Ballina (A)	USA	F	84
Ballina (A)	USA	M	64
Ballina (A)	VNM	F	15
Ballina (A)	VNM	M	12
Ballina (A)	ZAF	F	115
Ballina (A)	ZAF	M	114
Ballina (A)	ZWE	F	21
Ballina (A)	ZWE	M	13
Balranald (A)		F	143
Balranald (A)		M	154
Balranald (A)	AUS	F	900
Balranald (A)	AUS	M	965
Balranald (A)	CHN	M	3
Balranald (A)	FJI	F	4
Balranald (A)	FJI	M	4
Balranald (A)	GBR	F	10
Balranald (A)	GBR	M	12
Balranald (A)	IND	F	4
Balranald (A)	IND	M	3
Balranald (A)	IRL	F	5
Balranald (A)	ITA	F	14
Balranald (A)	ITA	M	9
Balranald (A)	KOR	F	3
Balranald (A)	MYS	F	4
Balranald (A)	MYS	M	4
Balranald (A)	NPL	M	3
Balranald (A)	NZL	F	4
Balranald (A)	NZL	M	3
Balranald (A)	PHL	F	3
Balranald (A)	THA	F	7
Balranald (A)	TWN	F	4
Balranald (A)	USA	F	4
Balranald (A)	USA	M	3
Bathurst Regional (A)		F	1808
Bathurst Regional (A)		M	1709
Bathurst Regional (A)	AFG	F	4
Bathurst Regional (A)	AFG	M	8
Bathurst Regional (A)	AUS	F	17206
Bathurst Regional (A)	AUS	M	17332
Bathurst Regional (A)	BGD	F	19
Bathurst Regional (A)	BGD	M	22
Bathurst Regional (A)	BIH	M	4
Bathurst Regional (A)	CAN	F	32
Bathurst Regional (A)	CAN	M	25
Bathurst Regional (A)	CHL	F	3
Bathurst Regional (A)	CHL	M	9
Bathurst Regional (A)	CHN	F	57
Bathurst Regional (A)	CHN	M	61
Bathurst Regional (A)	DEU	F	55
Bathurst Regional (A)	DEU	M	50
Bathurst Regional (A)	EGY	F	3
Bathurst Regional (A)	EGY	M	19
Bathurst Regional (A)	FJI	F	20
Bathurst Regional (A)	FJI	M	29
Bathurst Regional (A)	FRA	F	11
Bathurst Regional (A)	FRA	M	12
Bathurst Regional (A)	GBR	F	505
Bathurst Regional (A)	GBR	M	504
Bathurst Regional (A)	GRC	F	7
Bathurst Regional (A)	GRC	M	12
Bathurst Regional (A)	HKG	F	7
Bathurst Regional (A)	HKG	M	13
Bathurst Regional (A)	HRV	F	11
Bathurst Regional (A)	HRV	M	12
Bathurst Regional (A)	IDN	F	13
Bathurst Regional (A)	IDN	M	4
Bathurst Regional (A)	IND	F	79
Bathurst Regional (A)	IND	M	93
Bathurst Regional (A)	IRL	F	28
Bathurst Regional (A)	IRL	M	31
Bathurst Regional (A)	IRN	F	13
Bathurst Regional (A)	IRN	M	11
Bathurst Regional (A)	IRQ	F	8
Bathurst Regional (A)	IRQ	M	14
Bathurst Regional (A)	ITA	F	19
Bathurst Regional (A)	ITA	M	25
Bathurst Regional (A)	JPN	F	12
Bathurst Regional (A)	JPN	M	13
Bathurst Regional (A)	KHM	F	9
Bathurst Regional (A)	KHM	M	3
Bathurst Regional (A)	KOR	F	9
Bathurst Regional (A)	KOR	M	20
Bathurst Regional (A)	LBN	F	14
Bathurst Regional (A)	LBN	M	27
Bathurst Regional (A)	LKA	F	31
Bathurst Regional (A)	LKA	M	24
Bathurst Regional (A)	MKD	M	3
Bathurst Regional (A)	MLT	F	8
Bathurst Regional (A)	MLT	M	10
Bathurst Regional (A)	MMR	F	3
Bathurst Regional (A)	MMR	M	3
Bathurst Regional (A)	MUS	F	3
Bathurst Regional (A)	MUS	M	3
Bathurst Regional (A)	MYS	F	20
Bathurst Regional (A)	MYS	M	22
Bathurst Regional (A)	NLD	F	60
Bathurst Regional (A)	NLD	M	50
Bathurst Regional (A)	NPL	F	23
Bathurst Regional (A)	NPL	M	29
Bathurst Regional (A)	NZL	F	201
Bathurst Regional (A)	NZL	M	234
Bathurst Regional (A)	PAK	F	14
Bathurst Regional (A)	PAK	M	18
Bathurst Regional (A)	PHL	F	95
Bathurst Regional (A)	PHL	M	61
Bathurst Regional (A)	PNG	F	14
Bathurst Regional (A)	PNG	M	14
Bathurst Regional (A)	POL	F	11
Bathurst Regional (A)	POL	M	7
Bathurst Regional (A)	SGP	F	14
Bathurst Regional (A)	SGP	M	11
Bathurst Regional (A)	THA	F	36
Bathurst Regional (A)	THA	M	15
Bathurst Regional (A)	TWN	F	4
Bathurst Regional (A)	USA	F	41
Bathurst Regional (A)	USA	M	35
Bathurst Regional (A)	VNM	F	24
Bathurst Regional (A)	VNM	M	38
Bathurst Regional (A)	ZAF	F	54
Bathurst Regional (A)	ZAF	M	52
Bathurst Regional (A)	ZWE	F	13
Bathurst Regional (A)	ZWE	M	8
Bega Valley (A)		F	1718
Bega Valley (A)		M	1608
Bega Valley (A)	AUS	F	13479
Bega Valley (A)	AUS	M	12969
Bega Valley (A)	CAN	F	30
Bega Valley (A)	CAN	M	28
Bega Valley (A)	CHL	F	9
Bega Valley (A)	CHL	M	7
Bega Valley (A)	CHN	F	22
Bega Valley (A)	CHN	M	11
Bega Valley (A)	DEU	F	121
Bega Valley (A)	DEU	M	112
Bega Valley (A)	EGY	F	8
Bega Valley (A)	EGY	M	10
Bega Valley (A)	FJI	F	7
Bega Valley (A)	FJI	M	5
Bega Valley (A)	FRA	F	21
Bega Valley (A)	FRA	M	13
Bega Valley (A)	GBR	F	822
Bega Valley (A)	GBR	M	842
Bega Valley (A)	GRC	F	6
Bega Valley (A)	GRC	M	9
Bega Valley (A)	HKG	F	3
Bega Valley (A)	HKG	M	3
Bega Valley (A)	HRV	F	3
Bega Valley (A)	HRV	M	8
Bega Valley (A)	IDN	F	9
Bega Valley (A)	IDN	M	10
Bega Valley (A)	IND	F	21
Bega Valley (A)	IND	M	22
Bega Valley (A)	IRL	F	32
Bega Valley (A)	IRL	M	30
Bega Valley (A)	IRN	F	3
Bega Valley (A)	IRN	M	4
Bega Valley (A)	ITA	F	13
Bega Valley (A)	ITA	M	38
Bega Valley (A)	JPN	F	14
Bega Valley (A)	JPN	M	11
Bega Valley (A)	KHM	F	4
Bega Valley (A)	KOR	F	9
Bega Valley (A)	KOR	M	6
Bega Valley (A)	LBN	M	3
Bega Valley (A)	LKA	F	4
Bega Valley (A)	LKA	M	7
Bega Valley (A)	MLT	F	13
Bega Valley (A)	MLT	M	19
Bega Valley (A)	MUS	M	3
Bega Valley (A)	MYS	F	17
Bega Valley (A)	MYS	M	13
Bega Valley (A)	NLD	F	106
Bega Valley (A)	NLD	M	95
Bega Valley (A)	NPL	M	3
Bega Valley (A)	NZL	F	186
Bega Valley (A)	NZL	M	189
Bega Valley (A)	PAK	F	3
Bega Valley (A)	PHL	F	93
Bega Valley (A)	PHL	M	26
Bega Valley (A)	PNG	F	11
Bega Valley (A)	PNG	M	11
Bega Valley (A)	POL	F	12
Bega Valley (A)	POL	M	13
Bega Valley (A)	SGP	F	5
Bega Valley (A)	SGP	M	12
Bega Valley (A)	THA	F	43
Bega Valley (A)	THA	M	17
Bega Valley (A)	TUR	M	5
Bega Valley (A)	USA	F	73
Bega Valley (A)	USA	M	59
Bega Valley (A)	VNM	F	12
Bega Valley (A)	VNM	M	8
Bega Valley (A)	ZAF	F	42
Bega Valley (A)	ZAF	M	42
Bega Valley (A)	ZWE	F	7
Bega Valley (A)	ZWE	M	6
Bellingen (A)		F	612
Bellingen (A)		M	542
Bellingen (A)	AUS	F	5225
Bellingen (A)	AUS	M	4948
Bellingen (A)	CAN	F	13
Bellingen (A)	CAN	M	11
Bellingen (A)	CHL	F	7
Bellingen (A)	CHN	F	7
Bellingen (A)	DEU	F	58
Bellingen (A)	DEU	M	38
Bellingen (A)	EGY	M	3
Bellingen (A)	FJI	F	4
Bellingen (A)	FJI	M	6
Bellingen (A)	FRA	F	15
Bellingen (A)	FRA	M	10
Bellingen (A)	GBR	F	331
Bellingen (A)	GBR	M	340
Bellingen (A)	HKG	F	4
Bellingen (A)	HKG	M	8
Bellingen (A)	IDN	F	4
Bellingen (A)	IDN	M	3
Bellingen (A)	IND	F	11
Bellingen (A)	IND	M	13
Bellingen (A)	IRL	F	14
Bellingen (A)	IRL	M	7
Bellingen (A)	ITA	F	4
Bellingen (A)	ITA	M	3
Bellingen (A)	JPN	F	6
Bellingen (A)	KOR	F	3
Bellingen (A)	MYS	F	14
Bellingen (A)	MYS	M	3
Bellingen (A)	NLD	F	33
Bellingen (A)	NLD	M	29
Bellingen (A)	NZL	F	84
Bellingen (A)	NZL	M	83
Bellingen (A)	PHL	F	22
Bellingen (A)	PHL	M	5
Bellingen (A)	PNG	F	5
Bellingen (A)	PNG	M	3
Bellingen (A)	POL	F	4
Bellingen (A)	POL	M	3
Bellingen (A)	SGP	F	4
Bellingen (A)	SGP	M	3
Bellingen (A)	THA	F	3
Bellingen (A)	THA	M	4
Bellingen (A)	TUR	M	3
Bellingen (A)	USA	F	28
Bellingen (A)	USA	M	25
Bellingen (A)	VNM	F	3
Bellingen (A)	ZAF	F	17
Bellingen (A)	ZAF	M	30
Bellingen (A)	ZWE	F	7
Berrigan (A)		F	500
Berrigan (A)		M	509
Berrigan (A)	AUS	F	3441
Berrigan (A)	AUS	M	3424
Berrigan (A)	CAN	F	3
Berrigan (A)	CAN	M	8
Berrigan (A)	CHN	F	4
Berrigan (A)	CHN	M	3
Berrigan (A)	DEU	F	19
Berrigan (A)	DEU	M	18
Berrigan (A)	EGY	F	3
Berrigan (A)	EGY	M	3
Berrigan (A)	GBR	F	104
Berrigan (A)	GBR	M	118
Berrigan (A)	IND	F	9
Berrigan (A)	IND	M	15
Berrigan (A)	IRL	F	3
Berrigan (A)	IRL	M	7
Berrigan (A)	ITA	F	3
Berrigan (A)	ITA	M	10
Berrigan (A)	LKA	F	10
Berrigan (A)	LKA	M	4
Berrigan (A)	MLT	M	3
Berrigan (A)	MYS	F	7
Berrigan (A)	MYS	M	11
Berrigan (A)	NLD	F	20
Berrigan (A)	NLD	M	21
Berrigan (A)	NPL	F	3
Berrigan (A)	NPL	M	3
Berrigan (A)	NZL	F	39
Berrigan (A)	NZL	M	51
Berrigan (A)	PHL	F	31
Berrigan (A)	PHL	M	10
Berrigan (A)	POL	F	3
Berrigan (A)	THA	F	3
Berrigan (A)	USA	F	3
Berrigan (A)	USA	M	4
Berrigan (A)	ZAF	F	12
Berrigan (A)	ZAF	M	6
Berrigan (A)	ZWE	F	5
Berrigan (A)	ZWE	M	3
Blacktown (C)		F	17623
Blacktown (C)		M	17038
Blacktown (C)	AFG	F	1139
Blacktown (C)	AFG	M	1205
Blacktown (C)	AUS	F	90763
Blacktown (C)	AUS	M	91390
Blacktown (C)	BGD	F	1176
Blacktown (C)	BGD	M	1252
Blacktown (C)	BIH	F	247
Blacktown (C)	BIH	M	262
Blacktown (C)	CAN	F	155
Blacktown (C)	CAN	M	140
Blacktown (C)	CHL	F	340
Blacktown (C)	CHL	M	325
Blacktown (C)	CHN	F	2574
Blacktown (C)	CHN	M	2085
Blacktown (C)	DEU	F	509
Blacktown (C)	DEU	M	447
Blacktown (C)	EGY	F	956
Blacktown (C)	EGY	M	996
Blacktown (C)	FJI	F	3727
Blacktown (C)	FJI	M	3352
Blacktown (C)	FRA	F	92
Blacktown (C)	FRA	M	71
Blacktown (C)	GBR	F	3158
Blacktown (C)	GBR	M	3359
Blacktown (C)	GRC	F	359
Blacktown (C)	GRC	M	335
Blacktown (C)	HKG	F	482
Blacktown (C)	HKG	M	468
Blacktown (C)	HRV	F	545
Blacktown (C)	HRV	M	473
Blacktown (C)	IDN	F	828
Blacktown (C)	IDN	M	657
Blacktown (C)	IND	F	12236
Blacktown (C)	IND	M	13522
Blacktown (C)	IRL	F	267
Blacktown (C)	IRL	M	347
Blacktown (C)	IRN	F	751
Blacktown (C)	IRN	M	802
Blacktown (C)	IRQ	F	833
Blacktown (C)	IRQ	M	858
Blacktown (C)	ITA	F	615
Blacktown (C)	ITA	M	681
Blacktown (C)	JPN	F	106
Blacktown (C)	JPN	M	41
Blacktown (C)	KHM	F	91
Blacktown (C)	KHM	M	54
Blacktown (C)	KOR	F	782
Blacktown (C)	KOR	M	700
Blacktown (C)	LBN	F	881
Blacktown (C)	LBN	M	957
Blacktown (C)	LKA	F	2303
Blacktown (C)	LKA	M	2597
Blacktown (C)	MKD	F	104
Blacktown (C)	MKD	M	86
Blacktown (C)	MLT	F	1113
Blacktown (C)	MLT	M	1158
Blacktown (C)	MMR	F	420
Blacktown (C)	MMR	M	400
Blacktown (C)	MUS	F	371
Blacktown (C)	MUS	M	307
Blacktown (C)	MYS	F	729
Blacktown (C)	MYS	M	616
Blacktown (C)	NLD	F	238
Blacktown (C)	NLD	M	251
Blacktown (C)	NPL	F	697
Blacktown (C)	NPL	M	694
Blacktown (C)	NZL	F	3977
Blacktown (C)	NZL	M	4069
Blacktown (C)	PAK	F	1927
Blacktown (C)	PAK	M	2187
Blacktown (C)	PHL	F	12082
Blacktown (C)	PHL	M	9828
Blacktown (C)	PNG	F	82
Blacktown (C)	PNG	M	62
Blacktown (C)	POL	F	522
Blacktown (C)	POL	M	404
Blacktown (C)	SGP	F	275
Blacktown (C)	SGP	M	271
Blacktown (C)	THA	F	442
Blacktown (C)	THA	M	178
Blacktown (C)	TUR	F	671
Blacktown (C)	TUR	M	666
Blacktown (C)	TWN	F	165
Blacktown (C)	TWN	M	117
Blacktown (C)	USA	F	394
Blacktown (C)	USA	M	424
Blacktown (C)	VNM	F	559
Blacktown (C)	VNM	M	434
Blacktown (C)	ZAF	F	931
Blacktown (C)	ZAF	M	855
Blacktown (C)	ZWE	F	165
Blacktown (C)	ZWE	M	157
Bland (A)		F	407
Bland (A)		M	389
Bland (A)	AUS	F	2442
Bland (A)	AUS	M	2454
Bland (A)	CAN	M	4
Bland (A)	CHN	F	3
Bland (A)	CHN	M	3
Bland (A)	DEU	M	3
Bland (A)	GBR	F	45
Bland (A)	GBR	M	35
Bland (A)	HKG	F	3
Bland (A)	HKG	M	3
Bland (A)	IDN	F	3
Bland (A)	IND	F	8
Bland (A)	IND	M	6
Bland (A)	IRL	M	4
Bland (A)	LKA	F	3
Bland (A)	LKA	M	7
Bland (A)	NLD	F	3
Bland (A)	NLD	M	4
Bland (A)	NZL	F	15
Bland (A)	NZL	M	19
Bland (A)	PHL	F	17
Bland (A)	PHL	M	5
Bland (A)	PNG	F	13
Bland (A)	PNG	M	13
Bland (A)	THA	F	3
Bland (A)	TWN	F	3
Bland (A)	USA	F	3
Bland (A)	VNM	M	3
Bland (A)	ZAF	F	7
Bland (A)	ZAF	M	9
Bland (A)	ZWE	F	3
Blayney (A)		F	312
Blayney (A)		M	325
Blayney (A)	AUS	F	3128
Blayney (A)	AUS	M	3078
Blayney (A)	CAN	F	3
Blayney (A)	CHN	F	5
Blayney (A)	CHN	M	3
Blayney (A)	DEU	F	9
Blayney (A)	DEU	M	16
Blayney (A)	FRA	M	5
Blayney (A)	GBR	F	93
Blayney (A)	GBR	M	87
Blayney (A)	IDN	F	4
Blayney (A)	IDN	M	3
Blayney (A)	IRL	F	3
Blayney (A)	IRL	M	3
Blayney (A)	LBN	M	3
Blayney (A)	LKA	M	3
Blayney (A)	MLT	F	3
Blayney (A)	NLD	F	8
Blayney (A)	NLD	M	6
Blayney (A)	NZL	F	36
Blayney (A)	NZL	M	39
Blayney (A)	PHL	F	12
Blayney (A)	PHL	M	3
Blayney (A)	POL	F	3
Blayney (A)	POL	M	3
Blayney (A)	THA	M	3
Blayney (A)	USA	F	6
Blayney (A)	USA	M	3
Blayney (A)	VNM	M	3
Blayney (A)	ZAF	F	4
Blayney (A)	ZAF	M	5
Blayney (A)	ZWE	F	3
Blue Mountains (C)		F	2785
Blue Mountains (C)		M	2607
Blue Mountains (C)	AFG	M	4
Blue Mountains (C)	AUS	F	30955
Blue Mountains (C)	AUS	M	29075
Blue Mountains (C)	BGD	M	3
Blue Mountains (C)	BIH	F	8
Blue Mountains (C)	BIH	M	10
Blue Mountains (C)	CAN	F	104
Blue Mountains (C)	CAN	M	96
Blue Mountains (C)	CHL	F	53
Blue Mountains (C)	CHL	M	47
Blue Mountains (C)	CHN	F	132
Blue Mountains (C)	CHN	M	85
Blue Mountains (C)	DEU	F	300
Blue Mountains (C)	DEU	M	261
Blue Mountains (C)	EGY	F	31
Blue Mountains (C)	EGY	M	27
Blue Mountains (C)	FJI	F	54
Blue Mountains (C)	FJI	M	29
Blue Mountains (C)	FRA	F	56
Blue Mountains (C)	FRA	M	47
Blue Mountains (C)	GBR	F	2593
Blue Mountains (C)	GBR	M	2573
Blue Mountains (C)	GRC	F	28
Blue Mountains (C)	GRC	M	41
Blue Mountains (C)	HKG	F	46
Blue Mountains (C)	HKG	M	47
Blue Mountains (C)	HRV	F	41
Blue Mountains (C)	HRV	M	33
Blue Mountains (C)	IDN	F	82
Blue Mountains (C)	IDN	M	47
Blue Mountains (C)	IND	F	117
Blue Mountains (C)	IND	M	142
Blue Mountains (C)	IRL	F	119
Blue Mountains (C)	IRL	M	165
Blue Mountains (C)	IRN	F	8
Blue Mountains (C)	IRN	M	19
Blue Mountains (C)	IRQ	F	11
Blue Mountains (C)	IRQ	M	9
Blue Mountains (C)	ITA	F	75
Blue Mountains (C)	ITA	M	98
Blue Mountains (C)	JPN	F	74
Blue Mountains (C)	JPN	M	34
Blue Mountains (C)	KHM	F	21
Blue Mountains (C)	KHM	M	20
Blue Mountains (C)	KOR	F	55
Blue Mountains (C)	KOR	M	39
Blue Mountains (C)	LBN	F	25
Blue Mountains (C)	LBN	M	27
Blue Mountains (C)	LKA	F	27
Blue Mountains (C)	LKA	M	36
Blue Mountains (C)	MKD	F	4
Blue Mountains (C)	MKD	M	4
Blue Mountains (C)	MLT	F	49
Blue Mountains (C)	MLT	M	37
Blue Mountains (C)	MMR	F	11
Blue Mountains (C)	MMR	M	4
Blue Mountains (C)	MUS	F	23
Blue Mountains (C)	MUS	M	24
Blue Mountains (C)	MYS	F	88
Blue Mountains (C)	MYS	M	66
Blue Mountains (C)	NLD	F	185
Blue Mountains (C)	NLD	M	178
Blue Mountains (C)	NPL	F	9
Blue Mountains (C)	NPL	M	7
Blue Mountains (C)	NZL	F	610
Blue Mountains (C)	NZL	M	508
Blue Mountains (C)	PAK	F	10
Blue Mountains (C)	PAK	M	18
Blue Mountains (C)	PHL	F	187
Blue Mountains (C)	PHL	M	73
Blue Mountains (C)	PNG	F	43
Blue Mountains (C)	PNG	M	30
Blue Mountains (C)	POL	F	110
Blue Mountains (C)	POL	M	73
Blue Mountains (C)	SGP	F	34
Blue Mountains (C)	SGP	M	34
Blue Mountains (C)	THA	F	86
Blue Mountains (C)	THA	M	34
Blue Mountains (C)	TUR	F	4
Blue Mountains (C)	TUR	M	11
Blue Mountains (C)	TWN	F	15
Blue Mountains (C)	TWN	M	12
Blue Mountains (C)	USA	F	253
Blue Mountains (C)	USA	M	194
Blue Mountains (C)	VNM	F	71
Blue Mountains (C)	VNM	M	57
Blue Mountains (C)	ZAF	F	166
Blue Mountains (C)	ZAF	M	125
Blue Mountains (C)	ZWE	F	13
Blue Mountains (C)	ZWE	M	18
Bogan (A)		F	160
Bogan (A)		M	182
Bogan (A)	AUS	F	1120
Bogan (A)	AUS	M	1116
Bogan (A)	CHN	F	3
Bogan (A)	FJI	M	6
Bogan (A)	GBR	F	4
Bogan (A)	GBR	M	11
Bogan (A)	IND	F	3
Bogan (A)	IND	M	8
Bogan (A)	NZL	F	10
Bogan (A)	NZL	M	8
Bogan (A)	PAK	F	3
Bogan (A)	PAK	M	6
Bogan (A)	PHL	F	4
Bogan (A)	PHL	M	3
Bogan (A)	PNG	F	3
Bogan (A)	PNG	M	3
Bogan (A)	USA	M	4
Bogan (A)	ZAF	F	3
Bogan (A)	ZAF	M	3
Bogan (A)	ZWE	F	3
Bogan (A)	ZWE	M	3
Botany Bay (C)		F	3314
Botany Bay (C)		M	3233
Botany Bay (C)	AFG	F	11
Botany Bay (C)	AFG	M	11
Botany Bay (C)	AUS	F	11185
Botany Bay (C)	AUS	M	11503
