SA3_NAME16	IndigenousStatus	persons
Moree - Narrabri	Torres Strait Islander	49
Tamworth - Gunnedah	Aboriginal	8352
Tamworth - Gunnedah	Both Aboriginal & Torres Strait Islander	152
Tamworth - Gunnedah	Non-indigenous	71825
Tamworth - Gunnedah	Torres Strait Islander	167
Lake Macquarie - East	Aboriginal	4186
Lake Macquarie - East	Both Aboriginal & Torres Strait Islander	65
Lake Macquarie - East	Non-indigenous	115706
Lake Macquarie - East	Torres Strait Islander	57
Lake Macquarie - West	Aboriginal	3487
Lake Macquarie - West	Both Aboriginal & Torres Strait Islander	88
Lake Macquarie - West	Non-indigenous	71528
Lake Macquarie - West	Torres Strait Islander	102
Newcastle	Aboriginal	5682
Newcastle	Both Aboriginal & Torres Strait Islander	120
Newcastle	Non-indigenous	157969
Newcastle	Torres Strait Islander	113
Richmond Valley - Coastal	Aboriginal	2003
Richmond Valley - Coastal	Both Aboriginal & Torres Strait Islander	74
Richmond Valley - Coastal	Non-indigenous	76100
Richmond Valley - Coastal	Torres Strait Islander	103
Richmond Valley - Hinterland	Aboriginal	3777
Richmond Valley - Hinterland	Both Aboriginal & Torres Strait Islander	79
Richmond Valley - Hinterland	Non-indigenous	66007
Richmond Valley - Hinterland	Torres Strait Islander	87
Tweed Valley	Aboriginal	3055
Tweed Valley	Both Aboriginal & Torres Strait Islander	304
Tweed Valley	Non-indigenous	87754
Tweed Valley	Torres Strait Islander	258
Griffith - Murrumbidgee (West)	Aboriginal	2823
Griffith - Murrumbidgee (West)	Both Aboriginal & Torres Strait Islander	27
Griffith - Murrumbidgee (West)	Non-indigenous	45243
Griffith - Murrumbidgee (West)	Torres Strait Islander	51
Tumut - Tumbarumba	Aboriginal	615
Tumut - Tumbarumba	Both Aboriginal & Torres Strait Islander	11
Tumut - Tumbarumba	Non-indigenous	13796
Tumut - Tumbarumba	Torres Strait Islander	15
Wagga Wagga	Aboriginal	4733
Wagga Wagga	Both Aboriginal & Torres Strait Islander	72
Wagga Wagga	Non-indigenous	88459
Wagga Wagga	Torres Strait Islander	93
Shoalhaven	Aboriginal	5300
Shoalhaven	Both Aboriginal & Torres Strait Islander	70
Shoalhaven	Non-indigenous	93996
Shoalhaven	Torres Strait Islander	124
Southern Highlands	Aboriginal	910
Southern Highlands	Both Aboriginal & Torres Strait Islander	20
Southern Highlands	Non-indigenous	46915
Southern Highlands	Torres Strait Islander	24
Baulkham Hills	Aboriginal	520
Baulkham Hills	Both Aboriginal & Torres Strait Islander	17
Baulkham Hills	Non-indigenous	143193
Baulkham Hills	Torres Strait Islander	8
Dural - Wisemans Ferry	Aboriginal	187
Dural - Wisemans Ferry	Non-indigenous	26031
Dural - Wisemans Ferry	Torres Strait Islander	11
Hawkesbury	Aboriginal	653
Hawkesbury	Both Aboriginal & Torres Strait Islander	12
Hawkesbury	Non-indigenous	23915
Hawkesbury	Torres Strait Islander	8
Rouse Hill - McGraths Hill	Aboriginal	406
Rouse Hill - McGraths Hill	Non-indigenous	32767
Rouse Hill - McGraths Hill	Torres Strait Islander	9
Blacktown	Aboriginal	2684
Blacktown	Both Aboriginal & Torres Strait Islander	73
Blacktown	Non-indigenous	131892
Blacktown	Torres Strait Islander	104
Blacktown - North	Aboriginal	1304
Blacktown - North	Both Aboriginal & Torres Strait Islander	38
Blacktown - North	Non-indigenous	91455
Blacktown - North	Torres Strait Islander	26
Mount Druitt	Aboriginal	5122
Mount Druitt	Both Aboriginal & Torres Strait Islander	76
Mount Druitt	Non-indigenous	106754
Mount Druitt	Torres Strait Islander	114
Botany	Aboriginal	769
Botany	Both Aboriginal & Torres Strait Islander	23
Botany	Non-indigenous	45875
Botany	Torres Strait Islander	26
Marrickville - Sydenham - Petersham	Aboriginal	794
Marrickville - Sydenham - Petersham	Both Aboriginal & Torres Strait Islander	17
Marrickville - Sydenham - Petersham	Non-indigenous	53789
Marrickville - Sydenham - Petersham	Torres Strait Islander	9
Sydney Inner City	Aboriginal	2298
Sydney Inner City	Both Aboriginal & Torres Strait Islander	96
Sydney Inner City	Non-indigenous	211760
Sydney Inner City	Torres Strait Islander	95
Eastern Suburbs - North	Aboriginal	411
Eastern Suburbs - North	Both Aboriginal & Torres Strait Islander	20
Eastern Suburbs - North	Non-indigenous	125922
Eastern Suburbs - North	Torres Strait Islander	29
Eastern Suburbs - South	Aboriginal	2044
Eastern Suburbs - South	Both Aboriginal & Torres Strait Islander	38
Eastern Suburbs - South	Non-indigenous	138512
Eastern Suburbs - South	Torres Strait Islander	60
Bankstown	Aboriginal	1340
Bankstown	Both Aboriginal & Torres Strait Islander	22
Bankstown	Non-indigenous	170015
Bankstown	Torres Strait Islander	52
Canterbury	Aboriginal	697
Canterbury	Both Aboriginal & Torres Strait Islander	21
Canterbury	Non-indigenous	134299
Canterbury	Torres Strait Islander	53
Hurstville	Aboriginal	680
Hurstville	Both Aboriginal & Torres Strait Islander	8
Hurstville	Non-indigenous	126474
Hurstville	Torres Strait Islander	31
Kogarah - Rockdale	Aboriginal	834
Kogarah - Rockdale	Both Aboriginal & Torres Strait Islander	22
Kogarah - Rockdale	Non-indigenous	136824
Kogarah - Rockdale	Torres Strait Islander	43
Canada Bay	Aboriginal	382
Canada Bay	Both Aboriginal & Torres Strait Islander	5
Canada Bay	Non-indigenous	84946
Canada Bay	Torres Strait Islander	23
Leichhardt	Aboriginal	536
Leichhardt	Both Aboriginal & Torres Strait Islander	17
Leichhardt	Non-indigenous	55489
Leichhardt	Torres Strait Islander	24
Strathfield - Burwood - Ashfield	Aboriginal	886
Strathfield - Burwood - Ashfield	Both Aboriginal & Torres Strait Islander	29
Strathfield - Burwood - Ashfield	Non-indigenous	150925
Strathfield - Burwood - Ashfield	Torres Strait Islander	33
Chatswood - Lane Cove	Aboriginal	242
Chatswood - Lane Cove	Both Aboriginal & Torres Strait Islander	5
Chatswood - Lane Cove	Non-indigenous	111992
Chatswood - Lane Cove	Torres Strait Islander	6
Hornsby	Aboriginal	449
Hornsby	Both Aboriginal & Torres Strait Islander	3
Hornsby	Non-indigenous	80142
Hornsby	Torres Strait Islander	9
Ku-ring-gai	Aboriginal	197
Ku-ring-gai	Both Aboriginal & Torres Strait Islander	6
Ku-ring-gai	Non-indigenous	118151
Ku-ring-gai	Torres Strait Islander	17
North Sydney - Mosman	Aboriginal	223
North Sydney - Mosman	Both Aboriginal & Torres Strait Islander	6
North Sydney - Mosman	Non-indigenous	93886
North Sydney - Mosman	Torres Strait Islander	24
Manly	Aboriginal	143
Manly	Both Aboriginal & Torres Strait Islander	6
Manly	Non-indigenous	41732
Manly	Torres Strait Islander	7
Pittwater	Aboriginal	359
Pittwater	Both Aboriginal & Torres Strait Islander	11
Pittwater	Non-indigenous	60057
Pittwater	Torres Strait Islander	11
Warringah	Aboriginal	808
Warringah	Both Aboriginal & Torres Strait Islander	14
Warringah	Non-indigenous	149682
Warringah	Torres Strait Islander	39
Camden	Aboriginal	1623
Camden	Both Aboriginal & Torres Strait Islander	10
Camden	Non-indigenous	60863
Camden	Torres Strait Islander	14
Campbelltown (NSW)	Aboriginal	5773
Campbelltown (NSW)	Both Aboriginal & Torres Strait Islander	104
Campbelltown (NSW)	Non-indigenous	152388
Campbelltown (NSW)	Torres Strait Islander	136
Wollondilly	Aboriginal	1284
Wollondilly	Both Aboriginal & Torres Strait Islander	12
Wollondilly	Non-indigenous	39830
Wollondilly	Torres Strait Islander	26
Blue Mountains	Aboriginal	1753
Blue Mountains	Both Aboriginal & Torres Strait Islander	36
Blue Mountains	Non-indigenous	74872
Blue Mountains	Torres Strait Islander	33
Blue Mountains - South	Non-indigenous	3
Penrith	Aboriginal	5218
Penrith	Both Aboriginal & Torres Strait Islander	47
Penrith	Non-indigenous	134334
Penrith	Torres Strait Islander	93
Richmond - Windsor	Aboriginal	1920
Richmond - Windsor	Both Aboriginal & Torres Strait Islander	14
Richmond - Windsor	Non-indigenous	34575
Richmond - Windsor	Torres Strait Islander	38
St Marys	Aboriginal	2021
St Marys	Both Aboriginal & Torres Strait Islander	36
St Marys	Non-indigenous	51889
St Marys	Torres Strait Islander	47
Auburn	Aboriginal	579
Auburn	Both Aboriginal & Torres Strait Islander	8
Auburn	Non-indigenous	89053
Auburn	Torres Strait Islander	30
Carlingford	Aboriginal	390
Carlingford	Both Aboriginal & Torres Strait Islander	14
Carlingford	Non-indigenous	66155
Carlingford	Torres Strait Islander	11
Merrylands - Guildford	Aboriginal	1213
Merrylands - Guildford	Both Aboriginal & Torres Strait Islander	32
Merrylands - Guildford	Non-indigenous	149970
Merrylands - Guildford	Torres Strait Islander	47
Parramatta	Aboriginal	928
Parramatta	Both Aboriginal & Torres Strait Islander	15
Parramatta	Non-indigenous	139912
Parramatta	Torres Strait Islander	36
Pennant Hills - Epping	Aboriginal	93
Pennant Hills - Epping	Non-indigenous	47494
Pennant Hills - Epping	Torres Strait Islander	3
Ryde - Hunters Hill	Aboriginal	476
Ryde - Hunters Hill	Both Aboriginal & Torres Strait Islander	15
Ryde - Hunters Hill	Non-indigenous	134014
Ryde - Hunters Hill	Torres Strait Islander	23
Bringelly - Green Valley	Aboriginal	1668
Bringelly - Green Valley	Both Aboriginal & Torres Strait Islander	19
Bringelly - Green Valley	Non-indigenous	101094
Bringelly - Green Valley	Torres Strait Islander	30
Fairfield	Aboriginal	1295
Fairfield	Both Aboriginal & Torres Strait Islander	13
Fairfield	Non-indigenous	184416
Fairfield	Torres Strait Islander	78
Liverpool	Aboriginal	1502
Liverpool	Both Aboriginal & Torres Strait Islander	14
Liverpool	Non-indigenous	115796
Liverpool	Torres Strait Islander	44
Cronulla - Miranda - Caringbah	Aboriginal	1102
Cronulla - Miranda - Caringbah	Both Aboriginal & Torres Strait Islander	24
Cronulla - Miranda - Caringbah	Non-indigenous	108668
Cronulla - Miranda - Caringbah	Torres Strait Islander	47
Sutherland - Menai - Heathcote	Aboriginal	1178
Sutherland - Menai - Heathcote	Both Aboriginal & Torres Strait Islander	27
Sutherland - Menai - Heathcote	Non-indigenous	106799
Sutherland - Menai - Heathcote	Torres Strait Islander	32
Migratory - Offshore - Shipping (NSW)	Aboriginal	10
Migratory - Offshore - Shipping (NSW)	Non-indigenous	402
No usual address (NSW)	Aboriginal	789
No usual address (NSW)	Both Aboriginal & Torres Strait Islander	25
No usual address (NSW)	Non-indigenous	11448
No usual address (NSW)	Torres Strait Islander	26
Ballarat	Aboriginal	1400
Ballarat	Both Aboriginal & Torres Strait Islander	30
Ballarat	Non-indigenous	102317
Ballarat	Torres Strait Islander	68
Creswick - Daylesford - Ballan	Aboriginal	257
Creswick - Daylesford - Ballan	Both Aboriginal & Torres Strait Islander	12
Creswick - Daylesford - Ballan	Non-indigenous	28025
Creswick - Daylesford - Ballan	Torres Strait Islander	13
Maryborough - Pyrenees	Aboriginal	351
Maryborough - Pyrenees	Both Aboriginal & Torres Strait Islander	12
Maryborough - Pyrenees	Non-indigenous	24978
Maryborough - Pyrenees	Torres Strait Islander	24
Bendigo	Aboriginal	1574
Bendigo	Both Aboriginal & Torres Strait Islander	39
Bendigo	Non-indigenous	92710
Bendigo	Torres Strait Islander	55
Heathcote - Castlemaine - Kyneton	Aboriginal	420
Heathcote - Castlemaine - Kyneton	Both Aboriginal & Torres Strait Islander	4
Heathcote - Castlemaine - Kyneton	Non-indigenous	46856
Heathcote - Castlemaine - Kyneton	Torres Strait Islander	11
Loddon - Elmore	Aboriginal	152
Loddon - Elmore	Both Aboriginal & Torres Strait Islander	7
Loddon - Elmore	Non-indigenous	11253
Loddon - Elmore	Torres Strait Islander	9
Barwon - West	Aboriginal	133
Barwon - West	Both Aboriginal & Torres Strait Islander	4
Barwon - West	Non-indigenous	18873
Barwon - West	Torres Strait Islander	8
Geelong	Aboriginal	1916
Geelong	Both Aboriginal & Torres Strait Islander	45
Geelong	Non-indigenous	186131
Geelong	Torres Strait Islander	88
Surf Coast - Bellarine Peninsula	Aboriginal	495
Surf Coast - Bellarine Peninsula	Both Aboriginal & Torres Strait Islander	10
Surf Coast - Bellarine Peninsula	Non-indigenous	71210
Surf Coast - Bellarine Peninsula	Torres Strait Islander	14
Upper Goulburn Valley	Aboriginal	667
Upper Goulburn Valley	Both Aboriginal & Torres Strait Islander	13
Upper Goulburn Valley	Non-indigenous	53129
Upper Goulburn Valley	Torres Strait Islander	31
Wangaratta - Benalla	Aboriginal	631
Wangaratta - Benalla	Both Aboriginal & Torres Strait Islander	8
Wangaratta - Benalla	Non-indigenous	45443
Wangaratta - Benalla	Torres Strait Islander	18
Wodonga - Alpine	Aboriginal	1229
Wodonga - Alpine	Both Aboriginal & Torres Strait Islander	34
Wodonga - Alpine	Non-indigenous	68927
Wodonga - Alpine	Torres Strait Islander	59
Baw Baw	Aboriginal	447
Baw Baw	Both Aboriginal & Torres Strait Islander	14
Baw Baw	Non-indigenous	48147
Baw Baw	Torres Strait Islander	18
Gippsland - East	Aboriginal	1266
Gippsland - East	Both Aboriginal & Torres Strait Islander	9
Gippsland - East	Non-indigenous	43858
Gippsland - East	Torres Strait Islander	13
Gippsland - South West	Aboriginal	508
Gippsland - South West	Both Aboriginal & Torres Strait Islander	34
Gippsland - South West	Non-indigenous	61087
Gippsland - South West	Torres Strait Islander	39
Latrobe Valley	Aboriginal	1102
Latrobe Valley	Both Aboriginal & Torres Strait Islander	37
Latrobe Valley	Non-indigenous	71915
Latrobe Valley	Torres Strait Islander	45
Wellington	Aboriginal	608
Wellington	Both Aboriginal & Torres Strait Islander	20
Wellington	Non-indigenous	42221
Wellington	Torres Strait Islander	22
Brunswick - Coburg	Aboriginal	407
Brunswick - Coburg	Both Aboriginal & Torres Strait Islander	9
Brunswick - Coburg	Non-indigenous	85821
Brunswick - Coburg	Torres Strait Islander	20
Darebin - South	Aboriginal	309
Darebin - South	Both Aboriginal & Torres Strait Islander	4
Darebin - South	Non-indigenous	51739
Darebin - South	Torres Strait Islander	13
Essendon	Aboriginal	249
Essendon	Both Aboriginal & Torres Strait Islander	10
Essendon	Non-indigenous	66329
Essendon	Torres Strait Islander	7
Melbourne City	Aboriginal	421
Melbourne City	Both Aboriginal & Torres Strait Islander	25
Melbourne City	Non-indigenous	135498
Melbourne City	Torres Strait Islander	25
Port Phillip	Aboriginal	357
Port Phillip	Both Aboriginal & Torres Strait Islander	13
Port Phillip	Non-indigenous	100484
Port Phillip	Torres Strait Islander	18
Stonnington - West	Aboriginal	200
Stonnington - West	Both Aboriginal & Torres Strait Islander	5
Stonnington - West	Non-indigenous	62252
Stonnington - West	Torres Strait Islander	10
Yarra	Aboriginal	354
Yarra	Both Aboriginal & Torres Strait Islander	10
Yarra	Non-indigenous	87069
Yarra	Torres Strait Islander	20
Boroondara	Aboriginal	291
Boroondara	Both Aboriginal & Torres Strait Islander	8
Boroondara	Non-indigenous	166914
Boroondara	Torres Strait Islander	18
Manningham - West	Aboriginal	132
Manningham - West	Both Aboriginal & Torres Strait Islander	8
Manningham - West	Non-indigenous	90216
Manningham - West	Torres Strait Islander	13
Whitehorse - West	Aboriginal	184
Whitehorse - West	Both Aboriginal & Torres Strait Islander	3
Whitehorse - West	Non-indigenous	101834
Whitehorse - West	Torres Strait Islander	19
Bayside	Aboriginal	178
Bayside	Non-indigenous	96895
Bayside	Torres Strait Islander	14
Glen Eira	Aboriginal	236
Glen Eira	Both Aboriginal & Torres Strait Islander	9
Glen Eira	Non-indigenous	148177
Glen Eira	Torres Strait Islander	15
Kingston	Aboriginal	453
Kingston	Both Aboriginal & Torres Strait Islander	16
Kingston	Non-indigenous	116310
Kingston	Torres Strait Islander	38
Stonnington - East	Aboriginal	86
Stonnington - East	Non-indigenous	41281
Banyule	Aboriginal	669
Banyule	Both Aboriginal & Torres Strait Islander	13
Banyule	Non-indigenous	121158
Banyule	Torres Strait Islander	25
Darebin - North	Aboriginal	795
Darebin - North	Both Aboriginal & Torres Strait Islander	21
Darebin - North	Non-indigenous	93814
Darebin - North	Torres Strait Islander	23
Nillumbik - Kinglake	Aboriginal	269
Nillumbik - Kinglake	Non-indigenous	64842
Nillumbik - Kinglake	Torres Strait Islander	12
Whittlesea - Wallan	Aboriginal	1762
Whittlesea - Wallan	Both Aboriginal & Torres Strait Islander	68
Whittlesea - Wallan	Non-indigenous	211821
Whittlesea - Wallan	Torres Strait Islander	57
Keilor	Aboriginal	166
Keilor	Both Aboriginal & Torres Strait Islander	4
Keilor	Non-indigenous	58378
Keilor	Torres Strait Islander	17
Macedon Ranges	Aboriginal	181
Macedon Ranges	Both Aboriginal & Torres Strait Islander	5
Macedon Ranges	Non-indigenous	29372
Macedon Ranges	Torres Strait Islander	16
Moreland - North	Aboriginal	327
Moreland - North	Both Aboriginal & Torres Strait Islander	19
Moreland - North	Non-indigenous	75132
Moreland - North	Torres Strait Islander	28
Sunbury	Aboriginal	371
Sunbury	Both Aboriginal & Torres Strait Islander	9
Sunbury	Non-indigenous	38961
Sunbury	Torres Strait Islander	28
Tullamarine - Broadmeadows	Aboriginal	992
Tullamarine - Broadmeadows	Both Aboriginal & Torres Strait Islander	25
Tullamarine - Broadmeadows	Non-indigenous	159262
Tullamarine - Broadmeadows	Torres Strait Islander	74
Knox	Aboriginal	710
Knox	Both Aboriginal & Torres Strait Islander	8
Knox	Non-indigenous	153401
Knox	Torres Strait Islander	35
Manningham - East	Aboriginal	48
Manningham - East	Non-indigenous	25927
Manningham - East	Torres Strait Islander	11
Maroondah	Aboriginal	533
Maroondah	Both Aboriginal & Torres Strait Islander	10
Maroondah	Non-indigenous	109362
Maroondah	Torres Strait Islander	28
Whitehorse - East	Aboriginal	139
Whitehorse - East	Both Aboriginal & Torres Strait Islander	3
Whitehorse - East	Non-indigenous	60617
Whitehorse - East	Torres Strait Islander	10
Yarra Ranges	Aboriginal	1274
Yarra Ranges	Both Aboriginal & Torres Strait Islander	38
Yarra Ranges	Non-indigenous	147401
Yarra Ranges	Torres Strait Islander	47
Cardinia	Aboriginal	726
Cardinia	Both Aboriginal & Torres Strait Islander	17
Cardinia	Non-indigenous	93515
Cardinia	Torres Strait Islander	30
Casey - North	Aboriginal	545
Casey - North	Both Aboriginal & Torres Strait Islander	19
Casey - North	Non-indigenous	130513
Casey - North	Torres Strait Islander	42
Casey - South	Aboriginal	942
Casey - South	Both Aboriginal & Torres Strait Islander	20
Casey - South	Non-indigenous	167173
Casey - South	Torres Strait Islander	42
Dandenong	Aboriginal	509
Dandenong	Both Aboriginal & Torres Strait Islander	23
Dandenong	Non-indigenous	186036
Dandenong	Torres Strait Islander	55
Monash	Aboriginal	360
Monash	Both Aboriginal & Torres Strait Islander	19
Monash	Non-indigenous	174656
Monash	Torres Strait Islander	21
Brimbank	Aboriginal	710
Brimbank	Both Aboriginal & Torres Strait Islander	15
Brimbank	Non-indigenous	185030
Brimbank	Torres Strait Islander	61
Hobsons Bay	Aboriginal	403
Hobsons Bay	Both Aboriginal & Torres Strait Islander	10
Hobsons Bay	Non-indigenous	83575
Hobsons Bay	Torres Strait Islander	18
Maribyrnong	Aboriginal	399
Maribyrnong	Non-indigenous	81859
Maribyrnong	Torres Strait Islander	30
Melton - Bacchus Marsh	Aboriginal	1449
Melton - Bacchus Marsh	Both Aboriginal & Torres Strait Islander	24
Melton - Bacchus Marsh	Non-indigenous	151928
Melton - Bacchus Marsh	Torres Strait Islander	37
Wyndham	Aboriginal	1715
Wyndham	Both Aboriginal & Torres Strait Islander	30
Wyndham	Non-indigenous	220102
Wyndham	Torres Strait Islander	48
Frankston	Aboriginal	1236
Frankston	Both Aboriginal & Torres Strait Islander	36
Frankston	Non-indigenous	132811
Frankston	Torres Strait Islander	60
Mornington Peninsula	Aboriginal	1202
Mornington Peninsula	Both Aboriginal & Torres Strait Islander	30
Mornington Peninsula	Non-indigenous	153695
Mornington Peninsula	Torres Strait Islander	72
Grampians	Aboriginal	761
Grampians	Both Aboriginal & Torres Strait Islander	23
Grampians	Non-indigenous	57987
Grampians	Torres Strait Islander	49
Mildura	Aboriginal	1963
Mildura	Both Aboriginal & Torres Strait Islander	44
Mildura	Non-indigenous	51813
Mildura	Torres Strait Islander	58
Murray River - Swan Hill	Aboriginal	1026
Murray River - Swan Hill	Both Aboriginal & Torres Strait Islander	26
Murray River - Swan Hill	Non-indigenous	36235
Murray River - Swan Hill	Torres Strait Islander	49
Campaspe	Aboriginal	825
Campaspe	Both Aboriginal & Torres Strait Islander	22
Campaspe	Non-indigenous	36325
Campaspe	Torres Strait Islander	36
Moira	Aboriginal	466
Moira	Both Aboriginal & Torres Strait Islander	11
Moira	Non-indigenous	28616
Moira	Torres Strait Islander	19
Shepparton	Aboriginal	2061
Shepparton	Both Aboriginal & Torres Strait Islander	67
Shepparton	Non-indigenous	61460
Shepparton	Torres Strait Islander	61
Glenelg - Southern Grampians	Aboriginal	679
Glenelg - Southern Grampians	Both Aboriginal & Torres Strait Islander	27
Glenelg - Southern Grampians	Non-indigenous	34839
Glenelg - Southern Grampians	Torres Strait Islander	13
Colac - Corangamite	Aboriginal	379
Colac - Corangamite	Both Aboriginal & Torres Strait Islander	3
Colac - Corangamite	Non-indigenous	36637
Colac - Corangamite	Torres Strait Islander	21
Warrnambool	Aboriginal	721
Warrnambool	Both Aboriginal & Torres Strait Islander	14
Warrnambool	Non-indigenous	49348
Warrnambool	Torres Strait Islander	16
Migratory - Offshore - Shipping (Vic.)	Non-indigenous	29
No usual address (Vic.)	Aboriginal	247
No usual address (Vic.)	Both Aboriginal & Torres Strait Islander	11
No usual address (Vic.)	Non-indigenous	7291
No usual address (Vic.)	Torres Strait Islander	16
Capalaba	Aboriginal	1402
Capalaba	Both Aboriginal & Torres Strait Islander	72
Capalaba	Non-indigenous	70005
Capalaba	Torres Strait Islander	90
Cleveland - Stradbroke	Aboriginal	1746
Cleveland - Stradbroke	Both Aboriginal & Torres Strait Islander	99
Cleveland - Stradbroke	Non-indigenous	80867
