SA2_NAME16	AustCitizen	persons
Chittaway Bay - Tumbi Umbi	1	14071
Gorokan - Kanwal - Charmhaven	0	2580
Gorokan - Kanwal - Charmhaven	1	19529
Jilliby - Yarramalong	0	407
Jilliby - Yarramalong	1	2951
Lake Munmorah - Mannering Park	0	936
Lake Munmorah - Mannering Park	1	9792
Ourimbah - Fountaindale	0	458
Ourimbah - Fountaindale	1	4397
Summerland Point - Gwandalan	0	422
Summerland Point - Gwandalan	1	5346
The Entrance	0	1755
The Entrance	1	13186
Toukley - Norah Head	0	1164
Toukley - Norah Head	1	8609
Tuggerah - Kangy Angy	0	674
Tuggerah - Kangy Angy	1	4629
Warnervale - Wadalba	0	1519
Warnervale - Wadalba	1	13703
Wyong	0	1226
Wyong	1	7596
Bathurst	0	3299
Bathurst	1	20534
Bathurst - East	0	1008
Bathurst - East	1	10181
Bathurst Region	0	1009
Bathurst Region	1	5901
Oberon	0	794
Oberon	1	3868
Condobolin	0	877
Condobolin	1	5753
Cowra	0	865
Cowra	1	8281
Cowra Region	0	506
Cowra Region	1	4941
Forbes	0	1007
Forbes	1	9158
Grenfell	0	399
Grenfell	1	3253
Parkes (NSW)	0	1221
Parkes (NSW)	1	9756
Parkes Region	0	390
Parkes Region	1	3000
West Wyalong	0	808
West Wyalong	1	5118
Lithgow	0	1875
Lithgow	1	10943
Lithgow Region	0	1197
Lithgow Region	1	7065
Mudgee	0	1320
Mudgee	1	10408
Mudgee Region - East	0	483
Mudgee Region - East	1	2961
Mudgee Region - West	0	1539
Mudgee Region - West	1	8820
Wollangambe - Wollemi	0	0
Wollangambe - Wollemi	1	0
Blayney	0	646
Blayney	1	6625
Orange	0	2253
Orange	1	16756
Orange - North	0	1896
Orange - North	1	17832
Orange Region	0	1033
Orange Region	1	10570
Grafton	0	1781
Grafton	1	16887
Grafton Region	0	1627
Grafton Region	1	13684
Maclean - Yamba - Iluka	0	1628
Maclean - Yamba - Iluka	1	14651
Bellingen	0	645
Bellingen	1	5162
Coffs Harbour - North	0	2415
Coffs Harbour - North	1	15047
Coffs Harbour - South	0	1795
Coffs Harbour - South	1	8500
Coramba - Nana Glen - Bucca	0	458
Coramba - Nana Glen - Bucca	1	3362
Dorrigo	0	406
Dorrigo	1	2837
Korora - Emerald Beach	0	966
Korora - Emerald Beach	1	7771
Sawtell - Boambee	0	1811
Sawtell - Boambee	1	17666
Urunga	0	448
Urunga	1	4218
Woolgoolga - Arrawarra	0	1920
Woolgoolga - Arrawarra	1	10603
Bourke - Brewarrina	0	739
Bourke - Brewarrina	1	3263
Cobar	0	738
Cobar	1	3919
Coonamble	0	656
Coonamble	1	3457
Nyngan - Warren	0	650
Nyngan - Warren	1	4319
Walgett - Lightning Ridge	0	948
Walgett - Lightning Ridge	1	5464
Broken Hill	0	1716
Broken Hill	1	15992
Far West	0	401
Far West	1	2106
Coonabarabran	0	909
Coonabarabran	1	7041
Dubbo - East	0	1186
Dubbo - East	1	9192
Dubbo - South	0	2038
Dubbo - South	1	14904
Dubbo - West	0	1041
Dubbo - West	1	7727
Dubbo Region	0	570
Dubbo Region	1	5055
Gilgandra	0	406
Gilgandra	1	3967
Narromine	0	731
Narromine	1	5804
Wellington	0	1737
Wellington	1	7094
Branxton - Greta - Pokolbin	0	950
Branxton - Greta - Pokolbin	1	9175
Cessnock	0	2724
Cessnock	1	19270
Cessnock Region	0	1031
Cessnock Region	1	6900
Dungog	0	756
Dungog	1	8219
Kurri Kurri - Abermain	0	1473
Kurri Kurri - Abermain	1	16165
Singleton	0	1663
Singleton	1	14426
Singleton Region	0	748
Singleton Region	1	4171
Maitland	0	718
Maitland	1	5885
Maitland - East	0	2347
Maitland - East	1	25069
Maitland - North	0	556
Maitland - North	1	7061
Maitland - West	0	1977
Maitland - West	1	20550
Thornton - Millers Forest	0	609
Thornton - Millers Forest	1	9398
Anna Bay	0	697
Anna Bay	1	5032
Lemon Tree Passage - Tanilba Bay	0	655
Lemon Tree Passage - Tanilba Bay	1	6029
Nelson Bay Peninsula	0	2511
Nelson Bay Peninsula	1	18508
Raymond Terrace	0	1374
Raymond Terrace	1	12449
Seaham - Woodville	0	378
Seaham - Woodville	1	5037
Tea Gardens - Hawks Nest	0	496
Tea Gardens - Hawks Nest	1	4541
Williamtown - Medowie - Karuah	0	1445
Williamtown - Medowie - Karuah	1	12224
Muswellbrook	0	1562
Muswellbrook	1	10513
Muswellbrook Region	0	463
Muswellbrook Region	1	3551
Scone	0	747
Scone	1	5080
Scone Region	0	1102
Scone Region	1	7182
Dapto - Avondale	0	2113
Dapto - Avondale	1	21345
Horsley - Kembla Grange	0	777
Horsley - Kembla Grange	1	7882
Port Kembla Industrial	0	2
Port Kembla Industrial	1	8
Unanderra - Mount Kembla	0	1581
Unanderra - Mount Kembla	1	13797
Berkeley - Lake Heights - Cringila	0	1737
Berkeley - Lake Heights - Cringila	1	12064
Port Kembla - Warrawong	0	1440
Port Kembla - Warrawong	1	8309
Windang - Primbee	0	482
Windang - Primbee	1	3818
Illawarra Catchment Reserve	0	2
Illawarra Catchment Reserve	1	6
Albion Park - Macquarie Pass	0	1094
Albion Park - Macquarie Pass	1	13243
Albion Park Rail	0	709
Albion Park Rail	1	6209
Kiama	0	871
Kiama	1	6829
Kiama Downs - Minnamurra	0	495
Kiama Downs - Minnamurra	1	5380
Kiama Hinterland - Gerringong	0	908
Kiama Hinterland - Gerringong	1	6900
Shellharbour - Flinders	0	1645
Shellharbour - Flinders	1	15181
Shellharbour - Oak Flats	0	965
Shellharbour - Oak Flats	1	8992
Warilla	0	2445
Warilla	1	17976
Balgownie - Fairy Meadow	0	2880
Balgownie - Fairy Meadow	1	18316
Corrimal - Tarrawanna - Bellambi	0	1665
Corrimal - Tarrawanna - Bellambi	1	13759
Figtree - Keiraville	0	3015
Figtree - Keiraville	1	18065
Helensburgh	0	810
Helensburgh	1	7979
Thirroul - Austinmer - Coalcliff	0	1098
Thirroul - Austinmer - Coalcliff	1	10207
Woonona - Bulli - Russell Vale	0	1742
Woonona - Bulli - Russell Vale	1	18096
Wollongong - East	0	3907
Wollongong - East	1	10060
Wollongong - West	0	3814
Wollongong - West	1	12888
Bulahdelah - Stroud	0	419
Bulahdelah - Stroud	1	4304
Forster	0	1468
Forster	1	12799
Forster-Tuncurry Region	0	656
Forster-Tuncurry Region	1	5431
Tuncurry	0	636
Tuncurry	1	5550
Kempsey	0	2122
Kempsey	1	12632
Kempsey Region	0	1069
Kempsey Region	1	7956
Macksville - Scotts Head	0	466
Macksville - Scotts Head	1	4327
Nambucca Heads	0	763
Nambucca Heads	1	5987
Nambucca Heads Region	0	730
Nambucca Heads Region	1	6931
South West Rocks	0	464
South West Rocks	1	4669
Lord Howe Island	0	64
Lord Howe Island	1	318
Laurieton - Bonny Hills	0	1524
Laurieton - Bonny Hills	1	15222
Port Macquarie - East	0	2704
Port Macquarie - East	1	25346
Port Macquarie - West	0	1994
Port Macquarie - West	1	15335
Port Macquarie Region	0	678
Port Macquarie Region	1	4619
Wauchope	0	921
Wauchope	1	10230
Gloucester	0	446
Gloucester	1	4588
Old Bar - Manning Point - Red Head	0	882
Old Bar - Manning Point - Red Head	1	9655
Taree	0	1985
Taree	1	18497
Taree Region	0	1294
Taree Region	1	11144
Wingham	0	443
Wingham	1	4931
Albury - East	0	1341
Albury - East	1	13707
Albury - North	0	1243
Albury - North	1	8601
Albury - South	0	1393
Albury - South	1	8908
Albury Region	0	1002
Albury Region	1	10606
Lavington	0	1948
Lavington	1	12520
Hay	0	439
Hay	1	2530
Wentworth - Buronga	0	685
Wentworth - Buronga	1	5282
Wentworth-Balranald Region	0	550
Wentworth-Balranald Region	1	3064
Corowa	0	511
Corowa	1	4971
Corowa Region	0	779
Corowa Region	1	5957
Deniliquin	0	931
Deniliquin	1	6503
Deniliquin Region	0	727
Deniliquin Region	1	6025
Moama	0	599
Moama	1	5250
Tocumwal - Finley - Jerilderie	0	1266
Tocumwal - Finley - Jerilderie	1	8462
Armidale	0	3594
Armidale	1	19758
Armidale Region - North	0	458
Armidale Region - North	1	4030
Armidale Region - South	0	502
Armidale Region - South	1	5519
Walcha	0	419
Walcha	1	2805
Glen Innes	0	1199
Glen Innes	1	7637
Inverell	0	1149
Inverell	1	10511
Inverell Region - East	0	683
Inverell Region - East	1	4558
Inverell Region - West	0	660
Inverell Region - West	1	5328
Tenterfield	0	843
Tenterfield	1	5785
Moree	0	1201
Moree	1	6999
Moree Region	0	775
Moree Region	1	4676
Narrabri	0	870
Narrabri	1	6297
Narrabri Region	0	665
Narrabri Region	1	4133
Gunnedah	0	935
Gunnedah	1	8256
Gunnedah Region	0	440
Gunnedah Region	1	3695
Quirindi	0	833
Quirindi	1	6853
Tamworth - East	0	2244
Tamworth - East	1	18126
Tamworth - North	0	1901
Tamworth - North	1	13175
Tamworth - West	0	762
Tamworth - West	1	4798
Tamworth Region	0	1735
Tamworth Region	1	16739
Belmont - Bennetts Green	0	1189
Belmont - Bennetts Green	1	16535
Belmont South - Blacksmiths	0	367
Belmont South - Blacksmiths	1	5239
Charlestown - Dudley	0	1955
Charlestown - Dudley	1	22010
Glendale - Cardiff - Hillsborough	0	1590
Glendale - Cardiff - Hillsborough	1	21799
Mount Hutton - Windale	0	803
Mount Hutton - Windale	1	8097
Redhead	0	308
Redhead	1	3208
Swansea - Caves Beach	0	929
Swansea - Caves Beach	1	10622
Valentine - Eleebana	0	820
Valentine - Eleebana	1	11175
Warners Bay - Boolaroo	0	1050
Warners Bay - Boolaroo	1	12315
Bolton Point - Teralba	0	650
Bolton Point - Teralba	1	7877
Bonnells Bay - Silverwater	0	734
Bonnells Bay - Silverwater	1	7983
Edgeworth - Cameron Park	0	1105
Edgeworth - Cameron Park	1	13095
Morisset - Cooranbong	0	1512
Morisset - Cooranbong	1	13447
Toronto - Awaba	0	1196
Toronto - Awaba	1	12229
Wangi Wangi - Rathmines	0	642
Wangi Wangi - Rathmines	1	8251
West Wallsend - Barnsley - Killingworth	0	367
West Wallsend - Barnsley - Killingworth	1	6112
Adamstown - Kotara	0	1009
Adamstown - Kotara	1	14592
Beresfield - Hexham	0	820
Beresfield - Hexham	1	7540
Hamilton - Broadmeadow	0	1234
Hamilton - Broadmeadow	1	10614
Lambton - New Lambton	0	1362
Lambton - New Lambton	1	15157
Maryland - Fletcher - Minmi	0	1190
Maryland - Fletcher - Minmi	1	12376
Mayfield - Warabrook	0	1705
Mayfield - Warabrook	1	13169
Merewether - The Junction	0	1107
Merewether - The Junction	1	12510
Newcastle - Cooks Hill	0	1736
Newcastle - Cooks Hill	1	9028
Newcastle Port - Kooragang	0	2
Newcastle Port - Kooragang	1	18
Shortland - Jesmond	0	3066
Shortland - Jesmond	1	8475
Stockton - Fullerton Cove	0	702
Stockton - Fullerton Cove	1	6794
Wallsend - Elermore Vale	0	1914
Wallsend - Elermore Vale	1	17715
Waratah - North Lambton	0	1352
Waratah - North Lambton	1	10707
Wickham - Carrington - Tighes Hill	0	912
Wickham - Carrington - Tighes Hill	1	7092
Ballina	0	1993
Ballina	1	15118
Ballina Region	0	1642
Ballina Region	1	15190
Bangalow	0	953
Bangalow	1	4712
Brunswick Heads - Ocean Shores	0	1172
Brunswick Heads - Ocean Shores	1	7040
Byron Bay	0	2344
Byron Bay	1	7158
Evans Head	0	570
Evans Head	1	4651
Lennox Head - Skennars Head	0	806
Lennox Head - Skennars Head	1	6935
Mullumbimby	0	1478
Mullumbimby	1	6515
Casino	0	971
Casino	1	11256
Casino Region	0	845
Casino Region	1	6126
Goonellabah	0	1292
Goonellabah	1	11834
Kyogle	0	882
Kyogle	1	6430
Lismore	0	1799
Lismore	1	13481
Lismore Region	0	1756
Lismore Region	1	13269
Kingscliff - Fingal Head	0	1635
Kingscliff - Fingal Head	1	11521
Murwillumbah	0	898
Murwillumbah	1	8046
Murwillumbah Region	0	1310
Murwillumbah Region	1	8344
Pottsville	0	1500
Pottsville	1	11682
Tweed Heads	0	3016
Tweed Heads	1	16401
Banora Point	0	1500
Banora Point	1	14135
Terranora - North Tumblegum	0	304
Terranora - North Tumblegum	1	2940
Tweed Heads South	0	1091
Tweed Heads South	1	7056
Griffith (NSW)	0	3887
Griffith (NSW)	1	15257
Griffith Region	0	1780
Griffith Region	1	11099
Leeton	0	1348
Leeton	1	8743
Narrandera	0	773
Narrandera	1	5263
Tumbarumba	0	520
Tumbarumba	1	2929
Tumut	0	869
Tumut	1	5406
Tumut Region	0	545
Tumut Region	1	4170
Cootamundra	0	649
Cootamundra	1	6921
Gundagai	0	320
Gundagai	1	3277
Junee	0	1556
Junee	1	4689
Temora	0	524
Temora	1	6194
Wagga Wagga - East	0	1551
Wagga Wagga - East	1	15034
Wagga Wagga - North	0	506
Wagga Wagga - North	1	3899
Wagga Wagga - South	0	2053
Wagga Wagga - South	1	19213
Wagga Wagga - West	0	1776
Wagga Wagga - West	1	10381
Wagga Wagga Region	0	1519
Wagga Wagga Region	1	13295
Berry - Kangaroo Valley	0	998
Berry - Kangaroo Valley	1	7791
Callala Bay - Currarong	0	365
Callala Bay - Currarong	1	3252
Culburra Beach	0	499
Culburra Beach	1	4456
Ettrema - Sassafras - Budawang	0	11
Ettrema - Sassafras - Budawang	1	38
Huskisson - Vincentia	0	443
Huskisson - Vincentia	1	3745
North Nowra - Bomaderry	0	1621
North Nowra - Bomaderry	1	14138
Nowra	0	3006
Nowra	1	17033
St Georges Basin - Erowal Bay	0	1314
St Georges Basin - Erowal Bay	1	12693
Sussex Inlet - Berrara	0	373
Sussex Inlet - Berrara	1	3969
Tomerong - Wandandian - Woollamia	0	314
Tomerong - Wandandian - Woollamia	1	3093
Ulladulla	0	1552
Ulladulla	1	13726
Ulladulla Region	0	545
Ulladulla Region	1	4517
Bowral	0	1452
Bowral	1	11497
Hill Top - Colo Vale	0	608
Hill Top - Colo Vale	1	5417
Mittagong	0	1097
Mittagong	1	7902
Moss Vale - Berrima	0	1249
Moss Vale - Berrima	1	8548
Robertson - Fitzroy Falls	0	420
Robertson - Fitzroy Falls	1	3086
Southern Highlands	0	698
Southern Highlands	1	5891
Baulkham Hills (East)	0	3852
Baulkham Hills (East)	1	19092
Baulkham Hills (West) - Bella Vista	0	2934
Baulkham Hills (West) - Bella Vista	1	17132
Glenhaven	0	514
Glenhaven	1	5737
West Pennant Hills	0	1477
West Pennant Hills	1	11162
Castle Hill - Central	0	1372
Castle Hill - Central	1	6239
Castle Hill - East	0	758
Castle Hill - East	1	4835
Castle Hill - North	0	1758
Castle Hill - North	1	10127
Castle Hill - South	0	1635
Castle Hill - South	1	7882
Castle Hill - West	0	696
Castle Hill - West	1	4545
Cherrybrook	0	2792
Cherrybrook	1	15973
Kellyville	0	3240
Kellyville	1	19988
Dural - Kenthurst - Wisemans Ferry	0	2239
Dural - Kenthurst - Wisemans Ferry	1	18777
Galston - Laughtondale	0	510
Galston - Laughtondale	1	4700
Bilpin - Colo - St Albans	0	501
Bilpin - Colo - St Albans	1	2191
Kurrajong Heights - Ebenezer	0	2162
Kurrajong Heights - Ebenezer	1	19738
Pitt Town - McGraths Hill	0	969
Pitt Town - McGraths Hill	1	9559
Rouse Hill - Beaumont Hills	0	2987
Rouse Hill - Beaumont Hills	1	19665
Blacktown (East) - Kings Park	0	5282
Blacktown (East) - Kings Park	1	11639
Blacktown (North) - Marayong	0	3447
Blacktown (North) - Marayong	1	14576
Doonside - Woodcroft	0	3996
Doonside - Woodcroft	1	18534
Lalor Park - Kings Langley	0	3761
Lalor Park - Kings Langley	1	21118
Seven Hills - Toongabbie	0	5093
Seven Hills - Toongabbie	1	18828
Blacktown (South)	0	2459
Blacktown (South)	1	9863
Blacktown (West)	0	3623
Blacktown (West)	1	12533
Glenwood	0	2334
Glenwood	1	13796
Parklea - Kellyville Ridge	0	6085
Parklea - Kellyville Ridge	1	26560
Riverstone - Marsden Park	0	3009
Riverstone - Marsden Park	1	14303
Acacia Gardens	0	562
Acacia Gardens	1	3231
Quakers Hill	0	3682
Quakers Hill	1	19256
Bidwill - Hebersham - Emerton	0	3959
Bidwill - Hebersham - Emerton	1	14486
Glendenning - Dean Park	0	1291
Glendenning - Dean Park	1	7065
Hassall Grove - Plumpton	0	3205
Hassall Grove - Plumpton	1	17466
Lethbridge Park - Tregear	0	4459
Lethbridge Park - Tregear	1	16250
Mount Druitt - Whalan	0	5587
Mount Druitt - Whalan	1	17111
Prospect Reservoir	0	21
Prospect Reservoir	1	19
Rooty Hill - Minchinbury	0	3848
Rooty Hill - Minchinbury	1	17306
Banksmeadow	0	3
Banksmeadow	1	15
Botany	0	1885
Botany	1	8932
Mascot - Eastlakes	0	7605
Mascot - Eastlakes	1	16805
Pagewood - Hillsdale - Daceyville	0	2641
Pagewood - Hillsdale - Daceyville	1	8732
Port Botany Industrial	0	0
Port Botany Industrial	1	10
Sydney Airport	0	37
Sydney Airport	1	21
Marrickville	0	5387
Marrickville	1	21146
Petersham - Stanmore	0	4048
Petersham - Stanmore	1	16183
Sydenham - Tempe - St Peters	0	1533
Sydenham - Tempe - St Peters	1	6313
Darlinghurst	0	4501
Darlinghurst	1	6819
Erskineville - Alexandria	0	4126
Erskineville - Alexandria	1	12107
Glebe - Forest Lodge	0	6128
Glebe - Forest Lodge	1	13481
Newtown - Camperdown - Darlington	0	7488
Newtown - Camperdown - Darlington	1	17351
Potts Point - Woolloomooloo	0	8721
Potts Point - Woolloomooloo	1	12484
Pyrmont - Ultimo	0	11522
Pyrmont - Ultimo	1	10134
Redfern - Chippendale	0	10295
Redfern - Chippendale	1	12206
Surry Hills	0	6481
Surry Hills	1	9931
Sydney - Haymarket - The Rocks	0	18723
Sydney - Haymarket - The Rocks	1	8684
Waterloo - Beaconsfield	0	15046
Waterloo - Beaconsfield	1	18014
Bondi - Tamarama - Bronte	0	5345
Bondi - Tamarama - Bronte	1	13053
Bondi Beach - North Bondi	0	6559
Bondi Beach - North Bondi	1	14169
Bondi Junction - Waverly	0	5253
Bondi Junction - Waverly	1	11604
Centennial Park	0	0
Centennial Park	1	0
Double Bay - Bellevue Hill	0	5622
Double Bay - Bellevue Hill	1	19246
Dover Heights	0	1879
Dover Heights	1	8950
Paddington - Moore Park	0	3650
Paddington - Moore Park	1	11520
Rose Bay - Vaucluse - Watsons Bay	0	1974
Rose Bay - Vaucluse - Watsons Bay	1	9866
Woollahra	0	1698
Woollahra	1	5987
Coogee - Clovelly	0	6135
Coogee - Clovelly	1	19317
Malabar - La Perouse - Chifley	0	5493
Malabar - La Perouse - Chifley	1	18543
Kensington (NSW)	0	6191
Kensington (NSW)	1	8691
Kingsford	0	7001
Kingsford	1	8598
Maroubra - North	0	2058
Maroubra - North	1	7754
Maroubra - South	0	2442
Maroubra - South	1	8241
Maroubra - West	0	3334
Maroubra - West	1	6865
Randwick - North	0	4102
Randwick - North	1	12771
Randwick - South	0	4335
Randwick - South	1	8777
Bass Hill - Georges Hall	0	2749
Bass Hill - Georges Hall	1	19079
Chullora	0	297
Chullora	1	603
Condell Park	0	1571
Condell Park	1	9738
Greenacre - Mount Lewis	0	3589
Greenacre - Mount Lewis	1	22375
Padstow	0	2354
Padstow	1	14121
Panania - Milperra - Picnic Point	0	2783
Panania - Milperra - Picnic Point	1	23005
Revesby	0	2507
Revesby	1	13712
Yagoona - Birrong	0	3433
Yagoona - Birrong	1	17273
Bankstown - North	0	4543
Bankstown - North	1	11694
Bankstown - South	0	4150
Bankstown - South	1	11848
Belmore - Belfield	0	3761
Belmore - Belfield	1	15276
Canterbury (South) - Campsie	0	11013
Canterbury (South) - Campsie	1	19609
Kingsgrove (North) - Earlwood	0	3170
Kingsgrove (North) - Earlwood	1	20510
Punchbowl	0	4276
Punchbowl	1	16481
Roselands	0	2294
Roselands	1	11444
Lakemba	0	6313
Lakemba	1	10710
Wiley Park	0	3481
Wiley Park	1	6737
Hurstville	0	9399
Hurstville	1	14209
Mortdale - Penshurst	0	5158
Mortdale - Penshurst	1	18746
Narwee - Beverly Hills	0	3026
Narwee - Beverly Hills	1	10758
Oatley - Hurstville Grove	0	1752
Oatley - Hurstville Grove	1	10861
Peakhurst - Lugarno	0	1941
Peakhurst - Lugarno	1	15992
Riverwood	0	3240
Riverwood	1	8040
South Hurstville - Blakehurst	0	6224
South Hurstville - Blakehurst	1	17846
Arncliffe - Bardwell Valley	0	7793
Arncliffe - Bardwell Valley	1	13655
Bexley	0	6443
Bexley	1	20035
Kingsgrove (South) - Bardwell Park	0	1850
Kingsgrove (South) - Bardwell Park	1	10761
Kogarah	0	4097
Kogarah	1	7214
Kogarah Bay - Carlton - Allawah	0	3842
Kogarah Bay - Carlton - Allawah	1	12127
Monterey - Brighton-le-Sands - Kyeemagh	0	2667
Monterey - Brighton-le-Sands - Kyeemagh	1	11302
Rockdale - Banksia	0	7446
Rockdale - Banksia	1	12515
Sans Souci - Ramsgate	0	2088
Sans Souci - Ramsgate	1	13888
Concord - Mortlake - Cabarita	0	3387
Concord - Mortlake - Cabarita	1	18353
Concord West - North Strathfield	0	10408
Concord West - North Strathfield	1	14439
Drummoyne - Rodd Point	0	2896
Drummoyne - Rodd Point	1	15429
Five Dock - Abbotsford	0	3231
Five Dock - Abbotsford	1	17210
Balmain	0	3173
Balmain	1	12514
Leichhardt - Annandale	0	4721
Leichhardt - Annandale	1	21666
Lilyfield - Rozelle	0	2680
Lilyfield - Rozelle	1	11311
Ashfield	0	8601
Ashfield	1	15900
Burwood - Croydon	0	9468
Burwood - Croydon	1	15181
Canterbury (North) - Ashbury	0	2084
Canterbury (North) - Ashbury	1	8364
Croydon Park - Enfield	0	3025
Croydon Park - Enfield	1	14203
Dulwich Hill - Lewisham	0	3186
Dulwich Hill - Lewisham	1	13625
Haberfield - Summer Hill	0	2246
Haberfield - Summer Hill	1	11224
Homebush	0	7648
Homebush	1	8563
Strathfield	0	9348
Strathfield	1	15665
Strathfield South	0	593
Strathfield South	1	2953
Chatswood (East) - Artarmon	0	10703
Chatswood (East) - Artarmon	1	17980
Chatswood (West) - Lane Cove North	0	5513
Chatswood (West) - Lane Cove North	1	15344
Lane Cove - Greenwich	0	4495
Lane Cove - Greenwich	1	22239
St Leonards - Naremburn	0	3014
St Leonards - Naremburn	1	7486
Willoughby - Castle Cove - Northbridge	0	3582
Willoughby - Castle Cove - Northbridge	1	21880
Asquith - Mount Colah	0	2082
Asquith - Mount Colah	1	16205
Berowra - Brooklyn - Cowan	0	1110
Berowra - Brooklyn - Cowan	1	10589
Normanhurst - Thornleigh - Westleigh	0	2280
Normanhurst - Thornleigh - Westleigh	1	16251
Hornsby - East	0	4169
Hornsby - East	1	7632
Hornsby - West	0	2244
Hornsby - West	1	8435
Waitara - Wahroonga (West)	0	2877
Waitara - Wahroonga (West)	1	6724
Gordon - Killara	0	4454
Gordon - Killara	1	16873
Lindfield - Roseville	0	3733
Lindfield - Roseville	1	19415
Pymble	0	2501
Pymble	1	13851
St Ives	0	3491
St Ives	1	16960
Turramurra	0	2812
Turramurra	1	16456
Wahroonga (East) - Warrawee	0	2690
Wahroonga (East) - Warrawee	1	15136
Cremorne - Cammeray	0	4087
Cremorne - Cammeray	1	14992
Crows Nest - Waverton	0	4326
Crows Nest - Waverton	1	13696
Mosman	0	5815
Mosman	1	22660
Neutral Bay - Kirribilli	0	4699
Neutral Bay - Kirribilli	1	13153
North Sydney - Lavender Bay	0	3407
North Sydney - Lavender Bay	1	7299
Balgowlah - Clontarf - Seaforth	0	3164
Balgowlah - Clontarf - Seaforth	1	17022
Manly - Fairlight	0	6177
Manly - Fairlight	1	15527
Avalon - Palm Beach	0	1465
Avalon - Palm Beach	1	10911
Bayview - Elanora Heights	0	1408
Bayview - Elanora Heights	1	9334
Newport - Bilgola	0	1449
Newport - Bilgola	1	11732
Warriewood - Mona Vale	0	3049
Warriewood - Mona Vale	1	21083
Beacon Hill - Narraweena	0	1963
Beacon Hill - Narraweena	1	11922
Cromer	0	853
Cromer	1	6629
Dee Why - North Curl Curl	0	6405
Dee Why - North Curl Curl	1	18546
Forestville - Killarney Heights	0	1549
Forestville - Killarney Heights	1	11249
Frenchs Forest - Belrose	0	2897
Frenchs Forest - Belrose	1	22273
Freshwater - Brookvale	0	4276
Freshwater - Brookvale	1	16702
Manly Vale - Allambie Heights	0	2540
Manly Vale - Allambie Heights	1	14330
Narrabeen - Collaroy	0	3728
Narrabeen - Collaroy	1	21045
Terrey Hills - Duffys Forest	0	424
Terrey Hills - Duffys Forest	1	3222
Camden - Ellis Lane	0	1141
Camden - Ellis Lane	1	11819
Elderslie - Harrington Park	0	1922
Elderslie - Harrington Park	1	19058
Mount Annan - Currans Hill	0	2598
Mount Annan - Currans Hill	1	25977
Bradbury - Wedderburn	0	2578
Bradbury - Wedderburn	1	16385
Campbelltown - Woodbine	0	3343
Campbelltown - Woodbine	1	14849
Claymore - Eagle Vale - Raby	0	2752
Claymore - Eagle Vale - Raby	1	17647
Holsworthy Military Area	0	0
Holsworthy Military Area	1	0
Ingleburn - Denham Court	0	3943
