STE_NAME16	DwellingStructure	DwellingSubtype	HouseholdComposition	occupied_private_dwellings
Queensland	Flat/apartment	Attached to a house	Other family	6
Queensland	Semi-detached, row/terrace house, townhouse etc.		Couple family with children	18200
Queensland	Semi-detached, row/terrace house, townhouse etc.		Couple family with no children	23190
Queensland	Semi-detached, row/terrace house, townhouse etc.		Group household	8362
Queensland	Semi-detached, row/terrace house, townhouse etc.		Lone-person household	31204
Queensland	Semi-detached, row/terrace house, townhouse etc.		One parent family with children	16321
Queensland	Semi-detached, row/terrace house, townhouse etc.		Other family	1727
Queensland	Semi-detached, row/terrace house, townhouse etc.	1 storey	Couple family with children	7207
Queensland	Semi-detached, row/terrace house, townhouse etc.	1 storey	Couple family with no children	16818
Queensland	Semi-detached, row/terrace house, townhouse etc.	1 storey	Group household	3307
Queensland	Semi-detached, row/terrace house, townhouse etc.	1 storey	Lone-person household	38743
Queensland	Semi-detached, row/terrace house, townhouse etc.	1 storey	One parent family with children	9027
Queensland	Semi-detached, row/terrace house, townhouse etc.	1 storey	Other family	881
Queensland	Separate house		Couple family with children	469307
Queensland	Separate house		Couple family with no children	369705
Queensland	Separate house		Group household	45979
Queensland	Separate house		Lone-person household	220059
Queensland	Separate house		One parent family with children	150591
Queensland	Separate house		Other family	14012
South Australia			Couple family with children	529
South Australia			Couple family with no children	632
South Australia			Group household	87
South Australia			Lone-person household	969
South Australia			One parent family with children	212
South Australia			Other family	17
South Australia	(Other)	Cabin household	Couple family with children	35
South Australia	(Other)	Cabin household	Couple family with no children	174
South Australia	(Other)	Cabin household	Group household	25
South Australia	(Other)	Cabin household	Lone-person household	420
South Australia	(Other)	Cabin household	One parent family with children	21
South Australia	(Other)	Cabin household	Other family	6
South Australia	(Other)	Caravan	Couple family with children	51
South Australia	(Other)	Caravan	Couple family with no children	333
South Australia	(Other)	Caravan	Group household	26
South Australia	(Other)	Caravan	Lone-person household	750
South Australia	(Other)	Caravan	One parent family with children	34
South Australia	(Other)	Caravan	Other family	3
South Australia	(Other)	House or flat attached to a shop, office, etc	Couple family with children	191
South Australia	(Other)	House or flat attached to a shop, office, etc	Couple family with no children	247
South Australia	(Other)	House or flat attached to a shop, office, etc	Group household	69
South Australia	(Other)	House or flat attached to a shop, office, etc	Lone-person household	289
South Australia	(Other)	House or flat attached to a shop, office, etc	One parent family with children	90
South Australia	(Other)	House or flat attached to a shop, office, etc	Other family	19
South Australia	(Other)	Improvised home, tent sleepers	Couple family with children	27
South Australia	(Other)	Improvised home, tent sleepers	Couple family with no children	35
South Australia	(Other)	Improvised home, tent sleepers	Group household	7
South Australia	(Other)	Improvised home, tent sleepers	Lone-person household	143
South Australia	(Other)	Improvised home, tent sleepers	One parent family with children	14
South Australia	Flat/apartment	1 or 2 storey block	Couple family with children	3391
South Australia	Flat/apartment	1 or 2 storey block	Couple family with no children	5768
South Australia	Flat/apartment	1 or 2 storey block	Group household	1782
South Australia	Flat/apartment	1 or 2 storey block	Lone-person household	18551
South Australia	Flat/apartment	1 or 2 storey block	One parent family with children	2270
South Australia	Flat/apartment	1 or 2 storey block	Other family	452
South Australia	Flat/apartment	3 storey block	Couple family with children	393
South Australia	Flat/apartment	3 storey block	Couple family with no children	820
South Australia	Flat/apartment	3 storey block	Group household	430
South Australia	Flat/apartment	3 storey block	Lone-person household	2116
South Australia	Flat/apartment	3 storey block	One parent family with children	195
South Australia	Flat/apartment	3 storey block	Other family	83
South Australia	Flat/apartment	4 storey block or more	Couple family with children	406
South Australia	Flat/apartment	4 storey block or more	Couple family with no children	1502
South Australia	Flat/apartment	4 storey block or more	Group household	761
South Australia	Flat/apartment	4 storey block or more	Lone-person household	2614
South Australia	Flat/apartment	4 storey block or more	One parent family with children	236
South Australia	Flat/apartment	4 storey block or more	Other family	124
South Australia	Flat/apartment	Attached to a house	Couple family with children	21
South Australia	Flat/apartment	Attached to a house	Couple family with no children	16
South Australia	Flat/apartment	Attached to a house	Group household	7
South Australia	Flat/apartment	Attached to a house	Lone-person household	43
South Australia	Flat/apartment	Attached to a house	One parent family with children	4
South Australia	Flat/apartment	Attached to a house	Other family	3
South Australia	Semi-detached, row/terrace house, townhouse etc.		Couple family with children	4381
South Australia	Semi-detached, row/terrace house, townhouse etc.		Couple family with no children	5552
South Australia	Semi-detached, row/terrace house, townhouse etc.		Group household	1868
South Australia	Semi-detached, row/terrace house, townhouse etc.		Lone-person household	6507
South Australia	Semi-detached, row/terrace house, townhouse etc.		One parent family with children	2544
South Australia	Semi-detached, row/terrace house, townhouse etc.		Other family	441
South Australia	Semi-detached, row/terrace house, townhouse etc.	1 storey	Couple family with children	9144
South Australia	Semi-detached, row/terrace house, townhouse etc.	1 storey	Couple family with no children	14734
South Australia	Semi-detached, row/terrace house, townhouse etc.	1 storey	Group household	3293
South Australia	Semi-detached, row/terrace house, townhouse etc.	1 storey	Lone-person household	36451
South Australia	Semi-detached, row/terrace house, townhouse etc.	1 storey	One parent family with children	8581
South Australia	Semi-detached, row/terrace house, townhouse etc.	1 storey	Other family	1010
South Australia	Separate house		Couple family with children	165195
South Australia	Separate house		Couple family with no children	144753
South Australia	Separate house		Group household	14496
South Australia	Separate house		Lone-person household	110262
South Australia	Separate house		One parent family with children	56991
South Australia	Separate house		Other family	5111
Western Australia			Couple family with children	637
Western Australia			Couple family with no children	801
Western Australia			Group household	129
Western Australia			Lone-person household	1182
Western Australia			One parent family with children	204
Western Australia			Other family	35
Western Australia	(Other)	Cabin household	Couple family with children	57
Western Australia	(Other)	Cabin household	Couple family with no children	454
Western Australia	(Other)	Cabin household	Group household	36
Western Australia	(Other)	Cabin household	Lone-person household	799
Western Australia	(Other)	Cabin household	One parent family with children	52
Western Australia	(Other)	Cabin household	Other family	5
Western Australia	(Other)	Caravan	Couple family with children	119
Western Australia	(Other)	Caravan	Couple family with no children	912
Western Australia	(Other)	Caravan	Group household	71
Western Australia	(Other)	Caravan	Lone-person household	2067
Western Australia	(Other)	Caravan	One parent family with children	104
Western Australia	(Other)	Caravan	Other family	9
Western Australia	(Other)	House or flat attached to a shop, office, etc	Couple family with children	268
Western Australia	(Other)	House or flat attached to a shop, office, etc	Couple family with no children	305
Western Australia	(Other)	House or flat attached to a shop, office, etc	Group household	68
Western Australia	(Other)	House or flat attached to a shop, office, etc	Lone-person household	312
Western Australia	(Other)	House or flat attached to a shop, office, etc	One parent family with children	101
Western Australia	(Other)	House or flat attached to a shop, office, etc	Other family	14
Western Australia	(Other)	Improvised home, tent sleepers	Couple family with children	103
Western Australia	(Other)	Improvised home, tent sleepers	Couple family with no children	160
Western Australia	(Other)	Improvised home, tent sleepers	Group household	21
Western Australia	(Other)	Improvised home, tent sleepers	Lone-person household	243
Western Australia	(Other)	Improvised home, tent sleepers	One parent family with children	32
Western Australia	(Other)	Improvised home, tent sleepers	Other family	3
Western Australia	Flat/apartment	1 or 2 storey block	Couple family with children	1790
Western Australia	Flat/apartment	1 or 2 storey block	Couple family with no children	4540
Western Australia	Flat/apartment	1 or 2 storey block	Group household	1234
Western Australia	Flat/apartment	1 or 2 storey block	Lone-person household	11306
Western Australia	Flat/apartment	1 or 2 storey block	One parent family with children	1282
Western Australia	Flat/apartment	1 or 2 storey block	Other family	279
Western Australia	Flat/apartment	3 storey block	Couple family with children	941
Western Australia	Flat/apartment	3 storey block	Couple family with no children	3038
Western Australia	Flat/apartment	3 storey block	Group household	999
Western Australia	Flat/apartment	3 storey block	Lone-person household	5858
Western Australia	Flat/apartment	3 storey block	One parent family with children	531
Western Australia	Flat/apartment	3 storey block	Other family	228
Western Australia	Flat/apartment	4 storey block or more	Couple family with children	1456
Western Australia	Flat/apartment	4 storey block or more	Couple family with no children	5663
Western Australia	Flat/apartment	4 storey block or more	Group household	1369
Western Australia	Flat/apartment	4 storey block or more	Lone-person household	7589
Western Australia	Flat/apartment	4 storey block or more	One parent family with children	597
Western Australia	Flat/apartment	4 storey block or more	Other family	297
Western Australia	Flat/apartment	Attached to a house	Couple family with children	9
Western Australia	Flat/apartment	Attached to a house	Couple family with no children	16
Western Australia	Flat/apartment	Attached to a house	Group household	3
Western Australia	Flat/apartment	Attached to a house	Lone-person household	51
Western Australia	Flat/apartment	Attached to a house	One parent family with children	4
Western Australia	Semi-detached, row/terrace house, townhouse etc.		Couple family with children	6183
Western Australia	Semi-detached, row/terrace house, townhouse etc.		Couple family with no children	8980
Western Australia	Semi-detached, row/terrace house, townhouse etc.		Group household	2503
Western Australia	Semi-detached, row/terrace house, townhouse etc.		Lone-person household	9407
Western Australia	Semi-detached, row/terrace house, townhouse etc.		One parent family with children	2730
Western Australia	Semi-detached, row/terrace house, townhouse etc.		Other family	558
Western Australia	Semi-detached, row/terrace house, townhouse etc.	1 storey	Couple family with children	14280
Western Australia	Semi-detached, row/terrace house, townhouse etc.	1 storey	Couple family with no children	21656
Western Australia	Semi-detached, row/terrace house, townhouse etc.	1 storey	Group household	4575
Western Australia	Semi-detached, row/terrace house, townhouse etc.	1 storey	Lone-person household	40596
Western Australia	Semi-detached, row/terrace house, townhouse etc.	1 storey	One parent family with children	9651
Western Australia	Semi-detached, row/terrace house, townhouse etc.	1 storey	Other family	1443
Western Australia	Separate house		Couple family with children	263754
Western Australia	Separate house		Couple family with no children	193177
Western Australia	Separate house		Group household	21682
Western Australia	Separate house		Lone-person household	124789
Western Australia	Separate house		One parent family with children	74426
Western Australia	Separate house		Other family	7999
Tasmania			Couple family with children	138
Tasmania			Couple family with no children	172
Tasmania			Group household	40
Tasmania			Lone-person household	320
Tasmania			One parent family with children	57
Tasmania			Other family	3
Tasmania	(Other)	Cabin household	Couple family with children	16
Tasmania	(Other)	Cabin household	Couple family with no children	77
Tasmania	(Other)	Cabin household	Group household	12
Tasmania	(Other)	Cabin household	Lone-person household	184
Tasmania	(Other)	Cabin household	One parent family with children	10
Tasmania	(Other)	Caravan	Couple family with children	19
Tasmania	(Other)	Caravan	Couple family with no children	91
Tasmania	(Other)	Caravan	Group household	6
Tasmania	(Other)	Caravan	Lone-person household	199
Tasmania	(Other)	Caravan	One parent family with children	19
Tasmania	(Other)	House or flat attached to a shop, office, etc	Couple family with children	98
Tasmania	(Other)	House or flat attached to a shop, office, etc	Couple family with no children	115
Tasmania	(Other)	House or flat attached to a shop, office, etc	Group household	42
Tasmania	(Other)	House or flat attached to a shop, office, etc	Lone-person household	153
Tasmania	(Other)	House or flat attached to a shop, office, etc	One parent family with children	50
Tasmania	(Other)	House or flat attached to a shop, office, etc	Other family	5
Tasmania	(Other)	Improvised home, tent sleepers	Couple family with children	20
Tasmania	(Other)	Improvised home, tent sleepers	Couple family with no children	29
Tasmania	(Other)	Improvised home, tent sleepers	Group household	3
Tasmania	(Other)	Improvised home, tent sleepers	Lone-person household	52
Tasmania	Flat/apartment	1 or 2 storey block	Couple family with children	562
Tasmania	Flat/apartment	1 or 2 storey block	Couple family with no children	1490
Tasmania	Flat/apartment	1 or 2 storey block	Group household	553
Tasmania	Flat/apartment	1 or 2 storey block	Lone-person household	5599
Tasmania	Flat/apartment	1 or 2 storey block	One parent family with children	892
Tasmania	Flat/apartment	1 or 2 storey block	Other family	101
Tasmania	Flat/apartment	3 storey block	Couple family with children	49
Tasmania	Flat/apartment	3 storey block	Couple family with no children	211
Tasmania	Flat/apartment	3 storey block	Group household	121
Tasmania	Flat/apartment	3 storey block	Lone-person household	636
Tasmania	Flat/apartment	3 storey block	One parent family with children	46
Tasmania	Flat/apartment	3 storey block	Other family	21
Tasmania	Flat/apartment	4 storey block or more	Couple family with children	38
Tasmania	Flat/apartment	4 storey block or more	Couple family with no children	154
Tasmania	Flat/apartment	4 storey block or more	Group household	71
Tasmania	Flat/apartment	4 storey block or more	Lone-person household	523
Tasmania	Flat/apartment	4 storey block or more	One parent family with children	26
Tasmania	Flat/apartment	4 storey block or more	Other family	10
Tasmania	Flat/apartment	Attached to a house	Couple family with children	16
Tasmania	Flat/apartment	Attached to a house	Couple family with no children	24
Tasmania	Flat/apartment	Attached to a house	Group household	10
Tasmania	Flat/apartment	Attached to a house	Lone-person household	100
Tasmania	Flat/apartment	Attached to a house	One parent family with children	12
Tasmania	Semi-detached, row/terrace house, townhouse etc.		Couple family with children	403
Tasmania	Semi-detached, row/terrace house, townhouse etc.		Couple family with no children	734
Tasmania	Semi-detached, row/terrace house, townhouse etc.		Group household	298
Tasmania	Semi-detached, row/terrace house, townhouse etc.		Lone-person household	1387
Tasmania	Semi-detached, row/terrace house, townhouse etc.		One parent family with children	310
Tasmania	Semi-detached, row/terrace house, townhouse etc.		Other family	54
Tasmania	Semi-detached, row/terrace house, townhouse etc.	1 storey	Couple family with children	421
Tasmania	Semi-detached, row/terrace house, townhouse etc.	1 storey	Couple family with no children	1197
Tasmania	Semi-detached, row/terrace house, townhouse etc.	1 storey	Group household	367
Tasmania	Semi-detached, row/terrace house, townhouse etc.	1 storey	Lone-person household	5354
Tasmania	Semi-detached, row/terrace house, townhouse etc.	1 storey	One parent family with children	766
Tasmania	Semi-detached, row/terrace house, townhouse etc.	1 storey	Other family	89
Tasmania	Separate house		Couple family with children	49302
Tasmania	Separate house		Couple family with no children	52586
Tasmania	Separate house		Group household	4974
Tasmania	Separate house		Lone-person household	44005
Tasmania	Separate house		One parent family with children	20634
Tasmania	Separate house		Other family	1498
Northern Territory			Couple family with children	122
Northern Territory			Couple family with no children	142
Northern Territory			Group household	18
Northern Territory			Lone-person household	235
Northern Territory			One parent family with children	37
Northern Territory			Other family	10
Northern Territory	(Other)	Cabin household	Couple family with children	15
Northern Territory	(Other)	Cabin household	Couple family with no children	55
Northern Territory	(Other)	Cabin household	Group household	8
Northern Territory	(Other)	Cabin household	Lone-person household	120
Northern Territory	(Other)	Cabin household	One parent family with children	3
Northern Territory	(Other)	Caravan	Couple family with children	93
Northern Territory	(Other)	Caravan	Couple family with no children	420
Northern Territory	(Other)	Caravan	Group household	34
Northern Territory	(Other)	Caravan	Lone-person household	590
Northern Territory	(Other)	Caravan	One parent family with children	35
Northern Territory	(Other)	Caravan	Other family	4
Northern Territory	(Other)	House or flat attached to a shop, office, etc	Couple family with children	142
Northern Territory	(Other)	House or flat attached to a shop, office, etc	Couple family with no children	119
Northern Territory	(Other)	House or flat attached to a shop, office, etc	Group household	29
Northern Territory	(Other)	House or flat attached to a shop, office, etc	Lone-person household	142
Northern Territory	(Other)	House or flat attached to a shop, office, etc	One parent family with children	51
Northern Territory	(Other)	House or flat attached to a shop, office, etc	Other family	3
Northern Territory	(Other)	Improvised home, tent sleepers	Couple family with children	50
Northern Territory	(Other)	Improvised home, tent sleepers	Couple family with no children	84
Northern Territory	(Other)	Improvised home, tent sleepers	Group household	17
Northern Territory	(Other)	Improvised home, tent sleepers	Lone-person household	137
Northern Territory	(Other)	Improvised home, tent sleepers	One parent family with children	20
Northern Territory	(Other)	Improvised home, tent sleepers	Other family	10
Northern Territory	Flat/apartment	1 or 2 storey block	Couple family with children	878
Northern Territory	Flat/apartment	1 or 2 storey block	Couple family with no children	1096
Northern Territory	Flat/apartment	1 or 2 storey block	Group household	353
Northern Territory	Flat/apartment	1 or 2 storey block	Lone-person household	2060
Northern Territory	Flat/apartment	1 or 2 storey block	One parent family with children	480
Northern Territory	Flat/apartment	1 or 2 storey block	Other family	74
Northern Territory	Flat/apartment	3 storey block	Couple family with children	323
Northern Territory	Flat/apartment	3 storey block	Couple family with no children	574
Northern Territory	Flat/apartment	3 storey block	Group household	200
Northern Territory	Flat/apartment	3 storey block	Lone-person household	643
Northern Territory	Flat/apartment	3 storey block	One parent family with children	118
Northern Territory	Flat/apartment	3 storey block	Other family	27
Northern Territory	Flat/apartment	4 storey block or more	Couple family with children	751
Northern Territory	Flat/apartment	4 storey block or more	Couple family with no children	1538
Northern Territory	Flat/apartment	4 storey block or more	Group household	511
Northern Territory	Flat/apartment	4 storey block or more	Lone-person household	1470
Northern Territory	Flat/apartment	4 storey block or more	One parent family with children	194
Northern Territory	Flat/apartment	4 storey block or more	Other family	46
Northern Territory	Flat/apartment	Attached to a house	Couple family with no children	7
Northern Territory	Flat/apartment	Attached to a house	Lone-person household	12
Northern Territory	Flat/apartment	Attached to a house	One parent family with children	3
Northern Territory	Semi-detached, row/terrace house, townhouse etc.		Couple family with children	654
Northern Territory	Semi-detached, row/terrace house, townhouse etc.		Couple family with no children	702
Northern Territory	Semi-detached, row/terrace house, townhouse etc.		Group household	220
Northern Territory	Semi-detached, row/terrace house, townhouse etc.		Lone-person household	833
