STE_NAME16	Age	MaritalStatus	Registered	adults
Western Australia	55-64	Married	0	19343
Western Australia	55-64	Married	1	156849
Western Australia	55-64	Never married		69515
Western Australia	65-74	Married	0	7880
Western Australia	65-74	Married	1	113463
Western Australia	65-74	Never married		51978
Western Australia	75-84	Married	0	1955
Western Australia	75-84	Married	1	50665
Western Australia	75-84	Never married		36024
Western Australia	85+	Married	0	325
Western Australia	85+	Married	1	10403
Western Australia	85+	Never married		18804
Tasmania	15-19	Married	0	615
Tasmania	15-19	Married	1	33
Tasmania	15-19	Never married		26889
Tasmania	20-24	Married	0	5048
Tasmania	20-24	Married	1	1142
Tasmania	20-24	Never married		19221
Tasmania	25-34	Married	0	13187
Tasmania	25-34	Married	1	17593
Tasmania	25-34	Never married		20380
Tasmania	35-44	Married	0	9445
Tasmania	35-44	Married	1	28931
Tasmania	35-44	Never married		15627
Tasmania	45-54	Married	0	8585
Tasmania	45-54	Married	1	35046
Tasmania	45-54	Never married		19256
Tasmania	55-64	Married	0	5532
Tasmania	55-64	Married	1	38123
Tasmania	55-64	Never married		19233
Tasmania	65-74	Married	0	2441
Tasmania	65-74	Married	1	30576
Tasmania	65-74	Never married		15411
Tasmania	75-84	Married	0	562
Tasmania	75-84	Married	1	13334
Tasmania	75-84	Never married		10980
Tasmania	85+	Married	0	98
Tasmania	85+	Married	1	2620
Tasmania	85+	Never married		5389
Northern Territory	15-19	Married	0	300
Northern Territory	15-19	Married	1	239
Northern Territory	15-19	Never married		11053
Northern Territory	20-24	Married	0	2485
Northern Territory	20-24	Married	1	1620
Northern Territory	20-24	Never married		8291
Northern Territory	25-34	Married	0	8096
Northern Territory	25-34	Married	1	12626
Northern Territory	25-34	Never married		12743
Northern Territory	35-44	Married	0	4817
Northern Territory	35-44	Married	1	15328
Northern Territory	35-44	Never married		7808
Northern Territory	45-54	Married	0	3911
Northern Territory	45-54	Married	1	13099
Northern Territory	45-54	Never married		7882
Northern Territory	55-64	Married	0	2117
Northern Territory	55-64	Married	1	9592
Northern Territory	55-64	Never married		6574
Northern Territory	65-74	Married	0	684
Northern Territory	65-74	Married	1	4664
Northern Territory	65-74	Never married		3876
Northern Territory	75-84	Married	0	115
Northern Territory	75-84	Married	1	1267
Northern Territory	75-84	Never married		1654
Northern Territory	85+	Married	0	13
Northern Territory	85+	Married	1	163
Northern Territory	85+	Never married		464
Australian Capital Territory	15-19	Married	0	231
Australian Capital Territory	15-19	Married	1	13
Australian Capital Territory	15-19	Never married		20419
Australian Capital Territory	20-24	Married	0	3727
Australian Capital Territory	20-24	Married	1	939
Australian Capital Territory	20-24	Never married		19811
Australian Capital Territory	25-34	Married	0	12367
Australian Capital Territory	25-34	Married	1	23384
Australian Capital Territory	25-34	Never married		22550
Australian Capital Territory	35-44	Married	0	6846
Australian Capital Territory	35-44	Married	1	34025
Australian Capital Territory	35-44	Never married		12455
Australian Capital Territory	45-54	Married	0	5114
Australian Capital Territory	45-54	Married	1	28995
Australian Capital Territory	45-54	Never married		12443
Australian Capital Territory	55-64	Married	0	2804
Australian Capital Territory	55-64	Married	1	23381
Australian Capital Territory	55-64	Never married		10790
Australian Capital Territory	65-74	Married	0	1126
Australian Capital Territory	65-74	Married	1	16588
Australian Capital Territory	65-74	Never married		7790
Australian Capital Territory	75-84	Married	0	246
Australian Capital Territory	75-84	Married	1	6885
Australian Capital Territory	75-84	Never married		4847
Australian Capital Territory	85+	Married	0	42
Australian Capital Territory	85+	Married	1	1497
Australian Capital Territory	85+	Never married		2624
Other Territories	15-19	Married	0	5
Other Territories	15-19	Never married		169
Other Territories	20-24	Married	0	15
Other Territories	20-24	Married	1	12
Other Territories	20-24	Never married		78
Other Territories	25-34	Married	0	51
Other Territories	25-34	Married	1	158
Other Territories	25-34	Never married		103
Other Territories	35-44	Married	0	82
Other Territories	35-44	Married	1	293
Other Territories	35-44	Never married		107
Other Territories	45-54	Married	0	83
Other Territories	45-54	Married	1	283
Other Territories	45-54	Never married		145
Other Territories	55-64	Married	0	50
Other Territories	55-64	Married	1	307
Other Territories	55-64	Never married		154
Other Territories	65-74	Married	0	15
Other Territories	65-74	Married	1	241
Other Territories	65-74	Never married		105
Other Territories	75-84	Married	0	3
Other Territories	75-84	Married	1	74
Other Territories	75-84	Never married		71
Other Territories	85+	Married	1	14
Other Territories	85+	Never married		28
