STE_NAME16	DwellingStructure	DwellingSubtype	NumberBedrooms.min	occupied_private_dwellings
Queensland	Flat/apartment	4 storey block or more	5	60
Queensland	Flat/apartment	4 storey block or more	6	55
Queensland	Flat/apartment	Attached to a house		29
Queensland	Flat/apartment	Attached to a house	1	134
Queensland	Flat/apartment	Attached to a house	2	121
Queensland	Flat/apartment	Attached to a house	3	58
Queensland	Flat/apartment	Attached to a house	4	20
Queensland	Flat/apartment	Attached to a house	5	10
Queensland	Flat/apartment	Attached to a house	6	8
Queensland	Semi-detached, row/terrace house, townhouse etc.		0	312
Queensland	Semi-detached, row/terrace house, townhouse etc.	1 storey		3365
Queensland	Semi-detached, row/terrace house, townhouse etc.	1 storey	0	538
Queensland	Semi-detached, row/terrace house, townhouse etc.	1 storey	1	7062
Queensland	Semi-detached, row/terrace house, townhouse etc.	1 storey	2	38466
Queensland	Semi-detached, row/terrace house, townhouse etc.	1 storey	3	24397
Queensland	Semi-detached, row/terrace house, townhouse etc.	1 storey	4	1875
Queensland	Semi-detached, row/terrace house, townhouse etc.	1 storey	5	178
Queensland	Semi-detached, row/terrace house, townhouse etc.	1 storey	6	100
Queensland	Semi-detached, row/terrace house, townhouse etc.	2 storeys or more		2423
Queensland	Semi-detached, row/terrace house, townhouse etc.	2 storeys or more	1	5045
Queensland	Semi-detached, row/terrace house, townhouse etc.	2 storeys or more	2	29291
Queensland	Semi-detached, row/terrace house, townhouse etc.	2 storeys or more	3	56400
Queensland	Semi-detached, row/terrace house, townhouse etc.	2 storeys or more	4	4946
Queensland	Semi-detached, row/terrace house, townhouse etc.	2 storeys or more	5	428
Queensland	Semi-detached, row/terrace house, townhouse etc.	2 storeys or more	6	152
Queensland	Separate house			25118
Queensland	Separate house		0	2378
Queensland	Separate house		1	14135
Queensland	Separate house		2	96011
Queensland	Separate house		3	541006
Queensland	Separate house		4	476605
Queensland	Separate house		5	93837
Queensland	Separate house		6	20555
South Australia				278
South Australia			0	41
South Australia			1	214
South Australia			2	499
South Australia			3	963
South Australia			4	358
South Australia			5	69
South Australia			6	38
South Australia	(Other)			207
South Australia	(Other)		0	332
South Australia	(Other)		1	988
South Australia	(Other)		2	664
South Australia	(Other)		3	555
South Australia	(Other)		4	208
South Australia	(Other)		5	44
South Australia	(Other)		6	26
South Australia	Flat/apartment		6	8
South Australia	Flat/apartment	1 or 2 storey block		1081
South Australia	Flat/apartment	1 or 2 storey block	0	208
South Australia	Flat/apartment	1 or 2 storey block	1	5937
South Australia	Flat/apartment	1 or 2 storey block	2	21375
South Australia	Flat/apartment	1 or 2 storey block	3	3359
South Australia	Flat/apartment	1 or 2 storey block	4	170
South Australia	Flat/apartment	1 or 2 storey block	5	40
South Australia	Flat/apartment	1 or 2 storey block	6	43
South Australia	Flat/apartment	3 storey block		141
South Australia	Flat/apartment	3 storey block	0	42
South Australia	Flat/apartment	3 storey block	1	571
South Australia	Flat/apartment	3 storey block	2	2880
South Australia	Flat/apartment	3 storey block	3	374
South Australia	Flat/apartment	3 storey block	4	21
South Australia	Flat/apartment	4 storey block or more		123
South Australia	Flat/apartment	4 storey block or more	0	69
South Australia	Flat/apartment	4 storey block or more	1	1258
South Australia	Flat/apartment	4 storey block or more	2	3303
South Australia	Flat/apartment	4 storey block or more	3	821
South Australia	Flat/apartment	4 storey block or more	4	56
South Australia	Flat/apartment	4 storey block or more	5	11
South Australia	Flat/apartment	4 storey block or more	6	6
South Australia	Flat/apartment	Attached to a house		4
South Australia	Flat/apartment	Attached to a house	1	41
South Australia	Flat/apartment	Attached to a house	2	34
South Australia	Flat/apartment	Attached to a house	3	22
South Australia	Flat/apartment	Attached to a house	4	3
South Australia	Semi-detached, row/terrace house, townhouse etc.		0	26
South Australia	Semi-detached, row/terrace house, townhouse etc.	1 storey		2450
South Australia	Semi-detached, row/terrace house, townhouse etc.	1 storey	0	237
South Australia	Semi-detached, row/terrace house, townhouse etc.	1 storey	1	6360
South Australia	Semi-detached, row/terrace house, townhouse etc.	1 storey	2	32729
South Australia	Semi-detached, row/terrace house, townhouse etc.	1 storey	3	28466
South Australia	Semi-detached, row/terrace house, townhouse etc.	1 storey	4	2496
South Australia	Semi-detached, row/terrace house, townhouse etc.	1 storey	5	304
South Australia	Semi-detached, row/terrace house, townhouse etc.	1 storey	6	169
South Australia	Semi-detached, row/terrace house, townhouse etc.	2 storeys or more		466
South Australia	Semi-detached, row/terrace house, townhouse etc.	2 storeys or more	1	751
South Australia	Semi-detached, row/terrace house, townhouse etc.	2 storeys or more	2	6069
South Australia	Semi-detached, row/terrace house, townhouse etc.	2 storeys or more	3	11660
South Australia	Semi-detached, row/terrace house, townhouse etc.	2 storeys or more	4	1996
South Australia	Semi-detached, row/terrace house, townhouse etc.	2 storeys or more	5	282
South Australia	Semi-detached, row/terrace house, townhouse etc.	2 storeys or more	6	46
South Australia	Separate house			8710
South Australia	Separate house		0	655
South Australia	Separate house		1	5391
South Australia	Separate house		2	51235
South Australia	Separate house		3	286817
South Australia	Separate house		4	122056
South Australia	Separate house		5	18492
South Australia	Separate house		6	3445
Western Australia				497
Western Australia			0	64
Western Australia			1	299
Western Australia			2	485
Western Australia			3	866
Western Australia			4	588
Western Australia			5	98
Western Australia			6	86
Western Australia	(Other)			516
Western Australia	(Other)		0	816
Western Australia	(Other)		1	2229
Western Australia	(Other)		2	1551
Western Australia	(Other)		3	682
Western Australia	(Other)		4	383
Western Australia	(Other)		5	78
Western Australia	(Other)		6	66
Western Australia	Flat/apartment		6	9
Western Australia	Flat/apartment	1 or 2 storey block		864
Western Australia	Flat/apartment	1 or 2 storey block	0	165
Western Australia	Flat/apartment	1 or 2 storey block	1	4703
Western Australia	Flat/apartment	1 or 2 storey block	2	10853
Western Australia	Flat/apartment	1 or 2 storey block	3	3475
Western Australia	Flat/apartment	1 or 2 storey block	4	311
Western Australia	Flat/apartment	1 or 2 storey block	5	30
Western Australia	Flat/apartment	1 or 2 storey block	6	33
Western Australia	Flat/apartment	3 storey block		306
Western Australia	Flat/apartment	3 storey block	0	124
Western Australia	Flat/apartment	3 storey block	1	3262
Western Australia	Flat/apartment	3 storey block	2	6398
Western Australia	Flat/apartment	3 storey block	3	1418
Western Australia	Flat/apartment	3 storey block	4	63
Western Australia	Flat/apartment	3 storey block	5	12
Western Australia	Flat/apartment	4 storey block or more		396
Western Australia	Flat/apartment	4 storey block or more	0	188
Western Australia	Flat/apartment	4 storey block or more	1	4650
Western Australia	Flat/apartment	4 storey block or more	2	8777
Western Australia	Flat/apartment	4 storey block or more	3	2806
Western Australia	Flat/apartment	4 storey block or more	4	131
Western Australia	Flat/apartment	4 storey block or more	5	17
Western Australia	Flat/apartment	4 storey block or more	6	11
Western Australia	Flat/apartment	Attached to a house		19
Western Australia	Flat/apartment	Attached to a house	1	27
Western Australia	Flat/apartment	Attached to a house	2	22
Western Australia	Flat/apartment	Attached to a house	3	6
Western Australia	Flat/apartment	Attached to a house	4	11
Western Australia	Flat/apartment	Attached to a house	5	4
Western Australia	Semi-detached, row/terrace house, townhouse etc.		0	76
Western Australia	Semi-detached, row/terrace house, townhouse etc.	1 storey		2918
Western Australia	Semi-detached, row/terrace house, townhouse etc.	1 storey	0	221
Western Australia	Semi-detached, row/terrace house, townhouse etc.	1 storey	1	6930
Western Australia	Semi-detached, row/terrace house, townhouse etc.	1 storey	2	29461
Western Australia	Semi-detached, row/terrace house, townhouse etc.	1 storey	3	46423
Western Australia	Semi-detached, row/terrace house, townhouse etc.	1 storey	4	5643
Western Australia	Semi-detached, row/terrace house, townhouse etc.	1 storey	5	440
Western Australia	Semi-detached, row/terrace house, townhouse etc.	1 storey	6	166
Western Australia	Semi-detached, row/terrace house, townhouse etc.	2 storeys or more		613
Western Australia	Semi-detached, row/terrace house, townhouse etc.	2 storeys or more	1	1830
Western Australia	Semi-detached, row/terrace house, townhouse etc.	2 storeys or more	2	7085
Western Australia	Semi-detached, row/terrace house, townhouse etc.	2 storeys or more	3	15903
Western Australia	Semi-detached, row/terrace house, townhouse etc.	2 storeys or more	4	4241
Western Australia	Semi-detached, row/terrace house, townhouse etc.	2 storeys or more	5	503
Western Australia	Semi-detached, row/terrace house, townhouse etc.	2 storeys or more	6	104
Western Australia	Separate house			12145
Western Australia	Separate house		0	779
Western Australia	Separate house		1	6110
Western Australia	Separate house		2	42403
Western Australia	Separate house		3	256076
Western Australia	Separate house		4	318040
Western Australia	Separate house		5	42679
Western Australia	Separate house		6	7586
Tasmania				84
Tasmania			0	11
Tasmania			1	71
Tasmania			2	189
Tasmania			3	239
Tasmania			4	96
Tasmania			5	22
Tasmania			6	19
Tasmania	(Other)			77
Tasmania	(Other)		0	104
Tasmania	(Other)		1	393
Tasmania	(Other)		2	284
Tasmania	(Other)		3	239
Tasmania	(Other)		4	71
Tasmania	(Other)		5	13
Tasmania	(Other)		6	15
Tasmania	Flat/apartment		6	6
Tasmania	Flat/apartment	1 or 2 storey block		328
Tasmania	Flat/apartment	1 or 2 storey block	0	113
Tasmania	Flat/apartment	1 or 2 storey block	1	2551
Tasmania	Flat/apartment	1 or 2 storey block	2	4997
Tasmania	Flat/apartment	1 or 2 storey block	3	991
Tasmania	Flat/apartment	1 or 2 storey block	4	167
Tasmania	Flat/apartment	1 or 2 storey block	5	30
Tasmania	Flat/apartment	1 or 2 storey block	6	18
Tasmania	Flat/apartment	3 storey block		24
Tasmania	Flat/apartment	3 storey block	0	59
Tasmania	Flat/apartment	3 storey block	1	280
Tasmania	Flat/apartment	3 storey block	2	569
Tasmania	Flat/apartment	3 storey block	3	121
Tasmania	Flat/apartment	3 storey block	4	12
Tasmania	Flat/apartment	3 storey block	5	3
Tasmania	Flat/apartment	4 storey block or more		31
Tasmania	Flat/apartment	4 storey block or more	0	47
Tasmania	Flat/apartment	4 storey block or more	1	262
Tasmania	Flat/apartment	4 storey block or more	2	397
Tasmania	Flat/apartment	4 storey block or more	3	76
Tasmania	Flat/apartment	4 storey block or more	4	3
Tasmania	Flat/apartment	4 storey block or more	5	4
Tasmania	Flat/apartment	Attached to a house		10
Tasmania	Flat/apartment	Attached to a house	1	71
Tasmania	Flat/apartment	Attached to a house	2	53
Tasmania	Flat/apartment	Attached to a house	3	18
Tasmania	Flat/apartment	Attached to a house	4	6
Tasmania	Flat/apartment	Attached to a house	5	4
Tasmania	Semi-detached, row/terrace house, townhouse etc.		0	18
Tasmania	Semi-detached, row/terrace house, townhouse etc.	1 storey		404
Tasmania	Semi-detached, row/terrace house, townhouse etc.	1 storey	0	53
Tasmania	Semi-detached, row/terrace house, townhouse etc.	1 storey	1	2227
Tasmania	Semi-detached, row/terrace house, townhouse etc.	1 storey	2	4462
Tasmania	Semi-detached, row/terrace house, townhouse etc.	1 storey	3	891
Tasmania	Semi-detached, row/terrace house, townhouse etc.	1 storey	4	127
Tasmania	Semi-detached, row/terrace house, townhouse etc.	1 storey	5	29
Tasmania	Semi-detached, row/terrace house, townhouse etc.	1 storey	6	13
Tasmania	Semi-detached, row/terrace house, townhouse etc.	2 storeys or more		80
Tasmania	Semi-detached, row/terrace house, townhouse etc.	2 storeys or more	1	297
Tasmania	Semi-detached, row/terrace house, townhouse etc.	2 storeys or more	2	1645
Tasmania	Semi-detached, row/terrace house, townhouse etc.	2 storeys or more	3	836
Tasmania	Semi-detached, row/terrace house, townhouse etc.	2 storeys or more	4	222
Tasmania	Semi-detached, row/terrace house, townhouse etc.	2 storeys or more	5	58
Tasmania	Semi-detached, row/terrace house, townhouse etc.	2 storeys or more	6	24
Tasmania	Separate house			3500
Tasmania	Separate house		0	363
Tasmania	Separate house		1	3230
Tasmania	Separate house		2	27921
Tasmania	Separate house		3	95974
Tasmania	Separate house		4	34040
Tasmania	Separate house		5	6512
Tasmania	Separate house		6	1465
Northern Territory				85
Northern Territory			0	28
Northern Territory			1	103
Northern Territory			2	127
Northern Territory			3	152
Northern Territory			4	50
Northern Territory			5	19
Northern Territory			6	15
Northern Territory	(Other)			280
Northern Territory	(Other)		0	402
Northern Territory	(Other)		1	740
Northern Territory	(Other)		2	281
Northern Territory	(Other)		3	293
Northern Territory	(Other)		4	138
Northern Territory	(Other)		5	25
Northern Territory	(Other)		6	15
Northern Territory	Flat/apartment		6	3
Northern Territory	Flat/apartment	1 or 2 storey block		247
Northern Territory	Flat/apartment	1 or 2 storey block	0	64
Northern Territory	Flat/apartment	1 or 2 storey block	1	1005
Northern Territory	Flat/apartment	1 or 2 storey block	2	2503
Northern Territory	Flat/apartment	1 or 2 storey block	3	1010
Northern Territory	Flat/apartment	1 or 2 storey block	4	90
Northern Territory	Flat/apartment	1 or 2 storey block	5	6
Northern Territory	Flat/apartment	1 or 2 storey block	6	7
Northern Territory	Flat/apartment	3 storey block		62
Northern Territory	Flat/apartment	3 storey block	0	51
Northern Territory	Flat/apartment	3 storey block	1	286
Northern Territory	Flat/apartment	3 storey block	2	1155
Northern Territory	Flat/apartment	3 storey block	3	322
Northern Territory	Flat/apartment	3 storey block	4	3
Northern Territory	Flat/apartment	4 storey block or more		122
Northern Territory	Flat/apartment	4 storey block or more	0	32
Northern Territory	Flat/apartment	4 storey block or more	1	583
Northern Territory	Flat/apartment	4 storey block or more	2	2207
Northern Territory	Flat/apartment	4 storey block or more	3	1515
Northern Territory	Flat/apartment	4 storey block or more	4	40
Northern Territory	Flat/apartment	4 storey block or more	6	8
Northern Territory	Flat/apartment	Attached to a house		3
Northern Territory	Flat/apartment	Attached to a house	1	10
Northern Territory	Flat/apartment	Attached to a house	2	11
Northern Territory	Flat/apartment	Attached to a house	3	3
Northern Territory	Flat/apartment	Attached to a house	4	5
Northern Territory	Semi-detached, row/terrace house, townhouse etc.		0	8
Northern Territory	Semi-detached, row/terrace house, townhouse etc.	1 storey		211
Northern Territory	Semi-detached, row/terrace house, townhouse etc.	1 storey	0	37
Northern Territory	Semi-detached, row/terrace house, townhouse etc.	1 storey	1	802
Northern Territory	Semi-detached, row/terrace house, townhouse etc.	1 storey	2	2797
Northern Territory	Semi-detached, row/terrace house, townhouse etc.	1 storey	3	1180
Northern Territory	Semi-detached, row/terrace house, townhouse etc.	1 storey	4	97
Northern Territory	Semi-detached, row/terrace house, townhouse etc.	1 storey	5	21
Northern Territory	Semi-detached, row/terrace house, townhouse etc.	1 storey	6	6
Northern Territory	Semi-detached, row/terrace house, townhouse etc.	2 storeys or more		67
Northern Territory	Semi-detached, row/terrace house, townhouse etc.	2 storeys or more	1	145
Northern Territory	Semi-detached, row/terrace house, townhouse etc.	2 storeys or more	2	1500
Northern Territory	Semi-detached, row/terrace house, townhouse etc.	2 storeys or more	3	865
Northern Territory	Semi-detached, row/terrace house, townhouse etc.	2 storeys or more	4	101
Northern Territory	Semi-detached, row/terrace house, townhouse etc.	2 storeys or more	5	3
Northern Territory	Semi-detached, row/terrace house, townhouse etc.	2 storeys or more	6	3
Northern Territory	Separate house			1283
Northern Territory	Separate house		0	250
Northern Territory	Separate house		1	1196
Northern Territory	Separate house		2	3730
Northern Territory	Separate house		3	22264
Northern Territory	Separate house		4	11675
Northern Territory	Separate house		5	2126
Northern Territory	Separate house		6	571
Australian Capital Territory				25
Australian Capital Territory			0	5
Australian Capital Territory			1	75
Australian Capital Territory			2	60
Australian Capital Territory			3	68
Australian Capital Territory			4	37
Australian Capital Territory			5	3
Australian Capital Territory	(Other)			22
Australian Capital Territory	(Other)		0	17
Australian Capital Territory	(Other)		1	60
Australian Capital Territory	(Other)		2	36
Australian Capital Territory	(Other)		3	31
Australian Capital Territory	(Other)		4	24
Australian Capital Territory	(Other)		5	10
Australian Capital Territory	Flat/apartment		0	3
Australian Capital Territory	Flat/apartment	1 or 2 storey block		202
Australian Capital Territory	Flat/apartment	1 or 2 storey block	0	39
Australian Capital Territory	Flat/apartment	1 or 2 storey block	1	1365
Australian Capital Territory	Flat/apartment	1 or 2 storey block	2	2256
Australian Capital Territory	Flat/apartment	1 or 2 storey block	3	654
Australian Capital Territory	Flat/apartment	1 or 2 storey block	4	67
Australian Capital Territory	Flat/apartment	1 or 2 storey block	5	5
Australian Capital Territory	Flat/apartment	1 or 2 storey block	6	7
Australian Capital Territory	Flat/apartment	3 storey block		153
Australian Capital Territory	Flat/apartment	3 storey block	0	61
Australian Capital Territory	Flat/apartment	3 storey block	1	2307
Australian Capital Territory	Flat/apartment	3 storey block	2	3994
Australian Capital Territory	Flat/apartment	3 storey block	3	740
Australian Capital Territory	Flat/apartment	3 storey block	4	54
Australian Capital Territory	Flat/apartment	4 storey block or more		162
Australian Capital Territory	Flat/apartment	4 storey block or more	0	47
Australian Capital Territory	Flat/apartment	4 storey block or more	1	4039
Australian Capital Territory	Flat/apartment	4 storey block or more	2	4172
Australian Capital Territory	Flat/apartment	4 storey block or more	3	828
Australian Capital Territory	Flat/apartment	4 storey block or more	4	44
Australian Capital Territory	Flat/apartment	4 storey block or more	5	3
Australian Capital Territory	Flat/apartment	Attached to a house		8
Australian Capital Territory	Flat/apartment	Attached to a house	1	102
Australian Capital Territory	Flat/apartment	Attached to a house	2	52
Australian Capital Territory	Flat/apartment	Attached to a house	3	26
Australian Capital Territory	Flat/apartment	Attached to a house	4	3
Australian Capital Territory	Semi-detached, row/terrace house, townhouse etc.		0	42
Australian Capital Territory	Semi-detached, row/terrace house, townhouse etc.	1 storey		381
Australian Capital Territory	Semi-detached, row/terrace house, townhouse etc.	1 storey	0	24
Australian Capital Territory	Semi-detached, row/terrace house, townhouse etc.	1 storey	1	858
Australian Capital Territory	Semi-detached, row/terrace house, townhouse etc.	1 storey	2	4591
Australian Capital Territory	Semi-detached, row/terrace house, townhouse etc.	1 storey	3	7288
Australian Capital Territory	Semi-detached, row/terrace house, townhouse etc.	1 storey	4	671
Australian Capital Territory	Semi-detached, row/terrace house, townhouse etc.	1 storey	5	47
Australian Capital Territory	Semi-detached, row/terrace house, townhouse etc.	1 storey	6	13
Australian Capital Territory	Semi-detached, row/terrace house, townhouse etc.	2 storeys or more		219
Australian Capital Territory	Semi-detached, row/terrace house, townhouse etc.	2 storeys or more	1	772
Australian Capital Territory	Semi-detached, row/terrace house, townhouse etc.	2 storeys or more	2	2857
Australian Capital Territory	Semi-detached, row/terrace house, townhouse etc.	2 storeys or more	3	5972
Australian Capital Territory	Semi-detached, row/terrace house, townhouse etc.	2 storeys or more	4	1400
Australian Capital Territory	Semi-detached, row/terrace house, townhouse etc.	2 storeys or more	5	124
Australian Capital Territory	Semi-detached, row/terrace house, townhouse etc.	2 storeys or more	6	27
Australian Capital Territory	Separate house			1461
Australian Capital Territory	Separate house		0	67
Australian Capital Territory	Separate house		1	630
Australian Capital Territory	Separate house		2	3285
Australian Capital Territory	Separate house		3	41074
Australian Capital Territory	Separate house		4	39654
Australian Capital Territory	Separate house		5	7944
Australian Capital Territory	Separate house		6	1409
Other Territories			2	3
Other Territories			3	9
Other Territories			6	3
Other Territories	(Other)			3
Other Territories	(Other)		0	3
Other Territories	(Other)		1	3
Other Territories	Flat/apartment	1 or 2 storey block		5
Other Territories	Flat/apartment	1 or 2 storey block	0	3
Other Territories	Flat/apartment	1 or 2 storey block	1	17
Other Territories	Flat/apartment	1 or 2 storey block	2	17
Other Territories	Flat/apartment	1 or 2 storey block	3	3
Other Territories	Flat/apartment	3 storey block		3
Other Territories	Flat/apartment	3 storey block	2	16
