LGA_CODE_2016,CF_C_BPBO_DC_0_4,CF_C_BPBO_DC_5_9,CF_C_BPBO_DC_10_12,CF_C_BPBO_DC_13_14,CF_C_BPBO_DC_15_17,CF_C_BPBO_DC_18_20,CF_C_BPBO_DC_21_24,CF_C_BPBO_Tot,CF_C_FBO_DC_0_4,CF_C_FBO_DC_5_9,CF_C_FBO_DC_10_12,CF_C_FBO_DC_13_14,CF_C_FBO_DC_15_17,CF_C_FBO_DC_18_20,CF_C_FBO_DC_21_24,CF_C_FBO_Tot,CF_C_MBO_DC_0_4,CF_C_MBO_DC_5_9,CF_C_MBO_DC_10_12,CF_C_MBO_DC_13_14,CF_C_MBO_DC_15_17,CF_C_MBO_DC_18_20,CF_C_MBO_DC_21_24,CF_C_MBO_Tot,CF_C_BPBAu_DC_0_4,CF_C_BPBAu_DC_5_9,CF_C_BPBAu_DC_10_12,CF_C_BPBAu_DC_13_14,CF_C_BPBAu_DC_15_17,CF_C_BPBAu_DC_18_20,CF_C_BPBAu_DC_21_24,CF_C_BPBAu_Tot,CF_C_BP_NS_DC_0_4,CF_C_BP_NS_DC_5_9,CF_C_BP_NS_DC_10_12,CF_C_BP_NS_DC_13_14,CF_C_BP_NS_DC_15_17,CF_C_BP_NS_DC_18_20,CF_C_BP_NS_DC_21_24,CF_C_BP_NS_Tot,CF_C_Tot_DC_0_4,CF_C_Tot_DC_5_9,CF_C_Tot_DC_10_12,CF_C_Tot_DC_13_14,CF_C_Tot_DC_15_17,CF_C_Tot_DC_18_20,CF_C_Tot_DC_21_24,CF_C_Tot_Tot,One_PF_BPBO_DC_0_4,One_PF_BPBO_DC_5_9,One_PF_BPBO_DC_10_12,One_PF_BPBO_DC_13_14,One_PF_BPBO_DC_15_17,One_PF_BPBO_DC_18_20,One_PF_BPBO_DC_21_24,One_PF_BPBO_Tot,One_PF_FBO_DC_0_4,One_PF_FBO_DC_5_9,One_PF_FBO_DC_10_12,One_PF_FBO_DC_13_14,One_PF_FBO_DC_15_17,One_PF_FBO_DC_18_20,One_PF_FBO_DC_21_24,One_PF_FBO_Tot,One_PF_MBO_DC_0_4,One_PF_MBO_DC_5_9,One_PF_MBO_DC_10_12,One_PF_MBO_DC_13_14,One_PF_MBO_DC_15_17,One_PF_MBO_DC_18_20,One_PF_MBO_DC_21_24,One_PF_MBO_Tot,One_PF_BPBAu_DC_0_4,One_PF_BPBAu_DC_5_9,One_PF_BPBAu_DC_10_12,One_PF_BPBAu_DC_13_14,One_PF_BPBAu_DC_15_17,One_PF_BPBAu_DC_18_20,One_PF_BPBAu_DC_21_24,One_PF_BPBAu_Tot,One_PF_BP_NS_DC_0_4,One_PF_BP_NS_DC_5_9,One_PF_BP_NS_DC_10_12,One_PF_BP_NS_DC_13_14,One_PF_BP_NS_DC_15_17,One_PF_BP_NS_DC_18_20,One_PF_BP_NS_DC_21_24,One_PF_BP_NS_Tot,One_PF_Tot_DC_0_4,One_PF_Tot_DC_5_9,One_PF_Tot_DC_10_12,One_PF_Tot_DC_13_14,One_PF_Tot_DC_15_17,One_PF_Tot_DC_18_20,One_PF_Tot_DC_21_24,One_PF_Tot_Tot,Tot_DC_0_4,Tot_DC_5_9,Tot_DC_10_12,Tot_DC_13_14,Tot_DC_15_17,Tot_DC_18_20,Tot_DC_21_24,Tot_Tot
LGA11570,10288,9203,5174,3432,5015,3679,1993,38791,2637,2679,1411,833,1009,493,202,9267,1828,1667,832,461,542,274,138,5740,5612,5300,2685,1454,1785,869,387,18091,166,160,70,55,45,29,14,542,20532,19005,10178,6237,8397,5342,2733,72431,969,1453,1141,869,1429,925,578,7365,489,689,417,295,313,146,58,2396,252,368,258,150,182,83,47,1336,985,1091,659,402,556,192,85,3965,141,163,81,54,57,25,9,532,2835,3764,2554,1765,2536,1365,777,15601,23369,22767,12732,8004,10935,6714,3509,88026
LGA11600,14,11,10,5,6,0,0,44,13,3,3,0,4,0,0,28,9,0,3,0,0,0,0,14,105,109,71,31,33,0,0,359,0,0,0,0,0,0,0,0,144,128,83,37,41,3,0,439,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,4,3,0,0,0,0,0,0,3,18,20,17,7,6,0,0,65,3,0,0,0,0,0,0,7,24,22,21,4,13,0,0,82,169,149,104,42,54,3,0,524
LGA11650,1290,1436,812,535,687,331,159,5241,1340,1501,850,536,715,271,124,5341,1210,1279,698,426,547,213,97,4476,10685,10845,6271,3902,5073,1718,776,39274,75,93,59,43,38,9,3,314,14598,15151,8692,5435,7054,2543,1159,54641,67,192,152,122,174,67,41,814,322,459,316,220,295,99,34,1743,167,285,202,139,205,48,28,1080,2664,3519,2263,1533,2023,518,232,12759,136,128,91,41,53,7,0,459,3359,4586,3022,2054,2755,743,339,16855,17959,19737,11719,7484,9808,3286,1495,71499
LGA11700,4,3,0,0,0,0,0,8,3,4,4,0,0,0,0,6,0,9,4,0,0,0,0,12,70,43,11,19,7,4,0,160,3,4,3,0,0,0,0,10,83,59,23,23,12,4,0,202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,30,36,16,18,11,0,0,108,0,3,3,0,0,0,0,6,26,37,19,22,11,0,0,122,110,103,38,39,27,4,3,317
LGA11720,69,63,51,29,24,14,3,255,99,101,54,31,42,9,3,343,84,88,47,34,41,11,6,306,2253,2329,1209,811,1041,228,84,7952,10,25,16,7,5,0,0,54,2511,2600,1371,907,1149,265,93,8913,6,3,12,4,10,3,0,34,29,38,26,20,30,3,0,150,6,21,11,8,15,0,0,60,867,981,556,367,366,77,21,3234,29,26,21,10,10,3,0,107,950,1070,619,405,429,83,26,3589,3460,3676,1994,1317,1580,344,122,12496
LGA11730,52,75,40,12,32,3,0,217,81,91,52,32,39,10,0,307,83,97,49,29,43,6,3,316,1433,1646,997,636,916,139,18,5780,14,9,4,6,9,0,0,43,1665,1923,1152,718,1038,164,21,6667,0,13,6,4,9,0,0,31,22,41,22,21,27,9,0,138,16,26,18,16,24,5,4,108,531,716,416,263,344,54,13,2334,26,21,19,11,4,0,0,88,590,813,481,318,410,68,22,2696,2259,2730,1629,1033,1446,227,42,9364
LGA11750,21,25,6,9,4,0,0,70,14,8,4,5,3,0,0,36,26,5,5,4,9,0,0,49,206,231,99,53,78,6,0,682,0,0,0,0,0,0,0,3,263,273,123,75,92,11,3,834,4,0,0,0,0,0,0,6,0,0,3,0,0,0,0,4,0,0,0,3,3,0,0,3,40,58,26,25,15,0,0,164,0,3,3,0,0,0,0,9,43,61,32,31,18,3,0,190,308,335,157,100,111,13,3,1023
LGA11800,360,379,198,129,166,60,18,1305,202,226,124,80,94,24,4,758,238,215,117,86,110,19,8,789,2175,2404,1350,842,1087,226,59,8143,20,15,10,13,6,0,0,72,3002,3243,1794,1144,1462,321,93,11061,49,67,71,48,66,38,18,365,49,101,54,42,56,4,3,307,24,50,42,42,49,8,4,221,587,909,551,390,466,84,23,3006,21,45,28,20,14,3,0,127,733,1164,751,539,655,141,52,4036,3729,4406,2546,1684,2117,468,141,15092
LGA12000,3,3,3,0,3,0,0,12,6,6,0,3,3,0,0,19,0,0,4,3,0,0,0,14,181,192,136,86,110,14,3,723,4,0,0,3,0,0,0,5,184,201,140,100,116,12,4,772,0,0,0,0,0,0,0,0,0,4,6,0,3,0,0,15,0,0,0,0,0,0,0,6,30,67,38,22,19,3,0,183,3,3,0,0,3,0,0,10,30,76,46,23,28,3,3,208,216,283,189,120,145,15,8,977
LGA12150,0,3,4,0,0,0,0,7,0,0,0,3,0,0,0,7,5,4,0,0,0,0,0,10,116,124,74,41,46,0,0,398,3,3,0,0,0,0,0,3,131,131,75,43,49,4,0,435,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,85,52,35,24,3,0,286,4,5,3,3,0,0,0,16,91,97,60,41,24,3,0,307,225,226,137,81,64,10,0,740
LGA12350,21,9,7,4,8,0,0,49,16,15,7,3,6,0,0,49,4,11,10,11,7,0,0,45,430,443,303,174,190,45,8,1601,0,4,0,3,3,0,0,11,467,481,329,192,215,49,8,1746,4,4,0,0,0,0,0,9,0,4,4,3,4,0,0,20,3,0,0,0,3,0,0,12,133,157,92,65,84,7,5,557,3,3,4,3,0,0,0,17,143,177,101,83,90,12,5,609,612,662,431,276,309,59,10,2357
LGA12380,9093,7741,3751,2293,3384,2510,1409,30188,1509,1455,752,471,481,213,93,4976,1026,918,409,224,259,129,43,3018,2495,2107,1007,584,650,312,118,7282,106,106,52,31,20,8,0,326,14234,12333,5972,3608,4802,3173,1665,45780,650,896,642,479,761,536,362,4332,267,337,201,118,131,51,24,1123,138,174,109,70,84,31,20,622,512,552,295,180,245,77,45,1894,85,76,41,28,36,15,5,283,1650,2041,1294,865,1253,701,455,8256,15881,14376,7262,4473,6053,3872,2123,54044
LGA12700,0,5,3,3,3,5,0,22,10,26,15,4,13,0,0,71,8,16,14,6,5,0,3,58,358,405,188,158,201,50,21,1378,0,3,0,3,3,0,0,16,376,461,222,181,224,52,23,1537,0,3,0,0,0,0,0,3,0,5,4,3,3,0,0,19,0,3,0,0,0,0,0,11,62,103,53,55,49,12,3,333,3,8,4,0,0,0,0,13,67,121,63,60,47,12,3,366,439,575,286,237,275,62,30,1906
LGA12730,16,10,9,3,7,0,0,41,5,10,4,3,3,0,0,34,6,10,10,0,4,0,0,35,326,373,209,118,146,22,0,1189,3,3,0,3,4,0,0,10,358,403,232,127,166,23,0,1312,0,4,3,0,3,0,0,9,3,3,7,3,4,0,0,14,0,0,3,5,0,0,0,16,68,91,51,38,54,12,0,320,6,5,0,6,3,3,0,23,81,101,59,52,68,16,0,380,435,506,294,182,227,45,3,1690
LGA12750,39,37,24,23,27,3,0,153,42,72,44,35,48,10,0,247,63,61,41,30,43,10,0,242,865,1050,638,398,456,83,7,3498,6,11,8,0,3,0,0,29,1019,1225,747,485,576,106,12,4168,0,8,8,8,10,3,0,32,10,35,29,19,26,3,0,127,7,28,11,16,20,8,0,85,298,439,263,181,221,36,4,1438,15,16,7,3,12,0,0,54,334,522,319,229,285,47,6,1741,1357,1745,1070,711,859,151,14,5910
LGA12850,5924,6573,4017,2846,4082,3023,1731,28205,852,699,370,230,288,149,88,2672,786,557,272,159,211,94,57,2138,1531,1294,718,442,610,295,141,5025,87,89,54,29,34,7,3,310,9184,9212,5433,3702,5223,3572,2027,38350,1121,1800,1278,943,1344,945,497,7925,251,288,155,99,105,45,27,976,166,209,100,71,85,42,19,694,505,504,307,217,242,68,42,1888,162,157,99,75,66,45,15,615,2200,2965,1939,1398,1850,1151,596,12100,11388,12173,7370,5100,7072,4723,2624,50447
LGA12870,17,22,3,5,7,0,3,52,12,16,11,5,9,3,0,61,16,17,10,4,8,0,0,59,423,499,294,160,196,32,11,1619,4,5,0,0,0,0,0,8,477,550,316,180,227,36,15,1802,0,0,3,0,0,0,0,3,4,7,0,4,3,0,0,17,3,4,0,0,3,0,0,14,93,118,78,58,72,9,5,440,0,9,0,3,4,0,0,19,103,139,89,62,81,12,8,492,579,690,405,245,305,50,20,2296
LGA12900,15,17,3,0,5,0,0,43,5,11,13,3,4,0,0,37,10,12,6,4,5,0,0,38,402,430,205,156,154,33,4,1370,3,0,0,0,0,0,0,8,443,465,230,168,165,28,4,1502,0,0,0,0,0,0,0,0,4,3,0,0,3,0,0,14,3,0,0,3,0,0,0,5,104,124,76,51,61,9,3,422,8,8,7,3,9,0,0,36,114,138,85,59,73,9,3,480,555,605,315,221,235,37,6,1983
LGA12930,3766,2915,1516,1059,1589,1315,659,12817,685,688,389,274,352,216,102,2701,700,669,364,203,278,150,75,2433,2262,2520,1432,927,1246,739,340,9463,41,37,19,19,3,6,6,127,7451,6834,3714,2473,3471,2415,1176,27548,298,443,307,270,474,376,207,2371,97,144,81,64,87,58,27,565,67,116,78,52,68,34,18,442,226,318,224,179,269,123,59,1407,30,32,21,8,20,4,0,120,730,1052,718,576,916,608,314,4913,8182,7888,4429,3047,4386,3022,1493,32458
LGA12950,12,5,0,0,0,0,0,18,6,6,0,0,3,3,0,21,6,5,3,0,7,0,0,23,145,183,80,57,71,3,4,539,0,3,0,0,0,0,0,9,168,205,87,58,71,11,4,607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,66,60,41,30,29,0,0,231,8,5,4,0,0,0,0,15,70,68,48,32,29,0,0,250,242,279,133,90,102,9,4,857
LGA13010,12,6,5,3,4,0,0,30,15,13,8,0,8,0,0,38,8,11,4,3,4,4,0,37,267,305,188,113,145,25,0,1040,3,0,0,0,0,0,0,7,303,335,202,120,153,27,3,1143,0,0,0,0,4,0,0,3,10,5,4,3,0,0,0,21,3,3,0,0,3,0,0,10,94,107,73,36,52,4,5,376,0,8,11,3,5,0,0,27,105,122,91,51,63,4,5,439,408,457,296,168,218,27,9,1581
LGA13310,90,87,41,23,49,11,3,298,47,66,47,38,33,6,3,230,67,88,36,34,23,5,3,252,1028,1072,637,368,481,80,36,3702,11,3,3,0,5,4,0,24,1242,1312,757,459,589,104,38,4501,4,10,5,4,9,0,0,38,12,25,7,14,15,0,3,73,6,16,4,6,5,0,0,36,309,384,215,145,205,21,14,1301,10,11,11,4,0,0,0,38,350,444,251,173,232,26,15,1488,1595,1756,1010,627,822,132,54,5991
LGA13340,11,19,7,11,5,0,0,51,16,22,21,9,16,0,0,91,20,32,13,13,15,3,0,100,443,553,325,200,237,53,18,1840,5,0,3,0,0,0,0,10,501,620,372,239,271,58,18,2086,3,0,0,0,0,0,0,4,3,5,4,6,3,0,0,28,0,0,7,0,3,0,0,10,69,98,65,63,58,5,0,363,3,3,0,0,0,0,0,8,77,110,82,66,65,5,4,413,580,731,455,304,333,64,22,2497
