LGA_CODE_2016,Num_Psns_UR_1_FamHhold,Num_Psns_UR_1_NonFamHhold,Num_Psns_UR_1_Total,Num_Psns_UR_2_FamHhold,Num_Psns_UR_2_NonFamHhold,Num_Psns_UR_2_Total,Num_Psns_UR_3_FamHhold,Num_Psns_UR_3_NonFamHhold,Num_Psns_UR_3_Total,Num_Psns_UR_4_FamHhold,Num_Psns_UR_4_NonFamHhold,Num_Psns_UR_4_Total,Num_Psns_UR_5_FamHhold,Num_Psns_UR_5_NonFamHhold,Num_Psns_UR_5_Total,Num_Psns_UR_6mo_FamHhold,Num_Psns_UR_6mo_NonFamHhold,Num_Psns_UR_6mo_Total,Total_FamHhold,Total_NonFamHhold,Total_Total
LGA11520,..,7069,7069,9755,1281,11033,5517,515,6027,5288,177,5465,1743,54,1798,679,33,710,22984,9119,32102
LGA11570,..,21173,21173,25425,2288,27714,18859,627,19482,19748,345,20093,10585,175,10765,8395,144,8538,83008,24758,107772
LGA11600,..,272,272,341,30,374,131,3,135,116,0,115,56,0,56,32,0,35,681,304,986
LGA11650,..,31956,31956,37924,3102,41023,17756,424,18179,17999,124,18126,7934,50,7982,3762,19,3781,85380,35668,121048
LGA11700,..,228,228,147,9,159,77,5,85,63,0,64,27,0,27,41,0,41,358,244,605
LGA11720,..,4827,4827,6106,460,6567,3067,42,3108,2844,9,2856,1353,3,1357,648,0,648,14021,5349,19368
LGA11730,..,5736,5736,7311,559,7871,2415,47,2460,1962,13,1970,1000,4,1002,556,3,563,13248,6355,19605
LGA11750,..,503,503,544,34,580,188,3,190,203,0,203,109,0,109,55,0,55,1104,535,1640
LGA11800,..,7276,7276,9151,846,9993,3803,117,3924,3401,44,3450,1551,10,1563,832,12,847,18743,8306,27042
LGA12000,..,371,371,525,28,555,212,3,217,171,0,171,115,0,115,65,0,65,1089,403,1491
LGA12150,..,438,438,443,33,477,189,0,191,135,0,131,74,0,74,60,0,60,896,475,1370
LGA12350,..,1485,1485,1722,92,1815,628,9,635,511,0,511,243,0,243,136,0,136,3236,1590,4823
LGA12380,..,11610,11610,13737,1433,15171,11513,617,12124,11949,459,12404,6617,308,6923,5861,408,6263,49677,14830,64503
LGA12700,..,779,779,1168,50,1214,472,5,476,469,0,470,208,0,208,101,0,101,2416,834,3257
LGA12730,..,1083,1083,1184,75,1261,393,10,405,368,3,372,187,3,188,70,3,66,2197,1173,3376
LGA12750,..,4654,4654,6181,324,6513,1618,36,1652,1301,9,1306,579,3,579,328,0,328,10010,5025,15032
LGA12850,..,9002,9002,12434,954,13388,10321,211,10533,11084,88,11169,6745,32,6778,6276,31,6310,46864,10324,57190
LGA12870,..,1492,1492,1850,97,1944,542,9,553,501,3,502,251,0,253,96,0,102,3238,1601,4843
LGA12900,..,1034,1034,1215,72,1286,434,11,440,384,0,384,240,0,240,109,0,109,2379,1120,3496
LGA12930,..,9325,9325,12381,1269,13646,8934,512,9443,9351,262,9617,4037,100,4144,2441,59,2501,37151,11522,48676
LGA12950,..,463,463,578,30,604,183,0,183,170,0,170,110,0,110,43,0,43,1088,500,1587
LGA13010,..,1147,1147,1229,86,1320,395,4,400,312,0,313,182,0,182,67,0,67,2187,1243,3427
LGA13310,..,3208,3208,3619,230,3851,1544,27,1569,1331,4,1339,628,8,632,339,7,343,7467,3479,10945
LGA13340,..,948,948,1321,56,1381,444,7,455,487,0,487,281,0,281,147,0,147,2685,1009,3699
LGA13450,..,2027,2027,2604,187,2793,1182,42,1222,1339,18,1361,723,11,735,338,10,351,6186,2295,8487
LGA13510,..,1333,1333,1626,87,1714,502,4,511,442,0,446,240,0,246,115,0,115,2934,1425,4358
LGA13550,..,1277,1277,1469,92,1556,645,19,659,610,3,606,279,3,281,142,0,142,3141,1390,4527
LGA13660,..,590,590,757,44,799,225,3,228,194,0,200,125,0,125,46,0,46,1351,637,1987
LGA13800,..,4389,4389,6081,410,6497,3602,69,3671,3748,24,3776,1909,5,1920,1065,0,1061,16405,4903,21307
LGA13850,..,346,346,398,19,412,138,0,138,104,0,109,66,0,66,25,0,25,732,368,1097
LGA13910,..,2134,2134,2475,164,2637,855,16,872,792,3,795,428,0,428,215,0,215,4759,2315,7075
LGA14000,..,8167,8167,12564,676,13243,8601,151,8753,10646,59,10702,4273,18,4294,1843,4,1852,37931,9084,47010
LGA14100,..,1110,1110,1288,73,1363,677,10,689,848,3,852,415,0,421,137,0,137,3374,1201,4573
LGA14170,..,18946,18946,19651,3831,23476,10452,1628,12082,9375,645,10020,2839,195,3035,1138,98,1238,43456,25349,68796
LGA14200,..,1728,1728,2142,145,2282,814,11,824,702,4,707,381,4,381,188,0,188,4223,1895,6113
LGA14300,..,527,527,632,33,668,271,3,276,229,3,232,142,0,143,73,4,72,1343,576,1922
LGA14350,..,3111,3111,3758,282,4042,1444,29,1474,1078,13,1092,556,3,562,367,3,370,7205,3445,10651
LGA14400,..,1665,1665,2904,158,3065,1072,21,1090,1145,5,1153,537,3,541,206,0,206,5865,1854,7719
LGA14500,..,6152,6152,10776,418,11199,6623,94,6715,9067,48,9115,3883,23,3901,1379,11,1389,31725,6746,38476
LGA14550,..,1142,1142,1275,103,1382,416,9,425,312,0,310,186,0,186,88,0,88,2274,1249,3525
LGA14600,..,644,644,743,29,770,287,8,293,259,0,260,157,0,157,80,0,80,1522,679,2206
LGA14650,..,17610,17610,24415,1479,25894,11307,210,11515,11486,55,11541,4571,7,4579,1916,13,1935,53698,19374,73075
LGA14700,..,3407,3407,4089,467,4554,2162,100,2265,2186,33,2213,823,9,833,257,0,255,9512,4023,13534
LGA14750,..,1092,1092,1275,74,1349,521,15,534,494,4,496,268,0,268,126,0,126,2690,1184,3868
LGA14850,..,4754,4754,5118,625,5740,2270,101,2368,1946,36,1978,918,9,929,425,3,427,10672,5522,16195
LGA14870,..,2561,2561,2567,174,2742,1038,7,1044,931,3,929,394,0,398,186,0,186,5114,2745,7862
LGA14900,..,9208,9208,12559,821,13382,10765,136,10904,12945,41,12991,7119,20,7137,5161,11,5173,48556,10233,58786
LGA14920,..,875,875,1017,71,1092,364,3,364,336,0,334,171,0,171,72,0,72,1954,956,2916
LGA14950,..,313,313,407,13,425,120,3,120,150,0,150,74,0,74,41,0,41,797,333,1129
LGA15050,..,5948,5948,8684,559,9242,4524,83,4605,4621,13,4632,2013,4,2018,922,0,921,20758,6613,27374
LGA15240,..,10798,10798,14210,920,15130,4289,79,4368,3481,21,3503,1606,5,1611,822,0,823,24408,11824,36233
LGA15270,..,2531,2531,2907,217,3121,1192,27,1218,1103,7,1106,546,5,548,242,0,242,5993,2780,8768
LGA15300,..,1339,1339,1381,118,1497,668,12,681,563,0,563,294,0,294,174,0,174,3077,1464,4545
LGA15350,..,3242,3242,3448,275,3729,1548,42,1591,1621,4,1625,671,0,671,169,0,169,7458,3567,11022
LGA15520,..,1292,1292,1756,77,1841,487,5,494,488,3,489,257,0,257,95,0,95,3088,1382,4470
LGA15560,..,381,381,446,27,478,191,4,192,155,0,155,96,0,96,48,0,48,941,415,1361
LGA15650,..,1543,1543,1772,159,1930,883,18,901,830,7,836,381,0,381,166,0,166,4038,1722,5764
LGA15700,..,2450,2450,2774,220,3001,891,20,913,716,6,722,386,0,391,205,0,205,4981,2700,7684
LGA15750,..,1277,1277,1527,120,1648,601,9,611,600,3,606,329,0,325,154,0,154,3211,1409,4625
LGA15800,..,684,684,708,50,759,262,9,267,249,0,249,134,0,135,59,0,59,1407,737,2148
LGA15850,..,655,655,802,46,845,302,3,306,251,0,251,172,0,172,91,0,91,1616,705,2318
LGA15900,..,17490,17490,17728,2538,20264,8476,1006,9485,7969,355,8324,3066,121,3188,1150,89,1230,38386,21595,59974
LGA15950,..,10634,10634,10293,1471,11766,3788,451,4239,2559,73,2631,615,22,639,155,3,159,17411,12648,30068
LGA15990,..,19132,19132,25220,2217,27432,13603,597,14200,17345,152,17496,7024,59,7081,2578,20,2599,65764,22178,87940
LGA16100,..,510,510,690,47,736,230,3,233,236,0,236,107,0,107,54,0,54,1316,560,1875
LGA16150,..,4218,4218,4579,364,4943,2052,47,2096,2036,36,2066,950,16,961,448,3,451,10053,4680,14735
LGA16200,..,1575,1575,1738,88,1831,699,14,709,624,5,624,353,3,357,203,0,203,3609,1686,5294
LGA16260,..,15221,15221,19887,2219,22105,14959,750,15708,13966,335,14307,5406,128,5532,2855,105,2953,57074,18752,75819
LGA16350,..,12236,12236,17474,1367,18839,11419,206,11628,11803,57,11859,5611,19,5630,3471,6,3478,49777,13884,63667
LGA16380,..,8819,8819,11611,805,12415,3780,104,3887,3422,33,3455,1584,6,1586,692,0,696,21086,9769,30855
LGA16400,..,6360,6360,9215,560,9780,3503,63,3565,3423,12,3438,1539,5,1541,771,0,772,18447,7007,25452
LGA16490,..,5171,5171,5972,400,6372,3139,63,3204,3291,10,3304,1427,3,1433,553,0,553,14382,5642,20023
LGA16550,..,13096,13096,13571,3059,16630,7336,1405,8745,7292,616,7904,2593,273,2867,989,146,1139,31774,18599,50374
LGA16610,..,2507,2507,2864,234,3097,1117,20,1132,979,6,980,524,3,530,305,0,305,5784,2761,8549
LGA16650,..,8719,8719,10203,1389,11591,6519,469,6991,6091,218,6301,2608,97,2706,1585,67,1648,27005,10949,37956
LGA16700,..,9578,9578,11314,1391,12703,7128,494,7622,6990,214,7204,2654,119,2770,1307,85,1394,29386,11881,41267
LGA16900,..,4859,4859,7408,395,7806,3985,41,4029,4238,12,4256,1807,4,1812,881,0,879,18321,5320,23643
LGA16950,..,10916,10916,14372,876,15245,4818,77,4899,4198,23,4215,1937,7,1942,972,3,979,26292,11896,38187
LGA17000,..,1719,1719,2413,156,2563,1234,10,1247,1346,8,1357,599,0,599,260,0,260,5850,1887,7741
LGA17040,..,2293,2293,2589,192,2783,952,37,988,899,17,913,376,7,385,149,4,155,4969,2549,7518
LGA17080,..,1576,1576,2006,84,2091,623,7,631,661,3,660,293,0,294,129,0,136,3715,1676,5388
LGA17100,..,2214,2214,2910,493,3405,2395,230,2622,2393,157,2552,1072,80,1151,654,68,721,9434,3238,12674
LGA17150,..,16039,16039,22501,1451,23950,12523,209,12728,14837,60,14903,6454,8,6464,2266,5,2274,58577,17776,76356
LGA17200,..,31858,31858,25601,7205,32803,7839,3108,10951,4882,1815,6689,1322,623,1948,688,488,1177,40324,45098,85423
LGA17310,..,5972,5972,7161,552,7707,3117,81,3197,2822,21,2849,1355,11,1366,633,20,654,15096,6652,21752
LGA17350,..,705,705,834,43,884,278,0,276,243,0,243,148,0,148,90,0,90,1597,753,2344
LGA17400,..,941,941,1013,62,1075,256,3,263,224,0,224,112,0,112,61,0,61,1674,1007,2682
LGA17420,..,5424,5424,12083,461,12543,8935,149,9077,12331,48,12377,5652,36,5684,2678,45,2727,41682,6160,47836
LGA17550,..,10104,10104,12003,1152,13155,4534,143,4676,4298,34,4325,1898,6,1901,918,4,924,23650,11441,35089
LGA17620,..,1471,1471,1756,108,1867,658,27,685,668,4,667,346,3,354,123,0,123,3557,1609,5161
LGA17640,..,845,845,1087,40,1128,340,6,346,334,0,340,173,0,173,83,0,83,2021,888,2912
LGA17650,..,616,616,839,55,895,262,0,262,300,0,300,151,0,151,60,0,60,1614,669,2281
LGA17750,..,5880,5880,7133,660,7789,3170,191,3360,3033,72,3105,1553,14,1568,678,5,687,15570,6825,22397
LGA17850,..,359,359,448,25,466,138,0,138,134,0,134,80,0,80,17,0,17,812,379,1187
LGA17900,..,854,854,672,77,742,251,8,259,221,0,221,103,3,107,103,0,103,1354,937,2286
LGA17950,..,318,318,351,16,367,120,6,125,108,0,108,59,0,59,42,0,42,675,340,1007
LGA18020,..,1107,1107,1316,65,1377,377,7,383,360,0,360,192,0,192,102,0,102,2345,1179,3517
LGA18050,..,6979,6979,7197,1857,9056,3477,623,4092,3191,249,3432,1150,61,1206,357,36,392,15370,9797,25166
LGA18100,..,471,471,560,33,591,147,3,149,125,0,125,79,0,79,31,0,31,945,503,1449
LGA18200,..,662,662,862,48,909,318,5,320,304,0,308,161,0,161,59,0,59,1707,713,2420
LGA18230,..,4607,4607,5483,438,5923,2700,83,2781,2322,18,2338,1188,0,1191,635,0,642,12333,5143,17474
LGA18250,..,5537,5537,7164,860,8024,4698,288,4988,4994,110,5101,1827,51,1878,603,29,633,19291,6866,26155
LGA18350,..,4636,4636,6539,332,6865,2291,30,2320,2289,12,2306,1107,3,1116,519,3,522,12744,5018,17759
LGA18400,..,2316,2316,4407,195,4608,2490,30,2513,3043,3,3048,1669,0,1668,940,0,942,12552,2545,15094
LGA18450,..,18871,18871,22115,2147,24266,10996,690,11682,11629,306,11930,4832,99,4929,2210,59,2277,51776,22172,73953
LGA18500,..,6284,6284,6594,1083,7677,2749,388,3141,2527,127,2658,1036,18,1058,289,9,296,13197,7910,21105
LGA18710,..,1102,1102,1893,98,1986,807,9,817,964,0,968,469,0,468,178,0,178,4307,1211,5519
LGA19399,..,94,94,111,5,124,46,0,48,43,0,43,22,0,22,12,0,12,235,103,336
LGA19499,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA19799,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA20110,..,1492,1492,1845,92,1936,535,18,550,520,4,521,248,0,246,81,3,79,3218,1613,4832
LGA20260,..,1370,1370,1558,106,1668,496,13,511,448,5,461,186,3,194,106,5,108,2796,1499,4298
LGA20570,..,11378,11378,11788,1304,13085,5249,316,5564,5160,148,5316,2190,35,2230,858,19,879,25249,13192,38449
LGA20660,..,10581,10581,13398,960,14361,7309,288,7599,7950,115,8063,2828,46,2876,930,20,951,32420,12007,44431
LGA20740,..,4338,4338,4805,328,5133,1521,27,1549,1298,3,1304,633,0,635,203,0,208,8468,4699,13175
LGA20830,..,4466,4466,6203,353,6552,2420,26,2446,2378,10,2392,1217,6,1221,530,3,530,12743,4856,17605
LGA20910,..,8561,8561,10462,613,11075,5231,92,5325,6875,21,6899,2570,11,2582,591,7,600,25736,9300,35037
LGA21010,..,1806,1806,2109,140,2247,633,7,641,550,0,555,246,0,246,95,0,95,3635,1954,5594
LGA21110,..,14473,14473,16546,2011,18558,8883,683,9564,11038,286,11325,4479,105,4579,1290,56,1345,42244,17609,59849
LGA21180,..,11349,11349,15794,1177,16971,11382,385,11766,11506,241,11746,5516,135,5652,3961,107,4072,48162,13402,61562
LGA21270,..,844,844,881,62,944,260,0,264,207,0,213,132,0,132,65,0,65,1547,911,2455
LGA21370,..,3908,3908,4957,290,5251,1723,28,1747,1701,13,1716,843,0,848,371,0,375,9603,4248,13855
LGA21450,..,5770,5770,9008,597,9606,5450,78,5531,5987,19,6008,2703,5,2709,1388,3,1391,24530,6481,31009
LGA21610,..,14058,14058,23232,1568,24803,17172,278,17456,20486,132,20621,9056,62,9116,6037,50,6084,75980,16143,92127
LGA21670,..,1906,1906,1918,158,2069,635,20,651,468,0,472,229,3,228,122,0,122,3362,2081,5445
LGA21750,..,2530,2530,2686,195,2883,959,38,996,917,5,920,452,8,463,213,9,217,5216,2788,8005
LGA21830,..,1803,1803,2132,121,2249,716,12,728,671,0,673,379,0,379,189,0,189,4092,1936,6022
LGA21890,..,15330,15330,15039,2573,17610,8112,1094,9210,7880,486,8368,2719,151,2871,1237,116,1354,34989,19748,54736
LGA22110,..,5413,5413,6794,375,7170,1986,43,2034,1808,7,1811,799,3,809,327,4,332,11717,5845,17564
LGA22170,..,13310,13310,14614,1359,15970,8107,200,8309,7745,39,7782,3056,15,3076,1235,4,1244,34757,14930,49687
LGA22250,..,1373,1373,1568,85,1653,450,3,456,391,0,391,233,0,233,107,0,107,2761,1462,4219
LGA22310,..,13706,13706,14358,1819,16178,8021,671,8694,9049,276,9321,3198,94,3294,1050,57,1105,35674,16623,52296
LGA22410,..,2424,2424,2741,164,2903,916,15,929,878,4,888,369,0,370,128,0,128,5038,2608,7644
LGA22490,..,1246,1246,2377,106,2476,1052,10,1062,1441,0,1441,669,0,666,283,0,283,5817,1362,7184
LGA22620,..,11569,11569,13361,1219,14576,5841,317,6162,5385,89,5473,2488,27,2517,1050,15,1064,28125,13234,41361
LGA22670,..,10194,10194,11876,1203,13077,8765,420,9186,8042,286,8328,4003,174,4176,3430,169,3597,36124,12435,48563
LGA22750,..,24186,24186,27640,2154,29788,12595,557,13152,12400,241,12642,5121,98,5219,1924,86,2007,59672,27321,86995
LGA22830,..,6139,6139,7111,535,7645,3205,94,3305,3129,44,3171,1506,19,1521,796,10,804,15752,6836,22583
LGA22910,..,1952,1952,2186,149,2337,715,13,728,630,6,635,278,0,278,103,0,103,3912,2119,6029
LGA22980,..,780,780,843,54,898,254,3,260,219,3,223,117,0,117,46,0,46,1480,836,2320
LGA23110,..,8097,8097,9540,799,10339,5460,222,5682,5470,65,5531,1954,30,1987,847,18,865,23279,9226,32508
LGA23190,..,2427,2427,2606,139,2740,945,33,978,967,11,980,441,0,445,149,0,149,5110,2612,7721
LGA23270,..,9963,9963,14641,991,15630,10993,203,11191,12246,104,12346,6386,37,6426,4530,32,4562,48787,11338,60129
LGA23350,..,1495,1495,2199,120,2319,800,16,813,789,4,795,332,0,333,147,0,147,4262,1635,5897
LGA23430,..,14338,14338,16409,1271,17678,9238,238,9478,9737,96,9828,3512,44,3552,1120,40,1156,40014,16026,56036
LGA23670,..,10856,10856,15507,986,16493,9741,188,9930,10640,66,10706,3990,16,4001,1654,8,1665,41525,12126,53657
LGA23810,..,8776,8776,9190,674,9862,3899,96,3997,3527,23,3549,1414,0,1418,603,3,605,18636,9577,28211
LGA23940,..,1015,1015,1082,85,1169,309,3,308,241,3,248,140,0,140,85,0,85,1862,1108,2964
LGA24130,..,3174,3174,5185,229,5412,2400,33,2432,2973,5,2980,1270,7,1274,455,6,454,12279,3451,15728
LGA24210,..,7463,7463,12293,578,12867,7131,174,7304,7870,69,7934,3284,27,3310,1178,13,1193,31750,8325,40074
LGA24250,..,1013,1013,1184,74,1256,345,8,351,373,3,369,153,0,158,60,0,65,2111,1098,3207
LGA24330,..,8121,8121,8306,1622,9931,4692,680,5377,4354,308,4658,1437,110,1553,762,86,848,19553,10933,30481
LGA24410,..,9642,9642,11844,935,12776,6514,148,6664,6992,51,7044,2791,8,2797,1043,3,1048,29181,10787,39962
LGA24600,..,20646,20646,15751,7328,23080,5111,2906,8016,2522,1131,3655,717,382,1094,341,181,524,24444,32571,57012
LGA24650,..,6714,6714,10278,801,11082,7827,101,7929,9428,31,9463,4123,8,4125,2388,3,2392,34045,7660,41704
LGA24780,..,5675,5675,6433,470,6904,2732,77,2808,2495,39,2534,1269,14,1279,596,13,610,13527,6292,19817
LGA24850,..,3000,3000,4266,270,4535,2213,29,2237,2308,7,2320,1104,9,1113,510,6,522,10396,3326,13725
LGA24900,..,3160,3160,3958,235,4191,1343,25,1365,1196,10,1203,650,0,649,324,3,328,7471,3428,10899
LGA24970,..,12290,12290,17295,1672,18964,10969,1090,12060,11855,737,12593,4170,270,4439,1692,188,1879,45977,16248,62221
LGA25060,..,11481,11481,12582,1467,14050,6630,491,7117,7146,141,7285,2680,32,2711,854,16,866,29883,13630,43513
LGA25150,..,2550,2550,3542,191,3731,1692,15,1714,1887,0,1893,891,0,887,371,0,371,8385,2763,11145
LGA25250,..,16516,16516,17135,3072,20204,8970,1428,10399,8505,640,9146,3020,234,3260,1566,127,1690,39197,22026,61218
LGA25340,..,15561,15561,20054,1044,21094,7864,91,7956,8448,21,8472,3454,17,3468,1241,3,1242,41053,16738,57791
LGA25430,..,2426,2426,2609,220,2832,879,26,899,775,6,787,311,0,314,115,4,119,4691,2685,7374
LGA25490,..,1473,1473,2129,107,2240,760,12,772,756,3,763,431,0,435,214,3,220,4296,1599,5897
LGA25620,..,1595,1595,1961,111,2078,617,4,621,610,5,615,228,3,231,120,0,122,3542,1717,5263
LGA25710,..,2835,2835,5715,206,5919,3553,31,3581,4796,9,4805,2014,0,2013,605,0,609,16680,3078,19759
LGA25810,..,1596,1596,1672,113,1782,545,14,561,460,3,469,201,9,211,73,6,78,2949,1743,4695
LGA25900,..,17802,17802,14105,3121,17225,4643,758,5408,3298,153,3451,913,33,950,258,16,271,23217,21896,45110
LGA25990,..,869,869,983,74,1060,310,0,311,266,0,271,118,0,118,85,3,86,1766,957,2723
LGA26080,..,420,420,488,16,496,100,0,100,105,0,105,39,0,39,16,0,16,746,430,1181
LGA26170,..,3147,3147,3962,187,4156,1267,18,1284,1260,8,1265,652,3,660,283,0,283,7428,3368,10796
LGA26260,..,2020,2020,2236,124,2359,776,17,797,685,0,688,334,0,334,132,0,132,4164,2161,6326
LGA26350,..,15013,15013,13191,2961,16156,4679,924,5602,4459,237,4696,1726,68,1800,431,30,463,24489,19231,43724
LGA26430,..,1370,1370,1593,93,1682,495,3,495,382,0,382,166,0,168,71,0,72,2703,1467,4174
LGA26490,..,2160,2160,3462,201,3669,1386,60,1447,1831,23,1851,807,7,816,217,0,220,7703,2458,10163
LGA26610,..,2058,2058,2340,191,2530,985,45,1028,823,16,837,500,10,509,228,4,236,4871,2325,7198
LGA26670,..,705,705,925,46,969,244,8,249,239,0,239,130,0,130,38,0,38,1574,755,2333
LGA26700,..,3311,3311,3814,248,4064,1367,21,1387,1351,9,1364,622,8,628,217,0,216,7377,3601,10980
LGA26730,..,3757,3757,4057,342,4401,1662,97,1757,1638,41,1676,730,19,748,289,17,303,8377,4259,12637
LGA26810,..,4775,4775,5612,354,5965,2056,48,2105,1906,11,1915,964,5,967,351,5,355,10887,5195,16082
LGA26890,..,536,536,575,24,596,175,4,178,145,0,145,98,0,98,30,0,30,1024,564,1586
LGA26980,..,13931,13931,15991,1569,17554,9561,756,10313,10565,405,10971,3843,186,4034,1364,133,1504,41326,16980,58308
LGA27070,..,10434,10434,16908,1112,18021,12305,302,12606,13533,181,13715,5800,63,5865,3008,36,3037,51550,12125,63678
LGA27170,..,3726,3726,4656,368,5026,2135,44,2176,2064,27,2086,893,5,899,346,0,344,10091,4173,14260
LGA27260,..,10116,10116,16141,1260,17401,14082,270,14358,14699,111,14813,6196,38,6238,4008,20,4031,55128,11819,66946
LGA27350,..,11757,11757,11262,2888,14155,4013,1487,5496,2974,546,3520,807,147,955,326,43,369,19384,16865,36254
LGA27450,..,10796,10796,16318,950,17265,8573,120,8697,9330,21,9353,4048,8,4054,1735,6,1739,39998,11901,51905
LGA27630,..,930,930,979,50,1028,275,4,279,248,0,246,133,0,133,59,0,59,1690,989,2679
LGA29399,..,64,64,35,15,45,19,3,20,17,0,17,3,0,3,3,0,3,73,79,151
LGA29499,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA29799,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA30250,..,46,46,38,3,42,26,3,27,36,0,36,23,0,23,89,0,89,208,50,259
LGA30300,..,419,419,528,28,562,191,5,200,187,0,190,114,0,114,52,0,52,1079,452,1539
LGA30370,..,1231,1231,1649,103,1757,661,26,686,746,8,749,328,3,333,206,4,213,3596,1375,4965
LGA30410,..,344,344,370,19,392,131,0,135,136,0,136,60,0,60,22,0,22,726,366,1096
LGA30450,..,41,41,36,5,42,7,0,7,9,0,9,3,0,3,0,0,0,63,43,110
LGA30760,..,250,250,282,4,284,85,3,89,79,0,79,44,0,44,17,0,17,500,259,761
LGA30900,..,50,50,39,3,42,15,0,15,9,0,9,8,0,6,6,0,12,82,53,135
LGA31000,..,95700,95700,116439,17864,134305,62436,6955,69389,63534,2791,66326,25325,1037,26361,11534,542,12081,279271,124894,404159
LGA31750,..,43,43,46,3,48,18,0,18,12,0,12,4,0,4,5,0,5,81,42,125
LGA31820,..,9312,9312,13210,997,14213,4648,137,4787,4053,44,4096,1842,12,1850,975,12,979,24730,10511,35244
LGA31900,..,1853,1853,2292,138,2421,877,13,894,832,8,840,370,0,375,148,4,151,4521,2012,6530
LGA31950,..,35,35,24,5,29,6,0,6,11,0,11,9,0,9,4,0,4,57,33,91
LGA32080,..,14570,14570,17255,2091,19347,8558,414,8970,7675,132,7811,3245,19,3266,1808,26,1829,38534,17254,55790
LGA32250,..,191,191,210,16,226,69,0,78,71,0,70,37,0,36,46,0,46,444,211,655
LGA32260,..,3008,3008,3806,298,4099,1367,59,1427,1198,12,1205,541,4,547,334,0,334,7245,3379,10621
LGA32270,..,2173,2173,2637,210,2849,1251,32,1288,1480,6,1485,744,0,743,367,0,373,6479,2426,8906
LGA32310,..,1207,1207,1384,105,1486,528,13,546,523,5,527,229,0,235,160,0,160,2822,1333,4157
