LGA_CODE_2016,Aust_BP_B_OS,Aust_FO_B_OS,Aust_MO_B_OS,Aust_Both_parents_born_Aust,Aust_Birthplace_not_stated,Aust_Tot_Resp,Aust_Abor_BP_B_OS,Aust_Abor_FO_B_OS,Aust_Abor_MO_B_OS,Aust_Abor_BP_B_Aus,Aust_Abor_BP_NS,Aust_Abor_Tot_Resp,Chinese_BP_B_OS,Chinese_FO_B_OS,Chinese_MO_B_OS,Chinese_BP_B_Aus,Chinese_BP_NS,Chinese_Tot_Resp,Croatian_BP_B_OS,Croatian_FO_B_OS,Croatian_MO_B_OS,Croatian_BP_B_Aus,Croatian_BP_NS,Croatian_Tot_Resp,Dutch_BP_B_OS,Dutch_FO_B_OS,Dutch_MO_B_OS,Dutch_BP_B_Aus,Dutch_BP_NS,Dutch_Tot_Resp,English_BP_B_OS,English_FO_B_OS,English_MO_B_OS,English_BP_B_Aus,English_BP_NS,English_Tot_Resp,Filipino_BP_B_OS,Filipino_FO_B_OS,Filipino_MO_B_OS,Filipino_BP_B_Aus,Filipino_BP_NS,Filipino_Tot_Resp,French_BP_B_OS,French_FO_B_OS,French_MO_B_OS,French_BP_B_Aus,French_BP_NS,French_Tot_Resp,German_BP_B_OS,German_FO_B_OS,German_MO_B_OS,German_BP_B_Aus,German_BP_NS,German_Tot_Resp,Greek_BP_B_OS,Greek_FO_B_OS,Greek_MO_B_OS,Greek_BP_B_Aus,Greek_BP_NS,Greek_Tot_Resp,Hungarian_BP_B_OS,Hungarian_FO_B_OS,Hungarian_MO_B_OS,Hungarian_BP_B_Aus,Hungarian_BP_NS,Hungarian_Tot_Resp,Indian_BP_B_OS,Indian_FO_B_OS,Indian_MO_B_OS,Indian_BP_B_Aus,Indian_BP_NS,Indian_Tot_Resp,Irish_BP_B_OS,Irish_FO_B_OS,Irish_MO_B_OS,Irish_BP_B_Aus,Irish_BP_NS,Irish_Tot_Resp,Italian_BP_B_OS,Italian_FO_B_OS,Italian_MO_B_OS,Italian_BP_B_Aus,Italian_BP_NS,Italian_Tot_Resp,Korean_BP_B_OS,Korean_FO_B_OS,Korean_MO_B_OS,Korean_BP_B_Aus,Korean_BP_NS,Korean_Tot_Resp,Lebanese_BP_B_OS,Lebanese_FO_B_OS,Lebanese_MO_B_OS,Lebanese_BP_B_Aus,Lebanese_BP_NS,Lebanese_Tot_Resp,Macedonian_BP_B_OS,Macdonian_FO_B_OS,Macdonian_MO_B_OS,Macdonian_BP_B_Aus,Macdonian_BP_NS,Macedonian_Tot_Resp,Maltese_BP_B_OS,Maltese_FO_B_OS,Maltese_MO_B_OS,Maltese_BP_B_Aus,Maltese_BP_NS,Maltese_Tot_Resp,Maori_BP_B_OS,Maori_FO_B_OS,Maori_MO_B_OS,Maori_BP_B_Aus,Maori_BP_NS,Maori_Tot_Resp,NZ_BP_B_OS,NZ_FO_B_OS,NZ_MO_B_OS,NZ_BP_B_Aus,NZ_BP_NS,NZ_Tot_Resp,Polish_BP_B_OS,Polish_FO_B_OS,Polish_MO_B_OS,Polish_BP_B_Aus,Polish_BP_NS,Polish_Tot_Resp,Russian_BP_B_OS,Russian_FO_B_OS,Russian_MO_B_OS,Russian_BP_B_Aus,Russian_BP_NS,Russian_Tot_Resp,Scottish_BP_B_OS,Scottish_FO_B_OS,Scottish_MO_B_OS,Scottish_BP_B_Aus,Scottish_BP_NS,Scottish_Tot_Resp,Serbian_BP_B_OS,Serbian_FO_B_OS,Serbian_MO_B_OS,Serbian_BP_B_Aus,Serbian_BP_NS,Serbian_Tot_Resp,Sth_African_BP_B_OS,Sth_African_FO_B_OS,Sth_African_MO_B_OS,Sth_Afrcan_BP_B_Aus,Sth_African_BP_NS,Sth_African_Tot_Resp,Spanish_BP_B_OS,Spanish_FO_B_OS,Spanish_MO_B_OS,Spanish_BP_B_Aus,Spanish_BP_NS,Spanish_Tot_Resp,Sri_Lankan_BP_B_OS,Sri_Lankan_FO_B_OS,Sri_Lankan_MO_B_OS,Sri_Lankan_BP_B_Aus,Sri_Lankan_BP_NS,Sri_Lankan_Tot_Resp,Turkish_BP_B_OS,Turkish_FO_B_OS,Turkish_MO_B_OS,Turkish_BP_B_Aus,Turkish_BP_NS,Turkish_Tot_Resp,Vietnamese_BP_B_OS,Vietnamese_FO_B_OS,Vietnamese_MO_B_OS,Vietnamese_BP_B_Aus,Vietnamese_BP_NS,Vietnamese_Tot_Resp,Welsh_BP_B_OS,Welsh_FO_B_OS,Welsh_MO_B_OS,Welsh_BP_B_Aus,Welsh_BP_NS,Welsh_Tot_Resp,Other_BP_B_OS,Other_FO_B_OS,Other_MO_B_OS,Other_BP_B_Aus,Other_BP_NS,Other_Tot_Resp,Ancestry_NS_BP_B_OS,Ancestry_NS_FO_B_OS,Ancestry_NS_MO_B_OS,Ancestry_NS_BP_B_Aus,Ancestry_NS_BP_NS,Ancestry_NS_Tot_Resp,Tot_P_BP_B_OS,Tot_P_FO_B_OS,Tot_P_MO_B_OS,Tot_P_BP_B_Aus,Tot_P_BP_NS,Tot_P_Tot_Resp
LGA10850,13,181,114,3085,64,3449,0,0,0,25,0,25,20,5,0,14,0,34,0,0,0,3,0,7,37,15,16,31,3,103,238,163,130,2436,61,3032,9,0,0,0,0,9,8,3,0,20,0,34,39,16,10,172,0,237,3,4,0,7,0,19,3,4,0,4,0,15,3,0,0,3,0,10,52,46,21,927,10,1063,18,4,5,69,3,98,0,0,0,0,0,0,7,0,0,0,0,14,0,0,0,0,0,0,9,3,0,13,0,24,4,7,0,0,0,8,21,15,4,5,0,51,13,4,0,8,0,26,0,0,0,6,0,4,69,52,39,556,14,725,4,0,0,0,0,4,3,0,3,4,0,9,3,0,0,3,0,10,0,4,0,4,0,6,0,0,0,0,0,0,3,0,0,0,0,3,9,3,4,22,0,38,73,33,12,56,0,163,4,0,3,87,441,536,533,327,222,5607,564,7257
LGA10900,401,3927,2622,22338,382,29668,0,24,13,220,5,261,630,69,109,192,21,1014,185,52,28,95,3,354,761,281,179,400,11,1630,6853,3817,2619,20759,403,34456,283,12,50,35,9,381,268,73,44,230,5,615,1115,407,276,1873,43,3716,290,93,49,230,0,662,296,55,33,84,4,465,293,47,33,36,4,411,1702,1135,692,8893,149,12568,680,275,114,870,27,1963,89,3,5,4,0,100,117,29,10,72,4,235,20,3,3,6,0,40,310,122,56,280,3,768,92,22,17,26,3,158,305,185,125,90,3,718,517,102,62,183,4,862,226,48,24,108,3,412,1778,994,652,6149,101,9665,56,19,6,17,0,102,172,39,37,16,0,267,270,32,18,78,3,400,59,18,14,10,0,101,30,6,8,3,0,40,145,9,10,9,0,172,300,106,76,372,8,862,3091,909,550,1068,46,5670,105,35,31,373,3305,3852,16671,7327,4839,43869,4198,76904
LGA10950,4,28,33,1280,19,1373,0,0,0,29,0,29,11,0,0,7,0,17,0,0,0,9,0,6,4,0,0,0,0,3,44,37,27,887,16,1008,4,0,3,0,0,10,5,0,0,3,0,3,3,6,3,60,0,73,3,0,0,0,0,3,0,0,0,4,0,3,14,0,0,0,0,11,20,11,4,281,4,320,0,0,0,12,0,13,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,4,0,13,0,6,0,0,0,12,4,6,7,0,0,10,3,0,0,11,0,14,0,0,0,0,0,3,16,7,7,170,0,195,0,0,0,0,0,0,7,0,0,0,0,7,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,4,0,3,46,4,4,6,0,61,0,0,0,34,274,314,144,60,50,2119,312,2692
LGA11100,678,1211,933,5653,112,8588,7,12,0,148,3,171,6152,71,102,100,55,6469,348,38,30,78,3,496,148,28,30,53,3,257,2479,889,634,4495,137,8627,1280,25,100,15,7,1428,211,29,13,47,0,294,342,90,58,393,12,897,1729,262,144,594,32,2766,174,19,4,11,0,210,1172,14,19,11,12,1222,1062,310,221,2160,43,3799,1022,198,85,475,25,1809,240,0,13,4,0,257,343,38,39,87,3,505,110,7,5,21,0,141,389,87,39,142,11,668,254,50,20,18,3,348,288,68,41,30,3,433,252,37,21,30,3,345,389,12,22,25,4,454,596,197,139,1136,38,2105,240,12,10,22,7,290,177,23,18,8,3,231,658,19,23,35,6,745,88,3,3,7,3,100,668,69,28,43,3,819,334,0,13,3,4,350,67,24,18,66,0,177,9457,457,379,379,84,10749,318,29,17,113,2889,3359,27352,2594,1886,11430,3391,46654
LGA11150,4,56,25,1158,48,1286,0,0,0,136,13,152,4,0,0,13,0,13,0,0,0,0,0,0,7,0,0,7,0,15,35,37,15,614,30,722,3,0,0,0,0,4,0,0,0,3,0,3,3,3,3,48,0,58,0,0,0,3,0,5,0,0,0,0,0,0,3,0,0,0,0,3,8,8,8,209,3,233,6,3,0,5,0,11,0,0,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,3,0,3,0,9,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,17,8,3,110,6,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,8,37,9,8,13,4,79,7,0,0,28,482,521,127,79,38,1833,560,2634
LGA11200,4,13,8,544,18,591,0,7,0,525,5,536,0,0,0,12,0,7,0,0,0,0,0,0,0,0,0,0,0,3,14,14,11,300,11,351,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,39,0,46,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,6,3,3,3,121,0,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,8,3,83,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,8,3,11,0,38,0,0,0,27,139,172,41,35,16,1375,180,1651
LGA11250,31,375,216,7591,213,8424,0,3,0,153,6,168,24,4,0,20,0,47,32,3,4,27,0,65,30,17,14,21,0,81,282,319,173,5841,176,6782,103,0,33,8,7,149,9,4,3,44,0,58,62,36,19,710,24,849,20,9,0,40,5,74,3,0,0,3,0,7,64,0,0,17,0,77,52,57,33,1497,26,1667,125,75,22,330,12,557,7,0,0,0,0,5,3,3,6,17,0,29,0,0,0,0,0,3,65,36,23,112,3,236,14,7,3,5,0,27,18,12,8,5,0,40,11,0,4,32,0,49,0,7,0,9,0,14,86,60,45,1244,32,1476,8,0,0,0,0,12,11,0,4,0,0,17,14,0,0,12,0,27,10,0,4,0,0,17,0,0,0,0,0,3,7,0,3,0,0,9,16,8,3,46,0,67,198,63,26,152,6,444,22,3,3,250,1352,1638,1089,681,384,13796,1768,17708
LGA11300,340,596,404,2406,31,3781,0,11,4,35,0,49,11699,88,170,78,82,12117,304,12,16,49,0,380,49,17,14,27,0,105,1194,376,287,2055,47,3954,503,3,40,4,0,560,89,12,14,28,0,146,162,39,35,181,7,420,805,103,38,309,10,1278,64,6,8,15,0,100,1786,16,14,4,8,1834,452,181,90,1137,22,1888,1894,283,143,589,21,2929,1517,13,19,0,3,1558,1083,218,108,210,8,1630,48,6,5,15,0,69,87,14,12,44,0,167,40,12,4,3,0,60,88,20,23,10,0,140,172,23,12,38,0,251,178,10,12,22,0,217,222,103,61,610,11,1015,68,4,8,13,0,92,25,5,3,0,0,32,198,11,4,18,0,241,164,5,0,0,0,176,94,3,3,3,0,108,692,15,24,10,7,747,20,4,3,23,0,52,4390,190,185,156,43,4965,187,11,3,36,1745,1990,26566,1520,1097,5594,2025,36809
LGA11350,196,1416,1003,7900,201,10712,0,4,5,78,3,90,85,37,14,55,0,196,43,7,0,13,0,66,301,93,54,120,3,578,2793,1206,853,7316,208,12373,58,7,18,13,0,101,254,32,29,102,8,429,648,171,116,745,24,1701,86,41,10,77,3,213,55,19,4,20,7,106,105,9,18,20,5,152,671,363,235,3317,84,4663,384,113,55,333,16,895,24,3,0,0,0,29,22,16,3,29,0,68,10,9,0,0,0,18,40,13,9,27,3,89,51,26,11,3,3,98,180,71,40,23,6,317,159,36,19,62,3,278,90,22,9,24,0,156,647,296,221,2294,61,3527,12,4,4,0,0,18,104,16,19,11,3,146,136,21,12,29,3,200,20,8,5,5,0,40,12,9,0,3,0,30,18,3,3,6,0,34,108,34,20,98,5,268,1518,396,270,407,49,2640,64,24,11,220,3659,3985,6700,2617,1790,16301,4149,31556
LGA11400,9,291,270,5751,93,6418,0,0,0,32,0,35,26,0,0,15,0,44,17,3,0,4,0,21,58,26,17,48,0,152,424,269,230,4657,96,5674,30,0,4,8,0,44,6,12,3,39,0,58,66,25,18,333,13,455,3,4,0,3,0,11,12,0,0,0,0,14,20,3,0,3,0,23,73,72,44,1479,26,1697,53,11,9,135,0,209,3,0,0,0,0,3,0,0,0,11,0,16,0,0,0,0,0,0,15,9,3,35,0,61,28,9,5,7,0,52,39,22,16,4,0,83,14,8,9,24,0,54,11,3,5,14,0,27,96,71,57,1128,20,1362,0,0,3,0,0,4,26,5,3,0,0,38,7,0,0,3,0,14,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,4,14,5,4,40,3,66,143,43,37,77,4,298,16,7,3,174,781,985,989,532,434,10450,983,13386
LGA11450,642,3356,2187,22545,365,29094,0,20,8,218,3,253,1295,57,101,138,19,1606,483,95,59,277,6,921,390,149,96,263,7,905,4565,2763,1966,17520,299,27110,686,69,101,33,10,902,184,46,20,165,4,413,657,259,180,1447,25,2564,389,138,85,397,7,1018,166,56,12,74,4,309,1483,70,23,38,8,1620,1157,608,435,5682,66,7948,1930,779,285,2317,61,5374,57,0,11,3,0,75,620,173,70,223,11,1094,177,39,30,68,3,318,862,255,145,893,8,2169,232,33,40,30,0,337,307,139,109,87,0,643,391,79,78,196,10,760,173,19,18,56,3,272,1174,666,485,4044,62,6434,391,72,28,108,3,605,277,43,48,20,5,389,417,55,28,92,3,590,130,9,12,11,0,160,113,33,10,32,0,186,293,26,16,11,0,347,162,68,41,144,3,415,6060,954,549,960,67,8591,200,47,30,350,3343,3973,21791,6607,4257,41388,4177,78218
