LGA_CODE_2016,South_Africa_Before_1946,South_Africa_1946_1955,South_Africa_1956_1965,South_Africa_1966_1975,South_Africa_1976_1985,South_Africa_1986_1995,South_Africa_1996_2005,South_Africa_2006_2010,South_Africa_2011,South_Africa_2012,South_Africa_2013,South_Africa_2014,South_Africa_2015,South_Africa_2016,South_Africa_Yr_arrival_ns,South_Africa_Tot,Sri_Lanka_Before_1946,Sri_Lanka_1946_1955,Sri_Lanka_1956_1965,Sri_Lanka_1966_1975,Sri_Lanka_1976_1985,Sri_Lanka_1986_1995,Sri_Lanka_1996_2005,Sri_Lanka_2006_2010,Sri_Lanka_2011,Sri_Lanka_2012,Sri_Lanka_2013,Sri_Lanka_2014,Sri_Lanka_2015,Sri_Lanka_2016,Sri_Lanka_Yr_arrival_ns,Sri_Lanka_Tot,Thailand_Before_1946,Thailand_1946_1955,Thailand_1956_1965,Thailand_1966_1975,Thailand_1976_1985,Thailand_1986_1995,Thailand_1996_2005,Thailand_2006_2010,Thailand_2011,Thailand_2012,Thailand_2013,Thailand_2014,Thailand_2015,Thailand_2016,Thailand_Yr_arrival_ns,Thailand_Tot,FYROM_Before_1946,FYROM_1946_1955,FYROM_1956_1965,FYROM_1966_1975,FYROM_1976_1985,FYROM_1986_1995,FYROM_1996_2005,FYROM_2006_2010,FYROM_2011,FYROM_2012,FYROM_2013,FYROM_2014,FYROM_2015,FYROM_2016,FYROM_arrival_ns,FYROM_Tot,Turkey_Before_1946,Turkey_1946_1955,Turkey_1956_1965,Turkey_1966_1975,Turkey_1976_1985,Turkey_1986_1995,Turkey_1996_2005,Turkey_2006_2010,Turkey_2011,Turkey_2012,Turkey_2013,Turkey_2014,Turkey_2015,Turkey_2016,Turkey_Yr_arrival_ns,Turkey_Tot,United_Kingdom_Before_1946,United_Kingdom_1946_1955,United_Kingdom_1956_1965,United_Kingdom_1966_1975,United_Kingdom_1976_1985,United_Kingdom_1986_1995,United_Kingdom_1996_2005,United_Kingdom_2006_2010,United_Kingdom_2011,United_Kingdom_2012,United_Kingdom_2013,United_Kingdom_2014,United_Kingdom_2015,United_Kingdom_2016,United_Kingdom_Yr_arrival_ns,United_Kingdom_Tot,USA_Before_1946,USA_1946_1955,USA_1956_1965,USA_1966_1975,USA_1976_1985,USA_1986_1995,USA_1996_2005,USA_2006_2010,United_States_America_2011,United_States_America_2012,United_States_America_2013,United_States_America_2014,United_States_America_2015,United_States_America_2016,USA_year_of_arrival_ns,USA_Total,Vietnam_Before_1946,Vietnam_1946_1955,Vietnam_1956_1965,Vietnam_1966_1975,Vietnam_1976_1985,Vietnam_1986_1995,Vietnam_1996_2005,Vietnam_2006_2010,Vietnam_2011,Vietnam_2012,Vietnam_2013,Vietnam_2014,Vietnam_2015,Vietnam_2016,Vietnam_Yr_arrival_NS,Vietnam_Tot,Zimbabwe_Before_1946,Zimbabwe_1946_1955,Zimbabwe_1956_1965,Zimbabwe_1966_1975,Zimbabwe_1976_1985,Zimbabwe_1986_1995,Zimbabwe_1996_2005,Zimbabwe_2006_2010,Zimbabwe_2011,Zimbabwe_2012,Zimbabwe_2013,Zimbabwe_2014,Zimbabwe_2015,Zimbabwe_2016,Zimbabwe_Yr_arrival_NS,Zimbabwe_Tot,Born_elsewhere_Before_1946,Born_elsewhere_1946_1955,Born_elsewhere_1956_1965,Born_elsewhere_1966_1975,Born_elsewhere_1976_1985,Born_elsewhere_1986_1995,Born_elsewhere_1996_2005,Born_elsewhere_2006_2010,Born_elsewhere_2011,Born_elsewhere_2012,Born_elsewhere_2013,Born_elsewhere_2014,Born_elsewhere_2015,Born_elsewhere_2016,Born_elsewhere_Yr_arrival_ns,Born_elsewhere_Tot,Tot_Before_1946,Tot_1946_1955,Tot_1956_1965,Tot_1966_1975,Tot_1976_1985,Tot_1986_1995,Tot_1996_2005,Tot_2006_2010,Tot_2011,Tot_2012,Tot_2013,Tot_2014,Tot_2015,Tot_2016,Tot_Yr_arrival_NS,Tot_Tot
LGA10850,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,39,56,15,10,14,9,0,7,3,0,0,0,5,187,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,10,10,3,9,3,0,0,0,0,0,3,3,41,0,53,62,103,62,43,43,31,0,17,4,3,7,3,15,451
LGA10900,0,4,10,49,85,46,38,37,4,0,0,3,0,3,3,288,0,0,7,15,12,10,0,0,0,0,0,3,3,0,0,59,0,0,0,4,4,26,27,16,5,0,9,10,13,4,4,126,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,6,0,0,0,6,4,0,0,0,0,0,0,0,0,0,3,16,35,352,969,1624,752,517,451,221,39,40,30,10,9,5,161,5219,0,7,33,101,54,52,92,44,13,13,5,12,7,0,8,445,0,0,0,6,20,3,5,19,3,4,3,15,27,18,0,129,0,0,3,3,16,0,3,4,0,0,0,0,0,0,0,33,13,133,223,452,278,224,228,92,28,23,25,22,35,45,56,1879,75,945,1807,2993,2006,1595,1452,748,145,145,125,154,211,154,400,12954
LGA10950,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,3,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,8,15,0,8,4,6,16,15,8,29,10,4,3,3,3,8,10,128
LGA11100,0,0,3,10,20,43,91,47,12,8,5,6,0,3,5,249,0,0,0,3,12,54,16,16,0,3,3,0,7,3,0,114,0,0,0,5,14,55,104,110,13,28,28,28,25,10,28,440,0,0,11,25,3,6,8,0,0,0,0,0,0,0,3,62,0,0,3,135,69,71,45,14,3,0,3,0,3,0,11,365,4,48,96,236,134,152,242,143,37,59,38,37,32,19,44,1326,0,0,0,3,8,20,21,20,6,10,11,5,3,4,0,114,0,0,0,6,81,33,37,33,3,5,15,12,14,6,7,271,0,0,0,0,5,4,8,8,0,0,3,0,0,0,0,27,0,40,124,646,682,922,1003,665,124,138,172,198,276,157,159,5316,11,353,989,2042,1946,3157,3738,2812,636,755,816,998,1043,665,730,20687
LGA11150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,4,3,3,0,3,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,7,0,0,0,3,7,0,3,28,0,4,5,10,8,12,16,26,0,3,3,11,7,0,7,101
LGA11200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,0,0,0,0,0,0,11,0,3,3,3,0,10,3,3,0,0,0,3,0,0,0,35
LGA11250,0,0,0,0,4,3,7,7,3,0,0,0,0,0,0,21,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,5,3,0,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,39,55,14,20,11,10,0,4,5,0,0,0,10,195,0,0,0,0,4,3,3,0,0,3,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,11,8,13,14,14,0,4,3,0,10,0,4,95,4,85,85,105,57,74,76,108,22,37,35,18,28,7,42,800
LGA11300,0,0,3,7,6,6,18,6,0,0,3,0,0,7,0,59,0,0,0,14,34,91,36,20,0,0,4,0,5,0,3,210,0,0,0,3,12,16,33,44,8,9,27,32,28,24,23,252,0,0,3,14,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,22,26,19,3,3,6,0,0,0,0,3,9,84,0,17,75,86,59,54,68,39,13,8,4,3,10,3,25,456,0,0,3,10,10,7,11,27,0,0,3,3,4,9,0,88,0,0,0,19,377,101,55,61,7,26,25,43,28,24,20,799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,53,93,271,237,312,246,616,52,96,239,360,343,235,159,3327,22,402,1079,1407,1596,2680,2979,3170,679,827,1265,1490,1629,937,913,21067
LGA11350,0,0,12,21,37,30,32,18,0,7,0,3,0,5,12,176,0,0,0,4,5,3,0,3,0,0,0,0,0,0,0,20,0,0,0,0,8,5,19,21,0,0,3,3,0,0,3,65,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,8,8,103,233,365,195,213,288,151,35,26,30,22,29,16,84,1802,0,0,8,37,44,62,69,38,15,3,6,16,6,9,19,332,0,0,0,0,7,0,3,3,3,4,0,0,0,0,0,19,0,0,3,0,4,7,9,0,0,0,0,0,0,0,0,24,7,26,54,122,79,126,188,137,41,35,64,45,54,17,62,1043,25,230,483,778,708,748,963,598,128,149,156,151,138,100,291,5637
LGA11400,0,0,0,0,3,5,16,19,0,7,5,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,22,65,91,34,23,17,9,3,7,0,6,4,0,16,302,0,0,0,0,0,3,0,6,0,3,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,9,3,4,8,22,8,9,13,5,9,3,0,4,0,3,5,91,7,56,114,159,81,89,96,70,11,25,16,13,12,11,48,796
LGA11450,0,3,3,10,65,53,103,85,12,4,9,17,4,3,9,371,0,4,3,16,7,27,20,34,6,7,0,0,0,0,5,132,0,0,0,3,11,28,31,39,3,4,7,0,9,0,3,140,0,0,4,40,9,15,4,3,0,0,0,0,0,0,3,76,0,0,0,9,3,5,14,3,0,0,0,0,0,0,0,34,16,127,454,888,456,352,263,245,48,48,36,34,38,12,105,3119,0,0,3,17,18,15,49,26,7,8,4,6,15,8,0,179,0,0,0,0,55,46,13,27,4,3,3,3,3,0,11,161,0,0,0,0,0,0,55,58,8,5,0,7,7,3,0,151,4,47,101,481,413,653,471,229,42,40,45,25,34,15,88,2677,27,560,1115,2141,1742,2436,2298,1563,303,293,249,243,221,108,477,13768
LGA11500,0,0,8,51,232,246,223,72,10,15,17,4,13,3,14,905,0,0,5,18,34,173,93,109,28,26,22,28,59,16,13,638,0,0,0,4,62,162,122,82,12,11,13,15,30,10,25,555,0,0,3,80,19,27,37,8,0,0,0,7,0,3,7,186,0,0,0,23,6,18,5,13,0,0,3,0,0,0,0,77,11,276,1022,1855,753,441,182,129,29,40,34,30,26,13,160,5007,0,3,3,32,22,37,60,52,8,8,8,20,14,11,9,303,0,0,0,7,250,228,105,108,15,23,31,13,16,20,29,843,0,0,3,0,6,10,64,72,11,4,3,3,7,3,3,195,4,103,228,1362,1742,2949,3500,2353,384,346,404,323,342,231,387,14672,43,857,2147,5069,5277,9671,10545,7453,1286,1199,1356,1149,1158,722,1391,49325
LGA11520,0,0,8,34,75,63,103,62,14,8,7,9,20,14,10,430,0,0,3,36,67,114,50,41,5,7,7,14,10,0,8,365,0,0,0,8,28,47,85,88,17,14,15,24,12,10,13,358,0,0,3,26,3,8,4,0,0,3,0,0,0,0,3,56,0,0,0,86,37,37,36,27,6,7,0,3,4,0,8,249,12,123,259,406,258,282,445,369,96,92,95,73,79,32,74,2694,0,5,6,28,29,48,69,65,11,30,8,16,30,15,8,372,0,0,0,10,351,126,33,34,12,17,11,25,11,9,20,655,0,0,4,0,11,6,13,3,0,3,0,4,3,0,0,53,7,118,176,602,411,551,595,630,109,176,249,276,253,160,134,4442,63,1217,2816,3194,2979,4355,5686,5396,1233,1537,1628,1751,1730,918,1160,35675
LGA11570,0,3,6,63,106,82,168,69,3,3,8,4,6,3,19,550,0,0,19,61,52,157,113,93,12,34,21,16,6,8,50,646,0,0,0,16,74,201,313,229,38,47,43,78,72,28,55,1193,0,0,141,970,205,302,189,54,10,3,6,7,3,3,67,1971,0,3,10,233,128,122,116,28,7,7,5,10,12,0,21,697,45,302,583,867,365,320,370,230,46,40,48,29,43,22,145,3446,0,3,9,39,44,69,132,79,31,20,11,16,37,15,21,530,0,3,7,148,5511,5560,2632,2024,342,427,562,507,449,276,617,19068,0,0,0,0,4,12,51,49,14,5,7,4,3,3,3,160,23,466,636,3299,2659,4417,6519,5907,880,1225,1925,1662,1710,1132,1197,33649,149,2867,7620,15918,17924,27516,27732,20457,3493,4281,5536,5310,5120,3006,5758,152698
LGA11600,0,0,0,0,0,0,0,11,0,0,6,4,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,12,4,0,0,4,8,7,0,0,0,0,0,0,41,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,9,0,3,0,0,0,0,3,3,0,3,4,3,3,3,8,41,3,18,12,14,12,8,19,66,13,4,15,19,24,10,25,263
LGA11650,3,3,42,126,216,201,499,304,53,20,33,22,39,20,38,1612,3,3,31,43,30,41,21,27,12,8,3,3,11,3,9,239,0,0,0,3,13,59,153,139,26,16,40,33,27,8,39,560,0,0,3,24,3,6,0,0,0,0,0,0,0,0,0,39,0,0,0,26,10,15,18,3,0,0,0,0,0,0,5,90,119,1313,2989,4487,1951,1831,2041,1491,255,262,220,178,150,63,603,17974,3,13,47,135,100,148,226,169,45,41,24,29,28,24,34,1056,0,0,0,12,64,46,35,43,10,14,14,17,21,5,22,302,0,0,5,9,33,16,97,75,5,0,18,10,5,4,3,278,30,301,521,1466,757,770,875,646,117,125,89,113,93,53,197,6155,259,3203,5586,8737,5800,6025,6974,5064,948,972,852,787,713,415,1724,48054
LGA11700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,4,0,0,0,0,0,0,0,17,0,7,5,10,3,13,6,7,0,0,0,3,6,4,13,81
