LGA_CODE_2016,P_85y_ov_DNUDW,P_85y_ov_UDW_NS,P_85y_ov_Total,P_Tot_DUDW_LT_5_h,P_Tot_DUDW_5_14_h,P_Tot_DUDW_15_29_h,P_Tot_DUDW_30_h_mo,P_Tot_DNUDW,P_Tot_UDW_NS,P_Tot_Total
LGA12750,585,350,1388,5078,8321,4944,3733,6171,3669,31914
LGA12850,2275,356,3585,30689,28826,13353,13215,63523,11279,160880
LGA12870,144,122,411,1772,2480,1313,1143,2186,1291,10187
LGA12900,132,53,254,1395,1834,934,852,1677,951,7636
LGA12930,1891,510,3763,28249,28708,13085,9863,35123,7192,122216
LGA12950,68,30,134,586,782,434,411,828,405,3440
LGA13010,111,84,279,1193,1719,955,883,1456,1128,7322
LGA13310,231,248,738,4625,6197,2997,2399,4956,3073,24238
LGA13340,112,73,259,1548,2040,1152,1073,1473,831,8116
LGA13450,188,250,669,4049,4692,2296,1832,4718,2687,20274
LGA13510,184,74,391,1621,2172,1187,1102,2063,981,9126
LGA13550,162,56,318,1872,2370,1250,1140,1958,1095,9686
LGA13660,64,42,155,659,921,511,588,969,635,4280
LGA13800,479,187,1010,11798,13905,6516,5360,10053,4080,51718
LGA13850,22,25,60,392,552,272,253,545,412,2431
LGA13910,227,118,516,2670,3526,1895,1919,3198,1677,14883
LGA14000,1611,795,3841,27853,32796,15670,10903,21958,5621,114796
LGA14100,492,66,746,2820,2972,1344,849,2636,725,11350
LGA14170,1734,395,3170,44478,43673,14330,8397,29803,13454,154128
LGA14200,182,78,408,2300,3192,1716,1530,2857,1562,13158
LGA14300,55,29,115,800,1016,567,506,883,1401,5173
LGA14350,403,235,867,3644,5396,3138,2826,5339,3572,23915
LGA14400,260,172,704,3825,5126,2676,1888,2846,1487,17852
LGA14500,1527,692,4036,24041,26198,13329,9187,16825,4609,94189
LGA14550,95,69,239,1133,1764,1102,1056,1441,971,7473
LGA14600,65,39,172,839,1037,545,581,1106,739,4846
LGA14650,2426,1240,5681,33458,44083,22249,16920,33607,10944,161262
LGA14700,359,74,777,8372,8634,3327,2153,5201,1687,29376
LGA14750,128,38,239,1674,2178,1083,895,1919,1117,8868
LGA14850,544,214,1148,7049,9914,4861,3706,6194,3699,35430
LGA14870,220,107,516,2880,4065,2183,1976,3702,2697,17496
LGA14900,1324,339,2283,32500,32926,14224,13683,50456,14243,158031
LGA14920,93,34,191,1026,1461,773,755,1386,843,6243
LGA14950,44,16,101,448,593,348,317,479,294,2477
LGA15050,572,257,1280,12737,16356,8029,6611,12422,4243,60404
LGA15240,1466,829,3421,12206,18842,11102,9592,16479,8143,76370
LGA15270,248,82,487,3327,4790,2542,2333,3644,2544,19175
LGA15300,85,33,176,1772,2324,1112,929,2482,1652,10270
LGA15350,365,174,910,6590,6574,2632,1716,4003,1944,23465
LGA15520,152,75,341,1836,2319,1280,1041,2116,1089,9683
LGA15560,29,3,70,562,687,356,354,644,443,3051
LGA15650,85,45,203,2407,3114,1509,1475,2489,1473,12458
LGA15700,262,213,706,2618,3847,2333,2045,3302,1886,16040
LGA15750,79,88,256,1815,2482,1249,1170,2135,1443,10296
LGA15800,98,43,199,806,1047,547,514,1108,674,4697
LGA15850,79,39,179,901,1209,620,579,1064,700,5069
LGA15900,1362,1314,4148,31763,36171,15037,10342,26043,9854,129212
LGA15950,454,196,1146,19224,17620,5092,2811,9215,5159,59115
LGA15990,2838,1420,6945,53918,57932,24645,15787,36800,13934,203023
LGA16100,58,19,112,768,1053,538,485,818,712,4375
LGA16150,470,148,921,6637,8616,3830,3009,6862,2851,31801
LGA16200,187,127,438,2095,2777,1469,1300,2518,1511,11662
LGA16260,1923,564,3898,41636,44913,19685,15886,47659,14770,184550
LGA16350,1193,391,2316,34567,39855,17028,14380,36304,12650,154775
LGA16380,1406,558,2981,12037,17473,9155,7129,13398,6241,65441
LGA16400,765,360,1676,10568,14774,7914,6353,11726,5701,57039
LGA16490,314,105,680,10581,13593,5589,3623,7653,4022,45061
LGA16550,1492,568,3181,32607,29009,10144,6566,29302,12073,119698
LGA16610,284,121,634,3103,4487,2361,2158,4173,2161,18441
LGA16650,1283,684,2817,20870,20837,8150,6431,27976,7717,91982
LGA16700,1375,429,2972,24074,24805,10689,7480,24755,5535,97335
LGA16900,568,342,1377,11276,13941,7093,5756,12467,4319,54854
LGA16950,1283,800,3160,14607,21409,11651,9526,16829,9311,83332
LGA17000,179,55,343,3601,4813,2373,2226,3443,1666,18127
LGA17040,171,126,460,3530,4568,2053,1634,2798,2173,16754
LGA17080,156,145,430,1957,2793,1568,1404,2376,1692,11789
LGA17100,407,76,752,7920,7172,3167,2466,10564,2797,34086
LGA17150,3058,680,5947,44446,49631,22242,15418,35470,9596,176814
LGA17200,733,510,1790,58856,42380,9563,5152,51606,26782,194336
LGA17310,663,305,1437,9149,12324,6214,4963,9669,5233,47550
LGA17350,121,20,210,834,1192,663,633,1111,495,4934
LGA17400,42,76,176,906,1295,766,803,984,841,5591
LGA17420,941,251,2000,31139,33938,16333,12387,24605,5225,123621
LGA17550,1592,923,3581,14673,19386,9911,7485,16487,8101,76052
LGA17620,147,101,352,2116,2935,1382,1246,2165,1364,11207
LGA17640,83,22,184,1142,1723,892,776,1136,687,6346
LGA17650,60,10,118,914,1404,693,582,812,482,4888
LGA17750,668,231,1372,10960,13675,5993,4619,10300,4128,49690
LGA17850,31,44,96,423,624,317,304,485,392,2556
LGA17900,37,15,77,824,1004,450,467,1295,847,4885
LGA17950,34,13,60,367,547,233,203,501,305,2153
LGA18020,159,65,305,1174,1696,1023,973,1677,1156,7699
LGA18050,635,354,1513,17595,13698,4372,2646,10983,6808,56111
LGA18100,61,27,148,493,709,434,415,616,386,3051
LGA18200,68,22,135,965,1380,682,577,1159,751,5519
LGA18230,501,199,1081,7747,10290,4778,3841,8202,4842,39702
LGA18250,829,217,1731,15590,16088,6863,4670,13132,3552,59899
LGA18350,600,301,1428,7949,10858,5734,4419,6904,3618,39473
LGA18400,268,168,652,8347,10248,5008,4262,6956,3015,37840
LGA18450,2568,833,5253,37531,44021,20321,15287,37895,12031,167073
LGA18500,626,309,1599,14168,11647,4034,2617,8492,4812,45764
LGA18710,75,115,296,2664,3904,1863,1344,1675,1287,12744
LGA19399,7,8,22,171,217,96,76,192,119,869
LGA19499,41,26,78,1976,1606,620,412,3500,3428,11545
LGA19799,5,0,10,23,36,19,40,163,93,374
LGA20110,144,88,383,1952,2889,1490,1105,1781,1166,10384
LGA20260,153,71,359,1715,2272,1161,1027,1982,1642,9798
LGA20570,1153,409,2409,17979,22135,10044,8039,17059,6964,82219
LGA20660,1442,598,3253,24506,27930,12389,8739,19814,6473,99850
LGA20740,489,243,1143,4944,7335,3767,3043,5450,2923,27459
LGA20830,460,276,1112,7979,10283,5226,4645,7270,3789,39188
LGA20910,1611,562,3624,20826,21992,9979,6275,14261,5342,78669
LGA21010,215,98,528,2164,2900,1638,1320,2337,1328,11686
LGA21110,2211,595,4829,38772,38006,16293,10588,26497,8276,138430
LGA21180,1526,536,2926,32283,32568,13831,12885,52745,14152,158457
LGA21270,153,88,336,895,1193,690,628,1088,703,5206
LGA21370,550,277,1164,5838,7544,3805,3318,6437,3481,30424
LGA21450,576,218,1185,16759,19447,8798,7160,14553,5687,72402
LGA21610,1834,560,3450,52179,55788,24173,20591,62381,16333,231449
LGA21670,217,102,448,1789,2512,1502,1327,2604,1241,10982
LGA21750,269,117,585,3253,4497,2302,1889,3523,1813,17277
LGA21830,205,106,468,2508,3103,1701,1577,2712,1524,13125
LGA21890,1630,777,3736,31260,32158,11666,8414,28916,10870,123281
LGA22110,574,398,1391,6392,9390,5355,4691,7362,4700,37892
LGA22170,1279,559,2713,25635,29055,12245,9182,23615,9381,109114
LGA22250,157,70,378,1640,2087,1230,1139,1804,973,8870
LGA22310,2108,564,4240,31390,31779,12330,7697,24739,7176,115105
LGA22410,281,120,555,2765,4075,2205,1893,3524,1921,16377
LGA22490,118,30,225,3333,4679,2367,2211,2828,1352,16769
LGA22620,1169,645,2743,19056,24042,11128,9174,17472,8410,89283
LGA22670,1750,442,3008,24793,24315,10478,9367,45179,10479,124599
LGA22750,2984,1251,6460,42523,50128,23566,18120,40278,16556,191166
LGA22830,688,325,1484,10106,12161,5882,4729,12281,5965,51131
LGA22910,214,121,469,2269,3447,1854,1513,2262,1596,12934
LGA22980,127,64,290,868,1120,677,653,1048,495,4859
LGA23110,958,332,1952,17268,19172,7753,6025,16706,5510,72429
LGA23190,260,104,613,3202,4152,2195,1666,3334,1372,15913
LGA23270,1050,298,1889,31142,32865,14396,13548,49254,12255,153462
LGA23350,166,62,353,2519,3669,1938,1418,2214,1348,13104
LGA23430,1783,933,4139,30839,33813,13697,9569,27740,8938,124594
LGA23670,1612,515,3105,31517,33716,14943,11056,28731,7084,127047
LGA23810,823,382,1761,11222,14909,7400,6537,13330,6596,59998
LGA23940,121,61,256,1051,1389,810,847,1306,919,6322
LGA24130,361,178,811,7697,10475,5213,4191,5764,3328,36659
LGA24210,1814,554,3668,23286,24248,12016,9017,23437,5513,97529
LGA24250,96,36,207,1386,1919,987,780,1176,792,7049
LGA24330,667,286,1379,17882,17876,5886,4275,17057,6120,69093
LGA24410,1275,496,2647,22790,25100,10801,7768,17947,5359,89771
LGA24600,516,421,1255,36756,26926,6222,3530,38003,15802,127232
LGA24650,491,137,887,22076,24045,10345,9763,26854,9012,102097
LGA24780,664,308,1419,8294,10637,5239,4309,9988,5178,43642
LGA24850,240,138,581,6692,8284,3727,3389,6736,3618,32439
LGA24900,428,225,935,4443,5772,2903,2700,5268,2903,23981
LGA24970,2370,802,5088,36683,37972,16899,12384,40531,9246,153720
LGA25060,1341,457,2967,25038,25183,10412,7462,21376,7646,97118
LGA25150,225,83,491,5325,6789,3312,2777,4991,2180,25373
LGA25250,2161,541,4311,35576,36092,12680,9310,32113,10686,136461
LGA25340,2245,1012,5059,27204,34424,17005,12561,25894,11067,128156
LGA25430,199,162,563,2716,4418,2287,1768,2325,2429,15946
LGA25490,153,83,373,2519,3384,1877,1565,2342,1441,13134
LGA25620,152,61,314,2066,2991,1576,1346,2189,1376,11546
LGA25710,309,119,705,12397,14255,6964,4685,8256,2653,49213
LGA25810,194,69,400,1686,2493,1274,1101,2131,1043,9724
LGA25900,734,221,1433,28621,24364,6512,3686,15672,10225,89077
LGA25990,67,52,178,958,1362,762,805,1164,1055,6105
LGA26080,46,30,149,483,773,392,250,344,276,2523
LGA26170,367,160,808,4361,6033,3514,2959,4142,2570,23581
LGA26260,232,151,582,2510,3460,1738,1569,2630,1289,13199
LGA26350,1104,407,2472,28696,23774,7748,4843,17933,7957,90965
LGA26430,163,98,376,1489,2185,1190,1039,1805,1051,8763
LGA26490,290,84,566,5435,6756,3436,2469,3481,1778,23345
LGA26610,244,142,563,3013,3695,1884,1629,3748,2682,16646
LGA26670,93,40,197,892,1345,722,637,891,533,5023
LGA26700,362,352,1008,4370,6241,3151,2458,4469,2515,23209
LGA26730,445,198,969,6018,7193,3321,2560,5722,2734,27546
LGA26810,450,214,1033,6375,8692,4717,4157,6840,4569,35358
LGA26890,53,37,132,685,815,448,407,571,307,3234
LGA26980,2080,879,4959,33772,35463,15816,10812,31377,7595,134835
LGA27070,1384,313,2354,33532,35807,15545,13818,45411,11195,155311
LGA27170,383,121,745,6736,8654,3715,2919,6540,2676,31242
LGA27260,709,323,1451,35221,40352,17526,15826,41616,12776,163311
LGA27350,495,191,1075,26747,21259,5601,2931,12463,7979,76983
LGA27450,1184,437,2533,28848,33957,15865,11913,22124,8374,121080
LGA27630,140,87,332,971,1332,754,688,1208,667,5618
LGA29399,0,0,0,159,112,46,50,162,216,746
LGA29499,22,12,38,1281,954,324,278,1969,2020,6825
LGA29799,0,0,0,7,3,3,0,11,3,25
LGA30250,0,0,0,570,163,21,7,114,35,901
LGA30300,34,11,64,644,841,379,369,813,392,3437
LGA30370,100,36,211,2208,2827,1357,1326,2121,1314,11152
LGA30410,22,17,51,433,553,255,297,487,248,2279
LGA30450,0,0,3,48,48,33,21,62,18,232
LGA30760,21,3,42,297,366,203,192,367,146,1572
LGA30900,0,0,0,68,85,29,19,88,68,351
LGA31000,8858,4261,20904,247415,260457,100841,68799,184667,69698,931879
LGA31750,0,0,7,55,60,24,21,89,33,289
LGA31820,1110,507,2348,13321,18844,10106,9486,16883,7843,76488
LGA31900,178,114,463,2733,3415,1765,1660,2937,1527,14039
LGA31950,0,0,0,45,40,31,12,84,61,274
LGA32080,955,430,1981,26430,34397,13876,10479,25331,14279,124795
LGA32250,6,3,10,258,326,123,107,457,271,1548
LGA32260,323,115,647,4050,5748,2950,2723,4940,3056,23462
LGA32270,60,31,133,4306,5336,2353,2346,3489,3247,21073
LGA32310,101,41,211,1615,2116,1118,1101,2043,1325,9327
LGA32330,5,0,5,208,214,39,15,289,46,807
LGA32450,7,8,20,453,519,200,190,619,434,2416
LGA32500,10,9,31,533,759,401,390,663,691,3439
LGA32600,0,0,4,32,44,21,12,57,63,229
LGA32750,0,0,0,58,54,15,17,50,42,239
LGA32770,0,0,0,491,98,12,5,203,44,862
LGA32810,38,71,159,2026,2520,1144,854,1647,1595,9783
LGA33100,0,0,3,103,136,79,70,172,90,651
LGA33200,16,0,28,227,326,149,138,285,147,1269
LGA33220,1204,553,2553,13836,20308,11442,10416,18925,9525,84458
LGA33360,236,86,509,9602,12989,5962,5854,8731,4556,47696
LGA33430,5186,2920,11643,107412,119400,49915,35992,98740,43409,454866
LGA33610,99,50,216,1604,1995,980,899,1785,1095,8356
LGA33620,364,300,1037,7125,9978,5698,5435,7745,4527,40504
LGA33800,181,73,414,1522,2164,1239,1260,1927,1059,9178
LGA33830,3,0,7,80,181,160,60,108,66,658
LGA33960,1060,365,2246,32696,39295,17182,14239,31509,12896,147814
LGA33980,31,11,72,3048,3827,1588,1729,2610,2838,15641
LGA34420,3,0,7,206,129,132,77,126,30,694
LGA34530,268,204,694,5329,7626,3994,3477,5232,3756,29418
LGA34570,0,0,0,122,48,42,105,101,64,493
LGA34580,273,120,587,6002,7776,3712,3510,6312,3756,31063
LGA34590,1896,520,3357,50980,60614,26874,21858,54905,19619,234848
LGA34710,35,12,76,587,803,332,261,603,362,2964
LGA34770,830,257,1645,18389,24177,11242,9987,17746,9671,91204
LGA34800,3,0,9,120,152,60,60,192,73,665
LGA34830,0,0,0,98,47,25,7,37,9,224
LGA34860,111,53,225,1920,2504,1111,998,2145,1237,9908
LGA34880,162,62,379,2813,4197,2336,1924,3127,3278,17681
LGA35010,2853,2189,7364,74650,93447,42411,33859,65099,26715,336175
LGA35250,0,0,0,97,149,142,138,178,92,793
LGA35300,27,19,80,2988,3758,1455,1206,2761,2018,14193
LGA35600,55,22,102,638,814,390,318,859,388,3411
LGA35670,0,0,0,222,207,30,15,184,14,665
LGA35740,506,353,1373,8768,12413,6264,4640,7749,3862,43702
LGA35760,131,80,292,1326,1969,1049,1021,1891,1374,8625
LGA35780,0,0,6,501,415,238,179,317,116,1768
LGA35790,0,0,0,853,243,71,77,352,64,1662
LGA35800,12,10,29,240,339,141,128,337,149,1325
LGA36070,0,0,0,304,119,17,14,84,22,553
LGA36150,3,0,9,132,173,57,74,152,57,648
LGA36250,1403,797,3279,27900,34283,15525,11029,23102,7571,119405
LGA36300,3,3,8,129,150,61,68,158,81,638
LGA36370,677,414,1609,12684,16627,7796,6393,13117,6535,63147
LGA36510,394,137,804,5987,8603,4518,3906,5854,3628,32494
LGA36580,171,69,346,3442,4762,2585,2563,3956,2261,19567
LGA36630,369,123,715,4345,6183,3503,3528,5528,2964,26054
LGA36660,432,153,902,4990,7237,3979,3808,5780,2715,28501
LGA36720,3579,1443,7706,52358,68095,32193,24045,45190,19114,240989
LGA36820,280,120,622,3366,5124,2802,2693,3856,2479,20319
LGA36910,1474,1059,3802,26528,34558,16489,13873,24650,12088,128188
LGA36950,8,3,14,504,542,143,137,768,537,2627
LGA36960,6,0,6,942,529,147,313,706,324,2954
LGA37010,1131,366,2305,33137,41468,17236,13534,28943,14733,149046
LGA37300,0,0,3,607,834,277,239,549,354,2866
LGA37310,256,142,599,4934,6219,3093,3092,5028,3700,26057
LGA37340,182,121,440,5416,6781,3029,2526,5508,4403,27657
LGA37400,16,13,32,170,243,88,95,233,114,949
LGA37550,0,0,0,265,103,29,30,148,69,637
LGA37570,0,0,0,79,48,57,6,27,8,217
LGA37600,4,0,5,473,321,136,200,517,51,1687
LGA39499,25,11,44,2026,1961,823,592,3533,2759,11693
LGA39799,0,3,4,23,24,19,6,50,23,144
LGA40070,191,53,379,5562,4888,1368,658,5791,2583,20850
LGA40120,302,79,674,6865,9996,4935,3463,4381,1960,31601
LGA40220,377,157,824,3905,6111,3345,2696,3800,1977,21834
LGA40250,4,3,18,343,462,275,124,253,273,1724
LGA40310,300,99,625,3961,5483,2956,2227,3083,1464,19183
LGA40430,53,27,105,364,521,341,279,452,232,2198
LGA40520,155,60,332,1547,2226,1141,965,1891,878,8652
LGA40700,667,238,1666,8961,10598,5199,3114,6588,1948,36413
LGA40910,875,182,1673,9588,11473,5365,3809,9555,2166,41969
LGA41010,21,30,67,505,691,317,241,496,458,2699
LGA41060,1843,484,3637,21457,25698,10921,7574,22374,6392,94420
LGA41140,138,25,276,1430,2039,1109,927,1260,637,7394
LGA41190,28,11,61,291,362,174,193,255,139,1411
LGA41330,7,5,15,221,326,128,109,375,317,1485
LGA41560,190,125,445,2018,2967,1682,1454,2535,1295,11951
LGA41750,11,0,21,132,202,147,125,173,57,842
LGA41830,13,13,42,220,347,187,171,310,165,1396
LGA41960,22,18,46,200,255,162,136,191,134,1072
LGA42030,290,124,668,3867,5253,2463,1855,4007,1500,18955
LGA42110,42,17,91,623,848,477,484,655,339,3422
LGA42250,40,29,111,1153,1787,917,792,1037,984,6665
LGA42600,810,250,1686,7386,9024,3722,2213,6008,2257,30609
LGA42750,51,34,123,672,1127,568,440,638,483,3932
LGA43080,15,10,50,184,213,122,110,167,88,891
LGA43220,16,8,32,168,200,107,114,145,71,810
LGA43360,32,15,70,366,493,271,259,372,220,1977
LGA43650,74,26,166,2462,3327,1703,1417,1870,770,11542
LGA43710,23,24,76,828,1155,630,580,619,606,4417
LGA43790,165,71,380,1816,2470,1341,1059,1883,884,9462
LGA43920,30,26,90,1355,1990,927,768,1425,650,7108
LGA44000,0,0,0,6,4,0,0,3,31,50
LGA44060,1382,349,2760,17586,21463,8952,5998,15811,4418,74231
LGA44210,67,39,188,1197,1862,1068,921,1469,976,7505
LGA44340,995,337,2225,12675,16463,7716,4654,9029,2843,53383
LGA44550,307,97,620,5912,8182,3865,2860,3927,1913,26654
LGA44620,369,115,696,4381,5679,2745,2001,4582,1687,21069
LGA44830,38,21,88,388,603,382,363,461,255,2457
LGA45040,220,85,503,3359,4375,2125,1789,3736,1852,17242
LGA45090,84,76,226,1437,1803,884,687,1331,534,6677
LGA45120,68,18,144,695,947,505,534,710,332,3728
LGA45290,633,151,1314,7622,8920,3594,2107,6231,1836,30307
LGA45340,1641,665,3464,29907,39460,18095,13146,25768,9208,135573
LGA45400,21,11,47,138,176,109,107,133,84,744
LGA45540,21,14,53,193,325,172,197,358,196,1442
LGA45680,673,265,1322,13581,16910,7740,6722,17625,6241,68816
LGA45890,1596,492,3161,21673,25947,10839,8015,26278,8142,100886
LGA46090,116,41,241,1796,2625,1266,1139,2558,1825,11197
LGA46300,179,40,390,2294,3020,1443,1159,2330,1087,11341
LGA46450,277,70,496,2324,3387,1892,1732,3629,1285,14254
LGA46510,229,54,477,4268,5160,2033,1188,3386,1015,17050
LGA46670,124,51,276,1486,1939,998,756,1799,879,7855
LGA46860,13,10,40,234,326,169,124,199,132,1185
LGA46970,0,0,3,595,824,325,271,505,341,2864
LGA47140,1252,303,2190,23187,28063,12516,9863,29700,7458,110789
LGA47290,38,9,59,313,429,222,186,335,196,1678
LGA47490,9,20,56,318,439,247,204,267,183,1660
LGA47630,52,74,198,1202,1388,695,545,912,626,5366
LGA47700,1067,332,2080,18315,23339,10858,7423,16538,4087,80560
LGA47800,42,28,112,807,1111,639,542,892,415,4406
LGA47910,37,34,93,393,550,311,303,418,214,2171
LGA47980,972,179,1637,8021,9569,3929,2207,6168,1839,31733
LGA48050,337,151,789,2104,3307,2121,1576,2570,1071,12754
LGA48130,105,45,200,990,1317,730,702,1202,517,5469
LGA48260,158,34,309,1581,1788,819,505,1288,456,6424
LGA48340,117,94,322,1712,2456,1365,1241,1873,903,9553
LGA48410,839,485,2148,11952,13534,5363,3608,11569,3416,49447
LGA48540,193,84,429,3109,4539,2264,1906,4114,1703,17638
LGA48640,14,8,37,199,243,132,115,182,111,971
LGA48750,61,21,138,722,1188,759,578,772,416,4435
LGA48830,217,81,459,1546,2359,1463,1315,2003,836,9530
LGA49399,7,11,25,505,626,280,226,782,610,3032
LGA49499,17,0,22,466,435,143,126,850,627,2648
LGA49799,0,0,0,4,0,0,0,3,0,3
LGA50080,437,215,1046,6002,7981,3950,3420,5455,2997,29805
LGA50210,341,250,917,13030,16389,7264,6662,13546,4989,61871
LGA50250,4,0,7,1585,1683,586,606,4631,2212,11305
LGA50280,82,43,225,2170,3257,1686,1303,1611,1137,11159
LGA50350,163,52,334,2846,3540,1429,1103,2530,943,12390
LGA50420,568,415,1484,13244,14514,5644,4195,12274,4602,54483
LGA50490,358,178,817,7424,7995,2965,2367,8390,4150,33294
LGA50560,18,11,42,200,329,190,237,315,207,1475
LGA50630,3,3,14,265,362,189,206,260,161,1441
LGA50770,13,13,36,249,328,187,218,251,150,1377
LGA50840,28,16,90,611,1036,611,538,611,424,3838
LGA50910,7,23,38,131,177,95,109,171,126,805
LGA50980,26,12,56,2789,3279,1213,792,2364,1905,12338
LGA51080,0,5,11,165,208,104,107,150,136,871
LGA51120,13,3,20,136,142,113,92,181,79,739
LGA51190,445,128,875,5172,6855,3165,2723,5595,2869,26383
LGA51260,298,228,851,5805,7977,4105,3432,5039,2852,29211
LGA51310,364,103,831,5507,5988,2895,1965,3435,1347,21139
LGA51330,700,222,1549,17677,18756,8106,6593,18555,4651,74339
LGA51400,35,20,104,2733,3592,1797,1576,2318,951,12970
LGA51470,3,3,5,85,122,55,53,96,45,452
LGA51540,22,17,69,768,1029,475,323,988,810,4401
LGA51610,7,0,13,178,293,160,165,149,146,1092
LGA51680,6,5,36,753,1181,609,610,783,477,4413
LGA51750,199,66,461,2170,2206,1008,698,1600,783,8458
LGA51820,591,366,1430,19603,22448,9380,7464,18000,6683,83575
LGA51890,56,47,152,1155,1736,944,993,1467,832,7128
LGA51960,3,0,6,515,642,253,311,638,429,2782
LGA52030,8,0,12,146,206,127,135,176,99,891
LGA52100,10,9,30,157,237,115,115,164,122,915
LGA52170,100,36,226,1707,1766,771,525,985,506,6252
LGA52240,4,8,12,135,213,122,124,182,116,882
LGA52310,3,5,15,132,181,88,97,103,113,708
LGA52380,0,0,0,21,35,19,7,45,38,166
LGA52450,7,9,23,263,272,118,131,261,131,1176
LGA52520,16,3,30,258,254,129,142,223,126,1132
LGA52590,13,13,45,463,763,359,330,503,298,2714
LGA52660,134,52,269,2243,2874,1488,1371,2073,946,11003
LGA52730,28,34,117,816,1392,783,572,702,570,4837
LGA52800,22,4,36,1195,1266,604,579,1109,980,5741
LGA52870,42,17,108,821,1237,743,681,734,597,4819
LGA52940,3,0,11,108,133,61,88,101,46,529
LGA53010,3,0,7,111,131,58,86,69,92,544
LGA53080,3,0,6,77,115,66,70,189,144,659
LGA53150,43,67,170,1591,1746,769,569,872,486,6027
LGA53220,0,0,3,1470,1807,537,409,2742,2017,8980
LGA53290,124,43,253,2260,2725,1368,1197,2089,1667,11303
LGA53360,0,5,11,462,618,273,210,335,257,2165
LGA53430,292,181,731,6142,7030,2815,1771,4442,2602,24792
LGA53570,21,19,70,674,1015,574,638,889,534,4331
LGA53640,5,3,9,198,220,100,128,193,135,971
LGA53710,14,6,27,139,192,98,137,157,102,822
LGA53780,588,353,1431,20024,22823,10003,8885,23993,7680,93412
LGA53800,279,141,638,5933,7823,3703,3345,6196,3595,30597
LGA53920,3,3,7,740,387,128,69,485,576,2393
LGA53990,106,45,294,4043,5478,2819,2670,3631,2013,20663
LGA54060,34,16,85,472,696,441,469,555,327,2958
LGA54130,0,0,9,154,237,110,123,124,130,874
LGA54170,1133,373,2401,30550,36041,16339,11829,23569,6608,124925
LGA54200,335,211,922,10114,12710,5938,5082,8987,3443,46275
LGA54280,77,36,153,4996,5855,2313,2075,5008,2913,23159
LGA54310,11,3,22,3489,4075,1507,1429,3023,2642,16164
LGA54340,42,21,95,609,666,371,328,801,532,3316
LGA54410,22,13,45,158,227,129,137,222,139,1008
LGA54480,0,0,3,90,83,53,57,80,67,427
LGA54550,16,20,62,304,390,187,216,254,215,1562
LGA54620,4,0,12,156,163,95,75,151,66,707
LGA54690,0,0,7,60,79,43,53,69,33,333
LGA54760,3,8,20,140,151,68,82,100,64,616
LGA54830,148,72,324,6253,7529,3137,2937,6652,3728,30236
LGA54900,7,3,11,217,245,123,130,165,113,985
LGA54970,3,0,3,152,201,83,41,309,216,1009
