LGA_CODE_2016,SH_FHs_CF_no_C,SH_FHs_CF_C,SH_FHs_OnePF,SH_FHs_Oth_fam,SH_FHs_Tot,SH_Lone_P_H,SH_Group_H,SH_Tot,SDRTHT_1_S_FHs_CF_no_C,SDRTHT_1_S_FHs_CF_C,SDRTHT_1_S_FHs_OnePF,SDRTHT_1_S_FHs_Oth_fam,SDRTHT_1_S_FHs_Tot,SDRTHT_1_S_Lone_P_H,SDRTHT_1_S_Group_H,SDRTHT_1_S_Tot,SDRTHT_2more_S_FHs_CF_no_C,SDRTHT_2more_S_FHs_CF_C,SDRTHT_2more_S_FHs_OnePF,SDRTHT_2more_S_FHs_Oth_fam,SDRTHT_2more_S_FHs_Tot,SDRTHT_2more_S_Lone_P_H,SDRTHT_2more_S_Group_H,SDRTHT_2more_S_Tot,SDRTHT_Tot_FHs_CF_no_C,SDRTHT_Tot_FHs_CF_C,SDRTHT_Tot_FHs_OnePF,SDRTHT_Tot_FHs_Oth_fam,SDRTHT_Tot_FHs_Tot,SDRTHT_Tot_Lone_P_H,SDRTHT_Tot_Group_H,SDRTHT_Tot_Tot,FoA_1_or_2_SB_FHs_CF_no_C,FoA_1_or_2_SB_FHs_CF_C,FoA_1_or_2_SB_FHs_OnePF,FoA_1_or_2_SB_FHs_Oth_fam,FoA_1_or_2_SB_FHs_Tot,FoA_1_or_2_SB_Lone_P_H,FoA_1_or_2_SB_Group_H,FoA_1_or_2_SB_Tot,FoA_3SB_FHs_CF_no_C,FoA_3SB_FHs_CF_C,FoA_3SB_FHs_OnePF,FoA_3SB_FHs_Oth_fam,FoA_3SB_FHs_Tot,FoA_3SB_Lone_P_H,FoA_3SB_Group_H,FoA_3SB_Tot,FoA_4moSB_FHs_CF_no_C,FoA_4moSB_FHs_CF_C,FoA_4moSB_FHs_OnePF,FoA_4moSB_FHs_Oth_fam,FoA_4moSB_FHs_Tot,FoA_4moSB_Lone_P_H,FoA_4moSB_Group_H,FoA_4moSB_Tot,FoA_Att_to_hous_FHs_CF_no_C,FoA_Att_to_hous_FHs_CF_C,FoA_Att_to_hous_FHs_OnePF,FoA_Att_to_hous_FHs_Oth_fam,FoA_Att_to_hous_FHs_Tot,FoA_Att_to_hous_Lone_P_H,FoA_Att_to_hous_Group_H,FoA_Att_to_hous_Tot,FoA_Tot_FHs_CF_no_C,FoA_Tot_FHs_CF_C,FoA_Tot_FHs_OnePF,FoA_Tot_FHs_Oth_fam,FoA_Tot_FHs_Tot,FoA_Tot_Lone_P_H,FoA_Tot_Group_H,FoA_Tot_Tot,OD_C_FHs_CF_no_C,OD_C_FHs_CF_C,OD_C_FHs_OnePF,OD_C_FHs_Oth_fam,OD_C_FHs_Tot,OD_C_Lone_P_H,OD_C_Group_H,OD_C_Tot,OD_CH_FHs_CF_no_C,OD_CH_FHs_CF_C,OD_CH_FHs_OnePF,OD_CH_FHs_Oth_fam,OD_CH_FHs_Tot,OD_CH_Lone_P_H,OD_CH_Group_H,OD_CH_Tot,OD_Imp_home_T_SO_FHs_CF_no_C,OD_Imp_home_T_SO_FHs_CF_C,OD_Imp_home_T_SO_FHs_OnePF,OD_Imp_home_T_SO_FHs_Oth_fam,OD_Imp_home_T_SO_FHs_Tot,OD_Imp_home_T_SO_Lone_P_H,OD_Imp_home_T_SO_Group_H,OD_Imp_home_T_SO_Tot,OD_HorF_at_to_S_O_FHs_CF_no_C,OD_HorF_at_to_S_O_FHs_CF_C,OD_HorF_at_to_S_O_FHs_OnePF,OD_HorF_at_to_S_O_FHs_Oth_fam,OD_HorF_at_to_S_O_FHs_Tot,OD_HorF_at_to_S_O_Lone_P_H,OD_HorF_at_to_S_O_Group_H,OD_HorF_at_to_S_O_Tot,OD_Tot_FHs_CF_no_C,OD_Tot_FHs_CF_C,OD_Tot_FHs_OnePF,OD_Tot_FHs_Oth_fam,OD_Tot_FHs_Tot,OD_Tot_Lone_P_H,OD_Tot_Group_H,OD_Tot_Tot,DS_NS_FHs_CF_no_C,DS_NS_FHs_CF_C,DS_NS_FHs_OnePF,DS_NS_FHs_Oth_fam,DS_NS_FHs_Tot,DS_NS_Lone_P_H,DS_NS_Group_H,DS_NS_Tot,Tot_FHs_CF_no_C,Tot_FHs_CF_C,Tot_FHs_OnePF,Tot_FHs_Oth_fam,Tot_FHs_Tot,Tot_Lone_P_H,Tot_Group_H,Tot_Tot
LGA10850,759,787,279,26,1856,612,40,2507,8,3,7,0,11,16,0,30,0,0,0,0,5,0,0,4,7,8,7,0,14,14,0,34,6,0,0,0,11,44,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,11,44,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,3,0,0,3,0,0,4,5,3,0,0,12,3,0,16,15,9,0,0,17,11,0,27,0,0,0,0,0,29,0,29,784,802,290,23,1905,709,46,2656
LGA10900,7627,8946,2866,203,19642,6092,753,26482,160,55,74,3,287,495,31,811,114,46,81,0,243,324,25,590,271,101,155,8,531,822,47,1404,46,14,39,6,110,289,28,428,21,4,8,3,31,97,12,140,0,0,0,0,0,7,0,10,0,0,0,0,3,11,0,10,66,18,47,13,146,397,45,582,0,0,0,0,0,7,0,9,3,0,0,0,3,0,0,3,4,4,0,0,9,0,0,7,10,3,0,0,14,13,0,32,16,11,0,0,23,25,0,53,29,20,7,0,52,51,4,109,8009,9091,3074,220,20389,7386,854,28630
LGA10950,253,252,100,8,620,242,23,883,8,0,0,0,11,18,0,26,5,0,0,0,5,0,0,4,9,0,0,0,11,18,0,33,3,3,0,0,4,19,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,4,19,0,28,0,0,0,0,0,7,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,8,3,0,0,0,8,7,0,14,3,3,0,0,10,4,0,9,274,264,101,8,654,296,19,967
LGA11100,1137,2545,660,108,4452,862,171,5483,218,363,133,15,727,285,55,1065,183,472,167,18,836,236,36,1105,400,839,296,28,1564,523,91,2175,260,439,180,40,919,546,110,1580,604,849,382,52,1896,867,189,2949,1320,866,256,95,2529,923,586,4042,0,0,4,0,4,4,0,8,2183,2151,818,191,5347,2338,885,8571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,24,24,18,7,66,28,12,114,24,24,13,7,76,36,12,118,7,26,3,3,39,29,3,76,3748,5586,1802,340,11477,3783,1161,16421
LGA11150,181,211,112,14,518,213,13,746,3,0,0,0,6,13,0,16,0,0,0,0,0,0,0,0,3,0,0,0,6,13,0,16,3,0,3,0,8,23,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,8,23,0,34,7,0,0,0,7,4,0,12,0,0,0,0,0,3,0,3,0,0,0,0,0,3,0,4,6,0,0,0,6,4,0,6,8,0,0,0,13,16,0,25,10,0,3,0,9,3,0,14,203,213,124,14,550,268,14,831
LGA11200,109,106,112,18,346,131,23,503,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0,0,3,0,0,5,3,0,0,0,7,5,0,10,5,0,3,0,12,12,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,5,0,16,18,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,0,0,0,0,3,0,0,8,0,0,0,0,0,4,0,4,121,109,120,21,369,159,22,553
LGA11250,1842,1447,997,76,4355,2257,178,6792,17,14,11,0,48,101,0,152,3,0,8,0,10,0,0,16,20,17,18,0,58,106,4,164,18,7,3,0,27,150,3,182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,7,3,0,26,150,3,184,3,0,0,0,4,4,0,8,0,0,0,0,0,3,0,3,0,0,0,0,3,0,0,3,0,0,0,0,0,4,0,3,3,3,0,0,12,8,0,18,10,3,7,0,15,13,0,23,1888,1476,1023,78,4461,2532,182,7184
LGA11300,1031,2060,543,90,3732,715,268,4711,137,254,69,12,476,181,46,700,253,588,163,15,1016,206,53,1276,389,840,235,33,1498,385,98,1978,205,144,84,24,459,307,91,857,465,405,171,60,1107,400,312,1812,639,456,199,79,1372,544,516,2428,10,7,3,0,18,8,5,27,1317,1016,457,165,2953,1256,920,5123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,17,3,4,24,23,4,50,13,16,3,4,31,23,4,50,17,22,8,0,49,26,16,84,2764,3954,1244,288,8256,2397,1301,11957
LGA11350,2526,2602,1228,77,6438,2128,702,9266,87,54,75,4,220,169,61,449,75,77,68,0,215,104,50,365,167,128,135,3,433,276,107,819,94,49,73,3,217,363,46,627,9,6,15,0,35,42,4,82,0,0,0,0,0,0,0,0,3,3,4,0,11,13,0,22,107,57,87,10,261,416,52,727,30,15,6,0,54,109,10,164,19,9,16,0,49,92,12,144,3,0,0,0,4,13,0,23,15,7,5,0,27,29,0,61,69,34,32,0,128,245,17,389,40,19,19,0,77,79,13,171,2904,2832,1503,96,7338,3132,896,11368
LGA11400,1420,1571,391,34,3416,1026,73,4510,0,0,0,0,3,25,0,25,0,0,0,0,0,0,0,0,6,0,0,0,5,25,0,30,7,0,5,4,13,57,3,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,5,4,13,57,3,75,0,0,0,0,0,11,0,15,0,0,0,0,0,3,0,4,0,0,0,0,3,0,0,4,3,6,0,0,10,16,0,23,4,6,3,0,20,33,0,44,11,6,0,0,16,7,0,26,1446,1588,405,36,3472,1144,74,4686
LGA11450,5498,11286,2540,194,19517,2464,329,22310,172,106,86,10,382,453,7,839,128,145,107,3,385,192,15,593,301,253,197,16,767,640,28,1432,28,3,14,4,47,105,0,157,10,0,0,0,10,26,0,30,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,7,37,3,14,4,63,135,0,195,10,0,0,0,6,10,0,12,7,0,3,0,6,24,0,37,0,3,3,0,7,3,0,9,7,3,0,0,7,3,0,12,19,3,4,0,35,34,3,71,17,25,0,0,45,24,3,68,5870,11578,2760,211,20420,3298,360,24084
LGA11500,8541,17492,6555,491,33076,5408,826,39315,701,872,713,69,2351,1439,103,3896,657,1204,981,73,2921,1331,126,4378,1354,2076,1694,139,5268,2774,229,8272,219,125,121,14,476,500,33,1014,91,63,40,6,197,146,13,359,267,127,85,9,486,279,50,805,3,4,3,0,12,12,0,24,580,318,248,26,1169,931,97,2202,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,4,0,0,0,3,8,0,11,7,20,14,0,41,13,5,65,12,25,15,0,49,23,10,82,34,26,8,0,67,42,0,109,10524,19935,8517,656,39635,9180,1161,49981
LGA11520,2742,6146,1215,191,10295,1787,302,12384,232,398,113,14,751,272,37,1060,523,700,233,24,1476,390,57,1919,754,1094,342,36,2221,660,94,2978,926,598,326,44,1896,1257,224,3381,997,714,311,56,2075,1026,286,3389,3370,2010,638,184,6200,2188,1103,9488,5,5,0,0,10,10,0,19,5303,3319,1275,286,10182,4484,1608,16273,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,108,50,21,4,188,70,41,304,109,51,21,4,192,70,41,306,43,31,13,0,87,62,11,159,8943,10649,2866,516,22984,7069,2052,32102
LGA11570,12230,29050,8530,1061,50872,9303,1370,61550,712,1221,597,82,2612,1375,133,4124,2241,6128,2086,185,10637,2212,335,13185,2954,7348,2676,268,13245,3588,470,17305,2453,3678,1507,261,7894,4099,813,12804,1921,3235,1458,176,6795,2712,512,10017,1245,1503,579,105,3429,1169,341,4945,24,35,10,4,79,37,8,123,5645,8456,3558,543,18198,8017,1675,27889,0,0,0,0,0,0,0,3,0,3,3,0,5,0,0,8,0,3,0,0,3,0,0,3,117,185,104,14,422,140,51,608,117,189,109,14,426,141,49,617,68,139,50,3,264,125,25,406,21019,45186,14920,1883,83008,21173,3589,107772
LGA11600,280,275,81,7,651,241,28,917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,12,15,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,12,15,0,29,3,0,0,0,3,3,0,8,4,0,0,0,7,8,9,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,10,15,7,26,7,5,0,0,9,0,0,9,294,281,85,10,681,272,34,986
LGA11650,26085,33430,12824,931,73270,19068,2731,95068,2363,676,1061,98,4199,4945,237,9379,1270,849,980,45,3150,2250,251,5647,3625,1520,2046,148,7347,7194,487,15026,1248,472,670,64,2454,3362,247,6059,362,153,190,18,722,701,97,1522,459,182,189,20,849,673,85,1606,7,7,6,0,27,43,3,68,2079,811,1061,99,4054,4777,434,9260,60,9,32,3,105,220,17,338,90,46,70,4,206,318,25,552,5,10,4,0,18,10,0,29,47,56,46,3,153,63,10,228,200,129,146,9,485,614,49,1150,102,70,42,5,231,301,10,545,32097,35964,16124,1193,85380,31956,3712,121048
LGA11700,112,131,91,3,337,199,15,548,3,3,0,0,8,8,0,19,0,0,0,0,0,0,0,0,3,3,0,0,8,8,0,19,4,3,0,0,9,7,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,9,7,0,16,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,5,0,0,0,0,0,10,0,15,4,0,0,0,10,4,0,13,121,135,97,5,358,228,13,605
LGA11720,4755,5661,2628,193,13237,3725,454,17418,222,93,207,13,535,691,38,1260,21,17,27,0,65,137,16,220,245,107,241,9,600,828,51,1482,26,15,27,6,74,209,12,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,15,27,5,72,209,12,293,3,3,0,0,8,7,0,17,0,3,0,0,7,4,0,11,0,3,0,0,3,3,0,9,3,3,5,0,10,19,0,30,11,7,10,0,33,32,0,57,25,25,16,0,72,38,3,116,5069,5822,2918,209,14021,4827,523,19368
LGA11730,5821,4133,2063,171,12188,4124,512,16821,147,34,55,4,241,453,17,710,71,35,71,3,189,176,22,383,222,72,127,4,430,629,38,1093,128,39,101,10,278,547,30,855,18,4,8,3,28,41,5,77,0,0,0,0,3,8,0,10,0,0,0,0,0,3,0,3,149,43,108,8,311,598,37,947,75,13,13,0,96,168,6,273,51,4,7,0,65,103,9,175,15,17,14,0,40,39,0,82,20,11,7,0,31,26,3,65,160,37,30,4,233,344,22,600,52,22,16,0,93,48,3,145,6405,4304,2352,186,13248,5736,617,19605
LGA11750,431,451,156,20,1049,392,29,1481,5,0,0,0,10,14,0,22,0,0,0,0,0,0,0,0,5,0,0,0,10,14,0,22,12,3,7,0,27,77,3,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,3,7,0,27,76,3,105,4,0,0,0,4,6,0,9,0,0,0,0,0,4,0,5,0,0,0,0,0,3,0,4,5,3,0,0,10,3,0,14,8,6,0,0,14,18,0,33,0,0,0,0,3,0,0,0,462,457,164,20,1104,503,36,1640
LGA11800,6471,6332,2628,150,15573,3868,648,20092,418,191,296,16,925,963,67,1958,342,193,206,10,747,516,85,1354,762,383,501,24,1677,1483,154,3315,321,177,313,26,833,1122,139,2095,54,43,34,3,136,159,26,320,88,22,23,3,124,151,14,301,0,0,0,0,3,11,3,9,462,243,367,28,1103,1447,183,2729,53,6,6,0,66,128,3,199,82,23,20,3,128,206,16,344,15,0,5,0,18,27,0,47,9,9,3,0,25,10,3,36,163,33,30,8,236,373,22,631,79,46,24,0,150,111,19,280,7942,7043,3549,208,18743,7276,1025,27042
LGA12000,470,440,133,22,1067,340,30,1440,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,7,0,0,0,7,19,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,7,22,0,29,3,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,8,8,0,0,8,3,0,17,489,448,134,22,1089,371,32,1491
LGA12150,361,285,206,18,864,372,36,1271,3,0,0,0,5,7,0,14,0,0,0,0,0,0,0,0,3,0,0,0,5,7,0,14,3,0,6,3,10,45,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,3,10,41,0,58,3,0,0,0,3,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,3,3,0,0,0,3,6,0,15,4,0,4,0,4,6,0,9,372,290,215,19,896,438,40,1370
LGA12350,1397,1118,495,65,3071,1177,89,4334,45,16,9,0,71,85,6,168,0,0,0,0,0,3,0,3,44,16,13,0,74,86,5,171,24,4,8,3,42,162,12,216,0,0,0,0,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,4,8,3,47,178,12,225,3,0,0,0,6,10,0,13,0,4,0,0,4,4,0,3,0,0,0,0,0,0,0,0,3,3,0,0,6,3,0,6,4,4,3,0,13,21,0,29,15,7,8,0,31,22,0,53,1493,1154,521,65,3236,1485,102,4823
