LGA_CODE_2016,Neg_Nil_inc_cpl_fam_no_child,Neg_Nil_inc_cpl_fam_wth_chld,Neg_Nil_inc_One_parent_fam,Neg_Nil_inc_Other_fam,Neg_Nil_inc_Tot,FI_1_149_cpl_fam_no_child,FI_1_149_cpl_fam_with_child,FI_1_149_One_parent_fam,FI_1_149_Other_fam,FI_1_149_Tot,FI_150_299_cpl_fam_no_child,FI_150_299_cpl_fam_with_child,FI_150_299_One_parent_fam,FI_150_299_Other_fam,FI_150_299_Tot,FI_300_399_cpl_fam_no_child,FI_300_399_cpl_fam_with_child,FI_300_399_One_parent_fam,FI_300_399_Other_fam,FI_300_399_Tot,FI_400_499_cpl_fam_no_child,FI_400_499_cpl_fam_with_child,FI_400_499_One_parent_fam,FI_400_499_Other_fam,FI_400_499_Tot,FI_500_649_cpl_fam_no_child,FI_500_649_cpl_fam_with_child,FI_500_649_One_parent_fam,FI_500_649_Other_fam,FI_500_649_Tot,FI_650_799_cpl_fam_no_child,FI_650_799_cpl_fam_with_child,FI_650_799_One_parent_fam,FI_650_799_Other_fam,FI_650_799_Tot,FI_800_999_cpl_fam_no_child,FI_800_999_cpl_fam_wth_chld,FI_800_999_One_parent_fam,FI_800_999_Other_fam,FI_800_999_Tot,FI_1000_1249_cpl_fam_no_child,FI_1000_1249_cpl_fam_wth_chld,FI_1000_1249_One_parent_fam,FI_1000_1249_Other_fam,FI_1000_1249_Tot,FI_1250_1499_cpl_fam_no_child,FI_1250_1499_cpl_fam_wth_chld,FI_1250_1499_One_parent_fam,FI_1250_1499_Other_fam,FI_1250_1499_Tot,FI_1500_1749_cpl_fam_no_child,FI_1500_1749_cpl_fam_wth_chld,FI_1500_1749_One_parent_fam,FI_1500_1749_Other_fam,FI_1500_1749_Tot,FI_1750_1999_cpl_fam_no_child,FI_1750_1999_cpl_fam_wth_chld,FI_1750_1999_One_parent_fam,FI_1750_1999_Other_fam,FI_1750_1999_Tot,FI_2000_2499_cpl_fam_no_child,FI_2000_2499_cpl_fam_wth_chld,FI_2000_2499_One_parent_fam,FI_2000_2499_Other_fam,FI_2000_2499_Tot,FI_2500_2999_cpl_fam_no_child,FI_2500_2999_cpl_fam_wth_chld,FI_2500_2999_One_parent_fam,FI_2500_2999_Other_fam,FI_2500_2999_Tot,FI_3000_3499_cpl_fam_no_child,FI_3000_3499_cpl_fam_wth_chld,FI_3000_3499_One_parent_fam,FI_3000_3499_Other_fam,FI_3000_3499_Tot,FI_3500_3999_cpl_fam_no_child,FI_3500_3999_cpl_fam_wth_chld,FI_3500_3999_One_parent_fam,FI_3500_3999_Other_fam,FI_3500_3999_Tot,FI_4000_more_cpl_fam_no_child,FI_4000_more_cpl_fam_wth_chld,FI_4000_more_One_parent_fam,FI_4000_more_Other_fam,FI_4000_more_Tot,Prt_inc_std_cpl_fam_no_child,Part_inc_std_cpl_fam_wth_chld,Part_inc_statd_One_parent_fam,Partial_income_statd_Othr_fam,Partial_income_stated_Tot,All_inc_ns_cpl_fam_no_child,All_inc_ns_cpl_fam_wth_chld,All_incomes_ns_One_parent_fam,All_incomes_ns_Other_fam,All_incomes_ns_Tot,Tot_cpl_fam_no_child,Tot_cpl_fam_wth_chld,Tot_One_parent_fam,Tot_Other_fam,Tot_Tot
LGA10850,6,3,3,0,12,10,0,4,0,12,9,0,15,0,23,6,3,16,0,24,39,3,20,0,63,22,8,30,3,62,106,18,35,0,162,64,21,38,3,133,86,38,28,4,154,84,70,19,4,170,47,59,14,3,117,44,77,10,0,133,86,130,16,0,236,53,88,5,3,151,26,61,0,0,92,15,53,3,0,69,29,65,0,0,93,57,104,31,0,189,16,5,10,0,42,800,805,297,22,1926
LGA10900,68,23,31,0,122,43,7,22,3,76,48,7,54,5,119,29,3,93,4,123,257,38,159,4,461,195,65,288,10,555,891,104,326,32,1350,680,205,335,25,1247,906,434,390,28,1755,774,544,261,26,1611,496,579,214,17,1304,542,617,177,10,1347,934,1431,272,12,2651,674,1245,130,7,2055,391,847,33,3,1279,271,623,42,3,941,455,1209,35,3,1703,490,1088,276,18,1864,105,67,54,11,228,8250,9148,3182,221,20798
LGA10950,3,0,3,0,10,0,0,0,0,0,7,0,6,0,6,0,0,5,0,7,17,0,17,0,31,7,4,4,0,18,41,5,20,0,61,23,10,11,3,46,20,13,6,0,41,9,16,5,0,37,14,15,4,0,40,16,16,4,0,33,34,33,4,0,76,21,26,0,0,47,14,11,4,0,35,4,11,0,0,20,19,13,3,0,32,18,70,10,0,97,10,8,5,0,25,282,269,107,10,662
LGA11100,108,28,38,15,190,29,6,19,0,59,22,16,41,3,74,21,13,40,0,75,172,40,92,20,321,102,78,148,13,339,402,126,167,25,722,196,193,174,39,607,292,342,204,35,872,291,348,157,27,828,210,366,136,24,740,220,368,110,27,721,503,748,154,36,1440,339,644,83,21,1084,259,507,54,10,824,187,375,29,10,601,300,801,36,13,1150,284,598,170,12,1064,61,54,49,5,171,4000,5657,1898,339,11899
LGA11150,3,0,0,0,6,0,0,0,0,5,0,0,5,0,8,0,0,9,0,7,4,4,5,0,13,3,0,10,0,11,21,5,13,0,40,14,5,22,0,42,15,10,9,0,33,17,14,11,3,44,7,13,6,0,29,17,15,8,0,40,30,25,4,0,56,15,28,3,0,47,8,19,0,0,28,3,9,3,0,15,5,13,0,0,15,22,49,13,0,83,11,7,13,0,39,206,216,130,11,561
LGA11200,6,0,3,0,9,0,0,6,0,8,0,0,7,3,14,0,0,16,0,16,9,3,11,0,29,0,0,17,3,17,18,3,13,0,38,10,9,16,3,43,8,6,7,3,23,13,8,3,3,25,13,8,4,0,21,14,4,0,0,12,15,7,3,0,27,3,13,0,0,17,6,0,0,0,8,0,5,0,0,5,3,3,0,0,8,13,24,13,0,47,8,5,13,0,25,124,114,137,16,398
LGA11250,16,0,7,0,24,6,0,15,3,26,15,0,32,3,53,7,0,61,3,68,124,18,87,6,231,51,23,141,5,225,360,34,116,12,521,161,75,135,4,371,187,113,97,10,403,154,95,69,9,328,67,98,54,4,217,104,132,29,5,276,196,181,42,10,422,127,157,10,0,299,67,111,3,0,181,31,64,5,0,95,53,111,7,0,180,132,236,92,3,468,76,23,50,4,150,1921,1484,1059,75,4536
LGA11300,188,26,66,11,291,56,12,23,8,97,51,23,39,3,109,23,11,44,3,77,148,40,70,8,268,102,56,74,15,249,334,99,107,27,575,187,156,111,22,474,260,239,139,39,684,233,261,123,21,641,188,239,85,18,536,176,237,68,18,499,325,518,100,31,977,202,380,60,24,673,121,298,36,12,473,86,205,26,12,329,176,756,24,5,961,199,432,87,8,727,33,30,12,0,87,3099,4024,1310,289,8722
LGA11350,34,13,22,0,66,15,3,16,3,41,29,9,44,0,84,11,3,69,0,87,104,40,124,5,273,73,54,224,3,350,341,84,174,7,612,238,130,170,15,560,334,244,178,15,772,332,243,128,10,721,185,224,55,0,460,213,227,45,9,484,279,412,60,3,751,166,241,21,7,441,97,127,4,0,232,52,98,10,0,158,162,224,7,0,396,270,460,188,8,925,53,28,31,0,119,2995,2862,1566,96,7523
LGA11400,27,9,5,0,37,12,3,4,0,22,5,3,14,0,23,6,5,13,0,25,65,11,24,0,96,42,15,57,0,108,215,32,55,11,311,126,49,37,3,218,141,98,38,3,281,151,112,39,5,304,68,123,24,0,214,93,110,13,3,222,149,252,20,3,419,77,185,5,3,271,60,125,0,0,187,28,70,4,0,102,63,150,0,0,218,108,223,50,0,381,54,21,16,0,80,1476,1593,420,37,3531
LGA11450,103,34,43,3,186,30,10,15,0,65,33,19,42,5,97,10,8,80,0,103,207,33,132,7,376,106,66,208,0,387,637,127,249,16,1033,352,225,295,11,885,473,412,326,14,1231,447,642,270,20,1380,341,793,233,18,1386,381,865,184,17,1448,1062,1976,282,27,3344,750,1713,138,23,2625,410,1250,73,8,1748,245,832,49,3,1129,320,1507,48,5,1882,324,1129,259,9,1723,122,104,50,11,287,6358,11745,2986,216,21309
LGA11500,260,97,151,11,514,82,26,61,9,185,81,75,233,14,405,75,54,339,8,469,518,213,612,23,1368,339,310,898,31,1574,1534,540,999,50,3123,859,924,918,55,2762,1065,1524,955,78,3619,1045,1690,763,60,3552,813,1711,540,60,3121,796,1671,435,47,2956,1568,3291,575,81,5516,871,2233,281,42,3425,408,1436,135,23,1997,226,886,77,12,1194,252,1418,95,14,1778,630,2073,789,27,3525,211,212,237,20,685,11647,20390,9087,660,41780
LGA11520,288,65,99,36,495,92,18,28,12,147,61,23,65,10,163,41,19,78,4,134,320,55,83,6,467,179,91,145,26,436,704,144,172,21,1041,428,216,254,44,943,599,384,300,51,1335,576,445,229,37,1287,400,406,231,32,1069,490,482,165,42,1182,1059,1253,351,68,2737,824,1014,159,33,2035,656,881,63,22,1623,564,978,134,13,1695,1403,3041,96,34,4573,601,1159,275,21,2051,118,73,34,5,220,9405,10740,2968,517,23631
LGA11570,910,462,516,55,1939,334,134,181,16,667,297,370,615,34,1320,223,269,548,31,1070,1681,901,952,74,3611,834,1345,1433,81,3693,3769,2066,1567,143,7546,1769,2899,1529,188,6383,2048,3864,1633,215,7758,1804,3857,1324,203,7185,1143,3326,975,141,5590,1235,3075,788,124,5221,2278,5915,1078,200,9477,1301,3971,564,112,5946,763,2774,256,69,3854,474,1948,202,26,2643,766,3815,230,42,4858,1530,4804,1275,85,7694,471,539,328,38,1372,23619,46332,15988,1884,87826
LGA11600,3,0,0,0,6,0,4,0,0,3,0,0,3,0,9,0,0,4,0,7,10,3,9,0,23,6,3,13,3,18,41,3,10,0,51,22,12,7,0,42,18,29,15,0,63,28,29,3,3,62,27,18,3,0,54,20,26,0,0,48,37,48,4,0,87,24,19,0,0,39,6,9,0,0,22,8,10,3,0,18,17,19,0,0,28,19,53,11,0,89,14,3,4,0,21,298,281,89,10,689
LGA11650,435,83,236,20,775,242,55,107,10,417,207,74,369,20,667,135,51,560,4,749,1481,181,966,61,2694,809,280,1781,62,2928,5539,576,1802,116,8029,2973,1142,1984,182,6272,3425,2128,1983,159,7684,3146,2774,1389,152,7455,1774,2893,1052,69,5788,1925,2997,821,52,5799,3493,5978,1019,104,10590,2065,4430,386,55,6938,1118,2815,163,18,4114,698,1825,148,7,2673,1195,3229,118,13,4556,2051,4450,1629,80,8208,799,342,345,25,1511,33499,36311,16863,1195,87869
LGA11700,3,0,3,0,8,7,0,0,0,7,0,0,7,0,8,0,3,7,0,10,9,3,16,0,25,5,4,7,0,16,16,9,10,0,35,13,12,13,0,37,3,19,5,0,33,12,14,10,0,32,7,7,3,0,11,10,8,3,0,18,8,15,3,0,28,3,8,0,0,8,4,4,0,0,6,3,0,0,0,6,3,7,0,0,11,15,27,14,0,50,10,7,4,0,24,118,141,107,4,370
LGA11720,60,18,38,3,118,42,3,20,4,68,44,20,85,3,159,24,13,151,0,188,274,41,248,15,571,165,66,399,6,634,943,145,438,25,1549,441,241,344,41,1072,492,441,330,27,1291,469,515,177,19,1177,285,488,155,11,945,306,528,119,11,964,581,907,117,6,1610,300,660,36,3,994,173,388,16,5,577,77,244,21,0,335,160,429,14,0,600,315,671,256,9,1250,116,53,97,5,276,5256,5869,3057,211,14392
LGA11730,66,13,31,0,114,64,17,22,3,98,46,24,83,3,152,31,12,121,0,168,447,56,180,21,698,226,82,353,4,670,1442,163,346,25,1973,702,268,340,33,1346,732,455,263,25,1473,622,454,147,18,1252,282,415,97,4,801,338,374,76,7,786,479,554,68,6,1106,235,351,24,4,613,111,199,8,4,316,59,100,11,0,177,105,151,8,0,265,418,626,219,9,1276,144,47,60,6,260,6554,4348,2449,188,13536
LGA11750,3,0,6,0,10,10,0,0,0,12,0,5,3,0,8,4,0,8,0,10,15,4,9,0,36,11,10,12,0,34,60,3,22,3,90,35,10,15,4,61,24,17,12,3,55,32,23,9,0,70,22,29,9,0,61,31,19,10,0,59,61,75,10,6,153,39,62,10,0,109,35,41,0,0,75,11,35,0,0,48,31,49,0,0,90,38,60,16,0,113,20,6,14,0,37,468,460,172,18,1121
LGA11800,93,33,47,0,174,33,16,30,0,79,49,22,83,5,150,34,4,139,0,179,429,62,238,13,744,244,79,442,20,782,1392,192,501,22,2107,833,312,496,40,1676,916,579,439,36,1970,875,686,307,28,1902,480,652,172,6,1311,485,588,128,13,1212,755,1103,153,12,2026,424,715,45,3,1182,200,441,11,0,660,98,284,13,0,402,218,387,18,3,631,509,912,329,8,1764,159,62,98,3,328,8228,7141,3699,210,19270
LGA12000,3,0,3,0,5,3,0,0,0,3,0,7,0,0,8,3,0,4,0,10,30,0,8,0,48,21,0,16,0,38,92,4,23,3,121,38,19,18,5,77,47,33,13,3,100,56,37,11,3,113,30,30,5,0,64,18,42,8,0,76,39,67,9,0,114,19,45,0,0,66,22,28,0,0,49,11,18,0,0,29,11,32,3,0,49,33,68,8,0,121,14,3,3,0,27,496,449,139,22,1103
LGA12150,10,0,3,0,14,0,3,3,0,7,0,3,9,0,7,0,3,12,0,10,13,8,22,0,47,10,6,36,0,49,61,16,20,0,97,24,16,26,5,70,37,29,20,0,83,46,23,13,3,85,18,27,3,0,48,19,29,3,0,49,38,33,12,0,81,22,21,3,0,44,11,15,0,0,29,8,3,8,0,12,12,9,3,0,24,24,53,24,0,107,14,8,13,0,38,378,291,224,19,910
LGA12350,10,3,8,0,22,12,0,3,0,15,20,6,23,0,47,11,3,28,0,51,80,12,48,3,144,40,18,76,6,143,298,29,70,8,409,143,60,78,14,297,177,123,64,13,375,164,132,31,3,325,64,98,18,3,186,77,99,12,0,187,129,173,14,4,328,57,97,3,0,155,29,63,3,0,95,21,30,0,0,51,34,55,4,0,91,98,155,41,4,297,46,11,13,0,74,1518,1163,541,66,3291
LGA12380,665,357,292,37,1353,187,103,89,10,387,180,226,326,21,759,144,182,323,9,662,877,665,506,67,2108,473,932,638,57,2095,2018,1346,793,128,4283,1114,1858,836,130,3935,1353,2463,943,157,4915,1169,2432,694,152,4437,832,2088,566,102,3579,776,1972,430,80,3256,1503,3795,614,133,6046,786,2503,294,78,3666,450,1612,144,41,2246,247,1121,84,13,1465,341,1940,116,33,2426,848,2979,712,55,4596,291,358,207,26,876,14249,28943,8590,1317,53100
LGA12700,15,3,4,0,23,14,3,0,0,15,4,3,12,0,28,3,4,15,0,24,57,6,21,0,92,35,9,40,0,85,173,26,42,3,236,82,31,37,3,157,129,75,38,0,238,109,73,19,0,204,59,92,11,0,166,66,77,17,3,160,114,152,13,3,288,48,107,5,0,161,45,69,0,0,114,19,48,7,0,66,42,74,3,0,116,65,140,46,0,252,23,14,7,0,46,1097,1007,347,23,2471
LGA12730,18,0,9,0,21,13,0,7,0,20,11,5,12,6,23,3,3,18,0,27,48,7,25,0,82,28,3,45,3,76,141,21,44,3,207,70,31,37,7,144,111,68,50,3,237,103,68,36,4,203,62,66,20,3,154,53,62,10,0,133,124,117,12,0,252,57,72,0,0,132,29,43,0,0,75,16,27,3,0,50,37,53,3,0,88,59,120,49,0,225,30,15,14,0,61,1013,797,369,31,2212
LGA12750,51,11,20,0,84,49,8,7,3,65,54,14,51,0,113,28,4,72,0,103,298,33,119,5,458,179,42,189,4,419,1061,103,206,21,1393,587,137,236,17,980,745,274,187,11,1217,633,354,123,14,1125,286,230,63,6,577,294,265,57,4,616,414,380,54,0,847,186,240,18,0,453,106,123,5,0,229,45,60,6,0,111,108,111,12,0,224,361,396,171,11,929,135,36,53,3,233,5625,2807,1638,110,10186
LGA12850,503,337,413,30,1289,168,112,138,25,442,169,247,604,32,1046,122,172,506,20,818,1066,656,776,61,2557,489,855,1002,67,2414,2550,1436,1170,112,5272,927,1811,1234,168,4133,1089,2364,1203,136,4788,897,2296,921,112,4224,554,1911,674,75,3215,500,1833,567,67,2968,881,3173,744,103,4899,482,2168,332,51,3027,262,1420,186,28,1902,141,877,110,15,1141,221,1456,145,16,1833,712,2791,862,55,4418,264,400,276,27,969,11981,26313,11870,1203,51368
LGA12870,16,3,4,0,24,20,3,3,0,22,3,0,16,3,21,10,0,19,0,30,105,6,38,3,157,48,11,53,0,112,304,22,57,8,392,164,48,55,6,272,164,103,41,4,319,163,122,38,6,321,79,91,28,0,194,92,92,12,0,202,144,172,21,3,342,81,103,8,0,195,29,73,0,3,111,9,31,0,0,41,34,44,3,0,73,117,178,41,0,338,71,23,13,0,108,1661,1110,448,36,3264
LGA12900,19,5,3,0,23,8,0,4,0,13,10,5,19,0,31,6,0,17,0,23,52,8,31,0,88,28,11,49,0,90,185,22,43,3,257,98,34,55,3,197,117,93,46,12,268,104,85,33,7,230,52,66,15,0,137,76,61,18,4,153,96,138,13,3,250,45,88,0,3,141,25,69,3,0,96,12,28,0,0,43,28,44,7,0,80,69,119,37,0,224,31,16,22,8,77,1072,896,408,41,2414
LGA12930,607,118,225,43,991,207,39,64,12,325,157,76,149,23,400,102,68,159,11,342,631,171,235,25,1064,344,295,418,27,1083,1495,482,469,43,2487,814,709,554,78,2163,1148,1126,621,111,3005,1042,1245,445,88,2829,746,1202,390,57,2385,717,1292,316,61,2381,1464,2686,516,122,4784,898,2071,275,62,3310,564,1536,101,23,2225,400,1122,111,13,1645,734,3099,138,21,3990,783,2116,500,38,3440,230,142,86,13,475,13072,19592,5778,872,39316
LGA12950,4,0,6,0,15,9,0,0,0,11,0,0,6,0,6,0,0,7,0,7,22,7,20,7,60,10,5,21,0,42,101,5,27,0,139,45,15,27,3,90,46,61,25,3,138,51,31,10,3,91,26,32,4,5,62,28,23,6,0,51,50,41,5,0,97,25,32,0,0,56,10,24,0,0,35,7,12,0,0,23,17,11,0,0,30,26,75,19,5,120,22,4,12,0,39,514,369,203,26,1107
LGA13010,19,3,8,0,24,18,4,4,0,25,16,4,23,0,42,3,0,17,0,24,88,14,38,0,135,42,11,47,0,100,220,31,53,3,303,97,44,51,7,202,129,86,32,3,254,112,82,25,3,224,46,63,19,0,126,64,39,11,0,115,66,84,5,0,153,35,62,5,0,101,17,23,0,0,45,7,12,0,0,20,12,31,0,0,43,72,106,30,3,207,31,7,18,4,57,1084,716,375,31,2211
LGA13310,37,9,14,0,56,32,10,18,0,53,17,5,36,3,57,18,4,52,0,84,144,20,101,3,270,67,36,151,4,259,435,49,162,8,660,268,127,162,13,565,321,180,152,19,672,311,226,129,14,679,153,235,71,10,473,209,229,56,5,501,349,504,68,4,933,198,367,28,4,600,112,237,8,0,358,61,122,5,3,192,107,209,13,3,335,230,368,114,3,709,76,33,42,0,157,3149,2972,1387,108,7615
LGA13340,14,9,0,0,19,18,6,3,0,22,4,3,6,0,23,3,0,17,0,20,49,12,30,3,88,35,16,48,0,93,169,33,45,5,247,100,56,49,0,213,137,96,27,3,262,128,111,23,0,257,68,100,18,0,190,74,82,14,3,176,98,189,13,4,301,72,118,8,0,198,23,57,0,0,84,23,36,3,0,66,39,76,0,0,115,85,156,39,0,277,47,9,16,0,66,1200,1153,349,18,2723
LGA13450,59,16,6,0,83,21,8,3,0,33,15,12,19,3,45,9,7,30,0,44,121,33,52,12,217,55,34,119,3,212,286,79,91,8,461,161,135,113,9,417,221,218,89,13,544,230,275,87,14,601,152,275,66,4,496,148,223,42,3,418,288,439,44,6,777,138,305,25,3,467,93,189,3,3,286,48,103,7,0,164,84,184,11,3,277,148,390,73,4,608,78,51,40,4,172,2344,2957,934,103,6337
LGA13510,16,3,8,0,25,12,3,4,0,15,10,4,17,0,37,11,0,21,4,35,59,16,27,0,105,36,17,58,3,118,285,22,55,0,364,121,59,58,6,248,179,65,46,13,301,135,97,33,3,275,76,100,14,3,197,77,74,10,5,161,124,155,15,0,295,55,94,9,0,157,28,49,0,0,81,17,28,5,0,55,46,50,3,0,98,110,163,47,5,323,43,21,10,4,73,1456,1030,440,47,2966
LGA13550,9,4,8,3,29,3,3,7,0,14,11,0,16,0,27,0,3,25,0,29,48,12,38,6,101,27,11,74,0,115,196,34,59,5,289,84,55,56,6,204,121,79,58,4,265,117,107,30,5,260,69,92,29,3,192,86,112,16,6,220,134,202,21,3,358,90,151,5,5,252,55,87,3,0,141,46,68,4,0,112,66,111,4,0,184,83,173,46,3,303,44,15,27,5,88,1302,1308,526,52,3191
