LGA_CODE_2016,Intct_fam_no_otr_chld_pre_Fam,Step_fam_no_otr_chld_pre_Fam,Blnd_fam_no_otr_chld_pre_Fam,Intct_fam_othr_child_pres_Fam,Step_fam_othr_child_pres_Fam,Blnd_fam_othr_child_pres_Fam,Otr_cpl_fam_otr_chld_only_Fam,Tot_Families
LGA12870,941,75,75,6,3,0,11,1110
LGA12900,795,40,41,6,5,0,13,896
LGA12930,18050,791,373,298,19,9,52,19592
LGA12950,303,28,16,11,0,0,5,369
LGA13010,610,50,36,9,0,0,8,716
LGA13310,2487,243,176,28,9,3,25,2972
LGA13340,1000,58,55,17,5,0,12,1153
LGA13450,2649,146,91,35,0,3,33,2957
LGA13510,879,61,54,15,5,3,15,1030
LGA13550,1129,90,59,15,0,0,12,1308
LGA13660,406,29,23,5,0,0,3,470
LGA13800,7133,629,444,116,15,4,52,8393
LGA13850,236,17,7,3,0,0,9,273
LGA13910,1531,121,102,18,0,0,11,1786
LGA14000,20712,880,392,207,16,3,40,22244
LGA14100,1730,73,26,7,0,0,0,1838
LGA14170,17492,931,301,157,11,3,50,18951
LGA14200,1286,129,91,25,0,3,11,1553
LGA14300,460,36,26,9,0,0,12,543
LGA14350,1896,175,137,40,8,6,29,2293
LGA14400,2221,160,102,24,4,0,11,2524
LGA14500,17613,653,261,147,4,9,24,18710
LGA14550,595,59,33,15,0,0,5,713
LGA14600,520,21,22,15,0,3,7,593
LGA14650,19722,1834,1038,268,44,25,169,23096
LGA14700,4441,184,62,22,0,0,6,4722
LGA14750,973,56,68,10,5,3,13,1133
LGA14850,3444,315,190,43,8,4,32,4034
LGA14870,1621,136,117,23,0,5,31,1936
LGA14900,26723,1213,898,473,34,37,106,29481
LGA14920,616,47,35,8,0,0,6,716
LGA14950,277,17,17,6,0,0,4,323
LGA15050,8064,729,542,100,18,9,69,9533
LGA15240,6093,613,389,111,13,16,128,7357
LGA15270,2109,171,129,27,0,0,38,2485
LGA15300,1043,74,50,22,3,4,25,1219
LGA15350,3309,143,46,10,0,0,4,3511
LGA15520,989,64,40,8,0,0,11,1119
LGA15560,347,27,27,3,0,0,3,401
LGA15650,1473,121,108,13,3,0,19,1741
LGA15700,1279,123,94,28,3,4,9,1541
LGA15750,1174,49,63,12,0,4,19,1316
LGA15800,487,30,25,6,3,0,5,559
LGA15850,527,29,27,3,0,0,10,605
LGA15900,14094,1090,607,137,22,4,81,16046
LGA15950,5460,338,100,18,5,0,9,5927
LGA15990,31939,1744,765,234,26,9,77,34793
LGA16100,433,37,28,3,0,0,5,505
LGA16150,3686,299,218,35,6,7,31,4283
LGA16200,1250,80,88,19,3,0,17,1460
LGA16260,29071,1120,445,359,24,10,73,31093
LGA16350,21812,1781,1223,352,56,33,153,25421
LGA16380,6084,587,361,87,13,4,50,7192
LGA16400,6102,581,379,98,12,3,68,7243
LGA16490,6164,502,329,63,3,4,40,7107
LGA16550,13514,634,276,107,9,4,42,14593
LGA16610,1736,193,129,38,7,0,37,2141
LGA16650,11935,551,250,171,7,5,28,12949
LGA16700,14028,535,220,147,12,4,38,14982
LGA16900,7192,673,446,121,25,4,76,8532
LGA16950,7387,788,475,127,18,13,127,8936
LGA17000,2456,216,133,24,3,0,18,2854
LGA17040,1725,132,96,11,0,0,10,1970
LGA17080,1179,98,74,13,3,0,13,1378
LGA17100,4823,183,65,77,3,0,12,5162
LGA17150,28209,1623,830,210,9,10,65,30961
LGA17200,8535,600,126,61,7,0,35,9365
LGA17310,5049,464,301,72,13,11,54,5961
LGA17350,547,43,17,5,0,0,6,618
LGA17400,412,25,31,4,3,3,8,483
LGA17420,24311,1115,614,289,29,15,34,26403
LGA17550,7514,661,402,83,11,4,71,8751
LGA17620,1292,96,67,21,0,0,10,1492
LGA17640,698,45,36,8,0,0,8,791
LGA17650,549,36,32,4,0,0,10,631
LGA17750,5796,410,329,53,11,8,37,6648
LGA17850,282,13,9,3,0,0,0,312
LGA17900,350,23,11,13,8,0,17,420
LGA17950,221,12,13,3,0,0,0,250
LGA18020,681,41,36,10,0,0,9,774
LGA18050,6289,315,112,32,0,0,5,6754
LGA18100,282,13,20,0,0,0,0,320
LGA18200,578,49,28,7,0,0,9,676
LGA18230,4347,325,257,73,11,8,54,5075
LGA18250,9686,353,138,80,3,0,29,10290
LGA18350,4325,358,221,40,0,8,29,4984
LGA18400,6006,440,360,100,9,3,49,6960
LGA18450,20984,1469,888,198,27,12,121,23697
LGA18500,5181,270,88,20,0,3,7,5567
LGA18710,1819,141,85,25,0,0,8,2086
LGA19399,97,4,3,0,0,0,0,102
LGA19499,0,0,0,0,0,0,0,0
LGA19799,0,0,0,0,0,0,0,0
LGA20110,1010,72,46,7,0,0,10,1142
LGA20260,832,71,55,17,4,0,13,993
LGA20570,9116,740,476,73,13,7,39,10460
LGA20660,14743,723,314,106,9,0,34,15931
LGA20740,2433,185,156,26,0,4,16,2825
LGA20830,4566,387,257,36,4,3,34,5285
LGA20910,12533,625,226,54,6,3,21,13462
LGA21010,989,98,51,15,0,0,9,1166
LGA21110,20764,855,303,156,11,6,17,22119
LGA21180,22418,1192,679,482,40,28,121,24956
LGA21270,490,32,27,0,0,0,6,561
LGA21370,3246,267,179,26,3,0,24,3742
LGA21450,10880,951,650,118,15,10,65,12683
LGA21610,39305,2549,1566,625,55,36,126,44260
LGA21670,875,102,66,7,3,0,13,1063
LGA21750,1788,139,86,20,0,0,13,2042
LGA21830,1440,89,87,5,0,0,4,1635
LGA21890,14782,680,286,161,9,5,39,15959
LGA22110,3304,294,181,37,7,3,33,3866
LGA22170,13297,1318,738,153,31,9,61,15607
LGA22250,888,51,44,10,0,0,15,1004
LGA22310,16997,764,245,106,13,0,28,18154
LGA22410,1570,159,100,4,0,3,18,1860
LGA22490,2662,195,123,16,6,0,17,3015
LGA22620,9943,858,555,73,21,6,66,11516
LGA22670,16937,904,443,431,41,15,80,18850
LGA22750,22572,1756,925,162,30,12,117,25562
LGA22830,6002,431,290,71,10,3,43,6855
LGA22910,1206,102,59,9,0,3,8,1391
LGA22980,456,35,21,0,0,0,12,525
LGA23110,10336,551,259,96,8,5,28,11271
LGA23190,1744,130,127,14,3,0,12,2035
LGA23270,25385,1321,772,370,21,16,85,27969
LGA23350,1517,124,63,9,0,0,17,1732
LGA23430,17928,1095,491,157,17,3,36,19725
LGA23670,19440,1268,612,200,21,7,64,21616
LGA23810,6103,598,379,66,11,5,58,7223
LGA23940,571,35,18,5,0,0,4,633
LGA24130,5485,323,212,35,7,0,24,6084
LGA24210,15431,686,255,165,10,9,35,16586
LGA24250,692,54,22,5,3,0,4,776
LGA24330,7986,399,137,100,4,7,34,8661
LGA24410,13033,848,393,113,8,3,27,14422
LGA24600,5205,275,79,27,0,0,14,5607
LGA24650,17237,1075,707,235,22,15,67,19366
LGA24780,4627,423,262,55,9,6,33,5432
LGA24850,4227,375,257,50,8,4,26,4947
LGA24900,2379,189,130,22,3,4,20,2747
LGA24970,22006,873,323,283,18,8,50,23549
LGA25060,13431,626,250,77,10,4,23,14421
LGA25150,3428,279,189,45,3,0,29,3968
LGA25250,16490,697,317,135,15,3,28,17679
LGA25340,14845,1327,685,113,17,9,69,17072
LGA25430,1478,117,56,8,0,0,3,1672
LGA25490,1650,100,80,10,3,0,15,1857
LGA25620,1145,105,68,8,0,0,8,1341
LGA25710,8818,513,231,70,0,0,17,9655
LGA25810,903,75,46,9,5,0,7,1040
LGA25900,6791,434,119,18,7,0,11,7379
LGA25990,550,51,32,6,0,4,7,653
LGA26080,198,13,5,0,0,0,0,219
LGA26170,2484,210,133,25,0,3,18,2878
LGA26260,1460,82,63,14,0,0,12,1633
LGA26350,8634,449,131,46,5,0,17,9276
LGA26430,754,69,37,0,0,0,4,873
LGA26490,3356,205,111,14,0,0,4,3685
LGA26610,1793,123,77,27,0,0,15,2031
LGA26670,482,42,20,6,0,0,4,547
LGA26700,2500,189,136,30,4,0,27,2893
LGA26730,3025,216,146,17,3,0,18,3425
LGA26810,3675,322,219,28,3,5,37,4293
LGA26890,348,20,19,0,0,0,4,390
LGA26980,19553,851,351,158,8,3,38,20963
LGA27070,25983,1294,785,342,33,14,64,28515
LGA27170,3542,336,259,32,3,0,19,4188
LGA27260,29262,1617,1023,437,51,32,91,32496
LGA27350,5423,362,88,40,3,0,11,5931
LGA27450,16964,1463,796,174,31,11,61,19503
LGA27630,515,25,27,3,0,3,13,578
LGA29399,23,3,0,0,0,0,0,27
LGA29499,0,0,0,0,0,0,0,0
LGA29799,0,0,0,0,0,0,0,0
LGA30250,72,5,7,10,11,0,5,109
LGA30300,397,25,22,5,0,0,0,456
LGA30370,1480,91,77,10,0,0,13,1676
LGA30410,280,12,7,0,0,0,3,296
LGA30450,22,0,0,0,0,0,3,22
LGA30760,170,8,11,0,0,0,0,186
LGA30900,19,4,0,0,0,0,0,21
LGA31000,117181,7894,3630,1325,138,59,377,130602
LGA31750,20,5,0,0,0,0,0,31
LGA31820,7050,756,508,77,18,13,73,8489
LGA31900,1592,131,84,18,4,0,11,1842
LGA31950,19,0,0,0,0,0,3,30
LGA32080,13575,1257,689,212,36,20,105,15895
LGA32250,105,14,5,3,3,3,6,138
LGA32260,2303,166,118,34,0,3,27,2646
LGA32270,2988,170,170,19,3,0,19,3368
LGA32310,947,63,63,14,0,0,7,1099
LGA32330,57,6,3,6,3,0,0,79
LGA32450,231,15,4,10,0,0,8,273
LGA32500,231,15,21,14,0,3,12,295
LGA32600,17,0,0,0,0,0,0,19
LGA32750,25,3,0,0,0,0,0,31
LGA32770,112,10,11,20,0,0,3,159
LGA32810,786,68,48,10,3,3,9,923
LGA33100,67,7,5,0,0,0,0,81
LGA33200,133,0,7,3,0,0,0,143
LGA33220,6987,820,528,104,25,11,69,8549
LGA33360,6239,544,427,75,3,3,44,7340
LGA33430,52071,5047,2763,630,107,40,244,60903
LGA33610,953,53,49,9,0,0,9,1081
LGA33620,3710,376,321,50,17,3,35,4514
LGA33800,944,62,34,10,0,0,9,1061
LGA33830,69,5,0,7,0,0,3,90
LGA33960,18777,1962,1507,387,45,42,147,22872
LGA33980,2178,144,132,13,3,0,9,2468
LGA34420,49,8,4,11,0,0,5,79
LGA34530,3326,285,184,42,11,3,17,3871
LGA34570,36,4,8,6,3,0,5,58
LGA34580,3251,311,267,51,11,10,46,3943
LGA34590,30302,2990,2257,645,102,51,263,36617
LGA34710,303,28,18,3,0,0,3,355
LGA34770,11358,930,628,124,20,13,74,13150
LGA34800,75,5,0,0,0,0,0,78
LGA34830,12,4,4,0,0,0,4,26
LGA34860,1240,68,63,11,3,0,10,1396
LGA34880,1665,158,92,35,9,3,19,1983
LGA35010,42670,4460,3029,560,116,54,287,51175
LGA35250,60,11,0,18,0,0,9,95
LGA35300,1676,138,118,37,3,0,25,1999
LGA35600,381,25,15,3,0,0,4,432
LGA35670,73,6,9,4,3,0,7,104
LGA35740,4406,417,185,34,6,0,20,5079
LGA35760,778,56,58,12,0,0,13,919
LGA35780,201,27,16,24,3,0,8,281
LGA35790,140,12,10,19,3,3,11,206
LGA35800,92,6,4,3,0,0,6,110
LGA36070,46,5,7,4,0,0,6,72
LGA36150,70,3,8,0,0,0,0,77
LGA36250,15546,1532,895,155,35,11,73,18243
LGA36300,67,0,0,0,0,0,0,69
LGA36370,6977,625,472,106,20,15,65,8283
LGA36510,3608,377,210,55,17,6,37,4296
LGA36580,2042,212,179,33,5,0,27,2500
LGA36630,2373,230,186,28,11,8,40,2879
LGA36660,2896,260,190,38,5,0,24,3415
LGA36720,27255,2566,1387,279,44,20,122,31668
LGA36820,1877,156,104,24,10,3,22,2192
LGA36910,14637,1135,880,186,19,18,115,16993
LGA36950,254,17,18,27,3,3,3,325
LGA36960,329,21,28,49,3,4,27,450
LGA37010,16679,1678,1131,221,33,21,130,19900
LGA37300,433,38,30,6,0,0,3,518
LGA37310,2980,191,195,32,3,0,26,3429
LGA37340,2572,243,155,24,3,3,21,3016
LGA37400,89,4,3,0,0,0,0,94
LGA37550,33,4,3,10,0,0,7,57
LGA37570,24,0,0,4,0,0,3,29
LGA37600,166,16,8,36,0,0,6,223
LGA39499,0,0,0,0,0,0,0,0
LGA39799,0,0,0,0,0,0,0,0
LGA40070,758,57,19,0,0,0,0,833
LGA40120,4713,355,150,32,0,0,7,5268
LGA40220,2037,204,129,26,3,0,22,2420
LGA40250,168,15,3,28,0,0,9,222
LGA40310,2381,197,137,16,3,0,15,2740
LGA40430,185,16,4,0,0,0,3,211
LGA40520,847,79,50,10,0,0,4,994
LGA40700,5207,297,116,36,7,0,19,5674
LGA40910,5846,283,139,40,7,0,14,6335
LGA41010,269,22,25,9,0,3,3,334
LGA41060,11077,816,309,106,9,7,40,12359
LGA41140,767,57,31,3,0,0,4,866
LGA41190,158,12,6,0,0,0,0,178
LGA41330,96,8,3,5,0,0,3,113
LGA41560,965,104,66,14,5,0,10,1169
LGA41750,95,8,3,0,0,0,0,111
LGA41830,115,13,3,3,0,0,5,139
LGA41960,102,10,5,0,0,0,0,114
LGA42030,1980,239,134,19,6,0,13,2389
LGA42110,337,18,25,0,0,3,3,388
LGA42250,861,65,33,7,0,0,8,977
LGA42600,3133,221,88,21,0,0,13,3485
LGA42750,365,16,23,0,0,0,0,408
LGA43080,103,9,6,0,0,0,0,111
LGA43220,111,4,3,0,0,0,0,115
LGA43360,186,17,8,0,0,0,0,220
LGA43650,1724,175,98,13,0,0,12,2019
LGA43710,542,36,16,3,0,0,7,610
LGA43790,1005,74,51,13,0,0,5,1146
LGA43920,920,95,75,13,9,3,14,1128
LGA44000,3,0,0,0,0,0,0,7
LGA44060,8969,665,295,88,20,4,26,10068
LGA44210,566,61,40,8,0,0,7,684
LGA44340,7652,482,207,48,3,4,20,8406
LGA44550,3673,326,189,22,4,0,16,4224
LGA44620,2176,243,154,26,3,0,25,2630
LGA44830,235,19,5,0,0,0,0,261
LGA45040,1614,169,117,26,7,0,26,1956
LGA45090,767,58,47,4,0,0,9,883
LGA45120,403,23,10,4,0,0,3,441
LGA45290,3339,191,60,22,9,0,12,3634
LGA45340,16372,1718,1031,155,25,11,99,19410
LGA45400,66,0,7,0,0,0,0,73
LGA45540,78,4,6,3,0,0,0,100
LGA45680,7480,889,657,138,25,11,77,9285
LGA45890,11528,847,391,176,18,8,52,13017
LGA46090,1021,84,71,19,8,3,16,1223
LGA46300,1118,99,85,10,3,3,7,1320
LGA46450,1372,121,98,19,3,3,24,1638
LGA46510,2372,126,45,19,0,0,6,2575
LGA46670,768,76,53,8,0,0,4,914
LGA46860,104,6,7,0,0,0,3,120
LGA46970,431,31,31,3,0,0,4,502
LGA47140,13808,1195,725,247,37,25,79,16116
LGA47290,182,11,8,0,0,0,0,205
LGA47490,178,15,13,0,0,0,0,210
LGA47630,617,46,33,7,3,0,4,705
LGA47700,10741,949,437,88,15,7,47,12274
LGA47800,426,26,30,0,0,0,5,486
LGA47910,219,11,3,0,0,0,0,239
LGA47980,3940,244,79,24,0,0,7,4297
LGA48050,884,87,63,8,3,0,21,1069
LGA48130,604,41,41,10,0,0,6,705
LGA48260,767,46,17,4,0,0,0,837
LGA48340,1008,87,68,6,3,0,10,1179
LGA48410,5650,374,145,56,0,0,14,6235
LGA48540,1690,179,145,18,6,0,34,2076
LGA48640,120,5,6,0,0,0,0,135
LGA48750,348,37,20,4,4,0,4,420
LGA48830,753,58,44,5,0,0,3,864
LGA49399,185,17,9,8,0,0,8,230
LGA49499,0,0,0,0,0,0,0,0
LGA49799,0,0,0,0,0,0,0,0
LGA50080,3124,278,193,38,3,0,25,3666
LGA50210,8810,733,472,139,22,10,69,10252
LGA50250,673,47,50,4,3,0,9,788
LGA50280,1446,80,67,9,0,0,4,1604
LGA50350,1485,118,62,15,3,3,8,1699
LGA50420,6365,438,172,66,8,0,24,7076
LGA50490,3227,243,130,51,0,3,15,3662
LGA50560,125,9,9,0,0,0,7,145
LGA50630,179,16,14,0,0,0,3,216
LGA50770,152,8,8,0,0,0,0,168
LGA50840,363,31,16,3,0,0,5,425
LGA50910,83,8,7,0,0,0,0,91
LGA50980,1295,110,74,39,10,5,32,1568
LGA51080,101,6,3,0,0,0,0,110
LGA51120,83,3,3,0,0,0,3,94
LGA51190,2468,246,138,33,0,3,22,2912
LGA51260,3532,304,199,33,7,0,19,4090
LGA51310,3555,160,53,15,0,0,3,3792
LGA51330,10531,530,261,173,14,4,30,11545
LGA51400,1977,163,115,24,4,3,15,2307
LGA51470,42,3,3,0,0,0,0,49
LGA51540,395,36,28,11,0,0,16,486
LGA51610,163,13,8,0,0,0,6,185
LGA51680,598,43,42,10,0,0,3,696
LGA51750,990,74,8,6,0,0,0,1074
LGA51820,12288,852,493,138,14,3,42,13836
LGA51890,760,82,64,11,0,0,10,928
LGA51960,318,23,31,3,0,0,3,379
LGA52030,61,0,8,5,0,0,3,69
LGA52100,73,12,7,3,0,0,3,93
LGA52170,842,44,19,0,0,0,0,900
LGA52240,100,4,3,0,0,0,0,112
LGA52310,67,0,3,0,0,0,0,79
LGA52380,3,0,0,0,0,0,0,7
LGA52450,125,15,9,0,0,0,0,145
LGA52520,140,12,11,3,0,0,3,168
LGA52590,254,16,7,6,0,0,0,288
LGA52660,1415,136,115,23,7,0,15,1707
LGA52730,466,39,30,0,0,0,8,545
LGA52800,484,48,34,47,11,7,33,659
LGA52870,516,36,24,3,0,0,7,579
LGA52940,67,7,0,3,0,0,0,79
LGA53010,59,10,0,0,0,0,3,73
LGA53080,32,7,0,0,0,0,0,40
LGA53150,870,65,20,3,0,0,0,949
LGA53220,566,43,31,25,3,3,11,682
LGA53290,1252,116,72,18,3,0,12,1476
LGA53360,263,16,7,0,0,0,0,286
LGA53430,2434,193,81,21,3,0,9,2736
LGA53570,421,30,17,9,0,0,8,482
LGA53640,120,4,3,0,0,0,0,128
LGA53710,85,8,3,0,0,0,0,101
LGA53780,13674,940,573,241,28,15,78,15563
LGA53800,3447,298,205,41,11,4,43,4048
LGA53920,141,10,15,23,3,0,11,209
LGA53990,2851,225,188,33,6,4,31,3344
LGA54060,296,24,13,3,0,0,3,340
LGA54130,102,3,0,0,0,0,0,111
LGA54170,19975,1345,664,159,20,3,82,22247
LGA54200,6284,545,306,92,17,0,39,7291
LGA54280,3082,230,216,48,9,8,18,3609
LGA54310,2287,167,115,38,9,3,22,2647
LGA54340,312,27,25,11,0,0,3,380
LGA54410,84,9,15,0,0,0,7,116
LGA54480,71,0,0,0,0,0,0,76
LGA54550,192,4,7,0,0,0,3,205
LGA54620,87,0,3,0,0,0,0,89
LGA54690,39,0,6,0,0,0,0,48
LGA54760,72,3,4,0,0,0,0,82
LGA54830,3952,352,248,73,10,0,36,4668
LGA54900,128,3,3,0,0,0,0,134
LGA54970,20,10,3,3,3,0,6,39
LGA55040,67,10,8,3,0,0,0,87
LGA55110,6861,747,484,87,16,13,62,8261
LGA55180,783,49,41,4,0,3,14,895
LGA55250,30,3,3,0,0,0,3,41
LGA55320,11680,651,260,93,13,0,36,12725
LGA55390,19,0,4,0,3,0,0,28
LGA55460,263,21,23,5,0,0,3,317
LGA55530,47,6,0,0,0,0,0,49
LGA55600,228,14,8,7,0,0,3,262
LGA55670,53,9,4,0,0,0,0,70
LGA55740,910,51,23,3,0,0,3,991
LGA55810,15,3,3,3,0,0,4,31
LGA55880,59,0,6,0,0,0,0,67
LGA55950,58,0,4,0,0,0,0,61
LGA56090,4015,360,185,48,13,0,32,4655
LGA56160,5,0,0,0,0,0,0,12
LGA56230,1448,154,86,26,5,0,26,1743
LGA56300,88,11,7,0,0,0,0,99
LGA56370,71,6,0,0,0,0,0,78
LGA56460,423,18,33,10,0,0,9,489
LGA56580,2833,103,43,12,0,0,0,3000
LGA56620,115,14,4,18,3,0,17,171
LGA56730,845,65,53,23,3,0,21,1010
LGA56790,246,16,8,3,0,0,3,282
LGA56860,19,3,3,0,0,0,0,26
LGA56930,193,7,3,0,0,0,0,203
LGA57000,41,4,5,3,0,0,0,48
LGA57080,773,55,13,4,0,0,0,843
LGA57140,73,7,8,0,0,0,4,89
LGA57210,395,39,21,8,0,0,8,477
LGA57280,1311,110,95,24,5,4,16,1566
LGA57350,65,3,6,0,0,0,3,71
LGA57420,131,7,10,0,0,0,0,149
LGA57490,13204,1351,953,163,23,18,111,15835
LGA57630,0,0,0,0,0,0,0,0
LGA57700,3174,289,205,43,6,12,29,3753
LGA57770,67,3,3,0,0,0,0,79
LGA57840,3906,234,59,36,0,0,10,4244
LGA57910,21346,1305,544,187,22,13,68,23482
LGA57980,1714,71,21,9,0,0,0,1811
LGA58050,15011,1209,747,266,23,21,91,17362
LGA58190,37,3,3,0,0,0,0,45
LGA58260,51,3,3,0,0,0,0,61
LGA58330,326,26,22,3,0,3,15,392
LGA58400,20,0,0,0,0,0,0,25
LGA58470,10,0,0,0,0,0,0,14
LGA58510,2718,194,80,20,0,0,14,3022
LGA58540,95,4,4,0,0,0,0,105
LGA58570,2867,149,49,13,3,3,10,3092
LGA58610,133,0,10,3,0,0,0,151
LGA58680,50,0,0,0,0,0,0,47
LGA58760,22813,1718,1221,328,45,24,124,26266
LGA58820,358,37,22,6,0,3,5,433
LGA58890,66,4,0,0,0,0,0,76
LGA59030,26,0,0,0,0,0,0,26
LGA59100,64,0,4,3,0,0,0,68
LGA59170,89,3,8,0,0,0,0,103
LGA59250,16,6,0,0,0,0,0,18
LGA59310,129,3,11,0,0,0,0,144
LGA59320,38,3,3,0,0,0,0,46
LGA59330,31,5,3,0,0,0,0,37
LGA59340,488,53,22,23,6,3,13,608
LGA59350,3,3,0,0,0,0,0,9
LGA59360,76,6,3,0,0,0,0,85
LGA59370,247,19,15,3,0,0,5,295
LGA59499,0,0,0,0,0,0,0,0
LGA59799,0,0,0,0,0,0,0,0
LGA60210,382,44,20,4,0,0,3,456
LGA60410,1478,171,144,16,3,0,17,1835
LGA60610,1536,187,126,10,3,0,13,1872
LGA60810,1769,206,118,23,3,3,22,2138
LGA61010,137,10,12,3,0,0,3,171
LGA61210,693,80,73,0,0,0,8,853
LGA61410,5026,543,298,55,8,4,33,5964
LGA61510,858,97,67,15,0,3,17,1054
LGA61610,1860,266,141,21,3,4,23,2317
LGA61810,512,47,32,6,3,0,0,605
LGA62010,71,3,4,0,0,0,0,78
LGA62210,466,51,52,3,0,0,7,585
LGA62410,247,17,14,3,0,0,7,290
LGA62610,3493,474,319,51,13,12,39,4404
LGA62810,4248,319,132,20,3,0,17,4731
LGA63010,1423,142,81,16,0,3,12,1675
LGA63210,516,51,39,6,0,0,3,619
LGA63410,112,5,11,0,0,0,0,127
LGA63610,3674,340,194,32,5,4,16,4263
LGA63810,871,104,61,6,3,0,4,1053
LGA64010,5205,538,363,48,12,6,45,6206
LGA64210,1834,147,103,16,4,0,17,2119
LGA64610,1132,119,73,13,0,0,8,1343
LGA64810,1201,160,97,19,0,5,19,1498
LGA65010,554,66,32,5,0,0,6,672
LGA65210,138,15,9,0,0,0,0,166
LGA65410,1137,120,67,6,0,0,8,1342
LGA65610,317,22,28,0,0,0,3,370
LGA65810,2134,197,128,17,0,0,16,2490
LGA69499,0,0,0,0,0,0,0,0
LGA69799,0,0,0,0,0,0,0,0
LGA70200,2146,170,117,46,10,10,31,2530
LGA70420,462,35,16,54,4,5,23,613
LGA70540,5,0,0,0,0,0,0,12
LGA70620,271,18,8,50,4,4,20,375
LGA70700,52,5,7,3,0,0,5,71
LGA71000,7203,587,293,159,14,7,42,8311
LGA71300,662,31,15,117,14,6,39,890
LGA72200,768,69,41,21,3,7,17,930
LGA72300,2025,204,152,31,3,3,19,2425
LGA72330,297,29,9,51,10,0,24,418
LGA72800,3656,364,277,57,9,3,26,4386
LGA73600,470,28,23,80,11,7,37,647
LGA74050,193,26,3,18,5,0,9,252
LGA74550,161,18,12,32,3,0,13,233
LGA74560,33,5,3,0,0,0,0,44
LGA74660,489,27,14,82,10,9,25,658
LGA74680,265,11,13,39,5,5,9,338
LGA79399,582,57,30,7,0,0,0,680
LGA79499,0,0,0,0,0,0,0,0
LGA79799,0,0,0,0,0,0,0,0
LGA89399,42718,3015,1600,439,43,23,165,48008
LGA89499,0,0,0,0,0,0,0,0
LGA89799,0,0,0,0,0,0,0,0
LGA99399,378,23,17,8,0,0,0,430
LGA99499,0,0,0,0,0,0,0,0
LGA99799,0,0,0,0,0,0,0,0
