LGA_CODE_2016,OPDs_Separate_house_Dwellings,OPDs_Separate_house_Persons,OPDs_SD_r_t_h_th_1_sty_Dwgs,OPDs_SD_r_t_h_th_1_sty_Psns,OPDs_SD_r_t_h_th_2_m_sty_Dwgs,OPDs_SD_r_t_h_th_2_m_sty_Psns,OPDs_SD_r_t_h_th_Tot_Dwgs,OPDs_SD_r_t_h_th_Tot_Psns,OPDs_F_ap_I_1or2_sty_blk_Ds,OPDs_F_ap_I_1or2_sty_blk_Ps,OPDs_F_ap_I_3_sty_blk_Dwgs,OPDs_F_ap_I_3_sty_blk_Psns,OPDs_F_ap_I_4_m_sty_blk_Ds,OPDs_F_ap_I_4_m_sty_blk_Ps,OPDs_Flt_apt_Att_house_Ds,OPDs_Flt_apt_Att_house_Ps,OPDs_Flt_apart_Tot_Dwgs,OPDs_Flt_apart_Tot_Psns,OPDs_Oth_dwg_Cvn_Ds,OPDs_Oth_dw_Cvn_Ps,OPDs_Oth_dwg_cab_hboat_Ds,OPDs_Oth_dwg_cab_hboat_Ps,OPDs_Ot_dwg_Im_hm_tnt_SO_Ds,OPDs_Ot_dwg_Im_hm_tnt_SO_Ps,OPDs_Ot_dwg_Hs_f_att_sh_of_Ds,OPDs_Ot_dwg_Hs_f_att_sh_of_Ps,OPDs_Other_dwelling_Tot_Dwgs,OPDs_Other_dwelling_Tot_Psns,OPDs_Dwlling_structur_NS_Dwgs,OPDs_Dwlling_structur_NS_Psns,OPDs_Tot_OPDs_Dwellings,OPDs_Tot_OPDs_Persons,Unoccupied_PDs_Dwgs,Unoccupied_PDs_Psns,Total_PDs_Dwellings,Total_PDs_Persons
LGA10850,2507,6378,30,52,4,13,34,56,52,62,0,0,0,0,0,0,58,68,0,0,3,3,4,20,16,42,27,68,29,36,2656,6607,350,..,3011,6607
LGA10900,26482,67820,811,1309,590,990,1404,2298,428,633,140,188,10,14,10,18,582,854,9,10,3,5,7,23,32,62,53,97,109,203,28630,71265,4196,..,32827,71265
LGA10950,883,2148,26,45,4,11,33,55,28,42,0,0,0,0,0,0,28,42,6,8,0,0,0,0,8,13,14,22,9,26,967,2290,194,..,1166,2290
LGA11100,5483,17092,1065,2777,1105,3169,2175,5946,1580,3732,2949,6961,4042,9843,8,10,8571,20552,0,0,0,3,5,16,114,280,118,304,76,171,16421,44065,1230,..,17649,44065
LGA11150,746,1962,16,22,0,0,16,22,34,43,0,0,0,0,0,0,34,43,12,23,3,4,4,7,6,18,25,46,14,31,831,2106,214,..,1040,2106
LGA11200,503,1353,0,0,5,4,5,4,10,28,24,37,0,0,0,0,36,65,0,3,0,8,3,6,5,5,8,20,4,3,553,1443,106,..,665,1443
LGA11250,6792,15192,152,239,16,30,164,268,182,232,0,0,0,0,0,3,184,233,8,21,3,8,3,5,3,5,18,44,23,52,7184,15783,1870,..,9056,15783
LGA11300,4711,15050,700,1882,1276,4108,1978,5995,857,1958,1812,4921,2428,6410,27,80,5123,13367,0,3,0,3,0,0,50,138,50,140,84,226,11957,34775,883,..,12835,34775
LGA11350,9266,23348,449,897,365,834,819,1726,627,1024,82,151,0,0,22,39,727,1225,164,273,144,241,23,27,61,106,389,645,171,338,11368,27276,2057,..,13423,27276
LGA11400,4510,11862,25,37,0,3,30,35,75,103,0,0,0,0,0,0,75,103,15,20,4,11,4,7,23,47,44,88,26,79,4686,12169,698,..,5384,12169
LGA11450,22310,70821,839,1542,593,1378,1432,2920,157,223,30,40,0,6,7,12,195,286,12,21,37,50,9,26,12,33,71,128,68,170,24084,74321,1160,..,25246,74321
LGA11500,39315,124196,3896,8794,4378,11430,8272,20229,1014,1880,359,697,805,1621,24,49,2202,4245,0,4,4,9,11,22,65,196,82,228,109,226,49981,149125,2800,..,52777,149125
LGA11520,12384,37695,1060,2662,1919,5002,2978,7669,3381,6764,3389,7331,9488,22186,19,43,16273,36327,0,0,6,12,0,0,304,697,306,709,159,358,32102,82753,2659,..,34759,82753
LGA11570,61550,202446,4124,10293,13185,42313,17305,52609,12804,31396,10017,25748,4945,12763,123,311,27889,70225,3,11,8,18,3,9,608,1762,617,1796,406,1131,107772,328207,7736,..,115506,328207
LGA11600,917,2281,0,0,0,0,0,0,29,41,0,0,0,0,0,0,29,41,8,7,14,43,0,0,0,7,26,53,9,24,986,2399,208,..,1191,2399
LGA11650,95068,258434,9379,15881,5647,11524,15026,27404,6059,10171,1522,2702,1606,2973,68,120,9260,15959,338,514,552,934,29,69,228,538,1150,2063,545,998,121048,304859,17224,..,138266,304859
LGA11700,548,1410,19,34,0,0,19,34,16,28,0,0,0,0,0,0,16,28,3,11,0,0,0,0,5,10,15,20,13,22,605,1513,289,..,895,1513
LGA11720,17418,46796,1260,2189,220,356,1482,2548,289,432,0,0,0,0,0,3,293,437,17,40,11,21,9,19,30,51,57,131,116,267,19368,50177,2047,..,21415,50177
LGA11730,16821,41226,710,1075,383,730,1093,1806,855,1304,77,136,10,9,3,9,947,1451,273,454,175,254,82,173,65,132,600,1020,145,311,19605,45815,3076,..,22680,45815
LGA11750,1481,3743,22,40,0,0,22,40,103,135,0,0,0,0,0,0,105,135,9,19,5,11,4,10,14,34,33,81,0,7,1640,4004,501,..,2145,4004
LGA11800,20092,53983,1958,3588,1354,2779,3315,6362,2095,3703,320,622,301,493,9,20,2729,4833,199,309,344,548,47,79,36,85,631,1020,280,583,27042,66776,2931,..,29974,66776
LGA12000,1440,3689,3,4,0,3,5,8,28,35,0,0,0,0,0,0,29,33,4,4,0,0,0,0,0,4,4,10,17,40,1491,3779,173,..,1665,3779
LGA12150,1271,3098,14,20,0,0,14,20,53,69,0,0,0,0,0,0,58,75,8,10,0,0,0,0,3,6,15,23,9,23,1370,3235,358,..,1725,3235
LGA12350,4334,10423,168,294,3,8,171,306,216,290,7,11,0,0,0,3,225,309,13,19,3,14,0,0,6,31,29,64,53,109,4823,11203,715,..,5537,11203
LGA12380,36102,124135,3309,8255,7119,23561,10426,31819,5206,13893,6956,19187,4965,14941,145,370,17270,48397,5,15,3,8,24,67,333,1172,368,1263,342,904,64503,206514,4263,..,68767,206514
LGA12700,3133,7941,23,35,0,0,23,35,39,54,0,0,0,0,0,0,39,54,13,26,16,40,11,28,6,9,43,102,22,63,3257,8195,527,..,3783,8195
LGA12730,3012,7138,57,89,5,11,57,105,232,319,0,0,0,0,0,0,232,319,17,24,3,6,0,0,13,15,35,50,39,80,3376,7694,472,..,3849,7694
LGA12750,12447,28788,752,1184,445,782,1201,1961,880,1399,54,81,28,37,7,14,964,1533,128,209,156,231,17,32,23,52,319,516,103,212,15032,33008,6930,..,21960,33008
LGA12850,41207,145890,1677,4426,5715,18884,7390,23305,2747,6437,2940,7266,2063,5287,109,258,7856,19238,79,102,3,10,34,94,346,1120,460,1322,271,705,57190,190466,3163,..,60349,190466
LGA12870,4270,10009,186,267,0,4,187,276,275,420,0,0,0,0,0,0,277,418,9,17,68,98,0,0,11,38,86,148,26,47,4843,10907,1062,..,5910,10907
LGA12900,3171,7916,113,163,6,9,115,172,135,173,4,3,0,0,0,0,139,175,16,20,4,14,13,28,26,53,61,117,15,38,3496,8416,532,..,4031,8416
LGA12930,26208,83192,2266,5168,3423,10163,5690,15330,2044,4604,5335,13540,8905,23704,61,143,16341,41988,7,16,6,12,3,3,260,677,276,710,163,385,48676,141602,3306,..,51979,141602
LGA12950,1519,3648,4,7,0,0,4,7,43,62,0,0,0,0,0,0,43,62,3,9,0,0,0,0,0,0,3,12,16,29,1587,3754,252,..,1830,3754
LGA13010,3174,7185,33,40,3,4,36,47,128,177,0,0,0,0,0,0,128,177,14,23,11,16,5,15,7,17,34,69,57,127,3427,7602,604,..,4032,7602
LGA13310,9550,24089,739,1203,124,236,860,1434,285,442,71,91,0,0,3,3,361,537,32,41,28,51,17,49,40,68,115,213,59,139,10945,26406,1928,..,12876,26406
LGA13340,3563,9167,46,75,0,0,46,75,34,43,0,0,0,0,0,0,34,43,8,14,3,11,4,11,12,37,26,66,30,70,3699,9425,616,..,4317,9425
LGA13450,7096,19973,398,708,12,39,406,742,810,1717,20,23,0,0,7,17,834,1762,37,55,14,21,12,28,27,71,88,178,64,173,8487,22827,935,..,9423,22827
LGA13510,4043,9476,125,167,20,37,150,201,89,120,0,0,0,0,0,0,89,120,11,14,3,7,0,4,39,69,52,100,26,62,4358,9958,679,..,5037,9958
LGA13550,4060,10356,125,210,32,42,158,248,188,267,18,31,38,49,0,0,248,347,10,38,7,12,0,0,17,36,34,85,33,71,4527,11112,596,..,5124,11112
LGA13660,1892,4452,19,35,0,0,19,35,26,35,0,0,0,0,0,0,26,35,22,56,4,7,8,7,4,13,38,86,7,19,1987,4613,361,..,2347,4613
LGA13800,18306,54207,1653,3159,542,1184,2191,4340,403,653,75,133,3,7,8,16,491,801,56,85,43,60,17,46,37,81,154,274,172,369,21307,59994,1516,..,22825,59994
LGA13850,995,2297,24,32,0,3,27,33,51,92,0,0,0,0,0,0,51,92,5,9,0,8,0,0,3,3,14,23,9,27,1097,2468,294,..,1394,2468
LGA13910,6350,15607,312,512,3,7,318,519,307,449,0,0,0,0,0,0,307,449,16,24,5,10,8,16,23,62,54,102,54,110,7075,16788,1343,..,8415,16788
LGA14000,34488,108016,1066,2068,3033,7979,4099,10049,1396,2439,3400,7303,3293,8123,46,81,8129,17948,18,39,47,101,0,0,63,168,132,306,159,342,47010,136663,2973,..,49986,136663
LGA14100,2810,8755,90,205,640,1477,724,1680,359,620,278,485,368,579,0,4,1005,1683,0,3,0,0,0,0,8,12,8,11,24,67,4573,12197,434,..,5009,12197
LGA14170,17252,50502,12424,31035,10159,26645,22580,57677,9142,17761,11039,21818,6793,13055,374,758,27340,53397,5,6,3,5,5,9,1024,2352,1030,2371,590,1074,68796,165018,6080,..,74874,165018
LGA14200,5422,13590,145,254,26,34,170,295,353,514,0,0,0,0,0,0,356,516,25,38,16,17,3,6,20,34,61,101,103,290,6113,14795,651,..,6765,14795
LGA14300,1822,4651,36,58,4,19,43,74,33,43,6,6,0,0,0,0,40,49,0,3,0,3,0,0,0,5,4,12,9,25,1922,4810,235,..,2153,4810
LGA14350,9539,23622,372,547,56,96,430,645,381,620,34,62,13,17,5,7,429,696,72,105,12,17,10,13,26,61,119,201,136,293,10651,25465,1768,..,12423,25465
LGA14400,6065,16460,237,465,652,1317,885,1783,379,616,81,134,192,263,0,0,655,1012,27,58,7,14,0,0,25,61,54,131,65,100,7719,19487,1650,..,9370,19487
LGA14500,28271,90654,294,553,1257,2816,1556,3365,1486,2708,1591,3214,5464,12835,3,6,8538,18763,0,6,3,4,0,0,22,51,21,63,84,187,38476,113025,2799,..,41266,113025
LGA14550,3351,7745,18,24,4,3,18,23,62,94,0,0,0,0,0,0,63,96,19,27,16,25,8,15,24,43,62,108,26,50,3525,8019,606,..,4134,8019
LGA14600,2037,5016,12,16,0,0,13,12,62,98,0,0,0,0,0,0,65,97,7,10,0,0,0,0,16,26,20,37,70,182,2206,5346,409,..,2615,5346
LGA14650,62390,167301,4977,8039,2129,4205,7106,12243,2053,3182,260,401,427,741,45,85,2788,4410,98,177,413,571,21,54,100,214,630,1010,162,344,73075,185319,7031,..,80105,185319
LGA14700,5717,17770,205,551,542,1261,749,1816,961,1860,2660,5485,3320,6701,43,94,6986,14141,0,0,0,0,0,0,19,40,19,40,59,141,13534,33901,1352,..,14885,33901
LGA14750,3380,8794,175,285,21,29,197,315,207,340,7,11,0,0,0,0,214,351,15,19,9,11,4,16,8,14,35,62,37,92,3868,9609,510,..,4385,9609
LGA14850,13407,34349,1079,1707,464,792,1541,2497,665,1104,86,130,0,0,3,0,754,1238,156,215,54,108,40,87,143,398,399,809,91,187,16195,39087,1516,..,17703,39087
LGA14870,6766,16160,454,696,83,140,538,834,117,173,20,18,0,0,0,3,134,197,25,37,3,19,8,7,311,775,353,835,72,152,7862,18182,1051,..,8913,18182
LGA14900,44395,155288,1193,2804,4964,14233,6159,17040,1523,2861,3839,8811,2345,6269,65,157,7775,18096,32,39,3,5,9,30,80,227,125,302,325,693,58786,191415,2959,..,61741,191415
LGA14920,2772,6576,13,27,0,3,16,32,88,124,0,0,0,0,0,0,88,124,5,11,0,0,3,8,20,30,24,52,7,19,2916,6802,527,..,3443,6802
LGA14950,1085,2658,3,7,0,0,3,7,21,26,0,0,0,0,0,0,21,26,3,3,0,0,3,8,11,29,14,39,9,20,1129,2740,188,..,1318,2740
LGA15050,23848,66693,1904,3392,533,881,2435,4270,569,815,0,0,32,49,3,5,607,871,41,67,3,3,11,28,54,113,108,210,381,536,27374,72585,2078,..,29452,72585
LGA15240,29413,70607,2926,4757,507,992,3437,5747,1590,2462,392,606,410,709,7,7,2392,3793,165,270,405,679,36,56,132,270,738,1275,254,525,36233,81944,8415,..,44645,81944
LGA15270,8005,19872,319,521,17,29,337,548,211,330,10,9,0,0,0,0,219,339,48,57,36,62,9,29,27,56,129,198,78,168,8768,21123,1660,..,10426,21123
LGA15300,3758,9880,222,509,17,37,244,549,431,654,0,0,0,0,3,4,441,664,35,53,9,17,3,7,35,75,85,157,20,63,4545,11311,808,..,5355,11311
LGA15350,3901,12079,719,1868,620,1524,1337,3397,1468,2910,2611,4716,1579,2636,43,91,5699,10354,0,0,4,8,0,0,45,109,53,121,33,67,11022,26010,1372,..,12398,26010
LGA15520,3897,9402,173,252,7,13,177,265,243,370,0,0,0,0,0,0,243,370,20,39,58,98,4,13,35,81,116,231,30,64,4470,10335,932,..,5402,10335
LGA15560,1260,3131,3,3,0,3,0,7,60,89,0,0,0,0,0,0,60,89,4,15,7,4,0,3,10,14,23,43,6,17,1361,3293,361,..,1720,3293
LGA15650,5060,13363,424,715,154,255,576,968,49,75,4,14,0,0,0,0,58,83,13,19,3,4,3,3,3,11,21,40,48,106,5764,14558,1065,..,6831,14558
LGA15700,6519,15621,238,375,47,99,283,477,395,622,50,89,24,34,0,5,472,745,88,139,229,325,10,32,39,78,369,580,38,81,7684,17504,1089,..,8765,17504
LGA15750,4122,10712,139,212,25,38,157,249,248,353,0,0,0,0,0,0,248,353,38,62,10,17,3,15,19,47,69,136,30,73,4625,11521,736,..,5362,11521
LGA15800,2015,4826,38,69,0,0,38,69,61,85,7,5,0,0,0,0,69,90,10,16,0,0,0,3,3,13,16,33,15,36,2148,5056,382,..,2534,5056
LGA15850,2162,5433,27,45,0,3,30,50,84,111,0,0,5,7,0,0,90,116,4,8,0,3,0,0,7,11,10,17,22,49,2318,5666,319,..,2638,5666
LGA15900,42634,112096,4062,7327,5154,10851,9215,18184,3515,5419,2142,3470,1830,3081,152,257,7644,12225,12,33,26,47,13,22,165,317,213,421,271,523,59974,143450,6499,..,66471,143450
LGA15950,3301,9256,1297,3126,2922,6910,4224,10036,3544,7317,7123,13319,11690,20952,24,53,22382,41637,0,0,7,3,0,0,66,133,70,141,92,179,30068,61244,3940,..,34009,61244
LGA15990,50714,159406,2212,4561,5682,13519,7895,18083,6684,13340,13067,26327,8634,16939,106,215,28497,56822,12,23,149,259,35,58,254,583,455,924,385,861,87940,236092,9083,..,97017,236092
LGA16100,1745,4244,11,16,0,0,11,16,35,39,9,14,0,0,0,0,41,51,3,9,3,10,5,3,0,0,11,23,66,152,1875,4492,506,..,2378,4492
LGA16150,12629,33178,1208,1912,198,331,1405,2244,488,718,39,55,17,24,6,12,547,804,14,25,3,7,0,0,9,22,34,51,125,222,14735,36501,1688,..,16424,36501
LGA16200,4764,12031,129,228,13,18,146,241,283,388,8,12,0,0,0,3,290,404,15,24,8,18,3,10,13,27,41,79,50,116,5294,12882,895,..,6189,12882
LGA16260,34645,108246,2555,5761,9002,26684,11562,32445,4586,9849,9275,23102,15180,37261,41,90,29082,70302,4,9,3,20,0,0,226,664,240,693,297,704,75819,212392,5453,..,81275,212392
LGA16350,51865,158972,2700,5366,4793,11673,7490,17038,1632,2863,1473,2694,683,1282,44,99,3826,6940,35,60,114,166,30,72,54,125,231,422,245,620,63667,183992,3972,..,67638,183992
LGA16380,22644,58208,3047,5155,982,1912,4026,7073,1781,2687,532,849,973,1623,4,7,3293,5167,321,480,308,454,16,23,60,127,706,1090,188,373,30855,71910,3568,..,34422,71910
LGA16400,20298,53559,1972,3377,1559,3454,3534,6829,389,600,166,274,328,546,16,44,908,1466,248,383,281,422,18,48,42,102,591,955,120,250,25452,63058,5638,..,31090,63058
LGA16490,14664,41331,1581,2973,1238,2501,2819,5475,945,1550,490,820,933,1624,8,24,2374,4027,14,20,35,63,21,51,30,68,94,204,77,177,20023,51208,2447,..,22470,51208
LGA16550,13319,42023,3396,8905,4912,14418,8305,23320,5616,11925,13773,28221,8645,18555,75,155,28104,58851,0,3,3,8,0,0,449,1076,452,1088,194,440,50374,125727,4403,..,54776,125727
LGA16610,7179,18495,334,551,149,297,479,852,631,1029,0,0,0,0,0,4,637,1032,150,242,29,54,3,6,33,78,217,381,30,68,8549,20820,843,..,9390,20820
LGA16650,16052,50264,3414,8011,2045,5778,5457,13785,1294,2674,3808,8628,10766,26400,91,212,15957,37909,62,84,0,0,0,0,270,691,334,777,150,325,37956,103069,3079,..,41033,103069
LGA16700,19528,61407,2584,6353,4153,10406,6739,16764,1341,2562,6673,13954,6643,14976,22,53,14676,31542,8,12,5,10,0,9,102,234,115,265,203,471,41267,110452,3136,..,44405,110452
LGA16900,18944,55314,1656,3071,1642,3508,3305,6582,912,1593,5,10,4,9,4,8,931,1617,53,67,250,366,0,0,45,101,351,534,112,215,23643,64262,1698,..,25336,64262
LGA16950,33364,81465,1981,3127,608,997,2585,4117,921,1462,22,34,0,5,11,17,963,1511,220,358,713,1100,16,37,48,101,1002,1592,277,597,38187,89287,13455,..,51639,89287
LGA17000,6790,18889,375,740,182,310,558,1050,270,422,0,3,4,3,0,0,269,426,44,62,10,18,15,18,3,14,63,108,53,112,7741,20589,972,..,8706,20589
LGA17040,6402,15634,172,314,177,373,342,684,332,645,50,126,27,72,4,3,414,850,19,33,55,100,11,25,25,45,111,204,244,495,7518,17869,2393,..,9909,17869
LGA17080,5033,12042,105,134,27,35,135,176,149,218,0,4,0,0,0,0,153,221,17,38,11,15,0,3,4,6,32,67,41,89,5388,12595,1037,..,6424,12595
LGA17100,5299,17807,148,388,660,1973,808,2362,1137,2821,2099,5512,3079,8676,3,3,6316,17014,0,0,0,0,0,0,132,403,132,403,116,285,12674,37869,915,..,13588,37869
LGA17150,48705,150607,2454,5129,7914,18685,10368,23813,3625,6373,8545,16411,4526,8559,23,41,16718,31383,62,105,118,200,3,3,186,404,367,708,199,453,76356,206970,5284,..,81640,206970
LGA17200,1717,4756,3400,7464,13434,32939,16835,40397,2612,4540,8935,16050,54303,108358,32,70,65879,129014,3,4,8,18,41,49,369,788,416,855,574,1093,85423,176130,11496,..,96925,176130
LGA17310,18918,48771,1482,2294,345,562,1830,2860,399,617,24,32,13,26,3,7,441,677,75,136,36,71,15,26,296,791,417,1026,139,367,21752,53699,2580,..,24329,53699
LGA17350,2149,5302,40,71,0,0,40,71,118,154,0,0,0,0,0,0,118,154,9,9,0,0,3,4,15,27,23,41,14,41,2344,5594,348,..,2694,5594
LGA17400,2536,5605,51,69,0,0,51,69,36,52,0,0,0,0,0,0,36,52,4,13,12,29,4,10,13,32,43,72,19,25,2682,5830,640,..,3322,5830
LGA17420,39414,131311,962,1779,4617,13520,5577,15296,636,1320,891,2005,1092,2456,19,48,2636,5835,23,38,21,41,11,29,25,65,72,177,134,361,47836,152976,2723,..,50560,152976
LGA17550,22929,61392,4243,7957,2248,4744,6489,12703,2051,3396,1368,2484,751,1337,5,14,4180,7229,635,941,489,775,42,89,42,110,1211,1914,282,561,35089,83792,4208,..,39298,83792
LGA17620,4698,11760,92,162,0,0,92,162,246,367,0,0,0,0,0,0,242,370,17,28,44,57,4,7,10,11,75,101,48,121,5161,12516,862,..,6029,12516
LGA17640,2763,6595,66,85,7,9,73,94,3,9,0,0,0,0,0,0,3,9,14,18,4,12,14,36,14,30,46,101,26,70,2912,6865,1125,..,4037,6865
LGA17650,2191,5357,10,21,0,3,15,21,34,45,0,0,0,0,0,0,34,45,8,13,10,10,0,8,11,25,28,49,11,30,2281,5509,297,..,2582,5509
LGA17750,19013,50610,739,1167,175,306,917,1476,2074,3308,81,104,35,40,7,23,2194,3478,21,31,30,55,3,7,145,394,202,484,71,182,22397,56233,2537,..,24929,56233
LGA17850,1124,2579,3,12,0,0,3,12,23,26,0,0,0,0,3,4,24,36,3,0,8,8,3,8,3,4,13,30,20,44,1187,2691,257,..,1443,2691
LGA17900,1892,4489,4,3,0,0,5,8,101,144,0,0,11,18,3,8,116,169,33,45,0,4,147,275,6,14,190,332,91,197,2286,5198,803,..,3089,5198
LGA17950,944,2244,6,16,0,0,6,16,39,60,0,0,0,0,0,0,39,60,6,5,0,4,0,0,0,0,8,10,8,26,1007,2350,203,..,1216,2350
LGA18020,3299,7714,45,48,6,13,50,58,61,96,4,3,5,13,0,0,78,114,18,31,12,20,0,0,19,32,45,88,55,119,3517,8090,761,..,4280,8090
LGA18050,4160,13126,2148,5705,2630,7934,4774,13643,3433,7320,7691,15138,4614,8718,20,55,15759,31233,3,3,0,0,0,0,343,713,344,711,129,304,25166,59012,3237,..,28400,59012
LGA18100,1365,3072,51,80,0,0,53,78,8,9,0,0,0,0,0,0,7,13,4,4,0,0,0,0,7,17,9,24,11,27,1449,3207,293,..,1743,3207
LGA18200,2163,5495,38,65,0,0,38,65,115,156,0,0,0,0,0,0,115,156,39,75,22,48,9,12,10,28,74,157,23,58,2420,5932,485,..,2912,5932
LGA18230,14789,39517,999,1718,55,90,1054,1807,1191,1870,14,22,0,0,0,0,1208,1895,40,107,12,18,7,17,277,709,339,848,87,184,17474,44249,2114,..,19590,44249
LGA18250,12077,37539,865,2243,1217,3297,2077,5539,1546,3294,3225,7367,7086,16247,12,16,11873,26917,3,3,0,0,0,3,65,141,72,150,58,122,26155,70268,2326,..,28483,70268
LGA18350,16121,40550,764,1176,293,510,1055,1689,319,486,0,0,3,3,4,14,324,501,86,121,3,12,13,26,31,64,136,223,129,265,17759,43231,2788,..,20546,43231
LGA18400,14179,43859,589,1011,61,109,647,1119,91,156,5,9,0,0,6,13,108,184,40,56,24,31,14,36,35,101,113,225,55,148,15094,45536,949,..,16048,45536
LGA18450,51367,145913,4016,7337,5141,11276,9154,18620,5540,10108,2979,5348,3892,7515,48,108,12454,23083,213,351,46,94,4,11,244,610,511,1054,468,888,73953,189562,6330,..,80279,189562
LGA18500,4500,14019,690,1594,4013,10019,4703,11616,1826,3926,4366,8468,5376,9488,64,160,11636,22041,0,3,0,0,0,3,156,303,158,305,106,260,21105,48245,2857,..,23959,48245
LGA18710,5185,14237,207,317,9,14,220,331,27,47,0,0,0,0,0,3,26,47,9,9,11,28,9,24,8,11,40,69,51,118,5519,14797,627,..,6143,14797
LGA19399,331,838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,0,0,5,7,4,4,336,852,151,..,490,852
LGA19499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
LGA19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
LGA20110,4476,10245,133,195,23,52,155,249,100,158,0,3,0,0,0,0,100,159,6,10,4,10,0,3,17,33,32,61,71,138,4832,10845,1633,..,6464,10845
LGA20260,3995,9261,121,165,0,0,121,165,110,180,3,5,0,0,0,0,113,185,15,23,11,11,8,11,18,30,43,73,25,33,4298,9721,753,..,5051,9721
LGA20570,31586,79889,4855,8827,506,1130,5362,9963,1117,1662,70,108,0,0,0,3,1185,1771,24,37,45,65,0,6,76,185,146,285,167,318,38449,92224,4506,..,42953,92224
LGA20660,34541,94752,4420,8197,2541,6051,6962,14252,2139,4097,232,407,373,621,7,16,2749,5143,4,7,3,4,0,4,43,102,50,119,130,261,44431,114521,3946,..,48375,114521
LGA20740,12019,27114,569,803,146,284,714,1079,173,241,13,19,9,17,0,0,192,282,66,87,88,120,3,0,18,38,176,251,69,169,13175,28896,11423,..,24597,28896
LGA20830,15945,41435,608,930,47,63,655,998,776,1154,0,0,0,0,0,0,776,1154,58,89,81,119,3,9,15,26,155,243,80,161,17605,43990,2135,..,19739,43990
