LGA_CODE_2016,P_85ov_DNPCC,P_85ov_UCC_NS,P_85ov_Total,P_Tot_CF_Own_CCO,P_Tot_CF_Oth_CCO,P_Tot_CF_Own_CC_Oth_CC,P_Tot_CF_Total,P_Tot_DNPCC,P_Tot_UCC_NS,P_Tot_Total
LGA17200,1272,483,1790,15744,5829,447,22019,145947,26373,194336
LGA17310,1139,276,1437,9133,3733,436,13305,29321,4922,47550
LGA17350,187,18,210,861,365,36,1267,3256,410,4934
LGA17400,94,75,176,751,341,20,1114,3702,771,5591
LGA17420,1746,215,2000,30788,9992,826,41609,76947,5069,123621
LGA17550,2716,835,3581,13249,5588,557,19390,49123,7532,76052
LGA17620,264,83,352,2274,790,78,3147,6815,1244,11207
LGA17640,155,25,184,1079,529,44,1654,4038,658,6346
LGA17650,105,13,118,951,367,37,1346,3093,453,4888
LGA17750,1156,210,1372,10060,3924,406,14393,31412,3886,49690
LGA17850,52,38,96,448,158,17,622,1584,354,2556
LGA17900,63,11,77,684,243,23,953,3178,751,4885
LGA17950,46,12,60,365,157,14,534,1331,287,2153
LGA18020,242,63,305,1149,534,38,1724,4913,1067,7699
LGA18050,1139,331,1513,10364,2910,313,13584,35775,6748,56111
LGA18100,116,28,148,489,232,11,738,1957,354,3051
LGA18200,119,16,135,932,452,24,1414,3385,720,5519
LGA18230,887,176,1081,7734,3108,371,11208,23879,4613,39702
LGA18250,1496,203,1731,14362,3159,331,17847,38536,3516,59899
LGA18350,1139,274,1428,7146,3120,323,10591,25495,3390,39473
LGA18400,480,156,652,8870,3269,339,12476,22555,2805,37840
LGA18450,4408,769,5253,32352,14564,1477,48393,107426,11254,167073
LGA18500,1280,285,1599,8181,3118,188,11488,29555,4721,45764
LGA18710,185,110,296,2786,1102,121,4007,7542,1192,12744
LGA19399,16,3,22,158,50,9,216,544,112,869
LGA19499,49,28,78,847,475,45,1373,6811,3361,11545
LGA19799,6,0,10,39,37,0,79,226,76,374
LGA20110,296,82,383,1610,666,98,2373,6933,1070,10384
LGA20260,278,73,359,1444,750,78,2265,5950,1587,9798
LGA20570,1997,382,2409,16404,6999,818,24218,51395,6616,82219
LGA20660,2637,561,3253,20941,7664,753,29360,64340,6156,99850
LGA20740,869,245,1143,4593,2183,228,7006,17719,2738,27459
LGA20830,850,241,1112,7621,3415,405,11443,24206,3541,39188
LGA20910,3054,519,3624,17607,6172,643,24417,49085,5170,78669
LGA21010,434,83,528,1715,921,69,2710,7740,1238,11686
LGA21110,4223,527,4829,27935,9502,857,38297,92024,8104,138430
LGA21180,2386,492,2926,29811,9903,660,40375,105038,13049,158457
LGA21270,253,84,336,778,375,37,1188,3373,643,5206
LGA21370,891,254,1164,5284,2381,208,7875,19334,3215,30424
LGA21450,960,189,1185,18431,5519,783,24734,42326,5346,72402
LGA21610,2881,518,3450,57003,15251,1746,74001,142104,15346,231449
LGA21670,351,94,448,1635,751,60,2444,7418,1123,10982
LGA21750,456,116,585,2977,1502,138,4618,10951,1706,17277
LGA21830,361,91,468,2294,1002,89,3388,8341,1393,13125
LGA21890,2952,728,3736,22341,6622,789,29760,83112,10410,123281
LGA22110,992,386,1391,5764,2624,242,8629,24879,4378,37892
LGA22170,2157,523,2713,22823,8563,1018,32405,67799,8910,109114
LGA22250,309,61,378,1360,621,68,2044,5921,906,8870
LGA22310,3670,509,4240,24761,7246,733,32745,75437,6933,115105
LGA22410,436,109,555,2690,1198,117,4006,10599,1765,16377
LGA22490,191,21,225,4128,1453,175,5754,9771,1244,16769
LGA22620,2101,603,2743,17585,7659,831,26073,55316,7897,89283
LGA22670,2575,402,3008,23048,6536,453,30033,84830,9739,124599
LGA22750,5213,1173,6460,37358,15885,1636,54881,120609,15681,191166
LGA22830,1176,291,1484,9858,3560,439,13850,31745,5532,51131
LGA22910,345,112,469,2016,994,95,3101,8337,1496,12934
LGA22980,237,54,290,708,306,30,1044,3347,467,4859
LGA23110,1621,300,1952,15296,4402,491,20184,47008,5236,72429
LGA23190,506,93,613,3118,1229,153,4494,10161,1261,15913
LGA23270,1601,253,1889,33952,9364,933,44252,97795,11418,153462
LGA23350,287,56,353,2424,1089,114,3631,8243,1232,13104
LGA23430,3205,865,4139,25906,8613,908,35434,80648,8515,124594
LGA23670,2601,469,3105,26117,9708,938,36764,83565,6719,127047
LGA23810,1367,366,1761,10748,4901,549,16197,37667,6138,59998
LGA23940,197,52,256,888,438,38,1363,4103,853,6322
LGA24130,620,169,811,8279,2892,416,11589,21969,3110,36659
LGA24210,3116,503,3668,18813,7874,499,27194,65105,5231,97529
LGA24250,170,33,207,1188,514,68,1769,4557,724,7049
LGA24330,1098,263,1379,12874,2998,469,16348,46847,5900,69093
LGA24410,2162,464,2647,19554,7256,830,27638,57023,5106,89771
LGA24600,824,405,1255,9312,3863,188,13365,98318,15545,127232
LGA24650,741,130,887,26955,6712,759,34426,59127,8540,102097
LGA24780,1118,280,1419,7775,3260,347,11380,27419,4847,43642
LGA24850,445,133,581,7055,2299,241,9596,19507,3333,32439
LGA24900,717,200,935,3976,1806,158,5937,15401,2641,23981
LGA24970,4277,747,5088,28729,9614,716,39056,105715,8944,153720
LGA25060,2471,456,2967,18499,6295,454,25253,64568,7298,97118
LGA25150,401,76,491,5474,1996,217,7683,15662,2028,25373
LGA25250,3773,477,4311,24278,6775,789,31844,94533,10081,136461
LGA25340,4087,909,5059,24422,11395,1088,36895,80928,10329,128156
LGA25430,409,144,563,2523,1208,192,3926,9700,2318,15946
LGA25490,299,74,373,2702,1044,105,3846,7964,1320,13134
LGA25620,259,52,314,1867,875,77,2814,7437,1296,11546
LGA25710,581,105,705,11242,4449,508,16196,30443,2577,49213
LGA25810,338,54,400,1494,672,79,2243,6533,958,9724
LGA25900,1204,204,1433,12251,4499,439,17186,61834,10056,89077
LGA25990,127,45,178,896,430,48,1375,3744,986,6105
LGA26080,129,21,149,314,283,7,606,1644,275,2523
LGA26170,659,140,808,4126,1969,200,6306,14873,2405,23581
LGA26260,437,138,582,2306,992,100,3401,8645,1155,13199
LGA26350,2077,357,2472,12927,5280,372,18581,64613,7775,90965
LGA26430,283,92,376,1268,689,46,1999,5805,954,8763
LGA26490,481,75,566,5431,2094,248,7776,13896,1677,23345
LGA26610,411,141,563,2860,1153,126,4144,9993,2513,16646
LGA26670,158,37,197,777,397,31,1202,3312,509,5023
LGA26700,673,325,1008,4236,1937,184,6354,14538,2315,23209
LGA26730,760,194,969,5214,2187,259,7650,17348,2541,27546
LGA26810,833,186,1033,6233,2732,312,9280,21815,4264,35358
LGA26890,98,32,132,578,202,16,805,2162,272,3234
LGA26980,4088,805,4959,27642,9021,878,37541,90023,7268,134835
LGA27070,2029,278,2354,36904,10218,952,48074,97046,10185,155311
LGA27170,624,104,745,6586,2522,302,9411,19282,2545,31242
LGA27260,1118,301,1451,46574,9986,1150,57708,93419,12182,163311
LGA27350,867,179,1075,9432,3812,337,13577,55590,7816,76983
LGA27450,2101,401,2533,25756,10488,1273,37521,75673,7893,121080
LGA27630,247,78,332,818,385,41,1242,3767,613,5618
LGA29399,0,0,0,91,39,0,133,391,218,746
LGA29499,25,13,38,649,290,14,960,3900,1969,6825
LGA29799,0,0,0,5,0,0,5,18,3,25
LGA30250,0,0,0,169,190,41,397,463,42,901
LGA30300,46,11,64,694,196,37,926,2148,362,3437
LGA30370,178,34,211,2482,756,98,3335,6641,1176,11152
LGA30410,37,13,51,429,129,17,574,1490,223,2279
LGA30450,3,0,3,32,9,0,44,171,14,232
LGA30760,37,3,42,262,90,11,365,1078,127,1572
LGA30900,0,0,0,37,17,0,56,233,63,351
LGA31000,16662,3961,20904,185996,59417,6662,252076,612058,67750,931879
LGA31750,7,0,7,52,19,5,69,194,28,289
LGA31820,1863,468,2348,12878,4822,540,18238,50979,7267,76488
LGA31900,347,107,463,2474,1073,55,3602,9030,1405,14039
LGA31950,0,0,0,29,14,0,44,169,59,274
LGA32080,1558,390,1981,25355,7841,1231,34430,76691,13667,124795
LGA32250,9,0,10,211,88,6,303,1009,229,1548
LGA32260,537,100,647,3883,1490,126,5496,15173,2791,23462
LGA32270,102,25,133,5380,1284,221,6891,11087,3094,21073
LGA32310,172,36,211,1681,611,67,2359,5764,1206,9327
LGA32330,5,0,5,139,64,3,202,553,48,807
LGA32450,13,8,20,444,126,11,583,1423,409,2416
LGA32500,24,11,31,490,226,40,756,2028,653,3439
LGA32600,3,0,4,20,17,0,36,125,67,229
LGA32750,0,0,0,37,14,0,53,150,39,239
LGA32770,0,0,0,279,103,3,384,429,45,862
LGA32810,86,69,159,1502,525,63,2088,6165,1531,9783
LGA33100,3,0,3,113,24,3,144,430,83,651
LGA33200,25,0,28,225,64,0,290,843,131,1269
LGA33220,2049,494,2553,13266,4798,606,18668,56923,8866,84458
LGA33360,426,74,509,11431,3149,527,15099,28281,4314,47696
LGA33430,8722,2829,11643,91597,29843,3429,124873,288191,41802,454866
LGA33610,172,39,216,1727,526,47,2293,5040,1029,8356
LGA33620,731,296,1037,7014,2567,301,9884,26376,4249,40504
LGA33800,342,74,414,1365,611,48,2024,6198,955,9178
LGA33830,7,0,7,171,142,17,332,263,67,658
LGA33960,1891,336,2246,35126,11789,1628,48538,87135,12136,147814
LGA33980,67,10,72,4334,782,150,5268,7644,2731,15641
LGA34420,7,0,7,144,141,3,284,377,33,694
LGA34530,497,189,694,5601,2246,266,8118,17729,3571,29418
LGA34570,0,0,0,126,67,4,200,213,75,493
LGA34580,460,120,587,5648,2164,262,8068,19457,3530,31063
LGA34590,2850,468,3357,52598,18758,2269,73630,142804,18420,234848
LGA34710,69,12,76,543,172,10,719,1912,332,2964
LGA34770,1407,220,1645,19514,6514,883,26910,55141,9151,91204
LGA34800,5,0,9,144,28,5,177,419,66,665
LGA34830,0,0,0,38,34,0,75,130,19,224
LGA34860,182,44,225,2094,609,64,2777,5994,1147,9908
LGA34880,314,62,379,2798,1125,202,4126,10443,3117,17681
LGA35010,5244,2052,7364,74768,26934,3671,105375,205417,25379,336175
LGA35250,0,0,0,98,114,115,337,357,101,793
LGA35300,59,20,80,3217,933,146,4295,7930,1962,14193
LGA35600,73,21,102,655,220,21,893,2157,357,3411
LGA35670,0,0,0,168,67,8,241,407,16,665
LGA35740,1027,334,1373,7674,2827,327,10831,29198,3677,43702
LGA35760,227,63,292,1363,510,47,1922,5433,1266,8625
LGA35780,6,0,6,495,233,40,768,873,128,1768
LGA35790,0,0,0,413,235,34,680,925,61,1662
LGA35800,14,8,29,187,86,8,285,907,141,1325
LGA36070,0,0,0,108,68,8,182,351,24,553
LGA36150,9,0,9,137,36,6,173,418,49,648
LGA36250,2530,729,3279,24659,10176,1094,35934,76342,7129,119405
LGA36300,8,0,8,119,37,0,156,413,70,638
LGA36370,1223,375,1609,12796,4957,629,18384,38582,6181,63147
LGA36510,687,112,804,6013,2493,314,8814,20329,3342,32494
LGA36580,281,55,346,3649,1497,176,5324,12184,2060,19567
LGA36630,603,110,715,4447,1644,213,6306,17080,2671,26054
LGA36660,760,135,902,4992,1908,206,7109,18872,2529,28501
LGA36720,6331,1307,7706,47999,17078,1983,67063,155943,17990,240989
LGA36820,505,114,622,3315,1381,173,4866,13151,2301,20319
LGA36910,2774,996,3802,25488,9556,1195,36237,80602,11351,128188
LGA36950,10,3,14,471,159,35,666,1444,524,2627
LGA36960,9,0,6,763,242,56,1060,1552,338,2954
LGA37010,1946,328,2305,30463,10725,1416,42605,92314,14127,149046
LGA37300,0,0,3,781,144,45,968,1564,336,2866
LGA37310,472,117,599,5439,1634,196,7271,15336,3449,26057
LGA37340,325,115,440,4810,1473,225,6510,16952,4199,27657
LGA37400,21,12,32,153,59,8,218,620,103,949
LGA37550,0,0,0,88,55,0,152,429,58,637
LGA37570,0,0,0,29,51,10,89,121,11,217
LGA37600,5,0,5,330,283,38,645,978,66,1687
LGA39499,30,11,44,760,474,19,1251,7804,2633,11693
LGA39799,0,3,4,13,17,0,28,90,21,144
LGA40070,320,48,379,1446,946,61,2449,15912,2491,20850
LGA40120,592,72,674,6707,3013,353,10077,19686,1837,31601
LGA40220,665,152,824,3488,1965,166,5619,14330,1885,21834
LGA40250,5,5,18,320,286,105,711,744,275,1724
LGA40310,519,91,625,3774,1654,193,5617,12200,1359,19183
LGA40430,82,27,105,286,164,18,467,1488,240,2198
LGA40520,271,49,332,1477,583,56,2113,5734,802,8652
LGA40700,1416,217,1666,7372,3160,265,10797,23737,1880,36413
LGA40910,1493,159,1673,7991,3222,228,11441,28532,1991,41969
LGA41010,34,27,67,464,220,22,707,1546,445,2699
LGA41060,3160,428,3637,16277,6953,548,23772,64684,5963,94420
LGA41140,243,27,276,1305,619,53,1984,4814,598,7394
LGA41190,50,16,61,290,110,12,414,861,132,1411
LGA41330,7,5,15,181,48,3,230,950,305,1485
LGA41560,329,115,445,1751,792,70,2611,8156,1185,11951
LGA41750,18,0,21,164,65,6,236,546,60,842
LGA41830,30,13,42,207,85,4,292,954,146,1396
LGA41960,32,18,46,160,82,12,257,688,128,1072
LGA42030,558,112,668,3531,1595,137,5263,12283,1413,18955
LGA42110,81,11,91,578,252,22,856,2254,309,3422
LGA42250,76,28,111,1322,668,51,2043,3676,949,6665
LGA42600,1452,224,1686,4787,2753,177,7713,20737,2156,30609
LGA42750,88,27,123,655,304,46,1001,2467,463,3932
LGA43080,37,9,50,152,76,8,231,575,80,891
LGA43220,23,8,32,187,64,12,266,476,60,810
LGA43360,58,14,70,319,129,11,460,1307,208,1977
LGA43650,144,16,166,2640,936,130,3708,7100,737,11542
LGA43710,63,20,76,917,382,43,1341,2492,588,4417
LGA43790,308,61,380,1633,735,86,2458,6231,768,9462
LGA43920,66,24,90,1425,642,68,2137,4380,587,7108
LGA44000,0,0,0,0,0,0,3,15,31,50
LGA44060,2429,310,2760,13991,5720,508,20222,49791,4217,74231
LGA44210,141,38,188,1006,519,45,1569,5044,889,7505
LGA44340,1888,311,2225,10954,4773,512,16236,34391,2755,53383
LGA44550,526,83,620,5962,2315,313,8583,16326,1742,26654
LGA44620,592,99,696,4310,1813,209,6328,13167,1576,21069
LGA44830,68,18,88,349,178,14,540,1675,241,2457
LGA45040,427,76,503,2848,1307,148,4307,11194,1742,17242
LGA45090,157,65,226,1299,462,81,1845,4348,490,6677
LGA45120,128,18,144,627,290,27,943,2482,296,3728
LGA45290,1158,140,1314,5160,2155,160,7478,21070,1757,30307
LGA45340,2810,611,3464,27695,12627,1418,41739,85086,8751,135573
LGA45400,34,8,47,119,45,0,162,504,84,744
LGA45540,39,16,53,169,80,6,247,1023,165,1442
LGA45680,1072,235,1322,14873,5189,662,20722,42268,5825,68816
LGA45890,2667,447,3161,18896,6483,597,25975,67266,7640,100886
LGA46090,201,36,241,1837,956,106,2899,6565,1742,11197
LGA46300,341,42,390,2164,977,132,3282,7039,1023,11341
LGA46450,419,67,496,2408,1106,106,3612,9464,1179,14254
LGA46510,417,49,477,3448,1090,131,4668,11416,969,17050
LGA46670,232,44,276,1291,546,64,1899,5186,768,7855
LGA46860,29,6,40,187,80,9,267,799,118,1185
LGA46970,3,0,3,882,195,44,1128,1434,296,2864
LGA47140,1878,286,2190,22798,8370,782,31957,72020,6817,110789
LGA47290,53,9,59,290,100,8,405,1098,174,1678
LGA47490,43,18,56,326,91,13,432,1055,177,1660
LGA47630,129,66,198,1002,386,48,1438,3358,573,5366
LGA47700,1762,300,2080,16014,7710,736,24467,52192,3904,80560
LGA47800,86,24,112,768,349,37,1154,2865,393,4406
LGA47910,62,29,93,361,199,22,587,1400,190,2171
LGA47980,1439,174,1637,5869,2390,251,8505,21399,1827,31733
LGA48050,632,150,789,1623,1026,98,2737,9005,1006,12754
LGA48130,153,40,200,1048,461,64,1577,3415,476,5469
LGA48260,280,31,309,1063,531,31,1624,4375,428,6424
LGA48340,219,96,322,1717,730,76,2517,6187,842,9553
LGA48410,1663,459,2148,8598,3205,288,12090,34137,3216,49447
LGA48540,342,77,429,3368,1410,170,4946,11105,1584,17638
LGA48640,27,8,37,215,77,9,300,573,99,971
LGA48750,117,16,138,642,404,30,1080,2979,379,4435
LGA48830,377,77,459,1252,659,46,1959,6823,744,9530
LGA49399,17,11,25,477,136,11,621,1811,603,3032
LGA49499,16,4,22,262,141,16,411,1621,609,2648
LGA49799,0,0,0,0,0,0,0,6,0,3
LGA50080,833,205,1046,5507,2026,283,7823,19117,2865,29805
LGA50210,666,235,917,14981,4663,589,20242,36858,4776,61871
LGA50250,7,0,7,2268,339,67,2674,6471,2162,11305
LGA50280,184,33,225,2701,704,143,3550,6536,1077,11159
LGA50350,283,42,334,2469,851,124,3445,8054,893,12390
LGA50420,1074,388,1484,9888,3460,342,13689,36377,4412,54483
LGA50490,652,160,817,5576,1816,164,7556,21759,3976,33294
LGA50560,35,10,42,221,86,5,311,972,198,1475
LGA50630,7,3,14,359,103,16,479,819,144,1441
LGA50770,23,10,36,255,109,6,369,868,146,1377
LGA50840,71,16,90,655,278,22,958,2505,379,3838
LGA50910,19,23,38,141,47,4,196,490,117,805
LGA50980,41,8,56,2503,774,184,3462,7072,1809,12338
LGA51080,11,3,11,190,35,3,229,503,135,871
LGA51120,22,3,20,136,58,0,193,469,75,739
LGA51190,745,125,875,4708,2005,201,6915,16654,2812,26383
LGA51260,630,218,851,6284,2021,300,8607,17888,2725,29211
LGA51310,729,90,831,5135,1490,201,6829,12977,1337,21139
LGA51330,1315,218,1549,14485,4967,451,19901,49914,4521,74339
LGA51400,79,19,104,3338,950,154,4440,7619,910,12970
LGA51470,5,0,5,67,30,7,105,304,39,452
LGA51540,47,20,69,709,290,36,1031,2605,767,4401
LGA51610,7,0,13,241,76,13,323,628,137,1092
LGA51680,27,3,36,883,350,34,1263,2716,436,4413
LGA51750,396,65,461,1410,607,68,2083,5604,771,8458
LGA51820,1075,341,1430,19211,5756,656,25620,51559,6397,83575
LGA51890,101,48,152,1300,634,52,1988,4359,775,7128
LGA51960,5,0,6,609,160,15,788,1590,401,2782
LGA52030,6,0,12,119,59,3,183,636,78,891
LGA52100,28,7,30,159,71,8,248,550,119,915
LGA52170,180,32,226,1244,549,53,1840,3901,513,6252
LGA52240,13,4,12,163,40,21,219,556,111,882
LGA52310,12,5,15,109,27,5,139,467,102,708
LGA52380,0,0,0,13,5,0,12,101,44,166
LGA52450,16,8,23,208,74,12,297,752,131,1176
LGA52520,20,3,30,214,59,10,289,725,122,1132
LGA52590,36,9,45,455,167,14,642,1794,287,2714
LGA52660,225,46,269,2544,801,127,3479,6666,864,11003
LGA52730,90,30,117,863,286,50,1201,3091,546,4837
LGA52800,36,4,36,1092,672,133,1893,2911,938,5741
LGA52870,94,15,108,838,353,31,1227,3061,535,4819
LGA52940,11,0,11,112,43,8,168,326,37,529
LGA53010,7,0,7,114,40,7,162,310,76,544
LGA53080,7,0,6,69,20,0,90,435,126,659
LGA53150,104,66,170,1285,491,71,1850,3696,482,6027
LGA53220,3,0,3,1886,579,130,2596,4400,1987,8980
LGA53290,206,46,253,2130,763,121,3011,6741,1546,11303
LGA53360,7,5,11,484,109,23,618,1304,241,2165
LGA53430,560,167,731,3997,1680,219,5896,16354,2544,24792
LGA53570,50,20,70,683,303,24,1011,2830,488,4331
LGA53640,5,3,9,205,86,9,299,546,118,971
LGA53710,25,6,27,155,52,4,215,518,93,822
LGA53780,1103,319,1431,21001,6338,738,28078,58090,7242,93412
LGA53800,501,130,638,6021,2236,280,8529,18622,3444,30597
LGA53920,7,0,7,344,214,53,613,1209,577,2393
LGA53990,245,46,294,4778,1580,225,6586,12164,1911,20663
LGA54060,78,11,85,502,166,36,706,1955,304,2958
LGA54130,5,0,9,186,48,3,241,521,116,874
LGA54170,2021,352,2401,27473,10991,1160,39627,78880,6416,124925
LGA54200,705,210,922,9678,3943,396,14019,28969,3295,46275
LGA54280,110,34,153,5371,1303,248,6922,13396,2837,23159
LGA54310,12,3,22,4332,779,188,5300,8360,2510,16164
LGA54340,66,19,95,523,228,33,788,2037,494,3316
LGA54410,33,13,45,185,65,8,255,627,124,1008
LGA54480,0,0,3,106,29,3,146,225,58,427
LGA54550,33,18,62,313,136,16,461,897,206,1562
LGA54620,12,0,12,151,60,3,207,437,62,707
LGA54690,9,0,7,70,17,11,94,206,33,333
LGA54760,8,4,20,133,49,4,183,372,58,616
LGA54830,253,68,324,7152,1981,294,9423,17194,3615,30236
LGA54900,8,3,11,222,59,7,282,598,102,985
LGA54970,0,0,3,160,82,12,251,550,205,1009
LGA55040,4,3,5,211,39,4,255,610,313,1178
LGA55110,1719,387,2124,12140,4926,543,17610,43045,5603,66260
LGA55180,145,54,200,1324,501,63,1884,4815,827,7523
LGA55250,5,5,10,116,56,17,188,466,228,876
LGA55320,2524,663,3221,15762,6591,587,22937,53184,5164,81281
LGA55390,0,0,0,64,41,4,101,257,70,426
LGA55460,55,13,67,485,151,30,661,1755,278,2694
