LGA_CODE_2016,O_OR_DS_Sep_house,O_OR_DS_SemiD_ro_or_tce_h_th,O_OR_DS_Flat_apart,O_OR_DS_Oth_dwell,O_OR_DS_not_stated,O_OR_Total,O_MTG_DS_Sep_house,O_MTG_DS_SemiD_ro_or_tce_h_th,O_MTG_DS_Flat_apart,O_MTG_DS_Oth_dwell,O_MTG_DS_not_stated,O_MTG_Total,R_RE_Agt_DS_Sep_house,R_RE_Ag_DS_SemD_ro_or_tc_h_th,R_RE_Agt_DS_Flat_apart,R_RE_Agt_DS_Oth_dwell,R_RE_Agt_DS_not_stated,R_RE_Agt_Total,R_ST_h_auth_DS_Sep_house,R_ST_h_au_DS_SD_ro_or_tc_h_th,R_ST_h_auth_DS_Flat_apart,R_ST_h_auth_DS_Oth_dwell,R_ST_h_auth_DS_not_stated,R_ST_h_auth_Total,R_Psn_not_in_s_hh_DS_Sep_hous,R_P_not_in_s_h_DS_SD_ro_t_h_t,R_P_not_in_s_hh_DS_Flat_apart,R_Psn_not_in_s_hh_DS_Oth_dwel,R_Psn_not_in_s_hh_DS_NS,R_Psn_not_in_s_hh_Total,R_Hs_cop_cty_ch_gp_DS_Sp_ho,R_Hs_c_ct_ch_g_DS_SD_ro_t_h_t,R_Hse_cp_cty_ch_g_DS_Flt_apt,R_Hs_cop_cty_ch_gp_DS_Ot_dwel,R_Hse_coop_cty_ch_gp_DS_NS,R_Hse_coop_cty_ch_gp_Total,R_Ot_landld_typ_DS_Sep_house,R_O_LLd_typ_DS_SD_ro_tc_h_th,R_Ot_LLd_typ_DS_Flat_apart,R_Ot_landld_typ_DS_Oth_dwell,R_Ot_landld_typ_DS_not_stated,R_Ot_landld_typ_Total,R_Landld_typ_NS_DS_Sep_house,R_Ld_typ_NS_DS_SD_ro_tce_h_th,R_LLd_typ_NS_DS_Flat_apart,R_Landld_typ_NS_DS_Oth_dwell,R_Landld_typ_NS_DS_not_stated,R_Landld_typ_NS_Total,R_Tot_DS_Sep_house,R_Tot_DS_SemiD_ro_or_tce_h_th,R_Tot_DS_Flat_apart,R_Tot_DS_Oth_dwell,R_Tot_DS_not_stated,R_Tot_Total,Oth_ten_type_DS_Sep_house,Oth_ten_ty_DS_SD_ro_tce_h_th,Oth_ten_type_DS_Flat_apart,Oth_ten_type_DS_Oth_dwell,Oth_ten_type_DS_not_stated,Oth_ten_type_Total,Ten_type_NS_DS_Sep_house,Ten_ty_NS_DS_SD_ro_tce_h_t,Ten_ty_NS_DS_Flat_apart,Ten_type_NS_DS_Oth_dwell,Ten_type_NS_DS_not_stated,Ten_type_NS_Total,Total_DS_Sep_house,Total_DS_SemiD_ro_or_tce_h_th,Total_DS_Flat_apart,Total_DS_Oth_dwell,Total_DS_not_stated,Total_Total
LGA10850,983,4,0,11,0,999,910,3,0,3,3,924,270,11,49,0,0,331,39,0,4,0,0,41,160,4,0,3,3,172,0,0,0,0,0,0,25,0,0,3,0,35,24,0,0,0,0,26,517,20,54,7,3,604,15,0,0,0,0,16,81,0,3,3,26,115,2507,34,58,27,29,2656
LGA10900,10714,423,43,10,27,11218,11087,130,44,10,20,11295,2636,327,261,10,17,3255,161,143,87,0,0,397,1076,87,46,3,17,1224,57,85,49,0,4,197,69,8,7,5,10,93,83,6,3,0,4,100,4073,663,457,21,44,5267,112,136,4,0,0,251,489,50,31,5,20,595,26482,1404,582,53,109,28630
LGA10950,379,4,0,0,4,391,218,0,0,0,0,217,47,3,0,0,0,50,46,0,4,0,0,47,84,4,4,4,3,97,12,4,3,0,0,16,46,17,7,3,0,74,20,0,0,0,0,21,246,26,20,9,4,306,3,0,0,0,0,6,35,0,0,3,0,45,883,33,28,14,9,967
LGA11100,2453,453,1051,10,10,3976,1915,774,1972,16,10,4681,557,285,3752,60,29,4689,105,455,795,0,0,1360,201,73,513,23,15,815,25,14,38,0,0,83,17,25,98,3,4,145,19,14,36,0,0,65,931,867,5228,87,45,7158,36,19,51,0,0,103,152,64,270,6,10,497,5483,2175,8571,118,76,16421
LGA11150,234,0,0,15,5,249,181,0,0,3,5,190,30,3,4,0,0,37,60,9,7,0,0,73,72,0,0,0,0,77,32,0,4,0,0,34,76,7,11,3,0,97,14,0,0,0,0,16,285,14,28,8,8,337,9,0,0,0,0,11,34,0,0,3,3,43,746,16,34,25,14,831
LGA11200,138,0,0,4,0,141,42,0,0,0,0,48,5,0,0,0,0,5,50,0,10,0,0,63,34,0,0,0,0,37,131,0,11,0,0,147,48,0,9,0,0,56,16,0,0,0,0,17,283,5,38,0,0,328,8,0,0,0,0,8,28,0,3,3,0,36,503,5,36,8,4,553
LGA11250,2975,31,9,7,7,3026,2099,14,0,4,7,2130,556,48,41,0,0,652,64,21,24,0,0,111,557,29,30,0,3,622,17,4,21,0,0,44,175,9,20,3,3,204,52,0,7,0,0,62,1429,112,146,5,6,1695,30,3,7,0,0,40,256,8,20,3,8,293,6792,164,184,18,23,7184
LGA11300,2286,698,615,5,8,3617,1396,638,799,7,11,2843,540,308,2520,24,28,3424,20,106,204,0,0,338,216,99,584,6,10,922,29,13,46,0,3,91,30,23,90,4,3,149,21,18,27,0,4,71,852,576,3465,41,55,4991,27,15,82,0,0,121,149,52,162,4,16,381,4711,1978,5123,50,84,11957
LGA11350,3601,153,143,190,62,4150,2918,169,91,28,32,3233,955,290,209,22,18,1490,64,22,73,0,3,158,1201,126,142,74,28,1567,33,13,18,0,0,59,55,5,3,42,6,115,89,13,13,3,0,116,2390,462,450,147,55,3500,89,7,3,3,0,102,265,30,34,20,25,377,9266,819,727,389,171,11368
LGA11400,1941,4,3,15,7,1974,1629,0,5,7,7,1649,253,6,24,5,0,291,22,3,4,0,0,30,343,8,7,4,0,368,7,4,16,0,0,28,99,0,0,5,0,102,58,0,3,3,0,63,783,23,51,20,3,878,39,0,9,0,0,51,123,3,5,0,0,132,4510,30,75,44,26,4686
LGA11450,5422,300,40,39,17,5821,12139,348,20,6,16,12527,3190,397,65,0,19,3678,237,80,31,0,0,341,656,67,11,6,3,749,29,22,0,0,3,54,109,4,0,10,0,131,56,5,0,0,4,64,4280,584,107,22,27,5013,98,121,13,0,0,234,372,81,19,3,7,480,22310,1432,195,71,68,24084
LGA11500,10665,1115,303,18,18,12116,17167,2053,330,22,24,19590,5758,2143,1036,32,31,8998,2692,2028,170,0,6,4893,1471,343,80,3,6,1908,106,117,39,0,0,262,152,34,19,0,4,211,142,32,8,0,0,181,10323,4693,1354,38,52,16463,221,137,139,0,8,507,932,279,79,3,12,1310,39315,8272,2202,82,109,49981
LGA11520,6042,795,2992,29,26,9882,4218,1057,4067,55,19,9428,1229,640,6919,145,46,8975,84,191,457,0,4,745,399,112,1072,51,17,1651,23,15,106,0,8,158,29,59,152,3,7,252,45,17,68,3,3,141,1814,1043,8774,209,85,11919,47,13,90,3,7,159,269,71,354,11,19,710,12384,2978,16273,306,159,32102
LGA11570,25829,3470,3078,90,41,32497,20238,6347,5137,93,81,31896,6683,3315,12465,286,125,22874,2596,2129,3516,5,12,8263,2904,885,1604,80,58,5532,200,284,416,3,5,899,557,147,290,26,15,1032,333,99,154,7,6,596,13278,6850,18446,403,219,39193,340,131,245,4,3,724,1866,507,981,33,66,3454,61550,17305,27889,617,406,107772
LGA11600,380,0,0,5,3,389,181,0,0,4,0,184,17,0,6,0,0,25,14,0,0,0,0,16,141,0,0,0,3,142,9,0,3,0,0,9,97,0,12,4,0,118,28,0,0,0,0,26,302,0,25,8,6,337,22,0,0,0,0,18,36,0,0,8,0,49,917,0,29,26,9,986
LGA11650,34384,5099,2128,328,95,42039,37813,2051,1114,117,54,41151,13136,3560,3550,345,135,20722,1300,1416,855,10,8,3583,4501,719,576,95,52,5941,161,291,196,0,11,669,589,110,66,170,30,956,371,94,64,14,8,551,20058,6187,5306,631,246,32423,438,990,298,9,18,1748,2371,704,406,63,135,3684,95068,15026,9260,1150,545,121048
LGA11700,230,0,0,3,4,235,47,0,0,0,3,53,3,0,0,0,0,4,72,3,3,0,0,83,35,0,0,0,0,38,38,0,0,0,0,43,58,8,3,3,0,70,16,0,0,0,0,25,227,15,8,5,0,254,21,3,0,0,0,24,20,3,4,3,0,38,548,19,16,15,13,605
LGA11720,6077,244,9,16,30,6380,6714,79,9,9,26,6839,2614,700,151,13,24,3505,355,196,75,0,3,624,886,73,28,8,11,1003,15,38,0,0,0,56,99,25,3,0,3,128,89,5,0,3,0,101,4059,1031,255,23,40,5416,95,32,3,0,0,133,471,96,9,3,12,601,17418,1482,293,57,116,19368
LGA11730,7724,312,190,350,50,8628,5020,90,60,63,26,5259,1764,341,397,28,15,2548,234,73,72,0,0,388,1136,110,145,26,19,1436,117,73,18,3,0,205,131,20,15,77,8,257,102,19,3,10,3,139,3484,647,645,149,49,4976,96,12,5,7,3,121,484,43,48,35,14,622,16821,1093,947,600,145,19605
LGA11750,506,0,3,14,0,524,403,0,0,7,0,415,151,7,41,0,0,197,66,3,4,0,0,71,72,0,6,3,0,91,27,0,12,0,0,46,154,8,29,6,0,198,24,0,4,0,0,29,494,25,93,12,3,627,14,0,0,0,0,17,59,0,3,0,0,68,1481,22,105,33,0,1640
LGA11800,8056,870,479,381,61,9850,6956,451,268,24,43,7751,2424,1061,1245,14,51,4793,516,310,267,0,3,1103,1182,261,230,33,36,1739,82,83,37,3,3,207,134,37,30,111,15,333,99,16,15,9,7,138,4436,1772,1822,164,115,8316,182,80,32,8,5,312,458,141,122,50,43,816,20092,3315,2729,631,280,27042
LGA12000,660,0,4,3,8,672,464,0,0,0,3,463,74,3,4,0,0,85,3,0,13,0,0,13,127,0,0,0,3,131,0,0,0,0,0,0,26,0,0,0,0,22,20,0,3,0,0,28,252,3,19,0,3,277,17,0,0,0,0,23,49,0,4,0,0,55,1440,5,29,4,17,1491
LGA12150,533,3,8,3,6,554,300,0,0,3,3,304,50,0,12,0,0,54,73,0,3,0,0,81,132,3,16,0,0,148,27,0,3,0,0,32,58,3,13,0,0,72,28,0,3,0,0,29,366,5,47,4,0,422,20,0,0,0,0,22,54,0,4,0,3,64,1271,14,58,15,9,1370
LGA12350,1934,46,26,11,27,2035,1267,17,4,3,17,1306,414,50,114,3,3,585,153,4,22,0,0,181,282,17,25,0,8,343,25,4,11,0,0,36,48,0,3,11,0,67,38,3,5,0,0,48,963,84,182,11,15,1262,25,15,0,0,0,34,154,13,15,3,4,183,4334,171,225,29,53,4823
LGA12380,13471,1593,1374,55,26,16526,12141,3580,3420,81,64,19278,5155,2504,8407,129,93,16288,1091,1328,1702,10,5,4138,2147,535,1054,47,42,3816,103,258,268,3,3,634,415,110,160,14,8,706,188,59,84,4,3,330,9098,4789,11674,209,150,25916,210,100,130,0,5,444,1183,367,675,21,91,2337,36102,10426,17270,368,342,64503
LGA12700,1350,3,3,19,9,1380,1190,0,0,10,4,1207,211,6,26,4,0,243,24,0,0,0,0,31,195,0,9,7,3,210,0,0,0,0,0,3,36,0,0,4,3,42,32,0,3,0,0,33,512,11,31,9,9,572,16,5,0,0,0,20,72,0,0,3,3,75,3133,23,39,43,22,3257
LGA12730,1221,6,43,21,12,1303,960,3,6,0,9,971,345,29,116,8,0,499,76,11,17,0,9,110,189,3,19,3,3,213,12,0,3,0,0,17,72,0,5,3,3,82,25,0,8,0,0,32,720,48,166,11,17,956,23,0,0,0,0,30,90,6,16,0,0,108,3012,57,232,35,39,3376
LGA12750,6211,460,213,192,24,7098,3353,98,73,16,27,3568,1166,292,352,12,9,1829,229,92,103,0,0,429,847,87,104,21,14,1069,68,23,24,0,0,121,68,15,14,38,11,142,82,14,7,3,0,109,2452,517,608,81,32,3695,76,77,15,8,4,183,355,46,54,22,11,492,12447,1201,964,319,103,15032
LGA12850,16216,1061,975,110,19,18381,13439,1820,1119,82,27,16488,5518,1696,3601,123,100,11034,1588,1787,957,9,11,4347,2111,403,481,37,38,3057,125,158,154,7,3,448,489,101,131,51,8,786,185,42,73,3,3,298,10016,4172,5394,237,161,19976,248,74,53,3,0,379,1286,266,322,31,63,1963,41207,7390,7856,460,271,57190
LGA12870,1915,69,62,59,11,2122,1368,16,19,3,3,1409,397,54,124,3,7,586,30,0,0,0,0,28,281,11,27,4,3,328,6,10,3,0,0,16,61,0,4,9,0,78,41,0,7,0,0,50,816,76,173,15,8,1088,32,14,4,3,0,48,139,14,16,3,4,174,4270,187,277,86,26,4843
LGA12900,1268,25,5,23,8,1324,1028,5,3,14,3,1050,262,66,75,0,0,405,116,5,15,0,0,138,247,10,17,3,0,278,11,0,7,0,0,15,75,0,5,8,3,97,35,0,0,0,0,42,750,83,118,17,5,972,24,0,0,0,0,26,95,4,11,5,0,122,3171,115,139,61,15,3496
LGA12930,12306,1865,2468,30,22,16696,9307,1789,3866,30,25,15017,2460,987,7485,140,46,11127,312,461,490,0,4,1264,866,220,1254,48,21,2411,57,70,74,0,0,196,91,58,104,8,3,266,95,20,65,7,0,195,3878,1821,9476,197,79,15455,133,59,112,3,0,298,591,152,422,8,38,1217,26208,5690,16341,276,163,48676
LGA12950,658,0,0,0,3,662,395,0,0,0,3,399,115,0,37,0,0,158,54,0,0,0,0,54,134,0,4,0,0,139,16,0,0,0,0,16,33,0,0,0,0,33,33,0,0,0,0,38,389,0,39,0,7,439,20,0,0,0,0,26,55,0,0,0,0,56,1519,4,43,3,16,1587
LGA13010,1409,3,9,24,18,1465,875,3,0,3,13,891,385,22,61,0,3,478,58,3,0,0,5,69,204,0,19,3,0,227,18,0,17,0,0,34,35,0,4,7,3,47,33,0,3,0,0,41,734,27,108,9,13,889,28,0,0,0,0,32,120,0,9,3,10,147,3174,36,128,34,57,3427
LGA13310,3606,191,20,30,10,3860,3403,93,19,18,6,3536,1149,322,215,15,7,1705,407,54,50,0,0,513,523,61,31,12,6,635,41,48,10,0,0,92,71,6,5,28,10,115,49,9,3,0,0,68,2232,506,313,49,31,3129,54,33,3,0,3,101,255,43,11,14,4,322,9550,860,361,115,59,10945
LGA13340,1526,7,3,4,6,1547,1306,3,0,3,13,1326,193,18,9,5,5,231,10,0,11,0,0,21,268,3,4,3,0,282,5,3,0,0,0,12,57,3,4,7,0,73,44,0,0,0,0,50,587,27,33,12,4,655,37,5,0,0,0,42,110,7,3,0,3,125,3563,46,34,26,30,3699
LGA13450,2693,100,65,34,12,2902,2335,39,45,3,12,2434,900,157,488,13,11,1567,236,22,46,0,0,304,472,26,55,3,10,561,17,3,26,0,3,51,131,17,34,21,9,203,44,6,8,0,0,55,1795,231,659,40,25,2747,44,16,3,0,3,67,230,19,62,8,3,330,7096,406,834,88,64,8487
LGA13510,1866,38,13,17,10,1942,1144,4,3,6,6,1166,288,63,41,8,4,406,167,4,8,0,0,179,276,10,15,11,3,314,0,0,0,0,0,3,73,3,4,3,0,88,53,3,0,3,0,58,857,85,66,23,11,1047,36,15,0,0,0,51,146,3,5,0,0,158,4043,150,89,52,26,4358
LGA13550,1490,36,19,17,0,1557,1321,8,10,6,9,1347,580,70,126,7,3,788,90,3,29,0,3,126,267,8,23,6,8,306,24,9,8,0,0,41,91,3,7,3,3,105,53,3,3,0,0,59,1111,95,203,15,18,1432,23,15,0,0,0,39,115,13,14,0,3,146,4060,158,248,34,33,4527
LGA13660,924,3,3,23,3,955,415,4,0,3,3,423,100,8,8,0,0,120,3,3,7,0,0,14,183,8,0,0,0,194,5,0,3,0,0,12,108,0,0,3,0,107,62,0,0,0,0,61,460,20,20,6,0,506,30,0,0,0,0,29,65,0,4,4,0,73,1892,19,26,38,7,1987
LGA13800,5955,442,84,40,37,6550,8391,402,49,20,39,8896,1956,833,255,21,33,3094,461,229,8,0,3,703,719,103,37,4,21,883,55,39,7,0,0,107,172,34,3,54,13,280,87,14,0,3,3,110,3454,1252,312,82,69,5174,123,22,22,0,0,169,375,76,22,18,25,512,18306,2191,491,154,172,21307
LGA13850,445,0,0,3,0,453,226,3,0,3,6,239,76,5,32,0,3,116,31,4,3,0,0,30,102,3,8,0,0,113,0,0,0,0,0,0,36,0,10,0,0,46,22,0,3,0,0,27,261,17,52,0,4,334,9,0,0,0,0,18,51,0,3,3,0,58,995,27,51,14,9,1097
LGA13910,2705,95,53,33,16,2897,1949,31,14,12,6,2008,626,115,148,0,5,897,107,23,14,0,0,139,460,17,16,4,6,506,12,4,25,0,0,46,126,9,3,3,7,145,94,7,3,0,0,102,1430,173,211,13,14,1841,53,0,10,3,0,65,212,18,20,0,10,263,6350,318,307,54,54,7075
LGA14000,14196,1173,1226,48,30,16671,15348,1301,1918,10,26,18600,2860,763,3135,27,36,6820,89,208,320,0,0,618,1033,164,521,10,26,1753,50,68,307,0,3,426,109,31,39,18,5,199,104,10,41,4,3,166,4240,1248,4357,59,67,9979,171,285,415,0,3,873,538,95,216,11,34,889,34488,4099,8129,132,159,47010
LGA14100,1314,288,157,0,4,1762,1112,206,142,0,6,1469,203,170,276,5,3,656,0,0,273,0,0,278,80,35,57,0,3,175,5,0,18,0,0,22,5,8,8,0,0,18,13,0,0,0,0,17,307,211,635,8,9,1163,23,3,47,0,0,73,58,10,29,0,4,105,2810,724,1005,8,24,4573
LGA14170,7479,6396,2967,94,50,16990,5927,8448,5011,123,59,19565,2173,5139,14288,533,152,22287,157,468,1429,0,10,2058,807,1326,2131,184,76,4519,93,88,324,4,4,515,55,78,138,23,12,313,60,67,162,10,0,314,3343,7164,18480,763,249,30003,80,106,129,0,4,319,417,470,755,55,223,1919,17252,22580,27340,1030,590,68796
LGA14200,2150,22,31,23,27,2249,1703,9,10,11,18,1746,686,73,192,0,8,962,161,7,31,0,0,191,371,10,30,3,5,417,22,25,34,0,33,112,73,0,10,20,3,104,54,11,3,0,4,71,1366,119,293,24,54,1854,34,3,0,0,5,39,172,12,26,11,3,227,5422,170,356,61,103,6113
LGA14300,675,8,6,5,3,696,628,4,0,0,4,636,208,11,19,0,0,241,39,0,7,0,0,46,123,0,5,0,4,134,3,13,0,0,0,15,19,3,0,0,0,24,24,0,3,0,0,24,414,31,29,0,9,480,24,0,0,0,0,24,83,0,3,0,0,96,1822,43,40,4,9,1922
LGA14350,4293,113,86,53,39,4585,2778,30,31,12,27,2878,1029,166,191,15,7,1408,239,44,50,0,0,336,645,27,26,5,12,722,70,19,17,0,0,101,57,12,8,20,5,105,81,3,7,3,4,89,2127,260,290,50,34,2764,52,5,0,0,3,64,289,24,23,8,27,368,9539,430,429,119,136,10651
LGA14400,2968,356,194,19,37,3571,2105,227,51,4,3,2391,498,223,154,8,5,888,39,17,19,0,0,74,269,47,43,9,3,366,9,0,34,0,0,41,30,0,7,9,5,59,27,4,9,0,0,35,861,294,263,26,13,1466,17,3,112,0,0,139,107,13,35,3,6,156,6065,885,655,54,65,7719
LGA14500,12862,906,2400,0,19,16189,11956,298,2206,6,12,14476,2030,194,2767,10,14,5017,18,0,11,0,0,29,692,48,491,3,11,1244,42,11,104,0,3,163,67,7,74,4,6,159,71,10,33,0,0,122,2921,279,3473,15,47,6731,138,23,287,0,3,447,398,50,167,0,9,629,28271,1556,8538,21,84,38476
LGA14550,1562,3,11,28,6,1618,945,3,0,14,7,969,247,10,38,9,3,301,44,3,0,0,0,41,308,3,5,9,3,329,13,0,3,0,0,20,33,0,0,4,0,39,55,0,0,0,0,57,700,17,47,15,7,788,33,0,0,0,0,39,108,0,4,0,0,121,3351,18,63,62,26,3525
LGA14600,872,3,0,3,25,906,478,0,0,3,23,504,102,0,17,0,5,126,91,0,3,0,0,99,227,0,14,4,11,255,54,3,4,0,0,60,73,0,12,3,5,102,30,0,3,0,0,35,588,3,53,8,19,672,23,0,0,0,0,23,81,0,5,7,0,98,2037,13,65,20,70,2206
LGA14650,24109,2511,604,326,24,27569,25060,816,240,31,33,26186,6627,1594,857,55,39,9175,1801,883,527,6,0,3215,2681,420,170,34,18,3326,129,170,106,5,3,414,193,69,19,123,12,413,199,28,12,5,0,244,11634,3165,1692,228,74,16794,318,342,134,7,0,798,1270,274,117,39,31,1741,62390,7106,2788,630,162,73075
LGA14700,2671,227,1142,3,3,4050,2261,227,1925,0,5,4417,477,136,3019,7,11,3662,12,76,73,0,0,161,159,47,460,0,12,674,8,3,78,0,0,92,11,4,38,0,25,70,22,3,26,0,3,56,685,271,3705,7,51,4723,19,9,81,0,5,112,82,14,138,4,4,242,5717,749,6986,19,59,13534
LGA14750,1278,36,27,13,15,1377,1154,11,18,3,10,1193,369,85,99,0,7,563,97,9,3,0,0,112,244,26,35,0,3,308,4,7,4,0,0,13,48,3,9,9,3,79,44,0,4,0,0,48,804,127,161,17,16,1120,17,0,0,0,0,21,124,13,15,0,6,157,3380,197,214,35,37,3868
LGA14850,5269,293,58,171,30,5817,4765,163,49,72,19,5067,1362,565,366,15,11,2321,232,157,77,0,0,467,1130,147,99,28,12,1424,60,100,29,0,3,187,74,18,9,66,4,168,73,17,4,10,0,108,2937,993,587,121,35,4674,94,29,7,7,0,149,340,61,54,22,9,484,13407,1541,754,399,91,16195
LGA14870,2972,110,6,162,30,3286,2124,33,3,121,26,2300,665,222,56,12,4,959,296,88,27,0,0,417,359,20,20,21,5,426,8,8,3,0,0,28,37,0,4,16,0,58,40,3,3,6,0,46,1409,338,116,51,10,1931,59,19,0,3,0,81,199,33,6,15,5,260,6766,538,134,353,72,7862
LGA14900,12731,722,648,22,31,14152,20227,2006,1205,29,50,23514,5474,1729,3622,34,37,10894,1825,965,1322,3,22,4134,1627,245,313,5,19,2209,96,103,142,0,13,352,729,93,83,11,15,938,195,22,50,8,20,293,9952,3156,5534,57,126,18823,258,61,58,0,52,430,1231,223,331,10,68,1867,44395,6159,7775,125,325,58786
LGA14920,1182,4,3,15,4,1203,713,0,3,4,0,730,264,7,35,0,0,305,49,3,16,0,0,65,265,0,5,8,0,274,35,0,4,0,0,45,110,0,3,3,0,116,40,0,6,0,0,40,762,8,66,10,0,855,36,0,4,0,0,39,73,3,9,0,0,86,2772,16,88,24,7,2916
