LGA_CODE_2016,CF_no_children_F,CF_no_children_P,CF_ChU15_a_DSs_a_NdCh_F,CF_ChU15_a_DSs_a_NdCh_P,CF_ChU15_a_DSs_a_no_NdCh_F,CF_ChU15_a_DSs_a_no_NdCh_P,CF_ChU15_a_no_DSs_a_NdCh_F,CF_ChU15_a_no_DSs_a_NdCh_P,CF_ChU15_a_no_DSs_a_no_NdCh_F,CF_ChU15_a_no_DSs_a_no_NdCh_P,CF_ChU15_a_Total_F,CF_ChU15_a_Total_P,CF_no_ChU15_a_DSs_a_NdCh_F,CF_no_ChU15_a_DSs_a_NdCh_P,CF_no_ChU15_a_DSs_a_no_NdCh_F,CF_no_ChU15_a_DSs_a_no_NdCh_P,CF_no_ChU15_a_no_DSs_a_NdCh_F,CF_no_ChU15_a_no_DSs_a_NdCh_P,CF_no_ChU15_a_Total_F,CF_no_ChU15_a_Total_P,CF_Total_F,CF_Total_P,OPF_ChU15_a_DSs_a_NdCh_F,OPF_ChU15_a_DSs_a_NdCh_P,OPF_ChU15_a_DSs_a_no_NdCh_F,OPF_ChU15_a_DSs_a_no_NdCh_P,OPF_ChU15_a_no_DSs_a_NdCh_F,OPF_ChU15_a_no_DSs_a_NdCh_P,OPF_ChU15_a_no_DSs_no_NdCh_F,OPF_ChU15_a_no_DSs_no_NdCh_P,OPF_ChU15_a_Total_F,OPF_ChU15_a_Total_P,OPF_no_ChU15_a_DSs_a_NdCh_F,OPF_no_ChU15_a_DSs_a_NdCh_P,OPF_no_ChU15_a_DSs_no_NdCh_F,OPF_no_ChU15_a_DSs_no_NdCh_P,OPF_no_ChU15_no_DSs_a_NdCh_F,OPF_no_ChU15_no_DSs_a_NdCh_P,OPF_no_ChU15_a_Total_F,OPF_no_ChU15_a_Total_P,OPF_Total_F,OPF_Total_P,Other_family_F,Other_family_P,Total_F,Total_P
LGA11350,2995,5862,29,132,271,1190,76,309,1696,6381,2066,8016,102,396,218,677,474,1438,794,2513,2862,10527,16,52,100,319,25,93,690,1645,827,2108,52,138,220,456,469,963,735,1558,1566,3667,96,192,7523,20253
LGA11400,1476,2919,32,170,191,908,43,196,858,3563,1131,4837,64,264,126,407,278,863,464,1529,1593,6367,3,14,30,107,13,48,182,540,236,710,10,24,34,72,143,306,185,405,420,1114,37,75,3531,10472
LGA11450,6358,12818,238,1367,1088,5160,466,2143,6542,25828,8334,34498,637,2747,715,2487,2062,6769,3413,11998,11745,46501,59,262,225,810,131,499,1128,3134,1545,4704,171,563,251,593,1022,2272,1443,3424,2986,8134,216,467,21309,67919
LGA11500,11647,23585,495,2968,1884,9185,800,3932,9920,39447,13106,55527,1197,5221,1433,4998,4650,15273,7285,25487,20390,81019,175,858,627,2412,439,1689,3449,9992,4685,14946,392,1295,654,1499,3353,7466,4402,10258,9087,25207,660,1413,41780,131224
LGA11520,9405,18702,73,417,824,3650,116,495,6309,23335,7322,27896,572,2410,920,3185,1927,6169,3425,11768,10740,39666,8,35,148,499,56,181,900,2249,1119,2966,130,396,443,1005,1279,2729,1846,4134,2968,7094,517,1093,23631,66556
LGA11570,23619,47960,1058,6349,4608,23077,1196,5766,23138,93271,29997,128466,2852,12652,3680,13113,9803,32865,16327,58635,46332,187095,289,1470,1083,4151,514,1938,4765,13774,6649,21339,831,2830,1639,3910,6873,15600,9342,22338,15988,43674,1884,4134,87826,282864
LGA11600,298,595,8,23,32,135,9,49,168,651,210,860,9,27,17,38,47,147,69,208,281,1070,0,3,3,21,0,0,35,104,42,126,0,0,4,10,39,81,46,94,89,218,10,29,689,1909
LGA11650,33499,66733,656,3639,3422,15903,1249,5724,18638,73365,23961,98629,2039,8482,2742,9242,7568,23892,12347,41619,36311,140248,227,1055,1141,4010,695,2482,6265,17179,8326,24728,703,2212,1460,3205,6370,13715,8538,19133,16863,43860,1195,2480,87869,253321
LGA11700,118,243,0,13,13,50,9,36,79,320,104,419,4,10,7,14,27,100,38,123,141,539,0,4,6,37,4,35,41,129,55,199,4,10,4,5,42,112,50,130,107,327,4,12,370,1120
LGA11720,5256,10469,140,804,531,2511,246,1133,3063,12115,3986,16561,289,1193,317,1055,1277,4035,1883,6283,5869,22845,43,208,185,695,153,544,1403,4023,1779,5473,86,266,192,421,1001,2185,1275,2867,3057,8342,211,431,14392,42086
LGA11730,6554,13010,103,601,482,2243,182,848,2116,8468,2884,12162,168,674,327,1039,971,2966,1462,4682,4348,16846,30,136,163,575,105,404,1049,2928,1342,4044,91,274,190,402,829,1765,1105,2448,2449,6485,188,400,13536,36739
LGA11750,468,922,6,20,48,230,11,74,294,1202,364,1526,20,64,24,83,53,172,99,325,460,1849,3,9,6,27,0,8,84,244,100,288,3,3,12,21,62,145,77,164,172,455,18,34,1121,3268
LGA11800,8228,16325,111,597,724,3357,225,1013,3862,15317,4914,20288,295,1213,527,1691,1399,4284,2223,7192,7141,27478,49,217,293,1089,142,510,1525,4164,2011,5979,126,395,314,678,1255,2654,1688,3724,3699,9706,210,433,19270,53940
LGA12000,496,977,16,92,70,322,9,57,219,898,315,1371,15,62,21,81,91,273,131,413,449,1784,3,14,15,47,3,13,71,227,92,302,7,26,3,8,43,85,53,122,139,429,22,40,1103,3233
LGA12150,378,745,11,45,27,101,16,68,156,627,200,841,8,27,21,66,60,194,93,288,291,1123,0,10,17,49,16,64,110,360,141,484,6,4,7,19,71,137,82,170,224,647,19,42,910,2567
LGA12350,1518,3014,19,95,114,562,44,209,579,2340,762,3205,55,212,72,224,277,849,402,1292,1163,4495,6,25,38,143,24,93,233,660,310,923,14,46,44,88,175,369,231,510,541,1431,66,140,3291,9074
LGA12380,14249,29240,698,4344,2661,13447,736,3618,15680,62318,19775,83726,1681,7592,2059,7360,5428,18311,9166,33260,28943,116985,170,848,525,2129,277,1026,2623,7524,3588,11521,480,1690,801,1908,3722,8544,5005,12140,8590,23664,1317,2949,53100,172842
LGA12700,1097,2182,20,115,113,520,33,166,485,1923,655,2721,47,189,83,275,224,698,356,1164,1007,3888,6,13,17,72,17,53,141,413,181,550,11,40,25,49,132,267,167,353,347,901,23,47,2471,7020
LGA12730,1013,2006,15,68,77,382,30,134,448,1788,568,2369,32,129,60,188,134,414,232,728,797,3093,3,21,23,93,13,49,151,400,191,561,11,46,32,76,127,268,174,388,369,949,31,65,2212,6111
LGA12750,5625,11108,52,290,262,1230,112,512,1417,5635,1844,7674,92,364,217,688,655,1978,965,3034,2807,10704,19,67,116,421,56,221,661,1849,848,2564,51,158,134,287,600,1245,795,1689,1638,4254,110,221,10186,26286
LGA12850,11981,24674,764,4591,2798,13951,864,4335,10405,43132,14826,66003,2199,10050,2233,8227,7052,24297,11488,42568,26313,108573,215,1096,875,3433,452,1750,3604,10624,5147,16901,655,2301,1155,2892,4913,11762,6722,16951,11870,33847,1203,2708,51368,169803
LGA12870,1661,3290,23,106,116,532,37,153,602,2443,770,3232,55,228,75,230,211,626,338,1083,1110,4314,4,16,35,124,17,71,191,511,245,724,20,60,35,72,153,302,205,434,448,1161,36,79,3264,8833
LGA12900,1072,2136,15,79,91,441,41,187,495,2059,648,2765,34,137,53,162,168,503,254,802,896,3565,7,30,31,114,7,20,177,528,217,690,16,40,28,62,149,310,185,413,408,1102,41,78,2414,6882
LGA12930,13072,26567,247,1427,1801,8277,370,1692,9827,37621,12253,49014,1242,5289,2127,7458,3976,12894,7339,25637,19592,74655,56,270,334,1193,129,460,1592,4255,2118,6176,324,1048,844,2000,2495,5547,3665,8601,5778,14777,872,1929,39316,117920
LGA12950,514,1016,4,28,45,190,14,81,197,828,263,1131,7,19,34,94,70,205,106,318,369,1450,4,13,19,60,16,65,91,264,130,406,3,10,13,26,55,125,74,157,203,559,26,52,1107,3076
LGA13010,1084,2152,10,43,69,306,22,110,398,1595,496,2060,28,99,59,196,132,402,217,694,716,2758,7,23,29,102,19,65,166,471,218,662,4,25,32,62,121,253,157,335,375,993,31,65,2211,5968
LGA13310,3149,6256,62,349,283,1309,120,564,1557,6132,2020,8358,125,505,175,567,650,2048,947,3116,2972,11477,14,80,92,337,57,230,579,1597,743,2241,40,111,122,250,488,1006,642,1368,1387,3609,108,234,7615,21578
LGA13340,1200,2356,30,164,128,637,41,181,622,2624,820,3606,56,238,87,277,191,565,330,1086,1153,4688,0,11,31,111,16,67,142,403,188,598,12,33,28,59,123,249,161,340,349,939,18,36,2723,8020
LGA13450,2344,4670,69,404,301,1371,114,515,1604,6490,2079,8780,128,509,171,531,578,1918,877,2954,2957,11733,14,68,54,209,52,194,392,1134,509,1600,26,88,58,128,335,734,424,952,934,2553,103,215,6337,19165
LGA13510,1456,2868,23,121,112,478,42,205,554,2262,730,3066,35,143,72,216,185,569,298,927,1030,3995,5,24,37,133,11,47,188,549,244,751,9,34,26,60,160,328,196,421,440,1174,47,87,2966,8128
LGA13550,1302,2583,26,144,117,523,35,148,744,3002,922,3815,43,169,82,250,258,830,386,1252,1308,5073,3,17,30,117,33,107,247,724,312,962,8,31,35,79,160,353,210,462,526,1420,52,111,3191,9187
LGA13660,690,1370,6,29,47,208,18,56,282,1145,351,1450,13,56,25,78,83,250,123,378,470,1828,5,11,9,30,4,13,84,249,99,308,0,12,8,18,75,153,85,179,185,482,16,31,1367,3712
LGA13800,5732,11491,211,1191,768,3652,374,1751,4042,16099,5395,22697,510,2170,551,1863,1938,6361,2997,10395,8393,33089,41,162,202,742,116,384,982,2687,1341,3968,125,406,244,549,1118,2428,1489,3381,2824,7342,189,398,17134,52315
LGA13850,330,642,9,44,33,134,7,23,134,560,185,765,10,40,16,52,61,177,91,269,273,1029,3,6,9,35,7,13,54,129,71,188,6,15,3,5,48,99,59,121,130,312,8,17,737,2003
LGA13910,2138,4235,42,223,194,927,59,261,943,3845,1235,5265,68,252,140,437,345,1060,551,1753,1786,7014,10,54,68,246,37,124,350,1037,467,1473,20,73,67,156,262,544,352,772,816,2238,69,150,4812,13637
LGA14000,12146,24217,266,1477,2371,10721,293,1312,11257,43574,14182,57085,1533,6387,2635,9193,3896,12418,8065,27998,22244,85078,39,154,339,1166,69,224,1165,3021,1619,4564,324,1038,611,1403,1938,4193,2865,6634,4486,11194,462,983,39339,121474
LGA14100,1201,2360,24,133,217,989,14,73,933,3684,1188,4878,122,493,232,816,296,913,647,2220,1838,7105,0,7,27,81,6,22,129,307,162,415,20,52,57,127,144,312,216,493,378,907,36,84,3453,10450
LGA14170,18322,36244,107,578,1313,5845,206,878,12347,45368,13972,52669,685,2817,1536,5175,2759,8762,4978,16752,18951,69422,30,124,289,948,113,370,2034,4882,2471,6328,241,772,850,1862,2554,5514,3644,8137,6109,14469,1077,2273,44456,122410
LGA14200,1874,3712,34,193,165,752,71,321,832,3327,1093,4583,49,205,121,378,281,873,456,1458,1553,6045,9,48,72,269,36,129,394,1135,509,1584,14,47,54,109,230,487,304,646,811,2229,57,124,4298,12115
LGA14300,556,1103,8,44,51,222,25,111,287,1211,369,1591,18,80,37,108,125,390,178,577,543,2171,3,18,14,44,12,55,104,306,136,416,5,16,23,48,84,177,113,235,243,655,21,41,1362,3969
LGA14350,3353,6682,53,288,253,1192,92,429,1078,4356,1474,6267,81,326,173,546,567,1729,816,2606,2293,8869,28,153,112,447,82,303,726,2161,946,3065,45,134,117,253,559,1200,722,1583,1661,4649,111,234,7413,20433
LGA14400,2748,5420,46,225,278,1255,68,305,1191,4760,1582,6550,133,545,263,855,545,1700,941,3098,2524,9645,8,39,53,171,17,52,227,600,304,857,32,107,80,182,266,557,385,842,694,1700,44,100,6009,16867
LGA14500,10280,20335,205,1050,2266,10324,178,746,9290,36289,11932,48402,1314,5337,2748,9625,2718,8475,6779,23439,18710,71839,23,100,300,994,46,148,884,2332,1252,3572,213,653,658,1537,1199,2519,2071,4712,3323,8278,367,768,32676,101225
LGA14550,1142,2280,10,67,75,374,22,99,365,1506,479,2044,18,67,70,235,147,471,235,768,713,2817,8,32,33,108,10,33,173,498,222,672,7,26,41,89,152,329,203,442,424,1118,38,78,2321,6293
LGA14600,657,1302,6,33,46,200,13,73,389,1562,454,1867,18,81,26,71,94,294,133,442,593,2311,3,18,18,62,15,42,126,393,155,507,7,27,16,31,87,200,116,260,273,773,27,51,1549,4436
LGA14650,21711,43134,367,2004,2241,10250,789,3497,11584,45256,14981,61012,1258,5147,1875,6356,4983,15651,8115,27158,23096,88165,132,594,625,2180,330,1150,3558,9757,4646,13682,347,1105,896,1989,3672,7856,4920,10944,9566,24631,661,1363,55032,157295
LGA14700,3760,7447,29,135,415,1886,35,147,2940,11043,3420,13211,237,950,534,1834,541,1654,1300,4433,4722,17644,3,15,45,142,11,34,345,829,401,1024,48,151,182,407,372,781,605,1342,1010,2363,171,353,9657,27807
LGA14750,1116,2226,25,137,115,553,45,211,587,2382,774,3289,55,220,77,242,232,718,355,1179,1133,4465,9,39,32,125,17,69,200,562,258,797,5,24,29,64,148,318,184,406,443,1200,37,83,2731,7979
LGA14850,4346,8613,54,306,445,2110,113,480,2102,8365,2709,11265,174,697,328,1072,824,2562,1330,4339,4034,15601,36,170,171,607,73,262,1011,2705,1293,3746,95,292,254,544,729,1505,1074,2343,2366,6092,169,354,10918,30656
LGA14870,2200,4365,30,173,184,838,67,296,978,3896,1259,5201,85,347,133,424,468,1477,679,2251,1936,7452,21,88,74,269,37,136,398,1104,532,1592,24,78,82,173,369,795,473,1045,1003,2635,70,143,5215,14599
LGA14900,12021,24497,718,4276,3402,16682,1016,4984,14133,57178,19269,83124,2036,8999,2230,7973,5956,20227,10215,37204,29481,120327,190,890,685,2631,410,1575,3153,9273,4438,14370,549,1913,862,2028,3593,8325,4998,12264,9438,26637,800,1755,51746,173213
LGA14920,887,1746,13,73,86,373,20,96,388,1542,514,2076,26,96,36,122,139,422,203,642,716,2717,8,40,27,109,13,41,156,446,202,635,13,38,22,49,116,257,153,344,356,984,38,79,1991,5529
LGA14950,365,718,3,14,36,173,11,60,181,767,234,1018,13,54,14,49,61,179,88,283,323,1301,0,3,0,11,3,9,43,124,46,143,0,3,14,26,42,102,56,125,107,271,7,20,802,2305
LGA15050,7558,15006,154,864,947,4388,306,1387,5219,20500,6627,27138,452,1861,677,2249,1775,5560,2904,9674,9533,36814,52,263,280,1001,140,501,1688,4786,2158,6553,156,484,320,701,1197,2557,1681,3740,3840,10298,291,605,21220,62716
LGA15240,12817,25374,134,766,755,3506,274,1285,3643,14521,4805,20085,280,1105,609,1945,1666,5070,2551,8130,7357,28208,58,267,324,1193,176,629,1762,4998,2320,7089,114,356,350,765,1557,3287,2025,4409,4340,11504,320,666,24837,65760
LGA15270,2573,5082,30,173,229,1052,84,367,1502,5986,1845,7583,69,276,149,469,418,1280,639,2022,2485,9610,12,45,64,208,34,117,425,1168,526,1537,22,79,75,164,319,653,422,898,945,2435,77,165,6077,17292
LGA15300,1178,2335,25,126,96,406,41,215,726,2886,892,3634,34,110,78,218,223,694,330,1029,1219,4659,13,58,42,153,49,204,338,993,434,1403,18,56,30,53,209,468,254,577,692,1980,82,179,3169,9153
LGA15350,3114,6069,30,132,344,1526,28,105,2008,7594,2404,9360,169,674,515,1737,420,1286,1107,3692,3511,13053,0,6,61,198,7,29,271,657,351,890,47,144,158,352,257,524,459,1022,807,1908,86,180,7525,21215
LGA15520,1631,3214,23,114,126,581,31,148,631,2550,812,3390,45,179,79,240,178,551,302,969,1119,4361,3,14,21,83,7,15,148,377,181,495,12,34,32,70,113,242,153,343,332,835,34,64,3114,8481
LGA15560,394,778,10,41,45,205,14,78,191,772,267,1093,17,63,33,100,81,249,134,414,401,1507,0,3,6,25,4,28,65,201,79,264,5,10,12,28,48,92,56,133,140,393,14,35,952,2710
LGA15650,1524,3009,30,154,163,760,55,265,1039,4139,1285,5316,63,261,112,355,276,847,453,1462,1741,6784,13,44,48,184,31,121,419,1194,518,1542,19,68,54,111,200,416,272,600,793,2148,42,89,4095,12026
LGA15700,2476,4909,35,186,155,748,65,283,774,3120,1025,4340,59,260,100,319,345,1067,508,1643,1541,5985,11,59,80,308,42,179,433,1210,566,1758,27,75,63,142,344,725,435,939,1000,2697,88,191,5107,13774
LGA15750,1363,2700,18,89,151,665,46,215,735,2990,942,3955,43,177,83,247,245,769,378,1192,1316,5152,7,29,37,128,23,89,257,763,316,1002,11,39,44,93,187,406,251,539,564,1539,39,74,3281,9461
LGA15800,605,1189,10,50,51,229,16,85,296,1237,375,1601,22,86,47,152,105,330,180,571,559,2166,0,9,12,56,18,51,118,324,146,439,3,9,18,36,77,169,97,217,249,652,16,40,1430,4053
LGA15850,687,1338,9,59,77,340,15,66,322,1310,423,1779,30,128,27,80,116,377,180,587,605,2368,4,20,27,103,17,55,155,499,199,674,11,31,16,37,99,196,122,262,321,937,31,62,1640,4701
LGA15900,15018,29627,185,1011,1472,6689,393,1750,9107,34962,11153,44413,726,2969,1322,4366,2843,8831,4892,16172,16046,60582,92,382,451,1570,214,785,2688,7058,3447,9792,261,821,775,1694,2716,5749,3755,8266,7198,18060,817,1678,39068,109945
LGA15950,9460,18436,18,97,307,1305,38,155,4153,14649,4516,16208,181,689,562,1798,677,2002,1418,4493,5927,20699,6,7,72,232,14,38,656,1514,743,1797,73,207,329,691,616,1267,1014,2164,1765,3965,397,819,17548,43915
LGA15990,24315,48031,381,1995,3377,15272,536,2295,19792,76563,24091,96117,1989,8076,3194,11068,5523,17412,10707,36556,34793,132675,62,252,530,1748,161,527,2427,6181,3180,8706,457,1446,992,2231,3259,6955,4708,10634,7884,19346,755,1586,67745,201636
LGA16100,632,1235,16,66,71,315,15,75,242,979,340,1438,28,101,31,109,99,305,163,517,505,1956,3,17,10,48,9,38,74,205,99,308,8,23,24,51,75,155,109,225,206,530,5,14,1345,3742
LGA16150,3904,7721,79,439,400,1861,127,552,2554,10190,3159,13052,170,692,311,994,649,2035,1127,3719,4283,16770,28,126,151,546,75,289,868,2394,1120,3356,56,159,160,351,587,1235,796,1745,1919,5100,119,258,10227,29853
LGA16200,1477,2904,42,230,147,689,58,271,765,3124,1005,4313,65,276,97,304,296,904,454,1481,1460,5798,10,60,50,188,29,94,288,811,382,1160,14,40,60,133,229,485,302,658,687,1818,50,96,3671,10619
LGA16260,19573,39343,251,1415,2404,10833,427,1943,18726,69351,21814,83535,1569,6697,2898,10094,4815,15626,9285,32416,31093,115959,62,296,497,1728,167,593,2403,6232,3133,8853,352,1134,1097,2519,3150,6874,4601,10531,7727,19382,1137,2444,59537,177124
LGA16350,15792,31854,546,3219,2243,10899,986,4678,12888,50983,16663,69786,1492,6481,1612,5619,5649,18696,8757,30797,25421,100584,163,798,613,2284,412,1441,3932,11056,5118,15582,415,1352,759,1751,3766,8423,4944,11528,10063,27106,784,1685,52054,161230
LGA16380,10571,20982,113,607,861,3951,211,925,3824,15229,5002,20720,256,1043,576,1856,1355,4158,2188,7056,7192,27772,36,149,265,930,106,404,1435,3859,1844,5349,116,350,359,760,1213,2577,1686,3688,3534,9039,222,455,21516,58247
LGA16400,8356,16558,139,766,719,3376,268,1185,3694,14511,4815,19846,369,1545,518,1728,1548,4801,2430,8071,7243,27915,40,180,206,726,136,451,1284,3547,1660,4914,109,351,221,458,1113,2367,1439,3167,3095,8084,199,412,18893,52959
LGA16490,5426,10707,94,539,745,3428,183,828,3879,14845,4907,19643,368,1498,640,2133,1187,3795,2197,7432,7107,27071,26,129,110,358,66,204,859,2223,1061,2918,77,250,194,419,711,1538,981,2203,2044,5124,172,361,14744,43268
LGA16550,12320,24354,99,514,1232,5462,186,828,8596,32157,10115,38953,709,2871,1356,4700,2413,7615,4479,15182,14593,54141,35,164,215,688,99,330,1475,3665,1824,4848,185,563,621,1405,1948,4178,2760,6149,4579,10996,1005,2116,32493,91610
LGA16610,2489,4973,43,236,227,1122,101,486,1064,4335,1436,6177,96,385,152,479,459,1415,701,2282,2141,8462,19,101,81,304,48,204,487,1473,645,2081,35,111,83,181,412,886,529,1180,1178,3260,107,225,5912,16926
LGA16650,10439,21159,191,1106,1084,5103,280,1290,7022,26505,8579,34001,730,3107,994,3459,2642,8505,4362,15073,12949,49076,42,207,194,674,107,366,1232,3238,1574,4478,205,675,479,1089,2004,4396,2689,6159,4267,10639,723,1570,28370,82443
LGA16700,11001,22012,117,624,1235,5538,150,670,8515,31690,10010,38520,869,3615,1509,5279,2583,8309,4969,17197,14982,55716,15,75,196,639,61,184,1106,2780,1375,3679,173,542,548,1266,1706,3773,2430,5578,3804,9255,739,1565,30525,88550
LGA16900,6584,13139,169,955,771,3593,316,1432,4121,16271,5379,22249,541,2279,650,2190,1961,6291,3152,10762,8532,33010,63,280,231,840,166,601,1439,3939,1900,5661,145,449,318,724,1247,2713,1713,3885,3614,9552,224,468,18954,56172
LGA16950,13101,25916,175,971,841,3915,321,1433,4702,18533,6032,24854,371,1510,640,2044,1895,5874,2905,9437,8936,34293,60,262,283,1005,190,694,1838,5116,2373,7072,150,452,381,807,1624,3441,2157,4700,4531,11774,305,632,26871,72615
LGA17000,2154,4234,33,200,308,1418,94,422,1495,5948,1933,7996,154,627,206,686,558,1758,918,3068,2854,11060,14,62,62,231,37,130,382,1075,493,1496,37,105,74,165,275,584,379,852,878,2347,76,154,5962,17795
LGA17040,2304,4500,33,174,190,855,39,165,1122,4436,1380,5632,84,337,159,498,344,1042,584,1880,1970,7507,7,27,40,135,21,65,271,738,337,967,20,53,74,156,267,559,360,767,691,1735,52,103,5021,13854
LGA17080,1772,3475,21,131,153,652,44,197,764,3078,984,4059,48,176,103,313,248,776,396,1264,1378,5323,7,35,41,160,16,70,235,632,298,893,18,63,37,72,210,442,270,580,570,1476,47,102,3762,10373
LGA17100,3102,6320,64,369,484,2218,62,287,2550,9658,3161,12526,391,1687,635,2271,979,3197,2004,7154,5162,19686,9,57,79,286,30,94,343,901,461,1326,69,236,241,568,597,1325,899,2123,1359,3458,290,633,9919,30088
