LGA_CODE_2016,Count_home_Census_Nt_0_14_yr,Count_hom_Census_Nt_15_24_yr,Count_hom_Census_Nt_25_34_yr,Count_hom_Census_Nt_35_44_yr,Count_hom_Census_Nt_45_54_yr,Count_hom_Census_Nt_55_64_yr,Count_hom_Census_Nt_65_74_yr,Count_hom_Census_Nt_75_84_yr,Count_hom_Census_Nt_85ov,Counted_home_Census_Night_Tot,VisSame_SA2_0_14_yr,VisSame_SA2_15_24_yr,VisSame_SA2_25_34_yr,VisSame_SA2_35_44_yr,VisSame_SA2_45_54_yr,VisSame_SA2_55_64_yr,VisSame_SA2_65_74_yr,VisSame_SA2_75_84_yr,VisSame_SA2_85ov,VisSame_SA2_Total,VisDiff_SA2_NSW_0_14_yr,VisDiff_SA2_NSW_15_24_yr,VisDiff_SA2_NSW_25_34_yr,VisDiff_SA2_NSW_35_44_yr,VisDiff_SA2_NSW_45_54_yr,VisDiff_SA2_NSW_55_64_yr,VisDiff_SA2_NSW_65_74_yr,VisDiff_SA2_NSW_75_84_yr,VisDiff_SA2_NSW_85ov,VisDiff_SA2_NSW_Total,VisDiff_SA2_VIC_0_14_yr,VisDiff_SA2_VIC_15_24_yr,VisDiff_SA2_VIC_25_34_yr,VisDiff_SA2_VIC_35_44_yr,VisDiff_SA2_VIC_45_54_yr,VisDiff_SA2_VIC_55_64_yr,VisDiff_SA2_VIC_65_74_yr,VisDiff_SA2_VIC_75_84_yr,VisDiff_SA2_VIC_85ov,VisDiff_SA2_VIC_Total,VisDiff_SA2_QLD_0_14_yr,VisDiff_SA2_QLD_15_24_yr,VisDiff_SA2_QLD_25_34_yr,VisDiff_SA2_QLD_35_44_yr,VisDiff_SA2_QLD_45_54_yr,VisDiff_SA2_QLD_55_64_yr,VisDiff_SA2_QLD_65_74_yr,VisDiff_SA2_QLD_75_84_yr,VisDiff_SA2_QLD_85ov,VisDiff_SA2_QLD_Total,VisDiff_SA2_SA_0_14_yr,VisDiff_SA2_SA_15_24_yr,VisDiff_SA2_SA_25_34_yr,VisDiff_SA2_SA_35_44_yr,VisDiff_SA2_SA_45_54_yr,VisDiff_SA2_SA_55_64_yr,VisDiff_SA2_SA_65_74_yr,VisDiff_SA2_SA_75_84_yr,VisDiff_SA2_SA_85ov,VisDiff_SA2_SA_Total,VisDiff_SA2_WA_0_14_yr,VisDiff_SA2_WA_15_24_yr,VisDiff_SA2_WA_25_34_yr,VisDiff_SA2_WA_35_44_yr,VisDiff_SA2_WA_45_54_yr,VisDiff_SA2_WA_55_64_yr,VisDiff_SA2_WA_65_74_yr,VisDiff_SA2_WA_75_84_yr,VisDiff_SA2_WA_85ov,VisDiff_SA2_WA_Total,VisDiff_SA2_TAS_0_14_yr,VisDiff_SA2_TAS_15_24_yr,VisDiff_SA2_TAS_25_34_yr,VisDiff_SA2_TAS_35_44_yr,VisDiff_SA2_TAS_45_54_yr,VisDiff_SA2_TAS_55_64_yr,VisDiff_SA2_TAS_65_74_yr,VisDiff_SA2_TAS_75_84_yr,VisDiff_SA2_TAS_85ov,VisDiff_SA2_TAS_Total,VisDiff_SA2_NT_0_14_yr,VisDiff_SA2_NT_15_24_yr,VisDiff_SA2_NT_25_34_yr,VisDiff_SA2_NT_35_44_yr,VisDiff_SA2_NT_45_54_yr,VisDiff_SA2_NT_55_64_yr,VisDiff_SA2_NT_65_74_yr,VisDiff_SA2_NT_75_84_yr,VisDiff_SA2_NT_85ov,VisDiff_SA2_NT_Total,VisDiff_SA2_ACT_0_14_yr,VisDiff_SA2_ACT_15_24_yr,VisDiff_SA2_ACT_25_34_yr,VisDiff_SA2_ACT_35_44_yr,VisDiff_SA2_ACT_45_54_yr,VisDiff_SA2_ACT_55_64_yr,VisDiff_SA2_ACT_65_74_yr,VisDiff_SA2_ACT_75_84_yr,VisDiff_SA2_ACT_85ov,VisDiff_SA2_ACT_Total,VisDiff_SA2_OT_0_14_yr,VisDiff_SA2_OT_15_24_yr,VisDiff_SA2_OT_25_34_yr,VisDiff_SA2_OT_35_44_yr,VisDiff_SA2_OT_45_54_yr,VisDiff_SA2_OT_55_64_yr,VisDiff_SA2_OT_65_74_yr,VisDiff_SA2_OT_75_84_yr,VisDiff_SA2_OT_85ov,VisDiff_SA2_OT_Total,VisDiff_SA2_Tot_0_14_yr,VisDiff_SA2_Tot_15_24_yr,VisDiff_SA2_Tot_25_34_yr,VisDiff_SA2_Tot_35_44_yr,VisDiff_SA2_Tot_45_54_yr,VisDiff_SA2_Tot_55_64_yr,VisDiff_SA2_Tot_65_74_yr,VisDiff_SA2_Tot_75_84_yr,VisDiff_SA2_Tot_85ov,VisDiff_SA2_Tot_Total,Vis_Tot_Visitrs_0_14_yr,Vis_Tot_Visitrs_15_24_yr,Vis_Tot_Visitrs_25_34_yr,Vis_Tot_Visitrs_35_44_yr,Vis_Tot_Visitrs_45_54_yr,Vis_Tot_Visitrs_55_64_yr,Vis_Tot_Visitrs_65_74_yr,Vis_Tot_Visitrs_75_84_yr,Vis_Tot_Visitrs_85ov,Vis_Tot_Visitrs_Total,Total_0_14_yr,Total_15_24_yr,Total_25_34_yr,Total_35_44_yr,Total_45_54_yr,Total_55_64_yr,Total_65_74_yr,Total_75_84_yr,Total_85ov,Total_Total
LGA10850,1469,714,662,825,977,939,701,403,159,6852,5,3,0,0,0,0,0,0,0,14,34,30,31,20,26,23,19,5,3,186,3,0,0,0,0,3,0,0,0,9,0,0,0,5,0,4,0,0,0,10,0,0,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,29,37,24,28,35,16,5,3,214,39,32,36,24,28,35,22,6,3,227,1509,745,693,856,1008,971,722,415,160,7077
LGA10900,13732,7943,6558,9298,10489,11081,8633,3893,1515,73142,12,17,12,7,10,12,9,8,0,82,216,370,401,261,274,353,335,136,85,2437,10,10,13,18,30,22,9,4,0,109,23,14,26,30,18,35,28,0,0,183,0,0,3,11,3,10,0,0,0,21,0,3,21,8,6,9,0,3,0,49,0,0,0,0,0,9,5,0,0,19,0,0,0,3,0,0,0,0,0,4,0,3,5,3,3,7,3,0,0,26,0,0,0,0,0,0,0,0,0,0,252,397,466,341,338,442,394,146,84,2853,260,412,479,346,349,453,402,155,86,2936,13999,8354,7040,9641,10836,11533,9028,4041,1601,76076
LGA10950,518,281,288,276,364,252,262,179,61,2467,0,3,3,0,0,3,0,0,0,7,6,25,42,21,23,29,24,4,0,179,3,0,0,0,3,0,0,3,0,15,0,5,6,0,8,5,0,3,0,18,0,0,0,0,0,0,7,0,0,7,0,0,0,4,0,4,0,0,0,8,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,13,29,55,35,35,36,29,6,0,239,13,32,57,35,35,37,29,6,0,254,524,314,341,305,399,293,292,185,59,2716
LGA11100,7782,6200,8391,6921,5703,4293,3159,1998,732,45172,11,6,10,8,5,6,3,3,0,59,122,155,292,203,234,168,140,55,14,1382,6,11,46,54,68,43,14,4,0,240,0,18,38,49,41,34,18,0,0,205,0,7,5,11,27,14,4,0,0,71,0,4,16,39,35,11,3,0,0,109,4,0,3,8,13,6,7,0,0,50,0,0,6,3,5,0,3,0,0,16,0,8,5,15,10,9,3,0,0,48,0,0,0,0,0,0,0,0,0,0,137,214,412,379,430,280,181,58,18,2119,142,221,425,389,440,291,188,60,16,2176,7926,6422,8815,7309,6146,4576,3349,2062,750,47344
LGA11150,589,241,334,273,359,289,197,99,38,2413,5,3,5,4,0,3,0,0,0,24,22,38,56,39,66,81,62,7,0,386,6,0,0,3,7,31,51,13,0,113,0,0,5,3,19,15,16,0,0,53,3,0,0,9,0,11,14,3,0,31,0,0,0,3,5,8,3,0,0,20,0,0,0,0,0,7,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,36,42,61,61,102,153,149,19,3,614,42,46,70,59,102,155,146,19,3,636,624,283,402,334,463,439,345,120,34,3044
LGA11200,365,194,218,147,238,197,101,45,21,1519,0,0,0,4,3,0,0,0,0,9,9,16,13,9,32,29,18,3,0,133,0,0,0,0,0,0,5,3,0,6,3,0,0,0,4,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,16,15,9,34,28,24,14,0,154,13,20,15,13,39,30,24,14,0,168,375,213,235,161,278,225,121,54,21,1689
LGA11250,2816,1706,1901,1714,2170,2447,1877,1147,551,16337,11,13,8,5,4,11,4,9,0,52,79,149,140,89,139,145,132,47,16,946,4,8,20,10,33,61,80,17,3,230,3,5,13,7,14,16,10,0,0,60,3,14,23,23,38,48,55,8,4,222,3,0,0,5,3,0,30,0,0,38,0,0,0,0,4,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,7,0,0,0,11,0,0,0,0,0,0,0,0,0,0,88,178,196,138,230,285,315,69,26,1528,102,191,205,147,234,289,320,75,26,1586,2915,1897,2105,1865,2406,2740,2197,1229,579,17923
LGA11300,4706,6415,7573,4247,4211,3491,2407,1733,923,35710,0,3,8,0,3,0,0,0,0,23,93,141,233,100,110,115,63,57,30,938,0,7,5,4,0,3,0,4,0,24,0,3,8,3,0,6,5,0,0,35,0,0,0,0,0,0,0,0,0,7,0,3,0,0,4,0,0,0,0,5,0,0,3,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,93,162,252,103,118,129,68,57,30,1020,97,162,259,103,124,128,68,61,30,1043,4800,6579,7837,4354,4334,3625,2480,1792,956,36753
LGA11350,5145,2602,3088,4132,4589,5054,3137,1203,637,29582,7,7,9,3,10,10,0,3,0,61,119,165,264,189,226,285,208,67,40,1554,60,36,57,97,54,125,213,63,16,717,47,47,121,93,70,109,89,27,3,607,7,4,12,5,21,14,39,4,5,118,7,10,7,4,8,18,4,0,0,64,0,5,7,3,10,22,24,3,0,80,3,3,3,0,0,3,0,0,0,8,3,3,0,3,3,3,12,8,0,34,0,0,0,0,0,0,0,0,0,0,248,272,466,398,393,580,589,171,66,3183,255,277,478,406,407,594,591,178,70,3249,5407,2882,3564,4531,4992,5642,3730,1382,700,32831
LGA11400,2819,1287,1113,1485,1777,1679,1413,741,291,12612,5,3,3,0,5,4,4,3,0,23,35,58,51,31,47,64,51,29,20,378,0,0,0,0,0,4,3,3,0,13,0,3,3,0,0,5,3,0,0,10,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,3,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,35,69,57,38,44,76,55,31,20,417,39,69,61,41,50,79,60,31,20,447,2857,1355,1172,1526,1830,1753,1471,773,307,13051
LGA11450,18350,9789,11500,11628,9547,7104,4746,2186,919,75768,15,10,5,3,7,4,3,3,3,51,219,297,244,203,138,166,136,70,36,1507,5,0,3,5,10,3,8,0,0,31,8,9,6,12,9,17,3,5,0,67,0,0,0,0,4,5,3,0,0,19,0,0,3,0,0,3,0,0,0,8,3,0,0,3,3,3,0,0,0,12,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,230,308,265,220,166,195,151,79,37,1655,241,322,269,225,166,200,155,80,46,1705,18594,10106,11772,11854,9712,7305,4899,2269,965,77475
LGA11500,33216,21256,22361,20475,19052,17907,11567,4583,1585,151999,46,49,18,26,13,18,11,9,3,207,558,757,847,534,447,399,298,186,100,4128,11,8,25,17,21,9,4,4,0,102,13,26,28,19,33,33,13,4,0,159,0,3,10,5,7,11,0,0,0,32,3,7,0,9,11,9,4,0,0,47,0,0,0,0,0,3,3,0,0,6,3,0,3,0,0,0,0,0,0,11,0,7,4,9,3,3,0,0,0,22,0,0,0,0,0,0,0,0,0,0,579,807,915,584,530,464,321,204,104,4505,626,856,939,611,545,483,335,215,108,4709,33842,22119,23296,21089,19594,18385,11899,4792,1692,156713
LGA11520,14041,9926,15998,12900,10854,8839,6527,3803,1914,84810,3,3,14,6,15,3,4,3,6,64,163,250,392,271,262,225,219,207,144,2139,0,6,9,4,6,3,4,0,3,34,0,3,13,4,7,20,16,4,0,68,0,5,5,5,3,4,3,0,0,23,4,0,7,12,3,6,9,0,0,35,0,0,5,0,0,0,0,3,0,15,0,0,0,0,0,0,0,0,0,3,3,5,8,3,3,6,6,0,0,37,0,0,0,0,0,0,0,0,0,0,170,276,438,299,287,271,259,221,147,2355,169,275,453,305,297,275,263,221,153,2419,14213,10203,16455,13208,11147,9115,6793,4024,2066,87228
LGA11570,69887,45135,51249,45577,42697,35855,24002,15280,7112,336805,81,58,82,57,56,53,48,33,19,498,937,997,1590,980,816,759,542,381,235,7232,17,16,26,31,30,29,26,10,3,190,7,17,39,44,66,37,26,11,3,248,13,3,17,6,18,10,13,0,0,81,3,8,15,7,14,7,3,9,3,61,0,0,4,3,11,3,7,0,0,29,0,3,4,10,0,4,0,0,0,17,7,16,8,11,9,12,4,0,0,69,0,0,0,0,0,0,0,0,0,0,985,1056,1701,1095,954,871,617,412,246,7938,1069,1117,1785,1152,1014,919,668,447,266,8430,70960,46254,53032,46732,43712,36779,24668,15726,7374,345238
LGA11600,495,261,338,300,376,347,193,131,61,2500,3,0,0,0,0,0,0,0,0,9,15,35,37,21,8,20,18,5,0,158,0,16,0,5,0,4,8,3,0,39,0,0,0,0,0,0,4,0,0,4,3,0,0,0,0,3,7,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,49,42,28,11,24,35,13,0,223,22,49,44,28,15,26,36,13,0,235,518,312,384,328,395,373,228,141,56,2738
LGA11650,58947,36046,33283,37760,41689,40046,34132,20552,9767,312210,57,64,37,37,58,49,49,35,20,406,1158,1596,1572,1092,1083,1178,989,583,384,9627,33,29,39,44,50,58,69,16,0,342,50,42,64,73,83,83,59,23,3,479,15,7,15,18,12,14,28,3,0,115,6,10,19,26,28,33,11,5,0,146,3,6,4,3,11,12,7,9,3,55,3,4,3,5,11,0,6,0,0,34,30,18,24,22,12,23,10,3,0,141,0,0,0,0,0,0,4,0,0,8,1304,1708,1749,1274,1296,1405,1184,640,388,10948,1361,1771,1784,1311,1350,1452,1232,676,412,11351,60304,37815,35066,39071,43039,41497,35361,21224,10184,323565
LGA11700,330,205,221,190,226,245,167,65,19,1664,5,0,3,3,0,0,0,0,0,17,14,39,44,23,37,39,21,7,0,219,0,3,9,3,4,7,20,0,0,42,0,11,4,3,0,3,8,0,0,28,0,3,8,7,9,3,5,0,0,36,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,20,60,55,37,51,50,64,13,0,336,26,60,63,39,51,50,64,9,0,359,358,268,280,231,272,296,226,74,19,2024
LGA11720,11017,6496,6741,6553,6659,6705,5169,2428,995,52756,16,13,6,16,8,7,5,3,3,84,295,350,387,249,284,278,223,106,55,2225,4,4,5,7,15,5,17,6,0,64,6,7,33,20,44,35,24,3,0,173,0,0,3,0,4,8,7,0,0,28,0,0,14,0,5,3,3,0,0,25,0,3,0,0,0,6,8,0,0,16,0,0,3,3,0,0,0,0,0,7,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,301,362,442,281,361,342,287,116,55,2544,316,375,448,296,373,350,297,116,53,2627,11334,6869,7193,6849,7035,7048,5466,2547,1055,55385
