LGA_CODE_2016,Median_age_persons,Median_mortgage_repay_monthly,Median_tot_prsnl_inc_weekly,Median_rent_weekly,Median_tot_fam_inc_weekly,Average_num_psns_per_bedroom,Median_tot_hhd_inc_weekly,Average_household_size
LGA13850,46,982,587,150,1344,0.7,1075,2.3
LGA13910,44,1200,538,200,1261,0.7,976,2.4
LGA14000,40,2400,793,500,2372,0.9,2121,2.9
LGA14100,43,3033,977,490,3301,0.9,2467,2.7
LGA14170,36,2600,957,480,2498,1,2048,2.4
LGA14200,42,1200,509,210,1181,0.8,950,2.4
LGA14300,40,1200,600,200,1410,0.8,1139,2.5
LGA14350,47,1300,474,240,1107,0.8,894,2.4
LGA14400,47,2000,683,395,1820,0.8,1509,2.5
LGA14500,41,3000,942,650,3046,0.9,2640,2.9
LGA14550,50,1100,460,200,1076,0.8,832,2.2
LGA14600,40,900,556,150,1279,0.8,1034,2.4
LGA14650,42,1733,609,320,1610,0.8,1313,2.5
LGA14700,36,2600,1149,520,2971,1,2376,2.5
LGA14750,40,1300,607,195,1456,0.8,1190,2.5
LGA14850,43,1430,550,260,1351,0.8,1067,2.4
LGA14870,45,1387,510,230,1328,0.8,984,2.3
LGA14900,33,2123,584,370,1663,1,1550,3.2
LGA14920,45,1153,533,180,1287,0.7,1032,2.3
LGA14950,46,1000,585,150,1408,0.7,1114,2.5
LGA15050,36,1733,644,320,1664,0.8,1415,2.7
LGA15240,52,1324,476,250,1108,0.7,887,2.2
LGA15270,42,1690,547,270,1433,0.8,1131,2.4
LGA15300,38,1300,669,170,1480,0.8,1240,2.5
LGA15350,42,3000,1295,560,3671,0.9,2522,2.4
LGA15520,49,1300,558,200,1333,0.7,1061,2.3
LGA15560,41,900,659,150,1461,0.8,1197,2.5
LGA15650,35,1733,640,250,1665,0.8,1346,2.5
LGA15700,51,1300,467,250,1080,0.8,835,2.3
LGA15750,40,1395,632,200,1531,0.8,1242,2.5
LGA15800,44,1007,575,170,1349,0.7,1030,2.3
LGA15850,42,1100,586,185,1358,0.8,1078,2.5
LGA15900,37,1768,660,340,1778,0.8,1368,2.4
LGA15950,37,2600,1386,575,3210,1,2360,2
LGA15990,40,2800,916,565,2528,0.9,2178,2.7
LGA16100,45,1452,611,210,1509,0.7,1239,2.4
LGA16150,37,1629,667,270,1655,0.8,1295,2.5
LGA16200,41,1300,554,200,1412,0.8,1088,2.4
LGA16260,34,2167,722,440,1933,1,1759,2.8
LGA16350,34,2000,728,370,1858,0.8,1658,2.9
LGA16380,48,1671,540,310,1300,0.8,1042,2.3
LGA16400,45,1733,571,305,1431,0.8,1180,2.5
LGA16490,38,2100,933,300,2303,0.8,1882,2.6
LGA16550,34,2600,834,550,2421,1,1916,2.5
LGA16610,44,1300,491,250,1191,0.8,953,2.4
LGA16650,35,2167,666,460,1746,1.1,1575,2.7
LGA16700,36,2200,738,460,2106,1,1786,2.7
LGA16900,39,1846,579,340,1562,0.8,1343,2.7
LGA16950,48,1517,511,280,1226,0.7,992,2.3
LGA17000,36,1950,684,280,1981,0.8,1682,2.7
LGA17040,43,1300,675,220,1569,0.8,1200,2.3
LGA17080,45,1300,577,180,1418,0.8,1120,2.3
LGA17100,32,2167,682,470,1894,1.1,1781,3
LGA17150,40,2427,837,450,2312,0.9,1979,2.7
LGA17200,32,2499,953,565,2524,1.2,1926,2
LGA17310,40,1500,633,260,1446,0.8,1180,2.5
LGA17350,46,1148,546,175,1329,0.7,1033,2.4
LGA17400,53,1079,454,180,1015,0.7,767,2.1
LGA17420,38,2500,827,562,2464,0.8,2363,3.2
LGA17550,47,1733,539,340,1332,0.8,1064,2.4
LGA17620,41,1688,630,220,1589,0.8,1242,2.4
LGA17640,48,1400,609,190,1498,0.7,1161,2.4
LGA17650,46,1346,552,190,1342,0.8,1058,2.4
LGA17750,35,1517,696,265,1682,0.8,1354,2.5
LGA17850,48,1083,577,148,1329,0.7,1054,2.3
LGA17900,43,750,464,145,1039,0.9,806,2.3
LGA17950,43,899,649,144,1468,0.7,1104,2.4
LGA18020,49,923,479,160,1103,0.7,878,2.3
LGA18050,35,3000,1151,622,2917,1,2308,2.4
LGA18100,51,910,492,135,1193,0.7,904,2.2
LGA18200,44,1200,555,160,1308,0.8,1052,2.4
LGA18230,37,1500,660,250,1525,0.8,1272,2.5
LGA18250,37,2877,946,580,2671,1,2271,2.7
LGA18350,47,1842,645,350,1639,0.7,1335,2.4
LGA18400,37,2167,738,365,2032,0.8,1871,3
LGA18450,39,1950,584,320,1710,0.9,1339,2.6
LGA18500,39,3200,1365,650,3626,0.9,2687,2.3
LGA18710,42,2000,869,300,2214,0.8,1879,2.7
LGA19399,41,1083,717,110,1427,0.8,1270,2.5
LGA19499,39,0,405,0,0,0,0,0
LGA19799,58,0,540,0,0,0,0,0
LGA20110,49,1300,562,200,1322,0.7,1002,2.2
LGA20260,46,1022,556,185,1263,0.7,991,2.3
LGA20570,38,1350,590,250,1489,0.8,1160,2.4
LGA20660,39,1950,728,350,2033,0.8,1655,2.6
LGA20740,50,1315,507,250,1192,0.7,922,2.2
LGA20830,42,1465,585,250,1462,0.8,1196,2.5
LGA20910,44,2500,897,450,2765,0.8,2145,2.6
LGA21010,49,1192,537,200,1232,0.7,946,2.2
LGA21110,38,2500,869,406,2652,0.9,2083,2.6
LGA21180,35,1599,487,300,1358,0.9,1263,3
LGA21270,51,693,473,120,1110,0.7,839,2.2
LGA21370,45,1300,561,200,1349,0.8,1081,2.4
LGA21450,34,1733,680,320,1700,0.8,1497,2.8
LGA21610,34,1733,640,340,1655,0.9,1554,3.1
LGA21670,50,975,452,195,1001,0.7,775,2.2
LGA21750,45,1300,574,210,1362,0.8,1057,2.3
LGA21830,46,1083,542,170,1301,0.7,1043,2.4
LGA21890,36,1950,650,339,1784,0.9,1423,2.5
LGA22110,50,1293,506,220,1192,0.7,935,2.2
LGA22170,38,1621,660,306,1649,0.8,1331,2.5
LGA22250,49,977,498,150,1188,0.7,908,2.2
LGA22310,37,2143,780,390,2248,0.9,1741,2.5
LGA22410,47,1083,536,182,1362,0.7,1043,2.3
LGA22490,39,1550,628,260,1630,0.8,1448,2.8
LGA22620,39,1387,604,250,1452,0.8,1184,2.4
LGA22670,35,1600,475,300,1260,1,1168,2.9
LGA22750,40,1517,600,280,1576,0.8,1244,2.4
LGA22830,39,1300,588,220,1417,0.8,1163,2.5
LGA22910,50,1300,532,235,1287,0.8,996,2.2
LGA22980,50,780,497,140,1217,0.7,907,2.2
LGA23110,38,1900,704,330,1921,0.9,1567,2.6
LGA23190,42,1200,617,200,1408,0.7,1110,2.3
LGA23270,33,1650,529,320,1473,0.9,1379,3.1
LGA23350,46,1400,641,210,1540,0.8,1265,2.4
LGA23430,40,1993,704,351,1938,0.9,1537,2.5
LGA23670,39,1733,664,351,1820,0.8,1561,2.7
LGA23810,41,1200,544,200,1415,0.8,1078,2.3
LGA23940,51,809,467,125,1116,0.8,826,2.2
LGA24130,42,1733,702,315,1932,0.8,1638,2.7
LGA24210,43,2050,629,415,1895,0.8,1642,2.8
LGA24250,48,1352,580,231,1338,0.7,1062,2.3
LGA24330,33,2000,703,330,1913,1,1551,2.5
LGA24410,38,1800,696,341,1895,0.8,1544,2.6
LGA24600,28,2000,642,450,2062,1.1,1354,2
LGA24650,33,1704,658,300,1683,0.9,1542,3
LGA24780,40,1200,555,210,1340,0.8,1064,2.4
LGA24850,37,1582,648,265,1620,0.8,1391,2.7
LGA24900,47,1235,524,200,1283,0.8,1014,2.4
LGA24970,37,2000,569,391,1809,0.9,1512,2.7
LGA25060,38,2000,744,350,2098,0.9,1635,2.5
LGA25150,40,1559,635,260,1670,0.8,1391,2.6
LGA25250,34,1950,680,355,1843,0.9,1503,2.5
LGA25340,46,1733,630,310,1621,0.8,1276,2.4
LGA25430,49,1300,550,250,1311,0.8,1002,2.2
LGA25490,43,1300,620,180,1486,0.8,1225,2.5
LGA25620,48,1400,553,220,1388,0.8,1071,2.3
LGA25710,41,2000,784,369,2307,0.8,2098,3
LGA25810,48,953,513,170,1257,0.7,931,2.2
LGA25900,36,2167,1087,400,2559,1,1842,2
LGA25990,50,1066,472,160,1148,0.7,876,2.3
LGA26080,60,1623,671,300,1571,0.6,1173,2
LGA26170,47,1300,537,214,1320,0.7,1039,2.4
LGA26260,46,1082,576,175,1370,0.7,1043,2.3
LGA26350,35,2200,1042,400,2680,1,1944,2.2
LGA26430,52,1170,546,190,1293,0.7,962,2.2
LGA26490,42,1842,722,363,1876,0.8,1571,2.6
LGA26610,40,1130,580,185,1358,0.8,1094,2.4
LGA26670,50,1083,535,150,1340,0.7,1043,2.3
LGA26700,45,1300,595,210,1386,0.7,1085,2.3
LGA26730,40,1430,618,250,1503,0.8,1182,2.4
LGA26810,43,1300,562,210,1409,0.7,1101,2.3
LGA26890,48,657,555,80,1302,0.7,987,2.2
LGA26980,38,2000,619,376,1916,0.9,1507,2.6
LGA27070,34,1798,591,331,1569,0.9,1444,3
LGA27170,36,1430,674,250,1550,0.8,1273,2.5
LGA27260,32,1733,685,320,1714,0.9,1620,3.1
LGA27350,33,2167,1039,421,2509,1,1958,2.1
LGA27450,40,1733,667,325,1770,0.8,1501,2.7
LGA27630,50,665,491,130,1179,0.7,885,2.2
LGA29399,31,775,741,285,1430,1,1087,2.1
LGA29499,34,0,398,0,0,0,0,0
LGA29799,49,0,3000,0,0,0,0,0
LGA30250,28,0,260,100,678,1.4,992,4.2
LGA30300,40,1161,662,150,1485,0.8,1230,2.5
LGA30370,37,1517,714,190,1895,0.8,1575,2.6
LGA30410,42,1040,684,100,1514,0.8,1149,2.3
LGA30450,46,338,774,82,1687,0.7,1187,1.9
LGA30760,47,850,548,120,1266,0.7,978,2.3
LGA30900,34,867,753,85,1553,0.8,1271,2.3
LGA31000,35,2000,770,390,2091,0.8,1746,2.6
LGA31750,40,715,883,88,1430,0.8,1359,2.1
LGA31820,45,1322,490,260,1185,0.8,973,2.4
LGA31900,44,1300,617,210,1489,0.8,1177,2.4
LGA31950,38,0,742,135,1458,1.1,1047,2.3
LGA32080,37,1665,693,300,1605,0.8,1336,2.5
LGA32250,38,999,677,150,1544,1,1347,2.6
LGA32260,44,1300,567,230,1305,0.8,1068,2.4
LGA32270,33,1842,843,180,2106,0.8,1823,2.7
LGA32310,40,1300,522,200,1323,0.8,1047,2.4
LGA32330,21,0,315,100,766,1.2,775,3.9
LGA32450,34,1510,1022,150,2140,0.8,1646,2.5
LGA32500,41,1255,579,163,1341,1,1038,2.3
LGA32600,40,0,579,133,1274,0.9,1100,2.4
LGA32750,30,1500,754,133,2041,0.8,1767,2.5
LGA32770,21,0,298,120,745,1.7,1082,4.5
LGA32810,43,1560,676,280,1460,0.9,1169,2.3
LGA33100,45,664,521,95,1192,0.9,865,2.2
LGA33200,44,780,600,120,1331,0.7,1109,2.3
LGA33220,48,1300,468,265,1090,0.8,906,2.3
LGA33360,35,1950,678,250,1918,0.8,1586,2.6
LGA33430,38,1950,666,390,1657,0.8,1404,2.6
LGA33610,40,1300,653,200,1461,0.8,1212,2.4
LGA33620,46,1300,479,250,1132,0.8,939,2.4
LGA33800,50,1300,538,180,1349,0.8,1041,2.3
LGA33830,26,1215,321,110,759,1.1,777,3.4
LGA33960,32,1600,667,310,1581,0.8,1410,2.8
LGA33980,32,1521,1030,90,2365,0.8,2138,2.7
LGA34420,29,0,342,65,841,1.2,944,3.4
LGA34530,42,1875,618,300,1597,0.8,1300,2.5
LGA34570,26,0,332,109,810,1.3,900,3.7
LGA34580,39,1517,535,280,1376,0.8,1198,2.7
LGA34590,34,1733,635,335,1546,0.8,1416,2.9
LGA34710,40,1300,726,180,1609,0.8,1276,2.3
LGA34770,37,1950,698,277,1774,0.8,1456,2.5
LGA34800,39,669,834,68,1537,0.8,1135,2.4
LGA34830,27,0,365,122,1015,1,962,3.3
LGA34860,36,1400,741,200,1688,0.8,1369,2.5
LGA34880,43,1517,541,220,1274,0.9,1045,2.5
LGA35010,38,1781,652,340,1638,0.8,1413,2.7
LGA35250,27,0,352,120,762,1.3,979,3.7
LGA35300,31,1885,997,260,2382,0.9,2132,2.6
LGA35600,39,997,672,158,1490,0.8,1115,2.4
LGA35670,25,0,280,120,776,1.2,826,3.7
LGA35740,48,1733,595,380,1403,0.8,1184,2.4
LGA35760,46,1083,501,157,1159,0.8,917,2.3
LGA35780,22,0,468,120,1064,1.3,1158,3.8
LGA35790,24,0,303,120,927,1.5,1119,4.3
LGA35800,46,498,529,100,1235,0.8,874,2.2
LGA36070,31,867,337,90,747,1.1,771,3.1
LGA36150,41,723,692,120,1449,0.7,1065,2.3
LGA36250,41,1950,686,386,1815,0.8,1521,2.6
LGA36300,35,710,655,80,1402,0.8,1183,2.3
LGA36370,36,1517,626,270,1539,0.8,1255,2.5
LGA36510,44,1670,569,290,1417,0.8,1222,2.6
LGA36580,43,1500,512,275,1256,0.8,1089,2.6
LGA36630,45,1159,478,220,1143,0.8,925,2.4
LGA36660,45,1300,506,230,1207,0.8,973,2.4
LGA36720,43,1800,615,370,1491,0.8,1275,2.5
LGA36820,47,1352,517,240,1218,0.8,977,2.4
LGA36910,38,1517,642,280,1547,0.8,1269,2.5
LGA36950,28,1705,740,151,1919,1.2,1837,3.2
LGA36960,24,0,373,115,856,1.1,929,3.8
LGA37010,34,1733,703,300,1705,0.8,1424,2.6
LGA37300,31,2200,1320,450,2777,1,2484,2.9
LGA37310,37,1400,621,200,1467,0.8,1209,2.5
LGA37340,38,1733,685,270,1481,0.8,1228,2.4
LGA37400,46,1000,655,100,1413,0.8,1067,2.1
LGA37550,23,0,319,120,716,1.2,740,3.5
LGA37570,30,0,294,100,682,1.1,811,3.3
LGA37600,23,0,288,130,869,1.6,1129,4.8
LGA39499,45,0,407,0,0,0,0,0
LGA39799,56,0,606,0,0,0,0,0
LGA40070,30,1733,553,375,2026,0.9,1266,1.9
LGA40120,44,1733,741,302,2026,0.8,1701,2.7
LGA40220,51,1343,522,250,1226,0.7,992,2.3
LGA40250,28,0,283,75,734,1.3,1150,3.8
LGA40310,44,1473,646,250,1596,0.8,1272,2.5
LGA40430,55,875,487,175,1166,0.7,839,2.1
LGA40520,45,1083,533,180,1252,0.8,976,2.3
LGA40700,44,2000,807,320,2320,0.8,1716,2.5
LGA40910,41,1690,588,300,1607,0.8,1249,2.5
LGA41010,39,1300,696,186,1503,0.8,1254,2.4
LGA41060,41,1700,614,288,1607,0.8,1231,2.4
LGA41140,47,1300,605,210,1395,0.7,1129,2.3
LGA41190,44,867,630,150,1384,0.7,1091,2.3
LGA41330,46,556,497,150,1329,0.8,844,2
LGA41560,50,1161,477,230,1128,0.7,878,2.2
LGA41750,46,800,529,97,1189,0.7,924,2.2
LGA41830,50,900,549,154,1283,0.7,951,2.1
LGA41960,49,1200,536,189,1283,0.7,1041,2.3
LGA42030,41,1400,576,260,1422,0.8,1112,2.4
LGA42110,48,867,481,150,1184,0.7,891,2.3
LGA42250,44,1300,665,160,1658,0.8,1383,2.6
LGA42600,46,1772,748,300,1973,0.8,1358,2.2
LGA42750,49,1083,553,170,1213,0.7,947,2.2
LGA43080,48,650,461,100,1181,0.8,871,2.3
LGA43220,40,823,684,85,1453,0.7,1233,2.5
LGA43360,50,1058,575,163,1232,0.7,978,2.2
LGA43650,39,1452,669,250,1715,0.8,1471,2.8
LGA43710,43,1342,672,180,1490,0.8,1276,2.5
LGA43790,46,1040,552,175,1286,0.8,1005,2.3
LGA43920,42,1430,606,230,1498,0.8,1332,2.7
LGA44000,35,0,1375,0,3374,1.5,3374,3.7
LGA44060,39,1625,628,300,1625,0.8,1263,2.4
LGA44210,51,1000,473,175,1096,0.7,839,2.2
LGA44340,42,1842,715,300,2071,0.8,1604,2.6
LGA44550,39,1616,677,310,1729,0.8,1435,2.6
LGA44620,40,1172,589,190,1388,0.8,1052,2.3
LGA44830,53,890,497,150,1217,0.7,940,2.2
LGA45040,41,1183,526,220,1215,0.8,973,2.4
LGA45090,41,1083,655,180,1424,0.8,1203,2.4
LGA45120,48,867,540,151,1304,0.7,1049,2.3
LGA45290,40,1800,681,300,1920,0.8,1307,2.2
LGA45340,40,1447,593,290,1448,0.8,1194,2.5
LGA45400,52,820,513,107,1326,0.7,1003,2.2
LGA45540,54,563,426,140,890,0.7,700,2
LGA45680,32,1300,498,245,1212,0.8,1015,2.6
LGA45890,37,1560,551,268,1428,0.8,1141,2.4
LGA46090,39,1213,604,180,1370,0.8,1103,2.3
LGA46300,40,1300,603,220,1398,0.8,1081,2.3
LGA46450,44,1001,481,170,1229,0.7,901,2.3
LGA46510,37,1863,757,295,2099,0.9,1576,2.5
LGA46670,44,1083,550,175,1256,0.8,1016,2.3
LGA46860,50,1235,634,200,1406,0.6,1055,2.1
LGA46970,30,2000,1547,198,2760,0.8,2477,2.7
LGA47140,35,1357,530,275,1320,0.8,1141,2.6
LGA47290,46,650,604,120,1430,0.7,1155,2.3
LGA47490,45,1083,594,163,1370,0.8,1069,2.3
LGA47630,42,975,652,150,1409,0.7,1165,2.4
LGA47700,41,1517,655,300,1676,0.8,1383,2.5
LGA47800,46,867,499,125,1164,0.7,929,2.3
LGA47910,50,1170,570,170,1296,0.7,966,2.2
LGA47980,41,2000,791,315,2289,0.9,1636,2.4
LGA48050,58,1300,481,255,1065,0.7,835,2.1
LGA48130,44,917,549,180,1289,0.8,1045,2.4
LGA48260,44,2000,796,330,2326,0.8,1703,2.3
LGA48340,46,953,547,150,1326,0.7,1023,2.3
LGA48410,38,1700,614,280,1612,0.9,1221,2.3
LGA48540,40,1235,497,177,1388,0.7,988,2.3
LGA48640,42,800,672,120,1492,0.7,1162,2.3
LGA48750,54,1257,496,231,1189,0.7,923,2.2
LGA48830,55,1000,483,180,1124,0.7,847,2.1
LGA49399,43,640,774,70,1280,0.8,959,2.1
LGA49499,40,0,370,0,0,0,0,0
LGA49799,45,0,1749,0,0,0,0,0
LGA50080,43,1600,611,280,1508,0.8,1209,2.4
LGA50210,33,1950,698,325,1719,0.8,1497,2.7
LGA50250,36,2000,2381,32,2889,0.9,2456,2.7
LGA50280,39,1733,671,300,1524,0.8,1285,2.5
LGA50350,39,1922,731,345,1904,0.8,1508,2.4
LGA50420,37,2000,732,350,1874,0.8,1507,2.4
LGA50490,34,1950,722,350,1725,0.8,1431,2.4
LGA50560,53,1170,532,150,1264,0.7,991,2.2
LGA50630,39,1733,809,274,2097,0.8,1843,2.5
LGA50770,49,1300,600,133,1363,0.7,1096,2.3
LGA50840,49,1517,518,240,1284,0.7,1024,2.3
LGA50910,48,1090,661,150,1468,0.7,1107,2.3
LGA50980,33,2573,898,265,2076,1,1796,2.7
LGA51080,39,800,643,100,1404,0.8,1242,2.6
LGA51120,47,800,687,100,1583,0.7,1090,2.2
LGA51190,41,1600,632,295,1502,0.7,1197,2.3
LGA51260,42,1863,653,350,1581,0.7,1300,2.5
LGA51310,40,2800,1034,450,3306,0.8,2449,2.7
LGA51330,34,1950,615,370,1788,0.8,1560,2.8
LGA51400,36,1950,716,350,1937,0.8,1726,2.8
LGA51470,46,737,698,100,1489,0.7,1136,2.1
LGA51540,39,1517,693,200,1604,0.9,1261,2.4
LGA51610,43,2167,732,200,1932,0.9,1625,2.7
LGA51680,43,2167,641,270,1856,0.8,1640,2.8
LGA51750,43,2600,960,450,2989,0.8,2073,2.3
LGA51820,35,2058,761,380,2038,0.8,1756,2.7
LGA51890,41,1517,512,225,1488,0.7,1161,2.4
LGA51960,33,1083,757,200,2094,0.8,1805,2.5
LGA52030,52,1400,549,175,1239,0.7,957,2
LGA52100,44,1000,748,137,1672,0.7,1332,2.3
LGA52170,42,3250,1218,540,3659,0.8,2631,2.5
LGA52240,46,878,612,123,1281,0.7,1047,2.4
LGA52310,47,1226,604,150,1421,0.7,1101,2.2
LGA52380,52,775,534,100,949,0.6,875,1.9
LGA52450,37,995,633,180,1648,0.8,1288,2.5
LGA52520,38,946,803,185,1767,0.7,1424,2.5
LGA52590,48,1700,636,260,1445,0.7,1189,2.3
LGA52660,37,1863,670,330,1749,0.7,1546,2.6
LGA52730,49,1573,544,263,1268,0.8,1013,2.3
LGA52800,30,1733,433,100,1077,1.1,1264,3.1
LGA52870,47,1541,563,230,1425,0.7,1155,2.4
LGA52940,43,867,641,100,1455,0.7,1125,2.4
LGA53010,42,585,662,98,1309,0.7,1088,2.2
LGA53080,47,604,612,132,1235,0.7,794,1.9
LGA53150,43,2500,938,400,2780,0.8,2051,2.5
LGA53220,34,457,1814,100,2536,1,2353,3
LGA53290,40,1679,682,240,1709,0.8,1363,2.5
LGA53360,37,2167,816,300,2011,0.9,1650,2.5
LGA53430,42,2167,778,351,2173,0.8,1585,2.2
LGA53570,47,1733,567,250,1329,0.7,1123,2.4
LGA53640,40,774,759,130,1676,0.7,1319,2.4
LGA53710,45,1105,668,150,1625,0.8,1128,2.3
LGA53780,34,1800,636,350,1656,0.8,1482,2.9
LGA53800,38,1733,662,270,1674,0.8,1348,2.5
LGA53920,28,981,359,75,809,1.2,1023,3.2
LGA53990,38,1842,662,320,1797,0.7,1553,2.7
LGA54060,49,1733,547,240,1351,0.7,1085,2.3
LGA54130,41,899,794,128,1637,0.7,1284,2.3
LGA54170,40,2100,776,410,2230,0.7,1957,2.8
LGA54200,39,2000,732,380,1932,0.7,1661,2.7
LGA54280,33,1800,974,290,2377,0.8,2080,2.7
LGA54310,31,2600,1350,220,2951,0.9,2626,2.8
LGA54340,40,1134,667,180,1400,0.8,1205,2.5
LGA54410,48,867,526,115,1292,0.8,1016,2.5
LGA54480,39,412,856,61,1589,0.8,1342,2.5
LGA54550,44,1083,720,143,1568,0.7,1303,2.4
LGA54620,43,776,784,115,1570,0.7,1289,2.3
LGA54690,47,542,640,95,1458,0.7,1083,2.3
LGA54760,44,650,746,107,1607,0.7,1221,2.3
LGA54830,32,1813,684,325,1669,0.8,1471,2.7
LGA54900,40,1000,899,138,1944,0.7,1433,2.3
LGA54970,36,679,1597,70,888,0.9,1111,2.6
LGA55040,35,867,1443,0,2048,0.8,1810,2.5
LGA55110,43,1820,555,320,1435,0.7,1162,2.4
LGA55180,45,1300,594,183,1394,0.7,1118,2.3
LGA55250,35,600,992,100,1399,0.8,1347,2.5
LGA55320,41,2167,757,400,2281,0.7,1834,2.6
LGA55390,38,0,776,100,928,1.2,1170,2.6
LGA55460,38,1127,661,180,1708,0.8,1332,2.4
LGA55530,42,700,732,93,1416,0.7,1234,2.3
LGA55600,41,1100,707,166,1760,0.8,1395,2.4
LGA55670,38,542,560,150,1357,0.7,1148,2.4
LGA55740,40,2700,894,320,2887,0.8,1864,2.4
LGA55810,42,442,526,145,1399,0.8,1110,2.4
LGA55880,42,499,684,60,1451,0.8,1227,2.4
LGA55950,43,607,647,83,1601,0.8,1402,2.5
LGA56090,42,2000,692,350,1957,0.8,1664,2.7
LGA56160,37,0,562,25,1775,0.8,1343,2.8
LGA56230,44,1863,543,300,1460,0.8,1218,2.5
LGA56300,53,1408,515,175,1189,0.8,955,2.2
LGA56370,46,625,763,120,1625,0.7,1204,2.3
LGA56460,40,1200,635,220,1527,0.7,1225,2.4
LGA56580,41,3250,987,520,3559,0.8,2708,2.8
LGA56620,29,0,307,55,705,1.3,1073,3.8
LGA56730,42,1408,581,245,1468,0.8,1178,2.4
LGA56790,51,1517,530,200,1296,0.8,961,2.2
LGA56860,44,758,615,55,1333,0.7,1068,2.5
LGA56930,39,2817,1061,459,4146,0.8,3481,2.8
LGA57000,42,800,1188,110,1699,0.7,1343,2.3
LGA57080,32,2151,928,440,2291,1,1849,1.9
LGA57140,50,1074,484,150,1112,0.7,886,2.2
LGA57210,46,1222,534,195,1275,0.8,1035,2.4
LGA57280,31,2693,1355,200,3014,0.9,2563,2.7
LGA57350,52,1002,545,98,1154,0.7,906,2.1
LGA57420,45,1200,676,220,1507,0.7,1196,2.2
LGA57490,34,1950,682,350,1812,0.7,1555,2.7
LGA57630,58,0,509,0,1375,0.5,1083,1.7
LGA57700,32,2145,773,380,1951,0.8,1859,3
LGA57770,43,1380,648,170,1399,0.8,1083,2.1
LGA57840,37,2173,840,375,2385,0.8,1780,2.3
LGA57910,36,2000,766,350,2001,0.8,1563,2.4
LGA57980,36,2500,892,400,2609,0.9,1836,2.2
LGA58050,34,2000,716,350,1811,0.8,1623,2.8
LGA58190,38,867,661,102,1589,0.8,1273,2.5
LGA58260,40,594,610,115,1406,0.7,1162,2.3
LGA58330,51,1600,560,280,1425,0.7,1167,2.3
LGA58400,50,510,556,79,1339,0.7,914,2
LGA58470,26,0,419,30,700,1.1,966,3
LGA58510,34,2037,766,351,1998,0.9,1554,2.3
