LGA_CODE_2016,P_Y8b_15_19_yrs,P_Y8b_20_24_yrs,P_Y8b_25_34_yrs,P_Y8b_35_44_yrs,P_Y8b_45_54_yrs,P_Y8b_55_64_yrs,P_Y8b_65_74_yrs,P_Y8b_75_84_yrs,P_Y8b_85ov,P_Y8b_Tot,P_DNGTS_15_19,P_DNGTS_20_24,P_DNGTS_25_34,P_DNGTS_35_44,P_DNGTS_45_54,P_DNGTS_55_64,P_DNGTS_65_74,P_DNGTS_75_84,P_DNGTS_85_ov,P_DNGTS_Tot,P_Hghst_yr_schl_ns_15_19_yrs,P_Hghst_yr_schl_ns_20_24_yrs,P_Hghst_yr_schl_ns_25_34_yrs,P_Hghst_yr_schl_ns_35_44_yrs,P_Hghst_yr_schl_ns_45_54_yrs,P_Hghst_yr_schl_ns_55_64_yrs,P_Hghst_yr_schl_ns_65_74_yrs,P_Hghst_yr_schl_ns_75_84_yrs,P_Hghst_yr_schl_ns_85_yrs_ovr,P_Hghst_yr_schl_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
LGA10900,12,16,37,43,118,237,325,307,213,1307,0,3,16,21,22,17,23,22,12,138,171,148,334,449,573,687,741,511,280,3895,1947,3627,6980,9682,10976,11756,9275,4105,1634,59984
LGA10950,3,0,3,5,18,23,34,35,14,135,0,0,0,0,0,0,0,3,0,3,21,19,47,38,49,35,34,40,19,303,91,155,317,296,394,280,283,187,65,2061
LGA11100,14,15,54,68,146,320,524,503,199,1841,3,14,28,38,54,93,115,142,67,555,135,275,706,505,402,389,342,314,186,3261,1394,3780,8755,7140,5845,4415,3262,2048,765,37397
LGA11150,3,0,12,5,14,38,30,20,13,127,0,0,0,3,3,5,3,0,0,16,21,36,68,60,90,77,51,39,17,467,66,159,369,294,398,309,209,110,40,1963
LGA11200,3,3,11,12,21,33,38,16,13,142,0,0,0,0,0,4,3,0,0,7,7,35,38,13,36,24,12,3,0,176,53,121,231,156,270,216,110,41,19,1226
LGA11250,3,17,47,61,122,348,342,244,123,1316,0,0,0,3,8,10,11,3,8,38,52,90,210,196,238,269,298,284,247,1889,462,963,2107,1861,2352,2658,2050,1218,593,14269
LGA11300,4,17,26,40,80,209,392,497,261,1535,3,23,74,37,68,98,118,143,87,655,97,263,474,265,235,223,211,188,144,2100,1076,4377,7845,4370,4328,3609,2483,1783,976,30849
LGA11350,8,4,10,25,39,110,119,134,151,593,3,0,3,8,6,11,8,12,3,58,173,185,484,586,671,765,490,231,134,3717,643,1191,3393,4385,4882,5483,3371,1266,687,25289
LGA11400,6,9,3,19,41,121,169,152,99,618,0,3,0,6,4,3,10,7,0,31,58,46,92,117,164,140,151,111,52,930,366,511,1193,1558,1889,1782,1559,791,306,9955
LGA11450,3,25,53,84,172,427,524,335,198,1827,0,3,14,28,29,48,58,58,18,264,194,242,610,562,508,400,453,357,357,3669,2423,4834,11894,11953,9833,7369,4971,2288,980,56537
LGA11500,47,76,253,358,693,1340,1386,789,327,5266,12,16,96,128,165,269,223,184,60,1161,586,725,1429,1369,1242,1345,1325,776,487,9289,5196,11412,23280,21064,19539,18518,12066,4775,1661,117510
LGA11520,5,31,48,55,105,294,796,1016,578,2919,3,27,87,40,52,101,139,241,124,815,186,402,1173,837,648,612,563,409,309,5142,1807,6268,16662,13334,11222,9250,6858,4019,2014,71429
LGA11570,57,206,739,1224,2213,3694,4722,4210,2071,19128,24,147,541,575,1138,1626,1640,1610,751,8057,1144,1588,3698,3094,3032,2608,2350,1970,1340,20826,10036,24335,52905,46665,43641,36802,24850,15824,7479,262530
LGA11600,0,3,7,7,12,28,42,30,23,165,0,4,3,0,0,3,0,4,0,13,17,17,39,48,39,38,20,25,19,253,87,154,362,328,392,382,204,135,60,2116
LGA11650,82,118,330,435,927,2126,2853,2430,1754,11057,11,25,49,61,106,153,185,142,73,806,941,1094,2031,2257,2833,3048,3680,3687,2839,22410,8917,18136,35253,39355,43605,42344,36562,21675,10263,256122
LGA11700,8,3,6,4,14,44,43,20,9,153,0,0,0,0,0,0,7,0,0,7,28,19,74,42,57,39,33,23,0,318,86,103,249,201,249,264,197,73,23,1448
LGA11720,25,50,93,132,252,605,699,492,286,2629,4,3,12,14,14,27,23,12,9,114,231,361,860,714,657,699,748,505,276,5051,1721,3442,7147,6863,6985,7179,5519,2539,1050,42447
LGA11730,22,21,88,119,217,465,725,662,425,2750,5,3,6,9,13,24,20,36,18,132,219,199,428,499,607,788,813,666,313,4533,1350,2046,4149,5146,6702,8345,7390,3986,1619,40735
LGA11750,0,4,13,14,19,46,69,48,20,236,0,0,3,0,0,4,0,3,0,13,30,39,89,68,91,89,63,41,19,531,124,257,708,588,586,591,350,212,78,3496
LGA11800,32,46,148,177,284,508,659,607,408,2858,4,22,48,57,70,53,41,30,24,347,249,313,613,592,742,929,828,845,629,5740,1910,3665,7643,8215,9625,10692,8510,4782,2070,57102
LGA12000,3,0,3,3,9,36,64,54,20,195,0,0,0,0,7,0,0,0,0,7,20,17,41,58,60,68,85,75,35,455,108,200,354,457,594,553,550,344,118,3272
LGA12150,7,16,3,14,24,38,82,61,29,268,0,0,0,0,4,3,7,3,3,28,41,18,79,73,97,94,110,66,23,599,118,215,440,378,563,546,439,239,105,3035
LGA12350,4,9,21,27,67,164,227,185,118,813,0,0,3,0,7,11,10,0,3,39,78,72,105,124,151,187,182,160,60,1122,360,650,1071,1259,1661,1812,1673,996,431,9919
LGA12380,45,278,1054,1239,1576,2201,2384,1755,854,11382,31,335,1025,909,1089,1070,896,780,366,6485,632,1112,2803,1905,1604,1533,1261,1021,644,12518,5946,16990,41990,30356,24637,20502,13371,7409,3268,164472
LGA12700,3,3,3,16,28,74,101,121,49,394,0,0,0,0,0,4,4,0,0,13,43,34,66,72,99,124,105,95,48,680,247,373,813,1000,1320,1447,1058,559,179,7001
LGA12730,3,0,12,18,33,104,118,110,59,459,0,0,3,3,3,8,8,4,3,41,37,56,76,92,126,176,172,149,92,966,228,475,866,977,1112,1362,1010,671,295,6990
LGA12750,5,11,35,81,128,334,525,413,213,1742,0,0,6,3,5,12,14,20,6,77,122,120,224,299,386,596,706,609,385,3455,766,1270,2613,3400,4666,6775,6604,3370,1388,30854
LGA12850,92,218,887,1676,2781,3496,3305,2628,1194,16271,37,155,672,1056,2122,2569,1681,1460,742,10494,596,791,1554,1373,1640,1661,1345,1051,630,10644,6496,15208,26976,24610,26994,24851,15204,8571,3580,152489
LGA12870,3,5,12,23,27,105,233,204,91,711,0,0,0,0,0,7,5,8,5,26,55,44,72,118,151,188,245,210,128,1219,318,517,985,1198,1542,1883,1875,1093,410,9823
LGA12900,0,6,7,18,55,95,151,120,61,512,0,0,0,0,0,9,7,5,0,24,58,46,86,78,140,136,178,130,49,891,273,479,995,984,1236,1221,1127,711,254,7279
LGA12930,21,27,109,161,366,919,1390,1423,809,5233,10,31,201,118,209,400,318,366,158,1806,317,521,1316,855,903,880,843,731,631,7002,3877,11158,24386,19220,19232,16637,11543,7171,3759,116973
LGA12950,8,5,11,19,20,51,87,78,38,323,0,0,0,0,0,3,3,3,0,9,23,14,33,38,52,56,77,62,24,387,109,216,410,428,552,607,511,354,134,3318
LGA13010,5,0,18,23,43,110,180,142,89,610,0,0,3,0,0,7,5,4,0,27,41,42,144,156,134,137,188,133,86,1059,230,387,812,929,1072,1368,1297,706,279,7075
LGA13310,13,18,39,62,116,233,388,294,134,1292,0,3,17,9,19,25,19,24,4,129,127,194,450,417,402,351,447,351,258,3000,831,1663,3554,3515,4040,3954,3244,1760,738,23302
LGA13340,0,0,15,16,29,104,134,97,65,463,0,0,0,4,3,0,8,5,0,17,30,36,68,75,79,139,124,112,76,740,255,399,887,1084,1429,1573,1241,558,262,7691
LGA13450,7,26,59,73,121,257,387,392,229,1540,0,9,37,29,42,38,46,62,35,288,127,149,349,308,339,390,331,282,191,2467,781,1528,3511,3096,3322,3033,2050,1416,669,19412
LGA13510,4,4,12,21,33,112,182,178,113,672,0,0,7,3,5,8,3,7,0,29,36,42,83,99,105,143,184,156,72,914,292,482,972,1173,1374,1636,1514,969,391,8802
LGA13550,3,5,18,24,51,139,140,158,100,651,0,0,3,3,9,8,9,3,4,42,56,71,113,133,167,134,155,159,64,1055,356,661,1522,1376,1534,1573,1192,801,318,9330
LGA13660,0,3,7,16,29,60,117,106,39,388,0,0,0,0,0,4,6,0,0,9,28,19,47,60,83,120,104,96,44,600,120,229,440,523,730,739,773,441,155,4149
LGA13800,22,26,66,83,215,441,541,423,248,2061,0,9,13,12,20,31,40,33,29,181,252,270,490,462,671,529,550,364,198,3783,2324,4379,8026,8109,9549,7827,5562,2640,1010,49434
LGA13850,0,0,4,6,14,33,65,52,18,201,0,0,0,0,0,4,4,3,0,8,15,20,44,29,62,48,68,52,19,354,76,150,297,277,457,424,358,233,60,2330
LGA13910,6,7,36,53,78,183,259,247,151,1028,0,5,8,10,6,21,19,11,7,83,92,64,123,131,234,249,304,221,121,1537,506,896,1684,2013,2442,2527,2392,1251,520,14226
LGA14000,10,13,42,75,163,327,445,490,387,1945,0,14,57,83,86,100,104,135,80,655,223,284,591,747,762,651,657,859,1085,5851,3506,8358,14686,20680,21069,17177,12140,7067,3837,108527
LGA14100,0,0,0,3,14,21,51,77,65,226,0,0,3,3,4,9,7,26,3,52,36,43,80,91,102,106,110,115,236,928,291,682,1133,1700,1997,1637,1418,857,746,10461
LGA14170,26,39,108,180,390,788,1630,1932,926,6025,8,27,109,90,179,267,392,637,295,2006,423,1031,3310,2506,1933,1613,1261,934,620,13622,2936,12708,36850,31732,25208,18490,12172,6831,3159,150083
LGA14200,5,14,22,44,83,161,255,264,101,957,0,0,6,3,0,10,16,5,3,42,87,68,167,161,195,240,266,200,96,1479,497,898,1709,1748,2065,2196,1916,1166,408,12601
LGA14300,3,0,10,9,23,61,61,43,36,253,0,0,0,3,0,4,0,3,3,14,39,130,325,332,199,169,101,62,17,1372,187,400,870,848,839,862,624,279,115,5027
LGA14350,19,18,58,55,148,368,537,348,227,1773,6,0,3,3,12,8,15,18,13,79,145,190,473,398,455,546,505,407,259,3381,762,1337,2677,2891,3716,4723,4047,1995,870,23012
LGA14400,3,3,7,8,30,78,134,149,120,542,0,0,3,3,0,0,8,7,5,36,71,52,119,145,192,214,251,201,160,1397,539,1051,1853,2345,2828,3464,2845,1494,701,17124
LGA14500,16,3,8,30,53,125,161,253,203,851,0,10,20,38,52,55,45,70,45,333,331,231,405,500,654,492,567,601,849,4632,3070,6620,9654,15076,18503,13529,10502,6895,4031,87875
LGA14550,3,3,5,22,39,95,149,133,83,532,0,0,0,0,4,7,3,4,0,24,54,29,44,85,185,181,148,101,50,882,213,326,628,856,1357,1746,1217,599,239,7183
LGA14600,0,3,6,11,25,83,78,110,51,368,0,0,0,0,3,11,9,5,0,32,41,38,92,87,99,103,111,88,30,683,170,346,738,654,708,809,651,447,172,4685
LGA14650,74,83,213,263,575,1335,1743,1662,1148,7093,10,20,29,42,64,80,89,79,41,444,402,463,958,1022,1310,1487,1827,1838,1454,10749,5342,10872,21726,23614,26074,26099,22265,12624,5672,154293
LGA14700,5,3,10,17,20,34,61,79,78,299,0,3,5,17,5,24,19,24,12,102,48,105,400,301,202,192,158,128,124,1666,583,2005,6268,5873,4670,3675,2702,1449,779,28003
LGA14750,3,12,24,28,56,126,132,160,71,599,0,0,0,3,10,3,10,14,5,41,66,57,115,122,155,164,177,132,82,1070,327,584,1191,1219,1475,1409,1068,703,239,8223
LGA14850,15,23,55,82,140,287,364,403,324,1685,3,3,4,9,16,16,22,19,16,107,218,254,418,403,505,636,455,355,252,3494,1200,2443,4396,5124,6122,6692,4428,2269,1148,33829
LGA14870,10,10,28,39,95,226,317,222,127,1065,0,0,3,7,3,8,12,11,3,49,106,150,390,352,377,377,426,257,107,2540,575,1102,2253,2340,2859,3091,2750,1382,515,16868
LGA14900,58,120,494,838,1256,2077,2325,1616,706,9490,25,68,325,431,724,930,746,625,246,4124,909,1101,2398,2263,2025,1818,1395,921,415,13244,6821,14429,29671,29620,27059,20635,12576,6418,2284,149519
LGA14920,3,3,17,22,40,97,127,87,52,440,0,0,0,0,3,5,3,5,0,25,33,40,76,73,116,163,134,105,41,774,179,333,773,820,1005,1188,974,543,191,5999
LGA14950,0,0,3,7,11,35,45,42,30,163,0,0,0,0,0,0,0,3,0,4,29,8,18,27,50,46,50,50,23,288,100,113,249,304,426,483,372,231,101,2385
LGA15050,37,32,85,124,227,541,632,514,329,2529,0,12,19,25,24,20,22,17,9,153,202,225,576,550,576,556,612,510,274,4077,2236,4803,10568,10169,9969,8837,6549,3253,1274,57652
LGA15240,45,48,123,176,367,895,1391,1214,712,4970,6,0,9,22,22,33,46,48,27,207,304,265,503,630,972,1271,1720,1329,808,7818,2069,3452,6702,8255,11348,14605,15405,8362,3424,73624
LGA15270,3,7,39,40,117,228,333,236,136,1140,0,0,3,3,3,11,18,16,7,59,132,116,282,289,389,381,447,244,73,2360,631,1103,2671,2757,3408,3164,2816,1424,490,18463
LGA15300,10,16,26,29,90,128,221,111,41,666,0,0,6,4,5,6,20,3,6,55,109,90,220,244,263,230,224,149,38,1576,399,768,1632,1640,1823,1603,1224,631,176,9908
LGA15350,3,4,0,3,3,12,28,49,31,140,3,0,6,5,3,3,11,3,3,45,90,110,296,300,279,258,235,174,167,1911,539,1281,3405,4088,4268,3391,3000,1542,909,22417
LGA15520,3,6,11,17,41,91,242,197,103,717,0,0,0,3,6,8,12,4,3,26,38,38,88,94,124,198,187,207,75,1052,240,434,1088,1112,1496,1822,1787,994,339,9321
LGA15560,3,0,7,10,34,56,72,44,21,247,0,0,0,0,0,0,3,0,0,9,29,15,54,66,65,70,52,46,5,399,111,178,436,448,542,535,377,219,70,2902
LGA15650,5,12,38,31,77,155,167,130,61,686,0,0,0,0,5,11,4,3,3,38,59,82,253,214,241,181,162,112,45,1354,452,975,2270,2078,2270,1802,1265,617,203,11917
LGA15700,8,6,13,35,81,195,298,232,162,1031,0,0,0,0,4,8,13,14,3,48,81,75,102,124,256,291,364,298,196,1782,442,757,1451,1740,2449,3321,3015,1578,699,15457
LGA15750,7,8,19,30,62,179,178,141,50,664,0,0,0,0,3,9,5,7,4,34,84,82,155,168,227,235,191,171,82,1395,387,648,1491,1527,1759,1785,1308,742,256,9891
LGA15800,4,5,4,14,30,74,98,68,49,345,0,0,4,0,4,3,7,0,4,30,34,24,58,88,84,130,130,100,64,713,156,298,547,643,729,853,704,390,199,4523
LGA15850,0,0,14,7,23,74,106,66,41,331,0,0,0,0,0,3,15,0,0,18,33,37,62,67,93,127,96,78,32,618,170,327,660,664,790,891,767,425,179,4861
LGA15900,52,80,216,201,401,833,1030,1133,762,4710,10,26,59,74,88,83,64,105,64,576,314,630,1197,933,1197,1273,1217,1288,1308,9350,4300,13672,23888,20032,19746,18186,12903,7656,4146,124534
LGA15950,3,9,29,34,21,59,88,80,66,391,0,5,16,18,23,16,11,22,16,127,113,324,1415,960,656,629,524,312,204,5133,746,3435,16342,12321,8215,7173,5914,2679,1146,57970
LGA15990,17,30,109,163,241,540,855,961,755,3664,14,9,71,114,105,81,122,143,86,747,538,686,1818,1990,1888,1644,1742,1571,1561,13446,5176,12517,29550,38184,37372,28409,22412,13065,6935,193622
LGA16100,0,3,3,9,19,42,83,41,37,237,0,0,0,0,0,3,5,3,0,13,36,97,74,76,97,69,112,55,18,644,163,318,487,560,757,725,771,298,112,4183
LGA16150,21,24,69,87,147,339,389,346,225,1655,0,0,15,22,20,31,22,15,12,146,166,180,387,372,414,368,390,370,155,2802,1194,2314,5354,5111,4989,4642,3626,2208,918,30345
LGA16200,3,4,20,16,53,158,184,155,133,738,0,0,3,0,6,6,4,12,0,34,86,73,123,158,209,224,264,216,108,1473,465,819,1539,1563,1899,1947,1507,951,438,11126
LGA16260,30,58,233,273,497,893,1052,1036,632,4698,4,62,268,224,314,421,370,360,208,2226,531,1167,3974,2706,1721,1432,1219,1000,659,14405,4941,14807,45714,35793,26594,22317,15009,8577,3893,177635
LGA16350,41,69,248,325,667,1601,1865,1191,648,6667,3,24,85,108,128,150,182,192,55,926,700,999,2266,1962,1779,1607,1466,970,506,12258,6239,14094,30276,27442,24714,22212,14446,6119,2311,147858
LGA16380,11,20,72,104,219,532,856,800,551,3166,3,3,6,13,17,21,37,25,23,151,237,222,463,502,717,863,1257,1163,842,6260,1737,3082,6628,8104,10146,11262,11778,6992,2978,62702
LGA16400,22,34,96,112,189,481,678,542,277,2433,3,4,10,15,32,43,36,36,13,174,253,276,542,573,704,827,1072,849,497,5593,1906,3524,6682,7845,9241,9664,9480,4789,1677,54802
LGA16490,16,14,58,66,132,333,425,336,176,1551,6,3,9,12,12,26,29,58,17,181,210,255,627,602,684,601,494,297,128,3901,1474,3234,7660,7891,8947,6968,4268,1872,680,42992
LGA16550,17,58,70,99,165,392,729,937,563,3027,10,13,49,39,76,92,136,221,124,755,514,1357,2672,1971,1509,1266,1235,933,703,12153,4787,14940,26551,20986,16990,13081,9747,5955,3169,116218
LGA16610,10,17,42,55,119,253,385,381,230,1499,3,0,7,0,10,8,14,18,3,60,127,96,155,261,292,336,353,275,112,2002,738,1116,1979,2467,2939,3302,2807,1676,634,17662
LGA16650,11,30,137,140,324,796,1433,1404,640,4904,8,19,107,68,140,231,355,396,167,1490,262,550,1583,1058,871,837,828,945,880,7809,2610,8051,21857,15723,13093,10870,8366,5529,2811,88912
LGA16700,11,46,69,84,175,467,746,847,548,2987,3,22,96,91,121,154,161,234,137,1020,242,481,1061,784,666,643,585,555,503,5521,2862,9563,21160,17148,14436,12194,8293,5295,2972,93911
LGA16900,16,20,71,94,220,645,894,680,342,2984,7,5,12,22,22,35,84,101,42,331,189,202,426,471,574,583,704,615,429,4192,2170,4267,8006,8610,9233,8508,6519,3578,1374,52261
LGA16950,39,33,131,164,331,853,1281,1042,551,4420,6,0,15,8,24,42,46,56,21,217,367,486,954,919,1103,1311,1620,1395,877,9040,2444,4613,9303,10086,12300,15339,14975,8201,3159,80420
LGA17000,8,10,27,38,77,166,200,165,116,811,3,0,5,4,12,3,8,3,3,37,93,94,217,242,248,253,243,141,58,1589,811,1470,2898,3058,3332,2747,1738,839,343,17239
LGA17040,9,12,15,29,48,139,222,155,107,734,0,3,3,0,6,11,26,17,3,64,89,123,288,269,337,261,265,218,122,1978,537,1072,2231,2459,3036,2891,2274,1142,458,16104
LGA17080,0,14,14,25,79,138,196,183,108,752,0,0,7,3,3,6,18,8,3,45,60,69,193,211,230,291,226,177,133,1587,351,660,1438,1625,1935,2155,1777,986,430,11357
LGA17100,8,12,47,52,98,196,247,279,165,1104,4,27,80,33,45,90,78,85,46,482,127,348,804,394,298,288,189,152,75,2676,1108,3830,9285,5262,4661,3896,2347,1514,751,32659
LGA17150,22,21,90,153,220,638,1037,1064,987,4236,9,8,44,55,76,112,136,112,61,609,410,511,1244,1307,1278,1314,1267,1232,1154,9717,5416,12686,26235,30147,30289,27257,19968,11052,5949,168996
LGA17200,41,162,324,188,261,519,640,561,295,2998,16,101,290,134,125,171,183,242,99,1365,1014,3852,9033,4285,2954,2325,1667,969,515,26620,6558,28466,68740,33807,21442,16055,10453,4849,1788,192160
LGA17310,28,37,100,102,224,484,654,598,366,2592,4,11,11,20,43,30,28,29,9,184,268,280,623,603,662,784,755,619,306,4888,1668,3194,7184,6916,7622,7687,6158,3568,1432,45424
LGA17350,0,3,7,12,25,34,97,79,87,346,0,0,0,0,3,3,0,6,0,16,25,16,42,34,65,85,79,75,15,440,165,240,566,591,820,857,783,470,206,4711
LGA17400,3,0,11,18,34,85,113,79,31,380,0,0,0,0,0,0,8,0,0,20,38,26,47,78,91,168,162,113,75,781,150,211,429,664,822,1299,1137,518,176,5402
LGA17420,17,13,54,77,171,370,687,605,359,2347,6,7,56,61,71,116,103,135,104,653,274,266,612,726,809,689,694,479,318,4873,4327,9684,16489,23611,22665,18588,13567,5648,2002,116570
LGA17550,21,16,102,122,235,611,1017,1005,648,3773,6,7,9,23,27,29,27,43,24,193,298,292,608,746,963,1219,1340,1316,1017,7797,2122,3924,8212,10261,11911,13579,12018,7529,3579,73129
LGA17620,6,0,14,27,61,135,203,150,68,665,0,0,3,3,0,4,9,9,0,30,69,64,158,195,202,196,192,162,105,1348,348,648,1665,1760,1852,1850,1435,833,352,10742
LGA17640,4,0,3,4,25,69,138,118,45,410,0,0,0,0,0,3,3,3,3,16,46,28,54,63,121,119,126,94,55,698,225,297,631,777,1189,1212,1070,560,184,6132
LGA17650,0,4,5,5,17,72,91,45,40,285,0,0,3,3,0,0,10,4,0,13,23,12,31,50,85,85,97,58,24,471,171,233,470,683,896,985,787,337,118,4684
LGA17750,23,45,109,136,199,354,487,464,349,2153,3,11,35,42,23,29,37,13,12,213,254,315,525,462,546,561,528,446,219,3863,2144,4957,8600,7531,7547,7209,5124,2978,1372,47453
LGA17850,0,0,3,8,11,18,39,47,21,154,0,0,3,0,0,0,3,0,0,6,13,12,36,38,41,47,76,53,48,356,70,135,276,313,415,464,469,233,96,2471
LGA17900,0,4,24,25,51,105,132,72,20,432,0,0,4,0,7,15,14,12,0,53,27,57,106,100,110,129,137,82,11,756,139,310,727,676,813,926,738,347,77,4760
LGA17950,0,0,4,3,10,20,39,24,10,116,0,0,5,0,3,0,5,3,3,14,13,9,30,32,48,46,49,43,16,292,60,121,291,296,365,374,329,178,60,2075
LGA18020,4,0,13,21,51,116,194,139,58,598,0,0,0,0,0,0,12,3,0,17,34,46,82,103,159,198,207,143,60,1030,188,390,749,899,1258,1461,1354,784,305,7394
LGA18050,7,10,38,29,28,69,130,225,182,712,5,3,19,20,11,15,27,35,18,142,176,414,2049,1223,813,595,570,505,428,6786,952,3668,15739,11885,8182,5667,4368,2607,1513,54578
LGA18100,0,0,3,7,10,31,75,52,28,218,0,0,0,0,0,0,0,0,0,5,23,15,20,33,59,63,73,67,22,374,86,114,260,381,479,583,590,309,148,2956
LGA18200,9,0,6,15,32,80,147,108,43,440,0,0,0,0,7,3,6,3,5,22,38,38,104,85,123,135,148,67,33,763,180,324,678,744,947,1045,856,390,135,5296
LGA18230,27,25,67,81,181,424,492,443,245,1997,0,0,5,8,18,31,25,32,11,133,236,383,853,632,630,667,614,463,232,4708,1462,3125,6696,5889,6349,6186,4571,2665,1081,38018
LGA18250,14,14,33,32,74,133,286,310,204,1101,3,16,53,37,41,66,67,87,55,424,146,252,710,605,514,409,374,243,222,3465,1503,4461,11298,12356,10035,7512,5420,3021,1728,57327
LGA18350,11,8,31,49,87,219,303,296,186,1204,3,3,9,9,15,21,24,22,20,109,150,126,253,379,506,491,637,491,320,3356,1180,1886,3965,5069,6473,6643,7098,3859,1428,37601
LGA18400,11,13,33,64,112,292,397,276,145,1336,0,3,6,14,10,20,23,24,6,114,159,161,336,371,429,450,384,313,189,2795,1597,2893,5705,6573,6762,6014,4002,1804,648,36004
LGA18450,57,97,222,321,592,1506,2229,2498,1437,8957,15,22,85,76,111,195,270,412,207,1389,553,842,1512,1278,1508,1634,1791,1759,1053,11918,6262,15476,26015,25822,26435,24251,18665,11983,5249,160159
LGA18500,3,3,18,15,12,31,63,91,107,346,3,0,7,13,10,11,12,26,5,88,152,287,955,713,632,542,612,459,306,4669,849,2926,9426,7831,7013,5828,5527,2980,1599,43988
LGA18710,0,4,10,12,38,74,108,84,45,380,0,0,0,0,3,10,8,10,3,28,66,55,93,158,179,193,165,140,118,1168,384,725,1454,2209,2500,2192,1596,730,296,12094
LGA19399,0,0,0,3,6,10,13,8,3,40,0,0,0,0,0,0,0,0,0,0,3,8,19,22,16,13,14,4,10,109,16,59,139,168,142,166,104,47,22,856
LGA19499,10,29,53,41,61,90,94,33,8,419,0,4,8,8,21,12,7,7,0,62,125,302,779,674,631,459,269,90,30,3369,441,1357,2698,1900,1798,1714,1194,282,78,11461
LGA19799,0,0,0,0,3,5,13,3,0,27,0,0,0,0,0,0,0,0,0,4,0,0,4,7,8,9,27,9,0,67,11,9,32,34,50,76,108,42,10,373
LGA20110,3,6,10,21,20,71,204,190,100,621,0,0,3,0,3,8,4,16,7,41,42,34,90,129,194,214,204,153,95,1146,237,423,935,1376,1815,2143,1718,915,383,9951
