SED_CODE_2016,M_SE_Europe_nfd_0_4,M_SE_Europe_nfd_5_14,M_SE_Europe_nfd_15_24,M_SE_Europe_nfd_25_44,M_SE_Europe_nfd_45_54,M_SE_Europe_nfd_55_64,M_SE_Europe_nfd_65_74,M_SE_Europe_nfd_75_84,M_SE_Europe_nfd_85ov,M_SE_Europe_nfd_Tot,M_Sri_Lanka_0_4,M_Sri_Lanka_5_14,M_Sri_Lanka_15_24,M_Sri_Lanka_25_44,M_Sri_Lanka_45_54,M_Sri_Lanka_55_64,M_Sri_Lanka_65_74,M_Sri_Lanka_75_84,M_Sri_Lanka_85ov,M_Sri_Lanka_Tot,M_Taiwan_0_4,M_Taiwan_5_14,M_Taiwan_15_24,M_Taiwan_25_44,M_Taiwan_45_54,M_Taiwan_55_64,M_Taiwan_65_74,M_Taiwan_75_84,M_Taiwan_85ov,M_Taiwan_Tot,M_Thailand_0_4,M_Thailand_5_14,M_Thailand_15_24,M_Thailand_25_44,M_Thailand_45_54,M_Thailand_55_64,M_Thailand_65_74,M_Thailand_75_84,M_Thailand_85ov,M_Thailand_Tot,M_FYROM_0_4,M_FYROM_5_14,M_FYROM_15_24,M_FYROM_25_44,M_FYROM_45_54,M_FYROM_55_64,M_FYROM_65_74,M_FYROM_75_84,M_FYROM_85ov,M_FYROM_Tot,M_Turkey_0_4,M_Turkey_5_14,M_Turkey_15_24,M_Turkey_25_44,M_Turkey_45_54,M_Turkey_55_64,M_Turkey_65_74,M_Turkey_75_84,M_Turkey_85ov,M_Turkey_Tot,M_USA_0_4,M_USA_5_14,M_USA_15_24,M_USA_25_44,M_USA_45_54,M_USA_55_64,M_USA_65_74,M_USA_75_84,M_USA_85ov,M_USA_Tot,M_Vietnam_0_4,M_Vietnam_5_14,M_Vietnam_15_24,M_Vietnam_25_44,M_Vietnam_45_54,M_Vietnam_55_64,M_Vietnam_65_74,M_Vietnam_75_84,M_Vietnam_85ov,M_Vietnam_Tot,M_Wales_0_4,M_Wales_5_14,M_Wales_15_24,M_Wales_25_44,M_Wales_45_54,M_Wales_55_64,M_Wales_65_74,M_Wales_75_84,M_Wales_85ov,M_Wales_Tot,M_Zimbabwe_0_4,M_Zimbabwe_5_14,M_Zimbabwe_15_24,M_Zimbabwe_25_44,M_Zimbabwe_45_54,M_Zimbabwe_55_64,M_Zimbabwe_65_74,M_Zimbabwe_75_84,M_Zimbabwe_85ov,M_Zimbabwe_Tot,M_Elsewhere_0_4,M_Elsewhere_5_14,M_Elsewhere_15_24,M_Elsewhere_25_44,M_Elsewhere_45_54,M_Elsewhere_55_64,M_Elsewhere_65_74,M_Elsewhere_75_84,M_Elsewhere_85ov,M_Elsewhere_Tot,M_COB_NS_0_4,M_COB_NS_5_14,M_COB_NS_15_24,M_COB_NS_25_44,M_COB_NS_45_54,M_COB_NS_55_64,M_COB_NS_65_74,M_COB_NS_75_84,M_COB_NS_85ov,M_COB_NS_Tot,M_Tot_0_4,M_Tot_5_14,M_Tot_15_24,M_Tot_25_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Afghanistan_0_4,F_Afghanistan_5_14,F_Afghanistan_15_24,F_Afghanistan_25_44,F_Afghanistan_45_54,F_Afghanistan_55_64,F_Afghanistan_65_74,F_Afghanistan_75_84,F_Afghanistan_85ov,F_Afghanistan_Tot,F_Australia_0_4,F_Australia_5_14,F_Australia_15_24,F_Australia_25_44,F_Australia_45_54,F_Australia_55_64,F_Australia_65_74,F_Australia_75_84,F_Australia_85ov,F_Australia_Tot,F_Bangladesh_0_4,F_Bangladesh_5_14,F_Bangladesh_15_24,F_Bangladesh_25_44,F_Bangladesh_45_54,F_Bangladesh_55_64,F_Bangladesh_65_74,F_Bangladesh_75_84,F_Bangladesh_85ov,F_Bangladesh_Tot,F_Bosnia_Herzegov_0_4,F_Bosnia_Herzegov_5_14,F_Bosnia_Herzegov_15_24,F_Bosnia_Herzegov_25_44,F_Bosnia_Herzegov_45_54,F_Bosnia_Herzegov_55_64,F_Bosnia_Herzegov_65_74,F_Bosnia_Herzegov_75_84,F_Bosnia_Herzegov_85ov,F_Bosnia_Herzegov_Tot,F_Cambodia_0_4,F_Cambodia_5_14,F_Cambodia_15_24,F_Cambodia_25_44,F_Cambodia_45_54,F_Cambodia_55_64,F_Cambodia_65_74,F_Cambodia_75_84,F_Cambodia_85ov,F_Cambodia_Tot,F_Canada_0_4,F_Canada_5_14,F_Canada_15_24,F_Canada_25_44,F_Canada_45_54,F_Canada_55_64,F_Canada_65_74,F_Canada_75_84,F_Canada_85ov,F_Canada_Tot,F_Chile_0_4,F_Chile_5_14,F_Chile_15_24,F_Chile_25_44,F_Chile_45_54,F_Chile_55_64,F_Chile_65_74,F_Chile_75_84,F_Chile_85ov,F_Chile_Tot
SED10011,0,0,0,3,6,4,8,0,0,21,0,0,0,7,10,10,4,5,0,37,0,3,3,0,3,0,0,0,0,12,0,0,7,21,0,3,3,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,11,0,14,16,36,37,35,38,13,0,188,0,3,16,36,0,0,0,0,0,59,0,0,0,3,10,14,15,4,4,58,0,0,0,6,4,7,0,0,0,17,3,25,22,117,102,109,136,61,24,598,73,165,143,388,271,320,287,121,38,1803,2022,4650,3968,7414,4829,5150,4081,1717,513,34349,0,0,0,0,0,0,0,0,0,0,1846,4095,3287,6535,3834,4117,2940,1322,676,28642,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,0,0,0,10,6,3,0,0,0,21,0,4,3,37,15,21,12,3,0,90,0,3,0,10,15,12,9,4,0,50
SED10012,0,0,7,35,36,46,56,36,13,223,0,3,4,4,6,6,7,0,0,41,0,0,3,3,4,5,0,0,0,17,0,11,34,240,33,29,4,3,0,353,0,0,0,23,34,48,39,15,6,155,0,4,5,11,20,13,16,8,0,82,0,6,8,14,3,0,0,0,0,37,37,183,523,2378,2049,1733,627,215,107,7853,0,0,0,0,0,0,3,7,0,5,0,5,0,0,0,0,0,0,0,4,13,101,170,697,584,508,431,199,63,2765,122,275,304,542,311,289,192,90,40,2159,2469,5459,6472,10037,5632,5043,3011,1447,571,40143,0,0,0,0,0,3,0,0,0,3,2090,4229,4087,3030,871,727,367,240,84,15735,0,0,0,4,0,0,0,0,0,9,0,0,13,45,34,32,15,23,16,184,15,32,133,803,557,463,224,105,54,2376,0,0,4,6,4,0,0,0,0,12,0,0,3,47,48,63,63,22,6,256
SED10013,0,0,0,9,7,13,10,8,0,54,0,4,4,25,20,9,3,3,0,68,0,0,3,15,4,0,3,0,0,23,0,3,7,25,7,6,3,0,0,45,0,0,0,7,17,12,3,0,0,42,0,0,3,12,10,0,0,0,0,26,6,16,13,30,24,14,11,0,0,106,0,3,6,45,21,17,4,0,0,92,0,4,3,10,9,9,11,5,0,48,0,3,14,32,15,6,0,0,0,70,8,16,45,318,204,165,117,43,11,921,146,289,268,727,343,230,210,108,48,2367,3637,6921,5822,12723,5541,4106,2887,1240,416,43292,0,0,4,32,11,4,0,3,0,52,3313,6179,5016,10226,3887,2752,1745,828,439,34384,0,0,0,22,5,0,0,0,0,30,0,0,0,32,6,18,6,3,0,73,0,0,4,33,4,10,4,0,3,55,0,3,11,34,8,4,7,0,0,58,0,3,0,41,36,19,23,6,0,126
SED10014,0,0,3,3,11,4,10,8,0,38,3,16,9,70,18,16,13,3,0,147,0,0,3,9,0,5,0,0,0,13,0,4,8,52,6,13,3,0,0,92,0,0,3,9,15,4,8,4,0,41,0,0,0,3,6,3,3,3,0,21,0,7,10,33,18,12,11,0,0,84,3,3,12,62,37,33,16,3,0,164,0,0,3,3,7,12,10,4,0,39,0,3,9,19,12,3,0,0,0,47,7,58,156,561,390,347,211,104,11,1854,163,343,386,676,317,303,293,119,42,2642,2916,5806,5820,10426,4518,4313,3197,1242,285,38514,0,0,12,27,13,12,7,3,0,69,2461,4758,4551,7018,2654,2669,1786,687,261,26842,4,16,10,123,10,3,0,0,0,168,0,0,5,20,17,10,4,3,0,52,0,0,11,50,20,24,12,0,0,112,0,3,3,14,8,5,4,0,0,32,0,3,3,52,40,45,60,9,0,216
SED10015,0,0,3,0,9,8,10,3,4,39,0,0,6,29,11,12,7,7,5,69,0,0,0,38,0,10,5,0,0,50,0,6,13,92,13,9,3,3,0,145,0,0,3,13,13,21,27,19,5,95,0,0,0,36,28,21,19,4,0,106,0,10,7,44,12,8,5,3,0,88,8,28,125,379,203,224,104,30,5,1107,0,0,0,0,9,4,3,0,0,15,0,0,4,9,5,3,0,0,0,17,11,67,165,782,519,419,316,158,59,2495,151,276,298,841,372,299,244,151,62,2698,2765,5224,5657,13373,5866,4482,3214,2165,789,43543,0,0,0,7,0,0,3,0,0,5,2313,4039,3379,5405,2278,1182,642,438,356,20033,5,18,61,336,21,9,3,0,0,448,0,0,0,9,5,7,5,0,0,32,0,0,10,13,5,12,4,3,0,50,0,0,0,20,9,6,3,3,0,41,0,0,3,23,16,9,18,3,0,72
SED10016,0,0,0,5,6,8,10,9,0,42,0,16,47,120,121,105,50,24,0,486,0,0,9,53,11,14,11,3,0,102,0,8,14,27,7,11,0,0,0,61,0,0,0,3,4,3,0,0,0,9,0,0,0,13,32,14,5,0,4,64,14,39,29,46,25,20,12,0,0,191,0,6,6,34,38,22,6,0,0,121,0,3,3,11,10,12,3,3,0,39,0,0,6,20,21,8,7,0,0,70,10,73,78,277,229,176,120,64,18,1044,53,138,139,329,241,157,127,69,28,1273,2483,6598,5734,9607,5734,4458,3082,1292,363,39351,0,4,12,43,31,15,10,3,0,119,2190,5391,4137,5677,3027,2263,1687,717,308,25397,0,0,0,29,12,11,0,0,0,56,0,0,0,9,11,3,3,0,0,23,0,0,0,16,6,3,0,0,0,24,0,7,9,26,11,4,0,0,0,68,0,0,0,15,11,12,12,0,4,62
SED10017,0,0,0,0,4,8,3,3,0,14,0,4,0,9,8,4,0,0,0,28,0,0,0,5,0,0,0,0,0,4,3,3,6,13,3,0,0,0,0,27,0,0,0,0,0,5,0,0,0,4,0,0,0,4,0,0,0,0,0,4,0,4,0,19,10,4,5,0,0,47,0,0,3,12,0,0,0,0,0,17,0,0,0,7,3,4,5,5,0,28,0,0,4,5,0,3,0,0,0,11,3,7,8,59,32,37,53,20,9,226,122,302,272,650,378,396,383,161,55,2718,2769,5402,4776,9949,4779,4664,3615,1517,479,37958,0,0,0,0,0,0,0,0,0,0,2545,4847,4233,8703,4005,3904,2750,1408,705,33112,0,0,0,8,0,0,0,0,0,8,0,0,0,3,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,18,3,4,3,0,0,34,0,0,0,3,7,0,0,0,0,10
SED10018,0,0,0,0,3,4,4,6,3,26,0,3,0,12,3,7,3,3,0,33,0,0,0,3,0,0,0,0,0,0,4,5,9,11,4,0,0,0,0,37,0,0,0,10,17,38,46,22,9,132,0,0,0,9,3,3,0,0,0,9,4,15,11,22,22,11,9,3,0,110,0,0,3,5,12,0,3,0,0,27,0,4,0,9,17,6,10,9,5,58,0,0,0,4,0,4,3,0,0,14,3,21,19,82,55,42,49,33,23,335,58,134,135,393,249,220,191,122,54,1562,2341,4827,4365,8567,4692,4162,3268,1999,752,34980,0,0,0,0,0,0,0,0,0,0,2076,4189,3732,7718,4100,3699,2960,2005,969,31440,0,0,0,3,0,0,0,0,0,3,0,0,0,4,0,3,0,4,0,12,0,0,0,7,0,0,0,0,0,5,3,3,3,30,10,5,3,0,0,66,0,0,0,3,8,6,3,0,0,17
SED10019,0,0,0,0,0,0,0,0,0,3,0,0,0,5,3,0,7,3,0,13,0,0,0,4,0,3,0,0,0,5,0,5,0,7,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,9,0,15,15,11,24,3,3,78,0,0,0,6,0,3,0,0,0,13,0,0,0,4,6,8,10,5,0,33,0,0,0,8,9,6,5,0,0,23,0,9,6,37,31,36,51,31,11,212,121,293,324,613,460,558,523,310,84,3275,1985,4611,3957,6695,4712,5755,5189,2719,849,36474,0,0,0,0,0,0,0,0,0,0,1712,3879,3331,5924,4028,4731,3912,2360,1161,31046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,11,8,12,7,0,3,40,0,0,0,0,4,0,0,0,0,7
SED10020,0,0,0,0,0,3,3,3,3,11,0,0,0,0,4,0,0,0,0,13,0,0,8,34,0,0,0,0,0,44,0,11,10,8,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,6,0,6,3,23,17,22,36,3,3,107,0,0,0,8,7,0,0,0,0,15,0,0,0,10,5,7,0,3,3,36,0,0,0,11,5,5,4,0,0,28,11,80,76,125,84,60,77,31,15,568,119,238,271,583,345,471,352,229,106,2711,2058,4709,4114,7596,4461,5220,4187,2188,786,35319,0,11,23,24,12,3,0,0,0,72,1804,4001,3283,6270,3930,4176,3121,1871,849,29310,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3,3,0,0,0,9,0,3,3,5,0,0,0,0,0,10,0,0,0,31,13,21,11,0,3,77,0,0,0,0,0,0,4,0,0,4
SED10021,0,0,0,7,0,5,10,5,3,31,0,0,5,30,6,5,7,3,0,59,0,0,5,21,7,6,3,0,0,37,0,0,17,50,17,6,4,0,0,93,0,0,0,3,3,0,0,0,0,6,0,4,3,21,17,6,5,0,0,51,24,51,43,189,70,34,31,5,0,436,0,3,16,50,17,14,3,3,0,102,0,0,3,60,12,5,10,3,3,96,0,0,3,32,6,5,3,0,0,49,30,60,182,1198,310,265,281,183,106,2612,185,265,461,1518,507,361,272,186,127,3877,2602,4085,4139,15430,5209,3603,2552,1427,688,39738,0,0,0,0,0,0,0,0,0,0,2232,3283,2722,7588,2853,1981,1359,765,531,23318,0,3,8,15,0,0,0,0,0,29,0,0,0,13,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,6,3,6,18,181,30,21,11,3,0,271,0,0,8,74,9,19,24,4,0,139
