SED_CODE_2016,Neg_Nil_inc_fam_households,Neg_Nil_inc_Non_fam_househlds,Negative_Nil_income_Tot,HI_1_149_Family_households,HI_1_149_Non_family_hseholds,HI_1_149_Tot,HI_150_299_Family_households,HI_150_299_Non_fam_househlds,HI_150_299_Tot,HI_300_399_Family_households,HI_300_399_Non_fam_househlds,HI_300_399_Tot,HI_400_499_Family_households,HI_400_499_Non_fam_househlds,HI_400_499_Tot,HI_500_649_Family_households,HI_500_649_Non_fam_househlds,HI_500_649_Tot,HI_650_799_Family_households,HI_650_799_Non_fam_househlds,HI_650_799_Tot,HI_800_999_Fam_households,HI_800_999_Non_fam_hsehlds,HI_800_999_Tot,HI_1000_1249_Fam_households,HI_1000_1249_Non_fam_hsehlds,HI_1000_1249_Tot,HI_1250_1499_Fam_households,HI_1250_1499_Non_fam_hsehlds,HI_1250_1499_Tot,HI_1500_1749_Fam_households,HI_1500_1749_Non_fam_hsehlds,HI_1500_1749_Tot,HI_1750_1999_Fam_households,HI_1750_1999_Non_fam_hsehlds,HI_1750_1999_Tot,HI_2000_2499_Fam_households,HI_2000_2499_Non_fam_hsehlds,HI_2000_2499_Tot,HI_2500_2999_Fam_households,HI_2500_2999_Non_fam_hsehlds,HI_2500_2999_Tot,HI_3000_3499_Fam_households,HI_3000_3499_Non_fam_hsehlds,HI_3000_3499_Tot,HI_3500_3999_Fam_households,HI_3500_3999_Non_fam_hsehlds,HI_3500_3999_Tot,HI_4000_more_Fam_households,HI_4000_more_Non_fam_hsehlds,HI_4000_more_Tot,Part_inc_stated_Fam_household,Part_inc_std_Non_fam_hhds,Partial_income_stated_Tot,All_incomes_ns_Famly_househld,All_inc_ns_Non_famly_househld,All_incomes_not_stated_Tot,Tot_Family_households,Tot_Non_family_households,Tot_Tot
SED27406,131,163,293,61,74,129,73,242,315,59,397,460,242,908,1157,246,629,877,632,510,1143,588,588,1182,863,624,1483,854,483,1339,692,445,1137,731,298,1028,1734,480,2215,1456,33,1489,1050,19,1068,1098,236,1328,3340,23,3361,1574,95,1670,197,287,485,15630,6538,22169
SED27504,164,164,331,78,107,186,149,453,604,155,758,911,612,1442,2049,618,753,1378,1605,667,2266,1247,772,2020,1678,644,2318,1573,410,1982,1192,299,1491,1187,168,1360,2011,215,2224,1230,53,1281,610,19,632,337,84,419,648,21,670,1685,111,1801,397,533,927,17182,7670,24856
SED27608,101,126,231,65,88,155,95,247,337,70,399,471,358,904,1258,401,581,985,1044,490,1539,957,498,1455,1412,529,1939,1396,388,1789,1221,311,1535,1260,209,1472,2608,349,2958,1847,57,1907,1130,36,1168,706,133,846,1394,30,1426,1710,197,1905,237,257,492,18015,5843,23854
SED27708,118,158,275,84,116,197,132,477,614,147,699,848,513,1409,1921,521,796,1317,1402,652,2051,1176,681,1856,1496,613,2110,1469,390,1861,1095,299,1394,1161,199,1359,1961,233,2190,1251,52,1306,617,25,640,372,111,483,638,33,667,1456,122,1578,306,474,783,15908,7530,23443
SED27807,349,298,643,179,124,297,324,461,784,235,640,877,846,1257,2108,729,475,1208,1695,450,2143,1458,511,1969,1757,511,2271,1646,317,1966,1252,242,1494,1083,154,1239,1808,205,2008,1122,67,1187,613,49,662,348,54,403,524,28,547,1686,204,1889,435,329,773,18092,6372,24472
SED27907,144,139,282,83,68,149,107,225,326,93,383,480,392,871,1259,379,458,843,1009,410,1421,973,505,1477,1284,583,1862,1297,410,1705,1186,292,1475,1191,178,1369,2327,235,2564,1563,24,1589,944,11,956,567,57,621,914,8,926,1446,96,1539,277,258,527,16155,5215,21372
SED28007,225,111,335,88,27,114,159,153,314,95,250,344,375,410,787,443,234,673,922,205,1128,1014,290,1303,1445,363,1810,1454,252,1701,1389,179,1573,1424,133,1556,2978,166,3145,2016,18,2034,1222,9,1227,757,38,795,1254,9,1262,1866,58,1930,291,165,457,19416,3080,22492
SED28107,229,144,375,108,45,151,187,200,384,154,219,377,441,466,905,626,282,907,1207,306,1513,1481,457,1937,1994,538,2525,2126,416,2548,1934,295,2227,1924,187,2109,3744,265,4009,2336,55,2386,1327,24,1346,825,64,892,1166,20,1188,1954,104,2057,307,179,479,24061,4255,28323
SED28203,290,184,469,119,70,187,171,299,470,153,453,609,862,920,1781,619,299,919,1883,337,2227,1322,411,1733,1612,397,2010,1651,263,1920,1288,173,1460,1143,131,1276,2071,132,2202,1173,31,1206,614,22,635,382,36,412,498,11,510,1652,76,1727,401,215,614,17906,4466,22368
SED28301,251,186,435,122,69,190,101,180,284,104,266,365,308,518,824,288,336,618,791,286,1081,816,272,1093,1034,302,1334,993,218,1207,862,170,1030,943,124,1063,1786,198,1979,1376,22,1398,1089,9,1105,940,104,1038,2513,16,2528,1754,58,1812,240,135,369,16305,3461,19760
SED28408,104,169,274,55,85,136,107,432,542,123,710,836,454,1528,1985,472,783,1255,1280,689,1973,1048,745,1798,1278,671,1957,1263,467,1734,994,329,1324,954,211,1166,1686,263,1948,1058,48,1110,606,16,629,365,122,490,843,11,854,1227,175,1401,272,400,672,14213,7862,22074
SED28507,190,165,362,74,60,134,148,313,465,161,424,583,492,878,1364,591,472,1068,1204,452,1649,1258,593,1847,1616,611,2225,1684,474,2160,1424,293,1716,1261,193,1461,2460,235,2698,1465,48,1508,839,22,864,463,62,522,740,15,754,1620,109,1728,316,285,605,18001,5693,23697
SED28607,181,220,402,79,118,196,124,418,544,85,599,684,404,1082,1479,342,466,809,927,460,1388,726,562,1292,985,675,1663,997,526,1526,875,521,1395,1006,417,1421,2118,648,2763,1857,120,1976,1499,72,1571,1321,290,1612,3056,72,3128,1662,286,1948,258,320,577,18514,7863,26380
SED28704,145,107,248,69,52,127,125,138,260,99,245,342,346,506,856,463,289,752,966,337,1306,966,456,1422,1494,530,2021,1641,404,2047,1602,294,1896,1667,186,1856,3370,191,3559,2328,32,2361,1356,17,1369,811,66,878,1479,8,1484,1932,80,2010,303,181,486,21175,4126,25299
SED28803,245,122,364,103,44,149,193,151,344,160,218,376,554,402,954,644,233,877,1290,241,1522,1368,403,1772,1833,418,2246,1962,264,2226,1654,192,1846,1633,153,1786,3139,167,3300,1936,25,1963,1139,15,1158,762,36,797,1114,10,1129,2004,78,2081,313,121,437,22028,3294,25324
SED29494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SED29797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SED30001,121,72,196,51,23,76,75,110,182,101,180,281,295,484,777,453,286,738,925,302,1230,909,330,1236,1311,386,1694,1498,271,1770,1468,243,1710,1511,156,1666,2792,200,2992,1896,46,1937,1118,22,1145,672,37,709,1083,17,1100,1708,118,1829,196,121,314,18191,3403,21590
SED30002,113,94,200,42,31,77,88,127,217,82,192,276,255,453,710,290,266,553,811,268,1081,739,325,1061,1043,360,1409,1157,276,1436,1017,205,1224,1003,142,1150,2180,186,2372,1465,42,1506,920,15,931,586,36,624,896,11,898,1249,96,1342,146,115,265,14070,3251,17325
SED30003,64,91,158,40,40,80,44,153,192,44,262,305,136,504,639,176,338,512,366,283,641,420,313,735,628,384,1014,621,329,950,565,256,829,627,220,846,1408,378,1788,1224,80,1310,982,32,1009,912,152,1067,2447,26,2476,1186,178,1363,65,121,190,11958,4144,16100
SED30004,75,69,142,51,54,99,52,134,184,25,228,259,188,567,756,183,412,598,615,286,894,552,272,826,829,336,1171,844,233,1076,672,220,890,738,151,882,1649,215,1858,1268,57,1330,998,22,1020,699,80,777,1541,27,1571,1043,79,1120,152,164,313,12170,3595,15766
SED30005,151,179,332,72,72,146,106,253,357,99,367,470,328,757,1086,410,517,933,911,497,1409,850,595,1441,1184,594,1773,1274,403,1677,1118,328,1447,1102,228,1327,2257,334,2584,1500,58,1559,950,35,991,619,112,733,1117,34,1151,1939,204,2134,190,201,390,16170,5772,21938
SED30006,111,99,208,65,65,128,88,191,278,73,329,407,412,901,1311,455,447,902,1237,370,1609,976,426,1397,1278,377,1658,1377,228,1603,1071,191,1260,1143,118,1260,2038,133,2173,1177,24,1198,762,9,767,454,54,503,705,9,715,1519,81,1599,256,223,477,15193,4259,19450
SED30007,232,628,862,55,157,212,89,425,508,56,568,629,177,856,1034,186,706,895,372,676,1052,429,905,1331,597,1166,1763,743,1055,1801,623,982,1600,760,801,1562,1624,1560,3180,1162,343,1505,922,227,1150,876,878,1750,2365,252,2616,1124,735,1861,89,279,363,12470,13204,25674
SED30008,156,194,347,66,97,167,92,338,428,96,610,709,444,1466,1912,464,866,1330,1313,663,1975,1081,714,1801,1289,702,1987,1214,435,1651,823,290,1114,858,232,1088,1572,312,1887,907,57,960,534,19,556,371,151,525,843,27,874,1120,180,1305,231,377,608,13483,7736,21216
SED30009,106,83,192,54,48,101,102,198,296,74,277,347,290,848,1134,330,497,825,942,374,1317,864,392,1257,1128,343,1472,1112,268,1378,875,185,1062,930,151,1083,1678,209,1886,1157,50,1205,760,29,792,523,78,601,1114,24,1133,1352,125,1480,169,208,376,13558,4377,17935
SED30010,83,97,175,39,43,82,43,188,231,52,258,311,145,634,778,182,366,548,381,363,744,439,429,869,615,513,1129,652,474,1124,622,437,1054,661,353,1017,1572,611,2181,1385,169,1558,1072,114,1182,1039,260,1305,2812,114,2925,1311,311,1619,114,170,280,13208,5891,19102
SED30011,82,103,183,51,68,115,115,419,533,122,632,759,478,1498,1969,501,675,1175,1509,483,1991,1085,481,1560,1184,429,1619,1094,221,1319,758,161,920,650,91,739,1058,113,1176,533,21,554,319,5,327,142,45,185,246,13,259,867,94,962,230,400,636,11023,5961,16988
SED30012,142,118,262,54,41,90,136,166,304,137,270,414,395,636,1033,606,357,961,1206,402,1606,1169,552,1725,1667,608,2276,1835,434,2271,1593,344,1939,1461,217,1673,2906,276,3186,1737,71,1814,1055,23,1078,552,53,603,858,10,872,1751,162,1913,250,175,427,19522,4930,24446
SED30013,91,111,202,68,68,130,90,301,394,101,439,544,346,957,1299,359,443,805,1011,442,1446,768,475,1247,974,447,1422,1022,303,1320,723,212,931,784,145,933,1454,186,1645,944,43,987,584,31,619,349,65,416,630,34,667,1292,112,1403,231,324,552,11829,5137,16967
SED30014,91,120,217,45,84,127,73,271,339,70,482,553,333,1071,1408,330,560,888,977,498,1472,794,584,1381,1105,550,1657,1109,407,1519,827,334,1159,907,222,1127,1678,334,2014,1212,115,1327,790,57,845,447,132,577,929,50,979,1272,262,1529,174,324,492,13161,6440,19598
SED30015,158,131,286,112,77,190,112,299,412,105,410,521,610,1041,1648,544,454,996,1814,336,2144,1122,398,1523,1289,349,1637,1136,217,1348,805,159,965,789,118,908,1269,118,1386,765,19,786,431,7,435,288,53,337,499,12,506,1383,70,1455,274,286,560,13504,4547,18044
SED30016,107,221,322,63,99,164,128,490,621,147,725,871,400,1357,1758,540,791,1329,990,845,1837,1006,866,1871,1274,805,2082,1219,531,1756,900,436,1339,830,305,1137,1591,409,2000,981,79,1064,522,49,569,379,139,520,634,44,680,1407,288,1694,251,418,663,13362,8908,22270
SED30017,165,125,294,103,91,193,136,347,484,103,513,619,532,1143,1671,432,441,875,1383,382,1760,874,423,1304,1035,367,1399,980,221,1203,653,124,771,676,111,786,1152,213,1363,660,28,691,390,14,406,237,96,333,473,22,497,1238,65,1311,333,379,708,11560,5105,16665
SED30018,105,134,239,65,56,129,83,236,319,81,491,574,412,1099,1508,452,631,1083,1277,435,1718,1075,480,1553,1390,429,1814,1257,286,1549,947,219,1167,874,143,1019,1587,203,1791,1008,31,1043,551,21,571,388,70,465,704,12,715,1383,116,1501,205,289,493,13856,5389,19238
SED30019,48,83,130,34,34,72,74,189,263,63,307,367,263,695,956,286,316,602,829,326,1153,686,376,1065,1034,386,1424,1042,266,1310,885,197,1084,951,138,1093,1978,199,2177,1363,23,1387,789,16,813,491,42,528,782,11,791,1125,78,1205,146,141,291,12865,3828,16699
SED30020,100,73,174,48,40,88,47,148,191,45,219,265,187,540,728,232,331,570,603,240,838,544,331,878,806,330,1138,760,274,1034,750,257,1011,792,190,979,1803,323,2129,1443,75,1514,1135,60,1198,910,104,1016,2194,53,2247,1225,119,1348,140,133,269,13774,3838,17616
SED30021,104,195,298,39,64,112,62,268,325,39,402,432,161,747,908,198,551,746,396,578,971,459,711,1169,704,850,1557,730,674,1399,652,625,1282,665,489,1154,1542,792,2334,1210,134,1349,874,85,954,873,335,1212,2665,79,2741,1214,299,1517,103,246,350,12689,8122,20813
SED30022,91,114,207,71,66,135,64,227,289,58,381,436,263,876,1137,337,472,804,876,406,1284,744,341,1083,1011,365,1373,991,224,1211,782,177,958,905,137,1039,1697,196,1897,1303,22,1326,931,19,952,704,95,799,1519,8,1532,1311,73,1381,185,241,424,13822,4455,18274
SED30023,98,82,177,84,60,142,83,165,253,100,295,398,369,760,1126,393,374,773,1174,386,1554,918,479,1394,1232,424,1657,1275,274,1547,975,174,1151,1068,136,1204,2012,157,2170,1353,42,1391,703,17,725,421,69,493,729,11,735,1564,76,1637,206,176,385,14750,4157,18910
SED30024,107,94,196,73,64,133,136,409,549,138,472,606,493,782,1275,442,406,845,916,393,1308,845,395,1241,1002,340,1340,992,240,1230,674,206,885,688,152,843,1242,241,1481,734,45,782,486,23,508,264,63,329,460,34,492,1264,114,1379,265,344,609,11226,4817,16041
SED30025,176,141,325,73,53,126,116,172,291,128,325,446,422,825,1247,576,528,1104,1507,409,1918,1182,514,1703,1726,523,2256,1647,326,1972,1386,260,1645,1383,164,1539,2534,255,2791,1636,56,1695,1011,22,1027,723,121,844,1389,16,1409,1735,147,1879,261,225,493,19611,5097,24707
SED30026,74,131,205,56,61,123,73,247,323,61,393,461,291,1071,1363,350,596,950,946,501,1442,828,527,1352,1069,505,1569,1022,313,1340,856,294,1146,872,194,1069,1560,217,1778,1051,53,1106,641,27,663,431,99,528,732,28,762,1269,186,1450,187,254,441,12375,5700,18080
SED30027,118,125,245,95,76,173,104,328,436,104,500,607,420,1059,1487,384,418,798,1162,387,1554,785,418,1203,1045,374,1416,879,242,1121,652,176,827,653,127,778,1231,244,1473,824,24,844,480,21,497,357,131,492,762,24,791,1439,82,1529,273,341,611,11770,5118,16885
SED30028,53,60,122,36,30,60,41,137,176,41,262,309,162,572,736,215,345,563,549,288,833,542,341,882,764,366,1129,817,267,1083,772,233,1001,780,185,962,1827,269,2093,1471,60,1526,1018,28,1048,733,78,812,1456,19,1471,1149,123,1274,103,131,227,12520,3790,16307
SED30029,49,51,95,44,32,77,61,114,175,55,151,205,189,374,565,190,239,429,511,188,704,570,239,806,807,261,1060,754,203,957,717,171,893,767,118,887,1752,202,1957,1421,30,1454,1032,17,1053,786,60,841,1603,9,1610,1219,56,1271,102,108,214,12640,2611,15252
SED30030,108,96,202,48,51,97,79,213,294,70,332,402,339,725,1060,410,376,782,1089,355,1441,855,414,1266,1267,405,1678,1336,248,1580,1153,188,1343,1168,145,1312,2297,178,2475,1467,39,1501,821,22,840,499,56,555,765,18,788,1393,129,1524,184,207,393,15339,4184,19524
SED30031,140,154,302,93,62,155,102,295,398,116,395,511,375,641,1014,412,315,727,813,309,1122,654,348,998,786,398,1187,881,315,1198,762,276,1036,806,245,1053,1983,414,2398,1393,47,1443,911,32,935,790,207,1003,1410,33,1442,1659,117,1779,197,173,372,14295,4778,19067
SED30032,124,105,229,77,68,147,107,218,325,91,315,407,425,798,1224,441,405,845,1237,316,1556,1070,381,1456,1399,351,1750,1320,225,1549,960,141,1099,1027,119,1149,1783,141,1923,1123,19,1144,674,10,678,438,53,492,690,7,703,1432,94,1524,206,165,369,14623,3935,18560
SED30033,56,120,180,37,51,85,83,179,261,54,384,429,189,749,937,200,403,605,479,393,872,498,433,932,673,565,1238,674,406,1079,589,419,1012,680,325,1008,1514,541,2058,1297,124,1419,949,65,1016,830,175,998,2033,60,2093,960,228,1185,87,165,252,11881,5776,17659
SED30034,100,107,206,50,62,109,65,233,295,63,316,376,227,589,811,204,257,459,522,284,814,419,340,757,631,396,1028,693,281,976,549,198,746,670,178,850,1306,328,1640,903,30,931,540,24,561,455,139,593,877,25,906,1277,77,1356,195,204,399,9755,4060,13817
SED30035,113,122,234,81,69,151,115,347,464,136,551,691,552,1444,1996,607,611,1220,1745,435,2173,1198,485,1683,1429,405,1837,1240,238,1474,819,165,984,780,93,876,1134,114,1250,702,23,724,359,6,364,204,47,248,323,9,331,1236,94,1333,253,314,567,13025,5566,18589
SED30036,122,136,255,90,88,177,156,358,515,133,689,818,657,1615,2269,622,800,1421,2312,520,2835,1377,490,1872,1658,440,2094,1357,241,1591,810,166,973,739,116,851,1223,141,1361,616,31,643,319,11,332,226,45,267,374,6,384,1217,103,1321,297,384,683,14301,6380,20673
SED30037,129,120,254,77,80,155,92,285,374,109,409,520,426,920,1348,383,388,770,1173,419,1587,881,469,1349,1186,450,1638,1284,293,1574,972,235,1203,1032,143,1171,1793,166,1962,1174,30,1204,633,15,646,339,69,405,537,17,553,1634,122,1754,279,291,570,14126,4908,19031
SED30038,170,113,279,68,53,127,163,238,404,156,374,526,474,706,1180,495,260,761,1030,267,1298,990,394,1383,1248,378,1631,1273,277,1552,948,216,1161,894,132,1022,1690,157,1853,1066,38,1098,544,17,558,339,40,378,410,14,425,1226,119,1344,219,194,409,13407,3982,17391
SED30039,169,476,644,52,119,175,83,263,340,62,215,273,134,519,655,192,456,648,344,398,742,376,458,838,594,516,1115,611,478,1086,559,481,1037,551,317,864,1180,553,1734,956,126,1082,732,66,802,784,270,1054,2412,65,2476,1098,415,1513,74,147,220,10977,6332,17304
SED30040,64,91,155,44,62,103,82,253,331,106,451,558,303,1027,1328,485,511,1000,1056,410,1466,944,545,1489,1228,584,1814,1275,357,1634,977,282,1259,991,150,1146,1742,198,1943,1100,39,1143,602,16,616,346,34,381,469,8,479,1146,98,1243,176,271,444,13144,5386,18527
SED30041,87,114,202,56,66,123,85,200,287,112,356,471,377,898,1282,530,425,950,1150,390,1536,1008,442,1451,1291,444,1737,1262,286,1549,1019,219,1238,978,138,1116,1729,145,1880,1109,35,1144,673,6,679,381,41,420,607,7,619,1368,84,1458,175,211,384,14012,4509,18519
SED30042,80,94,179,51,45,91,66,182,245,87,289,373,288,632,919,393,390,782,1005,319,1322,888,446,1332,1191,453,1646,1318,308,1624,1100,243,1349,1109,126,1233,2131,179,2313,1308,45,1349,745,20,759,398,31,432,664,6,674,1221,103,1323,149,196,346,14191,4107,18304
SED30043,99,106,202,55,46,104,65,222,281,73,410,481,388,1063,1452,406,636,1042,1378,412,1798,974,391,1368,1261,364,1630,1261,245,1506,977,210,1185,947,147,1098,1737,188,1933,1183,49,1234,701,34,733,388,102,489,783,28,807,1353,172,1528,195,243,435,14238,5068,19305
SED30044,109,126,230,71,73,146,117,267,384,100,417,516,409,910,1324,442,405,842,1132,406,1541,867,411,1271,1069,419,1491,1039,270,1307,810,259,1071,903,153,1056,1786,221,2008,1201,35,1238,762,16,778,477,83,562,899,25,928,1806,126,1928,218,315,532,14209,4938,19148
SED30045,95,115,212,62,62,121,91,205,296,82,316,402,389,816,1207,383,369,760,1146,292,1440,918,391,1315,1175,334,1508,1186,228,1411,959,170,1129,977,99,1078,1782,122,1898,1255,32,1283,730,20,752,385,26,411,629,25,650,1406,130,1535,242,212,454,13904,3954,17857
SED30046,104,69,171,41,32,72,80,100,177,63,160,220,265,453,727,324,205,535,832,219,1051,723,239,964,950,280,1232,1100,216,1323,938,127,1070,972,107,1082,1920,120,2037,1247,26,1273,681,7,686,450,30,476,602,9,613,1288,74,1362,182,121,299,12772,2579,15354
SED30047,64,101,166,31,60,91,72,228,299,61,406,466,264,1007,1264,266,473,735,790,371,1161,679,400,1076,956,450,1406,950,303,1248,721,228,948,855,206,1059,1710,279,1982,1354,34,1391,929,27,956,665,82,748,1290,21,1310,1347,118,1466,164,243,406,13164,5006,18169
SED30048,94,142,236,50,92,133,99,352,454,96,541,638,314,948,1269,386,480,866,784,401,1182,656,460,1117,838,475,1309,839,331,1167,682,266,952,696,191,893,1312,307,1620,890,47,938,566,27,592,315,82,401,567,29,598,1399,145,1552,183,287,471,10769,5612,16379
SED30049,154,175,328,54,63,119,91,189,273,56,279,334,197,577,777,246,351,593,687,301,989,584,311,896,840,293,1134,795,249,1047,659,218,879,767,147,913,1519,220,1739,1253,75,1322,871,43,912,637,75,710,1327,16,1349,1020,144,1162,125,145,270,11880,3862,15742
SED30050,122,166,290,68,70,137,102,358,456,98,595,694,368,1162,1525,431,757,1187,1085,710,1798,966,738,1705,1324,764,2094,1362,530,1896,909,384,1295,902,262,1166,1591,363,1957,1004,95,1097,575,33,607,392,164,556,720,40,760,1280,283,1564,169,277,446,13481,7748,21236
SED30051,137,153,291,93,78,173,123,387,505,133,662,800,709,1583,2291,631,531,1163,2081,409,2489,1313,450,1764,1468,407,1868,1235,215,1452,749,137,889,764,84,842,1110,87,1199,608,11,618,335,9,337,161,46,209,282,11,292,1204,110,1308,337,387,725,13467,5757,19222
SED30052,154,245,396,52,82,134,87,225,314,79,353,430,292,769,1067,352,549,904,917,478,1395,769,576,1346,1108,573,1678,1157,374,1534,876,336,1211,910,265,1175,1696,361,2056,1194,112,1304,780,60,843,570,164,735,1201,55,1257,1273,297,1569,203,222,422,13679,6095,19771
SED30053,136,120,259,90,64,154,99,279,377,91,323,408,384,668,1046,327,273,602,854,275,1122,633,339,973,893,337,1235,961,217,1178,790,236,1025,850,166,1022,1752,328,2081,1192,41,1233,745,14,757,498,132,629,949,20,971,1938,76,2013,301,255,555,13479,4158,17637
SED30054,88,69,158,44,28,66,61,90,149,36,142,177,171,304,469,152,233,381,387,156,546,483,213,700,687,254,946,666,159,827,639,181,817,679,125,801,1561,181,1749,1317,28,1348,1046,17,1070,901,109,1007,2555,22,2577,1430,71,1500,104,89,190,13006,2467,15475
SED30055,92,83,174,50,47,99,81,131,213,97,259,364,327,596,929,455,350,799,1097,283,1376,978,338,1323,1333,374,1701,1328,210,1539,1113,141,1255,1148,105,1250,2017,118,2131,1248,23,1274,746,4,756,384,28,414,635,8,647,1300,90,1392,189,145,333,14630,3338,17965
SED30056,107,291,401,37,79,118,48,224,270,42,281,323,122,508,629,133,429,565,251,372,625,319,514,833,462,622,1088,533,600,1131,466,585,1046,541,392,928,1121,743,1865,918,194,1108,781,138,917,763,397,1160,2585,157,2744,950,491,1441,54,132,183,10234,7146,17377
SED30057,72,91,162,37,37,78,74,158,237,69,213,284,198,360,557,165,161,322,323,216,543,279,223,505,403,296,701,445,235,677,357,183,545,416,185,600,928,401,1325,736,40,779,572,36,599,359,106,466,745,50,791,859,104,966,178,204,382,7226,3295,10520
SED30058,91,79,174,53,38,90,69,126,192,57,182,238,200,392,589,227,294,520,523,252,778,558,286,844,751,310,1057,800,257,1056,690,226,916,753,178,923,1742,235,1980,1370,48,1422,1059,25,1082,737,103,838,1636,14,1650,1150,107,1262,83,104,187,12536,3261,15799
SED30059,161,111,270,75,42,118,88,154,249,96,264,356,292,645,934,333,381,721,913,339,1255,886,364,1250,1201,402,1607,1207,254,1462,1016,203,1218,1080,141,1229,1979,211,2190,1436,55,1493,815,28,846,576,80,659,1160,18,1175,1383,123,1506,197,256,454,14888,4078,18970
SED30060,100,97,198,69,50,119,84,255,335,117,381,501,366,739,1099,425,374,797,1010,417,1422,921,422,1339,1157,415,1567,1198,277,1473,982,174,1151,924,141,1068,1688,156,1841,986,28,1009,518,16,539,302,36,341,407,11,418,1460,108,1568,213,210,423,12910,4306,17217
SED30061,80,122,205,57,64,123,75,215,293,70,357,431,303,764,1064,325,449,770,727,358,1080,682,406,1086,874,396,1276,886,332,1222,743,275,1020,765,187,956,1393,238,1635,1022,56,1080,583,32,614,392,60,448,659,23,678,1173,192,1361,127,197,319,10932,4733,15665
SED30062,142,109,249,75,45,120,102,204,304,117,365,479,407,968,1378,557,564,1114,1440,422,1863,1174,494,1664,1561,496,2056,1627,339,1965,1443,275,1723,1426,179,1597,2738,226,2966,1767,47,1818,1023,29,1051,631,65,693,973,15,990,1717,127,1839,278,241,518,19176,5209,24387
SED30063,137,142,283,89,93,179,120,343,460,101,538,637,621,1368,1991,508,482,987,1700,438,2141,1110,476,1586,1312,363,1670,1192,211,1404,822,172,996,777,108,885,1343,136,1476,745,27,769,426,12,436,240,59,304,382,18,394,1305,102,1404,260,317,575,13186,5386,18575
SED30064,95,110,205,68,57,122,110,288,395,86,434,523,384,1060,1447,419,639,1058,1264,447,1711,1034,424,1458,1326,391,1723,1291,232,1522,1034,154,1192,925,110,1037,1652,139,1791,1026,13,1042,565,13,569,298,59,354,464,14,478,1268,119,1387,202,242,447,13518,4933,18449
SED30065,153,140,298,71,64,132,98,283,383,90,417,502,417,953,1368,412,590,1006,1242,462,1705,1068,430,1498,1362,416,1785,1308,271,1586,988,220,1209,919,171,1093,1614,187,1800,988,33,1023,617,11,624,410,120,530,906,15,919,1587,133,1721,189,251,438,14450,5163,19617
SED30066,81,132,215,55,78,134,77,239,316,90,445,536,241,988,1231,322,543,871,716,451,1168,726,585,1314,1066,676,1740,1053,527,1578,905,526,1431,990,343,1331,2024,500,2520,1551,140,1692,1013,80,1093,621,150,772,1136,63,1197,1142,237,1380,168,259,425,13993,6965,20949
SED30067,87,67,149,44,36,79,72,137,213,60,241,299,264,582,848,314,319,631,812,310,1120,777,380,1155,1130,419,1552,1141,270,1406,1094,201,1294,1113,124,1236,2204,180,2378,1473,29,1504,926,14,941,575,41,613,926,9,940,1268,82,1348,159,107,271,14426,3560,17991
SED30068,105,144,254,90,71,163,122,367,487,124,688,813,621,1695,2315,617,930,1546,2063,529,2593,1350,563,1914,1549,506,2055,1406,279,1681,964,185,1150,862,131,998,1366,140,1499,734,24,758,452,9,464,239,81,314,405,16,418,1191,94,1282,276,426,705,14536,6868,21408
SED30069,94,130,224,59,80,137,99,355,456,98,728,825,389,1544,1934,398,821,1217,1160,587,1746,982,678,1660,1178,618,1793,1132,384,1517,869,300,1171,830,204,1035,1509,238,1744,990,28,1014,620,17,638,355,92,448,680,16,697,1164,117,1281,219,403,620,12821,7339,20158
SED30070,109,105,217,56,50,105,50,232,282,82,358,442,362,965,1327,384,466,850,1147,327,1472,835,337,1170,1013,305,1321,996,181,1171,862,140,1002,871,126,994,1819,139,1958,1372,26,1397,837,10,849,582,45,628,1123,11,1136,1342,85,1426,213,205,413,14056,4110,18167
SED30071,81,117,197,56,69,126,86,309,401,130,513,637,377,1198,1579,447,548,996,1034,447,1474,836,492,1332,1008,516,1523,1006,343,1346,881,236,1121,859,184,1038,1422,244,1668,931,54,986,536,18,559,315,87,405,511,24,537,1319,120,1443,190,305,496,12044,5827,17867
SED30072,86,116,202,47,52,91,56,209,262,63,398,453,245,982,1220,257,535,789,811,394,1209,739,411,1154,1022,470,1495,1006,341,1344,909,307,1217,940,187,1131,1993,264,2257,1401,45,1445,870,25,887,588,83,671,907,11,919,1211,109,1319,150,247,399,13287,5179,18469
SED30073,158,385,544,53,128,181,70,474,544,72,573,650,214,840,1062,201,562,759,441,592,1029,458,716,1175,698,952,1650,726,813,1541,641,738,1386,665,594,1267,1571,1008,2580,1252,256,1505,872,158,1029,774,559,1336,1776,195,1971,1048,655,1700,80,239,323,11774,10445,22219
SED30074,124,118,241,94,92,188,107,364,472,97,527,624,509,1329,1839,486,577,1060,1532,495,2026,1032,507,1537,1386,397,1783,1292,247,1541,843,143,982,895,102,998,1301,132,1429,703,25,726,346,12,355,187,71,256,319,6,325,1236,73,1309,264,372,637,12755,5590,18345
