SED_CODE_2016,CF_no_children_F,CF_no_children_P,CF_ChU15_a_DSs_a_NdCh_F,CF_ChU15_a_DSs_a_NdCh_P,CF_ChU15_a_DSs_a_no_NdCh_F,CF_ChU15_a_DSs_a_no_NdCh_P,CF_ChU15_a_no_DSs_a_NdCh_F,CF_ChU15_a_no_DSs_a_NdCh_P,CF_ChU15_a_no_DSs_a_no_NdCh_F,CF_ChU15_a_no_DSs_a_no_NdCh_P,CF_ChU15_a_Total_F,CF_ChU15_a_Total_P,CF_no_ChU15_a_DSs_a_NdCh_F,CF_no_ChU15_a_DSs_a_NdCh_P,CF_no_ChU15_a_DSs_a_no_NdCh_F,CF_no_ChU15_a_DSs_a_no_NdCh_P,CF_no_ChU15_a_no_DSs_a_NdCh_F,CF_no_ChU15_a_no_DSs_a_NdCh_P,CF_no_ChU15_a_Total_F,CF_no_ChU15_a_Total_P,CF_Total_F,CF_Total_P,OPF_ChU15_a_DSs_a_NdCh_F,OPF_ChU15_a_DSs_a_NdCh_P,OPF_ChU15_a_DSs_a_no_NdCh_F,OPF_ChU15_a_DSs_a_no_NdCh_P,OPF_ChU15_a_no_DSs_a_NdCh_F,OPF_ChU15_a_no_DSs_a_NdCh_P,OPF_ChU15_a_no_DSs_no_NdCh_F,OPF_ChU15_a_no_DSs_no_NdCh_P,OPF_ChU15_a_Total_F,OPF_ChU15_a_Total_P,OPF_no_ChU15_a_DSs_a_NdCh_F,OPF_no_ChU15_a_DSs_a_NdCh_P,OPF_no_ChU15_a_DSs_no_NdCh_F,OPF_no_ChU15_a_DSs_no_NdCh_P,OPF_no_ChU15_no_DSs_a_NdCh_F,OPF_no_ChU15_no_DSs_a_NdCh_P,OPF_no_ChU15_a_Total_F,OPF_no_ChU15_a_Total_P,OPF_Total_F,OPF_Total_P,Other_family_F,Other_family_P,Total_F,Total_P
SED30019,4805,9633,112,608,518,2390,175,786,3121,12165,3917,15941,336,1390,442,1516,1341,4248,2120,7153,6043,23097,30,150,139,500,77,279,858,2349,1108,3278,111,353,194,442,861,1890,1164,2686,2271,5968,164,341,13285,39040
SED30020,4825,9616,83,473,688,3124,123,530,3930,15205,4819,19336,408,1708,706,2460,1169,3716,2281,7883,7100,27220,26,138,139,468,51,178,680,1758,889,2540,78,247,228,527,717,1571,1027,2342,1922,4882,229,476,14075,42200
SED30021,5415,10644,54,275,573,2600,62,267,3280,12299,3971,15446,218,921,599,2053,661,2062,1484,5037,5456,20484,14,56,104,344,13,48,579,1363,712,1816,58,186,260,573,595,1229,909,1995,1618,3805,365,760,12848,35689
SED30022,5679,11250,95,523,664,3028,185,800,2926,11426,3872,15774,401,1659,681,2314,1239,3849,2324,7829,6190,23601,26,105,142,485,73,245,827,2158,1066,2995,95,287,260,574,724,1525,1073,2386,2137,5385,171,370,14179,40604
SED30023,6086,11994,166,976,702,3325,233,1095,3801,15499,4906,20900,320,1308,452,1431,1189,3654,1962,6393,6864,27288,26,143,164,611,96,359,917,2670,1204,3784,52,164,126,269,586,1254,765,1687,1966,5470,158,338,15070,45085
SED30024,4329,8673,134,865,381,1797,339,1833,2853,11900,3709,16400,112,460,196,591,767,2502,1076,3557,4778,19948,52,288,102,385,185,825,1318,3977,1666,5468,39,111,113,232,697,1657,840,2007,2502,7474,308,735,11925,36835
SED30025,7487,14909,143,819,800,3735,317,1479,5139,20147,6402,26187,377,1547,692,2305,1411,4473,2478,8321,8877,34506,47,210,269,946,126,467,1724,4858,2158,6483,128,405,285,652,969,2137,1383,3189,3544,9676,235,501,20155,59588
SED30026,5231,10358,96,529,449,1983,144,638,2702,10407,3388,13563,256,1074,398,1297,1041,3239,1694,5608,5081,19170,33,133,157,518,72,231,816,2123,1070,3007,94,300,244,526,863,1820,1197,2650,2276,5659,172,351,12756,35543
SED30027,5244,10262,78,440,470,2191,187,824,2798,11166,3527,14623,115,467,240,719,788,2381,1150,3571,4674,18193,25,114,155,558,83,299,875,2472,1133,3442,49,144,131,265,578,1218,758,1627,1893,5068,161,340,11970,33860
SED30028,4418,8754,75,421,637,2863,121,534,3575,13790,4403,17606,347,1468,608,2121,1065,3403,2023,6996,6428,24594,22,100,127,426,38,143,656,1687,847,2360,76,235,182,412,595,1263,855,1918,1702,4274,204,433,12756,38057
SED30029,4576,9043,83,470,730,3293,144,653,3623,14241,4579,18661,421,1743,615,2115,1081,3413,2114,7279,6692,25936,17,72,128,424,47,159,612,1615,801,2264,60,180,188,446,534,1163,778,1791,1585,4052,124,269,12975,39295
SED30030,5347,10716,132,720,696,3213,306,1369,4098,15882,5222,21184,366,1567,558,1873,1356,4330,2280,7775,7505,28957,48,216,215,764,147,489,1209,3261,1613,4731,104,317,255,562,901,1956,1255,2836,2874,7564,174,363,15900,47605
SED30031,5476,10693,105,578,693,3146,236,1055,4227,16436,5265,21220,222,877,391,1168,937,2822,1553,4866,6814,26090,18,81,144,523,71,254,1056,2851,1292,3709,45,134,155,308,565,1190,755,1631,2051,5347,168,338,14506,42468
SED30032,6688,13290,135,751,570,2671,261,1197,3207,12786,4174,17402,280,1186,475,1537,1259,3919,2011,6644,6182,24043,38,157,161,577,90,321,898,2528,1188,3576,67,225,174,378,731,1582,973,2185,2159,5761,146,312,15170,43395
SED30033,4563,9058,56,324,497,2290,68,316,3510,13339,4132,16273,243,1018,514,1804,612,1940,1370,4765,5497,21040,17,74,112,389,44,145,622,1535,792,2145,65,221,193,438,626,1327,883,1984,1677,4130,334,687,12074,34910
SED30034,3853,7507,80,424,418,1848,127,584,3093,12362,3718,15211,163,602,205,580,628,1888,995,3069,4713,18289,16,61,96,353,63,239,619,1723,787,2369,25,73,68,145,338,709,431,931,1224,3299,138,292,9928,29386
SED30035,6236,12333,105,618,468,2204,176,789,2443,9756,3202,13373,148,596,296,946,930,2887,1378,4432,4578,17804,30,132,161,587,88,298,1084,2950,1360,3965,58,178,202,433,784,1642,1036,2250,2394,6209,132,284,13346,36631
SED30036,7448,14745,82,454,423,1951,169,749,2360,9273,3035,12432,121,502,310,968,891,2765,1322,4235,4357,16665,38,173,209,784,128,484,1175,3222,1544,4661,76,250,210,465,810,1704,1095,2411,2643,7075,164,333,14609,38821
SED30037,6481,12688,79,459,514,2374,193,854,3524,13620,4319,17308,206,813,372,1137,922,2832,1494,4777,5807,22087,26,124,128,455,79,292,897,2500,1134,3365,52,169,128,276,602,1278,783,1724,1919,5090,162,342,14370,40217
SED30038,3880,7885,201,1257,677,3393,283,1393,3464,13661,4628,19713,353,1538,451,1526,1094,3547,1900,6616,6521,26324,58,304,250,966,168,637,1250,3639,1726,5545,163,575,303,708,1101,2487,1577,3766,3303,9311,345,744,14042,44263
SED30039,4241,8335,31,181,573,2583,49,206,3045,11650,3702,14624,233,942,683,2327,615,1862,1530,5128,5230,19755,6,30,95,325,12,45,408,998,528,1393,52,146,251,589,401,840,711,1577,1238,2967,394,817,11100,31877
SED30040,4619,9192,123,682,484,2309,197,917,3155,12450,3947,16360,235,985,394,1289,1049,3352,1679,5633,5625,21990,59,296,194,733,124,462,1314,3695,1694,5183,83,270,218,474,941,2074,1241,2816,2936,7999,256,540,13440,39716
SED30041,5114,10164,150,851,604,2813,229,1092,3306,13244,4284,17995,254,1086,439,1437,1186,3774,1882,6297,6171,24291,51,234,208,789,159,573,1353,3934,1771,5532,97,312,213,474,857,1871,1168,2659,2935,8185,206,430,14416,43082
SED30042,5180,10333,115,674,584,2714,222,1052,3749,14778,4671,19222,277,1165,404,1347,1192,3770,1868,6280,6545,25500,32,166,191,662,112,380,1262,3394,1588,4600,98,309,247,529,776,1654,1116,2493,2705,7095,180,376,14606,43298
SED30043,6050,11955,78,398,642,2909,198,873,3348,13092,4263,17268,264,1099,440,1432,964,3021,1674,5549,5934,22817,29,122,188,658,100,343,951,2604,1269,3725,88,279,259,577,755,1614,1099,2468,2367,6192,164,352,14520,41318
SED30044,6026,11757,111,616,605,2766,228,1004,3337,12996,4274,17383,234,932,462,1441,1121,3420,1809,5791,6089,23173,28,125,185,687,101,356,1025,2887,1331,4050,63,207,167,359,640,1350,870,1916,2207,5965,178,368,14498,41261
SED30045,5769,11469,177,1007,631,3008,280,1318,3399,13605,4485,18931,303,1298,419,1379,1194,3789,1921,6464,6405,25397,36,175,152,567,101,400,921,2613,1210,3757,82,276,144,331,663,1430,892,2035,2101,5793,178,379,14451,43042
SED30046,4570,9229,174,1062,613,2963,346,1633,3169,12876,4305,18533,382,1627,460,1518,1511,4870,2350,8014,6651,26541,42,209,160,608,96,365,918,2642,1219,3824,89,294,161,375,709,1546,959,2213,2176,6042,168,360,13564,42168
SED30047,4758,9450,68,367,578,2635,171,763,3430,12932,4242,16695,262,1099,531,1771,1047,3286,1838,6152,6082,22847,22,106,155,547,92,321,922,2378,1193,3346,107,336,227,486,844,1808,1180,2633,2371,5981,244,500,13454,38777
SED30048,4363,8465,81,438,366,1691,156,714,2453,9297,3059,12137,167,674,315,962,779,2400,1260,4036,4324,16171,22,93,138,478,98,367,944,2534,1210,3471,56,181,147,300,648,1364,850,1851,2059,5325,196,399,10933,30353
SED30049,4287,8573,86,460,701,3248,111,496,3169,12248,4061,16448,377,1598,639,2225,1002,3199,2019,7019,6084,23470,26,120,120,416,52,206,561,1494,757,2238,83,257,189,423,660,1438,930,2116,1686,4356,226,483,12281,36879
SED30050,6589,12989,57,290,352,1569,117,515,2644,9879,3177,12254,183,735,373,1189,805,2443,1361,4363,4536,16620,15,78,129,422,70,230,948,2403,1163,3141,77,232,275,582,816,1678,1164,2491,2326,5632,236,491,13688,35737
SED30051,6832,13563,90,478,437,2064,185,855,2313,9171,3018,12566,173,723,315,983,931,2894,1415,4601,4433,17166,28,147,153,546,89,317,1042,3005,1313,4021,60,198,168,365,752,1600,983,2168,2297,6187,183,371,13749,37289
SED30052,5759,11459,57,319,526,2341,148,626,3013,11393,3743,14685,277,1135,602,2012,1093,3402,1975,6550,5721,21233,23,111,157,530,59,195,828,2075,1071,2917,99,299,296,650,831,1762,1224,2716,2301,5627,240,503,14015,38822
SED30053,5801,11282,111,600,578,2658,249,1122,3411,13376,4357,17756,177,715,372,1164,1128,3470,1683,5347,6037,23100,23,102,140,485,64,226,810,2263,1029,3080,42,153,124,272,541,1158,709,1577,1744,4657,140,301,13726,39340
SED30054,4556,8950,94,497,848,3823,113,474,3608,14307,4664,19098,409,1698,1002,3483,1075,3325,2486,8506,7150,27602,15,77,151,506,37,119,495,1282,699,1984,84,272,255,586,428,941,766,1794,1470,3780,120,256,13291,40589
SED30055,4966,9893,159,946,759,3630,308,1475,3672,14629,4902,20685,353,1466,528,1748,1312,4229,2199,7433,7095,28124,55,236,213,797,142,519,1368,3914,1780,5467,106,326,223,514,840,1893,1169,2738,2948,8207,163,351,15174,46574
SED30056,4619,9050,22,122,382,1729,27,120,2683,10214,3126,12195,174,689,486,1661,452,1396,1107,3745,4232,15937,4,16,81,243,11,38,365,853,459,1150,48,153,217,480,357,759,624,1388,1082,2541,400,833,10333,28366
SED30057,2813,5542,58,294,235,1065,194,983,2118,8401,2603,10746,71,275,130,370,434,1373,630,2017,3235,12770,31,136,69,285,93,430,684,2061,882,2910,32,101,65,121,369,824,460,1047,1347,3961,132,287,7525,22555
SED30058,4445,8853,83,464,689,3174,117,528,3545,13728,4440,17891,335,1382,710,2423,1101,3422,2148,7224,6582,25120,9,53,129,435,46,133,559,1455,744,2081,89,289,215,486,577,1243,879,2018,1624,4093,196,430,12856,38497
SED30059,5537,11021,97,532,686,3096,237,1049,3925,15236,4937,19908,357,1492,641,2118,1286,4079,2285,7683,7222,27598,38,159,193,650,81,266,1041,2729,1345,3802,92,288,297,680,774,1659,1164,2633,2511,6437,160,336,15425,45387
SED30060,4697,9258,149,953,551,2658,286,1423,3188,12728,4178,17762,219,910,324,1020,918,2913,1455,4845,5636,22607,59,323,227,912,163,697,1395,4192,1855,6120,92,313,177,379,767,1733,1037,2427,2894,8551,219,484,13443,40901
SED30061,4191,8265,89,502,518,2454,130,607,2457,9614,3188,13184,219,910,404,1344,747,2310,1372,4566,4559,17750,37,191,164,621,90,338,855,2418,1154,3569,87,273,225,494,700,1511,1015,2287,2166,5853,239,509,11162,32374
SED30062,6670,13293,191,1112,887,4135,359,1639,5499,21401,6932,28288,378,1583,601,1985,1329,4210,2306,7781,9237,36063,61,279,285,1068,163,579,1773,4971,2279,6898,121,372,257,575,968,2096,1344,3039,3624,9936,236,486,19773,59780
SED30063,6419,12710,85,493,495,2353,191,892,2706,11088,3476,14825,150,621,306,924,907,2794,1362,4337,4843,19167,19,80,174,647,88,339,941,2728,1220,3792,54,172,125,272,654,1378,833,1825,2052,5615,166,360,13482,37849
SED30064,5934,11802,106,583,522,2458,192,849,3139,12271,3954,16158,225,925,360,1156,1069,3330,1656,5411,5607,21567,32,131,149,508,83,310,974,2674,1231,3618,62,203,210,463,744,1581,1020,2246,2251,5867,136,281,13930,39519
SED30065,7061,13855,73,374,572,2533,141,615,3065,11845,3844,15360,198,773,458,1444,947,2920,1609,5137,5453,20494,29,112,165,559,83,273,820,2154,1089,3108,67,220,228,476,718,1495,1011,2188,2103,5293,112,230,14739,39881
SED30066,5545,11113,67,392,433,2035,135,617,3796,14133,4430,17177,206,897,409,1361,887,2826,1503,5088,5929,22262,24,115,134,487,79,285,897,2286,1140,3179,95,296,228,501,1029,2239,1354,3029,2496,6207,379,796,14351,40377
SED30067,5134,10273,143,820,669,3119,215,974,4012,15699,5032,20609,362,1510,502,1710,1290,4078,2149,7300,7185,27906,30,178,168,600,77,275,974,2646,1257,3694,93,312,214,501,795,1753,1100,2563,2360,6265,218,459,14893,44904
SED30068,7297,14539,89,486,369,1763,202,931,2354,9289,3014,12469,178,727,316,1015,1081,3331,1573,5079,4583,17548,40,171,179,668,144,520,1200,3411,1555,4775,88,282,235,524,913,1948,1243,2754,2794,7531,200,415,14883,40025
SED30069,5630,11191,73,443,394,1851,155,744,2321,8891,2948,11930,202,829,357,1177,995,3095,1550,5104,4501,17028,21,103,162,557,93,322,1065,2862,1343,3843,76,249,263,569,1061,2251,1405,3075,2743,6917,237,485,13119,35623
SED30070,6025,11972,138,729,662,3045,198,900,3256,12739,4252,17412,374,1507,532,1796,1210,3826,2115,7128,6372,24538,24,106,146,513,59,209,837,2263,1069,3088,74,238,159,359,659,1402,896,1998,1956,5081,130,267,14483,41860
SED30071,4450,8720,95,564,430,1995,175,794,2844,11054,3545,14404,185,758,296,911,848,2632,1323,4306,4866,18703,38,182,162,635,95,351,1263,3555,1562,4720,87,252,184,394,873,1821,1136,2474,2697,7198,246,510,12261,35133
SED30072,4913,9773,93,524,525,2406,159,695,3619,13713,4388,17329,283,1183,515,1708,1058,3361,1862,6242,6254,23578,31,136,126,427,83,291,798,2060,1029,2915,93,286,215,471,869,1833,1170,2596,2202,5512,249,525,13616,39382
SED30073,6190,12181,27,148,383,1701,52,238,2323,8389,2790,10476,136,580,435,1466,448,1386,1025,3433,3815,13910,9,43,108,351,29,76,542,1254,691,1729,42,141,277,577,483,1016,807,1739,1496,3471,459,954,11953,30515
SED30074,6000,11871,108,596,517,2428,164,717,2664,10744,3450,14493,191,752,320,963,860,2647,1367,4353,4818,18846,27,136,134,475,89,339,899,2503,1154,3461,45,146,116,249,622,1321,789,1718,1937,5177,189,394,12949,36294
SED30075,5810,11567,69,374,467,2141,153,702,2905,10862,3587,14075,300,1237,488,1625,966,3053,1759,5912,5346,19992,41,175,173,604,96,344,1079,2732,1387,3856,102,316,307,675,1146,2496,1556,3489,2949,7340,276,590,14382,39484
SED30076,5041,10097,115,649,566,2627,212,958,3467,13519,4349,17758,369,1551,539,1803,1340,4237,2249,7585,6597,25343,19,92,150,531,80,290,779,2091,1031,2998,105,341,215,494,783,1716,1107,2553,2139,5556,156,338,13936,41334
SED30077,4767,9441,48,290,454,2031,89,374,3334,12641,3922,15333,205,856,486,1696,609,1919,1294,4470,5222,19801,17,82,105,361,40,120,671,1663,836,2224,74,227,223,479,629,1352,925,2062,1764,4285,366,750,12109,34280
SED30078,4889,9909,133,822,788,3729,166,779,4675,17902,5763,23230,458,1925,810,2816,1340,4337,2610,9080,8371,32312,36,187,148,552,64,250,723,1948,967,2931,112,388,281,682,739,1665,1131,2728,2099,5659,316,700,15681,48572
SED30079,4844,9770,100,622,520,2460,135,626,3195,12123,3942,15832,278,1187,535,1825,1101,3499,1918,6517,5855,22342,38,176,146,568,69,242,754,2040,1009,3024,95,294,296,716,900,1965,1290,2971,2298,5996,371,806,13363,38909
SED30080,6888,13621,59,315,443,1976,103,412,2544,9485,3144,12193,188,779,524,1712,835,2574,1547,5067,4693,17253,16,63,138,475,54,177,792,2011,1008,2723,70,216,287,617,820,1692,1177,2524,2188,5243,280,591,14049,36706
SED30081,4982,9743,118,663,663,3123,252,1153,3530,13795,4567,18731,273,1114,470,1546,1053,3260,1793,5923,6361,24659,47,236,253,934,133,516,1350,3912,1792,5590,99,302,229,480,685,1474,1005,2264,2798,7856,194,415,14339,42670
SED30082,5389,10636,100,571,540,2587,147,681,2710,10871,3494,14715,182,730,361,1161,892,2735,1428,4621,4927,19334,28,129,186,651,103,370,1021,2798,1331,3942,63,200,220,459,745,1569,1022,2229,2357,6178,249,514,12924,36670
SED30083,5371,10636,92,536,531,2559,142,655,2997,11831,3763,15577,178,737,378,1191,747,2333,1298,4261,5067,19842,51,240,210,771,82,295,997,2706,1334,4019,104,335,215,465,713,1502,1029,2301,2366,6316,194,402,13003,37196
SED30084,4886,9491,64,371,433,1957,137,653,2596,9930,3226,12908,132,543,373,1193,602,1871,1107,3601,4331,16505,20,114,144,502,89,382,1112,2945,1368,3945,51,179,221,472,673,1477,944,2128,2311,6072,261,557,11797,32626
SED30085,4374,8594,57,326,383,1759,142,626,2595,10265,3185,12981,99,345,220,618,638,1937,949,2895,4131,15881,21,80,83,311,67,250,715,2083,880,2722,22,74,82,162,438,894,541,1131,1420,3858,103,211,10032,28541
SED30086,5248,10548,159,999,592,2957,297,1421,3942,15693,4993,21067,259,1108,353,1184,1267,4108,1888,6402,6877,27465,68,324,257,1003,175,690,1723,4843,2224,6864,154,520,272,596,1227,2672,1646,3789,3871,10654,326,687,16320,49357
SED30087,6186,11945,108,576,656,2912,218,921,4039,15502,5010,19918,265,1030,468,1419,1032,3095,1761,5539,6774,25456,24,125,154,550,88,316,1086,3007,1358,3993,65,203,157,330,484,1000,707,1535,2069,5528,148,310,15178,43240
SED30088,3943,8041,255,1656,730,3989,368,1813,3812,15782,5162,23242,285,1272,330,1105,1123,3667,1732,6043,6892,29281,119,631,292,1189,214,846,1820,5449,2449,8119,122,442,253,580,1184,2659,1566,3682,4013,11807,341,725,15187,49852
SED30089,4883,9729,60,340,491,2263,67,310,3442,13076,4062,15987,251,1026,528,1823,694,2171,1474,5026,5533,21014,15,69,100,346,33,122,636,1540,779,2079,73,225,217,498,684,1453,966,2172,1750,4255,394,836,12562,35838
SED39494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SED39797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SED40001,4148,8142,16,76,298,1326,27,107,1836,6788,2178,8296,172,681,386,1321,472,1462,1024,3466,3199,11765,3,16,58,199,12,46,319,740,402,996,49,165,190,407,343,720,587,1293,982,2288,263,559,8600,22751
SED40002,3534,6960,37,202,285,1297,57,232,2370,8814,2745,10550,226,961,405,1410,590,1838,1217,4208,3967,14762,10,58,80,242,17,44,405,992,508,1332,70,204,157,369,468,965,693,1542,1207,2876,213,450,8920,25044
SED40003,3597,7047,39,210,573,2580,42,159,2291,8974,2947,11927,308,1231,732,2511,622,1903,1664,5651,4606,17575,4,5,86,265,15,49,299,754,406,1071,65,192,203,468,314,657,580,1323,988,2390,99,210,9286,27228
SED40004,3893,7650,59,299,368,1605,94,422,2001,7571,2521,9896,260,1048,492,1629,753,2322,1503,4993,4025,14894,15,50,90,275,24,84,414,1020,537,1428,56,161,156,334,467,994,683,1484,1219,2912,117,245,9249,25694
SED40005,4427,8729,65,345,365,1687,85,394,1816,7201,2331,9624,145,584,264,838,661,2027,1071,3453,3404,13082,16,76,106,384,45,178,627,1742,797,2375,50,149,124,264,476,1002,652,1420,1442,3796,117,245,9389,25855
SED40006,3455,6877,64,383,382,1778,88,423,2215,8368,2753,10949,239,1008,375,1318,782,2509,1402,4842,4156,15787,24,115,139,525,53,178,677,1751,896,2568,87,256,226,517,846,1816,1149,2586,2047,5153,247,513,9902,28332
SED40007,3764,7459,40,213,389,1724,70,310,2001,7653,2504,9903,334,1370,447,1575,909,2869,1684,5810,4190,15712,12,44,80,251,17,75,376,941,484,1310,91,268,171,395,580,1240,841,1902,1326,3208,154,326,9429,26709
SED40008,3177,6324,47,300,327,1536,48,224,2090,7927,2508,9985,218,929,338,1205,716,2303,1269,4430,3777,14420,13,66,91,329,33,132,489,1266,632,1797,85,271,205,460,721,1543,1001,2272,1636,4066,273,581,8869,25393
SED40009,3852,7602,51,276,483,2139,81,361,2327,8941,2940,11717,352,1453,538,1832,781,2436,1666,5720,4607,17440,17,56,89,285,19,59,365,924,482,1326,66,203,167,367,374,768,611,1338,1094,2661,111,237,9670,27932
SED40010,3633,7153,28,154,319,1394,51,230,2155,7974,2552,9756,212,835,448,1520,535,1683,1193,4030,3745,13786,9,25,79,265,12,30,433,1009,522,1326,63,193,222,505,477,1000,761,1697,1283,3028,223,465,8887,24427
SED40011,3345,6634,36,213,270,1245,44,209,2117,7855,2477,9517,181,747,338,1149,508,1585,1020,3486,3495,13004,21,96,96,334,34,126,518,1250,672,1796,70,222,205,441,718,1503,989,2167,1664,3962,254,530,8754,24132
SED40012,3035,6062,76,472,411,1973,80,384,2620,9934,3192,12760,199,845,374,1329,646,2053,1223,4231,4416,16992,31,154,140,538,45,172,620,1698,842,2564,86,301,204,491,695,1498,991,2287,1832,4847,280,603,9553,28505
SED40013,5207,10266,49,266,278,1239,103,446,1538,5994,1967,7944,121,485,225,716,547,1675,897,2877,2860,10821,14,70,96,315,31,122,498,1311,640,1820,31,94,124,257,349,725,509,1076,1150,2895,57,124,9275,24107
SED40014,3963,7859,56,306,477,2142,87,369,2198,8516,2812,11328,297,1216,504,1727,947,3006,1750,5951,4562,17281,13,50,99,321,42,149,488,1302,646,1823,67,213,167,379,470,986,707,1572,1354,3396,84,176,9967,28712
SED40015,4044,7909,54,292,350,1556,100,430,2005,7936,2505,10212,103,406,217,666,450,1357,775,2434,3276,12640,9,36,93,297,48,152,541,1496,686,1982,33,102,119,256,335,699,487,1053,1171,3040,99,204,8586,23793
SED40016,3615,7198,52,295,329,1528,88,389,1933,7355,2406,9563,197,820,278,950,722,2305,1193,4076,3599,13645,17,89,104,343,42,151,505,1329,676,1912,78,262,172,399,594,1268,847,1926,1520,3838,116,237,8844,24918
SED40017,4402,8687,56,304,370,1702,110,500,1749,7026,2292,9526,162,646,237,722,649,2005,1045,3370,3338,12898,39,177,137,468,68,241,576,1569,810,2454,49,144,139,306,481,1015,668,1460,1477,3914,92,190,9311,25678
SED40018,3374,6673,47,266,337,1516,120,575,1948,7630,2452,9986,99,382,213,670,513,1613,830,2672,3278,12659,21,96,116,405,72,307,786,2197,989,3009,33,115,123,250,440,968,601,1328,1592,4344,104,237,8347,23915
SED40019,4767,9416,43,249,296,1355,91,398,1569,6320,2001,8323,142,551,238,741,616,1886,995,3173,2997,11496,22,96,98,357,40,132,499,1382,656,1970,49,157,108,223,382,808,536,1183,1189,3158,115,234,9063,24296
SED40020,4510,8927,48,255,308,1445,98,428,1490,5894,1944,8023,113,467,217,721,588,1839,922,3032,2864,11056,23,120,97,369,59,194,660,1778,842,2455,44,141,117,262,485,1033,657,1438,1499,3899,119,265,8990,24142
SED40021,3677,7284,24,133,386,1698,51,211,2216,8392,2676,10434,232,963,416,1438,722,2238,1368,4637,4044,15071,8,39,98,355,22,80,440,1112,568,1589,75,225,236,528,586,1213,891,1961,1463,3549,219,462,9407,26364
SED40022,4210,8254,77,415,487,2212,83,340,2354,9261,3003,12229,249,993,502,1704,761,2293,1513,4995,4512,17224,15,69,102,307,30,98,413,1043,562,1525,61,193,157,338,397,828,621,1356,1180,2886,78,160,9980,28521
SED40023,3859,7615,61,348,383,1764,119,508,2503,9655,3068,12282,203,826,303,1000,705,2184,1209,4014,4279,16292,20,96,184,604,65,221,941,2499,1215,3421,84,252,206,449,578,1216,863,1914,2079,5340,136,289,10349,29538
SED40024,3909,7688,89,494,464,2100,93,424,2503,9723,3144,12748,270,1129,446,1493,800,2528,1525,5150,4666,17893,12,39,139,455,39,144,561,1485,749,2127,78,235,211,475,424,875,714,1585,1464,3709,105,212,10142,29503
SED40025,4040,7992,40,235,275,1226,73,338,1726,6503,2113,8302,229,918,323,1097,786,2444,1335,4462,3452,12763,20,111,99,339,39,141,562,1462,729,2058,82,246,186,403,662,1416,925,2065,1659,4123,172,345,9324,25225
SED40026,3764,7448,94,530,435,2005,139,642,2467,9743,3137,12921,257,1049,361,1208,848,2685,1469,4937,4603,17860,24,116,141,529,66,226,861,2358,1092,3230,87,269,188,429,530,1111,808,1807,1898,5040,110,231,10373,30584
SED40027,3459,6898,75,475,430,2132,153,700,1872,7475,2538,10792,219,959,292,989,808,2609,1321,4555,3857,15347,43,189,166,645,110,399,1072,2956,1384,4192,99,319,199,434,801,1739,1099,2489,2482,6683,187,391,9982,29316
SED40028,4209,8237,66,343,354,1606,80,357,1936,7801,2429,10107,120,464,251,773,536,1639,908,2872,3339,12982,8,49,65,237,35,117,411,1130,526,1528,27,89,95,191,331,687,454,972,979,2505,97,205,8626,23924
SED40029,3700,7323,64,368,392,1757,127,534,1993,7701,2575,10358,237,950,355,1204,821,2567,1409,4718,3987,15081,32,133,123,430,64,232,700,1865,919,2658,89,270,180,389,575,1214,840,1873,1758,4536,122,253,9563,27195
SED40030,3660,7262,54,290,354,1599,75,340,2495,9372,2977,11596,237,973,375,1265,776,2419,1384,4660,4367,16258,4,31,111,381,41,142,609,1550,773,2100,78,247,170,368,650,1386,902,2000,1672,4097,178,374,9876,27987
SED40031,3838,7596,52,306,488,2190,85,365,2196,8512,2817,11380,384,1606,591,2065,1054,3367,2030,7038,4850,18415,14,51,85,274,35,114,399,1010,524,1455,75,246,187,433,526,1106,785,1786,1317,3235,109,243,10107,29483
SED40032,3834,7510,31,173,277,1244,54,252,1730,6428,2092,8094,189,770,379,1310,522,1613,1092,3694,3185,11783,0,3,71,217,22,59,407,973,498,1252,59,185,162,352,442,925,666,1458,1165,2718,193,409,8384,22418
SED40033,3734,7359,57,309,379,1773,109,502,2041,8100,2582,10681,165,683,252,805,612,1908,1030,3394,3617,14077,22,84,115,387,55,180,697,1851,881,2505,40,130,151,314,410,865,599,1316,1481,3818,99,199,8925,25444
SED40034,3248,6462,86,514,432,2142,159,702,2230,8885,2902,12241,196,838,293,979,751,2368,1234,4181,4137,16419,53,225,206,798,122,442,1324,3737,1692,5204,81,261,211,481,733,1629,1036,2362,2726,7573,173,371,10284,30826
SED40035,3970,7878,48,284,378,1744,113,477,2158,8232,2695,10731,266,1108,364,1279,894,2795,1523,5182,4220,15911,18,86,96,312,27,85,492,1270,634,1748,70,225,179,393,542,1158,789,1777,1428,3527,107,213,9722,27528
SED40036,3634,7289,73,455,401,1933,109,499,2175,8413,2757,11306,233,1025,308,1069,823,2621,1366,4713,4123,16014,29,125,131,492,58,205,633,1687,852,2517,91,289,158,353,665,1429,919,2072,1764,4588,184,380,9710,28269
