SED_CODE_2016,R_0_74_LT_Real_estate_agent,R_0_74_LT_Ste_terr_hsg_auth,R_0_74_LT_Psn_not_Sme_hhd,R_0_74_LT_hs_coop_com_ch_g,R_0_74_LT_Other_Lld_type,R_0_74_LT_Lld_type_ns,R_0_74_Tot,R_75_99_LT_Real_estate_agent,R_75_99_LT_Ste_terr_hsg_auth,R_75_99_LT_Psn_not_Sme_hhd,R_75_99_LT_hs_coop_com_ch_g,R_75_99_LT_Other_Lld_type,R_75_99_LT_Lld_type_ns,R_75_99_Tot,R_100_149_LT_Real_eSte_agent,R_100_149_LT_St_ter_hsg_aut,R_100_149_LT_Psn_not_Sme_hhd,R_100_149_LT_hs_coop_com_ch_g,R_100_149_LT_Other_Lld_type,R_100_149_LT_Lld_type_ns,R_100_149_Tot,R_150_199_LT_Real_eSte_agent,R_150_199_LT_Ste_ter_hsg_aut,R_150_199_LT_Psn_not_Sme_hhd,R_150_199_LT_hs_coop_com_ch_g,R_150_199_LT_Other_Lld_type,R_150_199_LT_Lld_type_ns,R_150_199_Tot,R_200_224_LT_Real_eSte_agent,R_200_224_LT_Ste_ter_hsg_aut,R_200_224_LT_Psn_not_Sme_hhd,R_200_224_LT_hs_coop_com_ch_g,R_200_224_LT_Other_Lld_type,R_200_224_LT_Lld_type_ns,R_200_224_Tot,R_225_274_LT_Real_eSte_agent,R_225_274_LT_Ste_ter_hsg_aut,R_225_274_LT_Psn_not_Sme_hhd,R_225_274_LT_hs_coop_com_ch_g,R_225_274_LT_Other_Lld_type,R_225_274_LT_Lld_type_ns,R_225_274_Tot,R_275_349_LT_Real_eSte_agent,R_275_349_LT_Ste_ter_hsg_aut,R_275_349_LT_Psn_not_Sme_hhd,R_275_349_LT_hs_coop_com_ch_g,R_275_349_LT_Other_Lld_type,R_275_349_LT_Lld_type_ns,R_275_349_Tot,R_350_449_LT_Real_eSte_agent,R_350_449_LT_Ste_ter_hsg_aut,R_350_449_LT_Psn_not_Sme_hhd,R_350_449_LT_hs_coop_com_ch_g,R_350_449_LT_Other_Lld_type,R_350_449_LT_Lld_type_ns,R_350_449_Tot,R_450_549_LT_Real_eSte_agent,R_450_549_LT_Ste_ter_hsg_aut,R_450_549_LT_Psn_not_Sme_hhd,R_450_549_LT_hs_coop_com_ch_g,R_450_549_LT_Other_Lld_type,R_450_549_LT_Lld_type_ns,R_450_549_Tot,R_550_649_LT_Real_eSte_agent,R_550_649_LT_Ste_ter_hsg_aut,R_550_649_LT_Psn_not_Sme_hhd,R_550_649_LT_hs_coop_com_ch_g,R_550_649_LT_Other_Lld_type,R_550_649_LT_Lld_type_ns,R_550_649_Tot,R_650_749_LT_Real_eSte_agent,R_650_749_LT_Ste_ter_hsg_aut,R_650_749_LT_Psn_not_Sme_hhd,R_650_749_LT_hs_coop_com_ch_g,R_650_749_LT_Other_Lld_type,R_650_749_LT_Lld_type_ns,R_650_749_Tot,R_750_849_LT_Real_eSte_agent,R_750_849_LT_Ste_ter_hsg_aut,R_750_849_LT_Psn_not_Sme_hhd,R_750_849_LT_hs_coop_com_ch_g,R_750_849_LT_Other_Lld_type,R_750_849_LT_Lld_type_ns,R_750_849_Tot,R_850_949_LT_Real_estat_agent,R_850_949_LT_Ste_ter_hsg_aut,R_850_949_LT_Psn_not_Sme_hhd,R_850_949_LT_hs_coop_com_ch_g,R_850_949_LT_Other_Lld_type,R_850_949_LT_Lld_type_ns,R_850_949_Tot,R_950_over_LT_Real_eSte_agent,R_950_over_LT_Ste_ter_hsg_aut,R_950_over_LT_Psn_not_Sme_hhd,R_950_ovr_LT_hs_coop_com_ch_g,R_950_over_LT_Other_Lld_type,R_650_over_LT_Lld_type_ns,R_950_over_Tot,Rent_ns_LT_Real_eSte_agent,Rent_ns_LT_Ste_ter_hsg_auth,Rent_ns_LT_Psn_not_Sme_hhd,Rent_ns_LT_hs_coop_com_ch_g,Rent_ns_LT_Other_Lld_type,Rent_ns_LT_Lld_type_ns,Rent_ns_Tot,Tot_LT_Real_eSte_agent,Tot_LT_Ste_ter_hsg_auth,Tot_LT_Psn_not_Sme_hhd,Tot_LT_hs_coop_com_ch_g,Tot_LT_Other_Lld_type,Tot_LT_Lld_type_ns,Tot_Tot
SED10011,7,16,87,5,14,79,209,3,10,6,7,0,0,32,13,38,55,14,7,0,133,68,141,82,53,11,0,354,76,37,70,20,6,0,211,214,46,153,41,14,6,465,636,35,245,17,11,4,951,1324,36,306,18,10,3,1691,538,4,80,3,3,0,633,134,0,26,0,0,0,165,22,0,8,3,0,0,31,5,0,4,0,0,0,9,4,0,0,0,0,0,4,0,0,7,0,0,0,4,41,21,54,10,13,8,152,3087,391,1174,192,92,94,5033
SED10012,24,85,139,9,13,45,310,4,68,4,0,0,0,76,11,416,33,9,8,6,488,41,329,41,46,14,3,475,53,199,76,10,10,0,349,212,211,104,28,17,5,575,1181,150,256,20,54,18,1675,1286,207,380,22,89,4,1985,829,51,152,10,42,3,1089,216,9,42,0,7,0,270,31,0,14,0,3,0,44,17,0,3,0,0,0,21,3,0,3,0,0,0,7,11,0,3,0,0,0,15,70,89,72,9,26,21,286,3973,1810,1320,163,284,111,7670
SED10013,6,20,75,5,9,77,192,5,5,7,4,0,0,21,4,132,7,9,18,5,179,15,42,36,7,8,0,115,15,37,33,3,4,0,95,52,30,55,4,52,0,191,212,14,120,4,13,7,362,1011,50,227,5,18,6,1314,1670,4,223,0,15,5,1917,783,0,57,0,5,0,842,114,0,17,0,4,0,135,46,0,3,0,0,0,46,8,0,0,0,0,0,14,9,0,3,0,0,0,13,79,22,57,11,17,6,197,4031,353,940,60,169,107,5650
SED10014,13,104,63,9,3,42,227,5,99,0,11,0,0,115,3,801,13,24,14,3,861,23,551,44,42,11,8,681,31,329,50,29,3,0,438,170,285,64,26,4,3,547,891,292,229,30,11,3,1461,2739,258,349,22,27,13,3399,728,20,93,0,11,7,860,137,0,17,0,4,0,157,16,3,8,0,0,0,28,3,0,7,0,0,0,9,9,0,3,0,0,0,11,8,0,0,0,0,0,5,60,158,51,8,11,16,297,4841,2891,994,196,98,96,9111
SED10015,35,34,144,14,7,101,325,3,41,7,10,0,0,59,14,296,37,22,5,3,376,52,201,49,57,8,0,370,91,82,57,15,6,0,254,136,69,66,20,11,3,310,949,51,182,13,27,7,1230,2955,65,375,20,77,13,3500,1670,18,255,8,30,10,1996,950,11,161,3,20,5,1150,366,3,45,0,4,0,417,110,0,18,0,5,0,132,66,0,14,0,0,0,76,46,0,10,0,0,0,61,116,56,101,24,27,15,328,7561,914,1519,200,234,162,10588
SED10016,6,0,72,0,12,40,136,0,6,0,0,0,0,7,3,14,7,8,0,0,33,0,11,23,4,0,0,38,0,4,21,5,0,4,34,15,4,14,5,37,0,81,45,6,33,0,39,0,120,137,3,80,4,13,0,238,664,3,119,0,11,3,798,1047,0,117,3,5,3,1183,699,0,72,0,0,0,769,263,0,46,0,0,0,306,137,0,14,0,0,0,154,104,0,14,0,0,0,121,53,0,34,8,5,6,113,3167,55,662,40,136,69,4120
SED10017,4,32,127,9,13,84,277,3,25,8,12,7,0,61,32,290,54,20,13,5,420,161,190,124,32,24,5,525,156,81,129,8,15,3,396,705,68,204,16,25,8,1014,1596,48,332,10,34,3,2022,1202,4,198,4,10,4,1423,413,3,53,0,3,3,478,42,0,13,0,0,0,51,12,0,3,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,3,0,13,59,44,56,13,17,12,200,4395,791,1306,120,164,126,6902
SED10018,5,67,76,3,16,54,220,0,49,7,0,0,0,56,18,551,34,16,5,0,624,62,337,71,33,12,0,521,63,130,78,13,6,3,292,169,116,107,13,33,0,436,818,191,297,3,40,6,1366,1437,50,378,3,30,7,1890,546,0,114,0,7,0,669,150,0,34,0,0,0,188,55,0,10,0,0,0,62,21,0,3,0,0,0,25,3,0,0,0,0,0,3,3,0,3,0,0,0,7,42,92,51,22,9,9,230,3381,1590,1260,115,158,86,6591
SED10019,5,23,191,40,48,129,431,3,26,29,15,17,0,92,72,199,156,52,67,16,560,350,145,299,100,66,15,969,340,74,273,24,35,9,756,923,74,460,14,61,12,1543,1388,37,460,27,51,11,1981,590,5,123,10,12,10,753,93,0,15,3,3,0,113,13,0,6,0,0,0,28,13,0,0,0,0,0,13,3,0,0,0,0,0,6,0,0,0,0,0,0,3,4,0,3,0,0,0,11,43,41,79,22,19,16,226,3834,635,2098,310,388,210,7475
SED10020,12,44,95,19,14,78,250,3,32,3,8,0,0,47,20,415,99,36,47,8,624,114,219,107,53,50,11,561,186,97,169,16,32,3,504,659,89,234,20,52,8,1062,1256,115,436,15,44,16,1883,1774,33,420,7,39,14,2285,555,3,95,5,13,3,677,100,0,19,0,3,0,118,22,3,5,0,0,0,33,5,0,4,0,0,0,15,0,0,0,0,3,0,3,4,0,8,0,0,0,13,85,57,51,32,20,8,249,4793,1103,1739,207,333,138,8316
SED10021,20,64,143,14,10,117,359,3,61,0,15,3,0,80,24,488,30,12,0,4,562,31,152,29,41,3,0,261,30,69,48,3,7,0,153,82,50,82,17,32,0,268,268,44,113,13,32,3,472,891,20,259,7,29,8,1217,2234,21,373,6,14,5,2659,2953,4,449,5,24,3,3444,1824,0,306,0,11,6,2153,952,0,176,3,11,4,1149,580,0,117,0,10,0,706,1155,3,261,0,13,0,1430,181,60,81,7,18,18,360,11224,1030,2473,154,208,176,15264
SED10022,14,44,351,65,192,280,953,14,36,57,29,23,0,154,238,245,323,44,65,20,933,670,201,451,20,64,19,1424,451,85,322,9,40,10,910,859,34,243,8,43,8,1185,406,7,128,0,16,0,557,91,0,31,0,7,0,136,9,5,6,0,3,0,21,3,0,3,0,6,0,11,0,0,3,0,0,0,4,0,0,4,0,0,0,4,0,0,0,0,0,0,3,8,0,5,0,4,0,18,34,38,102,9,69,14,272,2796,694,2033,181,519,354,6585
SED10023,8,24,81,9,5,57,184,0,20,0,3,0,0,30,5,186,21,5,4,0,222,13,53,19,15,0,0,107,14,28,40,4,3,0,91,63,17,47,3,92,3,232,377,15,99,3,11,3,508,1160,10,196,0,5,3,1388,1213,5,173,0,5,3,1406,661,9,94,0,4,4,776,447,0,68,0,3,3,518,218,0,36,0,0,0,251,117,0,17,0,0,0,135,166,0,21,0,0,0,189,70,19,64,16,8,5,185,4534,399,990,57,154,85,6217
SED10024,6,3,106,11,15,69,204,0,3,3,7,3,0,16,0,44,6,8,3,0,64,4,7,14,8,0,3,31,3,3,17,0,3,0,25,10,3,23,4,14,0,46,34,3,33,3,12,0,83,99,3,59,4,20,0,189,322,0,76,0,7,0,404,414,0,83,3,5,3,505,374,0,66,3,4,0,456,315,0,49,0,5,0,374,302,3,49,0,0,0,355,778,0,128,0,4,4,911,47,4,59,8,3,5,127,2718,72,764,52,103,88,3797
SED10025,24,33,152,13,5,74,302,0,26,7,5,0,0,39,7,329,19,13,0,3,365,15,114,25,40,3,0,197,22,41,33,9,4,3,107,38,39,34,3,31,0,145,142,32,60,13,26,4,283,505,27,161,4,9,3,712,1881,13,256,4,25,4,2182,2023,13,227,4,11,7,2285,1782,7,212,8,19,3,2029,673,0,94,0,0,4,776,297,0,52,0,0,0,351,412,0,48,0,0,0,462,146,38,81,16,20,13,312,7957,715,1459,135,165,125,10548
SED10026,24,56,175,15,91,149,514,3,52,17,31,14,0,118,117,323,135,70,33,7,681,479,261,198,46,35,11,1029,401,101,222,14,33,0,775,846,122,284,9,23,6,1290,1377,94,367,7,30,7,1875,1012,29,167,3,15,3,1222,143,0,31,0,4,0,183,15,0,7,0,0,0,24,7,0,3,0,0,0,11,5,0,0,0,0,0,5,3,0,3,0,0,0,8,3,0,10,0,0,0,12,57,59,94,10,40,20,278,4494,1089,1711,210,307,210,8020
SED10027,3,65,97,14,11,66,253,0,68,3,9,3,0,80,0,605,17,54,9,5,685,3,244,34,30,11,3,322,18,143,46,15,3,3,222,55,117,52,8,10,0,241,128,98,103,11,10,0,353,686,98,227,5,39,4,1054,1264,57,210,5,30,4,1570,679,12,74,3,12,4,779,340,3,38,0,8,0,387,59,0,11,0,0,0,72,16,0,3,0,0,0,23,11,0,4,0,0,0,11,61,95,56,15,16,8,248,3328,1598,973,168,150,99,6312
SED10028,8,17,109,9,6,48,196,0,8,3,17,0,0,26,5,56,13,55,4,0,132,9,16,36,54,6,3,126,14,11,27,33,4,0,89,26,3,37,8,23,0,91,44,8,59,14,23,0,148,332,8,93,33,7,0,469,1021,3,160,4,3,3,1203,1163,0,142,3,12,0,1323,639,0,88,0,3,0,732,342,0,29,0,4,0,372,184,0,23,0,3,0,211,117,0,23,0,0,0,138,60,14,56,48,9,6,189,3952,142,886,285,105,78,5443
SED10029,32,93,134,9,9,53,331,3,80,3,5,0,0,92,25,696,28,18,10,12,792,75,432,83,55,26,5,672,76,238,80,28,17,0,437,318,143,120,40,20,4,642,1278,144,249,51,47,8,1776,2336,139,404,19,132,23,3060,1365,32,201,7,73,13,1698,236,6,38,3,14,5,303,76,0,9,0,0,0,87,22,0,4,0,0,0,28,6,0,0,0,0,0,11,15,0,4,0,0,0,15,108,99,88,11,25,17,346,5971,2101,1452,250,368,149,10290
SED10030,13,62,113,12,19,94,305,3,44,12,7,3,3,77,20,521,51,31,10,6,635,123,198,93,83,14,12,519,173,72,157,20,10,3,429,459,62,167,17,19,5,734,1488,66,324,9,23,8,1920,2878,45,416,10,18,10,3383,914,3,115,3,7,3,1048,238,5,30,0,3,0,271,53,0,8,0,0,0,60,16,0,6,0,0,0,23,4,0,0,0,0,0,7,9,0,3,0,0,3,19,83,65,78,19,17,10,268,6478,1143,1565,214,150,163,9700
SED10031,9,47,219,7,119,192,597,4,35,17,26,10,0,101,64,211,110,48,36,4,474,223,189,173,75,27,15,707,188,62,174,11,25,4,469,493,85,225,11,31,3,846,945,90,339,15,33,6,1429,784,18,214,4,25,3,1049,210,0,74,0,8,0,296,46,0,25,0,3,0,75,14,0,9,0,0,0,25,8,0,5,0,0,0,18,0,0,0,0,0,0,3,8,0,10,0,3,0,18,54,45,83,23,52,8,257,3055,787,1688,219,370,248,6364
SED10032,33,113,122,20,5,61,364,3,96,8,20,0,0,130,25,719,29,33,11,4,824,62,336,78,80,15,5,578,64,168,76,29,8,3,337,121,126,88,30,13,0,372,679,102,179,24,30,9,1012,4103,120,509,27,86,24,4869,2033,35,335,3,88,7,2499,550,6,92,6,18,6,680,164,0,31,0,7,3,201,45,3,13,0,0,0,67,11,0,11,3,0,0,21,23,0,7,0,0,0,26,135,112,90,32,14,20,406,8050,1941,1665,301,290,148,12398
SED10033,8,17,131,10,37,110,313,3,15,0,3,5,0,26,6,83,32,8,11,0,137,23,213,63,33,12,5,351,32,80,71,14,29,3,236,137,90,93,4,112,3,449,533,58,164,5,30,6,805,1430,82,228,12,23,12,1780,681,16,110,0,12,3,814,184,3,38,0,3,0,232,89,0,18,0,0,0,102,31,3,9,0,0,0,48,29,0,7,0,0,0,34,27,0,5,0,4,0,32,53,41,59,8,25,6,184,3261,702,1034,107,300,139,5545
SED10034,8,22,67,8,3,32,141,3,10,0,3,0,0,18,3,111,8,22,5,0,154,3,62,16,17,10,0,104,16,39,34,13,3,0,106,22,33,42,10,20,0,125,96,36,97,13,29,0,259,1180,31,200,8,30,0,1448,884,22,135,0,6,3,1051,537,7,71,4,5,0,621,257,0,39,0,3,0,298,107,0,11,0,0,0,123,24,0,4,0,0,0,29,18,0,4,0,0,0,24,50,27,27,22,9,5,147,3203,409,750,123,120,52,4656
SED10035,49,179,244,11,19,75,581,3,118,0,7,3,5,144,22,897,29,23,4,3,981,49,304,59,52,11,3,476,57,133,67,16,4,3,279,119,97,83,24,49,0,372,394,78,179,23,50,0,732,1472,92,321,91,63,9,2054,3213,34,436,35,45,4,3768,3583,24,441,3,40,4,4103,3396,11,430,18,39,11,3898,1362,3,251,9,24,7,1661,558,0,122,3,21,0,705,700,0,174,7,23,0,908,232,94,178,10,27,24,561,15218,2070,3025,332,416,155,21218
SED10036,11,46,70,7,8,45,186,0,33,0,6,4,0,44,0,303,17,16,7,4,348,14,189,20,25,11,4,265,17,83,33,12,12,0,159,48,95,30,13,296,4,489,152,68,82,6,92,4,406,1147,88,208,9,44,4,1494,1459,22,179,4,34,6,1697,469,0,55,0,11,3,541,129,3,21,0,3,0,156,33,0,0,0,0,0,40,12,0,0,0,0,0,12,12,0,0,0,0,0,14,65,65,38,14,28,16,233,3576,1001,750,114,548,95,6080
SED10037,6,9,103,10,9,69,210,0,14,4,7,0,0,27,4,146,26,21,3,0,206,10,50,36,12,5,0,114,14,24,45,7,5,0,96,44,20,54,15,21,0,161,180,17,110,23,16,3,356,813,16,224,19,23,4,1094,1254,11,228,4,19,5,1514,797,8,129,0,5,0,945,399,0,56,0,5,0,464,174,0,23,0,0,0,198,73,0,12,0,0,0,82,53,0,10,0,0,0,62,64,24,72,18,12,11,197,3898,349,1126,128,124,94,5731
SED10038,9,67,75,9,12,81,248,3,67,5,14,0,3,94,21,776,30,31,11,10,870,79,355,80,40,13,3,566,108,152,82,17,7,8,381,352,122,134,17,16,9,652,678,137,201,16,12,8,1049,1155,138,284,6,26,3,1608,829,21,138,3,3,0,1000,326,3,58,0,0,0,392,130,0,42,0,0,0,171,42,0,10,0,0,0,55,24,0,4,0,0,0,32,24,3,10,0,4,0,40,47,98,50,8,14,7,229,3831,1945,1209,154,111,124,7380
SED10039,8,22,109,4,29,86,254,0,28,6,13,4,0,56,8,197,42,12,18,4,280,100,146,93,58,25,3,423,80,56,94,21,14,0,270,242,87,135,20,53,0,544,680,56,246,21,39,12,1047,970,30,292,5,26,6,1339,517,3,91,0,6,0,628,135,0,22,0,3,0,163,55,3,13,0,0,0,77,13,0,0,0,0,0,11,0,0,0,0,0,0,4,3,0,4,0,3,0,11,34,38,50,20,13,3,166,2851,660,1211,167,248,126,5267
SED10040,27,28,206,10,11,90,366,0,29,3,4,0,0,44,17,245,28,7,3,0,306,42,99,69,30,9,4,261,46,59,72,14,7,0,194,108,48,78,14,24,0,276,334,29,157,6,22,9,547,2453,40,346,10,33,9,2891,3072,13,376,3,40,7,3514,1537,11,222,4,28,5,1810,445,0,81,3,9,0,544,116,0,27,0,0,0,146,37,0,11,0,0,0,46,61,0,24,0,0,0,80,127,34,134,11,31,14,361,8420,632,1837,130,225,135,11380
SED10041,8,8,104,8,18,54,208,0,9,4,16,0,3,40,4,90,13,36,4,0,150,4,38,21,48,5,0,118,8,19,18,28,3,0,70,18,11,31,6,4,0,72,46,6,58,7,14,0,129,302,7,105,3,11,0,440,1323,3,183,8,11,3,1521,947,0,114,5,15,4,1094,583,0,92,3,8,0,683,339,0,49,0,3,0,383,212,0,34,0,0,0,254,512,0,97,0,3,0,612,60,13,54,22,13,9,177,4363,220,982,206,105,79,5956
