SED_CODE_2016,Num_Psns_UR_1_FamHhold,Num_Psns_UR_1_NonFamHhold,Num_Psns_UR_1_Total,Num_Psns_UR_2_FamHhold,Num_Psns_UR_2_NonFamHhold,Num_Psns_UR_2_Total,Num_Psns_UR_3_FamHhold,Num_Psns_UR_3_NonFamHhold,Num_Psns_UR_3_Total,Num_Psns_UR_4_FamHhold,Num_Psns_UR_4_NonFamHhold,Num_Psns_UR_4_Total,Num_Psns_UR_5_FamHhold,Num_Psns_UR_5_NonFamHhold,Num_Psns_UR_5_Total,Num_Psns_UR_6mo_FamHhold,Num_Psns_UR_6mo_NonFamHhold,Num_Psns_UR_6mo_Total,Total_FamHhold,Total_NonFamHhold,Total_Total
SED10030,..,8979,8979,9010,902,9917,4047,119,4168,3766,27,3786,1423,12,1437,727,9,732,18971,10050,29021
SED10031,..,7459,7459,9747,535,10278,3711,60,3775,3645,18,3663,1782,9,1785,822,4,831,19707,8080,27789
SED10032,..,5670,5670,6239,671,6916,5150,242,5392,4891,169,5060,2735,97,2827,2291,97,2381,21310,6946,28254
SED10033,..,4719,4719,6854,457,7315,4012,70,4086,4311,24,4335,2243,5,2251,1299,3,1303,18720,5285,24002
SED10034,..,4673,4673,7622,413,8040,4614,51,4665,5428,16,5438,2310,6,2319,784,0,784,20760,5152,25916
SED10035,..,10366,10366,11512,3375,14886,5346,1614,6962,4092,734,4831,1360,295,1654,654,140,797,22962,16524,39483
SED10036,..,3501,3501,5482,267,5751,4576,51,4625,5797,17,5820,3018,4,3024,1893,3,1898,20767,3853,24620
SED10037,..,4502,4502,7219,462,7678,4844,101,4938,5682,35,5718,2369,11,2380,1071,3,1070,21184,5111,26292
SED10038,..,6774,6774,8448,594,9042,4199,185,4381,4912,102,5018,2076,40,2118,775,26,802,20404,7729,28130
SED10039,..,5674,5674,8866,450,9318,3659,62,3719,3843,12,3852,1759,5,1764,778,0,779,18895,6204,25098
SED10040,..,5564,5564,7310,948,8260,5819,476,6288,5431,242,5676,2422,94,2509,1645,53,1692,22619,7369,29993
SED10041,..,4835,4835,7584,356,7943,4772,71,4839,5887,30,5921,2337,13,2345,838,4,845,21413,5318,26732
SED10042,..,6438,6438,9074,570,9643,3969,71,4043,3778,12,3790,1614,3,1611,758,4,757,19186,7098,26282
SED10043,..,5381,5381,5648,567,6218,4650,182,4824,4572,144,4722,3048,80,3128,2855,78,2926,20772,6435,27208
SED10044,..,7461,7461,8601,878,9483,4715,179,4891,5088,64,5156,2042,20,2060,665,0,668,21107,8610,29721
SED10045,..,8410,8410,9245,985,10227,3689,134,3819,3127,39,3160,1593,16,1601,762,3,764,18412,9582,27995
SED10046,..,4810,4810,5349,463,5815,4782,75,4859,5415,22,5439,3043,13,3049,2428,3,2438,21023,5387,26405
SED10047,..,5906,5906,7550,718,8262,5140,102,5245,4801,28,4824,2621,7,2623,2062,8,2068,22170,6765,28936
SED10048,..,4423,4423,6674,441,7121,5183,69,5254,5637,19,5659,2541,10,2553,1822,5,1831,21865,4971,26838
SED10049,..,5944,5944,8660,558,9220,4513,83,4595,4616,13,4629,2011,4,2021,916,0,919,20717,6604,27320
SED10050,..,6741,6741,8645,1147,9789,4460,356,4813,5199,81,5278,1990,37,2026,553,12,564,20842,8368,29213
SED10051,..,7005,7005,7435,936,8372,4524,384,4906,5056,156,5207,1922,60,1981,839,47,885,19774,8586,28358
SED10052,..,5523,5523,7463,480,7936,4361,73,4433,5053,26,5076,2123,4,2128,762,3,759,19760,6107,25860
SED10053,..,7453,7453,8532,589,9117,4085,97,4182,4175,25,4199,1803,6,1814,702,11,706,19289,8178,27475
SED10054,..,3473,3473,5332,407,5740,4872,59,4933,5344,22,5364,3136,7,3145,2505,3,2509,21183,3972,25159
SED10055,..,2512,2512,5759,240,6005,4628,38,4666,5796,14,5808,2922,3,2919,1765,0,1766,20869,2809,23674
SED10056,..,8309,8309,10180,624,10812,3710,84,3797,3708,31,3736,2025,9,2033,897,18,917,20527,9079,29600
SED10057,..,8617,8617,10816,740,11548,3403,70,3472,2815,11,2833,1287,3,1292,658,0,661,18978,9450,28429
SED10058,..,9682,9682,8904,1539,10440,3734,577,4311,3229,151,3381,1169,28,1203,376,13,388,17411,11998,29406
SED10059,..,12390,12390,9446,2893,12343,3367,1504,4869,2457,728,3188,656,245,902,251,146,399,16170,17920,34093
SED10060,..,11205,11205,11213,1401,12617,4214,398,4610,3235,61,3295,1044,17,1062,266,3,273,19974,13089,33061
SED10061,..,8395,8395,9701,758,10461,3705,127,3834,3312,55,3367,1721,24,1742,826,4,826,19270,9360,28630
SED10062,..,5143,5143,6774,465,7243,4497,106,4608,5179,47,5222,2178,22,2202,1159,13,1176,19795,5803,25599
SED10063,..,7970,7970,9124,589,9712,3796,81,3872,3708,37,3748,1959,17,1976,918,3,918,19504,8693,28197
SED10064,..,8092,8092,9874,754,10629,3571,62,3639,2939,17,2959,1479,9,1481,846,3,847,18711,8939,27646
SED10065,..,7524,7524,8699,1172,9868,6928,408,7338,5968,185,6152,2359,65,2427,1274,44,1313,25232,9395,34622
SED10066,..,6511,6511,8052,662,8714,4532,110,4641,4596,29,4630,1983,12,1996,1073,0,1071,20239,7327,27568
SED10067,..,5574,5574,7645,420,8065,3709,86,3792,4779,20,4806,1985,8,1993,793,3,793,18909,6114,25021
SED10068,..,8474,8474,11226,776,12000,3514,106,3622,3084,32,3112,1395,7,1406,590,0,589,19809,9392,29200
SED10069,..,6637,6637,9706,567,10269,3541,64,3607,3431,12,3445,1550,5,1549,773,0,773,19001,7285,26292
SED10070,..,3978,3978,5978,353,6327,4855,62,4921,5278,33,5316,2659,14,2671,1718,32,1757,20492,4478,24970
SED10071,..,2624,2624,5334,300,5632,5371,79,5448,7409,34,7441,2978,21,2996,1720,25,1746,22806,3078,25887
SED10072,..,7215,7215,8390,1230,9614,5036,400,5431,4732,184,4912,1992,83,2071,1180,58,1241,21333,9156,30485
SED10073,..,7581,7581,9080,1228,10307,5815,468,6282,5342,199,5538,1971,116,2088,1104,93,1198,23311,9693,33004
SED10074,..,5453,5453,7416,541,7953,5340,130,5469,5709,71,5778,2229,29,2263,1192,29,1226,21881,6252,28138
SED10075,..,6207,6207,9079,473,9553,4781,45,4829,4899,20,4915,2085,7,2091,1037,0,1044,21888,6742,28632
SED10076,..,7922,7922,10332,672,11004,3361,52,3409,2856,18,2870,1288,3,1294,682,3,686,18511,8667,27179
SED10077,..,5884,5884,7256,1366,8619,5512,732,6245,5421,425,5844,2296,194,2489,1357,162,1512,21834,8763,30600
SED10078,..,8028,8028,8266,1717,9982,4814,574,5393,4128,224,4349,1428,84,1507,699,48,745,19337,10671,30008
SED10079,..,7083,7083,9482,605,10087,3910,58,3967,3902,18,3918,1625,3,1630,691,3,692,19604,7771,27374
SED10080,..,15632,15632,12107,2776,14883,3354,1130,4483,2234,816,3051,635,274,916,384,256,643,18718,20894,39612
SED10081,..,7876,7876,9341,683,10022,3996,99,4095,3640,29,3666,1755,11,1763,817,20,834,19554,8715,28267
SED10082,..,6204,6204,8491,483,8968,3964,112,4075,4461,30,4490,1965,7,1980,758,4,761,19639,6843,26482
SED10083,..,7076,7076,8239,650,8884,3978,89,4069,4070,29,4099,1812,9,1814,839,4,845,18938,7850,26785
SED10084,..,8517,8517,10194,954,11148,3783,117,3903,3654,26,3681,1525,7,1527,724,4,734,19883,9632,29512
SED10085,..,6971,6971,9049,607,9651,3914,66,3978,3889,19,3907,1810,3,1813,779,0,779,19439,7666,27104
SED10086,..,8417,8417,9125,1991,11121,4096,625,4716,3785,209,3989,1567,36,1608,491,28,525,19068,11308,30375
SED10087,..,7408,7408,9045,738,9780,3777,196,3977,3725,77,3801,1848,20,1867,824,10,832,19230,8445,27671
SED10088,..,5762,5762,7131,586,7718,4375,139,4508,5630,47,5682,2285,9,2292,985,5,988,20402,6553,26951
SED10089,..,7654,7654,8794,937,9727,4560,378,4938,4427,187,4616,1750,87,1834,762,78,840,20290,9316,29613
SED10090,..,7306,7306,8735,1045,9782,5292,353,5647,5473,112,5581,1927,52,1978,615,29,644,22035,8897,30938
SED10091,..,4943,4943,8079,373,8453,3761,46,3806,4221,9,4231,2229,9,2233,1224,3,1225,19510,5379,24890
SED10092,..,9320,9320,9202,1337,10542,4285,479,4764,3917,193,4109,1604,54,1659,908,36,942,19913,11424,31340
SED10093,..,6570,6570,8066,732,8801,4149,78,4221,4172,24,4198,2044,11,2059,1109,3,1112,19553,7425,26971
SED19494,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SED19797,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SED20106,..,12551,12551,10970,2359,13333,3528,711,4244,2278,177,2460,615,43,658,155,22,179,17553,15869,33414
SED20207,..,5278,5278,7711,653,8364,6134,147,6282,6626,51,6677,2419,30,2442,1144,11,1158,24041,6170,30207
SED20302,..,6873,6873,8452,552,8998,3816,68,3880,3832,21,3849,1753,5,1761,884,0,884,18734,7513,26244
SED20401,..,5727,5727,6819,551,7371,3907,94,4000,3742,34,3774,1362,14,1372,560,8,562,16392,6425,22812
SED20508,..,5665,5665,7959,396,8362,2955,31,2980,3173,11,3183,1356,0,1360,466,0,463,15906,6109,22012
SED20604,..,6314,6314,8220,560,8781,3310,60,3374,3215,31,3241,1417,10,1424,541,0,542,16700,6980,23681
SED20704,..,6052,6052,7551,676,8224,3343,201,3547,3247,71,3314,1577,23,1599,649,9,661,16367,7033,23396
SED20804,..,7285,7285,7593,707,8302,3142,129,3272,2749,24,2773,1168,8,1179,469,5,480,15125,8160,23289
SED20906,..,5070,5070,5774,453,6228,3704,139,3840,4597,44,4645,1575,15,1594,425,11,433,16075,5735,21805
SED21001,..,6312,6312,6808,781,7590,4043,330,4374,4449,140,4595,1664,60,1721,566,39,600,17533,7658,25197
SED21106,..,6636,6636,7041,803,7841,3249,142,3396,3947,37,3983,1438,9,1441,346,3,348,16020,7629,23651
SED21203,..,4401,4401,4887,425,5313,3590,136,3724,3689,91,3781,2319,61,2381,2101,44,2141,16587,5153,21741
SED21303,..,8502,8502,8144,2219,10361,3580,1063,4646,3234,485,3723,941,161,1102,356,63,418,16254,12499,28750
SED21401,..,4414,4414,6996,346,7343,3856,134,3990,3962,47,4009,1570,14,1586,585,12,598,16968,4972,21938
SED21503,..,4499,4499,6122,574,6700,3649,306,3955,3799,171,3968,1352,100,1454,629,52,679,15549,5705,21255
SED21608,..,5715,5715,6931,657,7590,2959,138,3096,3136,87,3226,1377,15,1388,602,13,611,15004,6620,21621
SED21706,..,5368,5368,5870,616,6485,3665,410,4070,4449,240,4696,1669,123,1792,508,102,616,16160,6867,23027
SED21805,..,6764,6764,7375,698,8073,4230,92,4322,4016,19,4036,1446,7,1456,604,0,604,17670,7581,25244
SED21906,..,7276,7276,7246,1255,8504,3398,453,3853,3321,152,3480,1340,54,1392,578,37,608,15883,9229,25117
SED22005,..,5232,5232,6488,741,7233,4599,453,5047,4278,309,4584,1773,122,1895,1020,86,1104,18156,6946,25095
SED22105,..,4441,4441,7306,547,7848,5938,73,6014,6581,22,6605,2832,9,2844,1959,5,1963,24614,5100,29711
SED22201,..,5467,5467,6552,471,7027,3481,71,3551,3571,18,3588,1439,3,1439,580,3,582,15625,6038,21658
SED22305,..,5425,5425,6195,659,6857,4171,226,4402,3754,181,3934,1799,127,1924,1584,136,1721,17505,6762,24267
SED22404,..,5674,5674,7213,451,7668,2956,31,2986,2939,8,2948,1296,11,1301,564,3,568,14974,6177,21144
SED22501,..,3569,3569,6194,246,6433,3533,45,3582,4532,10,4546,1685,4,1685,438,7,439,16379,3877,20255
SED22607,..,7441,7441,7062,1138,8203,3585,408,3989,3896,120,4017,1435,24,1456,449,18,468,16425,9145,25571
SED22704,..,6962,6962,8643,556,9199,3129,45,3167,2894,8,2898,1358,9,1373,571,9,583,16594,7596,24191
SED22802,..,3693,3693,6044,292,6340,3314,49,3362,3746,12,3754,1642,0,1649,704,3,709,15449,4058,19510
SED22901,..,4230,4230,6004,375,6377,3580,72,3655,3798,28,3829,1481,3,1483,633,0,635,15494,4719,20211
SED23007,..,7417,7417,7675,1405,9074,4629,567,5193,3993,300,4294,1614,122,1736,1140,109,1245,19048,9906,28953
SED23101,..,4270,4270,6002,347,6340,3574,180,3753,4236,103,4338,1521,38,1558,566,20,584,15895,4959,20852
SED23205,..,7142,7142,7177,726,7901,3572,119,3691,3155,28,3179,1234,12,1245,476,4,476,15607,8029,23637
SED23308,..,8686,8686,7666,819,8492,3331,281,3610,3070,97,3165,1167,25,1186,368,22,393,15598,9934,25531
SED23402,..,4263,4263,6803,420,7221,3985,45,4026,4524,21,4544,1973,4,1979,828,9,835,18110,4760,22868
SED23502,..,6889,6889,8693,458,9155,2647,59,2707,2466,10,2479,1168,3,1174,469,4,472,15442,7428,22866
SED23602,..,6413,6413,7590,455,8044,2627,55,2684,2478,13,2492,1233,7,1246,491,5,489,14429,6942,21368
SED23702,..,5357,5357,7371,462,7826,3889,42,3926,4154,8,4157,1771,4,1772,789,0,791,17966,5864,23837
SED23806,..,7140,7140,7247,1248,8494,3180,389,3571,3752,143,3899,1507,48,1552,411,21,431,16103,8985,25086
SED23901,..,6062,6062,6857,615,7476,3736,172,3907,4057,76,4134,1446,17,1461,511,8,522,16614,6954,23564
SED24006,..,4489,4489,5819,529,6353,3601,192,3797,4323,96,4417,1824,40,1863,604,19,625,16168,5372,21535
SED24105,..,3810,3810,5442,395,5835,4124,121,4251,4380,69,4455,2097,36,2127,1500,18,1515,17547,4448,21997
SED24207,..,3513,3513,5593,422,6014,4729,94,4818,5616,32,5648,2600,14,2620,1867,6,1876,20404,4089,24491
SED24308,..,6570,6570,7092,640,7734,3808,90,3897,3296,34,3325,1456,10,1461,701,3,704,16348,7343,23684
SED24408,..,7239,7239,7931,445,8379,2585,73,2660,2479,15,2491,1190,0,1190,450,0,452,14636,7768,22404
SED24504,..,4579,4579,6848,350,7192,2974,48,3020,3443,17,3458,1490,4,1502,535,6,535,15282,5005,20288
SED24606,..,6480,6480,6632,957,7589,2922,359,3283,3318,118,3436,1443,56,1495,352,24,370,14659,7982,22641
SED24703,..,17046,17046,12437,6316,18753,4318,2716,7032,2335,1100,3431,653,366,1011,316,163,478,20056,27696,47756
SED24808,..,5551,5551,7487,637,8124,4653,75,4731,4636,19,4654,2096,6,2101,1246,0,1249,20122,6288,26407
SED24904,..,6745,6745,7596,557,8150,3128,92,3218,2828,42,2870,1504,20,1524,713,20,729,15774,7467,23241
SED25003,..,3300,3300,5450,315,5765,4299,57,4360,5154,31,5190,2100,12,2111,980,3,984,17976,3725,21703
SED25102,..,3517,3517,6169,346,6513,3267,44,3308,3750,8,3758,1613,4,1620,644,3,641,15438,3922,19364
SED25205,..,6084,6084,6676,479,7150,3707,66,3766,4317,19,4339,1516,13,1526,406,3,406,16617,6662,23276
SED25302,..,5256,5256,7376,315,7698,3101,34,3130,3945,6,3950,1595,11,1603,505,0,506,16520,5618,22143
SED25402,..,7260,7260,8021,573,8595,3443,84,3525,3168,23,3190,1281,0,1285,538,5,545,16459,7941,24396
SED25501,..,3894,3894,5915,355,6270,3845,182,4023,4558,124,4689,1576,50,1621,654,32,686,16549,4634,21182
SED25605,..,4064,4064,6249,406,6653,3947,137,4082,3959,70,4026,1522,21,1536,798,27,822,16469,4721,21192
SED25704,..,6753,6753,8169,505,8678,2898,66,2962,2691,26,2716,1442,3,1443,650,7,660,15847,7362,23216
SED25802,..,6545,6545,8370,510,8880,3340,41,3379,3262,10,3275,1621,8,1627,748,3,752,17338,7114,24457
SED25905,..,3417,3417,5587,359,5944,3844,57,3907,4361,19,4382,1995,15,2008,1271,8,1281,17063,3880,20937
SED26005,..,2699,2699,5056,358,5415,4440,73,4510,6219,33,6250,2800,10,2815,1948,11,1960,20459,3178,23643
SED26102,..,7246,7246,8780,468,9244,2845,42,2888,2579,14,2589,1065,3,1072,359,5,363,15632,7777,23407
SED26207,..,4712,4712,6644,364,7010,3631,94,3719,3928,18,3948,1513,10,1519,507,0,507,16220,5196,21415
SED26303,..,7250,7250,6875,1411,8284,3479,613,4086,3608,269,3875,1075,75,1155,341,22,363,15378,9636,25011
SED26406,..,6898,6898,6895,1214,8105,4039,632,4675,3923,391,4316,1291,157,1449,454,95,555,16608,9388,25994
SED26504,..,6433,6433,7818,478,8292,2627,56,2683,2526,23,2551,1199,7,1206,464,3,470,14635,6994,21630
SED26603,..,6914,6914,7634,907,8538,4421,371,4792,4257,154,4410,1570,69,1640,751,50,804,18637,8468,27103
SED26708,..,6113,6113,7610,450,8064,2748,67,2815,2864,11,2873,1454,11,1465,652,9,657,15326,6658,21983
SED26806,..,14036,14036,10681,3092,13775,2933,833,3760,1773,173,1944,456,27,485,139,16,151,15976,18179,34152
SED26903,..,7451,7451,6981,1040,8022,3926,393,4315,3526,174,3698,1325,42,1365,685,55,742,16437,9150,25582
SED27003,..,10054,10054,9670,2462,12130,3332,1197,4529,2378,430,2805,639,104,750,285,26,308,16303,14282,30580
SED27101,..,5999,5999,6840,625,7464,3743,134,3880,3865,67,3933,1443,10,1459,521,9,527,16417,6836,23257
SED27208,..,7810,7810,8532,618,9145,2933,60,2989,2568,21,2590,1175,21,1199,594,14,607,15793,8543,24335
SED27305,..,2476,2476,4714,212,4931,3498,50,3549,4491,17,4509,1685,3,1686,668,0,670,15058,2762,17824
SED27406,..,6026,6026,6813,450,7260,3164,45,3209,3943,12,3954,1391,7,1396,318,5,323,15630,6538,22169
SED27504,..,6927,6927,7883,579,8463,3470,99,3569,3301,46,3349,1651,19,1669,872,9,888,17182,7670,24856
SED27608,..,4929,4929,7634,449,8083,3605,203,3815,4398,125,4529,1814,70,1888,554,58,614,18015,5843,23854
SED27708,..,6781,6781,7902,552,8453,3064,116,3183,3010,52,3053,1375,15,1393,556,16,574,15908,7530,23443
SED27807,..,5281,5281,6370,562,6935,4329,212,4539,3871,162,4027,1967,90,2057,1558,67,1628,18092,6372,24472
SED27907,..,4715,4715,6467,421,6888,3746,60,3804,3722,19,3745,1569,0,1569,643,3,646,16155,5215,21372
SED28007,..,2781,2781,5131,208,5338,4360,46,4407,6050,23,6078,2607,10,2616,1269,8,1274,19416,3080,22492
SED28107,..,3607,3607,6433,448,6879,6270,109,6385,6330,50,6385,2890,26,2914,2140,18,2156,24061,4255,28323
SED28203,..,3926,3926,6339,350,6689,4259,87,4347,4030,56,4090,1946,21,1964,1338,14,1356,17906,4466,22368
SED28301,..,3135,3135,5693,247,5939,3587,43,3628,4424,23,4443,1930,12,1939,677,3,674,16305,3461,19760
SED28408,..,6880,6880,6777,730,7505,2954,174,3130,2814,63,2876,1223,18,1241,438,3,447,14213,7862,22074
SED28507,..,5000,5000,6437,554,6990,4368,93,4458,4266,32,4302,1794,11,1805,1138,6,1140,18001,5693,23697
SED28607,..,6609,6609,7808,807,8613,4241,323,4563,4479,83,4567,1460,22,1484,532,14,544,18514,7863,26380
SED28704,..,3680,3680,6860,380,7238,4842,44,4886,5875,17,5885,2600,4,2599,1005,0,1005,21175,4126,25299
SED28803,..,2867,2867,5444,323,5761,5018,59,5077,6171,28,6194,3121,9,3130,2283,8,2297,22028,3294,25324
SED29494,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SED29797,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SED30001,..,2690,2690,6034,564,6600,4228,110,4337,4610,34,4640,2154,5,2154,1161,0,1167,18191,3403,21590
SED30002,..,2691,2691,4577,425,5000,3421,99,3521,3583,29,3611,1530,8,1534,959,3,967,14070,3251,17325
SED30003,..,3345,3345,4565,520,5092,2534,192,2725,3188,63,3250,1282,16,1296,388,6,397,11958,4144,16100
SED30004,..,3111,3111,5041,340,5390,2594,95,2692,2921,33,2954,1135,8,1140,472,3,478,12170,3595,15766
SED30005,..,4801,4801,7435,790,8232,3518,132,3650,3426,38,3461,1247,8,1254,543,3,541,16170,5772,21938
SED30006,..,3776,3776,6626,425,7048,3077,44,3123,3125,11,3134,1434,0,1434,918,3,922,15193,4259,19450
SED30007,..,9209,9209,7800,2482,10280,2388,891,3271,1627,397,2024,479,143,625,178,83,267,12470,13204,25674
SED30008,..,6628,6628,7676,901,8582,2803,153,2960,2036,39,2075,685,13,698,277,6,278,13483,7736,21216
SED30009,..,3676,3676,6110,477,6583,2708,160,2864,3131,52,3185,1146,10,1156,462,4,465,13558,4377,17935
SED30010,..,4483,4483,5587,916,6505,3012,353,3369,3111,90,3203,1113,36,1148,381,13,391,13208,5891,19102
SED30011,..,5322,5322,5654,520,6180,2311,81,2390,1805,31,1829,810,7,816,441,7,453,11023,5961,16988
SED30012,..,3997,3997,6340,748,7091,4605,141,4747,4610,34,4644,2203,7,2213,1759,7,1763,19522,4930,24446
SED30013,..,4526,4526,5801,464,6265,2385,92,2477,2199,28,2225,998,18,1015,453,11,467,11829,5137,16967
SED30014,..,5206,5206,6164,927,7088,2926,236,3163,2719,61,2781,950,8,963,400,7,406,13161,6440,19598
SED30015,..,3995,3995,7498,479,7974,2305,55,2363,2192,12,2205,993,3,998,506,0,508,13504,4547,18044
SED30016,..,7531,7531,6367,1025,7399,3079,226,3305,2264,87,2354,1028,15,1039,626,20,650,13362,8908,22270
SED30017,..,4598,4598,5971,404,6376,2058,66,2123,1937,26,1965,984,8,995,606,13,615,11560,5105,16665
SED30018,..,4720,4720,6973,544,7520,2717,95,2809,2629,15,2644,1061,5,1069,470,4,468,13856,5389,19238
SED30019,..,3347,3347,5188,387,5571,2952,71,3027,2932,22,2949,1210,0,1217,590,3,588,12865,3828,16699
SED30020,..,3133,3133,5300,443,5748,3046,184,3228,3534,50,3586,1342,14,1359,555,12,567,13774,3838,17616
SED30021,..,6692,6692,6033,1098,7136,2777,233,3013,2549,71,2620,1015,20,1035,313,6,323,12689,8122,20813
SED30022,..,4045,4045,6179,330,6506,2862,56,2918,3084,16,3095,1184,0,1184,521,0,519,13822,4455,18274
SED30023,..,3646,3646,6472,409,6884,2861,61,2927,2958,30,2986,1553,12,1564,896,3,897,14750,4157,18910
SED30024,..,4173,4173,4748,513,5257,2068,78,2152,2091,29,2117,1109,7,1115,1205,13,1219,11226,4817,16041
SED30025,..,4228,4228,8012,700,8717,4347,125,4472,4427,42,4463,1796,5,1795,1026,3,1031,19611,5097,24707
SED30026,..,4807,4807,5803,735,6537,2636,126,2762,2485,31,2518,994,8,1004,455,7,458,12375,5700,18080
SED30027,..,4619,4619,5849,414,6268,2132,54,2185,2172,19,2191,1026,3,1027,589,0,595,11770,5118,16885
SED30028,..,3220,3220,4873,437,5312,2767,84,2851,3212,27,3237,1238,9,1253,432,0,430,12520,3790,16307
SED30029,..,2345,2345,4781,212,4989,2631,45,2684,3329,12,3344,1341,0,1341,553,0,554,12640,2611,15252
SED30030,..,3416,3416,5690,597,6281,3590,139,3727,3720,32,3751,1487,10,1495,853,0,853,15339,4184,19524
SED30031,..,4194,4194,6067,477,6542,3066,78,3151,3222,18,3237,1338,3,1345,603,0,599,14295,4778,19067
SED30032,..,3363,3363,6759,474,7232,2857,70,2928,2815,15,2832,1371,3,1379,818,11,829,14623,3935,18560
SED30033,..,4572,4572,5117,776,5899,2593,296,2891,2735,100,2840,1059,27,1085,369,7,378,11881,5776,17659
SED30034,..,3700,3700,4234,304,4538,1882,49,1927,2058,6,2062,1052,0,1054,531,0,535,9755,4060,13817
SED30035,..,4940,4940,6918,525,7442,2426,83,2502,2100,13,2118,975,4,978,610,3,610,13025,5566,18589
