SED_CODE_2016,O_OR_DS_Sep_house,O_OR_DS_SemiD_ro_or_tce_h_th,O_OR_DS_Flat_apart,O_OR_DS_Oth_dwell,O_OR_DS_not_stated,O_OR_Total,O_MTG_DS_Sep_house,O_MTG_DS_SemiD_ro_or_tce_h_th,O_MTG_DS_Flat_apart,O_MTG_DS_Oth_dwell,O_MTG_DS_not_stated,O_MTG_Total,R_RE_Agt_DS_Sep_house,R_RE_Ag_DS_SemD_ro_or_tc_h_th,R_RE_Agt_DS_Flat_apart,R_RE_Agt_DS_Oth_dwell,R_RE_Agt_DS_not_stated,R_RE_Agt_Total,R_ST_h_auth_DS_Sep_house,R_ST_h_au_DS_SD_ro_or_tc_h_th,R_ST_h_auth_DS_Flat_apart,R_ST_h_auth_DS_Oth_dwell,R_ST_h_auth_DS_not_stated,R_ST_h_auth_Total,R_Psn_not_in_s_hh_DS_Sep_hous,R_P_not_in_s_h_DS_SD_ro_t_h_t,R_P_not_in_s_hh_DS_Flat_apart,R_Psn_not_in_s_hh_DS_Oth_dwel,R_Psn_not_in_s_hh_DS_NS,R_Psn_not_in_s_hh_Total,R_Hs_cop_cty_ch_gp_DS_Sp_ho,R_Hs_c_ct_ch_g_DS_SD_ro_t_h_t,R_Hse_cp_cty_ch_g_DS_Flt_apt,R_Hs_cop_cty_ch_gp_DS_Ot_dwel,R_Hse_coop_cty_ch_gp_DS_NS,R_Hse_coop_cty_ch_gp_Total,R_Ot_landld_typ_DS_Sep_house,R_O_LLd_typ_DS_SD_ro_tc_h_th,R_Ot_LLd_typ_DS_Flat_apart,R_Ot_landld_typ_DS_Oth_dwell,R_Ot_landld_typ_DS_not_stated,R_Ot_landld_typ_Total,R_Landld_typ_NS_DS_Sep_house,R_Ld_typ_NS_DS_SD_ro_tce_h_th,R_LLd_typ_NS_DS_Flat_apart,R_Landld_typ_NS_DS_Oth_dwell,R_Landld_typ_NS_DS_not_stated,R_Landld_typ_NS_Total,R_Tot_DS_Sep_house,R_Tot_DS_SemiD_ro_or_tce_h_th,R_Tot_DS_Flat_apart,R_Tot_DS_Oth_dwell,R_Tot_DS_not_stated,R_Tot_Total,Oth_ten_type_DS_Sep_house,Oth_ten_ty_DS_SD_ro_tce_h_th,Oth_ten_type_DS_Flat_apart,Oth_ten_type_DS_Oth_dwell,Oth_ten_type_DS_not_stated,Oth_ten_type_Total,Ten_type_NS_DS_Sep_house,Ten_ty_NS_DS_SD_ro_tce_h_t,Ten_ty_NS_DS_Flat_apart,Ten_type_NS_DS_Oth_dwell,Ten_type_NS_DS_not_stated,Ten_type_NS_Total,Total_DS_Sep_house,Total_DS_SemiD_ro_or_tce_h_th,Total_DS_Flat_apart,Total_DS_Oth_dwell,Total_DS_not_stated,Total_Total
SED24904,7380,407,123,137,46,8098,6920,167,61,18,27,7196,2239,617,479,10,10,3355,512,179,211,3,0,901,1396,130,96,24,11,1660,81,22,80,0,3,188,336,22,39,85,6,493,181,10,16,3,4,219,4742,978,926,123,35,6803,136,93,7,0,4,242,671,97,96,24,18,908,19853,1737,1220,296,133,23241
SED25003,5221,819,74,0,4,6118,8746,1385,41,0,9,10186,2327,1055,181,0,8,3575,189,41,0,0,0,235,565,133,8,0,3,707,28,6,0,0,0,33,84,10,0,0,0,92,43,11,0,0,0,53,3231,1263,194,0,12,4701,119,38,28,0,0,190,412,77,21,3,0,514,17737,3584,353,6,25,21703
SED25102,6452,114,14,3,21,6612,9906,104,31,4,18,10063,1066,141,21,9,5,1237,61,28,3,0,0,93,640,31,0,3,12,685,26,24,0,0,3,51,47,0,0,0,0,43,52,9,0,0,3,61,1884,224,28,7,23,2178,84,50,3,0,0,143,335,27,0,0,5,365,18669,514,78,25,76,19364
SED25205,5317,1526,917,10,19,7789,6164,2000,1159,13,32,9367,1156,1226,1506,31,18,3935,113,102,173,0,3,391,344,265,248,13,9,874,18,16,43,0,5,78,16,10,17,0,6,52,27,18,20,0,0,70,1677,1627,2012,42,38,5397,67,25,90,0,0,183,282,118,136,3,7,543,13512,5289,4314,68,95,23276
SED25302,7089,863,823,91,12,8876,7867,401,402,0,18,8686,1506,349,623,0,3,2487,169,3,162,0,0,337,489,75,143,0,4,706,21,3,6,0,0,33,41,3,5,21,0,78,56,11,14,4,0,80,2285,444,956,27,15,3721,238,46,46,0,0,330,367,56,93,8,6,535,17844,1804,2318,128,53,22143
SED25402,8202,261,154,54,14,8682,8386,109,90,8,14,8606,2634,382,599,3,11,3635,550,214,183,0,3,949,1062,64,72,4,8,1211,65,48,29,0,0,149,83,19,7,9,12,127,70,15,12,0,3,96,4460,747,909,26,32,6173,99,42,5,0,0,148,620,63,69,5,40,791,21766,1220,1223,92,97,24396
SED25501,7732,582,1026,0,11,9355,4604,549,878,0,11,6043,2394,529,949,6,13,3881,78,18,38,0,0,139,691,117,197,3,7,1012,16,3,20,0,0,43,55,10,9,0,0,74,50,3,10,0,0,71,3286,678,1227,6,20,5224,79,12,17,0,0,109,342,49,50,3,11,450,16051,1864,3197,14,56,21182
SED25605,7563,453,260,16,4,8291,5603,784,265,0,5,6658,2314,840,623,3,8,3786,253,54,77,0,0,383,636,148,75,4,3,869,24,7,3,0,0,40,65,21,12,59,0,158,51,15,4,4,0,76,3349,1081,794,73,13,5313,68,131,76,5,4,285,454,114,67,8,7,645,17028,2565,1467,96,37,21192
SED25704,8765,218,165,95,36,9284,7029,87,37,18,49,7224,1788,348,392,8,11,2543,511,165,138,0,0,814,1446,87,78,15,21,1651,60,36,25,0,0,122,297,12,11,43,6,379,173,9,13,3,3,207,4274,653,665,77,44,5714,162,22,21,0,3,202,636,55,63,10,17,796,20873,1040,950,201,155,23216
SED25802,8381,310,389,95,32,9212,8784,95,53,14,24,8971,2221,420,311,8,15,2973,346,165,85,0,0,600,1163,100,73,8,9,1346,44,27,12,0,0,83,128,23,20,48,5,217,116,16,12,0,0,147,4021,742,515,61,26,5362,131,16,52,0,0,198,569,68,53,11,12,711,21884,1233,1056,183,101,24457
SED25905,5693,409,63,15,0,6183,8939,660,52,3,5,9669,2379,441,90,5,3,2917,357,31,11,0,3,410,735,74,18,0,4,830,30,10,0,0,0,37,73,7,0,85,0,172,45,13,0,0,0,54,3625,576,120,95,10,4427,77,11,0,0,0,83,519,47,8,6,3,580,18855,1693,245,115,29,20937
SED26005,4458,225,4,4,3,4697,12719,555,17,9,3,13305,3361,303,25,3,3,3703,192,28,22,3,0,243,789,51,8,0,0,849,16,0,0,0,0,16,105,4,0,3,0,108,60,4,0,0,0,67,4524,391,58,10,9,4985,71,17,0,0,0,94,513,35,4,0,5,560,22285,1218,91,26,25,23643
SED26102,9161,699,138,131,34,10159,6341,240,22,18,12,6626,2895,522,104,9,8,3539,122,76,11,0,0,211,1035,102,20,20,15,1189,32,31,0,0,0,62,109,15,4,60,5,187,143,14,13,3,0,167,4333,752,152,92,30,5354,179,185,9,0,12,381,714,96,36,25,6,882,20732,1973,356,267,89,23407
SED26207,8122,1272,224,44,10,9670,5096,1427,137,30,11,6703,1607,1149,330,35,14,3133,61,73,27,0,0,160,517,202,73,5,4,806,7,9,4,0,0,26,40,11,3,0,0,56,61,19,7,0,0,86,2294,1472,438,45,19,4276,64,81,15,3,0,162,449,122,23,6,9,610,16025,4367,838,127,57,21415
SED26303,5330,1209,398,23,18,6977,4419,1725,1058,31,15,7250,1684,2256,3426,72,40,7476,112,288,397,0,0,804,586,423,345,36,12,1400,40,45,32,0,0,118,29,17,16,5,4,74,80,30,28,0,0,137,2526,3064,4254,115,52,10011,60,28,23,0,0,122,341,130,168,8,13,648,12680,6160,5895,167,101,25011
SED26406,5438,1407,464,4,11,7328,4372,1728,1069,7,17,7197,1935,2129,3952,12,35,8057,56,187,170,0,0,409,745,538,480,8,8,1779,26,64,40,0,0,124,60,32,63,3,16,177,60,33,31,0,0,125,2878,2974,4738,21,63,10677,70,47,45,0,0,167,317,156,142,0,13,637,13077,6313,6463,35,109,25994
SED26504,8370,286,111,61,71,8897,6476,108,39,16,31,6672,1821,503,167,4,12,2509,449,174,79,0,3,697,1137,166,54,15,15,1382,27,40,9,0,0,78,161,18,24,30,14,235,135,22,11,3,4,185,3725,920,335,50,43,5077,118,41,21,0,5,183,661,79,40,5,16,800,19347,1434,545,139,164,21630
SED26603,7306,1194,290,11,16,8823,5719,2458,410,17,30,8632,2161,3279,960,26,24,6446,171,269,88,8,0,534,741,520,112,9,14,1392,19,38,17,0,0,76,74,45,15,3,3,153,80,44,10,0,0,133,3252,4186,1200,48,46,8733,97,29,14,0,3,143,455,248,62,7,11,777,16822,8120,1976,79,103,27103
SED26708,8713,185,57,45,63,9053,7454,39,21,22,42,7586,1486,221,63,19,9,1803,237,91,66,0,0,395,1382,86,30,16,15,1535,55,25,6,0,0,89,356,19,5,30,8,412,218,13,4,3,7,240,3732,459,173,65,38,4471,163,13,7,0,0,188,603,42,13,13,18,685,20669,735,275,147,158,21983
SED26806,1326,1715,3064,13,20,6134,867,1450,4246,17,16,6600,513,1513,13663,72,30,15790,5,92,1288,0,0,1390,171,445,2022,15,15,2678,4,3,125,0,0,140,12,25,99,0,6,143,21,40,119,3,3,192,724,2120,17329,92,58,20325,26,24,127,0,3,185,80,128,681,7,21,912,3028,5437,25448,118,117,34152
SED26903,6688,1003,132,13,12,7846,4566,1808,285,28,15,6706,2640,3076,836,57,28,6641,478,633,244,0,0,1351,911,491,107,30,8,1550,25,34,37,0,0,104,89,58,16,3,0,166,92,34,10,5,0,141,4244,4331,1254,89,38,9953,109,60,10,0,4,185,567,264,56,3,12,900,16175,7469,1734,132,76,25582
SED27003,1454,2973,1123,18,21,5589,1098,3151,2545,23,26,6853,841,3264,6798,80,60,11044,107,355,2633,0,5,3100,313,988,953,32,19,2312,68,26,254,0,0,353,32,27,59,8,8,131,21,58,60,3,3,151,1377,4719,10764,128,97,17082,57,52,65,3,0,178,113,282,457,11,18,883,4101,11185,14952,174,166,30580
SED27101,6483,842,78,3,9,7410,7014,1098,141,3,20,8283,3006,1521,470,10,12,5025,167,277,49,0,0,490,776,253,42,3,4,1078,37,74,45,0,3,161,53,23,0,0,3,76,74,23,7,0,0,99,4105,2171,610,13,28,6925,73,33,11,0,0,125,361,120,23,0,7,510,18032,4264,865,20,68,23257
SED27208,10170,137,56,332,67,10763,7467,33,12,124,51,7696,1678,160,146,38,11,2036,343,122,97,0,5,564,1432,38,45,46,10,1567,38,37,44,0,0,123,211,16,12,49,4,290,192,11,10,4,6,223,3903,382,337,148,34,4799,169,45,3,4,3,226,694,70,40,30,12,857,22404,670,457,640,170,24335
SED27305,5529,374,125,33,3,6066,8348,213,24,48,3,8637,1659,134,30,18,3,1840,168,3,0,0,0,176,422,25,0,6,3,451,14,0,4,0,0,17,13,0,3,6,0,22,25,0,0,0,0,33,2298,165,39,29,9,2534,62,92,81,0,0,231,304,35,13,10,0,359,16534,880,279,119,15,17824
SED27406,5788,2096,526,20,28,8461,4889,1860,605,53,22,7433,1009,1573,1476,53,19,4128,66,193,89,0,0,347,374,400,153,13,10,961,4,14,39,0,0,60,21,17,18,0,0,49,41,32,21,0,0,94,1517,2230,1795,67,37,5643,59,43,28,0,0,129,272,145,78,4,9,506,12524,6378,3028,149,97,22169
SED27504,7795,401,55,155,16,8422,7958,187,16,27,20,8197,2638,952,114,15,8,3731,644,223,61,0,0,929,1354,189,35,22,10,1600,109,45,23,0,0,172,289,33,13,99,3,440,162,35,3,0,0,200,5189,1472,248,138,22,7064,204,51,0,0,0,264,685,146,23,29,7,894,21833,2259,348,345,63,24856
SED27608,7562,560,25,28,16,8186,9145,377,17,48,18,9603,2602,779,52,26,7,3465,159,69,11,0,0,243,1009,185,18,11,7,1222,73,50,15,4,0,146,51,11,13,3,4,77,59,21,4,0,0,87,3956,1118,110,43,18,5246,210,92,11,0,0,305,415,73,20,5,3,511,21292,2215,180,119,55,23854
SED27708,7947,431,126,76,27,8605,7318,204,50,33,25,7632,2314,702,336,24,18,3390,554,177,151,0,0,881,1230,142,63,14,26,1469,45,20,58,0,0,133,215,21,18,21,3,271,125,10,6,0,0,142,4482,1067,628,58,48,6293,114,32,29,5,3,187,541,74,94,5,16,727,20407,1813,924,175,118,23443
SED27807,7999,638,266,7,6,8933,5330,914,310,10,6,6576,2434,1023,986,18,23,4483,340,179,109,0,0,630,1328,337,197,16,15,1888,48,36,18,0,0,113,288,88,56,3,3,438,134,25,17,0,0,175,4578,1689,1384,37,42,7724,112,21,12,0,3,141,794,169,95,24,15,1096,18812,3436,2072,81,71,24472
SED27907,6479,386,239,0,3,7103,8351,500,162,9,9,9032,2145,751,410,3,6,3311,120,67,45,0,0,233,729,115,81,0,3,933,19,9,10,0,0,34,37,5,7,0,0,47,46,8,9,0,0,56,3100,947,557,3,16,4620,102,15,11,0,0,130,390,64,30,0,4,489,18422,1907,997,10,28,21372
SED28007,5652,693,46,0,3,6394,10321,1191,56,3,24,11595,1583,979,112,0,5,2678,27,22,76,0,0,119,544,178,16,3,3,751,10,19,28,0,0,47,61,28,7,0,0,98,47,6,0,0,0,57,2269,1231,240,0,14,3752,76,83,18,0,0,179,445,106,17,0,0,570,18765,3306,380,5,40,22492
SED28107,4232,765,147,14,4,5162,12301,2188,141,3,6,14640,4489,1212,377,3,8,6089,83,22,26,0,0,123,925,182,55,4,0,1163,34,18,7,0,0,59,86,35,7,18,5,144,58,14,7,3,0,75,5670,1478,466,22,14,7656,65,70,22,0,0,161,548,109,38,0,3,702,22824,4605,818,40,32,28323
SED28203,7889,226,101,0,10,8222,6786,594,176,5,17,7580,2630,918,469,0,9,4028,172,51,34,0,0,259,818,126,75,7,3,1029,20,28,14,0,0,62,155,15,14,0,0,190,85,14,5,0,0,103,3889,1153,600,14,19,5675,96,10,7,0,0,114,684,61,28,0,9,788,19338,2048,912,16,55,22368
SED28301,7456,792,277,16,13,8553,6459,745,231,0,16,7452,1272,605,300,0,8,2194,57,35,20,0,0,111,444,129,55,3,0,635,3,16,9,0,0,27,35,13,4,0,0,52,54,10,7,0,0,71,1874,806,394,10,9,3086,78,86,30,0,0,195,302,83,50,0,43,475,16158,2509,986,25,86,19760
SED28408,6501,706,122,11,12,7357,6320,383,53,15,25,6793,3114,1195,476,10,15,4811,584,275,55,0,3,921,806,180,72,0,8,1069,82,57,38,0,6,180,66,17,17,0,7,107,70,25,8,0,0,102,4726,1752,658,11,38,7181,130,21,3,0,0,154,437,99,35,3,12,589,18111,2957,885,34,89,22074
SED28507,5555,456,27,48,5,6089,9140,641,66,7,6,9852,3646,1150,234,0,5,5031,340,106,15,0,0,457,1012,181,34,7,3,1230,40,13,0,0,0,62,91,15,3,16,0,126,68,8,0,0,0,81,5200,1474,278,21,13,6990,94,46,4,0,0,139,516,86,9,6,3,624,20499,2699,386,77,32,23697
SED28607,6422,1234,283,44,26,8001,6472,2272,417,21,30,9211,2559,1938,1351,65,19,5932,113,306,317,0,3,744,744,331,170,33,13,1289,61,21,66,0,0,146,68,44,13,21,4,147,63,26,18,4,0,100,3612,2659,1933,116,44,8365,90,30,11,3,10,137,396,139,106,9,10,660,16989,6334,2746,191,114,26380
SED28704,5602,232,19,6,10,5865,13342,662,49,3,16,14078,2906,658,112,0,19,3700,67,54,7,0,0,125,636,80,12,4,13,737,28,12,0,0,0,34,61,16,0,0,0,72,61,11,0,0,0,67,3755,821,131,8,23,4740,90,27,0,0,0,115,449,43,7,0,4,501,23237,1782,205,21,58,25299
SED28803,4840,234,20,41,0,5136,13151,756,44,4,13,13965,2825,1079,125,0,11,4048,146,46,11,0,0,200,759,121,12,3,0,894,36,10,4,0,0,46,140,12,0,24,0,182,66,6,0,0,0,82,3978,1275,156,33,18,5460,140,22,0,0,0,162,520,57,6,6,5,603,22619,2354,221,91,35,25324
SED29494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SED29797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SED30001,3326,626,11,38,3,4000,8966,834,27,12,20,9861,4258,1474,20,9,15,5768,102,37,0,0,0,139,753,355,11,12,3,1132,14,21,0,0,0,32,55,35,0,5,0,93,38,7,0,0,0,51,5217,1924,30,21,17,7215,47,31,0,0,0,83,338,92,0,3,4,435,17891,3505,74,70,46,21590
SED30002,3796,105,40,31,0,3964,7625,241,25,0,11,7909,2796,619,86,0,26,3520,220,30,0,0,0,253,716,152,19,0,0,892,10,20,0,0,0,37,103,37,3,22,0,165,41,8,0,0,0,45,3884,870,103,28,23,4918,62,62,29,3,3,161,308,38,11,3,3,367,15685,1320,214,63,49,17325
SED30003,4584,182,193,5,10,4972,5604,223,353,3,9,6187,1607,319,984,3,15,2926,163,26,235,0,0,425,560,59,204,0,3,828,9,13,25,0,0,46,227,57,36,0,0,325,32,0,6,0,0,42,2604,477,1486,3,20,4599,41,7,8,0,0,60,192,11,57,9,27,288,13029,898,2089,18,65,16100
SED30004,5317,449,66,0,6,5836,5356,339,16,3,15,5734,1509,615,64,0,3,2182,24,43,0,0,0,71,469,255,13,3,0,739,14,69,13,0,0,94,118,132,13,145,9,421,33,9,0,3,0,47,2156,1133,93,151,19,3555,85,148,49,0,0,281,252,79,11,14,8,364,13169,2142,239,175,46,15766
SED30005,5058,235,267,113,43,5718,7885,316,291,8,31,8524,2746,794,1108,0,41,4695,188,63,52,0,4,305,1055,276,302,12,34,1671,40,4,13,0,0,58,128,13,35,38,5,223,68,13,29,4,3,116,4229,1163,1539,55,86,7063,91,5,3,0,3,110,366,45,80,9,27,528,17626,1768,2178,186,177,21938
SED30006,5771,98,66,96,19,6058,8091,76,12,43,18,8237,2362,281,74,6,6,2734,104,50,0,0,0,161,1123,59,20,22,13,1235,29,18,0,0,0,46,168,15,0,14,4,206,135,5,3,0,0,149,3925,427,101,47,18,4524,101,12,14,4,0,133,454,19,8,18,3,504,18343,635,202,203,68,19450
SED30007,1356,167,2231,16,17,3788,1565,231,3238,8,25,5064,943,528,9755,7,65,11293,25,89,870,0,0,981,393,124,2270,0,25,2815,11,5,357,0,0,372,22,18,255,5,8,305,16,6,127,0,0,150,1412,764,13630,16,93,15920,35,5,98,10,0,144,123,36,528,31,42,755,4494,1207,19730,67,177,25674
SED30008,3526,1512,1340,250,37,6663,2734,1564,865,7,25,5194,1098,2133,2289,3,21,5548,49,335,258,0,10,654,441,764,651,3,9,1878,14,46,58,0,0,122,70,118,53,17,12,273,31,41,44,4,0,121,1708,3441,3359,29,54,8591,34,55,63,3,3,157,234,183,175,15,16,613,8235,6750,5793,304,142,21216
SED30009,4630,739,263,220,7,5868,6017,255,176,8,10,6471,1891,460,758,7,7,3116,78,85,84,0,3,248,632,121,166,17,16,948,16,31,6,0,0,55,45,26,22,54,0,149,51,12,6,3,0,70,2712,723,1042,81,24,4584,222,279,31,8,0,538,274,118,57,13,7,466,13861,2121,1576,330,52,17935
SED30010,3534,404,379,91,5,4417,5202,954,637,7,14,6810,2018,1397,1869,3,23,5305,193,185,280,0,0,658,624,251,344,0,6,1223,18,9,11,0,0,37,30,14,8,13,0,68,42,15,13,3,0,67,2923,1872,2519,15,31,7359,37,13,32,3,0,88,261,68,75,9,8,425,11951,3312,3648,123,58,19102
SED30011,5018,417,140,153,4,5730,3993,98,53,3,10,4158,2165,607,555,11,14,3350,359,372,177,0,3,912,1221,157,177,16,13,1576,30,26,72,0,0,129,113,27,40,61,10,251,69,10,13,6,0,101,3954,1209,1038,92,38,6325,170,28,27,0,3,221,367,82,60,18,12,546,13500,1833,1319,264,66,16988
SED30012,3343,121,3,6,0,3469,8557,284,20,6,6,8873,7273,1409,96,5,27,8809,739,89,17,0,0,843,1079,159,20,0,3,1258,50,63,14,0,0,127,265,38,7,0,0,314,78,15,0,0,0,97,9486,1771,157,7,30,11443,63,11,0,0,0,71,478,86,9,3,10,585,21926,2268,181,25,54,24446
SED30013,5421,35,97,264,31,5843,5021,38,57,29,25,5167,1923,268,603,7,8,2806,336,65,77,0,0,482,979,48,108,20,8,1166,62,40,74,0,0,172,373,41,25,42,4,484,143,10,24,6,6,192,3819,474,908,68,31,5296,102,3,7,3,0,116,396,30,42,29,43,542,14757,585,1101,398,120,16967
SED30014,3694,1069,906,51,8,5735,4307,1380,775,5,13,6472,1340,1189,1673,5,14,4224,139,170,277,0,3,587,550,458,604,6,12,1621,4,13,21,0,0,38,49,27,56,3,4,132,43,28,31,0,0,107,2129,1877,2665,16,35,6714,57,30,18,0,3,108,255,151,163,3,3,575,10433,4496,4523,80,64,19598
SED30015,6843,154,120,270,30,7419,5702,25,83,35,26,5867,1984,78,205,3,12,2285,76,5,24,0,0,109,1017,28,59,15,7,1126,6,32,3,0,0,36,193,13,11,49,3,277,126,8,8,5,3,157,3404,169,305,76,34,3984,121,92,0,9,5,228,437,46,14,32,13,543,16498,500,523,421,108,18044
SED30016,3667,357,746,100,21,4895,4363,368,817,11,15,5582,1703,1233,3505,18,28,6488,516,343,525,0,4,1391,944,416,697,24,11,2093,38,71,48,0,0,157,131,71,129,37,23,388,54,30,43,6,3,132,3384,2165,4942,85,72,10653,60,132,26,7,8,229,343,135,296,40,88,910,11821,3160,6829,252,209,22270
SED30017,6338,15,16,195,36,6597,4473,6,11,62,24,4581,1283,54,126,3,10,1479,499,31,92,4,3,623,1367,8,36,37,11,1464,64,18,40,0,3,124,574,13,67,75,10,735,258,5,9,14,4,292,4050,130,368,131,37,4717,132,3,0,11,0,147,494,8,47,52,16,615,15487,167,445,452,117,16665
SED30018,4777,742,914,224,70,6714,5158,300,378,20,18,5874,2224,621,1048,6,8,3902,115,154,237,0,0,511,826,182,303,16,24,1345,9,13,42,0,0,66,58,10,30,52,3,150,49,15,14,0,0,79,3288,993,1672,78,39,6065,57,51,23,3,7,137,258,61,102,15,20,456,13530,2142,3083,337,145,19238
SED30019,4294,410,18,163,3,4884,6868,465,8,5,5,7355,1589,597,43,3,11,2243,297,331,62,3,0,695,721,157,14,4,3,900,19,58,0,0,0,80,27,21,0,30,0,76,31,16,0,0,0,48,2686,1172,127,41,13,4039,38,37,0,0,3,76,267,56,6,16,4,353,14154,2136,159,221,31,16699
SED30020,5125,401,113,15,9,5661,6105,734,151,8,9,7012,1630,1146,275,5,15,3065,299,151,53,0,3,507,491,262,43,0,3,792,13,14,6,0,0,30,27,24,3,3,0,55,50,12,4,0,0,66,2521,1600,378,8,14,4522,54,6,32,0,0,94,263,41,22,0,3,323,14064,2789,693,36,34,17616
SED30021,3512,258,1069,15,11,4858,4102,374,1535,14,22,6048,1375,630,4738,9,29,6777,35,110,405,0,0,552,560,137,935,7,15,1650,25,11,86,3,0,127,30,6,74,3,0,116,38,9,37,0,0,87,2061,909,6273,26,48,9316,43,7,50,0,0,102,178,47,243,0,12,488,9892,1596,9177,48,92,20813
SED30022,5202,597,419,92,20,6327,5979,284,200,4,27,6494,1880,634,361,8,10,2900,129,186,256,0,0,577,669,192,110,6,18,992,41,22,33,3,0,97,33,17,15,14,0,80,43,16,13,0,3,72,2798,1063,781,30,34,4715,84,181,39,4,4,313,252,77,53,8,42,436,14310,2205,1496,137,127,18274
SED30023,5886,41,24,47,11,6018,7180,51,22,24,22,7294,2400,228,248,10,15,2898,142,35,29,0,0,209,1214,35,26,4,6,1297,28,51,12,0,0,90,321,12,8,14,14,371,135,8,3,3,3,146,4238,364,333,38,47,5015,82,37,7,5,0,135,394,21,20,9,0,439,17786,514,413,117,78,18910
SED30024,3599,102,82,265,33,4094,2936,145,65,45,25,3216,986,370,356,14,13,1735,2674,222,210,4,0,3107,930,63,83,41,19,1140,352,56,57,6,0,466,753,215,111,78,16,1170,208,23,12,25,4,267,5905,946,826,159,55,7884,106,0,0,11,3,128,504,47,50,88,25,717,13057,1237,1030,573,144,16041
SED30025,5002,568,196,138,12,5918,7062,616,185,18,19,7903,5259,1937,652,4,24,7876,349,108,8,0,4,468,865,371,95,9,7,1340,25,30,10,0,0,61,161,55,10,13,5,243,64,24,3,0,4,100,6726,2523,773,23,47,10097,110,36,52,0,0,203,453,94,36,14,8,595,19352,3836,1245,189,86,24707
SED30026,3870,937,1101,62,7,5977,4600,802,672,6,8,6088,867,789,1625,9,25,3313,117,144,179,0,0,437,552,331,496,7,10,1400,6,9,11,0,0,28,34,45,57,0,3,136,41,18,34,3,3,100,1617,1343,2395,20,40,5406,43,29,27,3,0,108,242,98,145,9,8,501,10373,3202,4334,100,66,18080
SED30027,5704,70,67,192,31,6063,4018,18,27,31,20,4114,1863,132,239,9,5,2252,216,73,127,0,0,408,1256,66,95,18,10,1437,71,21,32,0,0,125,1154,187,94,70,11,1512,209,11,15,19,0,253,4764,482,606,113,31,5995,143,5,0,12,0,169,448,22,36,28,17,553,15079,599,736,378,98,16885
SED30028,4328,312,197,0,4,4847,6475,302,142,0,6,6926,1444,481,495,0,6,2430,112,69,189,0,0,369,551,121,104,0,5,781,7,9,75,0,0,93,216,64,40,0,3,323,32,3,5,0,0,37,2362,749,911,0,18,4041,41,55,115,0,0,216,176,52,51,0,7,281,13386,1471,1419,3,30,16307
SED30029,4762,189,87,0,5,5046,6843,132,100,6,10,7097,1191,119,98,3,4,1408,307,8,25,0,0,338,463,41,26,0,3,532,4,3,0,0,0,10,295,23,4,0,0,325,27,3,0,0,0,38,2296,193,151,3,9,2648,58,140,11,0,0,206,191,51,7,0,4,254,14150,715,356,7,30,15252
SED30030,3502,565,97,87,7,4259,7780,772,146,9,10,8715,2067,1397,211,0,4,3681,280,154,89,0,0,517,705,429,77,0,3,1219,19,38,47,0,0,105,83,62,7,48,0,195,35,25,5,0,0,73,3187,2103,439,54,11,5798,61,166,37,0,0,260,320,123,44,9,8,501,14849,3729,757,155,35,19524
SED30031,3911,45,75,177,6,4212,7139,96,83,20,12,7344,3396,586,751,3,12,4746,410,113,169,5,0,690,931,45,58,5,4,1044,50,43,19,0,0,112,239,23,34,42,10,344,78,8,12,0,0,107,5100,818,1052,51,20,7042,57,0,17,4,0,81,293,22,56,18,3,384,16501,980,1281,267,35,19067
SED30032,6315,75,26,87,26,6530,7187,39,14,25,31,7292,2011,450,16,5,11,2496,68,40,4,0,0,110,1108,18,22,30,17,1185,22,16,0,0,0,43,137,3,0,41,6,183,129,0,0,11,0,139,3471,527,41,83,36,4162,100,38,7,4,0,151,367,23,6,14,18,430,17439,695,94,213,111,18560
SED30033,3555,140,542,10,3,4259,4973,365,676,43,19,6076,1730,619,2011,29,27,4412,478,126,446,0,3,1059,603,126,405,7,0,1138,18,12,41,0,0,71,22,10,33,0,0,64,42,3,21,0,0,71,2894,901,2959,30,33,6820,50,3,82,0,0,130,209,27,114,3,10,365,11690,1435,4375,84,72,17659
SED30034,3168,7,23,221,123,3539,3466,40,40,37,66,3646,1544,204,280,3,25,2049,497,51,93,3,15,663,910,33,60,16,28,1048,60,27,18,0,7,110,1496,44,137,31,60,1771,247,0,12,10,14,283,4745,365,602,66,149,5923,189,0,5,29,7,235,361,20,36,28,23,466,11928,430,705,389,367,13817
SED30035,6746,87,39,270,26,7169,5722,45,13,52,12,5843,2199,330,145,29,10,2711,151,124,32,0,3,300,1296,110,73,25,18,1519,22,29,30,0,0,80,132,21,25,39,7,225,87,10,8,11,0,119,3880,618,309,105,39,4946,75,16,18,3,0,117,424,41,17,26,12,516,16853,797,397,457,91,18589
