SED_CODE_2016,Median_age_persons,Median_mortgage_repay_monthly,Median_tot_prsnl_inc_weekly,Median_rent_weekly,Median_tot_fam_inc_weekly,Average_num_psns_per_bedroom,Median_tot_hhd_inc_weekly,Average_household_size
SED22607,36,2167,817,341,2279,0.9,1714,2.4
SED22704,46,1300,553,215,1356,0.8,1073,2.4
SED22802,38,1733,675,347,1791,0.8,1573,2.8
SED22901,40,1733,640,360,1780,0.8,1502,2.7
SED23007,33,1741,573,315,1522,1,1338,2.6
SED23101,42,2000,590,390,1806,0.8,1508,2.7
SED23205,40,1540,608,295,1512,0.8,1182,2.4
SED23308,39,1500,634,280,1659,0.8,1200,2.3
SED23402,36,1733,708,330,1843,0.8,1609,2.8
SED23502,49,1280,519,220,1230,0.7,972,2.3
SED23602,45,1300,547,220,1366,0.7,1062,2.3
SED23702,39,1647,664,300,1680,0.8,1418,2.7
SED23806,35,2400,947,395,2752,1,2033,2.4
SED23901,39,2000,741,346,2106,0.9,1673,2.5
SED24006,41,2500,807,450,2514,0.9,2106,2.8
SED24105,36,1770,526,323,1447,0.9,1366,3
SED24207,33,1733,576,330,1531,0.9,1478,3.2
SED24308,38,1400,517,250,1359,0.8,1095,2.5
SED24408,46,1036,567,170,1332,0.7,1015,2.3
SED24504,44,1733,669,300,1806,0.8,1476,2.6
SED24606,38,2500,983,390,2843,0.9,2085,2.4
SED24703,27,2000,577,430,1984,1.1,1244,2
SED24808,34,1517,613,277,1517,0.8,1336,2.8
SED24904,41,1174,547,200,1322,0.8,1046,2.4
SED25003,35,1733,626,331,1676,0.9,1549,3
SED25102,40,1733,711,336,1946,0.8,1701,2.8
SED25205,40,2000,752,351,2088,0.9,1642,2.5
SED25302,45,2000,689,360,1943,0.8,1535,2.6
SED25402,40,1257,561,200,1459,0.8,1136,2.4
SED25501,40,2000,602,425,1863,0.8,1603,2.8
SED25605,39,1733,560,336,1569,0.9,1404,2.8
SED25704,45,1200,559,190,1328,0.8,1055,2.4
SED25802,43,1408,570,235,1451,0.8,1160,2.5
SED25905,36,1600,586,330,1600,0.9,1483,3
SED26005,33,1733,635,350,1699,0.9,1661,3.3
SED26102,51,1647,581,300,1399,0.7,1100,2.2
SED26207,42,2000,654,358,1868,0.8,1533,2.6
SED26303,36,2000,824,361,2257,1,1721,2.4
SED26406,32,2000,600,360,1933,1,1461,2.5
SED26504,46,1300,566,210,1339,0.7,1050,2.3
SED26603,35,1907,652,350,1781,0.9,1479,2.6
SED26708,44,1300,593,200,1435,0.8,1157,2.4
SED26806,33,2000,1083,400,2455,1,1787,1.9
SED26903,36,1750,566,320,1487,0.9,1239,2.5
SED27003,33,2200,1056,420,2492,1,1963,2.1
SED27101,38,1900,697,346,1902,0.9,1523,2.5
SED27208,47,1083,494,190,1216,0.7,927,2.3
SED27305,38,1860,694,381,2021,0.8,1863,3
SED27406,43,2200,856,390,2464,0.9,1868,2.5
SED27504,40,1300,581,215,1400,0.8,1141,2.5
SED27608,37,1733,683,350,1888,0.8,1593,2.7
SED27708,42,1330,603,230,1476,0.8,1173,2.4
SED27807,35,1500,449,290,1190,1,1095,2.9
SED27907,38,1603,668,320,1743,0.8,1477,2.7
SED28007,34,1777,657,340,1832,0.9,1744,3.2
SED28107,31,1733,684,323,1674,0.9,1642,3.2
SED28203,35,1733,472,320,1292,0.9,1200,2.9
SED28301,42,2100,660,410,2063,0.8,1826,2.9
SED28408,39,1340,596,250,1505,0.8,1154,2.3
SED28507,34,1517,616,288,1521,0.9,1365,2.8
SED28607,37,2167,834,369,2304,0.9,1845,2.5
SED28704,33,1900,753,341,1918,0.8,1765,3
SED28803,31,1755,593,340,1601,1,1577,3.4
SED29494,34,0,398,0,0,0,0,0
SED29797,49,0,3000,0,0,0,0,0
SED30001,33,1987,726,410,1806,0.8,1724,3
SED30002,34,1800,706,370,1801,0.8,1672,3
SED30003,36,2167,921,400,2502,0.8,2103,2.7
SED30004,40,2000,767,395,2115,0.8,1827,2.7
SED30005,39,1733,750,335,1802,0.8,1515,2.5
SED30006,41,1760,616,320,1544,0.8,1373,2.7
SED30007,32,2100,898,430,2322,1,1756,2
SED30008,46,1733,605,355,1417,0.8,1124,2.2
SED30009,42,1950,665,410,1701,0.8,1449,2.6
SED30010,34,2200,992,429,2541,0.8,2125,2.5
SED30011,42,1300,492,255,1168,0.8,923,2.3
SED30012,30,1700,700,340,1615,0.8,1514,3
SED30013,39,1517,666,250,1547,0.8,1252,2.4
SED30014,39,1900,692,390,1695,0.8,1373,2.4
SED30015,47,1491,493,280,1218,0.8,1046,2.4
SED30016,37,1517,644,266,1419,0.9,1141,2.3
SED30017,43,1200,501,175,1259,0.8,1022,2.4
SED30018,44,1800,589,350,1426,0.8,1207,2.4
SED30019,38,1863,711,370,1795,0.8,1561,2.7
SED30020,37,2167,847,425,2272,0.8,2025,2.8
SED30021,36,2167,947,360,2409,0.9,1808,2.3
SED30022,44,2000,706,400,1914,0.8,1570,2.6
SED30023,37,1564,658,255,1626,0.8,1406,2.7
SED30024,35,1517,555,150,1302,1,1160,2.7
SED30025,35,1950,675,395,1636,0.8,1472,2.8
SED30026,43,1920,639,367,1609,0.8,1307,2.4
SED30027,40,1387,576,200,1427,0.8,1153,2.5
SED30028,37,2000,822,385,2173,0.8,1881,2.7
SED30029,39,2000,796,380,2192,0.8,2007,2.9
SED30030,36,1907,666,395,1665,0.8,1502,2.8
SED30031,34,2000,721,250,2023,0.8,1703,2.6
SED30032,42,1733,582,320,1459,0.8,1315,2.7
SED30033,35,2167,881,370,2316,0.9,1869,2.5
SED30034,34,1647,764,150,1924,0.8,1564,2.6
SED30035,46,1300,489,255,1163,0.8,967,2.4
SED30036,48,1473,475,290,1093,0.7,911,2.3
SED30037,39,1700,657,275,1535,0.8,1307,2.5
SED30038,33,1600,535,310,1377,0.9,1287,2.9
SED30039,29,2167,648,420,2424,0.9,1817,2.6
SED30040,35,1500,629,280,1502,0.8,1278,2.6
SED30041,36,1550,616,289,1484,0.8,1299,2.7
SED30042,35,1733,701,345,1651,0.8,1467,2.7
SED30043,40,1950,605,415,1521,0.8,1302,2.6
SED30044,39,1733,654,300,1657,0.8,1365,2.6
SED30045,38,1733,592,285,1542,0.8,1370,2.8
SED30046,36,1785,653,365,1652,0.8,1590,3.1
SED30047,40,2000,743,390,1950,0.8,1562,2.6
SED30048,39,1733,659,250,1596,0.8,1244,2.4
SED30049,36,2000,676,400,1957,0.8,1688,2.8
SED30050,44,1733,656,350,1468,0.8,1217,2.2
SED30051,48,1300,458,240,1080,0.8,899,2.4
SED30052,39,1950,687,420,1723,0.8,1449,2.5
SED30053,38,1820,693,200,1799,0.8,1542,2.6
SED30054,40,2167,851,440,2446,0.8,2244,3
SED30055,34,1733,623,330,1560,0.8,1435,2.9
SED30056,31,2300,923,420,2611,0.9,1976,2.4
SED30057,32,1733,810,180,2021,0.9,1739,2.6
SED30058,38,2000,798,400,2177,0.8,1944,2.8
SED30059,40,1980,685,420,1743,0.8,1560,2.8
SED30060,35,1560,618,270,1449,0.8,1290,2.8
SED30061,35,1603,607,300,1660,0.8,1385,2.6
SED30062,34,1889,676,360,1653,0.8,1476,2.8
SED30063,44,1300,495,230,1221,0.8,1006,2.5
SED30064,42,1700,580,330,1415,0.8,1203,2.6
SED30065,47,1800,617,400,1468,0.8,1258,2.5
SED30066,35,1950,770,365,1892,0.8,1582,2.5
SED30067,35,1820,721,350,1825,0.8,1639,2.8
SED30068,48,1560,493,300,1179,0.8,961,2.3
SED30069,46,1690,604,310,1468,0.8,1129,2.3
SED30070,42,2000,640,395,1754,0.8,1457,2.7
SED30071,35,1517,604,270,1485,0.8,1199,2.4
SED30072,39,1800,713,365,1857,0.8,1532,2.6
SED30073,32,2000,806,400,2169,1,1674,2.2
SED30074,44,1300,536,220,1260,0.8,1029,2.4
SED30075,37,1733,563,365,1422,0.9,1177,2.4
SED30076,37,1842,752,370,1920,0.8,1745,2.8
SED30077,35,2100,855,360,2174,0.8,1703,2.4
SED30078,33,1872,603,400,1658,0.8,1631,3.1
SED30079,33,1733,505,370,1420,0.9,1332,2.9
SED30080,41,1907,679,380,1627,0.9,1303,2.2
SED30081,33,1733,684,300,1631,0.8,1467,2.8
SED30082,39,1517,651,275,1538,0.8,1220,2.4
SED30083,38,1517,653,295,1546,0.7,1232,2.4
SED30084,37,1727,712,265,1691,0.8,1273,2.2
SED30085,39,1260,647,180,1480,0.8,1198,2.4
SED30086,33,1603,606,330,1419,0.8,1269,2.7
SED30087,36,2000,743,300,1817,0.8,1523,2.6
SED30088,30,1517,524,310,1268,0.9,1176,3
SED30089,34,2000,774,360,2157,0.9,1708,2.5
SED39494,45,0,407,0,0,0,0,0
SED39797,56,0,606,0,0,0,0,0
SED40001,34,1900,656,350,2123,0.9,1416,2.1
SED40002,37,1733,674,280,1805,0.9,1318,2.3
SED40003,44,2077,840,325,2456,0.8,1917,2.6
SED40004,45,1733,714,325,1880,0.8,1464,2.4
SED40005,45,1040,542,170,1268,0.8,997,2.3
SED40006,38,1600,571,270,1464,0.8,1125,2.4
SED40007,44,1800,652,300,1794,0.8,1335,2.4
SED40008,38,1603,548,280,1475,0.9,1172,2.4
SED40009,41,1733,709,330,2005,0.8,1703,2.7
SED40010,39,1820,709,300,1974,0.8,1361,2.2
SED40011,38,1625,565,270,1472,0.8,1091,2.2
SED40012,35,1600,511,265,1379,0.9,1123,2.5
SED40013,52,1300,506,250,1156,0.7,923,2.2
SED40014,41,1517,662,320,1689,0.8,1416,2.6
SED40015,43,1300,616,190,1402,0.8,1112,2.3
SED40016,41,1465,573,298,1436,0.8,1188,2.4
SED40017,46,1050,511,180,1278,0.7,970,2.3
SED40018,38,1213,552,162,1470,0.8,1116,2.3
SED40019,50,1115,493,200,1186,0.7,930,2.2
SED40020,46,1127,496,220,1143,0.7,904,2.3
SED40021,41,1733,580,290,1581,0.8,1164,2.4
SED40022,44,1733,706,300,1861,0.8,1547,2.6
SED40023,37,1517,592,300,1399,0.8,1165,2.5
SED40024,40,1558,665,300,1685,0.8,1390,2.6
SED40025,45,1625,655,286,1679,0.8,1245,2.2
SED40026,36,1500,622,275,1534,0.8,1271,2.6
SED40027,38,1300,481,220,1190,0.8,946,2.4
SED40028,44,1000,602,160,1362,0.7,1091,2.3
SED40029,41,1400,572,270,1410,0.8,1170,2.5
SED40030,37,1517,641,320,1558,0.8,1300,2.5
SED40031,43,1699,655,320,1802,0.8,1495,2.6
SED40032,44,1779,748,300,1983,0.8,1366,2.2
SED40033,41,1200,606,190,1440,0.8,1119,2.4
SED40034,32,1286,508,250,1232,0.8,1040,2.6
SED40035,41,1517,668,300,1680,0.8,1417,2.5
SED40036,39,1387,527,280,1333,0.8,1121,2.5
SED40037,36,1600,603,300,1487,0.8,1258,2.5
SED40038,36,1300,464,245,1155,0.8,968,2.6
SED40039,40,1300,506,270,1181,0.7,954,2.3
SED40040,44,1400,618,240,1525,0.8,1225,2.4
SED40041,45,1069,551,165,1282,0.8,998,2.3
SED40042,32,1387,574,280,1346,0.9,1232,2.9
SED40043,36,1650,611,295,1552,0.8,1268,2.5
SED40044,42,2000,796,329,2307,0.8,1638,2.3
SED40045,43,1950,726,300,2117,0.8,1612,2.5
SED40046,37,1668,598,280,1555,0.9,1197,2.3
SED40047,40,1500,659,285,1683,0.8,1374,2.6
SED49494,40,0,370,0,0,0,0,0
SED49797,45,0,1749,0,0,0,0,0
SED50106,43,1600,611,280,1508,0.8,1209,2.4
SED50205,42,2500,872,430,2547,0.7,1997,2.5
SED50302,34,1625,596,310,1410,0.8,1218,2.6
SED50404,37,1973,762,350,1904,0.8,1456,2.3
SED50502,38,1733,638,350,1647,0.8,1389,2.6
SED50605,41,2167,659,420,2122,0.8,1743,2.7
SED50702,34,1950,726,350,1735,0.8,1443,2.4
SED50806,42,1603,633,300,1532,0.7,1214,2.3
SED50904,31,2045,725,360,1799,0.8,1619,2.8
SED51005,32,1800,588,350,1492,0.8,1353,2.7
SED51104,41,2167,852,425,2421,0.7,2128,2.7
SED51201,44,1200,613,165,1468,0.7,1152,2.4
SED51304,39,2500,898,350,2753,0.8,2095,2.6
SED51405,34,2167,792,400,2076,0.8,1849,2.8
SED51506,37,1800,653,310,1789,0.8,1530,2.7
SED51604,42,2817,1012,425,3223,0.8,2206,2.4
SED51702,33,2167,823,400,2072,0.8,1965,2.9
SED51806,46,1911,570,345,1491,0.7,1224,2.4
SED51903,35,1733,837,250,2144,0.8,1797,2.6
SED52002,35,1950,722,365,1782,0.8,1547,2.7
SED52105,41,2167,813,360,2246,0.8,1638,2.3
SED52201,38,1733,662,270,1681,0.8,1355,2.5
SED52304,34,2000,654,375,1824,0.8,1665,3
SED52402,36,1733,599,330,1496,0.8,1319,2.7
SED52504,42,2167,821,430,2363,0.7,2057,2.7
SED52605,35,2050,789,420,2216,0.8,2038,2.9
SED52704,36,1950,739,390,1997,0.7,1696,2.6
SED52802,41,1950,656,340,1860,0.8,1569,2.7
SED52903,33,794,875,55,988,1,1337,3.1
SED53003,32,2383,748,180,1759,1,1592,2.8
SED53104,41,2000,752,420,2161,0.7,1877,2.7
SED53205,32,1909,700,345,1737,0.8,1540,2.8
SED53306,41,1777,535,300,1379,0.7,1094,2.4
SED53402,36,2000,825,330,2120,0.8,1600,2.3
SED53502,39,1798,673,330,1704,0.8,1376,2.5
SED53602,33,1733,550,340,1403,0.8,1265,2.8
SED53701,46,1700,616,200,1482,0.7,1213,2.4
SED53802,37,1950,663,370,1688,0.8,1454,2.5
SED53902,39,2000,780,350,2073,0.8,1522,2.3
SED54006,40,1842,612,300,1669,0.7,1421,2.6
SED54104,37,2700,894,425,2955,0.9,2094,2.4
SED54203,37,1733,1455,89,2101,0.9,1790,2.5
SED54304,39,2205,809,450,2393,0.8,2231,3
SED54404,33,2167,992,420,2439,0.9,1934,2.1
SED54503,32,2600,1462,189,2907,0.9,2547,2.8
SED54605,40,2000,642,400,1941,0.8,1713,2.9
SED54705,44,1707,583,300,1490,0.7,1159,2.3
SED54804,35,2226,985,400,2407,0.8,1892,2.3
SED54905,37,2200,834,380,2381,0.8,1781,2.3
SED55005,33,2080,742,430,2082,0.8,2026,3.2
SED55102,38,2167,761,400,2054,0.8,1880,2.8
SED55206,42,1883,657,350,1590,0.7,1313,2.5
SED55305,33,2000,702,350,1924,0.8,1489,2.3
SED55401,43,1083,656,163,1462,0.7,1189,2.4
SED55504,34,2167,762,400,2053,0.8,1851,2.9
SED55605,32,2000,742,370,1985,0.8,1832,3
SED55706,45,1517,591,250,1384,0.8,1120,2.4
SED55802,31,2080,739,380,1854,0.8,1753,3
SED55905,40,2000,656,330,1807,0.8,1388,2.4
SED59494,41,0,434,0,0,0,0,0
SED59797,40,0,2654,0,0,0,0,0
SED60101,47,1083,500,150,1200,0.8,917,2.3
SED60106,42,1319,632,250,1526,0.8,1165,2.3
SED60112,40,1352,645,250,1591,0.8,1242,2.4
SED60115,38,1083,472,200,1147,0.8,879,2.3
SED60207,43,1221,523,220,1250,0.8,979,2.3
SED60208,44,1127,518,205,1260,0.8,974,2.3
SED60209,44,1083,528,180,1316,0.8,990,2.3
SED60214,45,1398,590,160,1359,0.9,1375,2.7
SED60302,37,1300,623,250,1415,0.8,1173,2.5
SED60303,40,1300,543,246,1284,0.8,980,2.3
SED60304,39,1573,736,280,1981,0.8,1410,2.2
SED60305,44,1517,725,205,1625,0.9,1366,2.6
SED60310,40,1733,697,300,2091,0.8,1534,2.5
SED60402,39,1517,746,315,1797,0.8,1589,2.6
SED60405,44,1400,593,265,1448,0.8,1196,2.5
SED60410,39,1517,623,295,1593,0.8,1200,2.4
SED60411,44,1430,657,275,1606,0.8,1246,2.3
SED60413,39,1473,700,250,1699,0.8,1419,2.6
SED60501,50,1083,480,185,1105,0.8,861,2.2
SED60502,38,1192,507,210,1207,0.8,985,2.5
SED60512,50,1200,489,215,1184,0.8,976,2.3
SED60513,44,1300,564,250,1340,0.8,1075,2.4
SED60514,46,1212,523,200,1282,0.8,1027,2.4
SED69494,38,0,385,0,0,0,0,0
SED69797,41,0,1089,0,0,0,0,0
SED70001,28,1322,244,50,637,1.7,1047,4.5
SED70002,34,1950,1050,360,2342,0.9,2052,2.6
SED70003,27,2415,350,60,920,1.6,1648,4
SED70004,29,1200,415,75,995,1.3,1281,3.3
SED70005,29,2383,1034,420,2387,0.9,2216,2.9
SED70006,35,1907,1003,350,2205,0.9,1876,2.6
SED70007,30,2167,1110,470,2447,0.9,2309,2.9
SED70008,33,2200,961,380,2411,0.9,2285,3
SED70009,33,1863,465,70,1169,1.2,1253,3
SED70010,32,2000,872,350,1955,1,1672,2.7
SED70011,36,2167,1102,400,2544,0.9,2123,2.3
SED70012,33,2383,1211,480,2627,0.9,2403,2.5
SED70013,38,2383,973,375,2332,1.1,2137,2.8
SED70014,36,2167,902,380,2096,0.9,1985,2.8
SED70015,33,1995,833,350,2067,1,1795,2.9
SED70016,33,1733,920,249,2074,1,1815,2.8
SED70017,31,2383,469,90,1065,1.3,1243,2.9
SED70018,36,2600,1182,400,2480,1.1,2337,2.9
SED70019,27,1733,288,40,1012,1.4,1848,4
SED70020,35,2167,1053,385,2341,1,2005,2.4
SED70021,33,2167,1210,500,2698,1,2323,2.2
SED70022,36,2167,968,450,2271,1,2120,2.9
SED70023,30,2600,1145,470,2539,0.9,2365,2.8
SED70024,27,445,279,50,715,1.5,1141,4.1
SED70025,33,2500,1058,420,2514,0.9,2380,3
SED79494,44,0,449,0,0,0,0,0
SED79797,36,0,700,0,0,0,0,0
SED80001,37,2000,964,380,2356,0.8,2075,2.7
SED80002,34,2000,921,360,2266,0.8,1876,2.5
SED80003,34,2167,1068,400,2816,0.9,2098,2.2
SED80004,39,2102,1032,360,2490,0.8,2050,2.5
SED80005,32,2123,1022,395,2436,0.9,2216,2.9
SED89494,36,0,447,0,0,0,0,0
SED89797,0,0,0,0,0,0,0,0
SED99191,42,1400,715,140,1568,0.9,1377,2.6
SED99494,42,0,412,0,0,0,0,0
SED99797,39,0,1833,0,0,0,0,0
