SED_CODE_2016,F_Mauritius_0_4,F_Mauritius_5_14,F_Mauritius_15_24,F_Mauritius_25_44,F_Mauritius_45_54,F_Mauritius_55_64,F_Mauritius_65_74,F_Mauritius_75_84,F_Mauritius_85ov,F_Mauritius_Tot,F_Myanmar_0_4,F_Myanmar_5_14,F_Myanmar_15_24,F_Myanmar_25_44,F_Myanmar_45_54,F_Myanmar_55_64,F_Myanmar_65_74,F_Myanmar_75_84,F_Myanmar_85ov,F_Myanmar_Tot,F_Nepal_0_4,F_Nepal_5_14,F_Nepal_15_24,F_Nepal_25_44,F_Nepal_45_54,F_Nepal_55_64,F_Nepal_65_74,F_Nepal_75_84,F_Nepal_85ov,F_Nepal_Tot,F_Netherlands_0_4,F_Netherlands_5_14,F_Netherlands_15_24,F_Netherlands_25_44,F_Netherlands_45_54,F_Netherlands_55_64,F_Netherlands_65_74,F_Netherlands_75_84,F_Netherlands_85ov,F_Netherlands_Tot,F_New_Zealand_0_4,F_New_Zealand_5_14,F_New_Zealand_15_24,F_New_Zealand_25_44,F_New_Zealand_45_54,F_New_Zealand_55_64,F_New_Zealand_65_74,F_New_Zealand_75_84,F_New_Zealand_85ov,F_New_Zealand_Tot,F_Nthern_Ireland_0_4,F_Nthern_Ireland_5_14,F_Nthern_Ireland_15_24,F_Nthern_Ireland_25_44,F_Nthern_Ireland_45_54,F_Nthern_Ireland_55_64,F_Nthern_Ireland_65_74,F_Nthern_Ireland_75_84,F_Nthern_Ireland_85ov,F_Nthern_Ireland_Tot,F_Pakistan_0_4,F_Pakistan_5_14,F_Pakistan_15_24,F_Pakistan_25_44,F_Pakistan_45_54,F_Pakistan_55_64,F_Pakistan_65_74,F_Pakistan_75_84,F_Pakistan_85ov,F_Pakistan_Tot,F_PNG_0_4,F_PNG_5_14,F_PNG_15_24,F_PNG_25_44,F_PNG_45_54,F_PNG_55_64,F_PNG_65_74,F_PNG_75_84,F_PNG_85ov,F_PNG_Tot,F_Philippines_0_4,F_Philippines_5_14,F_Philippines_15_24,F_Philippines_25_44,F_Philippines_45_54,F_Philippines_55_64,F_Philippines_65_74,F_Philippines_75_84,F_Philippines_85ov,F_Philippines_Tot,F_Poland_0_4,F_Poland_5_14,F_Poland_15_24,F_Poland_25_44,F_Poland_45_54,F_Poland_55_64,F_Poland_65_74,F_Poland_75_84,F_Poland_85ov,F_Poland_Tot,F_Scotland_0_4,F_Scotland_5_14,F_Scotland_15_24,F_Scotland_25_44,F_Scotland_45_54,F_Scotland_55_64,F_Scotland_65_74,F_Scotland_75_84,F_Scotland_85ov,F_Scotland_Tot,F_Singapore_0_4,F_Singapore_5_14,F_Singapore_15_24,F_Singapore_25_44,F_Singapore_45_54,F_Singapore_55_64,F_Singapore_65_74,F_Singapore_75_84,F_Singapore_85ov,F_Singapore_Tot,F_South_Africa_0_4,F_South_Africa_5_14,F_South_Africa_15_24,F_South_Africa_25_44,F_South_Africa_45_54,F_South_Africa_55_64,F_South_Africa_65_74,F_South_Africa_75_84,F_South_Africa_85ov,F_South_Africa_Tot,F_SE_Europe_nfd_0_4,F_SE_Europe_nfd_5_14,F_SE_Europe_nfd_15_24,F_SE_Europe_nfd_25_44,F_SE_Europe_nfd_45_54,F_SE_Europe_nfd_55_64,F_SE_Europe_nfd_65_74,F_SE_Europe_nfd_75_84,F_SE_Europe_nfd_85ov,F_SE_Europe_nfd_Tot,F_Sri_Lanka_0_4,F_Sri_Lanka_5_14,F_Sri_Lanka_15_24,F_Sri_Lanka_25_44,F_Sri_Lanka_45_54,F_Sri_Lanka_55_64,F_Sri_Lanka_65_74,F_Sri_Lanka_75_84,F_Sri_Lanka_85ov,F_Sri_Lanka_Tot,F_Taiwan_0_4,F_Taiwan_5_14,F_Taiwan_15_24,F_Taiwan_25_44,F_Taiwan_45_54,F_Taiwan_55_64,F_Taiwan_65_74,F_Taiwan_75_84,F_Taiwan_85ov,F_Taiwan_Tot,F_Thailand_0_4,F_Thailand_5_14,F_Thailand_15_24,F_Thailand_25_44,F_Thailand_45_54,F_Thailand_55_64,F_Thailand_65_74,F_Thailand_75_84,F_Thailand_85ov,F_Thailand_Tot,F_FYROM_0_4,F_FYROM_5_14,F_FYROM_15_24,F_FYROM_25_44,F_FYROM_45_54,F_FYROM_55_64,F_FYROM_65_74,F_FYROM_75_84,F_FYROM_85ov,F_FYROM_Tot,F_Turkey_0_4,F_Turkey_5_14,F_Turkey_15_24,F_Turkey_25_44,F_Turkey_45_54,F_Turkey_55_64,F_Turkey_65_74,F_Turkey_75_84,F_Turkey_85ov,F_Turkey_Tot,F_USA_0_4,F_USA_5_14,F_USA_15_24,F_USA_25_44,F_USA_45_54,F_USA_55_64,F_USA_65_74,F_USA_75_84,F_USA_85ov,F_USA_Tot
SED10011,0,0,0,3,5,6,3,0,3,19,0,0,0,0,0,3,0,6,0,9,0,0,0,3,0,0,0,0,0,9,0,0,0,18,17,36,51,25,20,171,0,18,27,131,142,141,96,29,13,588,0,0,0,5,15,15,21,6,4,61,0,0,0,3,0,0,0,0,0,10,0,0,0,9,14,14,3,3,0,40,0,8,17,61,27,41,23,3,0,184,0,0,3,26,13,29,24,10,0,102,0,9,8,26,36,58,67,29,15,244,0,0,11,7,3,3,6,0,0,30,0,7,5,44,31,26,26,11,4,159,0,0,0,4,8,13,6,4,0,33,0,0,3,9,5,4,0,3,0,25,0,3,0,4,6,0,0,0,0,15,0,3,3,46,11,8,3,0,0,81,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,4,0,16,12,49,55,50,45,5,6,234
SED10012,0,3,0,9,3,15,16,6,3,53,0,0,4,8,15,6,0,0,0,41,0,0,0,7,0,0,0,0,0,8,0,0,0,0,3,3,3,5,0,18,25,109,178,215,54,31,13,0,0,630,0,0,0,0,0,4,3,4,0,8,0,13,0,24,7,3,0,0,0,46,0,0,0,3,0,0,0,0,0,4,5,13,44,182,71,115,73,10,11,524,5,0,0,19,8,35,18,17,19,115,0,3,0,4,0,4,11,9,4,34,0,0,0,5,0,7,3,0,0,26,0,3,0,3,3,3,3,0,0,20,0,0,0,40,35,68,45,32,13,237,0,0,0,5,4,15,9,0,0,31,0,0,6,11,9,11,0,0,0,45,5,8,51,272,57,50,22,4,0,471,0,0,3,20,42,54,42,19,3,176,0,4,8,12,25,13,21,4,0,83,0,6,10,9,0,0,0,0,0,30
SED10013,0,0,0,19,12,16,7,3,0,64,0,0,0,0,0,3,0,0,0,7,0,3,0,16,3,6,0,0,0,23,0,0,0,4,9,17,35,13,12,86,3,39,61,199,117,85,28,11,4,549,0,4,0,20,20,10,26,3,0,82,0,10,6,35,16,3,3,0,0,74,0,0,3,6,9,4,0,0,0,23,3,10,24,153,78,63,14,4,3,345,0,0,3,43,9,13,12,8,6,93,0,7,11,42,36,55,48,18,3,218,0,0,4,10,3,8,9,0,0,34,0,9,26,80,40,25,15,0,0,194,0,0,0,12,12,16,11,3,0,51,0,3,5,30,19,7,3,4,0,69,0,0,0,20,4,8,0,0,0,32,3,3,10,69,21,9,0,0,0,117,0,0,0,16,7,11,3,0,0,40,0,0,0,7,8,0,0,0,0,15,3,11,12,32,15,8,3,0,0,84
SED10014,0,0,4,22,28,22,22,5,0,109,0,0,0,10,3,3,0,3,0,21,0,0,5,42,4,3,0,0,0,53,0,0,0,5,0,15,22,11,4,63,14,125,227,407,177,83,44,20,4,1102,0,0,0,3,8,6,13,9,4,50,6,9,22,100,18,11,0,0,0,174,0,0,7,9,7,3,0,0,0,32,4,26,70,371,213,191,84,29,7,995,0,0,3,27,14,36,25,8,4,118,0,0,3,19,33,64,66,37,9,220,0,0,0,6,3,7,3,0,0,23,0,4,22,81,44,53,34,10,3,257,0,0,0,7,11,8,8,4,0,33,5,18,15,75,13,20,12,8,3,165,0,0,0,12,0,3,0,0,0,20,3,4,9,87,34,9,13,0,0,163,0,0,0,15,14,14,13,0,0,45,0,0,0,6,4,0,3,0,0,10,0,6,17,23,10,0,8,0,0,62
SED10015,0,0,4,19,14,13,12,12,6,81,0,0,20,28,24,6,6,4,0,77,7,38,241,682,27,23,0,0,0,1020,0,0,0,11,3,0,9,0,0,23,7,32,76,190,88,77,32,0,3,500,0,0,0,3,0,0,3,0,0,8,9,24,15,119,16,4,3,0,0,185,0,0,3,5,7,0,3,3,3,31,6,32,77,418,176,158,66,16,9,951,0,0,0,36,7,6,9,9,0,60,0,0,0,8,5,17,13,8,6,58,0,3,4,28,11,15,6,7,0,78,0,0,4,30,18,6,5,4,0,70,0,0,0,3,3,4,6,3,0,33,0,5,3,32,6,20,7,0,3,69,0,0,11,50,14,17,3,0,4,98,3,3,30,203,36,40,9,0,0,317,0,0,0,19,23,24,15,18,3,104,0,0,0,29,25,14,8,3,0,87,3,8,7,33,9,3,5,0,0,76
SED10016,0,0,0,0,16,8,10,0,0,37,0,0,0,11,4,5,4,0,0,33,0,0,3,19,5,4,0,0,0,27,0,5,5,3,10,7,33,10,7,80,8,59,81,158,115,98,56,7,3,581,0,0,0,6,3,5,9,4,3,30,0,16,14,82,33,29,12,0,0,192,0,0,0,5,7,6,7,0,0,24,3,16,54,280,209,169,94,15,11,847,0,0,3,33,21,34,14,9,5,120,0,14,4,23,28,25,24,6,6,130,4,24,19,38,28,28,20,3,0,162,13,69,127,248,166,86,31,15,7,767,0,0,0,4,8,0,4,4,0,27,0,17,36,136,141,91,47,27,8,497,0,0,0,67,14,32,12,0,0,131,0,8,17,58,23,12,0,0,0,115,0,0,0,3,0,0,0,0,0,3,0,0,0,25,20,4,0,0,0,56,5,43,30,48,35,21,8,3,0,189
SED10017,0,0,0,3,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,3,0,0,0,9,0,0,0,0,0,12,0,0,0,7,5,19,29,6,7,70,4,13,11,96,60,73,39,4,6,312,0,0,0,5,0,3,0,3,0,12,0,7,0,9,4,4,0,0,0,29,0,0,3,6,3,7,0,0,0,20,3,8,11,75,36,41,14,6,0,203,0,0,0,6,0,0,5,0,3,23,0,3,7,10,21,26,55,22,10,140,0,0,3,3,0,0,0,0,0,10,0,4,10,23,17,10,9,3,0,78,0,0,0,0,0,3,0,5,0,13,0,6,3,12,4,5,0,0,0,31,0,0,0,3,0,0,0,0,0,3,4,6,9,39,17,5,0,0,0,81,0,0,0,6,0,0,3,0,0,12,0,0,0,0,0,0,0,0,0,0,0,7,4,27,10,11,13,0,0,62
SED10018,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,8,3,3,32,9,6,55,4,19,26,108,70,47,40,15,10,328,0,0,0,4,0,4,3,5,3,20,0,3,0,7,3,0,0,0,0,17,0,0,3,11,6,5,0,0,0,23,5,8,15,67,20,39,10,3,0,169,0,0,0,6,3,12,15,6,17,58,0,10,5,23,26,24,29,34,14,160,0,0,0,6,0,3,0,0,0,17,0,12,17,36,26,24,9,3,0,127,0,0,0,0,3,3,4,3,0,23,0,0,0,4,4,3,7,0,0,25,0,0,0,6,4,3,0,0,0,11,0,3,5,51,14,6,0,0,0,81,0,0,0,9,16,34,41,27,13,143,0,0,0,3,3,3,0,0,0,10,0,27,19,39,19,15,8,6,0,121
SED10019,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,3,0,0,0,9,12,24,36,15,9,96,3,13,10,83,66,112,86,21,19,415,0,0,0,3,0,5,3,3,0,14,0,3,0,0,0,0,0,0,0,9,0,0,0,4,14,10,4,3,0,30,0,15,6,87,53,49,21,3,0,234,0,0,0,3,0,0,0,0,0,9,0,0,0,3,18,22,41,18,8,108,0,0,0,4,4,0,3,0,0,6,0,4,3,17,7,17,6,0,0,52,0,0,0,0,0,0,0,3,0,5,0,0,0,8,0,0,0,0,0,18,0,0,0,4,3,0,0,0,0,11,0,5,0,21,16,9,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,10,18,12,16,10,6,0,85
SED10020,0,0,0,0,3,4,0,0,0,4,0,23,34,84,20,12,0,0,0,165,0,0,0,4,0,0,0,0,0,6,0,0,3,5,8,25,35,24,11,116,3,21,31,126,104,115,95,34,16,548,0,0,0,8,5,8,9,6,3,35,3,14,8,4,6,3,0,0,0,33,0,0,3,17,18,16,3,4,0,59,3,15,13,72,55,55,16,7,3,233,0,0,0,13,8,7,8,5,7,37,0,8,3,12,12,24,45,24,14,143,0,0,0,4,0,0,0,0,0,7,0,16,10,50,31,19,17,12,0,161,0,0,0,0,4,0,3,7,0,18,0,0,6,8,3,0,0,0,0,17,0,0,12,51,3,0,0,0,0,72,0,13,16,36,21,9,3,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,10,3,13,6,43,18,14,21,4,3,120
SED10021,0,0,0,12,6,4,0,3,0,24,0,0,0,7,3,3,0,0,3,16,0,0,0,22,0,0,0,0,0,21,3,3,14,49,11,4,8,9,8,117,3,24,47,518,188,159,87,28,8,1065,0,0,9,61,14,5,10,3,0,100,0,3,0,16,4,0,0,0,0,19,0,0,0,15,17,9,3,3,0,50,0,13,23,199,72,53,23,5,0,395,0,0,0,101,18,26,30,12,34,220,3,0,17,138,43,30,28,25,0,286,6,17,33,57,21,23,13,11,6,174,3,15,45,242,124,64,52,45,28,606,0,0,0,10,5,5,6,3,5,39,0,0,3,26,11,9,10,4,3,62,0,3,17,34,20,3,7,0,0,77,5,11,16,120,20,14,11,0,0,206,0,0,0,6,3,0,0,0,0,13,0,0,0,11,9,9,4,4,0,34,21,58,56,304,78,40,13,3,0,581
SED10022,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,3,3,15,37,13,4,81,0,9,13,59,46,55,31,4,4,218,0,0,0,0,0,4,3,4,0,9,0,0,0,3,0,0,0,0,0,6,0,3,5,4,4,6,4,0,0,30,3,16,11,43,25,28,12,0,0,140,0,0,0,0,0,0,3,3,0,10,0,0,0,0,7,16,20,13,0,58,0,0,0,3,3,3,0,0,0,8,0,3,6,14,11,3,4,0,0,46,0,0,0,0,0,0,5,0,0,10,0,0,3,10,3,0,0,3,0,20,0,0,5,38,0,0,0,0,0,45,0,0,0,10,9,3,3,0,0,26,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,7,14,5,11,11,0,0,55
