SED_CODE_2016,OPDs_Separate_house_Dwellings,OPDs_Separate_house_Persons,OPDs_SD_r_t_h_th_1_sty_Dwgs,OPDs_SD_r_t_h_th_1_sty_Psns,OPDs_SD_r_t_h_th_2_m_sty_Dwgs,OPDs_SD_r_t_h_th_2_m_sty_Psns,OPDs_SD_r_t_h_th_Tot_Dwgs,OPDs_SD_r_t_h_th_Tot_Psns,OPDs_F_ap_I_1or2_sty_blk_Ds,OPDs_F_ap_I_1or2_sty_blk_Ps,OPDs_F_ap_I_3_sty_blk_Dwgs,OPDs_F_ap_I_3_sty_blk_Psns,OPDs_F_ap_I_4_m_sty_blk_Ds,OPDs_F_ap_I_4_m_sty_blk_Ps,OPDs_Flt_apt_Att_house_Ds,OPDs_Flt_apt_Att_house_Ps,OPDs_Flt_apart_Tot_Dwgs,OPDs_Flt_apart_Tot_Psns,OPDs_Oth_dwg_Cvn_Ds,OPDs_Oth_dw_Cvn_Ps,OPDs_Oth_dwg_cab_hboat_Ds,OPDs_Oth_dwg_cab_hboat_Ps,OPDs_Ot_dwg_Im_hm_tnt_SO_Ds,OPDs_Ot_dwg_Im_hm_tnt_SO_Ps,OPDs_Ot_dwg_Hs_f_att_sh_of_Ds,OPDs_Ot_dwg_Hs_f_att_sh_of_Ps,OPDs_Other_dwelling_Tot_Dwgs,OPDs_Other_dwelling_Tot_Psns,OPDs_Dwlling_structur_NS_Dwgs,OPDs_Dwlling_structur_NS_Psns,OPDs_Tot_OPDs_Dwellings,OPDs_Tot_OPDs_Persons,Unoccupied_PDs_Dwgs,Unoccupied_PDs_Psns,Total_PDs_Dwellings,Total_PDs_Persons
SED10011,24696,62712,754,1235,576,945,1322,2179,421,631,128,179,9,9,10,18,569,834,9,10,3,6,7,23,32,62,55,95,107,202,26747,66024,4098,..,30848,66024
SED10012,17030,61501,605,1625,2521,7816,3127,9436,803,2206,1696,4314,225,541,42,108,2769,7170,0,0,3,10,3,6,63,164,64,183,75,211,23064,78490,1126,..,24191,78490
SED10013,25015,79860,846,1558,594,1382,1442,2942,154,225,30,40,0,6,9,14,200,292,14,25,37,50,18,46,14,45,83,167,147,287,26886,83545,1337,..,28223,83545
SED10014,20122,62602,1485,3249,1846,4677,3334,7921,754,1340,284,537,766,1510,9,19,1822,3410,0,0,0,0,3,7,49,157,54,164,40,86,25380,74185,1513,..,26888,74185
SED10015,15240,47819,1115,2963,2325,7152,3441,10114,4996,12309,3239,8111,1780,4487,16,37,10037,24946,0,0,0,3,0,0,219,583,220,589,105,279,29040,83747,2168,..,31209,83747
SED10016,19592,66560,494,852,2147,6629,2647,7481,331,735,522,1195,624,1378,10,18,1488,3330,3,3,0,0,0,0,10,28,13,32,63,197,23802,77595,1336,..,25136,77595
SED10017,24118,65980,1525,2595,255,408,1778,3004,318,475,16,27,4,4,4,5,341,514,20,39,9,22,9,19,33,65,70,149,128,296,26431,69931,2654,..,29082,69931
SED10018,22210,59912,2102,3411,1334,2709,3438,6119,730,1179,103,149,187,318,29,50,1041,1699,3,14,99,126,7,7,24,76,138,225,48,98,26868,68054,2157,..,29024,68054
SED10019,24015,59757,1042,1633,529,1028,1575,2652,1488,2332,77,136,10,9,3,12,1586,2489,422,696,200,308,85,184,96,208,813,1393,179,378,28171,66673,3924,..,32092,66673
SED10020,20092,53983,1958,3588,1354,2779,3315,6362,2095,3703,320,622,301,493,9,20,2729,4833,199,309,344,548,47,79,36,85,631,1020,280,583,27042,66776,2931,..,29974,66776
SED10021,5261,16579,2641,7101,3123,9008,5772,16109,4124,8668,10754,21483,4917,9485,71,154,19868,39787,0,0,3,3,0,0,566,1195,566,1197,111,292,31577,73957,3347,..,34926,73957
SED10022,24642,59824,790,1265,36,70,826,1336,870,1188,21,23,0,0,3,3,892,1217,64,96,15,31,14,20,104,242,200,390,224,512,26786,63286,4255,..,31043,63286
SED10023,15277,47397,773,1446,2698,6225,3471,7669,2015,3383,3691,6991,1905,3542,3,3,7605,13916,0,3,0,6,0,0,90,184,88,199,63,154,26511,69329,2103,..,28611,69329
SED10024,19948,64035,481,717,1093,2362,1573,3082,826,1464,549,1167,2271,5290,3,7,3647,7936,0,6,0,5,3,13,21,59,26,78,58,128,25247,75262,1729,..,26980,75262
SED10025,11680,35491,1026,2566,1743,4513,2770,7080,3209,6392,2869,5943,8559,19630,18,25,14649,31997,0,0,6,12,0,0,272,611,272,621,147,335,29520,75522,2530,..,32053,75522
SED10026,23445,61489,1336,2270,75,118,1411,2392,1467,2276,22,29,8,11,0,0,1496,2316,94,169,50,80,19,42,306,768,466,1050,154,343,26979,67592,3608,..,30584,67592
SED10027,17452,54092,1241,2875,4653,14579,5898,17453,702,1031,168,365,126,254,45,96,1038,1749,0,0,0,0,0,0,115,282,115,283,90,262,24595,73836,1657,..,26251,73836
SED10028,18334,59357,872,1820,2335,6901,3208,8726,844,1239,1573,3702,1657,4344,21,42,4098,9319,3,11,0,0,0,0,15,47,17,57,57,163,25718,77624,1529,..,27248,77624
SED10029,16093,57018,885,2365,3115,10855,3998,13219,1845,4033,1238,2935,1845,4743,22,51,4944,11766,3,9,0,0,23,65,191,633,221,710,149,401,25404,83117,1692,..,27101,83117
SED10030,19200,51028,3101,5432,2029,4098,5125,9529,2418,3849,716,1252,906,1697,21,26,4054,6822,21,26,385,649,3,5,48,90,454,773,185,315,29021,68468,4135,..,33155,68468
SED10031,25284,63940,1303,2052,174,339,1477,2395,458,693,71,91,0,0,9,13,536,798,98,143,48,94,54,119,81,151,279,508,205,455,27789,68092,5547,..,33332,68092
SED10032,14186,48082,1502,3516,3013,10139,4512,13654,2079,5387,4595,11955,2598,6890,30,69,9309,24301,0,5,3,7,11,37,80,299,95,349,156,412,28254,86803,1932,..,30185,86803
SED10033,20919,62728,1652,3169,542,1184,2193,4352,410,659,77,131,3,7,10,18,500,819,74,107,66,102,21,71,42,101,204,381,186,413,24002,68699,1693,..,25695,68699
SED10034,18726,57567,583,1152,1931,4777,2507,5928,928,1764,2620,5025,892,1760,12,22,4448,8576,18,33,91,146,0,0,44,89,151,266,81,201,25916,72535,1705,..,27625,72535
SED10035,6923,21175,2366,5853,2743,7329,5108,13178,2631,6164,5526,12025,18782,40763,62,139,26997,59096,0,0,3,12,7,19,203,538,213,563,243,468,39483,94478,3527,..,43011,94478
SED10036,20505,69399,547,1136,2914,8113,3461,9248,210,315,255,477,43,101,39,100,544,999,0,5,0,4,0,4,50,143,51,161,63,141,24620,79950,1116,..,25735,79950
SED10037,20205,61958,418,884,1272,3413,1695,4302,627,1273,2867,6368,646,1570,24,50,4167,9258,18,31,49,95,0,0,46,110,108,241,119,238,26292,75993,1806,..,28100,75993
SED10038,20207,58050,1889,3633,2865,6083,4754,9716,2227,4038,503,902,160,303,5,16,2900,5261,27,65,5,12,4,3,110,254,151,336,112,279,28130,73635,2294,..,30425,73635
SED10039,20860,56943,1563,2689,954,1930,2523,4622,744,1213,84,135,192,263,6,4,1023,1615,95,157,331,490,10,12,39,94,464,760,229,477,25098,64402,3565,..,28663,64402
SED10040,13066,42741,1742,4459,1645,5144,3393,9600,1399,3326,3540,9222,8167,22522,97,219,13201,35278,0,3,0,0,3,3,208,501,209,505,119,261,29993,88385,2020,..,32010,88385
SED10041,17087,54089,266,539,1125,2534,1392,3072,1049,1936,1374,2712,5744,13950,0,0,8163,18605,0,0,3,4,0,0,23,54,25,59,64,145,26732,75962,1864,..,28591,75962
SED10042,23203,60811,1530,2458,540,1017,2074,3473,481,766,78,141,43,90,17,32,622,1032,38,85,239,348,18,38,26,58,316,523,71,142,26282,65985,3140,..,29427,65985
SED10043,13404,48098,899,2276,3360,10966,4262,13246,5216,14224,2973,7988,1045,2458,20,45,9246,24711,0,5,3,9,0,0,181,596,185,606,106,322,27208,86981,1854,..,29060,86981
SED10044,14348,44393,911,2130,1882,4557,2797,6689,1881,3552,4902,9760,5579,11227,49,106,12414,24645,8,17,0,0,0,0,29,62,43,80,120,272,29721,76084,2652,..,32375,76084
SED10045,24101,60208,1327,2099,527,901,1851,3001,1148,1776,113,161,0,0,3,3,1261,1938,245,339,108,191,60,129,184,484,598,1143,177,391,27995,66679,3237,..,31232,66679
SED10046,16991,61388,570,1476,1563,4618,2135,6095,1283,2499,3584,8327,2302,6163,24,48,7191,17038,0,0,0,0,0,0,26,55,26,56,70,140,26405,84719,1368,..,27772,84719
SED10047,23810,73388,980,2125,2093,5670,3074,7794,716,1339,597,1097,326,634,28,59,1660,3137,26,46,126,202,32,74,47,123,229,435,157,409,28936,85167,2058,..,30992,85167
SED10048,20956,67898,2469,5695,2786,7518,5252,13211,270,557,74,155,36,107,15,31,395,858,27,33,3,3,5,18,18,42,55,105,175,373,26838,82442,1407,..,28245,82442
SED10049,23793,66556,1904,3392,533,881,2435,4270,569,815,0,0,32,49,3,5,607,871,41,67,3,3,11,28,54,113,108,210,379,535,27320,72450,2073,..,29386,72450
SED10050,12166,38866,806,2098,1930,4843,2732,6945,2838,6070,6656,13387,4555,8708,29,64,14077,28235,3,3,0,0,32,34,97,213,128,251,104,259,29213,74554,3381,..,32595,74554
SED10051,10684,33516,2145,5304,3939,11479,6086,16777,2235,4346,4693,9875,4406,9782,16,32,11360,24031,0,3,0,0,0,3,143,360,145,364,94,231,28358,74924,2218,..,30580,74924
SED10052,16325,50096,1132,2573,3273,7634,4402,10204,910,1736,2292,4484,1735,3250,10,19,4933,9488,39,68,32,56,5,3,64,149,146,283,59,127,25860,70195,1763,..,27631,70195
SED10053,20991,56803,1750,3291,1414,2872,3164,6166,1281,2193,538,946,960,1699,15,34,2793,4869,31,56,89,163,30,78,52,116,205,406,321,670,27475,68908,4829,..,32305,68908
SED10054,20126,69358,1195,3526,2302,7818,3502,11347,146,302,390,935,900,2297,5,14,1438,3549,0,7,0,3,13,40,30,114,45,164,53,150,25159,84564,1271,..,26428,84564
SED10055,22448,74835,228,521,743,2062,968,2584,82,127,0,3,45,104,8,21,132,255,29,45,0,3,4,25,4,16,42,84,80,235,23674,77999,1107,..,24782,77999
SED10056,25877,65951,985,1601,48,94,1031,1693,1880,3310,25,40,0,0,8,22,1920,3369,189,311,170,315,35,82,148,328,544,1042,228,543,29600,72597,4925,..,34527,72597
SED10057,22342,54571,2732,4420,367,717,3100,5131,1451,2252,353,550,405,703,7,7,2210,3513,140,222,294,522,31,47,98,195,556,991,217,431,28429,64642,5789,..,34219,64642
SED10058,17769,44404,1755,3171,3722,7751,5479,10916,2179,3274,1790,2884,1802,3034,61,86,5841,9285,7,16,21,46,3,3,112,199,143,268,177,287,29406,65161,3859,..,33266,65161
SED10059,2338,6492,4833,11257,7622,19722,12459,30984,2652,4597,4413,7775,11341,19691,99,205,18511,32262,0,5,0,8,7,14,509,1135,517,1160,265,517,34093,71419,3310,..,37404,71419
SED10060,5539,16595,1318,3313,2656,6309,3972,9631,3678,7565,8155,15174,11467,20429,64,131,23364,43296,0,0,5,11,0,0,85,189,89,205,97,192,33061,69920,4523,..,37581,69920
SED10061,25138,62487,1208,2267,190,315,1396,2581,1462,2225,46,91,3,4,5,7,1512,2334,127,210,65,106,25,53,79,191,297,562,294,707,28630,68671,4290,..,32926,68671
SED10062,16139,50300,1595,3437,2306,6667,3901,10103,858,1746,2409,5738,2101,4833,6,16,5375,12334,3,9,5,9,0,0,103,295,113,315,71,175,25599,73228,1707,..,27308,73228
SED10063,25055,64954,1477,2337,216,359,1697,2692,983,1380,51,69,17,24,6,13,1054,1485,63,83,27,47,24,47,74,156,183,337,215,454,28197,69929,3815,..,32014,69929
SED10064,24445,60181,1023,1696,170,330,1190,2026,1020,1581,91,160,35,50,10,5,1155,1802,215,345,275,398,29,52,88,185,607,984,246,549,27646,65546,3935,..,31581,65546
SED10065,12640,39217,1082,2384,5267,15376,6353,17755,2997,7089,5710,14080,6518,16371,20,42,15240,37573,3,8,5,8,0,0,211,585,214,605,179,421,34622,95578,2611,..,37234,95578
SED10066,20576,59948,1673,3086,2665,6020,4336,9107,1090,1792,1024,1790,311,540,15,31,2438,4158,3,7,109,156,14,20,18,38,141,220,75,162,27568,73597,1780,..,29345,73597
SED10067,16122,48542,655,1249,1998,4561,2652,5807,1883,3616,2207,4172,1719,3399,26,42,5838,11229,5,15,139,237,8,15,96,195,250,460,160,351,25021,66391,3458,..,28480,66391
SED10068,21113,53405,2899,4865,1052,2055,3950,6923,1668,2540,532,852,981,1628,4,7,3186,5025,329,491,392,571,8,17,48,98,782,1176,168,324,29200,66856,3758,..,32953,66856
SED10069,20932,54701,1994,3414,1619,3569,3610,6982,456,701,204,336,328,546,16,44,1002,1625,254,394,284,431,23,50,60,131,616,1006,132,254,26292,64570,6934,..,33221,64570
SED10070,18732,60695,1750,4708,2466,7576,4222,12285,692,1618,758,1937,129,360,65,151,1646,4066,74,92,0,0,3,11,171,584,246,690,116,318,24970,78058,1283,..,26251,78058
SED10071,17910,61281,3462,10882,3484,11649,6941,22534,500,1508,58,109,194,454,5,5,763,2073,0,11,68,97,6,12,72,218,153,341,125,328,25887,86560,1078,..,26968,86560
SED10072,12804,39592,2316,5226,1496,4056,3812,9279,1047,2124,3010,6652,9395,22749,48,114,13495,31649,62,84,0,0,0,0,192,504,253,590,121,258,30485,81371,2611,..,33101,81371
SED10073,14223,45260,2000,5073,3627,9021,5621,14092,972,1924,5498,12064,6391,14444,16,48,12880,28481,0,0,3,4,0,9,91,220,100,231,173,413,33004,88482,2500,..,35506,88482
SED10074,19342,58608,1164,2447,2756,7767,3918,10218,1206,2001,1245,3217,2295,6211,17,35,4759,11465,0,0,7,18,20,41,18,60,36,123,78,183,28138,80594,1794,..,29926,80594
SED10075,23404,67078,1956,3498,1647,3414,3595,6909,1166,1932,16,28,5,9,0,7,1186,1975,54,71,252,367,0,0,62,158,365,595,78,170,28632,76730,2021,..,30656,76730
SED10076,24182,57922,1090,1760,510,870,1608,2625,581,893,21,29,0,5,13,13,607,945,158,264,397,635,12,25,38,78,610,994,175,332,27179,62819,12118,..,39300,62819
SED10077,11921,38658,1206,3173,2460,7637,3674,10811,2874,6651,5013,13048,6611,17984,44,108,14542,37796,0,3,0,3,0,0,234,657,235,660,233,599,30600,88527,2151,..,32752,88527
SED10078,10157,30724,2662,6835,1200,3304,3863,10141,5225,10617,6822,14356,3108,6732,111,244,15272,31953,3,4,0,3,0,0,419,991,424,999,300,507,30008,74315,2419,..,32423,74315
SED10079,23805,61400,1288,2177,524,1053,1813,3232,1132,1748,89,116,198,333,6,9,1417,2206,80,120,115,155,12,35,53,115,266,423,62,131,27374,67393,3169,..,30545,67393
SED10080,392,935,624,1299,6412,15138,7036,16442,1318,2224,3121,5089,27309,55077,11,25,31758,62414,0,0,3,3,32,37,129,247,164,294,259,454,39612,80535,6905,..,46515,80535
SED10081,24874,63469,1612,2519,373,605,1989,3119,632,932,39,63,57,77,4,8,729,1075,88,180,51,93,19,44,326,845,480,1162,193,489,28267,69316,3557,..,31821,69316
SED10082,21938,60268,1717,2738,1024,1980,2739,4721,1236,2442,296,563,33,63,16,31,1586,3100,52,78,40,75,3,4,28,55,127,215,95,196,26482,68501,4937,..,31420,68501
SED10083,19978,55543,2860,4592,1872,3899,4732,8490,654,1098,443,767,625,1146,20,32,1747,3045,69,107,25,51,4,5,121,328,226,497,107,206,26785,67784,4098,..,30883,67784
SED10084,18125,48900,4066,7654,2184,4636,6250,12294,1672,2869,1349,2456,751,1337,5,14,3778,6672,579,858,473,740,33,68,36,101,1121,1766,236,442,29512,70068,3717,..,33229,70068
SED10085,24608,63590,951,1703,335,563,1292,2266,734,1114,10,15,0,0,3,4,738,1134,104,157,81,136,32,68,47,93,268,457,203,491,27104,67938,4582,..,31688,67938
SED10086,6586,20817,1458,3834,2256,6581,3712,10416,3733,8290,9285,18470,6654,12393,70,180,19742,39333,3,3,0,0,0,3,164,365,172,373,159,381,30375,71321,4122,..,34500,71321
SED10087,23944,62571,833,1288,200,346,1038,1636,2234,3527,81,102,35,40,7,23,2355,3699,30,61,35,63,7,16,157,428,235,565,104,277,27671,68743,3455,..,31128,68743
SED10088,16561,53382,374,705,1348,3236,1726,3945,1893,3490,4194,8753,2352,4821,45,102,8486,17167,0,3,9,16,0,0,63,166,72,184,106,212,26951,74896,1877,..,28827,74896
SED10089,24322,65499,2292,4129,1154,2563,3447,6694,1226,1925,325,551,31,51,92,164,1667,2689,3,19,0,0,7,21,62,118,74,156,95,240,29613,75276,2439,..,32051,75276
SED10090,12965,39920,1558,3901,1942,5002,3500,8900,2639,5447,4298,9019,7346,16199,13,27,14296,30689,3,4,3,3,0,3,95,198,103,211,78,153,30938,79878,2876,..,33807,79878
SED10091,22893,65541,1053,1737,315,540,1372,2273,312,501,5,9,3,0,7,16,328,531,75,109,24,31,20,53,50,139,172,341,126,299,24890,68988,2255,..,27144,68988
SED10092,18365,50892,1349,2357,1994,4644,3349,6999,2815,5184,2410,4347,3726,7211,39,92,8995,16832,184,284,29,71,0,4,108,262,326,622,310,515,31340,75864,2997,..,34337,75864
SED10093,22654,63658,1583,2864,689,1465,2265,4330,1551,2445,69,113,39,68,13,30,1674,2659,166,256,56,112,5,24,12,19,240,400,133,238,26971,71283,2448,..,29421,71283
SED19494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
SED19797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
SED20106,1755,4556,4343,9886,4316,10720,8658,20604,2149,3550,4006,6451,16355,30052,27,53,22533,40101,0,8,0,3,0,0,354,629,362,644,110,207,33414,66113,5999,..,39416,66113
SED20207,23396,71179,3558,8471,2145,5919,5702,14393,824,1664,64,73,158,267,0,0,1042,2002,0,4,3,11,0,0,22,55,27,68,40,99,30207,87745,2596,..,32799,87745
SED20302,23954,62501,1339,2192,415,899,1755,3091,196,283,13,19,9,17,0,0,220,319,89,117,112,159,10,14,20,46,235,337,85,206,26244,66450,12512,..,38759,66450
SED20401,17761,48087,3126,6229,948,2114,4072,8340,741,1379,130,209,32,59,3,4,903,1650,0,3,0,0,0,0,12,34,13,38,64,122,22812,58233,1684,..,24498,58233
SED20508,20127,50324,1024,1589,361,728,1389,2314,255,393,3,6,0,0,0,4,258,400,14,22,92,115,0,0,30,76,134,211,100,234,22012,53495,8834,..,30845,53495
SED20604,21172,53464,1504,2391,108,212,1608,2601,588,874,0,0,0,0,0,3,583,873,43,72,34,58,3,6,60,129,143,256,163,373,23681,57571,3072,..,26747,57571
SED20704,21105,54752,1728,2735,221,449,1949,3185,159,279,13,21,0,0,0,0,174,299,31,49,20,38,3,9,26,60,88,151,83,159,23396,58553,2563,..,25962,58553
SED20804,21030,50367,1345,2017,186,325,1526,2340,369,566,44,64,17,18,0,0,429,646,61,78,45,61,9,13,43,93,158,244,148,329,23289,53930,3169,..,26464,53930
SED20906,14816,42333,2130,4536,1714,4958,3847,9490,2229,4683,322,578,470,710,0,8,3018,5982,0,3,0,0,0,0,53,114,58,116,63,167,21805,58095,2085,..,23892,58095
SED21001,14860,43465,4701,9759,2157,5792,6855,15555,1503,3060,957,1881,915,1516,3,0,3369,6466,0,5,0,0,0,6,35,77,39,85,67,151,25197,65724,2745,..,27937,65724
SED21106,11425,33480,2569,5397,2359,5599,4928,10993,2841,5066,3384,5542,882,1524,4,9,7102,12141,3,6,0,0,0,0,83,180,85,179,108,256,23651,57057,3243,..,26892,57057
SED21203,17674,56664,1529,4116,1109,3266,2636,7380,967,2674,3,10,100,225,9,10,1078,2916,8,8,95,108,0,9,139,447,248,569,108,263,21741,67795,1794,..,23538,67795
SED21303,11824,32275,3653,7870,3784,9168,7446,17038,3736,6510,1613,2764,3844,6606,5,15,9194,15894,0,3,0,0,0,0,176,427,177,429,114,238,28750,65875,3115,..,31862,65875
SED21401,16466,46275,1377,2866,2334,6463,3711,9322,391,818,296,532,995,1901,0,4,1679,3256,0,4,0,9,0,0,10,35,17,51,64,94,21938,59002,2302,..,24243,59002
SED21503,16830,47943,1558,3125,1458,3776,3015,6903,573,1220,463,790,319,574,3,4,1355,2591,0,0,0,0,0,0,12,29,12,29,34,83,21255,57547,1691,..,22941,57547
SED21608,18653,48146,2287,4388,95,201,2384,4594,358,587,0,0,0,0,0,0,362,585,17,28,10,22,12,23,71,176,107,257,119,226,21621,53802,2695,..,24318,53802
SED21706,15477,45904,3090,6091,1940,5446,5028,11539,1574,3305,538,895,276,445,0,8,2384,4649,3,10,0,3,0,0,46,96,47,106,83,211,23027,62413,2254,..,25282,62413
SED21805,17553,48200,4029,7442,2283,5103,6313,12546,683,1176,181,281,65,120,0,0,927,1582,18,29,363,470,0,3,29,77,411,573,37,63,25244,62970,2186,..,27433,62970
SED21906,9434,27932,3951,8825,2642,6923,6597,15745,5594,10562,2572,4697,605,1070,20,31,8790,16354,0,3,0,0,0,0,170,371,175,379,112,225,25117,60641,2707,..,27820,60641
SED22005,16856,50031,3809,9453,2178,6552,5986,16003,1577,3176,445,920,122,217,3,12,2142,4327,3,8,0,3,0,0,19,29,26,44,90,177,25095,70588,1992,..,27086,70588
SED22105,26058,83938,2786,6635,422,1110,3209,7743,374,709,21,40,3,11,0,0,396,764,3,5,0,0,0,3,0,8,8,19,43,107,29711,92579,1868,..,31582,92579
SED22201,19485,51186,1159,2101,571,1356,1730,3458,123,223,171,295,84,136,0,0,377,653,0,3,0,0,0,0,5,26,6,36,57,117,21658,55451,1760,..,23414,55451
SED22305,16083,49426,3888,9622,1195,3647,5084,13272,2184,4915,241,505,260,534,0,3,2686,5956,52,63,35,79,3,12,247,703,338,860,73,166,24267,69678,2074,..,26342,69678
SED22404,19912,49553,550,910,29,52,579,961,137,204,3,3,10,41,3,8,152,255,159,216,123,164,40,84,47,101,363,569,140,283,21144,51619,5906,..,27052,51619
SED22501,17930,51727,1027,1713,657,1470,1682,3184,565,973,22,37,0,0,0,0,589,1011,6,6,0,0,0,0,10,33,19,46,30,72,20255,56037,1383,..,21639,56037
SED22607,11986,34602,2400,5203,2638,6274,5040,11476,2742,4930,2928,5093,2672,5498,0,3,8341,15523,0,0,0,3,0,0,99,213,105,211,100,197,25571,62021,2535,..,28105,62021
SED22704,22429,54337,501,719,40,87,541,813,746,1041,38,48,43,60,0,0,817,1149,98,132,91,126,22,39,52,113,255,413,141,301,24191,57013,4133,..,28321,57013
SED22802,17986,51350,1022,1653,279,590,1300,2245,21,36,51,87,0,7,3,4,75,125,40,46,29,38,3,13,10,30,80,125,69,170,19510,54019,1547,..,21054,54019
SED22901,17240,48962,1669,3015,789,2030,2454,5043,149,189,83,130,112,182,0,0,342,504,20,27,102,130,0,0,15,39,142,196,42,74,20211,54779,1473,..,21685,54779
SED23007,15477,44943,2542,5845,4498,12648,7036,18484,2643,5431,1275,2477,2278,4104,32,78,6228,12092,0,14,13,30,3,0,82,205,98,251,112,220,28953,75986,2729,..,31684,75986
SED23101,17101,49194,2344,4750,869,2433,3213,7180,420,624,62,87,3,9,8,12,485,727,0,4,0,0,0,0,16,48,17,53,31,72,20852,57231,1588,..,22443,57231
SED23205,18553,47572,3206,5056,815,1642,4026,6702,809,1256,56,85,66,90,8,9,938,1439,15,24,36,47,0,0,21,66,74,132,49,109,23637,55952,2314,..,25954,55952
SED23308,19510,47485,3213,5070,908,1852,4120,6926,1295,1980,107,157,186,307,4,8,1597,2455,43,62,130,165,0,5,57,117,230,357,73,140,25531,57365,3208,..,28740,57365
SED23402,20010,58598,1969,3656,573,1372,2546,5024,180,253,0,0,3,6,0,0,186,257,3,6,49,71,4,4,10,39,74,121,61,149,22868,64144,1840,..,24710,64144
SED23502,21243,49317,613,897,62,111,674,1016,362,538,0,0,0,0,3,0,365,541,116,172,132,204,15,41,64,126,334,547,251,485,22866,51902,5863,..,28726,51902
SED23602,19727,47336,674,940,89,133,763,1070,563,810,31,68,0,0,7,8,597,884,79,112,45,74,11,22,61,100,193,305,93,181,21368,49773,8066,..,29435,49773
SED23702,20293,56942,2811,4851,333,690,3141,5538,131,258,0,0,3,7,0,0,131,262,40,53,178,221,6,18,7,19,230,316,35,72,23837,63129,1684,..,25518,63129
