CED_NAME16	IndigenousStatus	persons
Hunter	Non-indigenous	147548
Hunter	Torres Strait Islander	232
Kingsford Smith	Aboriginal	2763
Kingsford Smith	Both Aboriginal & Torres Strait Islander	65
Kingsford Smith	Non-indigenous	173326
Kingsford Smith	Torres Strait Islander	84
Lindsay	Aboriginal	6731
Lindsay	Both Aboriginal & Torres Strait Islander	79
Lindsay	Non-indigenous	159600
Lindsay	Torres Strait Islander	118
Lyne	Aboriginal	7672
Lyne	Both Aboriginal & Torres Strait Islander	147
Lyne	Non-indigenous	137512
Lyne	Torres Strait Islander	149
Macarthur	Aboriginal	5645
Macarthur	Both Aboriginal & Torres Strait Islander	94
Macarthur	Non-indigenous	156154
Macarthur	Torres Strait Islander	124
Mackellar	Aboriginal	851
Mackellar	Both Aboriginal & Torres Strait Islander	20
Mackellar	Non-indigenous	147711
Mackellar	Torres Strait Islander	31
Macquarie	Aboriginal	4091
Macquarie	Both Aboriginal & Torres Strait Islander	50
Macquarie	Non-indigenous	137228
Macquarie	Torres Strait Islander	70
McMahon	Aboriginal	1924
McMahon	Both Aboriginal & Torres Strait Islander	26
McMahon	Non-indigenous	163682
McMahon	Torres Strait Islander	61
Mitchell	Aboriginal	754
Mitchell	Both Aboriginal & Torres Strait Islander	19
Mitchell	Non-indigenous	152660
Mitchell	Torres Strait Islander	16
New England	Aboriginal	12446
New England	Both Aboriginal & Torres Strait Islander	257
New England	Non-indigenous	141237
New England	Torres Strait Islander	244
Newcastle	Aboriginal	5028
Newcastle	Both Aboriginal & Torres Strait Islander	109
Newcastle	Non-indigenous	147705
Newcastle	Torres Strait Islander	106
North Sydney	Aboriginal	433
North Sydney	Both Aboriginal & Torres Strait Islander	12
North Sydney	Non-indigenous	161056
North Sydney	Torres Strait Islander	25
Page	Aboriginal	8404
Page	Both Aboriginal & Torres Strait Islander	197
Page	Non-indigenous	150311
Page	Torres Strait Islander	195
Parkes	Aboriginal	23902
Parkes	Both Aboriginal & Torres Strait Islander	355
Parkes	Non-indigenous	129255
Parkes	Torres Strait Islander	257
Parramatta	Aboriginal	1204
Parramatta	Both Aboriginal & Torres Strait Islander	36
Parramatta	Non-indigenous	185040
Parramatta	Torres Strait Islander	40
Paterson	Aboriginal	8081
Paterson	Both Aboriginal & Torres Strait Islander	183
Paterson	Non-indigenous	147151
Paterson	Torres Strait Islander	219
Reid	Aboriginal	986
Reid	Both Aboriginal & Torres Strait Islander	14
Reid	Non-indigenous	180300
Reid	Torres Strait Islander	47
Richmond	Aboriginal	4417
Richmond	Both Aboriginal & Torres Strait Islander	358
Richmond	Non-indigenous	147796
Richmond	Torres Strait Islander	342
Riverina	Aboriginal	9244
Riverina	Both Aboriginal & Torres Strait Islander	138
Riverina	Non-indigenous	146252
Riverina	Torres Strait Islander	159
Robertson	Aboriginal	3923
Robertson	Both Aboriginal & Torres Strait Islander	44
Robertson	Non-indigenous	139035
Robertson	Torres Strait Islander	101
Shortland	Aboriginal	5497
Shortland	Both Aboriginal & Torres Strait Islander	97
Shortland	Non-indigenous	138787
Shortland	Torres Strait Islander	101
Sydney	Aboriginal	2211
Sydney	Both Aboriginal & Torres Strait Islander	93
Sydney	Non-indigenous	197782
Sydney	Torres Strait Islander	95
Warringah	Aboriginal	542
Warringah	Both Aboriginal & Torres Strait Islander	11
Warringah	Non-indigenous	146748
Warringah	Torres Strait Islander	32
Watson	Aboriginal	863
Watson	Both Aboriginal & Torres Strait Islander	23
Watson	Non-indigenous	173878
Watson	Torres Strait Islander	42
Wentworth	Aboriginal	492
Wentworth	Both Aboriginal & Torres Strait Islander	16
Wentworth	Non-indigenous	145412
Wentworth	Torres Strait Islander	29
Werriwa	Aboriginal	2851
Werriwa	Both Aboriginal & Torres Strait Islander	37
Werriwa	Non-indigenous	167970
Werriwa	Torres Strait Islander	51
Whitlam	Aboriginal	4954
Whitlam	Both Aboriginal & Torres Strait Islander	100
Whitlam	Non-indigenous	147109
Whitlam	Torres Strait Islander	117
No usual address (NSW)	Aboriginal	789
No usual address (NSW)	Both Aboriginal & Torres Strait Islander	25
No usual address (NSW)	Non-indigenous	11448
No usual address (NSW)	Torres Strait Islander	26
Migratory - Offshore - Shipping (NSW)	Aboriginal	10
Migratory - Offshore - Shipping (NSW)	Non-indigenous	402
Aston	Aboriginal	579
Aston	Both Aboriginal & Torres Strait Islander	5
Aston	Non-indigenous	135405
Aston	Torres Strait Islander	29
Ballarat	Aboriginal	1925
Ballarat	Both Aboriginal & Torres Strait Islander	42
Ballarat	Non-indigenous	152431
Ballarat	Torres Strait Islander	85
Batman	Aboriginal	1216
Batman	Both Aboriginal & Torres Strait Islander	28
Batman	Non-indigenous	160680
Batman	Torres Strait Islander	40
Bendigo	Aboriginal	2077
Bendigo	Both Aboriginal & Torres Strait Islander	42
Bendigo	Non-indigenous	148241
Bendigo	Torres Strait Islander	71
Bruce	Aboriginal	444
Bruce	Both Aboriginal & Torres Strait Islander	19
Bruce	Non-indigenous	156507
Bruce	Torres Strait Islander	41
Calwell	Aboriginal	855
Calwell	Both Aboriginal & Torres Strait Islander	13
Calwell	Non-indigenous	164472
Calwell	Torres Strait Islander	66
Casey	Aboriginal	1293
Casey	Both Aboriginal & Torres Strait Islander	39
Casey	Non-indigenous	141389
Casey	Torres Strait Islander	45
Chisholm	Aboriginal	346
Chisholm	Both Aboriginal & Torres Strait Islander	16
Chisholm	Non-indigenous	164052
Chisholm	Torres Strait Islander	19
Corangamite	Aboriginal	1127
Corangamite	Both Aboriginal & Torres Strait Islander	27
Corangamite	Non-indigenous	151546
Corangamite	Torres Strait Islander	40
Corio	Aboriginal	1681
Corio	Both Aboriginal & Torres Strait Islander	37
Corio	Non-indigenous	148116
Corio	Torres Strait Islander	80
Deakin	Aboriginal	506
Deakin	Both Aboriginal & Torres Strait Islander	3
Deakin	Non-indigenous	146225
Deakin	Torres Strait Islander	33
Dunkley	Aboriginal	1176
Dunkley	Both Aboriginal & Torres Strait Islander	37
Dunkley	Non-indigenous	145109
Dunkley	Torres Strait Islander	59
Flinders	Aboriginal	1340
Flinders	Both Aboriginal & Torres Strait Islander	45
Flinders	Non-indigenous	152034
Flinders	Torres Strait Islander	79
Gellibrand	Aboriginal	789
Gellibrand	Both Aboriginal & Torres Strait Islander	22
Gellibrand	Non-indigenous	165016
Gellibrand	Torres Strait Islander	46
Gippsland	Aboriginal	2663
Gippsland	Both Aboriginal & Torres Strait Islander	47
Gippsland	Non-indigenous	140248
Gippsland	Torres Strait Islander	75
Goldstein	Aboriginal	230
Goldstein	Non-indigenous	147375
Goldstein	Torres Strait Islander	22
Gorton	Aboriginal	1472
Gorton	Both Aboriginal & Torres Strait Islander	24
Gorton	Non-indigenous	193147
Gorton	Torres Strait Islander	49
Higgins	Aboriginal	374
Higgins	Both Aboriginal & Torres Strait Islander	11
Higgins	Non-indigenous	153538
Higgins	Torres Strait Islander	19
Holt	Aboriginal	1050
Holt	Both Aboriginal & Torres Strait Islander	35
Holt	Non-indigenous	198720
Holt	Torres Strait Islander	59
Hotham	Aboriginal	361
Hotham	Both Aboriginal & Torres Strait Islander	8
Hotham	Non-indigenous	150889
Hotham	Torres Strait Islander	24
Indi	Aboriginal	2108
Indi	Both Aboriginal & Torres Strait Islander	48
Indi	Non-indigenous	137928
Indi	Torres Strait Islander	99
Isaacs	Aboriginal	709
Isaacs	Both Aboriginal & Torres Strait Islander	27
Isaacs	Non-indigenous	157860
Isaacs	Torres Strait Islander	58
Jagajaga	Aboriginal	717
Jagajaga	Both Aboriginal & Torres Strait Islander	11
Jagajaga	Non-indigenous	140544
Jagajaga	Torres Strait Islander	29
Kooyong	Aboriginal	252
Kooyong	Both Aboriginal & Torres Strait Islander	8
Kooyong	Non-indigenous	145129
Kooyong	Torres Strait Islander	10
La Trobe	Aboriginal	691
La Trobe	Both Aboriginal & Torres Strait Islander	18
La Trobe	Non-indigenous	156212
La Trobe	Torres Strait Islander	44
Lalor	Aboriginal	1797
Lalor	Both Aboriginal & Torres Strait Islander	32
Lalor	Non-indigenous	230104
Lalor	Torres Strait Islander	46
Mallee	Aboriginal	3587
Mallee	Both Aboriginal & Torres Strait Islander	84
Mallee	Non-indigenous	134775
Mallee	Torres Strait Islander	146
Maribyrnong	Aboriginal	521
Maribyrnong	Both Aboriginal & Torres Strait Islander	14
Maribyrnong	Non-indigenous	165836
Maribyrnong	Torres Strait Islander	46
McEwen	Aboriginal	2028
McEwen	Both Aboriginal & Torres Strait Islander	56
McEwen	Non-indigenous	208347
McEwen	Torres Strait Islander	100
McMillan	Aboriginal	1608
McMillan	Both Aboriginal & Torres Strait Islander	58
McMillan	Non-indigenous	165585
McMillan	Torres Strait Islander	77
Melbourne	Aboriginal	744
Melbourne	Both Aboriginal & Torres Strait Islander	33
Melbourne	Non-indigenous	207777
Melbourne	Torres Strait Islander	39
Melbourne Ports	Aboriginal	476
Melbourne Ports	Both Aboriginal & Torres Strait Islander	25
Melbourne Ports	Non-indigenous	160170
Melbourne Ports	Torres Strait Islander	28
Menzies	Aboriginal	266
Menzies	Both Aboriginal & Torres Strait Islander	8
Menzies	Non-indigenous	137231
Menzies	Torres Strait Islander	30
Murray	Aboriginal	3519
Murray	Both Aboriginal & Torres Strait Islander	113
Murray	Non-indigenous	141615
Murray	Torres Strait Islander	119
Scullin	Aboriginal	1022
Scullin	Both Aboriginal & Torres Strait Islander	46
Scullin	Non-indigenous	166857
Scullin	Torres Strait Islander	41
Wannon	Aboriginal	2008
Wannon	Both Aboriginal & Torres Strait Islander	50
Wannon	Non-indigenous	131642
Wannon	Torres Strait Islander	72
Wills	Aboriginal	770
Wills	Both Aboriginal & Torres Strait Islander	38
Wills	Non-indigenous	168789
Wills	Torres Strait Islander	52
No usual address (Vic.)	Aboriginal	247
No usual address (Vic.)	Both Aboriginal & Torres Strait Islander	11
No usual address (Vic.)	Non-indigenous	7291
No usual address (Vic.)	Torres Strait Islander	16
Migratory - Offshore - Shipping (Vic.)	Non-indigenous	29
Blair	Aboriginal	6520
Blair	Both Aboriginal & Torres Strait Islander	295
Blair	Non-indigenous	149229
Blair	Torres Strait Islander	275
Bonner	Aboriginal	2277
Bonner	Both Aboriginal & Torres Strait Islander	152
Bonner	Non-indigenous	147011
Bonner	Torres Strait Islander	196
Bowman	Aboriginal	3073
Bowman	Both Aboriginal & Torres Strait Islander	171
Bowman	Non-indigenous	143580
Bowman	Torres Strait Islander	186
Brisbane	Aboriginal	1506
Brisbane	Both Aboriginal & Torres Strait Islander	104
Brisbane	Non-indigenous	162147
Brisbane	Torres Strait Islander	129
Capricornia	Aboriginal	6666
Capricornia	Both Aboriginal & Torres Strait Islander	669
Capricornia	Non-indigenous	142666
Capricornia	Torres Strait Islander	719
Dawson	Aboriginal	5953
Dawson	Both Aboriginal & Torres Strait Islander	1237
Dawson	Non-indigenous	147683
Dawson	Torres Strait Islander	1440
Dickson	Aboriginal	2702
Dickson	Both Aboriginal & Torres Strait Islander	140
Dickson	Non-indigenous	143214
Dickson	Torres Strait Islander	161
Fadden	Aboriginal	2772
Fadden	Both Aboriginal & Torres Strait Islander	105
Fadden	Non-indigenous	166594
Fadden	Torres Strait Islander	129
Fairfax	Aboriginal	2663
Fairfax	Both Aboriginal & Torres Strait Islander	149
Fairfax	Non-indigenous	150459
Fairfax	Torres Strait Islander	192
Fisher	Aboriginal	2494
Fisher	Both Aboriginal & Torres Strait Islander	95
Fisher	Non-indigenous	137465
Fisher	Torres Strait Islander	112
Flynn	Aboriginal	7485
Flynn	Both Aboriginal & Torres Strait Islander	481
Flynn	Non-indigenous	147258
Flynn	Torres Strait Islander	264
Forde	Aboriginal	4218
Forde	Both Aboriginal & Torres Strait Islander	231
Forde	Non-indigenous	160841
Forde	Torres Strait Islander	248
Griffith	Aboriginal	1641
Griffith	Both Aboriginal & Torres Strait Islander	112
Griffith	Non-indigenous	155687
Griffith	Torres Strait Islander	162
Groom	Aboriginal	5670
Groom	Both Aboriginal & Torres Strait Islander	166
Groom	Non-indigenous	142850
Groom	Torres Strait Islander	180
Herbert	Aboriginal	10102
Herbert	Both Aboriginal & Torres Strait Islander	1767
Herbert	Non-indigenous	146371
Herbert	Torres Strait Islander	1758
Hinkler	Aboriginal	5279
Hinkler	Both Aboriginal & Torres Strait Islander	298
Hinkler	Non-indigenous	135888
Hinkler	Torres Strait Islander	251
Kennedy	Aboriginal	18114
Kennedy	Both Aboriginal & Torres Strait Islander	1827
Kennedy	Non-indigenous	133925
Kennedy	Torres Strait Islander	1528
Leichhardt	Aboriginal	12768
Leichhardt	Both Aboriginal & Torres Strait Islander	5961
Leichhardt	Non-indigenous	146365
Leichhardt	Torres Strait Islander	10355
Lilley	Aboriginal	2858
Lilley	Both Aboriginal & Torres Strait Islander	208
Lilley	Non-indigenous	152076
Lilley	Torres Strait Islander	233
Longman	Aboriginal	5399
Longman	Both Aboriginal & Torres Strait Islander	296
Longman	Non-indigenous	154656
Longman	Torres Strait Islander	243
Maranoa	Aboriginal	8383
Maranoa	Both Aboriginal & Torres Strait Islander	250
Maranoa	Non-indigenous	140375
Maranoa	Torres Strait Islander	258
McPherson	Aboriginal	2270
McPherson	Both Aboriginal & Torres Strait Islander	121
McPherson	Non-indigenous	149046
McPherson	Torres Strait Islander	144
Moncrieff	Aboriginal	2138
Moncrieff	Both Aboriginal & Torres Strait Islander	72
Moncrieff	Non-indigenous	158402
Moncrieff	Torres Strait Islander	122
Moreton	Aboriginal	1620
Moreton	Both Aboriginal & Torres Strait Islander	143
Moreton	Non-indigenous	156159
Moreton	Torres Strait Islander	149
Oxley	Aboriginal	4448
Oxley	Both Aboriginal & Torres Strait Islander	255
Oxley	Non-indigenous	158198
Oxley	Torres Strait Islander	307
Petrie	Aboriginal	4054
Petrie	Both Aboriginal & Torres Strait Islander	235
Petrie	Non-indigenous	158697
Petrie	Torres Strait Islander	282
Rankin	Aboriginal	4351
Rankin	Both Aboriginal & Torres Strait Islander	345
Rankin	Non-indigenous	174105
Rankin	Torres Strait Islander	369
Ryan	Aboriginal	1250
Ryan	Both Aboriginal & Torres Strait Islander	65
Ryan	Non-indigenous	153889
Ryan	Torres Strait Islander	145
Wide Bay	Aboriginal	5415
Wide Bay	Both Aboriginal & Torres Strait Islander	258
Wide Bay	Non-indigenous	138194
Wide Bay	Torres Strait Islander	231
Wright	Aboriginal	4176
Wright	Both Aboriginal & Torres Strait Islander	201
Wright	Non-indigenous	151841
Wright	Torres Strait Islander	219
No usual address (Qld)	Aboriginal	678
No usual address (Qld)	Both Aboriginal & Torres Strait Islander	51
No usual address (Qld)	Non-indigenous	11714
No usual address (Qld)	Torres Strait Islander	67
Migratory - Offshore - Shipping (Qld)	Aboriginal	6
Migratory - Offshore - Shipping (Qld)	Non-indigenous	144
Adelaide	Aboriginal	1626
Adelaide	Both Aboriginal & Torres Strait Islander	52
Adelaide	Non-indigenous	161716
Adelaide	Torres Strait Islander	48
Barker	Aboriginal	3763
Barker	Both Aboriginal & Torres Strait Islander	63
Barker	Non-indigenous	145564
Barker	Torres Strait Islander	112
Boothby	Aboriginal	1080
Boothby	Both Aboriginal & Torres Strait Islander	35
Boothby	Non-indigenous	144660
Boothby	Torres Strait Islander	61
Grey	Aboriginal	10150
Grey	Both Aboriginal & Torres Strait Islander	123
Grey	Non-indigenous	133128
Grey	Torres Strait Islander	125
Hindmarsh	Aboriginal	1387
Hindmarsh	Both Aboriginal & Torres Strait Islander	40
Hindmarsh	Non-indigenous	149743
Hindmarsh	Torres Strait Islander	73
Kingston	Aboriginal	2359
Kingston	Both Aboriginal & Torres Strait Islander	61
Kingston	Non-indigenous	145413
Kingston	Torres Strait Islander	75
Makin	Aboriginal	1892
Makin	Both Aboriginal & Torres Strait Islander	23
Makin	Non-indigenous	147547
Makin	Torres Strait Islander	51
Mayo	Aboriginal	1322
Mayo	Both Aboriginal & Torres Strait Islander	38
Mayo	Non-indigenous	138943
Mayo	Torres Strait Islander	64
Port Adelaide	Aboriginal	3656
Port Adelaide	Both Aboriginal & Torres Strait Islander	67
Port Adelaide	Non-indigenous	161239
Port Adelaide	Torres Strait Islander	124
Sturt	Aboriginal	979
Sturt	Both Aboriginal & Torres Strait Islander	29
Sturt	Non-indigenous	148099
Sturt	Torres Strait Islander	57
Wakefield	Aboriginal	4158
Wakefield	Both Aboriginal & Torres Strait Islander	93
Wakefield	Non-indigenous	163808
Wakefield	Torres Strait Islander	153
No usual address (SA)	Aboriginal	246
No usual address (SA)	Both Aboriginal & Torres Strait Islander	4
No usual address (SA)	Non-indigenous	2609
No usual address (SA)	Torres Strait Islander	4
Migratory - Offshore - Shipping (SA)	Non-indigenous	3
Brand	Aboriginal	3812
Brand	Both Aboriginal & Torres Strait Islander	79
Brand	Non-indigenous	160062
Brand	Torres Strait Islander	78
Burt	Aboriginal	3833
Burt	Both Aboriginal & Torres Strait Islander	71
Burt	Non-indigenous	164810
Burt	Torres Strait Islander	69
Canning	Aboriginal	2846
Canning	Both Aboriginal & Torres Strait Islander	50
Canning	Non-indigenous	143044
Canning	Torres Strait Islander	79
Cowan	Aboriginal	2234
Cowan	Both Aboriginal & Torres Strait Islander	35
Cowan	Non-indigenous	145201
Cowan	Torres Strait Islander	68
Curtin	Aboriginal	829
Curtin	Both Aboriginal & Torres Strait Islander	25
Curtin	Non-indigenous	142196
Curtin	Torres Strait Islander	36
Durack	Aboriginal	29134
Durack	Both Aboriginal & Torres Strait Islander	705
Durack	Non-indigenous	151456
Durack	Torres Strait Islander	469
Forrest	Aboriginal	3150
Forrest	Both Aboriginal & Torres Strait Islander	67
Forrest	Non-indigenous	144473
Forrest	Torres Strait Islander	78
Fremantle	Aboriginal	2086
Fremantle	Both Aboriginal & Torres Strait Islander	51
Fremantle	Non-indigenous	146570
Fremantle	Torres Strait Islander	37
Hasluck	Aboriginal	3939
Hasluck	Both Aboriginal & Torres Strait Islander	70
Hasluck	Non-indigenous	139543
Hasluck	Torres Strait Islander	74
Moore	Aboriginal	812
Moore	Both Aboriginal & Torres Strait Islander	30
Moore	Non-indigenous	139380
Moore	Torres Strait Islander	36
O'Connor	Aboriginal	8916
O'Connor	Both Aboriginal & Torres Strait Islander	161
O'Connor	Non-indigenous	147124
O'Connor	Torres Strait Islander	122
Pearce	Aboriginal	3853
Pearce	Both Aboriginal & Torres Strait Islander	88
Pearce	Non-indigenous	177719
Pearce	Torres Strait Islander	103
Perth	Aboriginal	1598
Perth	Both Aboriginal & Torres Strait Islander	76
Perth	Non-indigenous	149357
Perth	Torres Strait Islander	58
Stirling	Aboriginal	1651
Stirling	Both Aboriginal & Torres Strait Islander	22
Stirling	Non-indigenous	146268
Stirling	Torres Strait Islander	51
Swan	Aboriginal	2774
Swan	Both Aboriginal & Torres Strait Islander	63
Swan	Non-indigenous	160323
Swan	Torres Strait Islander	42
Tangney	Aboriginal	882
Tangney	Both Aboriginal & Torres Strait Islander	16
Tangney	Non-indigenous	135127
Tangney	Torres Strait Islander	13
No usual address (WA)	Aboriginal	563
No usual address (WA)	Both Aboriginal & Torres Strait Islander	12
No usual address (WA)	Non-indigenous	5364
No usual address (WA)	Torres Strait Islander	11
Migratory - Offshore - Shipping (WA)	Aboriginal	3
Migratory - Offshore - Shipping (WA)	Non-indigenous	431
Bass	Aboriginal	3179
Bass	Both Aboriginal & Torres Strait Islander	103
Bass	Non-indigenous	97960
Bass	Torres Strait Islander	148
Braddon	Aboriginal	6696
Braddon	Both Aboriginal & Torres Strait Islander	268
Braddon	Non-indigenous	89782
Braddon	Torres Strait Islander	312
Denison	Aboriginal	2817
Denison	Both Aboriginal & Torres Strait Islander	121
Denison	Non-indigenous	99505
Denison	Torres Strait Islander	130
Franklin	Aboriginal	4374
Franklin	Both Aboriginal & Torres Strait Islander	165
Franklin	Non-indigenous	99700
Franklin	Torres Strait Islander	207
Lyons	Aboriginal	4449
Lyons	Both Aboriginal & Torres Strait Islander	233
Lyons	Non-indigenous	98508
Lyons	Torres Strait Islander	320
No usual address (Tas.)	Aboriginal	54
No usual address (Tas.)	Both Aboriginal & Torres Strait Islander	3
No usual address (Tas.)	Non-indigenous	851
No usual address (Tas.)	Torres Strait Islander	4
Migratory - Offshore - Shipping (Tas.)	Non-indigenous	68
Lingiari	Aboriginal	46626
Lingiari	Both Aboriginal & Torres Strait Islander	871
Lingiari	Non-indigenous	66737
Lingiari	Torres Strait Islander	311
Solomon	Aboriginal	8504
Solomon	Both Aboriginal & Torres Strait Islander	815
Solomon	Non-indigenous	104362
Solomon	Torres Strait Islander	439
No usual address (NT)	Aboriginal	683
No usual address (NT)	Both Aboriginal & Torres Strait Islander	7
No usual address (NT)	Non-indigenous	1788
No usual address (NT)	Torres Strait Islander	11
Migratory - Offshore - Shipping (NT)	Non-indigenous	70
Canberra	Aboriginal	3262
Canberra	Both Aboriginal & Torres Strait Islander	112
Canberra	Non-indigenous	192564
Canberra	Torres Strait Islander	99
Fenner	Aboriginal	3052
Fenner	Both Aboriginal & Torres Strait Islander	72
Fenner	Non-indigenous	199751
Fenner	Torres Strait Islander	80
No usual address (ACT)	Aboriginal	29
No usual address (ACT)	Non-indigenous	509
No usual address (OT)	Aboriginal	3
No usual address (OT)	Non-indigenous	52
Migratory - Offshore - Shipping (OT)	Non-indigenous	6
