SA4_CODE_2016,CF_no_children_F,CF_no_children_P,CF_ChU15_a_DSs_a_NdCh_F,CF_ChU15_a_DSs_a_NdCh_P,CF_ChU15_a_DSs_a_no_NdCh_F,CF_ChU15_a_DSs_a_no_NdCh_P,CF_ChU15_a_no_DSs_a_NdCh_F,CF_ChU15_a_no_DSs_a_NdCh_P,CF_ChU15_a_no_DSs_a_no_NdCh_F,CF_ChU15_a_no_DSs_a_no_NdCh_P,CF_ChU15_a_Total_F,CF_ChU15_a_Total_P,CF_no_ChU15_a_DSs_a_NdCh_F,CF_no_ChU15_a_DSs_a_NdCh_P,CF_no_ChU15_a_DSs_a_no_NdCh_F,CF_no_ChU15_a_DSs_a_no_NdCh_P,CF_no_ChU15_a_no_DSs_a_NdCh_F,CF_no_ChU15_a_no_DSs_a_NdCh_P,CF_no_ChU15_a_Total_F,CF_no_ChU15_a_Total_P,CF_Total_F,CF_Total_P,OPF_ChU15_a_DSs_a_NdCh_F,OPF_ChU15_a_DSs_a_NdCh_P,OPF_ChU15_a_DSs_a_no_NdCh_F,OPF_ChU15_a_DSs_a_no_NdCh_P,OPF_ChU15_a_no_DSs_a_NdCh_F,OPF_ChU15_a_no_DSs_a_NdCh_P,OPF_ChU15_a_no_DSs_no_NdCh_F,OPF_ChU15_a_no_DSs_no_NdCh_P,OPF_ChU15_a_Total_F,OPF_ChU15_a_Total_P,OPF_no_ChU15_a_DSs_a_NdCh_F,OPF_no_ChU15_a_DSs_a_NdCh_P,OPF_no_ChU15_a_DSs_no_NdCh_F,OPF_no_ChU15_a_DSs_no_NdCh_P,OPF_no_ChU15_no_DSs_a_NdCh_F,OPF_no_ChU15_no_DSs_a_NdCh_P,OPF_no_ChU15_a_Total_F,OPF_no_ChU15_a_Total_P,OPF_Total_F,OPF_Total_P,Other_family_F,Other_family_P,Total_F,Total_P
111,37578,74431,560,3072,3751,17132,1199,5342,21006,81447,26518,106994,2004,8184,3233,10870,7969,24946,13212,43992,39725,150988,236,1021,1103,3843,564,1999,6373,17194,8274,24064,621,1960,1692,3723,6518,13870,8828,19555,17101,43616,1501,3087,95901,272126
112,26928,53424,346,1864,2304,10704,685,3036,12086,47464,15420,63074,929,3771,1859,5999,4382,13576,7163,23344,22588,86420,144,653,848,2951,391,1391,4738,12567,6115,17562,418,1290,1237,2677,4115,8654,5768,12619,11888,30184,862,1807,62258,171835
113,16142,31865,331,1847,1754,8125,568,2628,8908,36018,11559,48613,636,2554,1107,3470,2890,9088,4635,15111,16193,63727,86,399,472,1726,268,1015,2732,7742,3557,10876,192,573,465,995,2134,4566,2794,6133,6351,17013,586,1235,39273,113836
114,19229,37985,272,1522,1333,6133,475,2167,7319,28960,9398,38774,589,2409,1026,3253,2890,8966,4503,14629,13898,53408,90,383,442,1577,266,944,2451,6778,3245,9695,220,675,561,1207,2304,4863,3082,6745,6328,16439,421,874,39882,108705
115,18818,37609,615,3516,4074,18707,811,3725,17438,69432,22940,95383,2714,11488,3875,13712,7533,24594,14123,49790,37064,145171,87,365,495,1737,190,625,1843,4937,2614,7670,414,1329,794,1889,2625,5841,3829,9064,6440,16729,522,1115,62850,200625
116,22131,45144,1033,6114,4851,23407,1489,7172,26282,103441,33656,140128,2998,13041,3743,13229,9149,30551,15889,56820,49547,196950,325,1654,1155,4546,763,2964,5690,16602,7943,25776,803,2723,1326,3092,5992,13729,8123,19542,16065,45317,1460,3213,89208,290627
117,35920,70740,133,741,1266,5616,273,1202,13507,48204,15189,55767,751,3124,1580,5199,3080,9802,5404,18124,20590,73892,61,264,354,1198,194,667,2638,6424,3241,8552,273,851,1130,2452,3410,7282,4814,10581,8052,19141,2406,5107,66970,168875
118,25640,50400,193,982,2372,10593,270,1153,16562,61895,19395,74631,1301,5188,2691,9165,3922,12191,7906,26548,27306,101175,48,208,417,1332,143,449,2716,6611,3320,8597,333,1012,1175,2606,3183,6714,4690,10329,8011,18932,1596,3343,62552,173840
119,44946,91274,1413,8361,7069,34325,1753,8288,38057,149670,48289,200645,4573,19942,6406,22661,15552,51364,26528,93963,74823,294607,359,1785,1514,5654,713,2631,7157,20005,9750,30073,1292,4346,2799,6632,10777,24168,14873,35142,24621,65211,3301,7236,147685,458331
120,28385,56648,271,1468,2700,12074,381,1643,20147,74734,23500,89925,1797,7554,3332,11533,5848,18790,10975,37872,34482,127801,41,171,525,1740,158,501,3050,7576,3773,9989,438,1396,1552,3521,4244,9217,6234,14131,10003,24119,1813,3872,74687,212442
121,40349,79605,441,2304,5336,23990,531,2241,31742,120052,38044,148595,3055,12366,6833,23465,7547,23458,17438,59285,55487,207875,61,255,845,2795,148,467,3669,9143,4728,12656,671,2067,2147,4825,4515,9519,7327,16406,12055,29061,1718,3604,109610,320146
122,24315,48031,381,1995,3377,15272,536,2295,19792,76563,24091,96117,1989,8076,3194,11068,5523,17412,10707,36556,34793,132675,62,252,530,1748,161,527,2427,6181,3180,8706,457,1446,992,2231,3259,6955,4708,10634,7884,19346,755,1586,67745,201636
123,20611,41556,848,4937,3379,16263,1519,7247,17887,71367,23631,99820,2056,8868,2463,8538,7631,24981,12150,42389,35779,142203,252,1196,943,3561,607,2314,4938,14084,6736,21160,587,1925,999,2301,4762,10544,6350,14773,13085,35929,912,1968,70383,221662
124,26837,53805,796,4648,3534,16897,1384,6554,19657,77621,25379,105719,2207,9452,2734,9404,8329,27214,13269,46069,38652,151791,217,1029,971,3552,597,2059,5774,15979,7552,22620,628,2014,1286,2913,5661,12450,7570,17377,15126,40000,1129,2409,81748,248003
125,33281,67565,1077,6580,5208,25321,1262,6097,34129,131667,41684,169666,3250,14419,4748,16758,10454,34844,18452,66020,60135,235678,281,1391,1079,4137,483,1788,5277,14694,7117,22014,870,2964,1882,4426,7254,16374,10009,23766,17126,45774,2527,5573,113069,354599
126,16565,33084,204,1119,2263,10163,258,1142,13337,50333,16059,62766,1595,6635,2873,10083,4302,13742,8774,30465,24831,93225,26,117,317,1050,87,295,1678,4227,2111,5686,297,948,874,2029,2453,5351,3624,8331,5737,14014,985,2074,48111,142400
127,24741,50627,1456,8677,6198,30569,1897,9343,25398,103288,34943,151879,4249,19085,4455,16155,13127,44875,21826,80114,56770,231994,396,1920,1545,5986,854,3277,6694,19713,9492,30892,1197,4181,1970,4807,8353,19748,11524,28736,21012,59629,1959,4352,104481,346599
128,20542,40743,450,2461,2802,12736,604,2673,15655,61286,19506,79153,2119,8954,2619,9229,6614,21368,11357,39557,30866,118707,76,313,488,1626,198,660,2443,6320,3204,8918,460,1458,882,2004,3423,7369,4761,10825,7960,19745,714,1503,60085,180698
197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201,16578,32790,248,1431,1663,7744,413,1865,8832,34934,11152,45976,802,3370,1295,4225,2830,8841,4930,16432,16082,62413,89,406,470,1724,255,911,2828,7657,3646,10697,284,886,706,1533,2320,4878,3307,7297,6945,17995,532,1097,40141,114295
202,16291,32222,284,1544,1619,7530,394,1799,8702,34370,10999,45246,681,2784,1382,4546,2691,8365,4754,15691,15748,60936,85,384,549,1934,220,765,2729,7287,3580,10378,277,843,722,1557,2251,4724,3240,7130,6826,17506,602,1245,39465,111913
203,28647,56651,434,2400,3047,14011,617,2813,17416,68051,21511,87269,1672,6893,2777,9365,5404,16811,9852,33063,31365,120331,155,699,872,3111,356,1244,4411,11773,5796,16821,536,1711,1338,2929,4098,8697,5970,13331,11767,30153,977,2027,72747,209162
204,20082,39518,278,1516,1758,8114,431,1930,9257,36589,11733,48149,724,2943,1379,4449,3026,9292,5132,16681,16859,64832,78,360,532,1889,237,818,2931,7893,3779,10958,250,767,706,1486,2201,4586,3153,6841,6926,17801,518,1061,44389,123218
205,32201,63503,435,2381,2687,12453,685,3068,14158,56332,17965,74236,1200,4889,2199,7127,5004,15491,8404,27503,26368,101744,159,718,857,3043,387,1355,4748,12946,6152,18063,425,1316,1144,2481,3659,7617,5230,11411,11382,29478,801,1654,70749,196372
206,65437,128322,254,1443,3513,15834,422,1841,28375,103272,32564,122394,1974,8090,4474,15313,6024,18929,12470,42322,45035,164717,90,436,873,2998,196,655,5305,13046,6458,17138,615,1892,2583,5657,6120,12970,9320,20522,15776,37660,5375,11227,131624,341930
207,32890,65344,357,1873,5096,22833,441,1902,23619,90415,29514,117025,3152,13122,6758,23928,8019,25173,17941,62219,47447,179251,79,366,915,3009,145,471,3290,8266,4427,12117,699,2146,2231,5175,4844,10283,7769,17605,12198,29716,1952,4146,94492,278453
208,37562,74308,458,2468,5288,23822,572,2396,29442,112768,35763,141447,3084,12646,6155,21593,7751,24324,16992,58560,52754,200009,74,342,941,3059,208,675,4171,10276,5391,14357,740,2269,2201,5001,5430,11466,8375,18737,13766,33092,1795,3754,105881,311166
209,42396,84835,906,5062,6079,28281,1360,6210,36106,139264,44449,178821,4164,17616,5568,19892,12959,42072,22689,79575,67140,258394,231,1105,1262,4393,613,2190,6532,17481,8637,25163,1112,3568,2174,4999,8305,18315,11601,26878,20235,52046,2309,4898,132078,400178
210,28791,57843,1065,6267,4927,23940,1223,5823,25646,101332,32858,137361,3170,13911,3822,13585,9523,31491,16517,58978,49380,196343,248,1198,1150,4223,499,1853,4793,13335,6692,20611,937,3085,1515,3530,6515,14590,8967,21206,15660,41818,1623,3464,95452,299466
211,47214,94077,951,5235,6537,30226,1265,5621,33950,131410,42707,172495,4676,19663,6530,23005,13811,44469,25014,87137,67726,259631,237,1065,1380,4696,537,1828,6098,16035,8247,23622,1228,3902,2554,5854,8167,17685,11941,27437,20190,51060,1788,3796,136921,408570
212,60379,121763,1788,10527,10183,48405,2267,10502,54804,212970,69041,282405,6281,26917,9327,32825,18441,60026,34054,119768,103089,402174,493,2458,2349,8685,985,3625,10101,27709,13923,42486,1673,5534,3533,8312,11803,26254,17014,40100,30938,82586,3595,7787,197996,614310
213,56019,113054,1592,9436,8844,42262,2193,10313,56573,217880,69208,279888,5230,22584,7219,25398,16261,53463,28705,101443,97906,381337,556,2818,2515,9636,1022,3843,11660,32814,15761,49104,1728,5820,3193,7482,11680,26416,16593,39718,32352,88825,3590,7770,189877,590982
214,30004,59446,487,2619,3042,13930,862,3863,17385,67460,21768,87862,1832,7471,2637,8883,6439,20491,10910,36849,32680,124709,156,686,922,3153,432,1462,4938,12949,6442,18247,671,2082,1429,3178,5102,10861,7207,16122,13653,34372,1001,2084,77327,220609
215,17184,33971,282,1565,1674,7777,409,1839,7658,30724,10027,41903,666,2683,1265,3998,2621,8091,4558,14779,14580,56681,84,374,447,1646,180,640,2497,6964,3206,9618,187,572,552,1183,1920,4076,2654,5836,5860,15457,535,1118,38162,107225
216,14184,28113,292,1668,1531,7320,379,1745,6954,27926,9158,38661,644,2669,1076,3481,2459,7681,4185,13829,13343,52490,82,376,437,1597,188,659,2265,6280,2972,8911,204,655,501,1077,1750,3755,2458,5496,5428,14410,391,804,33344,95822
217,13861,27391,240,1322,1353,6308,306,1373,6647,26803,8543,35808,628,2576,1016,3266,2270,7014,3920,12854,12462,48656,70,309,325,1173,158,545,1829,4966,2380,6993,182,571,464,985,1669,3515,2323,5065,4699,12067,420,868,31443,88981
297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
301,23344,46412,457,2479,2790,12764,786,3486,14941,57820,18974,76551,1551,6400,2484,8420,5282,16610,9319,31429,28290,107979,129,562,630,2210,337,1161,3813,10091,4900,14030,417,1306,945,2098,3428,7383,4792,10792,9692,24814,806,1688,62138,180899
302,21184,42202,322,1792,2140,9795,503,2272,14360,54238,17323,68095,1095,4617,2089,7076,3856,12267,7045,23958,24367,92049,102,464,507,1741,259,889,3062,7803,3926,10902,367,1160,891,1991,3372,7245,4628,10393,8556,21301,1264,2633,55370,158187
303,31270,62601,562,3280,3878,18078,760,3497,23595,89992,28794,114848,2108,8869,3991,13832,6301,20158,12401,42859,41195,157708,159,763,800,2866,348,1243,4315,11216,5614,16089,565,1823,1532,3545,4671,10155,6761,15522,12379,31609,2115,4507,86959,256424
304,16478,32518,263,1392,2536,11432,347,1554,12837,49828,15985,64208,1239,5105,2823,9708,3415,10602,7475,25419,23466,89623,58,230,482,1631,125,409,2014,5124,2678,7395,292,907,929,2128,1937,4130,3156,7168,5833,14566,853,1791,46630,138498
305,26447,51832,142,760,2097,9406,218,914,13936,52144,16391,63232,928,3770,2483,8544,2431,7502,5835,19814,22232,83039,37,152,436,1402,85,274,2404,5623,2965,7455,247,759,1126,2459,2096,4382,3471,7595,6428,15044,1858,3872,56966,153790
306,24968,49071,463,2664,2274,10557,862,4074,13625,52858,17226,70147,793,3225,1590,4925,3746,11588,6131,19734,23355,89886,171,814,763,2787,522,1998,5422,15089,6871,20689,324,1027,960,2037,3337,7184,4622,10247,11494,30941,951,2032,60780,171929
307,14478,28559,268,1522,1316,6098,446,2039,7375,29793,9411,39451,476,1882,787,2365,2225,6822,3490,11070,12896,50516,64,305,332,1173,209,804,2199,6269,2805,8551,102,324,285,591,1469,3099,1856,4019,4661,12569,408,855,32448,92493
308,22168,43327,439,2413,2392,10896,842,3807,14606,57357,18281,74469,858,3396,1514,4619,3948,12072,6318,20081,24595,94552,108,491,641,2364,359,1290,4192,11693,5290,15846,240,738,626,1325,2662,5600,3524,7666,8819,23512,780,1624,56363,163016
309,59197,117648,938,5232,5722,26109,1964,8844,34858,133706,43479,173889,2899,12009,5277,17480,10854,34052,19028,63534,62509,237426,311,1425,1742,6025,856,2931,10235,26915,13142,37290,958,3005,2687,5894,8745,18723,12386,27626,25530,64917,2125,4426,149362,424418
310,27495,54957,931,5618,3638,17749,1427,6847,21057,83335,27049,113543,1623,6892,2549,8469,6214,19930,10383,35293,37432,148831,317,1612,1281,4954,759,2856,7288,20872,9643,30292,624,2077,1294,2901,4981,11001,6899,15982,16543,46275,1434,3077,82905,253141
311,27204,54763,936,5696,3548,17532,1669,7925,20160,80974,26307,112126,1807,7734,2387,7962,7489,24035,11683,39729,37986,151856,312,1528,1179,4530,801,3028,7301,20928,9593,30018,624,2102,1181,2663,5194,11415,6997,16182,16591,46198,1301,2779,83088,255586
312,17388,33730,308,1661,1714,7745,649,2870,11143,43117,13810,55392,633,2493,1187,3637,3008,9125,4829,15250,18639,70643,72,330,453,1559,268,967,3061,8402,3854,11262,166,535,446,938,1738,3642,2353,5118,6208,16380,510,1056,42742,121810
313,25480,50847,529,3082,2376,11313,1045,4935,12692,50191,16649,69521,1152,4794,1765,5783,5136,16193,8055,26773,24706,96295,175,820,844,3081,544,1995,5279,14919,6842,20816,399,1275,994,2208,3946,8554,5335,12030,12181,32851,849,1750,63213,181741
314,18457,36679,426,2433,2597,11954,763,3464,15519,60583,19303,78430,1318,5514,2103,7126,4295,13639,7713,26279,27017,104707,110,527,609,2119,278,970,3653,9774,4645,13386,313,986,764,1732,2397,5194,3474,7914,8118,21297,635,1340,54232,164028
315,6580,13022,168,1033,562,2628,524,2759,4847,19721,6098,26139,165,641,288,806,1150,3698,1603,5148,7697,31282,75,373,172,683,283,1235,1849,5658,2373,7942,48,162,125,261,965,2247,1137,2670,3515,10616,421,979,18211,55903
316,42688,84270,553,2997,3669,16557,1126,4979,20398,79160,25752,103698,1490,6036,2979,9550,6526,20121,10994,35711,36743,139406,147,654,1062,3588,539,1846,6013,15981,7766,22064,483,1520,1540,3356,4920,10382,6949,15261,14712,37326,1029,2141,95178,263147
317,15810,31268,343,1950,1670,7994,501,2301,8938,35848,11442,48094,613,2524,1136,3637,2630,8162,4381,14325,15821,62416,99,487,530,1920,256,954,2718,7541,3599,10901,223,707,529,1136,1925,4069,2683,5907,6284,16807,580,1208,38495,111700
318,23143,45273,402,2268,2445,11307,829,3778,13659,53034,17329,70392,962,3932,1846,5962,3968,12205,6770,22102,24099,92495,145,708,790,2900,440,1685,4694,13112,6073,18408,329,1028,908,1937,3007,6483,4239,9447,10309,27852,969,2036,58532,167656
319,37654,74590,523,3004,2579,12108,1067,4851,13557,53982,17725,73943,886,3601,1751,5485,5076,15705,7716,24794,25438,98742,177,856,949,3500,601,2249,6092,17225,7819,23824,357,1142,978,2126,4291,9111,5632,12377,13449,36207,993,2077,77542,211610
397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
401,30265,59526,350,1867,3427,15351,447,1930,17879,68332,22109,87475,2033,8314,4106,14076,5428,16884,11571,39275,33675,126745,59,262,690,2245,164,549,3232,8029,4150,11085,516,1596,1631,3651,3467,7213,5617,12459,9760,23548,1322,2793,75029,212622
402,39760,79190,818,4806,4720,22638,1374,6232,26288,101700,33195,135378,2647,11200,3807,13071,9195,29348,15647,53616,48841,188996,345,1589,1615,6029,811,2889,9025,24513,11795,35022,1005,3267,2173,4911,7335,15882,10513,24056,22312,59080,1868,3949,112778,331208
403,37997,75035,535,2922,3804,17125,848,3720,22067,83998,27246,107771,2457,10093,4213,14326,7410,23110,14083,47533,41335,155302,160,686,1159,3825,412,1421,5929,15209,7658,21137,743,2243,1902,4127,5573,11712,8212,18084,15866,39219,1541,3227,96744,272787
404,22822,45246,290,1650,2123,9654,464,2094,13018,49031,15897,62428,1483,6220,2376,8275,4832,15345,8699,29842,24595,92267,107,500,657,2313,249,878,3356,8589,4376,12287,526,1667,1253,2833,4327,9274,6109,13768,10487,26053,1433,3016,59336,166584
405,14629,28808,173,962,1147,5247,314,1371,5811,23331,7437,30913,533,2138,866,2732,2050,6311,3451,11176,10891,42094,74,355,366,1276,142,503,1623,4445,2210,6587,147,454,392,842,1328,2775,1860,4063,4073,10649,306,635,29901,82181
406,8902,17487,120,669,794,3589,273,1213,4704,18464,5894,23934,236,919,518,1582,1228,3760,1979,6259,7872,30195,33,161,248,870,153,593,1689,4780,2128,6401,88,273,291,617,1015,2182,1393,3067,3524,9469,272,591,20562,57743
407,24199,47683,306,1680,1830,8436,521,2298,9559,37891,12221,50298,744,3012,1334,4239,3236,9958,5316,17210,17533,67516,99,454,521,1827,241,846,3100,8354,3963,11479,213,655,668,1426,2260,4729,3148,6808,7112,18293,535,1122,49380,134606
497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
501,20152,39284,326,1731,1928,8712,636,2845,11413,44102,14303,57387,738,2922,1334,4164,3110,9378,5185,16466,19487,73852,79,362,559,1936,250,907,3126,8387,4013,11594,209,649,653,1393,1989,4149,2856,6196,6867,17792,449,928,46950,131850
502,12194,23749,202,1100,941,4337,341,1490,5367,20410,6848,27341,508,2003,744,2450,1824,5493,3077,9950,9934,37287,46,212,334,1233,163,589,1892,5218,2442,7252,162,519,346,749,1266,2646,1776,3919,4219,11172,274,572,26612,72780
503,18116,35169,139,712,1816,8118,134,570,10237,38877,12325,48279,922,3719,2201,7509,2164,6559,5283,17794,17613,66075,25,100,302,996,43,134,1388,3457,1763,4689,217,658,715,1605,1498,3117,2433,5384,4196,10075,902,1875,40829,113189
504,24642,48486,511,2914,2873,13351,868,3896,17138,65163,21390,85332,1632,6791,2388,8137,5338,16841,9367,31762,30752,117097,172,844,752,2658,360,1298,4019,10785,5298,15585,495,1602,1071,2373,3785,8102,5352,12076,10646,27663,1131,2397,67175,195641
505,52341,102868,1054,5891,6820,31314,1725,7709,38357,146461,47955,191373,4064,16796,6402,21901,11718,36577,22179,75273,70139,266647,289,1357,1465,5079,602,2123,7717,20545,10074,29104,1105,3517,2400,5448,7108,15146,10616,24106,20699,53217,2347,5004,145522,427739
506,46562,92030,1023,5915,5597,26127,1530,6966,33555,128227,41710,167234,2988,12436,4759,16237,9805,30849,17550,59527,59260,226764,241,1186,1272,4557,571,2104,7085,19245,9175,27100,894,2862,1993,4490,6555,14017,9441,21371,18617,48462,2919,6269,127352,373526
507,39183,76699,714,3955,4841,22000,1329,5894,28195,107250,35071,139093,2786,11311,4398,14760,8571,26477,15756,52547,50824,191641,194,871,1182,4100,511,1850,6476,17354,8368,24170,741,2341,1688,3789,5390,11466,7818,17595,16188,41765,1644,3458,107841,313565
509,16778,32838,244,1334,1239,5467,497,2199,7700,30398,9674,39404,435,1691,780,2297,2340,7099,3554,11090,13233,50492,60,275,329,1175,200,754,2038,5693,2628,7902,115,356,349,722,1525,3197,1992,4274,4623,12173,385,798,35016,96302
510,6196,12172,137,811,648,3046,361,1796,6259,24918,7411,30564,178,722,335,1008,812,2604,1318,4331,8727,34899,51,234,178,705,231,1041,1568,4674,2026,6652,35,118,127,261,688,1622,850,1998,2876,8648,388,934,18186,56649
511,11682,22710,235,1265,1113,5070,489,2283,7357,28710,9195,37334,424,1659,670,2049,1886,5723,2977,9428,12168,46764,67,332,289,1069,239,962,2109,6054,2706,8415,109,342,299,635,1309,2798,1719,3780,4428,12194,442,948,28713,82610
597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
601,23355,46103,352,1955,2263,10399,588,2642,12796,49243,15998,64241,1010,4132,2206,7275,3946,12174,7165,23581,23160,87821,118,529,847,2902,335,1164,4674,12225,5978,16819,405,1264,1229,2630,3268,6888,4900,10780,10877,27598,883,1844,58276,163366
602,16145,31860,234,1267,1474,6781,411,1814,7430,29038,9551,38893,643,2595,1187,3855,2502,7721,4333,14172,13879,53073,73,326,470,1681,199,718,2574,6819,3318,9548,197,585,614,1327,1989,4174,2799,6084,6118,15638,510,1059,36653,101625
603,5102,10019,74,410,372,1728,130,583,1863,7308,2447,10025,136,544,273,867,701,2151,1106,3560,3554,13593,9,40,98,340,50,187,576,1521,742,2089,34,103,113,234,483,1005,629,1342,1362,3430,91,184,10106,27219
604,13248,26135,179,972,1143,5299,350,1556,5664,22117,7332,29943,458,1838,862,2664,2040,6250,3356,10756,10693,40701,66,302,389,1346,158,540,2249,6047,2876,8230,163,493,469,997,1559,3252,2189,4735,5059,12963,305,622,29303,80425
