SA4_CODE_2016,P_85y_ov_DNUDW,P_85y_ov_UDW_NS,P_85y_ov_Total,P_Tot_DUDW_LT_5_h,P_Tot_DUDW_5_14_h,P_Tot_DUDW_15_29_h,P_Tot_DUDW_30_h_mo,P_Tot_DNUDW,P_Tot_UDW_NS,P_Tot_Total
309,5262,2963,11859,109624,122751,51583,37388,100481,44709,466532
310,1799,833,4113,52920,64128,28789,24297,53951,26206,250288
311,2095,562,3680,53049,63306,28290,23128,57245,20978,245998
312,1045,390,2162,26853,34781,15854,14242,25865,16909,134500
313,1972,1688,5282,38877,49391,23567,19733,40462,18479,190510
314,929,510,2169,36559,45169,19459,14680,25657,8832,150360
315,304,142,663,13068,14282,6200,5529,13084,8874,61037
316,4089,1798,9082,61126,80508,38455,28684,52938,22977,284697
317,1291,939,3431,25462,32567,15197,12268,22849,10895,119233
318,1593,597,3396,39853,49410,21431,17638,36209,18712,183253
319,3177,1565,6953,40167,57487,31839,29909,51262,26279,236940
397,0,3,4,23,24,19,6,50,23,144
399,25,11,44,2026,1961,823,592,3533,2759,11693
401,4348,1067,8740,58380,70571,31109,19908,47322,15712,243000
402,4095,1269,7927,72180,89493,40371,31098,82810,24369,340320
403,4829,1600,10136,67520,86340,38457,25990,56592,18723,293636
404,3482,1234,7369,43800,51904,21610,14985,46985,13528,192810
405,1547,579,3207,16585,23697,13202,11495,18116,8230,91328
406,701,355,1644,12110,16863,8378,7104,13963,8307,66735
407,2356,1143,5433,28607,40299,21511,17262,30269,15211,153169
497,0,0,0,4,0,0,0,3,0,3
499,17,0,22,466,435,143,126,850,627,2648
501,1332,699,3318,27098,37421,19204,17127,25480,14250,140569
502,1097,473,2416,14585,19912,10010,9416,18028,7226,79180
503,1703,668,3961,39350,38313,14831,9992,27118,13704,143313
504,1445,949,3769,45622,53403,22657,18827,43377,18667,202559
505,3742,1805,8828,103166,116353,49331,38177,91871,30656,429558
506,3385,1835,8082,89754,101718,42922,36492,91350,33160,395396
507,2984,1786,7599,73617,86804,38143,30845,66330,27791,323530
509,1114,618,2844,20269,27549,14306,13813,20641,13528,110110
510,94,38,184,15047,16451,5913,5006,17890,13177,73483
511,611,320,1411,18227,22979,10588,9649,19544,13058,94047
597,3,0,3,32,31,10,9,274,81,434
599,7,6,23,962,791,327,210,1663,1594,5559
601,2367,835,5275,39621,52163,23409,16089,36660,14315,182260
602,1627,620,3369,22344,30060,15182,12446,24890,11104,116022
603,243,136,600,5188,8013,4594,3887,5929,3287,30898
604,1160,485,2522,16285,22848,12109,10567,19714,8153,89678
697,0,0,0,7,6,3,10,36,8,73
699,0,0,3,153,152,50,40,256,178,835
701,302,111,626,24659,29042,10331,7406,22263,15605,109301
702,144,65,310,15934,16669,6621,3887,12891,11703,67701
797,0,0,0,0,0,0,4,43,23,72
799,0,0,0,334,366,137,92,522,839,2281
801,2194,1341,6155,82357,102080,39392,22602,53853,22141,322415
897,0,0,0,0,0,0,0,0,0,0
899,3,0,3,133,94,23,10,138,118,506
901,20,9,51,622,888,365,299,762,781,3714
997,0,0,0,0,0,0,0,3,0,6
999,0,0,0,5,11,0,3,22,4,46
